,X,N1,WALS,IDS,Glotto,iso,glotto,area,langFam,subFam,InterrogativePosition,IDS2,Comments,Source
,,Hawaiian,,,,haw,hawa1245,Pacific,Austronesian,Central East Nuclear Polynesian,2 Not initial interrogative phrase,,in IDS,WOLD
,,Hup,,,,jup,hupd1244,South America,Nadahup,Nadahup,1 Initial interrogative phrase,,Hupde in Glotto,WOLD
,,Imbabura Quechua,,,,qvi,imba1240,South America,Quechua,Quechua,1 Initial interrogative phrase,,Quechua (Imbabura) in WALS,WOLD
,,Indonesian,,,,ind,indo1316,,,,3 Mixed,,,WOLD
,,Iraqw,,,,irk,iraq1241,,,,2 Not initial interrogative phrase,,,WOLD
,,Japenese,,,,jpn,nucl1643,,,,2 Not initial interrogative phrase,,,WOLD
,,Kali'na,,,,car,gali1262,,,,,, in wals Galibi Carib ,WOLD
,,Kanuri,,,,knc,cent2050,,,,1 Initial interrogative phrase,,,WOLD
,,Ket,,,,ket,kett1243,,,,2 Not initial interrogative phrase,,Kildin Sami in Glotto,WOLD
,,Kildin Saami,,,,sjd,kild1236,,,,,,,WOLD
,,Lower Sorbian,,,,dsb,lowe1385,,,,,,,WOLD
,,Malagasy,,,,plt,plat1254,,,,1 Initial interrogative phrase,,,WOLD
,,Manange,,,,nmm,mana1288,,,,,,,WOLD
,,Mandarin Chinese,,,,cmn,mand1415,,,,2 Not initial interrogative phrase,,,WOLD
,,Mapudungun,,,,arn,mapu1245,,,,2 Not initial interrogative phrase,,in IDS,WOLD
,,Old High German,,,,goh,oldh1241,,,,,,not on WALS,WOLD
,,Oroqen,,,,orh,oroq1238,,,,,,not on WALS,WOLD
,,Otomi,,,,ote,mezq1235,,,,1 Initial interrogative phrase,,Many Otomi variations on Glotto,WOLD
,,Q'eqchi',,,,kek,kekc1242,,,,,,"Kekchi in Glotto, K'ekch� in WALS",WOLD
,,Romanian,,,,ron,roma1327,,,,1 Initial interrogative phrase,,,WOLD
,,Sakha,,,,sah,yaku1245,,,,,,Yakut in Glotto and WALS,WOLD
,,Saramaccan,,,,srm,sara1340,,,,,,,WOLD
,,Selice Romani,,,,rmc,west2376,,,,,,,WOLD
,,Seychelles Creole,,,,crs,sese1246,,,,,,Seselwa Creole French in Glotto,WOLD
,,Swahili,,,,swh,swah1253,,,,2 Not initial interrogative phrase,,,WOLD
,,Takia,,,,tbc,taki1248,,,,,,"Tarifit in Glotto, Berber in WALS",WOLD
,,Tarifiyt Berber,,,,rif,tari1263,,,,1 Initial interrogative phrase,,,WOLD
,,Thai,,,,tha,thai1261,,,,,,,WOLD
,,Vietnamese,,,,vie,viet1252,,,,2 Not initial interrogative phrase,,,WOLD
,,White Hmong,,,,mww,hmon1333,,,,,,Hmong Daw in WOLD,WOLD
,,Wichí,,,,mzh,wich1264,,,,1 Initial interrogative phrase,,Wich� Lhamt�s G�isnay in Glotto,WOLD
,,Yaqui,,,,yaq,yaqu1251,,,,2 Not initial interrogative phrase,,,WOLD
,,Zinacantán Tzotzil,,,,tzz,tzot1259,,,,,,not on Glotto,WOLD
,,Hindi,,,,hin,hind1269,,,,2 Not initial interrogative phrase,Hindi_IDS.csv,,Spraakbanken
,,Marathi,,,,mar,mara1378,,,,2 Not initial interrogative phrase,Marathi_IDS.csv,,Spraakbanken
,,Telugu,,,,tel,telu1262,,,,2 Not initial interrogative phrase,Telugu_IDS.csv,,Spraakbanken
,,Bengali,,,,ben,beng1280,,,,,Bengali_IDS.csv,,Spraakbanken
,,Panjabi,,,,pan,panj1256,,,,2 Not initial interrogative phrase,Punjabi_IDS.csv,,Spraakbanken
,,Khasi,,,,kha,khas1269,,,,2 Not initial interrogative phrase,Khasi_IDS.csv,,Spraakbanken
,,Tamil,,,,tam,tami1289,,,,2 Not initial interrogative phrase,Tamil_IDS.csv,,Spraakbanken
,,Nepali,,,,nep,nepa1252,,,,2 Not initial interrogative phrase,Nepali_IDS.csv,,Spraakbanken
,,Tibetan,,,,bod,tibe1272,,,,,Tibetan_IDS.csv,,Spraakbanken
,,Kotgarhi,,,,bfz,maha1287,,,,,Kotgarhi_IDS.csv,in glotto Mahasu Pahari ,Spraakbanken
,,Hungarian,,,,hun,hung1274,,,,2 Not initial interrogative phrase,Hungarian_Phonemic,,IDS
,,Muisca,,,,chb,chib1270,,,,,Muisca_Phonemic,,IDS
,,Yanomami,,,,wca,yano1262,,,,,Yanom�mi_Phonemic,,IDS
,,Jaru,,,,ddj,jaru1254,,,,1 Initial interrogative phrase,,Djaru in WALS,WOLD
,,Upper Sorbian,,,,hsb,uppe1395,,,,,,,
,,Balinese,,,,ban,bali1278,,,,,,,
,,Old Norse,,,,non,oldn1244,,,,,,Not on WALS,
,,Czech,,,,ces,czec1258,,,,2 Not initial interrogative phrase,,,
,,Lao,,,,lao,laoo1244,,,,2 Not initial interrogative phrase,,,
,,Georgian,,,,kat,nucl1302,,,,2 Not initial interrogative phrase,,Modern Georgian on Wals,
,,Wardaman,,,,wrr,ward1246,,,,2 Not initial interrogative phrase,,,
,,Slovak,,,,slk,slov1269,,,,,,,
,,Italian,,,,ita,ital1282,,,,1 Initial interrogative phrase,,,
,,Konso,,,,kxc,kons1243,,,,,,Not on WALS,
,,Amharic,,,,amh,amha1245,,,,2 Not initial interrogative phrase,,,
,,Miriwung,,,,mep,miri1266,,,,,,,
,,Serbian,,,,srp,serb1264,,,,,,Serbo-Croatian in WALS,
,,Sundanese,,,,sun,sund1252,,,,2 Not initial interrogative phrase,,,
,,Jaminjung,,,,djd,djam1255,,,,,,,
,,Portuguese,,,,por,port1283,,,,,,,
,,Middle Chinese,,,,ltc,midd1344,,,,,,Not on WALS,
,,Javanese,,,,jav,java1254,,,,,,,
,,Sranan,,,,srn,sran1240,,,,,,Sranana Tongo on Glotto,
,,Greek,,,,ell,mode1248,,,,1 Initial interrogative phrase,,,
,,Tok Pisin,,,,tpi,tokp1240,,,,,,,
,,Avar,,,,ava,avar1256,,,,2 Not initial interrogative phrase,,,
,,Malay,,,,zsm,stan1306,,,,,,,
,,Sanskrit,,,,san,sans1269,,,,,,Not on WALS,
,,Arabic (Moroccan),,,,ary,moro1292,,,,,,,
,,French,,,,fra,stan1290,,,,1 Initial interrogative phrase,,,
,,Arabic,,,,arb,stan1318,,,,,,,
