ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
10-451-237-5,sout2866,Marquesan,366,e kopa,Phonemic,limp,dordillon1932;dordillon1931,,,
10-451-237-7,sout2866,Marquesan,366,e koki,Phonemic,limp,dordillon1932;dordillon1931,,,
10-451-237-9,sout2866,Marquesan,366,e típikoki,Phonemic,limp,dordillon1932;dordillon1931,,,
10-451-237-11,sout2866,Marquesan,366,e timoé,Phonemic,limp,dordillon1932;dordillon1931,,,
10-450-237-1,sout2866,Marquesan,1443,heé,Phonemic,walk,dordillon1932;dordillon1931,,,
10-450-237-3,sout2866,Marquesan,1443,taha,Phonemic,walk,dordillon1932;dordillon1931,,,
10-450-237-5,sout2866,Marquesan,1443,hiti,Phonemic,walk,dordillon1932;dordillon1931,,,
10-450-237-7,sout2866,Marquesan,1443,heke,Phonemic,walk,dordillon1932;dordillon1931,,,
10-450-237-9,sout2866,Marquesan,1443,éé,Phonemic,walk,dordillon1932;dordillon1931,,,
10-440-237-1,sout2866,Marquesan,1879,haka,Phonemic,dance,dordillon1932;dordillon1931,,,
10-440-237-3,sout2866,Marquesan,1879,heva,Phonemic,dance,dordillon1932;dordillon1931,,,
10-430-237-1,sout2866,Marquesan,1829,keétu,Phonemic,"jump, leap",dordillon1932;dordillon1931,,,
10-430-237-3,sout2866,Marquesan,1829,éépao,Phonemic,"jump, leap",dordillon1932;dordillon1931,,,
10-430-237-5,sout2866,Marquesan,1829,keépao,Phonemic,"jump, leap",dordillon1932;dordillon1931,,,
10-420-237-1,sout2866,Marquesan,1324,paheke,Phonemic,"slide, slip",dordillon1932;dordillon1931,,,
10-380-237-1,sout2866,Marquesan,175,puhi,Phonemic,blow,dordillon1932;dordillon1931,,,
10-370-237-1,sout2866,Marquesan,1441,kamo,Phonemic,fly (vb),dordillon1932;dordillon1931,,,
10-370-237-3,sout2866,Marquesan,1441,toó pu,Phonemic,fly (vb),dordillon1932;dordillon1931,,,
10-370-237-5,sout2866,Marquesan,1441,ona,Phonemic,fly (vb),dordillon1932;dordillon1931,,,
10-351-237-1,sout2866,Marquesan,119,úku,Phonemic,dive,dordillon1932;dordillon1931,,,
10-350-237-1,sout2866,Marquesan,1439,kau,Phonemic,swim,dordillon1932;dordillon1931,,,
10-350-237-3,sout2866,Marquesan,1439,kaukau,Phonemic,swim,dordillon1932;dordillon1931,,,
10-340-237-1,sout2866,Marquesan,1574,ána (áka),Phonemic,float,dordillon1932;dordillon1931,,,
10-320-237-1,sout2866,Marquesan,2003,tahe,Phonemic,flow,dordillon1932;dordillon1931,,,
10-260-237-1,sout2866,Marquesan,1909,haá keue,Phonemic,shake,dordillon1932;dordillon1931,,,
10-252-237-1,sout2866,Marquesan,702,tikoe,Phonemic,catch (ball),dordillon1932;dordillon1931,,,
10-252-237-3,sout2866,Marquesan,702,tióe,Phonemic,catch (ball),dordillon1932;dordillon1931,,,
10-250-237-1,sout2866,Marquesan,1456,titii,Phonemic,throw,dordillon1932;dordillon1931,,,
10-230-237-1,sout2866,Marquesan,1280,topa,Phonemic,fall,dordillon1932;dordillon1931,,,
10-220-237-1,sout2866,Marquesan,501,tiétié,Phonemic,"raise, lift",dordillon1932;dordillon1931,,,
10-210-237-1,sout2866,Marquesan,568,e fitina,Phonemic,rise,dordillon1932;dordillon1931,,,
10-210-237-3,sout2866,Marquesan,568,(e hiti ia,Phonemic,rise,dordillon1932;dordillon1931,,,
10-210-237-5,sout2866,Marquesan,568,e piki ia),Phonemic,rise,dordillon1932;dordillon1931,,,
10-140-237-1,sout2866,Marquesan,1113,kavií í úna,Phonemic,"wind, wrap",dordillon1932;dordillon1931,,,
10-140-237-3,sout2866,Marquesan,1113,pokao me te tuú,Phonemic,"wind, wrap",dordillon1932;dordillon1931,,,
