entry_id	trans_english	Limonese_Creole_Phonemic
12.14	lie down	lɛɩ-dɔn
12.15	stand	(s)tan-(ɔp)
12.16	remain, stay	rɩmɛɩn; stɛɩ
12.17	remains, left overs	rɩmɛɩn; lɛf(t)ʊɔva
12.21	collect, gather	kalɛk; gʸada
12.212	pick up	pɩk-ɔp
12.213	pile up	paɩl-ɔp
12.22	join, unite	ǰaɩn
12.23	separate	sɛparɛɩt
12.232	divide	dɩvaɩd
12.24	open	ʊɔpɩn
12.25	shut, close	šɔt; klʊɔz
12.26	cover	kɔba ~ kɔva ~ kɩva
12.27	hide, conceal	haɩd
12.31	high	haɩ
12.32	low	lʊɔ
12.33	top	tap
12.34	bottom	batam
12.35	end	ɛn(d)
12.352	pointed	paɩntɩd
12.353	edge	ɛǰ; bāda
12.36	side	saɩd
12.37	middle, center	mɩgl; sɛnta
12.41	right (side)	raɩt
12.42	left (side)	lɛf
12.43	near (adv)	nɛɩr
12.44	far (adv)	fā(r)
12.45	east	is
12.46	west	wɛs
12.47	north	nāt
12.48	south	sɔʊt
12.53	grow	grʊɔ
12.54	measure	mɛǰa
12.541	span, fathom	fadam
12.55	large, big	lāǰ; bɩg
12.56	small, little	smāl ~ sʊmal; lɩkl
12.57	long	laŋ
12.58	tall	tāl
12.59	short	šāt
12.61	wide, broad	waɩd; brād
12.62	narrow	narɔ
12.63	thick (in dimension)	tɩk
12.65	thin (in dimension)	tɩn
12.67	deep	dip
12.68	shallow	šalɔ ~ šala
12.71	flat	flat
12.73	straight	(s)trɛɩt
12.74	crooked	krʊkɩd
12.75	hook	(h)uk
12.76	corner	kāna
12.77	cross	krās
12.78	square	skwɛɩ(r)
12.81	round	rɔʊn
12.82	circle	sɛrkl
12.83	sphere, ball	bāl
12.84	line	laɩn
12.85	hole	ʊɔl
12.92	like, similar	laɩk
12.93	change	čɛɩŋǰ
13.0	zero, nothing	(n)āt; nɔt(ɩ)n; zirɔ
13.1	one	wan
13.2	two	tu
13.3	three	tri
13.4	four	fʊɔ(r)
13.5	five	faɩv
13.6	six	sɩks
13.7	seven	sɩv(ɩ)n
13.8	eight	ɛɩt
13.9	nine	naɩn
13.10	ten	tɛn
13.101	eleven	ɩlɛv(ɛ)n
13.102	twelve	twɛlv
13.103	fifteen	fɩf-tin
13.104	twenty	twɛntɩ
13.105	hundred	ɔndrɛd ~ ɔndrɩd
13.106	thousand	tɔʊz(a)n
13.107	count	kont
13.14	every, all	ɛvrɩ; āl
13.15	much, many	plɛnti; mɔč
13.16	more	mʊɔr
13.17	little (quantity), few	lɩkl; fɩu
13.18	enough	ɩnɔf
13.181	some	sɔm
13.19	multitude, crowd	krod
13.21	full	fʊl
13.22	empty	ɛmtɩ
13.23	part, piece	pāt; pis
13.24	half	āf
13.33	alone, only	alʊɔn; ɔngl; sɩŋgl
13.34	first	fɔs ~ fərs
13.35	last	lās; lās wan
13.36	second	sɛkan
13.37	pair	pɛɩr
13.38	two times	tʊ taɩm(z)
13.42	third	tɔd ~ tɛrd
13.44	three times	tri taɩm(z)
14.11	time	taɩm
14.12	age	yɛǰ
14.13	new	nɩu
14.14	young	yɔŋ
14.15	old	ʊɔl
14.16	early	ɛrlɩ
14.17	late	lɛɩt
14.18	now	no
14.19	immediately	raɩt no; raɩtawɛ
14.21	swift, fast, quick	fas; kwɩk
14.22	slow	slʊɔ
14.23	hasten, hurry	mɩkɛɩs; ɔrɩ ɔp
14.24	retard, delay	dɩlɛɩ
14.25	begin, beginning	bɩgɩn; stāt; kɔmɛns; ɩnɩšɛɩt
14.252	last, endure	lās; ɛnǰur
14.26	end (temporal)	ɛn
14.27	finish	fɩnɩš; dɔn
14.28	cease, stop	sis; (s)tap
14.29	ready	rɛdi
14.31	always	a(l)wɛɩz
14.32	often	āf(ɛ)n ~ āftɩn
14.33	sometimes	sɔm-taɩm
14.331	soon	sun
14.332	long-time (for a)	laŋ-taɩm
14.34	never	nɛba ~ nɛva
14.35	again	agɩn
14.41	day	dɛɩ
14.42	night	naɩt
14.43	dawn	dān
14.44	morning	mānɩŋ
14.45	noon, midday	nun; mɩ-dɛ
14.451	afternoon	afta-nun
14.46	evening	ivnɩŋ
14.47	today	tʊ-d(ɩ)ɛ ~ tɩ-d(ɩ)ɛ
14.48	tomorrow	tamarɔ ~ tumarɔ
14.481	day-after-tomorrow	dɛɩ-afta-tamarɔ
14.49	yesterday	yɩstɩ-dɛɩ ~ yɛsɩ-dɛ
14.491	day-before-yesterday	di bɩfɔ(r) yɛstɛ-di
14.51	hour	ɔʊa
14.53	clock, timepiece	klak
14.61	week	wik
14.62	Sunday	sɔndɛ
14.63	Monday	mɔndɛ
14.64	Tuesday	čuzdɛ
14.65	Wednesday	wɛnzdɛ ~ wɛnzdɩ
14.66	Thursday	tɔ(r)zdɛ
14.67	Friday	fraɩdɛ
14.68	Saturday	sačudɛ ~ satdɛ
14.71	month	mɔnt
14.73	year	ɛɩr
14.74	winter	wɩnta
14.75	spring	sprɩŋ
14.76	summer	sɔma
14.77	autumn	ātɔm; fāl
14.78	season	sizn; rɛɩnɩ sizən, wəda; drai sizən
15.21	smell (vb intrans)	s(u)mɛl
15.212	sniff	snɩf; smɛl
15.22	smell (vb trans)	s(u)mɛl
15.25	fragrant, good smelling	gʊd smɛlɩn
15.26	stinking, bad smelling	stɩŋkɩŋ ~ stɩŋkɩn; smɛl
15.31	taste	tɛɩs
15.35	sweet	swit
15.36	salty	sālt ~ salt
15.37	bitter	bɩta
15.38	acid, sour	asɩd; soa
15.39	brackish	brakɩš
15.41	hear	ɛɩr
15.42	listen	lɩs(ɩ)n
15.44	sound, noise	son; naɩz
15.45	loud	lod
15.46	quiet, silence	kʷaɩyat; saɩlɛns
15.51	see	si
15.52	look, look at	lʊk
15.55	show	šʊɔ
15.56	shine	šaɩn
15.57	bright	braɩt
15.61	color	kɔla
15.62	light (in color)	laɩt
15.63	dark (in color)	dāk
15.64	white	waɩt
15.65	black	blak
15.66	red	rɛd
15.67	blue	blu
15.68	green	grin
15.69	yellow	yɛlo ~ yɩlaʊ
15.71	touch	tɔč
15.712	pinch	pɩnč
15.72	feel	fil
15.74	hard	(h)ād
15.75	soft	sāf
15.76	rough	rɔf
15.77	smooth	smud
15.78	sharp	šāp
15.79	blunt, dull	blɔnt; dɔl
15.81	heavy	(h)ɛvɩ
15.82	light (in weight)	laɩt
15.83	wet, damp	wɛt; damp
15.84	dry	draɩ
15.85	hot	at
15.851	warm	wām
15.86	cold	kʊɔl
15.87	clean	klin
15.88	dirty, soiled	dɔtɩ ~ dərtɩ; saɩl
15.89	wrinkled	rɩŋkl
16.11	soul, spirit	sʊɔl; spɩrɩt
16.15	surprised, astonished	sɔpraɩz
16.18	good fortune, luck	lɔk; gʊd fāčʊn
16.19	misfortune, bad luck	bad lɔk; bad fačʊn
16.23	joyful, glad, happy	glad; apɩ; ǰaɩ-fʊl
16.25	laugh	lāf
16.251	smile	smaɩl
16.26	play	plɛɩ
16.27	love	lɔv
16.29	kiss	kɩs
16.3	embrace	ɛmbrɛɩs; ɔg(-ɔp)
16.31	pain	pɛɩn
16.32	grief, sorrow, sadness	grif
16.33	anxiety, worry	wɔrɩ
16.34	regret, be sorry	rɩgrɛt; sarɩ
16.35	pity	pɩtɩ; kɔmpašan
16.37	cry, weep	kraɩ; wip
16.38	tear (noun)	tɛɩr
16.39	groan	grʊɔn
16.41	hate	ɛɩt
16.42	anger	aŋga; vɛɩksɛɩšən
16.44	envy, jealousy	ɛnvɩ; ǰɛlɔs; grɔǰ-fʊl
16.45	shame (noun)	šɛɩm
16.48	proud	prod
16.51	dare	dɛɩr
16.52	brave	brɛɩv
16.53	fear, fright	fɛɩr; fraɩt
16.54	danger	dɛɩnǰa
16.62	desire, want	wān(t); dɩzaɩa
16.622	choose	čuz
16.63	hope	ʊɔp
16.65	faithful	fɛɩt-fʊl
16.66	true	tru
16.67	lie, tell lies	laɩ; tɛl laɩ
16.68	deceit	
16.69	forgive	fagɩv ~ fɩgɩv
16.71	good	gʊd
16.72	bad	bad
16.73	right, correct	raɩt; karɛk
16.74	wrong	raŋ
16.76	fault	fālt
16.77	mistake, error	mɩstɛɩk; ɛrɔ
16.78	blame	blɛɩm
16.79	praise	prɛɩz
16.81	beautiful	byʊtɩfʊl
16.82	ugly	ɔglɩ
16.83	greedy	gridɩ; kɔbɩčɔs
16.84	clever	klɛva
17.11	mind	maɩn
17.13	think (= reflect)	tɩŋk
17.14	think (= be of the opinion)	tɩŋk
17.15	believe	bɩliv
17.16	understand	anda(s)tan
17.17	know	nʊɔ
17.171	guess	gɛs
17.172	imitate	ɩmitɛɩt
17.18	seem	sim; lʊk laɩk
17.19	idea, notion	aɩdɛɩa
17.21	wise	waɩz
17.22	foolish, stupid	ful-ful ~ fulɩš; sčʊpɩd
17.23	insane, crazy	krɛɩzɩ; ɩnsɛɩn; mad
17.24	learn	lān ~ lɛrn
17.242	study	stɔdɩ
17.25	teach	lān ~ lɛrn; tič
17.26	pupil	pɩupɩl; sčudɛnt
17.27	teacher	tiča
17.28	school	skul
17.31	remember	(rɩ)mɛmba
17.32	forget	fɩgɛt ~ fagɛt
17.34	clear, plain	klɛɩr; plɛɩn
17.35	obscure	dāk
17.36	secret	sikrɩt
17.37	sure, certain	šuɔr; sɛrtn
17.38	explain	ɛksplɛɩn
17.41	intention, purpose	ɩntɛnšan; pɛrpɔs
17.42	cause	kāz
17.43	doubt	dot
17.44	suspect	sɔspɛk
17.441	betray	bɩtrɛɩ
17.45	need, necessity	nid
17.46	easy	izi
17.47	difficult	ād; dɩfɩkɔlt
17.48	try, attempt	ətɛmp
17.49	way, manner	wɛɩ; mana; fām
17.51	and	an
17.52	because	bɩkɔz(ɩ)n
17.53	if	ɩf
17.54	or	ār
17.55	yes, affirmative	yɛs
17.56	no, negative	n(ʊ)ɔ
17.61	how?	o
17.62	how many?	
17.63	how much?	u mɔč(a dɛm)
17.64	what?	wɔt
17.65	when?	wɛn
17.66	where?	wɛ
17.67	which?	wɩč
17.68	who?	u
17.69	why?	waɩ
18.11	voice	mʊɔt; vaɩs
18.12	sing	sɩŋ
18.13	shout, cry out	šot; bāl ot
18.15	whisper	wɩspa
18.16	mumble	mɔmbl
18.17	whistle	wɩsl
18.18	shriek, screech	(s)krič
18.19	howl	ol
18.21	speak, talk	tāk; čat; spik
18.211	stutter, stammer	stama
18.22	say	sɛ
18.221	tell story	
18.222	speech (make a)	spič
18.23	silent (be)	(h)ɔš; saɩlɛnt
18.24	language	laŋwɩǰ
18.26	word	wɔd ~ wərd
18.28	name	nɛɩm
18.31	ask (question, inquire)	āks
18.32	answer	ansa
18.33	admit, confess	admɩt; kanfɛs
18.34	deny	dɩnaɩ
18.35	ask, request	āks
18.36	promise	prɔmɩs
18.37	refuse	rɩfyʊz
18.38	forbid	fabɩd
18.39	rebuke, scold	ribyʊk; skʊɔl
18.41	call (=summon)	kāl; samɔn
18.42	call (=name)	kāl; nɛɩm
18.43	announce	anons
18.44	threaten	trɛtn
18.45	boast	bʊɔs
18.51	write	raɩt
18.52	read	rid
18.56	paper	pɛɩpa
18.57	pen	pɛn
18.61	book	bʊk
18.67	poet	pɔɛt
18.71	flute	flut
18.72	drum	drɔm
18.73	horn, trumpet	(h)ān
18.74	rattle	rakl; šakara
19.11	country	kɔntrɩ
19.12	one's native country	kɔntrɩ; mi kɔntri
19.15	city, town	sɩtɩ
19.16	village	vɩlɩǰ; ton
19.17	boundary	bondri; frontɛɩr; lɩmɩt
19.21	people (populace)	pipl
19.23	tribe, clan	traɩb
19.24	chief, chieftain	čif
19.25	staff, walking stick	staf; kʸɛn; wākɩ stɩk
19.31	rule, govern	rul; bās; ran
19.32	king, ruler	kɩŋ; rʊla
19.33	queen	kwin
19.36	noble, nobleman	nʊɔbl
19.37	citizen, subject	sɩtɩzn
19.41	master	māsa
19.42	slave	slɛɩv
19.43	servant	sāvant ~ sɛrvant; ɛɩd
19.44	freeman	fri-man
19.45	command, order	kɔmān; āda
19.46	obey	ɔbɛɩ
19.47	let, permit	lɛt; pɛrmɩt; alo; mɛk
19.51	friend, companion	frɛn; kɔmpanɩan
19.52	enemy	ɛnɩmɩ ~ ɛnɛmɩ
19.54	neighbor	nɛɩba
19.55	stranger	strɛɩnǰa
19.56	guest	gɛs; vɩsɩta
19.57	host	ʊɔs
19.58	help, aid	(h)ɛlp
19.59	hinder, prevent	ɩnda
19.61	custom	kɔstam
19.62	strife, quarrel	straɩf; kʷarɛl
19.63	conspiracy, plot	kɔnspɩrasi; plɔt
19.65	meet	mit
19.72	prostitute	gʸal; ʊɔr; ālat; vɛt
20.11	fight (vb)	faɩt
20.13	war, battle	wār; bakl
20.14	peace	pis
20.15	army	āmi
20.17	soldier	sʊɔlǰa
20.21	weapons, arms	wɛpɔn; āmz
20.22	club	klɔb
20.222	battle-ax	
20.23	sling	slɩŋ
20.24	bow	bʊɔ
20.25	arrow	arɔ
20.26	spear	spɛɩr
20.27	sword	sʊɔd
20.28	gun, cannon	gɔn
20.31	armor (defensive)	āma
20.33	helmet	ɛlmɩt
20.34	shield	šil
20.35	fortress	fātrɩs
20.36	tower	tɔwa
20.41	victory	vikt(ɔ)rɩ
20.42	defeat	wɩn; bit; dɩfɩt
20.43	attack	atak
20.44	defend	dɩfɛn
20.45	retreat	
20.46	surrender	sɔrɛnda
20.47	captive, prisoner	kʸaptɩv; prɩzɔna
20.471	guard, sentinel	gʸād
20.48	booty, spoils	
20.49	ambush	lɛɩ-ɛɩt; sɛt trap
20.51	fisherman	fɩša-man
20.52	fishhook	ʊk
20.53	fishing line	(fɩšɩn)laɩn
20.54	fishnet	sɛɩn; fiš-nɛt
20.55	fish trap	fɩš-pat; fɩš-trap
20.56	bait	bɛɩt
20.61	hunt	ɔnt
20.62	shoot	šut
20.63	miss (target)	mɩs
20.64	trap (noun)	trap
20.65	trap (vb)	trap
21.11	law	la
21.15	court	kʊɔt
21.16	judge (vb)	ǰɔǰ
21.17	judgment	ǰɔǰ-mɛnt
21.18	judge (noun)	ǰɔǰ
21.21	plaintiff	
21.22	defendant	dɩfɛndant
21.23	witness	wɩtnɩs
21.24	swear	swɛɩr
21.25	oath	ʊɔt
21.31	accuse	akʸuz
21.32	condemn	kandɛm
21.33	convict (vb)	kanvɩk
21.34	acquit	
21.35	guilty	gɩltɩ
21.36	innocent	ɩnasɛnt ~ ɩnɔsɛnt
21.37	penalty, punishment	pɛnaltɩ; pɔnɩš-mɛnt
21.38	fine	faɩn
21.39	prison, jail	ǰiɛl; prɩzn
21.42	murder	mɔ(r)da
21.43	adultery	adɔltrɩ
21.44	rape	rɛɩp; uɔl dɔŋ
21.46	arson	laɩt
21.47	perjury	lai anda ʊɔt
21.51	steal	tif
21.52	thief	tif; raba
22.11	religion	rɩlɩǰan
22.12	God	gād
22.13	temple, church	čɔč ~ čərč
22.14	altar	alta
22.15	sacrifice, offering	sakrɩfɩas; āfrɩŋ
22.16	worship	wɔršɩp; adʊɔr
22.17	pray	prɛɩ
22.18	priest	pris
22.19	holy, sacred	ʊɔlɩ
22.22	preach	prič
22.23	bless	blɛs
22.24	curse	kɔs ~ kɛrs
22.26	fast (vb)	fās
22.31	heaven	ɛv(ɛ)n
22.32	hell	ɛl
22.35	demon (evil spirit)	diman; ivl spɩrɩt
22.37	idol	aɩdal
22.42	magic, witchcraft, sorcery	ʊɔbɩa; maǰɩk
22.43	sorcerer, witch	wɩč; ʊɔbɩa uman ~ man
22.44	fairy, elf	ɛlf; fɛɩrɩ
22.45	ghost, phantom	gʊɔs
22.47	omen, portent	saɩn; ʊɔmɛn
