entry_id	trans_english	Langja_Buyang_Phonemic
9.15	fold	qa.0 mɛn.312
9.16	tie, bind	ʔdiŋ.11
9.161	untie	pai.11; δa:u.24; qhup.54
9.18	chain	kwa:t.11
9.19	rope, cord	qa.0 śit.54
9.192	knot (noun)	śaŋ.31 tui.54
9.21	strike (hit, beat)	ʔdu.31
9.211	pound with fist	ʔbɔŋ.11
9.22	cut	ʔba:k.11
9.221	cut down	qhɛ.31
9.222	chop, hew	qa.0 ʔdui.31
9.223	stab	tɛŋ.24
9.23	knife	śa:ŋ.31 qit.54
9.24	scissors, shears	cim.24
9.25	ax	ŋan.312
9.251	adze	lu:ŋ.11
9.26	break	qit.54
9.261	broken	ɔt.11
9.27	split	ci:ŋ.54
9.28	tear	śɛ.54
9.29	flay, skin	ʔbuŋ.24
9.31	rub, wipe	va:ŋ.54
9.32	stretch	pja.24 ʔbin.24; pja.24 ʔban.31
9.33	pull	ta.0 δɛu.11
9.34	spread out	vi.312
9.341	hang up	va:t.33
9.342	press	qhɛ.31
9.343	squeeze, wring	ma:k.0 śiu.54
9.35	pour	śat.54
9.36	wash	ńum.11
9.37	sweep	ca:k.11
9.38	broom	qa.0 lam.11
9.422	tool	lam.11 lak.11
9.43	carpenter	nɛp.11
9.44	build	ta.0 pan.312
9.46	bore	tuk.54
9.461	hollow out	śwɛn.24; qhat.11
9.48	saw	ɔt.11
9.49	hammer	ʒaŋ.11
9.5	nail	tuk.54
9.56	glue	ʒɛt.11
9.6	smith, blacksmith	ʔdi:u.31
9.61	forge	ʔdi:u.31
9.62	anvil	kam.54; śu:p.31
9.63	cast (metals)	qa.0 śɛn.11
9.64	gold	ta.0 lui.312
9.65	silver	cam.24
9.66	copper, bronze	ɔŋ.24 ta.312 lu:ŋ.24
9.67	iron	pu.11
9.68	lead (noun)	a:p.11 ɔŋ.24
9.69	tin, tinplate	ɔŋ.24 qa.0 ti:n.11; qa.0 ʔdam.24
9.71	potter	pɔk.11
9.72	mold (clay etc)	ta.0 ʔbin.54
9.73	clay	hip.54
9.74	glass	pa:n.312
9.75	weave, plait	kwi.312
9.76	basket	ʒiŋ.11 ʒɛ.31
9.77	mat	qa.0 tan.24
9.771	rug	qa.0 tɛu.11
9.78	netbag	tɔt.31
9.79	fan (noun)	qa.0 tɛu.11 u.54
9.791	fan (vb)	la.0 vi.312
9.81	carve	ta.0 kɛn.11
9.82	sculptor	va.11
9.83	statue	qa:i.54 puŋ.31 ka:n.312
9.84	chisel	ma.0 na.312 ma.0 lu.312
9.88	paint (noun)	qa:i.54 puŋ.31 ʒun.11
9.89	paint (vb)	ɔk.11 va.11
10.11	move	ʒɔ.24
10.12	turn over	ma.54
10.13	turn around	ta:u.312 ma.54
10.14	wind, wrap	ɔk.11 va.11
10.15	roll	ʔbat.31
10.16	drop (vb)	tam.11 təi.24
10.17	twist	va.11 tam.11
10.21	rise	ti:n.11
10.22	raise, lift	an.31 thuə.24
10.23	fall	qhau.24
10.24	drip	mi.312
10.25	throw	thiu.24
10.252	catch (ball)	pɛk.11
10.26	shake	tiŋ.11
10.32	flow	ka:p.11
10.33	sink	pa.11; ta:p.11
10.34	float	ta:p.11
10.35	swim	ʒaŋ.31 ma.54
10.351	dive	ci.31 va.11
10.352	splash	ta:i.54 khun.54
10.36	sail (vb)	ha:i.54 chə.11
10.37	fly (vb)	khui.54
10.38	blow	kai.11
10.41	creep, crawl	khun.54
10.412	kneel	khun.54 ɛŋ.24
10.413	crouch	ci:u.11
10.42	slide, slip	chə.11
10.43	jump, leap	lən.31 tha:i.33
10.431	kick	ɛk.11
10.44	dance	luə.11 lu:ŋ.24
10.45	walk	luə.11 ɛŋ.24
10.451	limp	fa.11
10.46	run	fa.11
10.47	go	ka:u.11 luə.11
10.471	go up	fa:i.11 luə.11
10.472	climb	taŋ.11
10.473	go down	hɨn.33 lu.54 ɛŋ.24; hɨn.33 ta:ŋ 54 pa:k.312
10.474	go out	pan.11
10.48	come	mi.312
10.481	come back	kap.11
10.49	go away, depart	kam.54
10.491	disappear	qom.54
10.51	flee	ʔdai.24
10.52	follow	ʒuŋ.33 ʒu:ŋ.312
10.53	pursue	puə.24
10.55	reach, arrive	δui.24
10.56	approach	li.31 puə.24
10.57	enter	cau.54
10.61	carry (bear)	ʔdu.31 va:i.312
10.612	carry-in-hand	δa.54
10.613	carry-on-shoulder	δa.54 han.24
10.614	carry-on-head	ʔdu.31 tuk.54
10.615	carry-underarm	ha:i.54 va.11
10.62	bring	ma.0 śɛn.11
10.63	send	ma.0 śɛŋ.11
10.64	lead (vb)	pan.0 ma.0 ćɛn.11
10.65	drive	hɛ.24
10.66	ride	ʔdu.31 tɛ.11
10.67	push, shove	qa.0 tiŋ.24
10.71	road	kam.11
10.72	path	ʒaŋ.31 la.0 pu.11
10.74	bridge	mi.312 puə.24
10.75	carriage, wagon, cart	śwa:n.54
10.76	wheel	śui.11
10.77	axle	qɔ.54
10.78	yoke	ma.0 śɛn.11 qoŋ.24
10.81	ship	δa.54
10.83	boat	mi.312
10.831	canoe	pa:n.24
10.832	outrigger	ʔdu.31 ka:i.11 ʒuŋ.31 ʒu:ŋ.24
10.84	raft	ʔdu.31 ka:i.11 ma.0 iŋ.31
10.85	oar	hɨ.24
10.851	paddle (noun)	śa:ŋ.33 ti:n.11
10.852	row (vb)	ca.54 ma.0 śɛn.11
10.86	rudder	qa.0 pɛŋ.11
10.87	mast	śi:n.31
10.88	sail (noun)	pon.24
10.89	anchor	śaŋ.31
10.91	harbor, port	van.54 śa.24
10.92	land (vb)	tuk.54 lən.312
11.11	have	pa:t.11 qhɛn.11
11.12	own, possess	puŋ.54 ʒun.11
11.13	take	ta.0 (k)qon.54
11.14	seize, grasp	puŋ.33 pɔŋ.24
11.15	hold	puŋ.33 δiə.24
11.16	get, obtain	puŋ.54 ʒun.11
11.17	keep, retain	puŋ.54 lu.54
11.18	thing	naŋ.11 ta
11.21	give	na:ŋ.11
11.22	give back	qa.0 tu.24
11.24	preserve, look after	iŋ.24
11.25	save, rescue	qa.0 in.11
11.27	destroy	an.31
11.28	harm, injure, damage	ʒu.54
11.31	seek, look for	qa.0 lɛ.312
11.32	find	δup.11
11.33	lose	cip.54
11.34	release, let go	mɔ.312
11.43	money	ta.0 ʔdɔn.31
11.44	coin	pja:k.11 la:n.312
11.51	rich	pon.24
11.52	poor	ha:i.54 ma.54
11.53	beggar	ha:i.54
11.54	avaricious, stingy	ʔda:ŋ.24; tam.54
11.61	lend	qa.0 nip.11
11.62	borrow	lum.24; qup.11
11.63	owe	śiə.54; qa.0 ʔdet.54
11.64	debt	va:ŋ.312
11.65	pay (vb)	ta.11
11.66	account, reckoning	puŋ.54 lu.54
11.69	tax, tribute	puŋ.54 ʒun.11
11.77	hire	mu:t.11
11.78	wages	qhɛn.54
11.79	earn	qhɛn.11
11.81	buy	qhɛn.11
11.82	sell	ta.0 lɔŋ.11
11.83	trade, barter	ta.0 lɔŋ.11
11.84	merchant	qa.0 mi.11
11.85	market (place)	qa.0 lɛu.11
11.86	store, shop	thuə.24; ma.0 δi.24
11.87	price	tuŋ.33
11.88	dear (costly, expensive)	śi.33
11.89	cheap	pə.31
11.91	share (distribute)	na:n.31
11.92	weigh	lu:ŋ.24
12.1	after	δa:u.24
12.11	behind	ka:p.31
12.2	beside	lu:ŋ.24
12.3	down, below	ɛŋ.24
12.4	before	δi.24
12.41	front	va:ŋ.312
12.5	inside, in	ti.11
12.6	outside	kwa:ŋ.24
12.7	under	kap.11
12.8	up, above	ta.0 na.312
12.11	place	tɨŋ.54
12.12	put	ta.0 vɛ.11
12.13	sit	qa.0 lak.54
12.14	lie down	qa.0 ti:n.11
12.15	stand	phi:ŋ.24
12.16	remain, stay	ʒut.11
12.17	remains, left overs	ta.0 (k)kɔk.11
12.21	collect, gather	qiu.24
12.212	pick up	ŋɛŋ.11
12.213	pile up	ka:t.11 la:n.312
12.22	join, unite	pa.54 ńɛŋ.11
12.23	separate	man.11
12.232	divide	a.0 kwaŋ.11
12.24	open	chau.31
12.25	shut, close	qa.0 śiə.54
12.26	cover	muə.312
12.27	hide, conceal	lum.11
12.31	high	pjan.54
12.32	low	l:ŋ.31
12.33	top	am.24
12.34	bottom	śa.54
12.35	end	tu.54
12.352	pointed	pa.54
12.353	edge	ma.312
12.36	side	nam.54
12.37	middle, center	tu.312
12.41	right (side)	ma.0 δu.312
12.42	left (side)	va.11
12.43	near (adv)	put.54
12.44	far (adv)	put.54 am.54
12.45	east	put.54 śa.54
12.46	west	put.54 ma.312
12.47	north	śa.54 put.54
12.48	south	pa:k.11
12.53	grow	śi:n.24
12.54	measure	a:n.31
12.541	span, fathom	taŋ.11 lɛ.24
12.55	large, big	ʔbuə.31
12.56	small, little	it.54
12.57	long	tɔ.11
12.58	tall	cit.54
12.59	short	cum.54
12.61	wide, broad	tɛk.11
12.62	narrow	qa.0 śi.11
12.63	thick (in dimension)	ʔda:i.24
12.65	thin (in dimension)	a.0 pa:ŋ.11
12.67	deep	a.0 tɔn.11
12.68	shallow	tɔk.11
12.71	flat	ta:i.33 it.54
12.73	straight	tak.54 lən.24
12.74	crooked	ta:i.33 śa.54
12.75	hook	qu.11
12.76	corner	śa.54 kɔŋ.11
12.77	cross	ta:i.33 tu:54
12.78	square	tu.54 kɔŋ.11
12.81	round	pi:ŋ:312 ʔda:n.312
12.82	circle	ma:n.312
12.83	sphere, ball	naŋ.11 ɛu.24
12.84	line	qu.11
12.85	hole	cɛ.54
12.92	like, similar	ɔk.11
12.93	change	δɛ.24
13.0	zero, nothing	tak.33 lɛn.24
13.1	one	śi.31 ni.31
13.2	two	ma.54 śa:ŋ.11
13.3	three	ha:u.24
13.4	four	lum.54
13.5	five	va.11 ha:u.24
13.6	six	ta:n.33 kɔ.31
13.7	seven	śa:u.31 ma.54
13.8	eight	qa.0 śut.11
13.9	nine	qoi.11
13.10	ten	taŋ.33
13.101	eleven	δəp.33 δəp.33
13.102	twelve	naŋ.11 ś.11
13.103	fifteen	ʔdɨə.24
13.104	twenty	la:t.11; śa.33
13.105	hundred	naŋ.11 van.54
13.106	thousand	naŋ.11 vɛ.54
13.107	count	ma.0 lɔŋ.31 lwa.312
13.14	every, all	naŋ.11 na.54
13.15	much, many	naŋ.11 na.54
13.16	more	ka:n.54 na.54 ʒa:n.31
13.17	little (quantity), few	naŋ.11 vɛ.54
13.18	enough	van.54 ni.11
13.181	some	van.54 tim.11
13.19	multitude, crowd	van.54 ta.11
13.21	full	van.54 nɛ.11
13.22	empty	van.54 ɛ.24
13.23	part, piece	cuŋ.33 thau.31
13.24	half	cuŋ.11
13.33	alone, only	śən.33 ci.31
13.34	first	śən.33 ci.31 thiɛn.33
13.35	last	śən.33 ci.31 ʒi.31
13.36	second	śən.33 ci.31 ə.24
13.37	pair	śən.33 ci.31 śa:n.33
13.38	two times	śən.33 ci.31 śI.24
13.42	third	śən.33 ci.31 u.54
13.44	three times	śən.33 ci.31 lu.31
14.11	time	ʔda:n.31
14.12	age	pi:ŋ.312
14.13	new	śu.11 qa.0 na:t.11
14.14	young	śu.11 an.54
14.15	old	śu.11 an.54 ʔbun.54 qa.0 δɛŋ.11
14.16	early	śu.11 ʒu:t.11
14.17	late	mi:u.11
14.18	now	ma.0 ʔdɔŋ.54
14.19	immediately	hɔm.24
14.21	swift, fast, quick	hɔm.24
14.22	slow	hɔm.24
14.23	hasten, hurry	ma.0 ʔdɔŋ.31
14.24	retard, delay	qa.0 cɛt.11
14.25	begin, beginning	qa.0 ɛn.24
14.252	last, endure	gha:m.11
14.26	end (temporal)	qam.54
14.27	finish	ʔda:t.11
14.28	cease, stop	ʒak.54
14.29	ready	in.31
14.31	always	qa.0 ʔdaŋ.31
14.32	often	qa.0 δɛŋ.31
14.33	sometimes	ʔdap.54
14.331	soon	qai.54 han.24
14.332	long-time (for a)	qai.54
14.34	never	mi.11 ɔk.11
14.35	again	ci:u.54
14.41	day	ma.0 lɔŋ.312
14.42	night	ʒian.31 śə.31
14.43	dawn	mɔ.11
14.44	morning	cɛt.11
14.45	noon, midday	ɔk.11
14.451	afternoon	ʔdam.54
14.46	evening	la:n.11
14.47	today	cep.11
14.48	tomorrow	lok.11
14.481	day-after-tomorrow	ŋa:n.11
14.49	yesterday	phuŋ.31
14.491	day-before-yesterday	kɛt.11
14.51	hour	lum.11 lwa.11
14.53	clock, timepiece	qa.0 la.11
14.61	week	lum.312
14.62	Sunday	qa.0 ʒa.312
14.63	Monday	lɨ:n.24
14.64	Tuesday	qhɛn.54
14.65	Wednesday	kam.24
14.66	Thursday	qa.0 naŋ.11
14.67	Friday	δak.11
14.68	Saturday	δɔ.11; qa.0 δɛŋ.11
14.71	month	δɔ.11
14.73	year	qa.0 tɔt.11
14.74	winter	qa.0 u:n.11
14.75	spring	qa.0 ʔbɔt.11
14.76	summer	gha:u.54
14.77	autumn	ɔŋ.11 am.31
14.78	season	δɨt.54
15.21	smell (vb intrans)	la.0 ŋɔn.312
15.212	sniff	qa.0 ʒɔn.11
15.22	smell (vb trans)	miŋ.31 ŋai.24
15.25	fragrant, good smelling	tu.31 la:i.31
15.26	stinking, bad smelling	meŋ.24; paŋ.11
15.31	taste	qa.0 śɔ.54
15.35	sweet	qa.0 śɔ.54 ńam.11 ńam.11
15.36	salty	li:u.31
15.37	bitter	ma:i.24
15.38	acid, sour	ńam.11
15.39	brackish	qhɔt.11
15.41	hear	qa.0 δi.11
15.42	listen	kan.54 hi.54
15.44	sound, noise	ʒi:31
15.45	loud	kɔ.11 ϑi.31
15.46	quiet, silence	ńi:t.11
15.51	see	əŋ.24 ma.0 ʒa.11
15.52	look, look at	ta.0 δɛŋ.312
15.55	show	ŋau.312
15.56	shine	ńɛ.11 ma.0 lɔŋ.11
15.57	bright	ʒak.33 qhan.31
15.61	color	fa:n.24 na.24
15.62	light (in color)	meŋ.24
15.63	dark (in color)	ka:m.24
15.64	white	ʒa:k.11 fa.11
15.65	black	ta.11 ta:n.54
15.66	red	i.0 vau.24
15.67	blue	vai.31 śian.54
15.68	green	lɛ.312
15.69	yellow	nɨ.312
15.71	touch	cin.33
15.712	pinch	i.0 la.54
15.72	feel	i.0 la.54
15.74	hard	ʒu:n.31 liɛŋ.11
15.75	soft	ŋai.24
15.76	rough	va:i 312
15.77	smooth	hɔ.31
15.78	sharp	lɔn.54
15.79	blunt, dull	lɔn.54
15.81	heavy	lɔŋ.54
15.82	light (in weight)	kwa:i.54
15.83	wet, damp	qhan.31
15.84	dry	ŋai.24
15.85	hot	tu.11 la:i.11
15.851	warm	mau.312
15.86	cold	chuŋ.33 miŋ.31
15.87	clean	nɨ.312
15.88	dirty, soiled	śin.54
15.89	wrinkled	tin.11
16.11	soul, spirit	ϑi:ŋ.54
16.15	surprised, astonished	ha:u.54 ϑi:ŋ.11
16.18	good fortune, luck	pan.11
16.19	misfortune, bad luck	pa:k.11
16.23	joyful, glad, happy	śwa:n.54
16.25	laugh	śwa:n.54
16.251	smile	śwa:n.54
16.26	play	śɔ.31 ϑɨn.33
16.27	love	la:u.54 ϑɨ.11
16.29	kiss	śɔ.31 śa:u.11
16.3	embrace	nian.11
16.31	pain	ʔdap.54
16.32	grief, sorrow, sadness	qhɛn.31 chiŋ.31
16.33	anxiety, worry	na:n.31 tin.11
16.34	regret, be sorry	a.0 ʒuŋ.54 a.0 ʒu:ŋ.54
16.35	pity	khən.54 tin.11
16.37	cry, weep	ka:i.54 śi.31
16.38	tear (noun)	mu.31 ti.31
16.39	groan	śu:n.31 jin.33
16.41	hate	hua:i 31 ńi.31
16.42	anger	hua:i.31 ńi.31
16.44	envy, jealousy	an.31 fa:n.54 ʔdiŋ.24
16.45	shame (noun)	ʔdu.31 ŋa:i.312
16.48	proud	na:n.312
16.51	dare	śi.11
16.52	brave	taŋ.11
16.53	fear, fright	ʒin.33 vai.11
16.54	danger	ʒu.31 kɔ.54
16.62	desire, want	nə.24
16.622	choose	cɛ.24
16.63	hope	la:i.11; cɛ.24 la:i.31(11)
16.65	faithful	ʔdu.31 nɔ.24
16.66	true	qa.0 nɔ.11(24)
16.67	lie, tell lies	ʔbuə.31 it.54
16.68	deceit	la.0 pjɔ.11
16.69	forgive	śu.11 nɔ.11(24)
16.71	good	lɔ.11(24) hɛ.31
16.72	bad	ma.0 nɔ.11(24)
16.73	right, correct	ma.0 nɔ.11(24)
16.74	wrong	qa.0 ʒu:ŋ.31 pjɔ.11
16.76	fault	ni.11
16.77	mistake, error	an.31 ni.11
16.78	blame	ʔbɨ:i.24; ńa.11
16.79	praise	ʔban.31 ʔbɨ:i.24; ʔban.31 ńa.11
16.81	beautiful	hiŋ.24
16.82	ugly	cha:ŋ.11; ʔdu.31
16.83	greedy	lu:n.11
16.84	clever	ŋɔn.11
17.11	mind	śɛn.54 śɛn.54 i.11
17.13	think (= reflect)	ʔbut.33 ʔdat.33
17.14	think (= be of the opinion)	ceu.54
17.15	believe	ɔk.11 qa.0 δɛŋ.31
17.16	understand	ha:t.11
17.17	know	ma.0 tɛ.312
17.171	guess	ma.0 tɛ.312 ʔbɔ.33
17.172	imitate	i.11
17.18	seem	i.11 ʔbɔŋ.31 ma.0 ɛ.24
17.19	idea, notion	ŋɔn.31 bat.54
17.21	wise	ma.0 tɛ.312
17.22	foolish, stupid	śɨ.24
17.23	insane, crazy	miŋ.11
17.24	learn	śi.24
17.242	study	pa.312
17.25	teach	chən.31 ʒən.11
17.26	pupil	fau.54 ʒən.11
17.27	teacher	śiŋ.11
17.28	school	pa.312
17.31	remember	ŋɔn.11
17.32	forget	ŋɔn.11 ʔdu.31
17.34	clear, plain	qhan.54
17.35	obscure	ma:i.11
17.36	secret	qa.0 ta:m.11
17.37	sure, certain	śa.11
17.38	explain	pit.54
17.41	intention, purpose	śɨ.24
17.42	cause	ma.0 luə.11
17.43	doubt	qa.0 lɔŋ.312
17.44	suspect	qa.0 u.11
17.441	betray	ku:k.31
17.45	need, necessity	ku:k.31
17.46	easy	qa.0 pu:ŋ.24 lu:ŋ.24
17.47	difficult	hɛ.0 lu:ŋ.11
17.48	try, attempt	ma.0 iŋ.31
17.49	way, manner	qa.0 δu.11 ma.0 iŋ.31
17.51	and	qa.0 tui.54 qa.0 śuŋ.11
17.52	because	kuen.24
17.53	if	vu:ŋ.11 tai.54
17.54	or	qa.0 ʔdiə.11 luk.54
17.55	yes, affirmative	an.31 koŋ.34
17.56	no, negative	min.11 lin.11
17.61	how?	puə.24
17.62	how many?	uə.33 ci.54
17.63	how much?	ti.31 ʒən.31
17.64	what?	luk.54 qhɛn.11
17.65	when?	ma.312 ma:n.312
17.66	where?	hɛk.31
17.67	which?	puŋ.33 luk.54
17.68	who?	paŋ.24
17.69	why?	ta:ŋ.24
18.11	voice	tu.11 kuen.54
18.12	sing	ci:n.312 la:n.312
18.13	shout, cry out	han.33 la:n.312
18.15	whisper	śau.31 la:n.312
18.16	mumble	kin.33 təi.11
18.17	whistle	ʔdu.31 piŋ.11
18.18	shriek, screech	qa.0 tui.54 tɔn.312
18.19	howl	ma:k.0 qa:n.54
18.21	speak, talk	ta:n.24 kuŋ.33
18.211	stutter, stammer	kuŋ.33
18.22	say	ci:n.11
18.221	tell story	pja.11 hi.31
18.222	speech (make a)	pha:u.54
18.23	silent (be)	hiŋ.11
18.24	language	tu.11 la:i.11
18.26	word	kuŋ.11
18.28	name	ghɛ.54
18.31	ask (question, inquire)	ta:u.312
18.32	answer	thau.31 śa:ŋ.31
18.33	admit, confess	nak.54 uə.54 ma.0 la.54
18.34	deny	ʔdɔŋ.54 ʔbit.54
18.35	ask, request	ʔdɔŋ.31 ʔda:ŋ.31; ʔdɔŋ.31 vɛ.24
18.36	promise	nak.11 thau.54
18.37	refuse	ma.0 iŋ.31 nak.11 thau.54
18.38	forbid	śə.11
18.39	rebuke, scold	ta.0 ta.0 ŋiŋ.11
18.41	call (=summon)	qa.0 lɛŋ.54
18.42	call (=name)	fa.31
18.43	announce	pha:n.11
18.44	threaten	ka:u.54
18.45	boast	fa.31
18.51	write	fa.31 khu:n.54
18.52	read	luk.54 chaŋ.24
18.56	paper	ma.0 tɛ.54
18.57	pen	tut.54 pui.54
18.61	book	lu:m.11
18.67	poet	qa.0 ńiə.312
18.71	flute	ʔdu.11(31) lu:m.11
18.72	drum	ha:m.11
18.73	horn, trumpet	pa:i.24
18.74	rattle	ʔdu.11(31) ma:ŋ.312
19.11	country	ϑi:n.24
19.12	one's native country	la.0 ma:ŋ.312
19.15	city, town
19.16	village
19.17	boundary
19.21	people (populace)
19.23	tribe, clan
19.24	chief, chieftain
19.25	staff, walking stick
19.31	rule, govern
19.32	king, ruler
19.33	queen
19.36	noble, nobleman
19.37	citizen, subject
19.41	master
19.42	slave
19.43	servant
19.44	freeman
19.45	command, order
19.46	obey
19.47	let, permit
19.51	friend, companion
19.52	enemy
19.54	neighbor
19.55	stranger
19.56	guest
19.57	host
19.58	help, aid
19.59	hinder, prevent
19.61	custom
19.62	strife, quarrel
19.63	conspiracy, plot
19.65	meet
19.72	prostitute
20.11	fight (vb)
20.13	war, battle
20.14	peace
20.15	army
20.17	soldier
20.21	weapons, arms
20.22	club
20.222	battle-ax
20.23	sling
20.24	bow
20.25	arrow
20.26	spear
20.27	sword
20.28	gun, cannon
20.31	armor (defensive)
20.33	helmet
20.34	shield
20.35	fortress
20.36	tower
20.41	victory
20.42	defeat
20.43	attack
20.44	defend
20.45	retreat
20.46	surrender
20.47	captive, prisoner
20.471	guard, sentinel
20.48	booty, spoils
20.49	ambush
20.51	fisherman
20.52	fishhook
20.53	fishing line
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
