entry_id	trans_english	Hungarian_Phonemic
13.106	thousand	ezer ~ ezre-
13.107	count	saamol
13.14	every, all	minden ~ mindenki; mind
13.15	much, many	šok
13.16	more	több
13.17	little (quantity), few	keweeš; walami
13.18	enough	alapošan; nadʸon
13.181	some	(edʸ)neehaaɲ; edʸeš
13.19	multitude, crowd	šokašaag; tömeg
13.21	full	telt ~ tele
13.22	empty	üreš
13.23	part, piece	rees
13.24	half	feel
13.33	alone, only	edʸedül ~ edʸetlen; čak; čupaan
13.34	first	elšöö
13.35	last	utolšoo
13.36	second	edʸmaaš; maašodik
13.37	pair	paar
13.38	two times	kettöösör
13.42	third	harmadik
13.44	three times	haromzor
14.11	time	idöö
14.12	age	kor
14.13	new	uuy
14.14	young	fiatal
14.15	old	öreg
14.16	early	kooran; yookor
14.17	late	keešöön
14.18	now	mošt
14.19	immediately	azonnal; rögtön
14.21	swift, fast, quick	dʸorš; fürge; rohamoš
14.22	slow	laššuu; lomha
14.23	hasten, hurry	šiet; idʸeksik
14.24	retard, delay	laššiit
14.25	begin, beginning	kezd ~ kezdet
14.252	last, endure	biir
14.26	end (temporal)	weeg
14.27	finish	(be)weegez
14.28	cease, stop	abbahadʸ
14.29	ready	kees
14.31	always	mindig ~ mindenkor
14.32	often	dʸakran
14.33	sometimes	walamikor
14.331	soon	mindyaart
14.332	long-time (for a)	šokaaig
14.34	never	šoha
14.35	again	megint; pedig
14.41	day	nap
14.42	night	eey
14.43	dawn	napkelte; haynal
14.44	morning	reggel
14.45	noon, midday	deel
14.451	afternoon	deelutaan
14.46	evening	ešte
14.47	today	ma
14.48	tomorrow	holnap
14.481	day-after-tomorrow	holnaputaan
14.49	yesterday	tegnap
14.491	day-before-yesterday	tegnapelöött
14.51	hour	oora
14.53	clock, timepiece	oora
14.61	week	heet
14.62	Sunday	wašaarnap
14.63	Monday	heetföö
14.64	Tuesday	kedd
14.65	Wednesday	serda
14.66	Thursday	čütörtök
14.67	Friday	peentek
14.68	Saturday	sombat
14.71	month	hoonap
14.73	year	eew
14.74	winter	teel
14.75	spring	tawas
14.76	summer	ɲaar
14.77	autumn	ös
14.78	season	eewsak
15.21	smell (vb intrans)	illatozik
15.212	sniff	(meg)sagol ~ sagolgat
15.22	smell (vb trans)	(meg)sagol
15.25	fragrant, good smelling	illatoš
15.26	stinking, bad smelling	büüzöš ~ büdöš
15.31	taste	(meg)iizlel
15.35	sweet	eedeš; yooiizüü
15.36	salty	šooš
15.37	bitter	kešerüü
15.38	acid, sour	šawaɲuu
15.39	brackish	kiššee šooš
15.41	hear	hall
15.42	listen	hallgat
15.44	sound, noise	hang
15.45	loud	nadʸhanguu
15.46	quiet, silence	čend; ɲugalom
15.51	see	laat
15.52	look, look at	neez
15.55	show	mutat
15.56	shine	feeɲlik
15.57	bright	wilaagoš
15.61	color	siin
15.62	light (in color)	wilaagoš
15.63	dark (in color)	šöteet
15.64	white	feheer
15.65	black	fekete
15.66	red	piroš
15.67	blue	keek
15.68	green	zöld
15.69	yellow	šaarga
15.71	touch	(hozzaa)eer
15.712	pinch	megčiip
15.72	feel	tapogat; eerez
15.74	hard	kemeeɲ
15.75	soft	puha; laadʸ
15.76	rough	eerdeš
15.77	smooth	šima
15.78	sharp	eeleš
15.79	blunt, dull	eeletlen; tompa
15.81	heavy	neheez
15.82	light (in weight)	könɲüü
15.83	wet, damp	nedweš; ɲirkoš
15.84	dry	saaraz
15.85	hot	forroo; tüzeš
15.851	warm	meleg
15.86	cold	hideg
15.87	clean	tista
15.88	dirty, soiled	piskoš; močkoš
15.89	wrinkled	raanc̷oš
16.11	soul, spirit	leelek; sellem
16.15	surprised, astonished	meglepöödött; čodaalkozoo
16.18	good fortune, luck	serenče
16.19	misfortune, bad luck	balšorš
16.23	joyful, glad, happy	widaam; boldog
16.25	laugh	newet
16.251	smile	mošolʸog
16.26	play	yaatsik
16.27	love	seret; serelem
16.29	kiss	čookol
16.3	embrace	megölel; aatkarol
16.31	pain	faayaaš
16.32	grief, sorrow, sadness	baanat; somoruušaag
16.33	anxiety, worry	gondoškodaaš
16.34	regret, be sorry	(meg)šaynaal; (meg)baan
16.35	pity	reesweet; šaynaalkozaaš
16.37	cry, weep	šiirdogaal
16.38	tear (noun)	könɲ(čepp)
16.39	groan	ɲög ~ ɲösörög; šoohaytozik
16.41	hate	dʸüülöl
16.42	anger	dʸüülölet
16.44	envy, jealousy	iridʸšeeg
16.45	shame (noun)	seedʸen
16.48	proud	keweelʸ; büske
16.51	dare	mer ~ mereesel
16.52	brave	baator
16.53	fear, fright	feelelem
16.54	danger	weseelʸ
16.62	desire, want	kiiwaan; akar; kedwe; tartya; seret
16.622	choose	waalast
16.63	hope	kiiwaanšaag
16.65	faithful	hüü
16.66	true	igazi ~ igaz
16.67	lie, tell lies	hazudik
16.68	deceit	hazugšaag
16.69	forgive	megbočaat
16.71	good	yoo; helʸeš
16.72	bad	ross
16.73	right, correct	igaz ~ igazšaagoš
16.74	wrong	hamiš; teeweš
16.76	fault	hiba; felelööššeeg
16.77	mistake, error	hiba
16.78	blame	sidaaš; dorgaalaaš
16.79	praise	dičeeret ~ dičööiiteeš
16.81	beautiful	seep
16.82	ugly	čuuɲa
16.83	greedy	iridʸ
16.84	clever	bölč
17.11	mind	es
17.13	think (= reflect)	gondolkozik; weel
17.14	think (= be of the opinion)	gondol; weel
17.15	believe	his
17.16	understand	eert ~ megeert
17.17	know	tud; išmer
17.171	guess	felteetelez; weel
17.172	imitate	utaanoz; imitaal
17.18	seem	laatsik
17.19	idea, notion	gondolat; esme; fogalom
17.21	wise	bölč; okoš
17.22	foolish, stupid	oštoba; buta; hülʸe
17.23	insane, crazy	bolond; öörult
17.24	learn	tanul ~ megtanul
17.242	study	tanul
17.25	teach	taniit; oktat
17.26	pupil	tanuloo
17.27	teacher	taniitoo
17.28	school	iškola
17.31	remember	emleeksik
17.32	forget	(el)feleyt
17.34	clear, plain	wilaagoš
17.35	obscure	homaalʸoš
17.36	secret	titkoš
17.37	sure, certain	biztoš
17.38	explain	(meg)madʸaraaz
17.41	intention, purpose	saandeek
17.42	cause	ok
17.43	doubt	keetelkedik
17.44	suspect	keetelkedik; dʸanuušiit
17.441	betray	elaarul; kiad
17.45	need, necessity	sükšeeg
17.46	easy	könɲüü; eɲhe
17.47	difficult	neheez; bayoš
17.48	try, attempt	proobaal
17.49	way, manner	mood; elyaaraaš
17.51	and	eeš
17.52	because	miwel; mert
17.53	if	ha; hodʸha
17.54	or	wadʸ
17.55	yes, affirmative	igen; igenlöö
17.56	no, negative	nem; tagadoo
17.61	how?	hodʸ? ~ hodʸan?
17.62	how many?	haaɲ?; menɲi?
17.63	how much?	haaɲ?; menɲi?
17.64	what?	mi?
17.65	when?	mikor?
17.66	where?	howaa?; hol?
17.67	which?	milʸen?
17.68	who?	ki?
17.69	why?	mieert?
18.11	voice	hang
18.12	sing	eenekel
18.13	shout, cry out	kiaalt; kiabaal
18.15	whisper	šuug
18.16	mumble	mormog; motʸog
18.17	whistle	fütʸül
18.18	shriek, screech	ordiit; üwölt
18.19	howl	woniit; üwölt
18.21	speak, talk	beseel ~ sool
18.211	stutter, stammer	dadog; hebeg
18.22	say	mond; sool
18.221	tell story	(el)beseel; (el)mond
18.222	speech (make a)	beseedet mond
18.23	silent (be)	čendeš
18.24	language	ɲelw
18.26	word	soo
18.28	name	neew
18.31	ask (question, inquire)	(meg)keerdez
18.32	answer	felel; waalasol
18.33	admit, confess	felišmer ~ megišmer ~ beišmer
18.34	deny	tagad ~ letagad; kiɲiilik
18.35	ask, request	keer; köwetel
18.36	promise	(meg)iigeer; megfogad
18.37	refuse	wonakodik
18.38	forbid	tilt ~ betilt
18.39	rebuke, scold	semrehaaɲaašt ten
18.41	call (=summon)	(meg)hiiw; inwitaal
18.42	call (=name)	neeween sooliit
18.43	announce	kihirdet
18.44	threaten	(meg)feɲeget
18.45	boast	dičeksik; keerkedik; henc̷eg
18.51	write	iir
18.52	read	(el)olwaš
18.56	paper	papiir
18.57	pen	(iiroo)toll
18.61	book	köɲw
18.67	poet	költöö
18.71	flute	fuwola
18.72	drum	dob
18.73	horn, trumpet	kürt; čöö
18.74	rattle	(yaateek)čörgöö
19.11	country	orsaag
19.12	one's native country	haza; sülööföld
19.15	city, town	waaroš
19.16	village	falu
19.17	boundary	hataar
19.21	people (populace)	neep ~ nemzet
19.23	tribe, clan	törž; nemzetšeeg
19.24	chief, chieftain	wezeer
19.25	staff, walking stick	bot; šeetabot
19.31	rule, govern	kormaaɲoz
19.32	king, ruler	kiraalʸ
19.33	queen	kiraalʸnöö
19.36	noble, nobleman	nemeš(ember)
19.37	citizen, subject	aallampolgaar; polgaar
19.41	master	gazda; uur
19.42	slave	rabsolga
19.43	servant	solga
19.44	freeman	sabad ember
19.45	command, order	(meg)parančol; felsooliit
19.46	obey	hallgat; engedelmeškedik
19.47	let, permit	megenged
19.51	friend, companion	baraat; hawer
19.52	enemy	ellenšeeg
19.54	neighbor	somseed
19.55	stranger	idegen
19.56	guest	wendeeg
19.57	host	gazda
19.58	help, aid	šegiit; taamogat
19.59	hinder, prevent	zawar ~ megzawar; haaborgat; akadaalʸoz
19.61	custom	mood ~ moodser
19.62	strife, quarrel	wesekedeeš ~ wisaalʸ; wita
19.63	conspiracy, plot	megigeezeeš; raadwašaaš
19.65	meet	(meg)talaal
19.72	prostitute	proštituaalt; keeynöö
20.11	fight (vb)	harc̷ol; küzöl
20.13	war, battle	haaboruu
20.14	peace	beeke
20.15	army	had(šereg) ~ šereg
20.17	soldier	katona
20.21	weapons, arms	fedʸwer
20.22	club	gomboštüü
20.222	battle-ax	harc̷ibaarc̷l
20.23	sling	parittʸa
20.24	bow	iiy
20.25	arrow	ɲiil
20.26	spear	kopya; daarda
20.27	sword	kard
20.28	gun, cannon	fedʸwer; aadʸuu; löweg
20.31	armor (defensive)	paanc̷eel(zat)
20.33	helmet	šišak
20.34	shield	payž
20.35	fortress	erööd
20.36	tower	toroɲ
20.41	victory	dʸözelem
20.42	defeat	werešeeg; eltalaalaaš; raarohan
20.43	attack	taamadaaš; roham
20.44	defend	oow ~ megoow; weed
20.45	retreat	wissaleep ~ haatraleep
20.46	surrender	aatad; aatenged
20.47	captive, prisoner	fogolʸ; rab
20.471	guard, sentinel	öör ~ örsem
20.48	booty, spoils	hadižaakmaaɲ
20.49	ambush	čapda
20.51	fisherman	halaas
20.52	fishhook	horog
20.53	fishing line	horgaasžineg
20.54	fishnet	halaashaaloo
20.55	fish trap	wessööwarša
20.56	bait	čaleetek; ɲerešeeg; hason
20.61	hunt	wadaasik
20.62	shoot	löö
20.63	miss (target)	elhibaazza ac̷eelt
20.64	trap (noun)	čapda; kelepc̷e
20.65	trap (vb)	čapdaaba eyt
21.11	law	törweeɲ; yog
21.15	court	törweeɲseek; biiroošaag
21.16	judge (vb)	eleeteel; weelemeeɲt
21.17	judgment	iiteeleet
21.18	judge (noun)	biiroo
21.21	plaintiff	felpereš; panasoš
21.22	defendant	alpereš
21.23	witness	tanuu
21.24	swear	ešküt tes
21.25	oath	eškü
21.31	accuse	waadat emel
21.32	condemn	elteel ~ iiteel
21.33	convict (vb)	büünöšnek talaalya (iiteel)
21.34	acquit	felment
21.35	guilty	büünöš; hibaaš
21.36	innocent	aartatlan
21.37	penalty, punishment	bünteteeš
21.38	fine	biiršaag
21.39	prison, jail	foghaaz; börtön
21.42	murder	dʸilkoššaag
21.43	adultery	haazaššaagtöreeš
21.44	rape	enöösak
21.46	arson	dʸuuytogataaš
21.47	perjury	ešküsegeeš
21.51	steal	lop ~ ellop
21.52	thief	tolway
22.11	religion	wallaaš
22.12	God	Išten
22.13	temple, church	templom; edʸhaaz
22.14	altar	oltaar
22.15	sacrifice, offering	aaldozat
22.16	worship	ištenkeent tistel
22.17	pray	imaadkozik
22.18	priest	pap; lelkees
22.19	holy, sacred	sent
22.22	preach	preedikaal; sentbeseedet mond
22.23	bless	megaald
22.24	curse	elaatkoz ~ (meg)aatkoz
22.26	fast (vb)	böytöl
22.31	heaven	eeg
22.32	hell	pokol
22.35	demon (evil spirit)	ördög
22.37	idol	baalwaaɲ
22.42	magic, witchcraft, sorcery	maagia; waraažlat; waraaž
22.43	sorcerer, witch	waraažloo; büüwees
22.44	fairy, elf	sellem
22.45	ghost, phantom	kiišeertet
22.47	omen, portent	elööyel
