entry_id	trans_english	Slavonic_Old_Church_Phonemic
8.13	garden	vrŭtŭ; vrŭtogradŭ; ogradŭ
8.15	cultivate, till	dělati
8.16	fence	
8.17	ditch	
8.21	plow	orati; ralo
8.212	furrow	brazda
8.22	dig	kopati; ryti
8.23	spade	rylo
8.24	shovel	lopata
8.25	hoe	motyka
8.26	fork	
8.27	rake	
8.31	sow	sěti; sěmę
8.311	seed	sěti; sěmę
8.32	mow, reap	žęti
8.33	sickle, scythe	srŭpŭ; kosa
8.34	thresh	mlatiti; vrěšti
8.35	threshing-floor	gumĭno
8.41	crop, harvest	plodŭ; žętva
8.42	grain (barley, oats etc)	žito
8.43	wheat	pĭšenica
8.44	barley	jęčĭněnŭ; jęčĭnŭ
8.45	rye	rŭžĭ
8.46	oats	ovĭsŭ
8.47	maize, corn	
8.48	rice	
8.51	grass	trava
8.52	hay	sěno
8.53	plant (noun)	sadŭ
8.531	plant (vb)	
8.54	root	korenĭ
8.55	branch	větvĭ; věja
8.56	leaf	listŭ
8.57	flower	cvětŭ; cvětĭcĭ
8.6	tree	drěvo; dąbŭ
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	borŭ
8.65	fir	jela
8.66	acorn	želądĭ
8.67	vine	loza
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	
8.75	bark	
8.76	sap	
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	tvoriti; dělati
9.12	work	trudŭ; dělo; (sŭ)dělati
9.14	bend	sŭlęšti
9.15	fold	sŭgŭnąti; sŭgybati
9.16	tie, bind	sŭvęzati; povrěsti
9.161	untie	
9.18	chain	ąže železĭno
9.19	rope, cord	vrŭvĭ
9.192	knot (noun)	ązlŭ
9.21	strike (hit, beat)	biti; udariti; tlěšti; uraziti
9.211	pound with fist	
9.22	cut	rězati; sěšti (-krojiti)
9.221	cut down	
9.222	chop, hew	
9.223	stab	
9.23	knife	nožĭ
9.24	scissors, shears	
9.25	ax	sěkyra (brady)
9.251	adze	
9.26	break	lomiti
9.261	broken	
9.27	split	cěpiti
9.28	tear	dĭrati
9.29	flay, skin	dĭrati
9.31	rub, wipe	trěti
9.32	stretch	rastęšti
9.33	pull	vlěšti (tęgnąti)
9.34	spread out	postĭlati; rasypati
9.341	hang up	
9.342	press	tiskati; žęti; gnesti
9.343	squeeze, wring	
9.35	pour	lĭjati
9.36	wash	myti; plakati
9.37	sweep	pomesti
9.38	broom	
9.422	tool	orądĭje
9.43	carpenter	tektonŭ; drěvodělja
9.44	build	zĭdati; graditi
9.46	bore	
9.461	hollow out	
9.48	saw	pila
9.49	hammer	mlatŭ
9.5	nail	gvozdĭ
9.56	glue	
9.6	smith, blacksmith	kovačĭ
9.61	forge	kovati
9.62	anvil	nakovalo
9.63	cast (metals)	
9.64	gold	zlato
9.65	silver	s(ŭ)rebro
9.66	copper, bronze	mědĭ
9.67	iron	želěso
9.68	lead (noun)	olovo
9.69	tin, tinplate	kositerŭ
9.71	potter	grĭnĭčarĭ
9.72	mold (clay etc)	
9.73	clay	glina
9.74	glass	stĭklo
9.75	weave, plait	plesti
9.76	basket	košĭ; krabĭjĭ
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	vajati
9.82	sculptor	
9.83	statue	tělo
9.84	chisel	dlato
9.88	paint (noun)	obrazŭ
9.89	paint (vb)	
10.11	move	dvignąti
10.12	turn over	obratiti
10.13	turn around	krątiti
10.14	wind, wrap	(sŭ)viti
10.15	roll	valiti
10.16	drop (vb)	kaplja
10.17	twist	
10.21	rise	vŭstaniti
10.22	raise, lift	vŭzęti; vŭzdvignąti; vŭznesti
10.23	fall	pasti; padati
10.24	drip	kaplja
10.25	throw	mesti; vrěšti
10.252	catch (ball)	
10.26	shake	tręsti
10.32	flow	tešti; pluti
10.33	sink	pogręznąti; pogrąžati; topiti; tonąti
10.34	float	pluti; plavati
10.35	swim	pluti; plavati
10.351	dive	
10.352	splash	
10.36	sail (vb)	jachati; pluti; plavati
10.37	fly (vb)	poletěti
10.38	blow	duchati; vějati
10.41	creep, crawl	plŭziti; (prě)smykati sę
10.412	kneel	
10.413	crouch	
10.42	slide, slip	
