entry_id	trans_english	Colorado_Phonemic
8.35	threshing-floor	--
8.41	crop, harvest	paʰta-ri-no; 'ˀbale-'ka-no
8.42	grain (barley, oats etc)	ni
8.43	wheat	
8.44	barley	
8.45	rye	--
8.46	oats	
8.47	maize, corn	pi'yo
8.48	rice	['arosi]
8.51	grass	taʰ'pe; laʰ'pa
8.52	hay	--
8.53	plant (noun)	waʰ'ka
8.531	plant (vb)	waʰke-no
8.54	root	te'lenle; kuʰ'pe
8.55	branch	ʔa'li
8.56	leaf	haʰpi'su
8.57	flower	lu'li
8.6	tree	c̷i-'de; c̷i'de pe'le
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	si'li
8.68	tobacco	[tako]
8.69	smoke (tobacco)	[tako] c̷u-no
8.691	pipe	
8.72	tree stump	c̷i'ˀde buʰ'tu
8.73	tree trunk	c̷i'ˀde pele
8.74	forked branch	pa'la
8.75	bark	'kiˀdo
8.76	sap	'pi-lu
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	ʔa'no pe'le
8.85	banyan	--
8.91	sweet potato	lẽ
8.912	yam	lẽ
8.92	tapioca, manioc, cassava	kuʰ'c̷u
8.93	gourd	ʔu; lã'te; ˀbaʰ'ku
8.931	pumpkin, squash	'ʔu
8.94	bamboo	paʰ'ki
8.941	sugar cane	ʔe'lã
8.96	fish poison (root)	ˀbũ
8.97	nettle	
8.98	mushroom	kiʰ'te
9.11	do, make	ke-no; ki-no
9.12	work	
9.14	bend	ʔẽ'ko suwa-
9.15	fold	laʰpi-no; teʰpa-no
9.16	tie, bind	te'le-no
9.161	untie	te'la-no; ku-no; wole-no
9.18	chain	--
9.19	rope, cord	si'li
9.192	knot (noun)	ˀbũka
9.21	strike (hit, beat)	ke-no; ki-no
9.211	pound with fist	tu'lipo-
9.22	cut	pore-no; wane-no; wa'ne-po-no
9.221	cut down	to'le-no
9.222	chop, hew	to'le-no; c̷uʰ'te-no
9.223	stab	ti'li-no
9.23	knife	[kuʰ'c̷ilu]
9.24	scissors, shears	[te'sela]
9.25	ax	pe'ya
9.251	adze	
9.26	break	'ˀbole-; 'kole-
9.261	broken	bole-ka; kole-ka
9.27	split	
9.28	tear	c̷i-'le-no; c̷i-hi-no
9.29	flay, skin	laʰ'c̷i-no
9.31	rub, wipe	ʔi'li-po-no
9.32	stretch	tĩ ke-no
9.33	pull	mu'ri-no; mu'ri-ka-no
9.34	spread out	lo'wa-
9.341	hang up	wilo-'kari-no
9.342	press	ˀdi'li-; ˀdi'la-
9.343	squeeze, wring	ˀdi'la-; ˀdi'li-no
9.35	pour	Φo'le-
9.36	wash	c̷ale-no
9.37	sweep	taʰpe kaʰsi-no
9.38	broom	taʰ'pe kasã
9.422	tool	
9.43	carpenter	
9.44	build	ke-
9.46	bore	Φoro-no
9.461	hollow out	Φoro-no
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	ka'ra-ʔi-no
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	
9.65	silver	ka'la
9.66	copper, bronze	
9.67	iron	[Φe'ro; he'ro]
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	to
9.74	glass	
9.75	weave, plait	siʰ'ta ke-no
9.76	basket	c̷a'la; taʰ'sa ~ taʰ'se
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	peʰ'pe
9.791	fan (vb)	peʰ'pe ke-
9.81	carve	kuʰte-
9.82	sculptor	--
9.83	statue	--
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	ʔe're-i-; we-i-
10.12	turn over	tiwĩpo'lari-no; tiwĩpo'le-no
10.13	turn around	tĩpo'lari-no; tĩpo'le-no
10.14	wind, wrap	laʰpi-no; laʰ'pipo-no
10.15	roll	ʔe'lã po'lari-; ʔe'lã po'le-
10.16	drop (vb)	paʰ'ta-ri-no
10.17	twist	to'wiri-no; to'wi-
10.21	rise	kuʰ'pa-ri-; kuʰ'pa-
10.22	raise, lift	halata-no; hali'ta-no
10.23	fall	'keʔere-ʔi-no; 'kepo-ʔi-no
10.24	drip	c̷o'ro-
10.25	throw	wa'la-; 'kepo-; 'keʔere-
10.252	catch (ball)	ka-no
10.26	shake	ho'wĩ-po-; 'weʰ'kari-no
10.32	flow	lu'we-; hi-
10.33	sink	da'yi-paʰ'ti-
10.34	float	ʔũ-ʔi-; ʔũ-ra-
10.35	swim	pi-sula-no; ma're-no
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	'ha-hi-no
10.38	blow	Φu'ri-po-no
10.41	creep, crawl	telẽ-'ka hi-'no
10.412	kneel	te'lẽ-ʔi-no; te'lẽ-ra-no
10.413	crouch	ˀde'ˀde-ra-
10.42	slide, slip	wa'yo-le
10.43	jump, leap	'su-lo-no; 'su-hi-no
10.431	kick	te'ra-ke-; te'rac̷i ke-no
10.44	dance	te'ra-ke-no; tera-ki
10.45	walk	'nena-no; ne'ˀde-c̷i hi-no
10.451	limp	hã'kã
10.46	run	'su-hi-no
10.47	go	hi-'no
10.471	go up	'la-no; 'lo-no
10.472	climb	'la-no; 'lo-no
10.473	go down	paʰ'ti-; paʰ'ta-
10.474	go out	lo-; la-
10.48	come	ha-'no
10.481	come back	mã-ha-
10.49	go away, depart	hi-
10.491	disappear	piya-pole-
10.51	flee	'su-hi-no
10.52	follow	ˀbene hi-
10.53	pursue	ˀbene hi-
10.55	reach, arrive	Φe-; Φa-
10.56	approach	Φe-; Φa-'no
10.57	enter	'wi-; wi'ya-
10.61	carry (bear)	pa'na-; 'tãha-
10.612	carry-in-hand	le'ya-no
10.613	carry-on-shoulder	'nanahu; na'na-no
10.614	carry-on-head	--
10.615	carry-underarm	si'ˀda-
10.62	bring	'tãhi-
10.63	send	ʔe're-; ʔere-no
10.64	lead (vb)	ʔere-no
10.65	drive	ʔe're-; tu-
10.66	ride	
10.67	push, shove	tu'li-po-no
10.71	road	mi'nu
10.72	path	mi'nu
10.74	bridge	pi'mã
10.75	carriage, wagon, cart	
10.76	wheel	torĩ'kã
10.77	axle	
10.78	yoke	
10.81	ship	--
10.83	boat	
10.831	canoe	
10.832	outrigger	--
10.84	raft	'weʰki
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	ta-no
11.12	own, possess	c̷akumi
11.13	take	'ka-no
11.14	seize, grasp	c̷u'mi-no; ka-no; c̷umi-ka-no
11.15	hold	ta-no
11.16	get, obtain	'ka-no
11.17	keep, retain	ta-no
11.18	thing	
11.21	give	kuwa-no
11.22	give back	mã-ku'wa-
11.24	preserve, look after	ki'ra-
11.25	save, rescue	se 'lari-no
11.27	destroy	yuʰka-pi'ya-ri-no
11.28	harm, injure, damage	yuʰka-pi'ya-ri-no
11.31	seek, look for	ne'ya-no
11.32	find	Φe-no
11.33	lose	pi'ya-; pi'ya-ri-
11.34	release, let go	ʔe're-
11.43	money	ka'la
