entry_id	trans_english	Qawasqar_Phonemic
13.37	pair	
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	layep
14.14	young	
14.15	old	arxa-na
14.16	early	
14.17	late	
14.18	now	lafḳ
14.19	immediately	yac̷ḳyaḳ
14.21	swift, fast, quick	apay
14.22	slow	
14.23	hasten, hurry	apayesḳa
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	
14.26	end (temporal)	ḳyexaso
14.27	finish	ḳyexaso
14.28	cease, stop	
14.29	ready	
14.31	always	
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	
14.35	again	ḳoteyo
14.41	day	aswal
14.42	night	aḳyawe
14.43	dawn	aswaḳyar
14.44	morning	
14.45	noon, midday	aswal-oyḳem-na
14.451	afternoon	aswal-ḳte
14.46	evening	yewel
14.47	today	lafḳ
14.48	tomorrow	aswalaḳ
14.481	day-after-tomorrow	aswalaḳ-aswalaḳ
14.49	yesterday	aswalaḳ
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	tera-tera
14.61	week	
14.62	Sunday	[tomenḳo]
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	arḳa-ḳ-seles
14.73	year	
14.74	winter	aḳʰape
14.75	spring	
14.76	summer	ac̷aḳsta
14.77	autumn	yerḳorap
14.78	season	
15.21	smell (vb intrans)	xanḳstas
15.212	sniff	
15.22	smell (vb trans)	xanḳstas
15.25	fragrant, good smelling	aḳs-ḳaryaḳ
15.26	stinking, bad smelling	aḳstaw
15.31	taste	melc̷e-laay
15.35	sweet	melc̷eḳsta-ḳʰareyḳ
15.36	salty	c̷ams
15.37	bitter	c̷afaḳstato
15.38	acid, sour	
15.39	brackish	
15.41	hear	tel-ḳsor
15.42	listen	tel-ḳsor
15.44	sound, noise	erwo-ḳsta
15.45	loud	
15.46	quiet, silence	osere-ḳʰas
15.51	see	ye-ḳsor
15.52	look, look at	leyes
15.55	show	yeḳc̷a-lay
15.56	shine	
15.57	bright	
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	aḳyawe
15.64	white	aḳyefḳyar
15.65	black	semen
15.66	red	ḳyeyero
15.67	blue	arḳʰa
15.68	green	arḳʰa
15.69	yellow	tˀel
15.71	touch	
15.712	pinch	
15.72	feel	
15.74	hard	seweyep
15.75	soft	ftoyeḳs
15.76	rough	
15.77	smooth	senaḳs
15.78	sharp	
15.79	blunt, dull	
15.81	heavy	paḳyel
15.82	light (in weight)	paḳ-sḳya
15.83	wet, damp	c̷ams-na
15.84	dry	c̷elas
15.85	hot	apʰen
15.851	warm	
15.86	cold	ḳyesas
15.87	clean	c̷ˀepac̷ewel
15.88	dirty, soiled	ḳʰayel
