entry_id	trans_english	Ayoreo_Phonemic
11.69	tax, tribute	
11.77	hire	i'roke aha iro'keei
11.78	wages	gera'ne-nie ['plata]i
11.79	earn	i'hi iro'keei
11.81	buy	i'hi oo're-dieʔ
11.82	sell	'erã; ẽ'ra-haʔ
11.83	trade, barter	oo oo're; 'erã; aa'pus-ahaʔ
11.84	merchant	'erã-ha-'soorĩ; 'erã-ha-'ŋoori
11.85	market (place)	ore ii'daai ã'haro
11.86	store, shop	'kučaa-pie i'gi-ɲ̥aai
11.87	price	oo're
11.88	dear (costly, expensive)	oo're-die yo'riko-n̥aʔ
11.89	cheap	i'hoosi n̥u'mi
11.91	share (distribute)	i'bero-gaay; i'pero-gaay
11.92	weigh	
12.1	after	di'gaaʔ
12.11	behind	ki'gaadeʔ
12.2	beside	gaa'doi; e'hoi
12.3	down, below	'udi; n̥u'mi
12.4	before	i'kaiteʔ
12.41	front	i'keei
12.5	inside, in	ihiʔ; tihiʔ; -ihiʔ; -hiʔ; a'heei
12.6	outside	gee'si
12.7	under	'udi
12.8	up, above	gaa'tee; gaay
12.11	place	hoga-'di
12.12	put	aa'nire-iaʔ; aa'nire-haʔ
12.13	sit	'akar-ihiʔ
12.14	lie down	i'm̥ar-ahaʔ
12.15	stand	i'yageʔ
12.16	remain, stay	'akareʔ; u'pusi
12.17	remains, left overs	i're-i; i're
12.21	collect, gather	a'maataʔ
12.212	pick up	'eeŋa-meʔ
12.213	pile up	a'sa-ha u'ɲa-neʔ
12.22	join, unite	an̥e'ra-meʔ
12.23	separate	ĩpoo'čereʔ
12.232	divide	a'huke omeʔ
12.24	open	ge'saa-i; gesaa-'ge
12.25	shut, close	uhu'ru; uhu'ru-gaay
12.26	cover	'hoide; 'huide
12.27	hide, conceal	aa'goseʔ; i'poogu
12.31	high	i'da-ha ihi n̥u'mi
12.32	low	i'dogosi ihi n̥u'mi
12.33	top	'ooho
12.34	bottom	ča'kii
12.35	end	eru'eei
12.352	pointed	aasii'ko-i; aasii'ko
12.353	edge	e'do-gaay; pin̥a'naai
12.36	side	ga'doi
12.37	middle, center	a'heei; ã'haro
12.41	right (side)	ãra'čuu-i; ãra'čuu-a
12.42	left (side)	ara'se-i; ara'se
12.43	near (adv)	i'dogosiʔ
12.44	far (adv)	i'da-haʔ
12.45	east	gee-'de gara-'ni
12.46	west	gee-'de kaaka-'di
12.47	north	gaa'teei
12.48	south	umu'so-i
12.53	grow	ĩ'keeraʔ
12.54	measure	aasi'ŋara
12.541	span, fathom	['metro]-die ihi n̥u'mi yuui
12.55	large, big	ke'ruu-i; ke'ruu-a
12.56	small, little	aa'tiami; aa'tiami-a
12.57	long	yo'iiko-i; yo'iiko
12.58	tall	u'mari; u'mare
12.59	short	kata'de-i; kata'de
12.61	wide, broad	da'koode-i; dakoode
12.62	narrow	a'haami; a'haami-a
12.63	thick (in dimension)	daɲoo'ree-i; daɲoo'ree
12.65	thin (in dimension)	go'doo-i; godoo-'ge
12.67	deep	i'da-ha aha gee'si
12.68	shallow	'gaarero-i; 'gaarero
12.71	flat	e'ha-i; e'ha-ge
12.73	straight	i'čaputa-hiʔ
12.74	crooked	õo'koro-rãai; õo'koro-rẽe
12.75	hook	gaa'se
12.76	corner	ahi'de
12.77	cross	[kureseei]
12.78	square	soo'go-m̥a-i; soo'go-m̥a
12.81	round	kata'de-i; kata'de
12.82	circle	uru'ñ̥u-mie
12.83	sphere, ball	[pe'lota]
12.84	line	i'hoi
12.85	hole	e'do; e'ho; ee'ru-i
12.92	like, similar	ke'de-n̥a-i; ke'de-n̥a
12.93	change	'eekãreʔ
13.0	zero, nothing	'in̥okeʔ
13.1	one	čõ'm̥ãrãʔ
13.2	two	'gareʔ
13.3	three	gadi'ok; gadi'o-i; gadi'o-ge
13.4	four	ga'gan̥iʔ; ga'gan̥i; ga'gan̥i-a
13.5	five	čee'n̥a yim̥a'naa-y
13.6	six	čo'm̥ara ihi yim̥a'n-uɲaa-i
13.7	seven	'gare ihi yim̥a'n-uɲaa-i
13.8	eight	gadi'og ihi yim̥a'n-uɲaa
13.9	nine	ga'gan̥i ihi yim̥a'n-uɲaa
13.10	ten	čee'n̥a yim̥a'naa-yoneʔ
13.101	eleven	čo'm̥ara ihi yi'ridaa-y
13.102	twelve	'gare ihi yi'ridaa-y
13.103	fifteen	čeen̥a yi'ridaa-y
13.104	twenty	čee'n̥a yu
13.105	hundred	čee'n̥a ayo're čeen̥a yim̥a'naa-y
13.106	thousand	--
13.107	count	ĩsee'karũ
13.14	every, all	'n̥eeseʔ
13.15	much, many	u'aase-n̥a; u'aasẽ-n̥ã-i
13.16	more	kuči'yipiseʔ
13.17	little (quantity), few	ga'roosi; ga'roosi-a
13.18	enough	'goomeʔ; urũ'a-hiʔ
13.181	some	ugu'ru-i; ugu'ru-a
13.19	multitude, crowd	ga'ge-daate-i
13.21	full	i'ragu-i; i'ragu-a
13.22	empty	a'hee-ge'saa-i; a'hee-gesaa-'ŋe
13.23	part, piece	peei; 'pee-pitai
13.24	half	gaato'ko-riŋai
13.33	alone, only	gaa'su-i; gaa'su-a
13.34	first	ba'haai; ba'hee
13.35	last	ee'ho-i; ee'ho
13.36	second	'gare-i; 'gare
13.37	pair	paka'saa-i; paka'saa
13.38	two times	eŋa 'gare
13.42	third	gadi'o-i; gadi'o-ge
13.44	three times	eŋa gadi'o-k
14.11	time	de'ren̥aai
14.12	age	i'ga-odeʔ
14.13	new	iiča-i; iiča; uri'ei; uri'eŋe
14.14	young	u'po-i; u'po
14.15	old	čo'ki-n̥a-i; gaa'ta; u'ata
14.16	early	'duuraasei
14.17	late	n̥oo-i; n̥oo-'ŋe
14.18	now	ee
14.19	immediately	ti'rakeʔ; ti'rokeʔ
14.21	swift, fast, quick	ibi'so-i; ibi'so-ge
14.22	slow	õ'roo-n̥a-i; õ'roo-n̥a
14.23	hasten, hurry	agii'toʔ; aŋi'neru
14.24	retard, delay	i'saaseʔ
14.25	begin, beginning	tani'ŋai; tani'ŋii
14.252	last, endure	uɲ̥ape't-a; uɲ̥ape't-e
14.26	end (temporal)	eru'eei
14.27	finish	ee'n̥aʔ; i'mateʔ
14.28	cease, stop	i'yaa; i'yaa-hiʔ
14.29	ready	ni'mane-i; ni'mane
14.31	always	ihi de'ren̥aa-neʔ
14.32	often	'hekučaaʔ
14.33	sometimes	ka-či'mokeʔ; kee-či'mokeʔ
14.331	soon	'hiirake
14.332	long-time (for a)	ihi de'ren̥aa-neʔ
14.34	never	... goo; ... goo-'tikeʔ
14.35	again	-apoo ...rĩ; -poo ... rĩ
14.41	day	dii'ri
14.42	night	de'haai
14.43	dawn	sere-ni'ŋai
14.44	morning	diire-'n̥iimei
14.45	noon, midday	gee'de gaato'koro
14.451	afternoon	gee'de n̥oo-ri-ŋai
14.46	evening	gee'de n̥oo
14.47	today	gaa'n̥eriʔ
14.48	tomorrow	ni'romei
14.481	day-after-tomorrow	ni'rome gaa'teei
14.49	yesterday	dii'ri-kaʔ
14.491	day-before-yesterday	dii'ri-ka gaa'teei kaa'seʔ
14.51	hour	de'ren̥aai; gaato'koro
14.53	clock, timepiece	gee'de
14.61	week	[se'mana]
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	geedo-'si
14.73	year	se'keere
14.74	winter	'are-nieʔ a'ree-naa'teʔ
14.75	spring	e'rami i'honi-ŋai
14.76	summer	
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	o'hareʔ
15.212	sniff	o'hareʔ
15.22	smell (vb trans)	o'hareʔ
15.25	fragrant, good smelling	ay u'neri
15.26	stinking, bad smelling	(ay) 'čom̥arei
15.31	taste	ira'si-tigai; ira'si-tigeei
15.35	sweet	u'nere ča'rore ti
15.36	salty	iri'ŋo-i; iriŋo-'ŋe
15.37	bitter	iri'ŋo-i; iriŋo-'ge; či'gokeʔ
15.38	acid, sour	čoori'ču-i; čooriču-'ge
15.39	brackish	
15.41	hear	u'duteʔ
15.42	listen	a'ŋari
15.44	sound, noise	hõoka-'raai; isoo-'raai; ičoo-'raai
15.45	loud	isoo'ra-taai; isoo'ra-tee
15.46	quiet, silence	čoo 'čiigei; čoo 'čiikeʔ
15.51	see	i'moʔ
15.52	look, look at	a'hiireʔ; i'hiireʔ
15.55	show	i'ŋoo
15.56	shine	naaŋana'taʔ
15.57	bright	naaŋana'ŋa-i; naaŋana'ŋa
15.61	color	uruča'čaai
15.62	light (in color)	kĩ'riike ...
15.63	dark (in color)	topi'ei; topi'e
15.64	white	'pororo-i; 'pororo
15.65	black	uta'ta-i; uta'ta
15.66	red	kara-'taai; kara-'tee
15.67	blue	naaŋana-'taai; naaŋana-taa-'ge
15.68	green	'sarẽ-i; 'sarẽ
15.69	yellow	'sarẽ-i; 'sarẽ
15.71	touch	i'saaʔ
15.712	pinch	
15.72	feel	õo'soreʔ
15.74	hard	ee'to-i; ee'to-ge
15.75	soft	pa'rataa-i; pa'rataa-ge
15.76	rough	čoo 'čiki 'čiki
15.77	smooth	karu-n̥a-i; karu-n̥a-ŋe
15.78	sharp	aasii'ko-i; aasii'ko
15.79	blunt, dull	pa'kaa-i; pa'kaa
15.81	heavy	'peenu-i; 'peenu-a
15.82	light (in weight)	pu'n̥u-i; pu'n̥u-a
15.83	wet, damp	te'taa-i; te'taa-ge
15.84	dry	ka'n̥or-i; ka'n̥or-e
15.85	hot	no'tar-i; no'tar-e
15.851	warm	
15.86	cold	te'n̥uu-i; te'n̥uu-ŋe
15.87	clean	ii'ča-i; ii'ča
15.88	dirty, soiled	oo'poii; oo'poii-a
15.89	wrinkled	ipoka'yaa-i; ipo'kaya
16.11	soul, spirit	'aayipie
16.15	surprised, astonished	itii'ha
16.18	good fortune, luck	ap a're-i; ap a're-ge
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	i'niina yu
16.25	laugh	da'goi
16.251	smile	iŋa'naʔ
16.26	play	iŋa'naʔ; iŋa'nareʔ
16.27	love	i'n̥oraʔ
16.29	kiss	a'gu pin̥a'ni; a'gu u're
16.3	embrace	iga'ru
16.31	pain	ũroso-ri'ŋeei
16.32	grief, sorrow, sadness	'aayuga'baa-tigai
16.33	anxiety, worry	hu're-dieʔ
16.34	regret, be sorry	un̥u'si
16.35	pity	õo'soreʔ
16.37	cry, weep	ii'boʔ
16.38	tear (noun)	e'doka-di; eduuka-'di
16.39	groan	oo yu'ɲ̥areʔ; u'yuaareʔ
16.41	hate	ee'takeʔ
16.42	anger	aan̥i'ŋaai; dakaan̥i'ŋaai
16.44	envy, jealousy	tara'raɲime-riŋai
16.45	shame (noun)	'kučaaheegaa'tei; uraa'nei
16.48	proud	ihoya-'taai
16.51	dare	
16.52	brave	kaasi-'taai; kaasi-'tee
16.53	fear, fright	isado'de-riŋai; itodoo-ti'gai
16.54	danger	
16.62	desire, want	i'potaa
16.622	choose	aa'pus-ahaʔ
16.63	hope	i'roteʔ; i'n̥atu
16.65	faithful	i'sina yu omeʔ
16.66	true	ũ'reei; ũ'ree
16.67	lie, tell lies	oo yuruupa'taa-riŋaʔ
16.68	deceit	ã'ra-tigai; ã'ra-tigeei
16.69	forgive	ĩi'roo pisiin̥aari-'ŋee-oneʔ
16.71	good	a're-i; a're-ge
16.72	bad	sii'n̥aa-i; siin̥aa-'ŋe
16.73	right, correct	ipee'sute a'rei
16.74	wrong	
16.76	fault	i'm̥aata-riŋeei
16.77	mistake, error	i'hooseʔ; oo 'paakeʔ; oo paak
16.78	blame	ẽe'kesãreʔ
16.79	praise	iko'taʔ; ii'si-gaay
16.81	beautiful	ueraa-'di; ueraa-'de
16.82	ugly	ga'n̥are-i; ga'n̥are-ŋe
16.83	greedy	ipoti'ga-di; ipotiga-de
16.84	clever	'aayipie-raai; 'aayipie-ree
17.11	mind	aayuga'batigai
17.13	think (= reflect)	oo 'yaayugu
17.14	think (= be of the opinion)	'iisiŋa
17.15	believe	aŋuure'taʔ
17.16	understand	iira'haaʔ; i'paɲa-hiʔ
17.17	know	i'moʔ
17.171	guess	iira'haa-peʔ
17.172	imitate	i'raateʔ
17.18	seem	čoo
17.19	idea, notion	a'hee-odeʔ
17.21	wise	n̥aani 'kučaa iirahaa-'soorĩ
17.22	foolish, stupid	koo'ɲ̥o-ke ua
17.23	insane, crazy	'aayipie yuui; 'aayipie yuu'ge
17.24	learn	un̥u'sina a'kan̥a-'kee-ode eŋa i'peesu
17.242	study	a'kate ihi ya'hee-odeʔ
17.25	teach	a'kateʔ
17.26	pupil	aka'di; aka'de
17.27	teacher	akadi-'soorĩ; akadi-'to
17.28	school	[eskʷela]
17.31	remember	un̥u'sina
17.32	forget	ika'digi
17.34	clear, plain	õbi're-n̥ai ~ omi're-n̥ai
17.35	obscure	geeko'rise-i; geeko'rise
17.36	secret	ihi abu'haa-dieʔ
17.37	sure, certain	uru'a-hiʔ
17.38	explain	oo 'kikeʔ; oo bi'siteʔ
17.41	intention, purpose	ipoti'ga-di; kii
17.42	cause	baai
17.43	doubt	ootigaya-'keei
17.44	suspect	iiča'ga-haʔ
17.441	betray	'arikaiteʔ
17.45	need, necessity	imese'rai ku'čaa; imese'ra-ne ku'čaa
17.46	easy	ibi'hoo-i; ibi'hoo-ge
17.47	difficult	pi'ra-i; pira-'ge
17.48	try, attempt	ekeeti'ŋareʔ; eeti'ŋareʔ
17.49	way, manner	aa'di; iiso'kaai
17.51	and	'eŋa; ŋa; ga
17.52	because	u'heeʔ; guu
17.53	if	u'heeta; 'heeta; ee'ti
17.54	or	'heoŋa; ho'roga; 'heroga
17.55	yes, affirmative	ẽ'heʔ
17.56	no, negative	ke; 'uuŋareʔ
17.61	how?	iiso'kaarike
17.62	how many?	'čoo 'rikee
17.63	how much?	'čoo 'rikee
17.64	what?	goo'tike e; goo'tora'kee
17.65	when?	gee'de 'dee-hi rike e
17.66	where?	'dee-hi 'rike e; 'tia
17.67	which?	
17.68	who?	goo'si te e; goo'to te e
17.69	why?	goo'tike e; goo'to-rake e
18.11	voice	da'raai
18.12	sing	iɲ̥e'kãreʔ
18.13	shout, cry out	i'biteʔ; i'saa yi'baadeʔ
18.15	whisper	oo yabu'haaʔ
18.16	mumble	oo 'čere 'čere
18.17	whistle	ino'kãreʔ
18.18	shriek, screech	iboo'tãreʔ
18.19	howl	uru'ŋu-hiʔ
18.21	speak, talk	ĩra'rãreʔ
18.211	stutter, stammer	uruutara'taa-i
18.22	say	ikate'karẽʔ; ikate'karĩ
18.221	tell story	oo goo'ɲ̥aa
18.222	speech (make a)	ata'taʔ
18.23	silent (be)	oo 'parak; oo 'parakeʔ
18.24	language	pu'ruu ke'n̥a-neʔ
18.26	word	u'ruui
18.28	name	ii
18.31	ask (question, inquire)	ikate'karĩ
18.32	answer	ičan̥ai
18.33	admit, confess	oo 'kike i'siin̥aa-ri'ŋeei
18.34	deny	ooti'gaseʔ
18.35	ask, request	u'tai
18.36	promise	i'ŋoo-meʔ
18.37	refuse	a'časeʔ
18.38	forbid	ã'rakeʔ; ã'raŋ-omeʔ
18.39	rebuke, scold	ipoo'naʔ; iboo'tareʔ
18.41	call (=summon)	ibi'di
18.42	call (=name)	'iikãreʔ; ĩi'kara-haʔ
18.43	announce	i'ŋoo
18.44	threaten	ã'ra-hiʔ; im̥oŋa'ra-haʔ
18.45	boast	iko'ta yu; ii'si yi'baai
18.51	write	ũ'rusãreʔ
18.52	read	ikate'karĩ daru-'n̥aa-ooi
18.56	paper	daru-'n̥aa-ooi
18.57	pen	
18.61	book	daru-'n̥aaooi
18.67	poet	
18.71	flute	ubu'čui
18.72	drum	ibee'uua
18.73	horn, trumpet	u'bučua
18.74	rattle	paraka'rã
19.11	country	p-ačami-'ni
19.12	one's native country	uni'ri
19.15	city, town	gii'daay-daa'tei
19.16	village	gii'daay
19.17	boundary	eru'ei
19.21	people (populace)	ga'ge
19.23	tribe, clan	...Goo's-odeʔ
19.24	chief, chieftain	dai'n̥ai; dai'n̥ee
19.25	staff, walking stick	uguuta-'de; pu'ruko
19.31	rule, govern	iho'kaaseʔ
19.32	king, ruler	edu'ge-n̥ai
19.33	queen	edu'ge-n̥a ku'čaa-be
19.36	noble, nobleman	a'taai; a'tee
19.37	citizen, subject	gii'daai-soo'ri; gii'daai-to
19.41	master	i'ro-soorĩ; i'roto
19.42	slave	ibe'ɲ̥u-i; i'beɲ̥u-a
19.43	servant	i'roi; iro'ge
19.44	freeman	
19.45	command, order	i'rokeʔ; iho'kaaseʔ
19.46	obey	a'ŋari'pi'si
19.47	let, permit	uhu'ega
19.51	friend, companion	hõ'ra-i; hõ'ra
19.52	enemy	uma'ho-soorĩ; uma'ho-ŋoori
19.54	neighbor	u'raasa-i; u'raasa
19.55	stranger	koo'ɲ̥oo-i; koo'ɲ̥oo
19.56	guest	ibagi'e-soorĩ
19.57	host	ibagi'e-di; ibagi'e-de
19.58	help, aid	'aata-haʔ
19.59	hinder, prevent	i'noniŋaseʔ
19.61	custom	aa'de-beei
19.62	strife, quarrel	boota're-tigeei
19.63	conspiracy, plot	
19.65	meet	utua'ŋo-ra
19.72	prostitute	a'munake-to
20.11	fight (vb)	oo yihokani'ŋaʔ
20.13	war, battle	poka-ni'ŋai
20.14	peace	'ateho-niŋai; 'ateho-niŋeei
20.15	army	n̥utaa'ge
20.17	soldier	hõkara'tai; hõkara'tee
20.21	weapons, arms	pokaa-'dieʔ
20.22	club	o'ge
20.222	battle-ax	ahi'neree
20.23	sling	'ičo-ŋarani
20.24	bow	'dok-oo'hi; oo'hi
20.25	arrow	dak-a'n̥aa
20.26	spear	ã'sore
20.27	sword	
20.28	gun, cannon	po'kaa
20.31	armor (defensive)	kõra'ča-i
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	gi'gi-n̥aa u'mari
20.41	victory	či'gon̥a-ŋai
20.42	defeat	un̥u'e-ŋaay
20.43	attack	ukugu'n̥a-hiʔ
20.44	defend	iro'taʔ; ĩra'rãre yi'baay
20.45	retreat	huu'se-tigai
20.46	surrender	i'kiin̥oŋi-hiʔ
20.47	captive, prisoner	i'saa-i; isaa-'ge
20.471	guard, sentinel	ko'pori-di; ko'pori-de
20.48	booty, spoils	'giday; 'gidai
20.49	ambush	ore 'pogu re
20.51	fisherman	ičahu-'soorĩ; ičahu-'ŋoorĩ
20.52	fishhook	oo'n̥aai
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	'čimeno; i'čimeno
20.56	bait	
20.61	hunt	nii'so-rãai; ni'sorẽe
20.62	shoot	ii'čoʔ
20.63	miss (target)	'ičagu 'udi
20.64	trap (noun)	duk-uhu'ya; uhu'ya
20.65	trap (vb)	
21.11	law	iro'keei
21.15	court	edu'ge-n̥a-neʔ
21.16	judge (vb)	'peesu uhuya'keei
21.17	judgment	u'huyakeei
21.18	judge (noun)	'paayipie-die i'peesu-'soorĩ
21.21	plaintiff	a'geyaha-soorĩ
21.22	defendant	a'geyaha-i; a'geyaha
21.23	witness	pihogu-'soorĩ
21.24	swear	oo yu'ruu-ha yu
21.25	oath	uruu doo'soi; uruu iyie-'n̥a
21.31	accuse	agu'eta-gaai
21.32	condemn	ẽe'kesãreʔ
21.33	convict (vb)	oo yuhu'ɲaa-meʔ
21.34	acquit	ee'n̥a ... ahaʔ
21.35	guilty	i'peesu 'kučaa sii'n̥aai
21.36	innocent	ke yi'peesu
21.37	penalty, punishment	u'huya-keei
21.38	fine	
21.39	prison, jail	gi'gin̥aa ee'toi
21.42	murder	u'hee aha n̥u'mi
21.43	adultery	ako'te-garei
21.44	rape	
21.46	arson	
21.47	perjury	oo yuruupa'taa-riŋaʔ
21.51	steal	'ooriʔ; 'ooriia
21.52	thief	oorie-čo'ki; oorie-čo'ki-a
22.11	religion	aŋuure-ti'gai
22.12	God	Du'paa-deʔ
22.13	temple, church	Du'paa-de i'gi-n̥aai
22.14	altar	gaasera-'ni
22.15	sacrifice, offering	uhu'yaai; duk-uhu'yaai
22.16	worship	iko'ta
22.17	pray	ikate'karĩ
22.18	priest	oi-'di
22.19	holy, sacred	u'e-i; u'e-ge
22.22	preach	atataʔ; atata-meʔ
22.23	bless	čaata-'pis-ahaʔ
22.24	curse	oo yuhu'ɲa-meʔ; amaa'kareʔ
22.26	fast (vb)	oo yuya'takeʔ
22.31	heaven	gaa'tee-i; gaa'tee-odeʔ
22.32	hell	gaa'ɲ̥oo pii'o-i
22.35	demon (evil spirit)	[sata'nas] i'ro-i
22.37	idol	kate'karai-ni
22.42	magic, witchcraft, sorcery	ayo're kaasi-'pie-raai
22.43	sorcerer, witch	n̥aani 'kučaa iraha-'soorĩ
22.44	fairy, elf	dikoo're-i; dikoo're
22.45	ghost, phantom	oo're gaa'tee
22.47	omen, portent	
