entry_id	trans_english	Chipaya_Phonemic
8.76	sap	
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	paaš
9.12	work	laŋš
9.14	bend	wex̣ru
9.15	fold	tʰot-š
9.16	tie, bind	moḳ-š; č̣exlš
9.161	untie	čʰoxḳ-; xʷer
9.18	chain	
9.19	rope, cord	ḳoxč
9.192	knot (noun)	
9.21	strike (hit, beat)	č̣axk-; xʷaxt-š
9.211	pound with fist	
9.22	cut	lar-š; rik-š
9.221	cut down	ḳˀatš
9.222	chop, hew	ḳˀatš
9.223	stab	č̣ʰap-
9.23	knife	[kučilʸu]
9.24	scissors, shears	č̣ʰixp-
9.25	ax	[ača]
9.251	adze	astuna
9.26	break	x̣ʷaxrš; ḳʰolx-š
9.261	broken	x̣ʷarši; aksi
9.27	split	
9.28	tear	c̷ʰela
9.29	flay, skin	čʰoxḳs
9.31	rub, wipe	xʷixtša
9.32	stretch	č̣ʰeet-
9.33	pull	hoo-
9.34	spread out	čʰin-š
9.341	hang up	xooči
9.342	press	ɲeḳ-š
9.343	squeeze, wring	
9.35	pour	al-š
9.36	wash	awxs
9.37	sweep	pew-š
9.38	broom	
9.422	tool	
9.43	carpenter	
9.44	build	paa-š
9.46	bore	č̣ʰap-
9.461	hollow out	xwetš
9.48	saw	
9.49	hammer	
9.5	nail	kixt-š
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	špʰixtɲi
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	saxwa
9.69	tin, tinplate	ḳʰuri
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	lxoki
9.74	glass	
9.75	weave, plait	
9.76	basket	ṣ̌epa
9.77	mat	
9.771	rug	čʰinš; čʰinš šḳiši
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	ḳis-ḳis; tʰišin-š
10.12	turn over	kexps; kʰeltiš
10.13	turn around	
10.14	wind, wrap	yap-an-š
10.15	roll	
10.16	drop (vb)	tʰoxt-š
10.17	twist	čutu
10.21	rise	c̷ixtskat
10.22	raise, lift	waytˀiš
10.23	fall	eš; txoḳ-
10.24	drip	č̣ʰox-š
10.25	throw	č̣axk-
10.252	catch (ball)	
10.26	shake	pˀulʸinkiš
10.32	flow	oxk-š
10.33	sink	
10.34	float	
10.35	swim	
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	layš
10.38	blow	pʰuxš; tʰam
10.41	creep, crawl	kʰerwiš
10.412	kneel	kilʸ-š; kilʸxat-š
10.413	crouch	kaw-
10.42	slide, slip	šḳʰexš
10.43	jump, leap	layš
10.431	kick	tʰek-š; tʰekan-š
10.44	dance	c̷axt-
10.45	walk	oxḳ-
10.451	limp	
10.46	run	šat-; x̣ir-š
10.47	go	oxḳ-
10.471	go up	yaw-
10.472	climb	yaw-
10.473	go down	čʰixʷ-š
10.474	go out	ulan-š
10.48	come	tʰon-š
10.481	come back	kexpš
10.49	go away, depart	ek-š; šarak
10.491	disappear	katš
10.51	flee	atipš
10.52	follow	apš; tira
10.53	pursue	
10.55	reach, arrive	irantiš
10.56	approach	ṣ̌katṣ̌in-š
10.57	enter	luṣ̌
10.61	carry (bear)	ḳuš
10.612	carry-in-hand	ḳaaš
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	šxixk-š
10.63	send	kučan; apay
10.64	lead (vb)	irpiš
10.65	drive	axkš
10.66	ride	yawš
10.67	push, shove	tor-š
10.71	road	xikš
10.72	path	xikš
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	[aru]
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	warku
10.831	canoe	
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	sira
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	ṣ̌exl-
11.12	own, possess	-čis
11.13	take	lek-
11.14	seize, grasp	tan-
11.15	hold	
11.16	get, obtain	kunsik-
11.17	keep, retain	
11.18	thing	
11.21	give	tʰaa-
11.22	give back	tʰepun-
11.24	preserve, look after	kwiti-
11.25	save, rescue	liwrii-; ḳʰexspii-
11.27	destroy	paxlš
11.28	harm, injure, damage	čʰoxrit-š
11.31	seek, look for	ḳʰur-š
11.32	find	waxt-
11.33	lose	pašša; paš
11.34	release, let go	kut-š
11.43	money	paaš
11.44	coin	paaš
11.51	rich	
11.52	poor	[pori]
11.53	beggar	[pori] ṣ̌oɲi
11.54	avaricious, stingy	
11.61	lend	onš
11.62	borrow	tom-č̣a; tom-š
11.63	owe	
11.64	debt	ḳaxa
11.65	pay (vb)	[pak]
11.66	account, reckoning	ḳaxa
11.69	tax, tribute	
11.77	hire	
11.78	wages	[gan]či [paka]
11.79	earn	[gan-]
11.81	buy	ḳʰay-š
11.82	sell	tuyṣ̌
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	xila
11.89	cheap	kapuxš
