entry_id	trans_english	Elamite_Phonemic
7.27	wall	ME te-ip-ta; ME hu-hu-un
7.31	fireplace	
7.32	stove	ME ku-ra-am-ma; ku-ra-na
7.33	chimney	
7.37	ladder	
7.42	bed	
7.421	pillow	
7.422	blanket	NE gi-ut-máš-te; gi-ut-máš-ti
7.43	chair	
7.44	table	
7.45	lamp, torch	hun: ME hu-ni-ir, hu-un-pu
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	a-ri; ME, NE ku-uk; NE me-nu-me
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	ME te-ti(-in)
7.56	post, pole	šali: OE, ME ša-li
7.57	board	NE šil-tur
7.58	arch	
7.61	mason	
7.62	brick	ME, NE e-ri-en-tum; ME ú-ri-en-tu; ME hu-us-si-ip; ME ú-pa-at
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	NE hal-la
8.13	garden	NE ya-ad-da
8.15	cultivate, till	
8.16	fence	
8.17	ditch	
8.21	plow	āpi-: OE a-a-pi-h
8.212	furrow	
8.22	dig	
8.23	spade	
8.24	shovel	atti: AchE at-ti; šullu: AchE šu-ul-lu
8.25	hoe	AchE at-ti
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	par: ME pa-ar
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	NE hal-te-me; AchE šu-lu-um
8.42	grain (barley, oats etc)	tarmi/u: AchE tar-mi; tar-mu; ME mu-ša-al(?)-lu
8.43	wheat	ME, AchE ši-man
8.44	barley	kur-ru-sa(-am/-an); ME, NE nu
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	
8.51	grass	
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	
8.54	root	
8.55	branch	
8.56	leaf	
8.57	flower	ME mi-ik-ki-ma
8.6	tree	
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	
8.69	smoke (tobacco)	
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	
8.75	bark	
8.76	sap	AchE in-na-in; OE mu-ul-li; NE mi-el; AchE mi-ul
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	hut(t)a-: AchE hu-ud-da; OE, AchE hu-taš; OE hu-tan(?)-ki; ME, NE hu-ut-táh; OE hu-ut-te-eš
9.12	work	
9.14	bend	
9.15	fold	
9.16	tie, bind	rabba-: ME ra-ab-ba-h; AchE ráb-ba-qa
9.161	untie	
9.18	chain	
9.19	rope, cord	NE, AchE šá-am
9.192	knot (noun)	
9.21	strike (hit, beat)	halpi-/u-: ME, NE hal-pu-h; AchE hal-pi-ya
9.211	pound with fist	
9.22	cut	NE máš-áš; šahši-: NE šá-h-ši-qa
9.221	cut down	
9.222	chop, hew	
9.223	stab	
9.23	knife	
9.24	scissors, shears	
9.25	ax	(h)ipiš: NE i-pi-iš; AchE hi-pi-is
9.251	adze	
9.26	break	
9.261	broken	
9.27	split	
9.28	tear	
9.29	flay, skin	
9.31	rub, wipe	
9.32	stretch	
9.33	pull	sa-: ME, NE sa-h
9.34	spread out	
9.341	hang up	
9.342	press	
9.343	squeeze, wring	
9.35	pour	
9.36	wash	
9.37	sweep	
9.38	broom	
9.422	tool	
9.43	carpenter	NE be-la-ti-ra; NE kiš-ki-ip-man-na
9.44	build	kuši-: ME ku-ši-ha; ku-si-iš; ku-ši-ik
9.46	bore	AchE du-li-ib-be
9.461	hollow out	
9.48	saw	AchE el-pi
9.49	hammer	NE sa-el
9.5	nail	s/zikti: ME si-ik-ti; NE zik-ti-ip
9.56	glue	
9.6	smith, blacksmith	NE kás-zí-ra
9.61	forge	kassa/i-, kazza/i-: ME qa-as-si-it-ri; ME qa-az-za-ak
9.62	anvil	
9.63	cast (metals)	šari-: ME ša-ri-h
9.64	gold	ME la-an-si-ti-e; AchE la-áš-da
9.65	silver	lani: OE la(?)-a-ni
9.66	copper, bronze	NE [e-ri-ni]; NE sa-h; OE, ME sa-hi-i; NE si-hi-kak
9.67	iron	NE har-gi; har-ki-an-na
9.68	lead (noun)	NE ri-kur
9.69	tin, tinplate	[a-na-ku]
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	halat: OE, AchE ha-la-at
9.74	glass	
9.75	weave, plait	
9.76	basket	ME še-ri-it
9.77	mat	
9.771	rug	ME za-ba-ar
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	karsu-: AchE kar-su-iš-da, kar-su-qa
10.11	move	
10.12	turn over	
10.13	turn around	
10.14	wind, wrap	
10.15	roll	
10.16	drop (vb)	
10.17	twist	
10.21	rise	
10.22	raise, lift	
10.23	fall	
10.24	drip	
10.25	throw	
10.252	catch (ball)	mari-: NE ma-ri-h; ME ma-ri-en-t(a)
10.26	shake	
10.32	flow	
10.33	sink	
10.34	float	
10.35	swim	
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	
10.38	blow	
10.41	creep, crawl	
10.412	kneel	
10.413	crouch	
10.42	slide, slip	
10.43	jump, leap	
10.431	kick	
10.44	dance	
10.45	walk	pari-; uzzu-: ME uz-zu-un; uz-zu-un-ta
10.451	limp	
10.46	run	
10.47	go	
10.471	go up	
10.472	climb	
10.473	go down	
10.474	go out	
10.48	come	izzi-: NE, AchE iz-zí-iš; šinni-/ u-: AchE ši-in-nu-ik; ši-in-nu
10.481	come back	
10.49	go away, depart	
10.491	disappear	
10.51	flee	
10.52	follow	
10.53	pursue	
10.55	reach, arrive	
10.56	approach	
10.57	enter	
10.61	carry (bear)	kuti-: NE ku-ti-na; AchE ku-ti-šá
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	tela-: ME, NE te-la-ak-ni; OE te-la-ni-li
10.63	send	da-: AchE da-an-da; NE, AchE da-h
10.64	lead (vb)	
10.65	drive	
10.66	ride	AchE te-li-nu-ip
10.67	push, shove	
10.71	road	AchE ba[r-d]u; ME hu-te(-e)
10.72	path	
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	NE za-ap-pan
10.81	ship	
10.83	boat	
10.831	canoe	
10.832	outrigger	
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	
11.13	take	duma: AchE du-ma; du-ma-iš
11.14	seize, grasp	
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	
11.18	thing	
11.21	give	duna-/i-: ME, NE du-ni-h; ME du-ni-ha; AchE du-na-áš, du-na-qa; li-; OE, ME, NE li-h; NE, AchE li-ik
11.22	give back	
11.24	preserve, look after	kutu-: ME, NE ku-tu-un; OE ku-tu-uš-li
11.25	save, rescue	
11.27	destroy	sari-: ME, NE sa-ri-h; AchE sa-ri-in-ti
11.28	harm, injure, damage	
11.31	seek, look for	
