entry_id	trans_english	Tuyuca_Phonemic
7.18	meeting house	--
7.21	room	[sa'wi]
7.22	door, gate	so'pe; so'pe-pãbã
7.221	doorpost, jamb	bo'ta
7.23	lock (noun)	--
7.231	latch, door-bolt	tẽ'dĩ-tu-ro
7.24	key	[sa'wi]
7.25	window	--
7.26	floor	ye'pa
7.27	wall	wii-tɨ'dɨ
7.31	fireplace	pe'ka-bẽ
7.32	stove	ya'a-re doa-'ro
7.33	chimney	--
7.37	ladder	bɨ̃ã-'rõ
7.42	bed	kõã-'rõ
7.421	pillow	
7.422	blanket	kõbã-yo'sa-ro
7.43	chair	dui-'ro
7.44	table	['bẽsa]
7.45	lamp, torch	sĩã'boe-ko-ri-ga ~ sĩã'wo-ko-ri-ga
7.46	candle	sĩã'boe-ko-ri-gɨ ~ sĩã'wo-ko-ri-gɨ
7.47	shelf	ka'sa
7.48	trough	
7.51	roof	wi'i
7.52	thatch	bũ'ĩ
7.53	ridgepole	wii-kõ'ã
7.54	rafter	tẽ'dĩ
7.55	beam	tẽ'dĩ
7.56	post, pole	bo'ta
7.57	board	['taboa]
7.58	arch	--
7.61	mason	--
7.62	brick	--
7.63	mortar	--
7.64	adobe	--
8.11	farmer	--
8.12	field (for cultivation)	we'se
8.13	garden	we'se
8.15	cultivate, till	o'te
8.16	fence	sã'dĩ-rõ
8.17	ditch	
8.21	plow	--
8.212	furrow	
8.22	dig	ko'a
8.23	spade	--
8.24	shovel	['para]
8.25	hoe	siyo-'ga
8.26	fork	
8.27	rake	--
8.31	sow	'wẽẽ-bate
8.311	seed	-pe
8.32	mow, reap	--
8.33	sickle, scythe	--
8.34	thresh	--
8.35	threshing-floor	--
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	'horika
8.48	rice	[a'rusu]
8.51	grass	'taa
8.52	hay	--
8.53	plant (noun)	ote-'re
8.531	plant (vb)	o'te
8.54	root	dɨ̃'kõ
8.55	branch	dɨ'pɨ
8.56	leaf	'pũũ
8.57	flower	ko'o-ro
8.6	tree	yu'kɨ
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	bĩ'sĩ
8.68	tobacco	bɨ̃'dõ
8.69	smoke (tobacco)	hu'u
8.691	pipe	
8.72	tree stump	tu'tu
8.73	tree trunk	kũ'bũ; yu'kɨ
8.74	forked branch	sẽ'dẽ-rõ
8.75	bark	kase-'ro
8.76	sap	'dii
8.81	palm tree	-wõ
8.82	coconut	['koko/ 'kuku]
8.83	citrus fruit	--
8.84	banana tree	ho'o-wõ
8.85	banyan	--
8.91	sweet potato	yã'pĩ
8.912	yam	yã'bũ
8.92	tapioca, manioc, cassava	we'ta; ki'i
8.93	gourd	wa'a
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	kã'dɨ̃
8.96	fish poison (root)	e'yu
8.97	nettle	po'ta
8.98	mushroom	di'ti
9.11	do, make	ti'i
9.12	work	pa'de
9.14	bend	paa-pe'to
9.15	fold	tuu-'pe
9.16	tie, bind	si'a
9.161	untie	hõ'ã
9.18	chain	--
9.19	rope, cord	pũũ-gɨ̃-dɨ'po
9.192	knot (noun)	sia-'tu-ri-kobea
9.21	strike (hit, beat)	'paa
9.211	pound with fist	'paa-bɨ̃tõ
9.22	cut	'paa-ta
9.221	cut down	ki'ti
9.222	chop, hew	'paa-we-sã
9.223	stab	sa'de
9.23	knife	dii-'pĩ-gã
9.24	scissors, shears	dɨpo-'ta-ri-pĩ
9.25	ax	kõ'bẽã
9.251	adze	siyo-'ga
9.26	break	'paa-wa
9.261	broken	wati-'re
9.27	split	be'e
9.28	tear	yi'ga
9.29	flay, skin	pã'dẽ
9.31	rub, wipe	tuu-sã'kẽ
9.32	stretch	'wee-eso
9.33	pull	'wee
9.34	spread out	'sẽõ
9.341	hang up	'yoo
9.342	press	tuu-di'yo
9.343	squeeze, wring	wãyĩ'ã
9.35	pour	'pio
9.36	wash	ko'se
9.37	sweep	ho'a
9.38	broom	hoa-'ri-boka
9.422	tool	--
9.43	carpenter	--
9.44	build	ti'i
9.46	bore	ko'pe ti'i
9.461	hollow out	ko'pe ti'i
9.48	saw	[se'roti]
9.49	hammer	--
9.5	nail	[pe'regu]
9.56	glue	pira-'re
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	['oro]
9.65	silver	--
9.66	copper, bronze	--
9.67	iron	kõ'bẽ
9.68	lead (noun)	--
9.69	tin, tinplate	['data]
9.71	potter	--
9.72	mold (clay etc)	we'e
9.73	clay	di'i
9.74	glass	['bidru]
9.75	weave, plait	su'a
9.76	basket	pi'i
9.77	mat	
9.771	rug	--
9.78	netbag	
9.79	fan (noun)	yũkã-pe'ro
9.791	fan (vb)	'paa-pu
9.81	carve	--
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	kã'bẽ-yã
10.12	turn over	kãbẽ-yũ'bũ
10.13	turn around	so'dea
10.14	wind, wrap	kõ'bã
10.15	roll	tuu-'dũ
10.16	drop (vb)	yã'ã-ko-di-a
10.17	twist	wãyĩ'ã
10.21	rise	bɨ̃'ã
10.22	raise, lift	'dẽẽ-bɨ̃õ-ko
10.23	fall	yã'ã
10.24	drip	ta'bi
10.25	throw	'dee
10.252	catch (ball)	bo'ka-yẽ
10.26	shake	'paa-bate
10.32	flow	õ'bãyu
10.33	sink	du'a-dia
10.34	float	pa'sa
10.35	swim	'baa
10.351	dive	yã'ã-yũã
10.352	splash	bupu-ba'te
10.36	sail (vb)	--
10.37	fly (vb)	wɨ'ɨ
10.38	blow	wĩ'ĩpũ
10.41	creep, crawl	'pai
10.412	kneel	he'a-kũbũ
10.413	crouch	bũdĩbi'a
10.42	slide, slip	kɨta-sĩ'dã
10.43	jump, leap	bu'pu
10.431	kick	'wẽẽ-pa
10.44	dance	ba'sa
10.45	walk	'waa-dẽtõ
10.451	limp	yu'ri
10.46	run	kɨ'tɨ
10.47	go	'waa
10.471	go up	bɨ̃'ã
10.472	climb	bɨ̃'ã
10.473	go down	di'i
10.474	go out	wi'ti
10.48	come	a'ti
10.481	come back	pɨ'tɨa
10.49	go away, depart	'waa
10.491	disappear	di'ti
10.51	flee	du'ti; ku'i-wa
10.52	follow	dɨ̃'dɨ̃
10.53	pursue	dɨ̃dɨ̃-'se
10.55	reach, arrive	he'a
10.56	approach	he'a-ati
10.57	enter	sã'ã
10.61	carry (bear)	'dẽẽ-wa
10.612	carry-in-hand	'dẽẽ-wa
10.613	carry-on-shoulder	a'pa-wa
10.614	carry-on-head	tu'ru-peo
10.615	carry-underarm	
10.62	bring	'dẽẽ-ati
10.63	send	ti'ko-ko
10.64	lead (vb)	bãã-ẽ'yõ
10.65	drive	waa-'tu
10.66	ride	bɨ̃'ã-pea
10.67	push, shove	tuu-'dẽ-ko
10.71	road	bã'ã
10.72	path	bã'ã
10.74	bridge	tĩ'ã-ri-kũbũ
10.75	carriage, wagon, cart	tũdũ-'ri-wɨ
10.76	wheel	be'to
10.77	axle	--
10.78	yoke	--
10.81	ship	doo-'ri-wɨ
10.83	boat	doo-'ri-wɨ
10.831	canoe	yuku'soro
10.832	outrigger	--
10.84	raft	
10.85	oar	
10.851	paddle (noun)	waa-'ri-pĩ
10.852	row (vb)	wa'a
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	pe'ta
10.92	land (vb)	bãã-'wa
11.11	have	-kɨ'ti
11.12	own, possess	kɨ'o
11.13	take	'dẽẽ
11.14	seize, grasp	yẽ'ẽ
11.15	hold	
11.16	get, obtain	
11.17	keep, retain	ĩ'yã-dõ
11.18	thing	ape-ye-'dõ
11.21	give	ti'ko
11.22	give back	wi'ya
11.24	preserve, look after	
11.25	save, rescue	dẽtõ-'dẽ
11.27	destroy	
11.28	harm, injure, damage	yã'yõ
11.31	seek, look for	ã'bãã
11.32	find	bɨ'a
11.33	lose	di'ti
11.34	release, let go	wio-'dẽ-ko
11.43	money	[dĩ'yeru]
11.44	coin	[dĩ'yeru]-ki
11.51	rich	pe'e kɨo-'gɨ
11.52	poor	ape-'ye bãdĩ-'gɨ̃
11.53	beggar	--
11.54	avaricious, stingy	bãĩ-'gɨ̃
11.61	lend	wa'so
11.62	borrow	wa'so
11.63	owe	wapa-'bõ
11.64	debt	wapa-'bõ-re
11.65	pay (vb)	wapa-'ti
11.66	account, reckoning	wa'pa
11.69	tax, tribute	--
11.77	hire	--
11.78	wages	wapa-'ta-re
11.79	earn	wapa-'ta
11.81	buy	sã'ĩ
11.82	sell	'dua
11.83	trade, barter	wa'so
11.84	merchant	'dua-ri-baso-kɨ
11.85	market (place)	ya'a-re 'dua-ro
11.86	store, shop	ape-'ye 'dua-ri-tatia
11.87	price	wa'pa
11.88	dear (costly, expensive)	wapa-pa-'ka
