entry_id	trans_english	Persian_Phonemic
8.41	crop, harvest	[mæhsul]; xærmæn
8.42	grain (barley, oats etc)	qælle
8.43	wheat	gændom
8.44	barley	ǰow
8.45	rye	
8.46	oats	
8.47	maize, corn	zorræt; bælɑl
8.48	rice	berenǰ
8.51	grass	giyɑh
8.52	hay	ælæfe-xošk
8.53	plant (noun)	næbɑt
8.531	plant (vb)	keštæn/ kɑr-
8.54	root	bix; riše
8.55	branch	šɑx; šɑxe
8.56	leaf	bærg
8.57	flower	gol
8.6	tree	dæræxt
8.61	oak	bælut
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	kɑǰ; senowbær
8.66	acorn	bælut
8.67	vine	tæk; ræz; mow
8.68	tobacco	tæmbɑku; totun ~ tutun
8.69	smoke (tobacco)	dud-kæšidæn
8.691	pipe	čopok; qælæyɑn
8.72	tree stump	konde(ye-deræxt)
8.73	tree trunk	tæne
8.74	forked branch	do-šɑxe
8.75	bark	
8.76	sap	šire
8.81	palm tree	[næxl]
8.82	coconut	[nɑrgil]
8.83	citrus fruit	limu
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	kædu
8.931	pumpkin, squash	kædu
8.94	bamboo	xeyzorɑn
8.941	sugar cane	ney-šækær
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	qɑrč
9.11	do, make	kærdæn/ kon-
9.12	work	kɑr; kɑr-kærdæn
9.14	bend	xæm-kærdæn
9.15	fold	tɑ-kærdæn
9.16	tie, bind	bæstæn/ bænd-
9.161	untie	gošudæn/ gošɑ-
9.18	chain	selsele
9.19	rope, cord	tænɑb; rismɑn
9.192	knot (noun)	gereh
9.21	strike (hit, beat)	zædæn/ zæn-
9.211	pound with fist	
9.22	cut	boridæn
9.221	cut down	kændæn
9.222	chop, hew	tærɑšidæn
9.223	stab	
9.23	knife	kɑrd; [čɑqu]
9.24	scissors, shears	[qeyči]
9.25	ax	tæbær
9.251	adze	tiše
9.26	break	šekæstæn/ šekæn-
9.261	broken	šekæste; xærɑb
9.27	split	šekɑftæn
9.28	tear	pare-kærdæn
9.29	flay, skin	pust-kændæn
9.31	rub, wipe	mɑlidæn
9.32	stretch	kæšidæn
9.33	pull	kæšidæn
9.34	spread out	pæhn-kærdæn
9.341	hang up	ɑvixtæn/ ɑviz-; ɑvizɑndæn
9.342	press	fešordæn/ fešɑr-
9.343	squeeze, wring	fešordæn/ fešar-
9.35	pour	rixtæn/ riz-
9.36	wash	šostæn/ šu-
9.37	sweep	roftæn/ rub-
9.38	broom	ǰɑru
9.422	tool	ɑlæt
9.43	carpenter	[næǰǰɑr]
9.44	build	saxtæn; [bænɑ]-kærdæn
9.46	bore	softæn/ somb-
9.461	hollow out	
9.48	saw	ærre
9.49	hammer	čækoš
9.5	nail	mix
9.56	glue	seriš; čæsb
9.6	smith, blacksmith	næʔl-bænd; ahængær
9.61	forge	kure
9.62	anvil	sendɑn
9.63	cast (metals)	rixtæn/ riz-
9.64	gold	zær; [tælɑ]
9.65	silver	sim; [noqre]
9.66	copper, bronze	mes; čudæn
9.67	iron	ɑhæn
9.68	lead (noun)	sorb
9.69	tin, tinplate	[qælʔ]
9.71	potter	kuzegær
9.72	mold (clay etc)	[qɑleb]
9.73	clay	gel
9.74	glass	šiše
9.75	weave, plait	bɑftæn
9.76	basket	zæmbil; sæbæd
9.77	mat	zilu
9.771	rug	qɑliče
9.78	netbag	
9.79	fan (noun)	bɑd-bezæn
9.791	fan (vb)	
9.81	carve	tærɑšidæn
9.82	sculptor	sæng-tærɑs
9.83	statue	[moǰæssæme]
9.84	chisel	eskenæk ~ eskene
9.88	paint (noun)	ræng
9.89	paint (vb)	ræng-zædæn
10.11	move	[hærækæt]-kærdæn; ǰombidæn; tækɑn-xordæn
10.12	turn over	gærdidæn
10.13	turn around	bær gæštæn
10.14	wind, wrap	pičidæn
10.15	roll	qæltidæn
10.16	drop (vb)	vel-kærdæn
10.17	twist	pičidæn
10.21	rise	bær-xɑstæn
10.22	raise, lift	bær-dɑštæn
10.23	fall	oftɑdæn
10.24	drip	čekidæn
10.25	throw	ændɑxtæn; pærtɑftæn
