entry_id	trans_english	Chorote_Phonemic
10.52	follow	ek-in -em-in; -kin-in
10.53	pursue	ekin-in ~ -emin ~ -kin-in
10.55	reach, arrive	-nas
10.56	approach	xa tofʷen
10.57	enter	oyi ~ -toyi ~ -uyi
10.61	carry (bear)	-aasiʔ
10.612	carry-in-hand	-ton -kyoyi
10.613	carry-on-shoulder	-ton-olotese; -texlye ~ -tixlye
10.614	carry-on-head	-ton-xetekiʔ
10.615	carry-underarm	-ton-fʷapoki kyafʷey
10.62	bring	-ton ~ -tyun
10.63	send	
10.64	lead (vb)	
10.65	drive	-nayi-niye ~ -nyeyiniye
10.66	ride	eyapeʔe ~ iapeʔe -waapeʔe
10.67	push, shove	-fʷoma ~ -xyoma
10.71	road	nayi (f.)
10.72	path	nayi
10.74	bridge	tipo-tapeʔe (m.)
10.75	carriage, wagon, cart	[kaleta]
10.76	wheel	xi-kalaʔ
10.77	axle	--
10.78	yoke	
10.81	ship	--
10.83	boat	akoye (f.)
10.831	canoe	akoye
10.832	outrigger	--
10.84	raft	akoye-tiwoyetaxayiʔ
10.85	oar	anat-ikyeʔ (f.)
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	
10.91	harbor, port	akoye-xi-wet
10.92	land (vb)	
11.11	have	poʔo
11.12	own, possess	-amee; ya-ka
11.13	take	-kiʔmeʔ ~ -siʔmeʔ
11.14	seize, grasp	-kiʔmeʔ ~ -siʔmeʔ
11.15	hold	-kiʔmeʔ ~ -siʔmeʔ
11.16	get, obtain	-wetnetapeʔe ~ -witnetapeʔe
11.17	keep, retain	-silyen
11.18	thing	-kixmet; wasiin
11.21	give	-wenam ~ -winam
11.22	give back	ekyeley ~ -ikyeley
11.24	preserve, look after	-yena
11.25	save, rescue	-wasankit ~ -wyesankit
11.27	destroy	-laxnaten ~ -lyexnaten
11.28	harm, injure, damage	-silaxa
11.31	seek, look for	-woyin ~ -yoyin
11.32	find	-kyuteʔ ~ -syuteʔ
11.33	lose	-laxnat ~ -lyexnat
11.34	release, let go	-lane ~ -lyene
11.43	money	ot-ʔa
11.44	coin	eslaseʔ (m.); ot
11.51	rich	-kaxay
11.52	poor	-pilusa
11.53	beggar	--
11.54	avaricious, stingy	-ekal
11.61	lend	-wenamkyu ~ -winamkyu
11.62	borrow	alaxa ~ -talaxa
11.63	owe	-wenama
11.64	debt	
11.65	pay (vb)	exni ~ -ixni
11.66	account, reckoning	-xnosiʔ ~ -xnyusiʔ (f.)
11.69	tax, tribute	--
11.77	hire	
11.78	wages	-kaxaʔ ~ -kyaxaʔ (f.)
11.79	earn	xetitaye
11.81	buy	-eki ~ -ki; -kaxayi
11.82	sell	-wenam ~ -winam
11.83	trade, barter	exekye ot-ey; -t-ot-ey ~ -ut-ey
11.84	merchant	ka-wenanata
11.85	market (place)	[wakye] tisyen-xi-sawo
11.86	store, shop	waxale-xi-sawo
11.87	price	laxaʔ (m.)
11.88	dear (costly, expensive)	toxni
11.89	cheap	xe toxni
11.91	share (distribute)	-laxnaten -lyexnaten
11.92	weigh	eynekalimpe ~ -inekalimpe
12.1	after	kapaxataxnaa; onokyu
12.11	behind	-mani-syem
12.2	beside	-yipe
12.3	down, below	isyem
12.4	before	loyixi
12.41	front	
12.5	inside, in	kyafʷey
12.6	outside	lawaa
12.7	under	isyem; kyafʷey
12.8	up, above	fʷom
12.11	place	-wet ~ -wit
12.12	put	eneʔ ~ -ineʔ
12.13	sit	eyineʔ ~ -ineʔ; -wayine
12.14	lie down	-xoʔneʔ ~ -xyoʔneʔ ~ -oʔneʔ
12.15	stand	-kasit
12.16	remain, stay	-mannine
12.17	remains, left overs	
12.21	collect, gather	-kimiyin ~ -simiyin (?)
12.212	pick up	
12.213	pile up	-fʷoxc̷eʔ ~ -xyoxc̷eʔ
12.22	join, unite	-xotinim ~ -xyutinim ~ -otinim
12.23	separate	-wenakit ~ -winakit
12.232	divide	-woye-tam ~ -yoye-tam
12.24	open	axlinityam ~ -talinityam
12.25	shut, close	-pom ~ -pyom; -pofʷ-
12.26	cover	-poapeʔe ~ -pyoapeʔe
12.27	hide, conceal	-fʷexkin ~ -fʷixkin
12.31	high	-toy ~ -tyoy
12.32	low	isyem
12.33	top	takixnaki atofʷom
12.34	bottom	-yowey
12.35	end	
12.352	pointed	xipasatpoʔ
12.353	edge	takina
12.36	side	
12.37	middle, center	xikyowe
12.41	right (side)	-fʷeye
12.42	left (side)	-lam
12.43	near (adv)	xa-tofʷe
12.44	far (adv)	-tofʷe
12.45	east	maanuk
12.46	west	xlaawesis
12.47	north	wikina
12.48	south	wuʔpax
12.53	grow	-teyfʷom ~ -tifʷom
12.54	measure	-kye-eneʔ ~ -kye-ineʔ
12.541	span, fathom	--
12.55	large, big	wux
12.56	small, little	fʷamlaa; xelox; kyepis
12.57	long	-toxiʔ
12.58	tall	-toy ~ -tyoy
12.59	short	xe toy
12.61	wide, broad	isayiʔ
12.62	narrow	xe isayiʔ
12.63	thick (in dimension)	wuyi
12.65	thin (in dimension)	xe-wuyi
12.67	deep	apetyofʷiʔ
12.68	shallow	xa-apetyofʷiʔ
12.71	flat	
12.73	straight	awextiʔ ~ -ewextiʔ
12.74	crooked	-soyooyc̷i
12.75	hook	walaatenafʷom
12.76	corner	-yote? (f.)
12.77	cross	--
12.78	square	kapaakiʔ
12.81	round	kyoyoyiʔ
12.82	circle	kyoyoyiʔ
12.83	sphere, ball	
12.84	line	lapiwit
12.85	hole	axlim
12.92	like, similar	nestiki
12.93	change	-teyet ~ -tiyet
13.0	zero, nothing	taʔipa
13.1	one	ifʷyenni
13.2	two	intak
13.3	three	iwyeʔc̷yela
13.4	four	pawlic̷iʔ
13.5	five	ifʷyenni sikyoy itifʷe
13.6	six	
13.7	seven	
13.8	eight	iwyeʔc̷yela tom nexeye
13.9	nine	pawlic̷i tom nexeye
13.10	ten	itifʷami nuwa si-kyoy-ey
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	--
13.106	thousand	--
13.107	count	etitin ~ -ititin; -xnus
13.14	every, all	kyeexeʔ
13.15	much, many	lox; asaʔa
13.16	more	moy syufʷe
13.17	little (quantity), few	xa lox; fʷamlaa
13.18	enough	wuwe
13.181	some	
13.19	multitude, crowd	-wit-totinim
13.21	full	tapowe
13.22	empty	nofʷi
13.23	part, piece	-weysyeʔ
13.24	half	-kyowe
13.33	alone, only	-fʷanniʔ ~ -fʷyenniʔ
13.34	first	-nayin ~ -nyeyin
13.35	last	-mani-syem
13.36	second	tomexeʔ
13.37	pair	loyefʷa
13.38	two times	intak-awixiyin
13.42	third	iwyeʔc̷yela
13.44	three times	iwyeʔc̷yelaxaay
14.11	time	xloma
14.12	age	--
14.13	new	inkyeʔ
14.14	young	
14.15	old	yuxsa
14.16	early	kyexlamat
14.17	late	nooxtiʔ
14.18	now	naxaki
14.19	immediately	oxnokyuʔ
14.21	swift, fast, quick	-kec̷ixin ~ -kic̷ixin; -paxsa
14.22	slow	xa-kec̷ixin ~ xe-kic̷ixin
14.23	hasten, hurry	-kec̷ixin ~ -kic̷ixin
14.24	retard, delay	-fʷatax
14.25	begin, beginning	-nayini ~ nyeyini
14.252	last, endure	-toxseyc̷iin (?)
14.26	end (temporal)	
14.27	finish	-tewe ~ -tiwe
14.28	cease, stop	-tefʷe ~ -tifʷe
14.29	ready	wakat
14.31	always	kyexkatayiʔ; kyaatay
14.32	often	xaapaanitiin
14.33	sometimes	yiyipa xloma
14.331	soon	taxtaa
14.332	long-time (for a)	paxyi
14.34	never	kapaxa
14.35	again	eekewaxa
14.41	day	xloma (m.)
14.42	night	axnax (f.)
14.43	dawn	kyexlamat
14.44	morning	xloma
14.45	noon, midday	nalakis
14.451	afternoon	nooxtiʔ
14.46	evening	kilay yem isyem
14.47	today	naxakiʔ
14.48	tomorrow	ka-xloma-ta
14.481	day-after-tomorrow	ke naltan tom c̷exeyi
14.49	yesterday	nooxtiʔ
14.491	day-before-yesterday	no oti c̷yuxa tom c̷axeye
14.51	hour	--
14.53	clock, timepiece	kilay-xikyeʔ (f.)
14.61	week	inkixmaye
14.62	Sunday	inyo-ʔmanniyin
14.63	Monday	talaxam
14.64	Tuesday	intak-isimen
14.65	Wednesday	iyoyam
14.66	Thursday	intak-tomiyeʔ
14.67	Friday	-kixmayexe
14.68	Saturday	[sawali]
14.71	month	weʔla (m.)
14.73	year	naxkap (f.)
14.74	winter	fʷiyitip
14.75	spring	nawop
14.76	summer	kilay-sip
14.77	autumn	lop
14.78	season	--
15.21	smell (vb intrans)	-xnewimpexe
15.212	sniff	xnewentayiin ~ -xniwentayiin
15.22	smell (vb trans)	-xnewene ~ -xniwene
15.25	fragrant, good smelling	-ne; -kaxey
15.26	stinking, bad smelling	-sot
15.31	taste	-elyeyiʔ
15.35	sweet	kˀekexey
15.36	salty	noxsoyiʔ
15.37	bitter	paxyi; xe-kʔekexey
15.38	acid, sour	paxyi (?)
15.39	brackish	
15.41	hear	-peʔyeʔ ~ -piʔyeʔ
15.42	listen	-kyuwa ~ -syuwa
15.44	sound, noise	kixlami (m.)
15.45	loud	kixlami
15.46	quiet, silence	kyeniyin
15.51	see	-wen ~ -win
15.52	look, look at	-yen
15.55	show	-wen-kixnam ~ -win-kinam
15.56	shine	lepeʔep
15.57	bright	lepeʔep (m.)
15.61	color	-oniye ~ -xoniye ~ -xyuniye (m.)
15.62	light (in color)	yakaxli
15.63	dark (in color)	axna-wux
15.64	white	lemiʔ
15.65	black	-tula
15.66	red	isyet
15.67	blue	lasa
15.68	green	-wac̷o
15.69	yellow	kaʔc̷yutyuʔ
15.71	touch	-kyeʔe
15.712	pinch	-napeyiin ~ -nyepeyiin
15.72	feel	-latey ~ -lyetey
15.74	hard	tosey
15.75	soft	xe tosey
15.76	rough	-kixe; xe-liixi
15.77	smooth	-liixi
15.78	sharp	tasaxay
15.79	blunt, dull	
15.81	heavy	kyoyetiʔ ~ kyoxyetiʔ
15.82	light (in weight)	xe kyoxyetiʔ
15.83	wet, damp	-c̷at ~ -c̷yet
15.84	dry	-elyey ~ -ilyey
15.85	hot	kyuxsiʔ
15.851	warm	
15.86	cold	yuyi
15.87	clean	-es ~ -se
15.88	dirty, soiled	-taxloxli; -taxaʔ
15.89	wrinkled	-soosin ~ -syuusin
16.11	soul, spirit	-sakal ~ -syakal (f.)
16.15	surprised, astonished	
16.18	good fortune, luck	ixyetawe
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	-mkaxan
16.25	laugh	-skiʔ ~ -tiskiʔ
16.251	smile	-ski-yin ~ -tiski-yin
16.26	play	-lakyen ~ -lyeken
16.27	love	-soon ~ -syoon
16.29	kiss	-c̷oʔlayam ~ -c̷yuʔlayam
16.3	embrace	-kyafʷelap ~ -c̷yafʷelap
16.31	pain	atixiʔ
16.32	grief, sorrow, sadness	xe kaxen
16.33	anxiety, worry	-telaxan ~ -tilaxan
16.34	regret, be sorry	apeʔen ~ -epeʔen
16.35	pity	-pelusen ~ -pilusen
16.37	cry, weep	ap
16.38	tear (noun)	-tate-teʔ
16.39	groan	-wetpeylusen ~ -witpeylusen
16.41	hate	-ayim
16.42	anger	-fʷesye ~ -wexsye
16.44	envy, jealousy	kaayenta
16.45	shame (noun)	-fʷel
16.48	proud	kexemsa (?)
16.51	dare	
16.52	brave	-tuskiʔ
16.53	fear, fright	xe -fʷey ~ xe -fʷi
16.54	danger	afʷesyexey (f.)
16.62	desire, want	-telya
16.622	choose	-yeniyin
16.63	hope	
16.65	faithful	
16.66	true	ixyetiʔ
16.67	lie, tell lies	-wo kiwac̷exa ~ -yo kiwac̷exa
16.68	deceit	lam -wowexey ~ lam -yowexey
16.69	forgive	-kyekyoyam ~ -syekyoyam
16.71	good	-es ~ -se
16.72	bad	-fʷesye
16.73	right, correct	ixyetiʔ
16.74	wrong	xe ixyetiʔ
16.76	fault	
16.77	mistake, error	ayikyamexey ~ -eyikyamexey
16.78	blame	-timene
16.79	praise	kexemsa
16.81	beautiful	-es ~ -se
16.82	ugly	xe-es
16.83	greedy	
16.84	clever	-axan ~ -exen
17.11	mind	-talkyun-aye
17.13	think (= reflect)	-talkyun ~ -tyelkyun
17.14	think (= be of the opinion)	ixyeteyinaa
17.15	believe	xa -kakyu -kyakyu
17.16	understand	-peʔyeʔ ~ -piʔyeʔ
17.17	know	-xaneʔ ~ -xene
17.171	guess	
17.172	imitate	woyetaxayi
17.18	seem	
17.19	idea, notion	-talkyun-aye ~ -tyelkyun-aye
17.21	wise	-axan ~ -exen
17.22	foolish, stupid	leʔlye
17.23	insane, crazy	-taye-xe-es ~ -tyaye-xe-es
17.24	learn	-wetn-axan-kinitiʔ
17.242	study	-wetn-eyesan ~ -witn-eyesan
17.25	teach	eyesan ~ -iyesan ~ -teyesan
17.26	pupil	[eskwela]woʔ
17.27	teacher	[eskwela]woʔ
17.28	school	--
17.31	remember	-taye-yuyi ~ -tyaye-yuyi
17.32	forget	-taye-xe-yuwa
17.34	clear, plain	ixyet ~ ixyeti
17.35	obscure	xe ixyet
17.36	secret	sam-sam-iyeen
17.37	sure, certain	ixyeti
17.38	explain	-fʷeleyin ~ -fʷileyin
17.41	intention, purpose	--
17.42	cause	
17.43	doubt	xe-yeti
17.44	suspect	-xoʔteʔ ~ -oʔteʔ ~ -xyuʔteʔ
17.441	betray	-xowalkit ~ -xyuwalkit
17.45	need, necessity	-sityen
17.46	easy	xe eyetawexey
17.47	difficult	eyetawexey
17.48	try, attempt	-xeletam ~ -xiletam ~ -eletam
17.49	way, manner	
17.51	and	naxa
17.52	because	
17.53	if	
17.54	or	
17.55	yes, affirmative	iwoʔ
17.56	no, negative	xee
17.61	how?	napa
17.62	how many?	napa-kawa
17.63	how much?	napa
17.64	what?	ten
17.65	when?	napa-we
17.66	where?	napa
17.67	which?	ten; naxapa
17.68	who?	ten-pa
17.69	why?	yoteyin
18.11	voice	-aa ~ -ee
18.12	sing	-keynisyen
18.13	shout, cry out	afʷiyin
18.15	whisper	xa-kec̷iyap ~ -kic̷iyap
18.16	mumble	
18.17	whistle	-tawili; -fʷen
18.18	shriek, screech	-nyoxlatinin
18.19	howl	-taxni
18.21	speak, talk	amtey; -kamtinen
18.211	stutter, stammer	-amtey xe es
18.22	say	-wokitee ~ -yokitee
18.221	tell story	amtiwey ~ -emtiwey
18.222	speech (make a)	naki tamtey
18.23	silent (be)	-kyuwateʔ ~ -c̷yuwateʔ
18.24	language	-lex ~ -lix (m.)
18.26	word	-amtes ~ -emtes
18.28	name	-ey ~ -i (m.)
18.31	ask (question, inquire)	-yesen
18.32	answer	-kyuxula ~ -syuxula
18.33	admit, confess	--
18.34	deny	
18.35	ask, request	-axlam
18.36	promise	-wenam-a
18.37	refuse	
18.38	forbid	xeenateʔ; xa -wan ~ xe -wyen
18.39	rebuke, scold	emaa ~ -imaa
18.41	call (=summon)	an-ey -paxlate
18.42	call (=name)	
18.43	announce	-fʷelam ~ -fʷilam
18.44	threaten	opeyiʔ ~ -topeyiʔ
18.45	boast	-wetwunit ~ -witwunit
18.51	write	eʔtiʔ ~ -teʔtiʔ ~ -iʔtiʔ
18.52	read	amte-xyen ~ -emte-xyen
18.56	paper	-xokinek ~ -xukinek
18.57	pen	-fʷes
18.61	book	-xokinek ~ -xukinek (f.)
18.67	poet	--
18.71	flute	sapop ~ -syapop (m.)
18.72	drum	pomitok (f.)
18.73	horn, trumpet	-kyuʔ (f.)
18.74	rattle	kilesina
19.11	country	-wet ~ -wit (m.)
19.12	one's native country	
19.15	city, town	-siʔ (f.)
19.16	village	-siʔ (m.)
19.17	boundary	lapi-wet
19.21	people (populace)	inyoʔ (m.)
19.23	tribe, clan	-kaanyel
19.24	chief, chieftain	nakiʔ (m.)
19.25	staff, walking stick	-kyexat
19.31	rule, govern	
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	-wet-ena ~ -wit-ena (m.)
19.41	master	-amee (?)
19.42	slave	-toysik ~ -tyoysik; -silyenek
19.43	servant	-kawoʔ
19.44	freeman	esixi
19.45	command, order	-xloʔ ~ -xluʔ
19.46	obey	-kyuwa
19.47	let, permit	enateʔ
19.51	friend, companion	-mafʷa ~ -myefʷa
19.52	enemy	-kofʷax ~ -kyofʷax (m.)
19.54	neighbor	-wet-efʷaʔ ~ -wit-efʷaʔ (m.)
19.55	stranger	xe-lefʷa ~ xe-lifʷa
19.56	guest	
19.57	host	--
19.58	help, aid	-nowaxa ~ -nyuwaxa
19.59	hinder, prevent	
19.61	custom	-key ~ -kyey (m.)
19.62	strife, quarrel	-wetwomaxa ~ -witwomaxa
19.63	conspiracy, plot	--
19.65	meet	-wen ~ -win
19.72	prostitute	--
20.11	fight (vb)	-wet-lane ~ -wit-lane
20.13	war, battle	-wak (f.)
20.14	peace	
20.15	army	totanim (m.)
20.17	soldier	tokis
20.21	weapons, arms	-loxsiʔ ~ -lyuxsiʔ
20.22	club	-kyuʔ xletek
20.222	battle-ax	--
20.23	sling	
20.24	bow	loxsiʔ (m.)
20.25	arrow	-kyexeʔ ~ -c̷yexeʔ (m.)
20.26	spear	-kʔok
20.27	sword	safʷe-tok (m.)
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	--
20.35	fortress	--
20.36	tower	--
20.41	victory	anwom
20.42	defeat	-teyin ~ -tiyin
20.43	attack	-ekiye ~ -tekiye
20.44	defend	-wet-yena ~ -wit-yena
20.45	retreat	-taxla
20.46	surrender	
20.47	captive, prisoner	-kipanek
20.471	guard, sentinel	nayiwoʔ (m.)
20.48	booty, spoils	--
20.49	ambush	-toskiin (?)
20.51	fisherman	siyus-i-woʔ
20.52	fishhook	-kaxnat ~ -kyaxnat (m.)
20.53	fishing line	-kaxnat-xi-wet
20.54	fishnet	naxak
20.55	fish trap	iluxsena
20.56	bait	
20.61	hunt	-wesiʔ; akixnan
20.62	shoot	-teyakiʔ ~ -tiyakiʔ
20.63	miss (target)	-taleyi ~ -tyaleyi
20.64	trap (noun)	-kakaxlot (f.)
20.65	trap (vb)	
21.11	law	--
21.15	court	--
21.16	judge (vb)	--
21.17	judgment	--
21.18	judge (noun)	nakiʔ
21.21	plaintiff	--
21.22	defendant	--
21.23	witness	-wen-axa ~ -win-axa
21.24	swear	--
21.25	oath	--
21.31	accuse	-fʷel ~ -fʷil (?)
21.32	condemn	-otac̷e
21.33	convict (vb)	--
21.34	acquit	--
21.35	guilty	intimenek
21.36	innocent	--
21.37	penalty, punishment	tisaxaki (?)
21.38	fine	--
21.39	prison, jail	-kalawetiki
21.42	murder	ka-lan-kiyeta
21.43	adultery	-oyiyin ~ -uyiyin (?)
21.44	rape	
21.46	arson	--
21.47	perjury	--
21.51	steal	fʷatan
21.52	thief	wataxnata (m.)
22.11	religion	--
22.12	God	--
22.13	temple, church	[dyos]xi-sawo
22.14	altar	tʔaxsaa (m.)
22.15	sacrifice, offering	tifʷeladyosey
22.16	worship	--
22.17	pray	--
22.18	priest	payi (m.)
22.19	holy, sacred	--
22.22	preach	-kaneyesan
22.23	bless	-kyoy enapeʔe
22.24	curse	-wulin ~ -yulin
22.26	fast (vb)	xa-yekyun
22.31	heaven	poleʔ
22.32	hell	--
22.35	demon (evil spirit)	lamox (m.)
22.37	idol	--
22.42	magic, witchcraft, sorcery	-fʷelek (f.)
22.43	sorcerer, witch	ayewu
22.44	fairy, elf	--
22.45	ghost, phantom	axnawoʔ; peyluki
22.47	omen, portent	iwinaxa
