entry_id	trans_english	Nung-Lazhai_Phonemic
5.28	pan	nuk.7
5.31	dish	ŋom.4
5.32	plate	me:ŋ.2
5.33	bowl	fi.2
5.34	pitcher, jug	lo.6 daŋ.1
5.35	cup, drinking vessel	kɨn.1
5.36	saucer	ka.6 kɨn.1
5.37	spoon	cuk.8
5.38	knife	dip.7
5.39	fork	he:n.3
5.391	tongs	he:u.3
5.41	meal (a)	duk.7 nau.6
5.42	breakfast	kɨn.1; dot.7
5.43	lunch	jɨ:k.7
5.44	dinner	jɨ:k.7
5.45	supper	ho.2 ha:t.7; ha:t.7; ka:n.1
5.46	peel	dot.7
5.47	sieve, strain	ńa:i.3
5.48	scrape	dun.3
5.49	stir, mix	tan.4
5.51	bread	zuŋ.1; tum.5
5.53	dough	zuŋ.1; tum.5
5.54	knead	ca:u.3
5.55	meal, flour	ha:ŋ.5
5.56	crush, grind	lu.2 fi.2
5.57	mill	kwa.1; dan.1 ta.3 zuŋ.1
5.58	mortar	hu.2 kun.3 zam.4
5.59	pestle	kwa.1 ca:u.3
5.61	meat	wa:n.3 te.6
5.63	sausage	pa:n.2
5.64	soup, broth	wa:n.3
5.65	vegetables	hu.2 ca.2
5.66	bean	kjwa:u.1
5.7	potato	wa:n.3 te.6 sai.5
5.71	fruit	pa:i.6 ke:ŋ.1
5.712	bunch	kja.4
5.75	fig	hup.7
5.76	grape	ŋa:i.2
5.77	nut	ŋa:i.2 zo:m.6
5.78	olive	ŋa:i.2 hat.7
5.79	oil	ŋa:i.2 to:n.5
5.791	grease, fat	ŋa:i.2 ham.6; ŋa:i.2 ham.6
5.81	salt	sok.7
5.82	pepper	zaŋ.1; lɨ.4
5.821	chili pepper	kwa:t.7; kwe:t.7
5.84	honey	kja:u.4; ho.2
5.85	sugar	pa:u.1 mi:n.6
5.86	milk (noun)	mi:n.6 dak.7
5.87	milk (vb)	ho.2 mi:n.6
5.88	cheese	ha.1 mi:n.6
5.89	butter	tam.1; cok.8
5.9	beverage, drink	ni:n.3
5.91	mead	wi.5; cu:ŋ.5 zum.2
5.92	wine	lɨk.8 ni:n.3
5.93	beer	pa:t.7
5.94	fermented drink	zum.1
5.97	egg	no.6
5.971	egg yolk	sai.3
6.11	put on (clothes)	ta:ŋ.1
6.12	clothing, clothes	pjak.7 he:u.1
6.13	tailor	wak.7 lɨk.8 tu.6 wak.7
6.21	cloth	ho.1
6.22	wool	ja:ŋ.6 cuŋ.5
6.23	linen, flax	lɨk.8 ma:n.6
6.24	cotton	lɨk.8 za.2
6.25	silk	hiŋ.1
6.27	felt	lɨk.8 pi:ŋ.1
6.28	fur	lɨk.8 kɨ.2
6.29	leather	man.2; lɨk.8 man.2
6.31	spin	lɨk.8 fai.4; ma:k.7
6.32	spindle	pjoŋ.6; foŋ.6; zo:i.4; kjok.8
6.33	weave	lɨk.8 it.7
6.34	loom	ju.2
6.35	sew	ju.2
6.36	needle	pi.2
6.37	awl	ciŋ.1
6.38	thread	kju.1
6.39	dye	ho.2 ce:u.1
6.41	cloak	tɨ:ŋ.2 zɨ:i.1
6.411	poncho	tɨ:ŋ.2
6.42	woman's dress	ne.3
6.43	coat	nan.4
6.44	shirt	wa:ŋ.6 ju.6
6.45	collar	jin.3 lia:u.4
6.46	skirt	lau.3 tɨ:ŋ.2 zɨ:i.1
6.461	grass-skirt	lau.3 lɨk.8 it.7
6.48	trousers	pi.6 ci:u.3
6.49	stocking, sock	jin.3 lja:u.4
6.51	shoe	kjai.5
6.52	boot	ha:k.7 kjai.5
6.54	shoemaker, cobbler	tan.3
6.55	hat, cap	pu.6
6.57	belt, girdle	pu.4 ta.3 ńip.8
6.58	glove	paŋ.2
6.59	veil	da:i.3
6.61	pocket	wa:i.5
6.62	button	ciu.2
6.63	pin	joŋ.2
6.71	ornament, adornment	naŋ.1
6.72	jewel	naŋ.1
6.73	ring (for finger)	ta.2 wa:i.5
6.74	bracelet	sa.3
6.75	necklace	ta.3 tam.3
6.76	bead	ńip.7
6.77	earring	cim.1
6.78	headband, headdress	cim.1 cu:n.5
6.79	tattoo	mai.1
6.81	handkerchief, rag	ka.6 ji:n.3
6.82	towel	kjun.2 za:ŋ.6 pu.6
6.91	comb	pu.6; pu.6 zo:k.8
6.92	brush	pu.6 də.1
