entry_id	trans_english	Cayapa_Phonemic
6.35	sew	'pun-nu
6.36	needle	'itʸu
6.37	awl	
6.38	thread	['hilu]
6.39	dye	['pin'tura]
6.41	cloak	'wi-'ya-nu 'hali ~ 'halʸi
6.411	poncho	
6.42	woman's dress	'hu'lʸun
6.43	coat	'i'ša-ša 'pan-'c̷u-mi
6.44	shirt	'hu'walʸi; ['ka'misa]
6.45	collar	wi
6.46	skirt	'pihta-'hali; 'tʸuɲa
6.461	grass-skirt	--
6.48	trousers	'wara; 'baa-'wara ~ 'aa-'baa-'wara
6.49	stocking, sock	['medʸa]
6.51	shoe	['sa'patus]
6.52	boot	['buta]
6.54	shoemaker, cobbler	['sa'patu] 'ke-mu
6.55	hat, cap	['sun'beru]; ['gura]
6.57	belt, girdle	'ah-pen-'dee-'čuwa ~ 'ah-pen-'dela-'čuwa
6.58	glove	--
6.59	veil	--
6.61	pocket	'čuspa ['buusa]
6.62	button	['bu'tun]
6.63	pin	'itʸu
6.71	ornament, adornment	'es-'ta-'na-nu ['kusas]
6.72	jewel	--
6.73	ring (for finger)	'suutes; 'suu'tesu
6.74	bracelet	'wi-'pehpe; 'te'tela
6.75	necklace	'kutu-'tee-pu; wi
6.76	bead	wi
6.77	earring	'pungi-'ʔe'r-a-ra ~ 'punʔ-e'r-a-ra
6.78	headband, headdress	'miš-mun-'deru
6.79	tattoo	'muute
6.81	handkerchief, rag	['pa'ɲaalu]; 'hai 'pec̷e
6.82	towel	['tu'waaya]
6.91	comb	'mu-'para
6.92	brush	
6.921	braid	'bain-'ge-nu; 'buiʔ-'ke-nu
6.93	razor	['gile]
6.94	ointment	'mula; 'mun-'gen-'c̷u-mi
6.95	soap	['ha'buna]
6.96	mirror	['es'pehu ~ 'es'peru]
7.11	dwell, live	'ču-nu
7.12	house	ya
7.13	hut	'ya-'paya
7.131	garden-house	--
7.14	tent	--
7.15	yard, court	'ya 'kelu
7.16	men's house	
7.17	cookhouse	'ɲi-n'bele 'ya
7.18	meeting house	'čaʔ 'waʔ-'di-nu 'ya
7.21	room	'suku
7.22	door, gate	'huu-'kapa
7.221	doorpost, jamb	'huu-'kapa 'či
7.23	lock (noun)	'lʸuʔn-'c̷u-mi
7.231	latch, door-bolt	'suku 'deen-'gan-'c̷u-mi
7.24	key	['lʸawi]
7.25	window	'huu-kapa
7.26	floor	'čipa
7.27	wall	čiipa
7.31	fireplace	'ɲi-n'bele
7.32	stove	'ɲi-n'bele
7.33	chimney	'ɲi-'wiš 'ke-'laa-'nu-nu
7.37	ladder	'lʸapi
7.42	bed	['tuutu]
7.421	pillow	'biš-'pulʸa
7.422	blanket	'man-'ba-alʸi ~ 'man-'ba-'hali
7.43	chair	'čun-'bulʸa
7.44	table	['mesa]
7.45	lamp, torch	'ɲi-lʸu; 'tu-'ɲi-lʸu
7.46	candle	['bela]
7.47	shelf	'bulʸi 'c̷u-un-'c̷u-mi
7.48	trough	'pima-'kule
7.51	roof	'haki
7.52	thatch	'haki; ya 'haki
7.53	ridgepole	ya 'miš-bui 'pulʸa
7.54	rafter	'ya-'pah-'tuwa
7.55	beam	'win-'bulʸa
7.56	post, pole	'ya-tʸutʸa
7.57	board	['taʔpa]
7.58	arch	--
7.61	mason	['se'mentu 'taa'waša] 'ke-mu
7.62	brick	'tu 'beh-t-a 'a'ka-ra
7.63	mortar	
7.64	adobe	'tu 'lepa
8.11	farmer	'bui 'kiya 'wah-mu
8.12	field (for cultivation)	-'pala; 'wih-'pala
8.13	garden	'deh'tela
8.15	cultivate, till	'wah-nu
8.16	fence	'weeta
8.17	ditch	'pi-ma-kule; 'hula
8.21	plow	'hun'le-nu
8.212	furrow	'tu-'hu'la-ʔ 'la-ra
8.22	dig	'tu-'huu-'ke-nu; 'wiš-nu
8.23	spade	['pala]
8.24	shovel	'kuči
8.25	hoe	
8.26	fork	'beru
8.27	rake	'tu 'kaš-'c̷u-mi
8.31	sow	'waa-'ke-nu
8.311	seed	ɲi; 'puka
8.32	mow, reap	'daa-'ka-nu
8.33	sickle, scythe	
8.34	thresh	'ɲi 'lʸaš-nu
8.35	threshing-floor	--
8.41	crop, harvest	
8.42	grain (barley, oats etc)	'ɲi; 'puka
8.43	wheat	['trigu]
8.44	barley	['se'bada]
8.45	rye	--
8.46	oats	['a'wena]
8.47	maize, corn	'pišu
8.48	rice	['a'rus ~ 'a'rusu]
8.51	grass	'tape; 'iš-'tape
8.52	hay	
8.53	plant (noun)	'wah-ka
8.531	plant (vb)	'wah-nu
8.54	root	'te'lele
8.55	branch	'ʔalʸi ~ 'ali
8.56	leaf	'haki
8.57	flower	'lʸu-lʸu
8.6	tree	či
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	['pinu] 'či
8.65	fir	--
8.66	acorn	--
