entry_id	trans_english	Tongan_Phonemic
11.86	store, shop	fale-koloa
11.87	price	totoŋi
11.88	dear (costly, expensive)	mamafa
11.89	cheap	maʔamaʔa; maʔamaʔa hono totoŋi
11.91	share (distribute)	tufotufa; vahevahe
11.92	weigh	fua ke ʔilo hono mamafa
12.1	after	hili; ʔosi
12.11	behind	mui; ʔi mui
12.2	beside	ʔi he veʔe; ofi ki
12.3	down, below	ʔi lalo; ki lalo
12.4	before	ʔi muʔa; ki muʔa
12.41	front	muʔa; ʔi muʔa
12.5	inside, in	ʔi; ʔi loto; ko loto
12.6	outside	ko tuʔa; mavahe mei fale; ko natula
12.7	under	ʔi lalo
12.8	up, above	ʔoluŋa; ki ʔoluŋa
12.11	place	tuʔuŋa; tuʔuʔaŋa; feituʔu; lakaŋa
12.12	put	tuku
12.13	sit	taŋutu; heka
12.14	lie down	tokoto; tokoto ki lalo; tuku ki lalo; palāleli
12.15	stand	tuʔu; tuʔu hake; tuʔu tonu
12.16	remain, stay	nofo
12.17	remains, left overs	toeŋa; toeŋa meʔakai
12.21	collect, gather	tānaki
12.212	pick up	toʔo hake
12.213	pile up	tānaki ke fokotuʔuna
12.22	join, unite	kau; hoko; faka-taha
12.23	separate	kehekehe; māvae; faka-mavahe
12.232	divide	vahevahe
12.24	open	faka-ava
12.25	shut, close	tāpuni
12.26	cover	ʔufiʔufi
12.27	hide, conceal	fufuuʔi
12.31	high	māʔoluŋa
12.32	low	maʔulalo
12.33	top	tumutumu; fuŋa
12.34	bottom	
12.35	end	ŋataʔaŋa
12.352	pointed	mui; hikuhiku
12.353	edge	tapa; tafa; mataʔihele; matavao; ŋutuŋutu
12.36	side	tafaʔaki; faʔahi
12.37	middle, center	lotomālie; uho; koŋaloto
12.41	right (side)	tafaʔaki mataʔu
12.42	left (side)	toʔohema
12.43	near (adv)	ofi
12.44	far (adv)	mamaʔo
12.45	east	hahake; [ʔisite]
12.46	west	hihifo; lulunga
12.47	north	tokelau; noate
12.48	south	tonga; saute
12.53	grow	tupu
12.54	measure	fua; meʔafua; sikeili
12.541	span, fathom	ofa; mākupusi
12.55	large, big	lahi; lahi tōtuʔa
12.56	small, little	siʔisiʔi; siʔi
12.57	long	lōloa; fuoloa
12.58	tall	lōloa; maʔoluŋa
12.59	short	
12.61	wide, broad	
12.62	narrow	fāsiʔi
12.63	thick (in dimension)	matolu
12.65	thin (in dimension)	pahauhau; fōsiʔi; manifi
12.67	deep	loloto
12.68	shallow	mamaha
12.71	flat	lafalafa
12.73	straight	haŋatonu
12.74	crooked	piko; taʔetotonu
12.75	hook	
12.76	corner	tuliki
12.77	cross	[kolosi]; [koluse]
12.78	square	tapafā
12.81	round	fuopotopoto
12.82	circle	siakale; fuopotopoto
12.83	sphere, ball	pulu; kolope; meʔa fuopotopoto
12.84	line	ʔotu
12.85	hole	ava; keliʔaŋa
12.92	like, similar	vātatau
12.93	change	liliu
13.0	zero, nothing	noa
13.1	one	taha
13.2	two	ua
13.3	three	tolu
13.4	four	fā
13.5	five	nima
13.6	six	ono
13.7	seven	fitu
13.8	eight	valu
13.9	nine	hiva
13.10	ten	hoŋofulu
13.101	eleven	hoŋofulu mā taha; taha taha
13.102	twelve	taha ua; hoŋofulu mā ua; [tōseni]
13.103	fifteen	hoŋofulu mā nima; taha nima
13.104	twenty	uofulu; ua noa
13.105	hundred	teau
13.106	thousand	taha-afe
13.107	count	lau
13.14	every, all	kātoa; hono kātoa; taautaha
13.15	much, many	toko-lahi; ʔoku lahi; fuʔu lahi; tokosiʔi
13.16	more	lahi aŋe
13.17	little (quantity), few	tokosiʔi; siʔisiʔi aŋe
13.18	enough	feʔuŋa
13.181	some	niʔihi
13.19	multitude, crowd	kakai tokolahi; pupuŋa kakai
13.21	full	fonu
13.22	empty	maha; ʔikai nofoʔi
13.23	part, piece	koŋa
13.24	half	vaeua
13.33	alone, only	toko-taha pē
13.34	first	ʔuluaki...
13.35	last	faka-muimui
13.36	second	ua...
13.37	pair	ua; hoa; oŋo meʔa; tauhoa
13.38	two times	koŋa ua; tuʔo ua
13.42	third	tolu...
13.44	three times	
14.11	time	
14.12	age	taʔu; kuoŋa
14.13	new	foʔou
14.14	young	mui
14.15	old	motuʔa; motuʔa ʔaupito; fuoloa; tupuʔa
14.16	early	poŋipoŋi; vave
14.17	late	tōmui; naʔe toki hoko pe toki pekia
14.18	now	taimi ni
14.19	immediately	taimi ni pē; leva
14.21	swift, fast, quick	vave; oma; ŋaholo; makimo; ʔaupito
14.22	slow	tuai; māmālie
14.23	hasten, hurry	faka-vavevave
14.24	retard, delay	toloi
14.25	begin, beginning	kamata
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	faka-ʔosi; faka-ŋata
14.28	cease, stop	taʔofi
14.29	ready	ʔosi maau
14.31	always	maʔupē; taʔeŋata
14.32	often	faʔa
14.33	sometimes	taimi ʔe niʔihi
14.331	soon	vave ni
14.332	long-time (for a)	fuoloa
14.34	never	ʔikai ʔaupito; teʔeki ai
14.35	again	toe
14.41	day	ʔaho
14.42	night	poʔuli; pō
14.43	dawn	mafoaēata; heŋiheŋi ʔaho
14.44	morning	poŋipoŋi
14.45	noon, midday	hoʔatā
14.451	afternoon	efiafi; houa efiafi
14.46	evening	taimi poʔuli; maluefiafi
14.47	today	faka-ʔaho; ʔaho ni
14.48	tomorrow	ʔapō; ʔapoŋipoŋi
14.481	day-after-tomorrow	
14.49	yesterday	ʔaneafi
14.491	day-before-yesterday	
14.51	hour	houa
14.53	clock, timepiece	uasi
14.61	week	[uike]
14.62	Sunday	Sāpate
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	Pulelulu
14.66	Thursday	Tuʔapulelulu
14.67	Friday	
14.68	Saturday	
14.71	month	māhina
14.73	year	taʔu
14.74	winter	
14.75	spring	
14.76	summer	faʔahitaʔu māfana
14.77	autumn	faʔahitaʔu fakatōlau
14.78	season	faʔahitaʔu
15.21	smell (vb intrans)	faka-nanamu
15.212	sniff	mihi; faka-nanamu
15.22	smell (vb trans)	
15.25	fragrant, good smelling	
15.26	stinking, bad smelling	namuʔelo
15.31	taste	ʔahiʔahiʔi; ifo
15.35	sweet	melie
15.36	salty	konokona
15.37	bitter	tamala
15.38	acid, sour	ʔesiti; mahi
15.39	brackish	taitai
15.41	hear	fanoŋo
15.42	listen	fanoŋo
15.44	sound, noise	loŋoāʔa; oŋo
15.45	loud	leʔolahi
15.46	quiet, silence	faka-loŋoloŋo; malū
15.51	see	vakai; ʔaʔahi
15.52	look, look at	sio; vakai
15.55	show	faka-hā
15.56	shine	ŋiŋila; fetapaki; fetapatapaki; ulo
15.57	bright	
15.61	color	lanu
15.62	light (in color)	maama; lanu maama
15.63	dark (in color)	faka-poʔupoʔuli
15.64	white	hinehina; lanu hinehina
15.65	black	ʔuliʔuli; lanu ʔuliʔuli; ʔuliʔuli ʔaupito
15.66	red	kulokula; lana kulokula
15.67	blue	pulū; lanu moana
15.68	green	lanu mata
15.69	yellow	eŋeeŋa; lanu eŋeeŋa
15.71	touch	fāfā; ala
15.712	pinch	laʔu
15.72	feel	oŋoʔi
15.74	hard	fefeka
15.75	soft	molū
15.76	rough	petepete
15.77	smooth	hamolemole; tokalelei
15.78	sharp	māsila; faka-mata
15.79	blunt, dull	
15.81	heavy	mamafa
15.82	light (in weight)	maʔamaʔa
15.83	wet, damp	hauhau; ŋaʔuŋaʔu; vikuviku
15.84	dry	mōmoa; mātuʔu
15.85	hot	vela; vela ʔaupito
15.851	warm	māfana
15.86	cold	momoko; mokomoko
15.87	clean	maʔa
15.88	dirty, soiled	ʔuli
15.89	wrinkled	miŋimiŋi ʔa e kili
16.11	soul, spirit	laumālie
16.15	surprised, astonished	ʔohovale
16.18	good fortune, luck	monūʔia
16.19	misfortune, bad luck	fehālaaki; malaʔia; foʔui ne fai; ʔikai ke faiŋamālie
16.23	joyful, glad, happy	fiemālie; loto noŋa; fiefia
16.25	laugh	kata
16.251	smile	malimali
16.26	play	vaʔiŋa
16.27	love	ʔofa
16.29	kiss	ʔuma; fekita
16.3	embrace	faʔufua
16.31	pain	mamahi; laŋa manavanava
16.32	grief, sorrow, sadness	mamahi lahi; lotomamahi
16.33	anxiety, worry	lotomoʔua; faka-hohaʔa
16.34	regret, be sorry	taŋilāulau; lotomamahi; kātaki
16.35	pity	lotoʔofa; faka-ʔofaʔia
16.37	cry, weep	taŋi
16.38	tear (noun)	loʔimata
16.39	groan	toʔe
16.41	hate	fehiʔa
16.42	anger	ʔita; ʔita lahi; loto lili
16.44	envy, jealousy	mānumanu
16.45	shame (noun)	mā; fakamā
16.48	proud	ʔulumaʔoluŋa; hikisia
16.51	dare	poleʔi faka-ʔaiʔai
16.52	brave	toʔa; lototoʔa
16.53	fear, fright	ilifia
16.54	danger	faka-tuʔutāmaki
16.62	desire, want	fiemaʔu; holi kovi; toloŋa
16.622	choose	fili
16.63	hope	ʔamanaki
16.65	faithful	falalaʔaŋa
16.66	true	moʔoni
16.67	lie, tell lies	loi; taha loi
16.68	deceit	kākā; kākaaʔi; ko ha kākā
16.69	forgive	faka-molemoleʔi
16.71	good	lelei
16.72	bad	kovi
16.73	right, correct	faka-tonutonu; totonu
16.74	wrong	hala; faihala
16.76	fault	ŋāue hala
16.77	mistake, error	hala; fai ha fehalaaki
16.78	blame	tukuakiʔi
16.79	praise	faka-fetaʔi; vikiviki; faka-hīkihiki
16.81	beautiful	fakaʔofoʔofo; hoihoifua; matamatalelei; talavou
16.82	ugly	palakū
16.83	greedy	mānumanu; ʔuakai
16.84	clever	ʔatamaiʔia; poto
17.11	mind	
17.13	think (= reflect)	faka-kaukauʔi
17.14	think (= be of the opinion)	pehē; lau
17.15	believe	tui
17.16	understand	ke mahino; ʔilo
17.17	know	ʔilo
17.171	guess	faka-fuofua; mateʔi
17.172	imitate	faʔifaʔitaki
17.18	seem	
17.19	idea, notion	faka-kaukau
17.21	wise	
17.22	foolish, stupid	vale; faka-valevale; taʔefaka-potopoto
17.23	insane, crazy	vale; ʔatamai vaivai; ʔatamai kovi ʔaupito
17.24	learn	ako
17.242	study	ako
17.25	teach	faka-hinohinoʔi; akoʔi
17.26	pupil	tokotaha ako; taha ako
17.27	teacher	faiako
17.28	school	ʔapiako
17.31	remember	manatuʔi
17.32	forget	ŋalo
17.34	clear, plain	mahinoŋofua
17.35	obscure	nenefu; taʔemahino; faka-puliki; tāpuni vīsone
17.36	secret	meʔa faka-fufū
17.37	sure, certain	pau
17.38	explain	faka-matala
17.41	intention, purpose	
17.42	cause	
17.43	doubt	veiveiua
17.44	suspect	mahamahaloʔi
17.441	betray	lavakiʔi
17.45	need, necessity	fiemaʔu; masiva; totonu; pau; ʔaoŋa
17.46	easy	faiŋofua
17.47	difficult	faiŋataʔa
17.48	try, attempt	
17.49	way, manner	
17.51	and	mo e; mo; pea
17.52	because	
17.53	if	kapau naʔa/ naʔe...; kapau te/ ʔe...
17.54	or	
17.55	yes, affirmative	ʔio
17.56	no, negative	ʔikai; tali ʔikai; ʔikai ke poupoua
17.61	how?	fēfē
17.62	how many?	fiha
17.63	how much?	hā hono lahi pe mahuʔiŋa
17.64	what?	
17.65	when?	
17.66	where?	
17.67	which?	
17.68	who?	
17.69	why?	
18.11	voice	leʔo
18.12	sing	hiva
18.13	shout, cry out	kaila
18.15	whisper	
18.16	mumble	
18.17	whistle	
18.18	shriek, screech	kikī
18.19	howl	kokō
18.21	speak, talk	talanoa; pōtalanoa; lea
18.211	stutter, stammer	kokote; tapepe
18.22	say	lea; pehē
18.221	tell story	talanoa; tala; faka-hā
18.222	speech (make a)	lea
18.23	silent (be)	faka-loŋoloŋo; sīloŋo
18.24	language	lea; faʔahiŋa lea; vaʔa ʔo ha lea ʔiloa
18.26	word	foʔi lea
18.28	name	hiŋoa; faka-iku
18.31	ask (question, inquire)	kole; faka-ʔekeʔeke
18.32	answer	tali
18.33	admit, confess	tala; faka-hāloto
18.34	deny	faka-ʔikaiʔi
18.35	ask, request	kole
18.36	promise	
18.37	refuse	
18.38	forbid	tapu; tapui
18.39	rebuke, scold	ʔitaŋiʔi
18.41	call (=summon)	ui
18.42	call (=name)	faka-hiŋoa; ui
18.43	announce	fakahā
18.44	threaten	
18.45	boast	pose; lealahi
18.51	write	tohi
18.52	read	lautohi
18.56	paper	[pepa]
18.57	pen	[peni]; [peni]vahevahe
18.61	book	tohi
18.67	poet	punake; tokotaha faʔu maau
18.71	flute	[fuluta]
18.72	drum	talamu
18.73	horn, trumpet	ifi; [hooni]; keleʔa
18.74	rattle	ŋatata; meʔavaʔiŋa ʔoku lulu ke loŋoāʔa
19.11	country	fonua; puleʔaŋa
19.12	one's native country	
19.15	city, town	kolo; kolo lahi; [siti]
19.16	village	kakai ʔo e kolo; kiʔi kolo
19.17	boundary	ŋataʔaŋa
19.21	people (populace)	kakai
19.23	tribe, clan	matakali; faʔahiŋa
19.24	chief, chieftain	tefitoʔi; taki
19.25	staff, walking stick	tokotoko
19.31	rule, govern	puleʔi; mafai
19.32	king, ruler	tuʔi; taki; pule; hau
19.33	queen	[kuini]
19.36	noble, nobleman	nōpele
19.37	citizen, subject	taŋataʔifonua
19.41	master	pule; taki; faiako; ʔeikivaka
19.42	slave	pōpula
19.43	servant	[sevāniti]
19.44	freeman	
19.45	command, order	tuʔutuʔuni; fekau
19.46	obey	talaŋofua
19.47	let, permit	
19.51	friend, companion	kaumeʔa; taha ʔoku te; feohi mo ia; kauŋāmeʔa
19.52	enemy	fili
19.54	neighbor	kauŋāʔapi
19.55	stranger	taha foʔou; muli; sola; vūlaŋi; faka-tuʔapuleʔaŋa
19.56	guest	tokotaha ʔaʔahi pe ʔeveʔeve ki ha ʔapi
19.57	host	taŋata talitali kita; fefine tali kakai
19.58	help, aid	tokoni
19.59	hinder, prevent	taʔotaʔofi
19.61	custom	
19.62	strife, quarrel	kē
19.63	conspiracy, plot	
19.65	meet	fetaulaki; feʔiloaki
19.72	prostitute	lalekini
20.11	fight (vb)	fuhu; tau
20.13	war, battle	tau
20.14	peace	melino
20.15	army	[aami]; koŋatau
20.17	soldier	[sōtia]; taŋata tau; toʔa
20.21	weapons, arms	meʔa tau
20.22	club	pōvai
20.222	battle-ax	
20.23	sling	toloŋi; meʔtautau
20.24	bow	kaufana
20.25	arrow	ŋahau
20.26	spear	tao; tao lōloa
20.27	sword	heletā
20.28	gun, cannon	meʔafana; laifolo; meʔafana-fonua
20.31	armor (defensive)	
20.33	helmet	helemeti
20.34	shield	sila; pā; pāletuʔa
20.35	fortress	kolotau; kolo
20.36	tower	taua
20.41	victory	ikuna
20.42	defeat	ikuʔi
20.43	attack	
20.44	defend	maluʔi
20.45	retreat	
20.46	surrender	tukulolo
20.47	captive, prisoner	pōpula; tokotaha nofo pilisone
20.471	guard, sentinel	leʔohi; leʔo
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	taŋata toutai
20.52	fishhook	mātaʔu
20.53	fishing line	afo tau-mātaʔu
20.54	fishnet	kupeŋa
20.55	fish trap	finaki
20.56	bait	mounu
20.61	hunt	tulimanu
20.62	shoot	fana; fanaʔi
20.63	miss (target)	
20.64	trap (noun)	tauhele; tauheleʔi
20.65	trap (vb)	
21.11	law	[lao]
21.15	court	faka-maauʔaŋa; fale-hopo
21.16	judge (vb)	
21.17	judgment	faka-maau; faka-fuofua
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	fakaʔiloa
21.23	witness	faka-moʔoni
21.24	swear	fuakava; faka-fuakavaʔi
21.25	oath	
21.31	accuse	tukuakiʔi; talatalaakiʔi
21.32	condemn	tala ʔoku kovi; tauteaʔi
21.33	convict (vb)	
21.34	acquit	fakatonuhiaʔi; fakatauʔatāinaʔi
21.35	guilty	halaia
21.36	innocent	tonuhia; taʔeʔilo ha kovi
21.37	penalty, punishment	tautea
21.38	fine	
21.39	prison, jail	pilisone
21.42	murder	tāmate; faka-pō; faka-pooŋi
21.43	adultery	tono
21.44	rape	tohotoho
21.46	arson	
21.47	perjury	
21.51	steal	kaihaʔa; kaihaʔasi
21.52	thief	tokotaha kaihaʔa
22.11	religion	faʔahiŋa tui
22.12	God	
22.13	temple, church	fale-lotu; fale-lotu siʔi
22.14	altar	ʔolita; ʔaletale
22.15	sacrifice, offering	lī meʔaʔofa; feilaulau
22.16	worship	lotu
22.17	pray	lotu
22.18	priest	kau faifekau
22.19	holy, sacred	toputapu; faka-tapui ki he ʔotua; faka-ʔotua; faka-laumālie
22.22	preach	malaŋa
22.23	bless	
22.24	curse	kapekapeʔi; talatuki; faka-malaʔia
22.26	fast (vb)	ke ʔaukai
22.31	heaven	[hēvani]
22.32	hell	hetesi
22.35	demon (evil spirit)	tēvolo; kovi; aŋahala
22.37	idol	tamapua; ʔaitoli
22.42	magic, witchcraft, sorcery	faka-louʔakau; mēsiki; manaʔi
22.43	sorcerer, witch	taulatēvolo
22.44	fairy, elf	
22.45	ghost, phantom	tēvolo; ʔata
22.47	omen, portent	faka-ʔiloŋa
