entry_id	trans_english	Chadong_Phonemic
10.45	walk	tok.7
10.451	limp	cü:n.5; cü:n.4(5) wa:n.1
10.46	run	səŋ.1 can.2
10.47	go	kü.3
10.471	go up	tok.7
10.472	climb	tək.7
10.473	go down	ćha:u.5
10.474	go out	ćha:u.5
10.48	come	ca.1; shjep.7
10.481	come back	ŋo.2
10.49	go away, depart	chü.1
10.491	disappear	cəm.2
10.51	flee	fa:t.8 nham.3 lək.8
10.52	follow	chü.1
10.53	pursue	sheu.2 nham.3
10.55	reach, arrive	me.6 nham.3
10.56	approach	phu:t.7
10.57	enter	piŋ.1
10.61	carry (bear)	chü.1
10.612	carry-in-hand	pja.2
10.613	carry-on-shoulder	kwi.6
10.614	carry-on-head	ŋu.5
10.615	carry-underarm	kan.1 toŋ.6
10.62	bring	thjeu.5
10.63	send	thek.7
10.64	lead (vb)	thjeu.5 ŋo.6
10.65	drive	sa:m.3
10.66	ride	khwa:i.3 sa:m.3
10.67	push, shove	laŋ.6
10.71	road	pə.1
10.72	path	pə.1 ma.4 ju.1 sa:m.3
10.74	bridge	cha.5; pja.2
10.75	carriage, wagon, cart	lhu:i.5
10.76	wheel	uk.7 pə.1
10.77	axle	cha:i.3
10.78	yoke	taŋ.1
10.81	ship	muə.1 taŋ.1; pə.1 muə.1
10.83	boat	li.2 khai.1
10.831	canoe	kə.5 lo.2
10.832	outrigger	laŋ.6; pwo.4
10.84	raft	kan.1 lo.2
10.85	oar	kon.3; cən.6
10.851	paddle (noun)	thau.5
10.852	row (vb)	kho.5 phjai.5
10.86	rudder	la:u.4
10.87	mast	tai.5; cau.4
10.88	sail (noun)	te.2; cau.4
10.89	anchor	ma.5
10.91	harbor, port	təŋ.3
10.92	land (vb)	kjap.7
11.11	have	ma.5
11.12	own, possess	ta:p.7
11.13	take	tai.5
11.14	seize, grasp	ci.6
11.15	hold	tai.5
11.16	get, obtain	khai.1
11.17	keep, retain	će.6
11.18	thing	nuŋ.3; thoi.1
11.21	give	khun.1
11.22	give back	lak.8 khun.1
11.24	preserve, look after	kiu.3
11.25	save, rescue	che.1
11.27	destroy	che.1 lan.2
11.28	harm, injure, damage	che.1 koŋ.6
11.31	seek, look for	ek.7
11.32	find	sü:n.2 lək.8
11.33	lose	lak.8 sü:ŋ.2
11.34	release, let go	fan.4(1) pa:i.2
11.43	money	ti:ŋ.3
11.44	coin	ceŋ.4 sü:n.2
11.51	rich	hjet.7
11.52	poor	cha.5 hon.6
11.53	beggar	me.2
11.54	avaricious, stingy	a:u.1; cau.4
11.61	lend	nek.7 lo.2
11.62	borrow	nek.7 kan.1
11.63	owe	ŋam.1
11.64	debt	lai.4
11.65	pay (vb)	fat.7 kjen.4
11.66	account, reckoning	sha:i.1
11.69	tax, tribute	wan.6
11.77	hire	ciu.4(6) laŋ.1
11.78	wages	ću.6
11.79	earn	luŋ.6 fa:i.6
11.81	buy	fa:i.6
11.82	sell	len.1
11.83	trade, barter	len.1 cek.8
11.84	merchant	tok.7
11.85	market (place)	fa:ŋ.6 sa:m.3
11.86	store, shop	phjeu.6
11.87	price	phjeu.6 ka.3
11.88	dear (costly, expensive)	me.2 phjeu.6
11.89	cheap	ćuŋ.2
11.91	share (distribute)	kjau.4 cə.1
11.92	weigh	shjeu.4 khi.6
12.1	after	shje.6
12.11	behind	shje.6; shje.6
12.2	beside	ćhem.5
12.3	down, below	ca:i.6
12.4	before	sha:i.4(1) shjen.2
12.41	front	ci:ŋ.4(6) mok.8; shu:n.4 ci:ŋ.6
12.5	inside, in	sü.6
12.6	outside	lai.6
12.7	under	kuŋ.2 ka.4 shjen.2
12.8	up, above	luŋ.6
12.11	place	lai.3
12.12	put	će.1
12.13	sit	seŋ.1 ji.6
12.14	lie down	fe.4 seŋ.1 ji.6 ti.4 lən.1
12.15	stand	la:u.4 hü.1
12.16	remain, stay	sa:ŋ.4 tian.6
12.17	remains, left overs	kja.4 shjen.2
12.21	collect, gather	kwi.6
12.212	pick up	pjet.8 ńi.2
12.213	pile up	sha:i.1
12.22	join, unite	laŋ.6
12.23	separate	jem.2 lha:i.1
12.232	divide	lim.2 lha:i.1
12.24	open	kuŋ.2 hjim.6
12.25	shut, close	fu:ŋ.4 kha.3
12.26	cover	i.4 shjen.2
12.27	hide, conceal	na.3 kun.5
12.31	high	la:u.4
12.32	low	mə.2 nok.7
12.33	top	fu:ŋ.4 kha.3
12.34	bottom	ju.1
12.35	end	tu.2 ta:u.3
12.352	pointed	la:ŋ.5
12.353	edge	zü.6
12.36	side	nhjak.7
12.37	middle, center	jün.1
12.41	right (side)	ńa:u.6
12.42	left (side)	su.3
12.43	near (adv)	səŋ.6
12.44	far (adv)	su.1
12.45	east	cəp.7
12.46	west	tui.1 she.6
12.47	north	ljen.4 shjep.7
12.48	south	sha:i.1 khai.1
12.53	grow	sha:i.1
12.54	measure	khai.1
12.541	span, fathom	kwa:k.8 khai.1
12.55	large, big	kwa:n.1; min.4
12.56	small, little	khap.7
12.57	long	kəm.5
12.58	tall	pwo.4
12.59	short	wu:ŋ.1
12.61	wide, broad	ljam.6
12.62	narrow	təŋ.3
12.63	thick (in dimension)	tai.4 kha.3
12.65	thin (in dimension)	su.3 sa.3
12.67	deep	shim.1
12.68	shallow	pjan.1
12.71	flat	mian.6
12.73	straight	tu.4 ta.5
12.74	crooked	mə.2 ju.6
12.75	hook	mə.2 shö.4
12.76	corner	phjai.5; ći.1
12.77	cross	tuŋ.1
12.78	square	she.1
12.81	round	pak.7
12.82	circle	na:m.2
12.83	sphere, ball	ci:ŋ.3
12.84	line	hjo.1
12.85	hole	ka.3
12.92	like, similar	lək.8
12.93	change	she.5
13.0	zero, nothing	ja:i.3
13.1	one	wu:ŋ.1
13.2	two	lən.4
13.3	three	khu:t.7
13.4	four	hja:p.7
13.5	five	na.1
13.6	six	njuŋ.2
13.7	seven	pa:ŋ.2
13.8	eight	jam.1
13.9	nine	lai.6
13.10	ten	peŋ.2
13.101	eleven	shi:ŋ.2
13.102	twelve	wa:n.1
13.103	fifteen	kau.1
13.104	twenty	kja.3
13.105	hundred	kja:u.4 cha.1
13.106	thousand	shi.4 fu:ŋ.1
13.107	count	lu:n.1
13.14	every, all	khün.4
13.15	much, many	ću.2
13.16	more	shjen.6
13.17	little (quantity), few	kəm.2; lak.8 cəm.2
13.18	enough	shi:ŋ.6
13.181	some	pian.6
13.19	multitude, crowd	ləŋ.2
13.21	full	jit.7
13.22	empty	hja.1
13.23	part, piece	sha:m.1
13.24	half	shi.5
13.33	alone, only	ŋo.4
13.34	first	ljok.8
13.35	last	shət.7
13.36	second	pa:t.7
13.37	pair	ću.3
13.38	two times	səp.8
13.42	third	səp.8 jit.7
13.44	three times	səp.8 ńi.6
14.11	time	səp.8 ŋo.4
14.12	age	ńi.6 səp.8
14.13	new	pek.7
14.14	young	shjen.1
14.15	old	jai.5
14.16	early	ji.5 ćim.3
14.17	late	ću:ŋ.3
14.18	now	kən.6 ću:ŋ.3
14.19	immediately	sjeu.3
14.21	swift, fast, quick	kau.5
14.22	slow	tət.7
14.23	hasten, hurry	tui.1 lən.1
14.24	retard, delay	tik.7
14.25	begin, beginning	tjaŋ.5
14.252	last, endure	khuŋ.1
14.26	end (temporal)	me.4 niŋ.5
14.27	finish	pu:n.6
14.28	cease, stop	la:u.6; ta:n.1
14.29	ready	te.2 jit.7
14.31	always	shui.6 lim.2 lha:i.1
14.32	often	te.2 ńi.6
14.33	sometimes	su:ŋ.1; toi.6
14.331	soon	hja.1 pui.6
14.332	long-time (for a)	te.2 sha:m.1
14.34	never	sha:m.1 pui.6
14.35	again	sat.8 tai.6
14.41	day	njen.2 ki.3
14.42	night	mi.5
14.43	dawn	hau.2 seŋ.1
14.44	morning	ka:u.5
14.45	noon, midday	la:u.4
14.451	afternoon	kwa.3
14.46	evening	sham.1
14.47	today	ci.2
14.48	tomorrow	pek.7 na:i.6
14.481	day-after-tomorrow	ma.4 śi:ŋ.6
14.49	yesterday	fi.5
14.491	day-before-yesterday	ma:n.6
14.51	hour	kon.4 kjan.3
14.53	clock, timepiece	ta:m.4 kak.7
14.61	week	khai.1 si.2
14.62	Sunday	kjet.8 mai.6
14.63	Monday	liu.4 səŋ.2
14.64	Tuesday	teŋ.2
14.65	Wednesday	shuŋ.3 si.4
14.66	Thursday	kin.4 sheŋ.2
14.67	Friday	me.2 si.2
14.68	Saturday	ma.4 śi:ŋ.6
14.71	month	tjaŋ.1
14.73	year	ca:i.6 fai.4
14.74	winter	van.1 cuŋ.1
14.75	spring	ńam.1 lhap.7
14.76	summer	jok.8 ka:ŋ.1
14.77	autumn	sham.4 hjat.7
14.78	season	ta.4 wan.1
15.21	smell (vb intrans)	ha.6 ŋo.4; jok.2 lhap.7
15.212	sniff	ńam.5 lhap.7
15.22	smell (vb trans)	wan.1 na:i.4
15.25	fragrant, good smelling	wan.1 mu.3
15.26	stinking, bad smelling	wan.1 na.3
15.31	taste	wan.1 ńuŋ.1
15.35	sweet	wan.1 kun.5
15.36	salty	cuŋ.4 ćo.3
15.37	bitter	cuŋ.1
15.38	acid, sour	lai.4 pa:i.4 wan.1
15.39	brackish	lai.4 pa:i.4 jit.7
15.41	hear	lai.4 pa:i.4 ńi.6
15.42	listen	lai.4 pa:i.4 sha:m.1
15.44	sound, noise	lai.4 pa:i.4 shi.6
15.45	loud	lai.4 pa:i.4 ŋo.4
15.46	quiet, silence	lai.4 pa:i.4 ljok.8
15.51	see	ŋwet.7
15.52	look, look at	pe.1
15.55	show	toŋ.4 pən.2
15.56	shine	chun.4 pən.2
15.57	bright	ha.4 pən.2
15.61	color	shiu.1 pən.2
15.62	light (in color)	hon.6 ki.6
15.63	dark (in color)	fən.1 ki.6
15.64	white	ci.4 shet.7
15.65	black	fa:t.8 ńin.1
15.66	red	nən.4
15.67	blue	nən.4
15.68	green	la:ŋ.1
15.69	yellow	ńin.1
15.71	touch	mi.2 to.6
15.712	pinch	ik.8
15.72	feel	fa:n.1
15.74	hard	njaŋ.5
15.75	soft	kam.1
15.76	rough	sham.3
15.77	smooth	ni.3 cjek.8
15.78	sharp	ni.3
15.79	blunt, dull	za.2 jam.1
15.81	heavy	lək.8 jam.1
15.82	light (in weight)	on.2(1) shəŋ.6
15.83	wet, damp	lhaŋ.1 cjek.8
15.84	dry	lhaŋ.1
15.85	hot	cau.4 uk.7
15.851	warm	cjeu.6
15.86	cold	ka:ŋ.1
15.87	clean	jen.2 sak.7
15.88	dirty, soiled	ik.8
15.89	wrinkled	jam.1
16.11	soul, spirit	kwa.3
16.15	surprised, astonished	nam.1
16.18	good fortune, luck	lha:n.3
16.19	misfortune, bad luck	la:m.2
16.23	joyful, glad, happy	ljok.8
16.25	laugh	mha:n.3; wu:ŋ.3
16.251	smile	choŋ.5
16.26	play	leu.3
16.27	love	mhja.5
16.29	kiss	ka.3
16.3	embrace	ma.3
16.31	pain	chu.1
16.32	grief, sorrow, sadness	koŋ.4 kan.1
16.33	anxiety, worry	hja:i.6
16.34	regret, be sorry	cuŋ.1
16.35	pity	lan.1
16.37	cry, weep	la.3
16.38	tear (noun)	jak.7
16.39	groan	hjo.1; hon.6
16.41	hate	sa.5
16.42	anger	ńi:t.8
16.44	envy, jealousy	lo.4
16.45	shame (noun)	nho.1
16.48	proud	shəŋ.6
16.51	dare	wa.5
16.52	brave	ńau.6
16.53	fear, fright	fən.2 phek.7
16.54	danger	lan.4; lan.4
16.62	desire, want	ci.2 jun.6 nən.2
16.622	choose	maŋ.4
16.63	hope	ćü.1
16.65	faithful	mi.4 ćü.1
16.66	true	loŋ.6
16.67	lie, tell lies	maŋ.4
16.68	deceit	shüt.7
16.69	forgive	ŋu:ŋ.3
16.71	good	ćik.7
16.72	bad	śi:ŋ.4(1) sham.1
16.73	right, correct	cok.8 kjap.7
16.74	wrong	hau.4 fai.3
16.76	fault	ko.4 ljen.2
16.77	mistake, error	ńe.3
16.78	blame	ləm.4 la.1
16.79	praise	na:n.4 te.1
16.81	beautiful	han.5
16.82	ugly	fa:t.7 khi.6
16.83	greedy	śi:ŋ.6 sham.1
16.84	clever	ciu.4 je.1
17.11	mind	kja:u.2 ŋa:u.6
17.13	think (= reflect)	khwi.3
17.14	think (= be of the opinion)	khwi.1 ciu.4 je.1
17.15	believe	kwe.2 khwi.1
17.16	understand	khwi.1
17.17	know	wi.4 hjem.3
17.171	guess	jüen.4 woŋ.6
17.172	imitate	shön.3
17.18	seem	hi.2 moŋ.6
17.19	idea, notion	cən.1
17.21	wise	ce.4 hwoŋ.2
17.22	foolish, stupid	lan.4
17.23	insane, crazy	jüen.2 lia:ŋ.6
17.24	learn	nən.2
17.242	study	fa:i.5
17.25	teach	toi.5
17.26	pupil	chok.7
17.27	teacher	chok.7
17.28	school	chok.7
17.31	remember	kwa:i.6
17.32	forget	khwa.1
17.34	clear, plain	la:i.4 lhaŋ.1; hjuŋ.1
17.35	obscure	chu.3
17.36	secret	tha:m.1
17.37	sure, certain	leŋ.6
17.38	explain	shi:ŋ.3
17.41	intention, purpose	shi:ŋ.4 shan.2
17.42	cause	lai.4 hjo.1
17.43	doubt	hjo.1
17.44	suspect	kha:i.1
17.441	betray	hot.8 shi:ŋ.6
17.45	need, necessity	pan.6
17.46	easy	tjen.1
17.47	difficult	ha:k.8
17.48	try, attempt	kja:u.5
17.49	way, manner	hau.2 sheŋ.1
17.51	and	lak.8 shai.1
17.52	because	ha:k.8 toŋ.3
17.53	if	ki.6
17.54	or	ju:ŋ.6
17.55	yes, affirmative	chəŋ.4 chu.3
17.56	no, negative	na:n.4 toŋ.3
17.61	how?	mi.2 mit.8
17.62	how many?	khən.3 təŋ.6
17.63	how much?	kai.3 sək.8
17.64	what?	jüen.2 jin.1
17.65	when?	fa:i.4 ji.4
17.66	where?	fa:i.4 ji.4
17.67	which?	ma.3(5) pon.6
17.68	who?	a:u.1
17.69	why?	ji.6
18.11	voice	na:n.2; na:n.2
18.12	sing	si.6
18.13	shout, cry out	həm.4
18.15	whisper	jin.1 wi.6
18.16	mumble	ju.2 ko.3
18.17	whistle	hot.8 ce.3
18.18	shriek, screech	si.6
18.19	howl	kwe.2
18.21	speak, talk	nhau.1 ji:ŋ.6
18.211	stutter, stammer	ki.3 ću:ŋ.
18.22	say	ćuŋ.4 sjeu.3
18.221	tell story	tə.0 mə.5
18.222	speech (make a)	tə.0 mə.5 si.2 hau.6
18.23	silent (be)	uŋ.4 nhau.1
18.24	language	khau.1
18.26	word	khau.1
18.28	name	wi.3 tə.0 mə.5
18.31	ask (question, inquire)	na:i.6
18.32	answer	kwa:i.6 ta:u.3
18.33	admit, confess	ka.5
18.34	deny	mian.2 ka.5
18.35	ask, request	siŋ.4 jam.1
18.36	promise	chi:ŋ.6
18.37	refuse	ko.1
18.38	forbid	ha:m.3
18.39	rebuke, scold	sa:p.7 sa:p.7 wa.6
18.41	call (=summon)	ni.4 ni.6 nuŋ.4 nuŋ.1
18.42	call (=name)	chü.1 sa:u.6
18.43	announce	shim.1 ha:m.3
18.44	threaten	shin.3
18.45	boast	ća:ŋ.3
18.51	write	ća:ŋ.3
18.52	read	ća:ŋ.3 ku.2 shai.6
18.56	paper	cəm.2
18.57	pen	wa.6 ńien.2
18.61	book	be.1
18.67	poet	la:n.2
18.71	flute	sa:i.3
18.72	drum	hjen.1
18.73	horn, trumpet	səŋ.2 jən.6
18.74	rattle	kwe.1(2) wa.6 sai.6
19.11	country	ću.2
19.12	one's native country	ta:p.7 ɨŋ.6
19.15	city, town	ci.5 cüe.4
19.16	village	kin.6
19.17	boundary	ha:m.3
19.21	people (populace)	ha:m.3 fe.4
19.23	tribe, clan	śüen.4 pu.6
19.24	chief, chieftain	wi.4 hjep.7
19.25	staff, walking stick	shai.4 kwa.1
19.31	rule, govern	shje.3
19.32	king, ruler	tok.8
19.33	queen	ci.3
19.36	noble, nobleman	pit.7
19.37	citizen, subject	lhe.1
19.41	master	tek.8
19.42	slave	kuŋ.3
19.43	servant	ho.6
19.44	freeman	ku:k.8 ka.1
19.45	command, order	kja.4 hjeŋ.1
19.46	obey	la:u.4 səŋ.1
19.47	let, permit	pa:n.4
19.51	friend, companion	ka:i.6 shjen.6
19.52	enemy	lən.1
19.54	neighbor	cuŋ.2 shok.8
19.55	stranger	ćo.3 shai.3
19.56	guest	töŋ.4
19.57	host	ku:n.3 le.4
19.58	help, aid	poŋ.4
19.59	hinder, prevent	hu:ŋ.3 te.6 mai.4
19.61	custom	cü.4 lən.1
19.62	strife, quarrel	kuŋ.4 fu.4 lən.1
19.63	conspiracy, plot	məŋ.2 ləŋ.6
19.65	meet	cun.4 su.3
19.72	prostitute	ńjeŋ.6
20.11	fight (vb)	puŋ.2 jau.4
20.13	war, battle	ti.2 lən.1
20.14	peace	puŋ.2 hja:n.1
20.15	army	seŋ.4 lən.1
20.17	soldier	ćhek.7
20.21	weapons, arms	cü.3 jan.2 ka.1
20.22	club	poŋ.1
20.222	battle-ax	thoŋ.3
20.23	sling	si.4 kwa:n.3
20.24	bow	ceŋ.1 lan.6; cha:u.3
20.25	arrow	jim.4 mau.2
20.26	spear	lak.8 pe.4 fa:i.6
20.27	sword	sek.8 kja.4 shai.2
20.28	gun, cannon	can.6
20.31	armor (defensive)	kin.4 toi.6
20.33	helmet	pəŋ.1
20.34	shield	chuŋ.6
20.35	fortress	kwon.6
20.36	tower	tau.2 fu.3
20.41	victory	ta:n.2 cuŋ.1
20.42	defeat	ćuŋ.1
20.43	attack	shjen.6
20.44	defend	kjem.6
20.45	retreat	chuŋ.6 pha:u.6
20.46	surrender	mo.6
20.47	captive, prisoner	tan.6
20.471	guard, sentinel	səŋ.4 po.3
20.48	booty, spoils	tha:p.7
20.49	ambush	səŋ.3 li.3
20.51	fisherman	sət.7 pa:i.6
20.52	fishhook	lau.2 kuŋ.1
20.53	fishing line	foŋ.4 su.3
20.54	fishnet	thoi.6
20.55	fish trap	tau.2 höŋ.1
20.56	bait	fok.8 lo.3
20.61	hunt	luŋ.2 məm.6
20.62	shoot	tjeu.2 məm.2(6) kau.1
20.63	miss (target)	tjeu.2 məm.2 shjen.6
20.64	trap (noun)	məm.2(6) mu:ŋ.4
20.65	trap (vb)	luŋ.2 məm.4(6) ńa.3
21.11	law	məm.6 thun.6
21.15	court	fe.4 na:n.4
21.16	judge (vb)	kon.4 na:n.4 lən.1
21.17	judgment	se.6
21.18	judge (noun)	mjeu.3
21.21	plaintiff	phjen.1
21.22	defendant	ha:m.4 cəŋ.3
21.23	witness	fe.4 ha:m.4 cəŋ.3
21.24	swear	fa:p.7
21.25	oath	kuŋ.4 toŋ.2
21.31	accuse	phu:n.6
21.32	condemn	fa:t.8 ku:n.1
21.33	convict (vb)	ka:u.6
21.34	acquit	me.2 zui.5
21.35	guilty	kwe.2 zui.5
21.36	innocent	fa:t.8
21.37	penalty, punishment	fa:t.8 khu:n.3
21.38	fine	ŋa:p.8 man.2
21.39	prison, jail	ha.3
21.42	murder	kjeŋ.2 kjen.1
21.43	adultery	lha:ŋ.5 wi.1
21.44	rape	lhjak.7
21.46	arson	shjeŋ.3
21.47	perjury	lak.8 lhjak.7
21.51	steal	sən.2 toŋ.2
21.52	thief	ŋo.2 ćuŋ.6
22.11	religion	pa:i.6
22.12	God	la.5
22.13	temple, church	ka:i.1
22.14	altar	thjen.4 toŋ.2
22.15	sacrifice, offering	ti.4 jok.8
22.16	worship	la:i.4
22.17	pray	mo.4 fa:t.7
22.18	priest	mo.4 sok.8 shai.1
22.19	holy, sacred	sən.2 shjen.1
22.22	preach	la:i.4 kwa:i.6
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
