entry_id	trans_english	Goajiro_Phonemic
12.56	small, little	motsa-yɨ-i; motsa-yɨ-ľɨ
12.57	long	mɨľeu
12.58	tall	watta-pɨ-i; watta-pɨ-ľɨ
12.59	short	motsa-ši; motsa-sɨ
12.61	wide, broad	her̃uľu
12.62	narrow	meui-ši; meui-sɨ
12.63	thick (in dimension)	ľaɨta
12.65	thin (in dimension)	pasanua-ši; pasanua-sɨ
12.67	deep	ke-inot-ši; ke-inot-sɨ
12.68	shallow	epet-ši; epet-sɨ
12.71	flat	
12.73	straight	ľotu-ši; ľotu-sɨ
12.74	crooked	šokot-ši; šokot-sɨ
12.75	hook	
12.76	corner	hɨ-yooin
12.77	cross	
12.78	square	
12.81	round	ľakaya-ši; ľakaya-sɨ
12.82	circle	ľakaya-ši; ľakaya-sɨ
12.83	sphere, ball	kooyo-ši; kooyo-sɨ
12.84	line	
12.85	hole	hou
12.92	like, similar	mɨši aka; mɨsɨ aka
12.93	change	eir̃ata
13.0	zero, nothing	nnohoi-ši; nnohot-sɨ
13.1	one	wane
13.2	two	piama
13.3	three	apɨnɨin
13.4	four	pieinči
13.5	five	har̃ai
13.6	six	aipir̃ua
13.7	seven	akar̃aiši
13.8	eight	mekisaľɨ
13.9	nine	mekieetasaľɨ
13.10	ten	poľo
13.101	eleven	poľo waneš wane-ši-mɨin
13.102	twelve	poľo piama-mɨin
13.103	fifteen	poľo ha'r̃aľi-mɨin
13.104	twenty	piama hiki hi-ki
13.105	hundred	poľo hi-ki
13.106	thousand	poľo-tua poľoo-in hi-ki
13.107	count	ayawaha
13.14	every, all	hɨ-pɨšuaaľeeya
13.15	much, many	mainma
13.16	more	ha-a-mɨin
13.17	little (quantity), few	paľit-ši; paľit-sɨ
13.18	enough	
13.181	some	
13.19	multitude, crowd	
13.21	full	wotu-ši; wotu-sɨ
13.22	empty	ma-ľuʔu-sai; ma-ľuʔu-so-ľu
13.23	part, piece	ha-ata
13.24	half	hɨ-seer̃uupɨna
13.33	alone, only	
13.34	first	paľahana
13.35	last	ha-hattia
13.36	second	
13.37	pair	
13.38	two times	pian-tua
13.42	third	
13.44	three times	apɨnɨin-tua
14.11	time	hɨ-kaľia
14.12	age	to-uyase
14.13	new	heke-či; heke-tɨ
14.14	young	himaai; mahayɨ-ľɨ
14.15	old	ľaɨľa
14.16	early	maľɨ; pehetši
14.17	late	kamaa
14.18	now	hoľuu
14.19	immediately	-mata
14.21	swift, fast, quick	
14.22	slow	hiatta-aya
14.23	hasten, hurry	ašpaha-waa
14.24	retard, delay	ka-maa-waa
14.25	begin, beginning	otta
14.252	last, endure	
14.26	end (temporal)	ha-haʔtia
14.27	finish	ahaʔtta
14.28	cease, stop	ašaʔwaľa-waa
14.29	ready	yapa-ši; yapa-sɨ
14.31	always	winši
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	ka-kaľia
14.34	never	
14.35	again	hɨ-čikuaaya
14.41	day	kaʔi
14.42	night	hawai
14.43	dawn	
14.44	morning	
14.45	noon, midday	kaľeu kaʔi
14.451	afternoon	aľika
14.46	evening	
14.47	today	ho-ʔu kaʔi-ka tɨ
14.48	tomorrow	wattaa
14.481	day-after-tomorrow	wattaa-mɨin
14.49	yesterday	wattaa-inka
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	kaši
14.73	year	huya
14.74	winter	huya-pɨ
14.75	spring	
14.76	summer	hamo-uľu
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	k-ehu-wa
15.212	sniff	
15.22	smell (vb trans)	aaľa ehu
15.25	fragrant, good smelling	hemeta ehu
15.26	stinking, bad smelling	hawai-sɨ
15.31	taste	ouľaka ehɨ
15.35	sweet	pɨsia-sɨ
15.36	salty	paľa-sɨ
15.37	bitter	iši-sɨ
15.38	acid, sour	hašɨɨ-sɨ
15.39	brackish	hawataľeer̃ɨ
15.41	hear	apa
15.42	listen	apa
15.44	sound, noise	episana
15.45	loud	k-episana-seyu-su
15.46	quiet, silence	yɨɨtɨhi-waa
15.51	see	er̃a
15.52	look, look at	eir̃aka-waa
15.55	show	eiata
15.56	shine	hor̃otta
15.57	bright	hor̃ottɨsɨ
15.61	color	ata; ouu
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	kasu-to-ľu; kasu-wou-ľu
15.65	black	mɨtsia; mena-sɨ
15.66	red	išosɨ; iši-to-ľu
15.67	blue	wɨitɨ-sɨ
15.68	green	wɨitɨ-sɨ
15.69	yellow	maľoukatɨ-sɨ
15.71	touch	otpɨľa-waa
15.712	pinch	asɨɨta
15.72	feel	
15.74	hard	čečesɨ
15.75	soft	haľeht-sɨ
15.76	rough	yaľa-yaľa-sɨ
15.77	smooth	sinatɨ-sɨ
15.78	sharp	k-asa-sɨ
15.79	blunt, dull	m-asa-saľɨ
15.81	heavy	hawatɨ-sɨ
15.82	light (in weight)	hamama-sɨ
15.83	wet, damp	čɨtsɨ; čɨľɨhisɨ
15.84	dry	hososɨ
15.85	hot	haisɨ; payutsɨ
15.851	warm	
15.86	cold	samatɨ-sɨ
15.87	clean	wɨľe-sɨ
15.88	dirty, soiled	yar̃ɨttɨ-sɨ
15.89	wrinkled	hir̃uttɨ-sɨ
16.11	soul, spirit	ainwa
16.15	surprised, astonished	
16.18	good fortune, luck	ana akuwaipa
16.19	misfortune, bad luck	mohu akuwaipa
16.23	joyful, glad, happy	taľatɨ-sɨ
16.25	laugh	asɨr̃eha
16.251	smile	akuľemer̃a-waa
16.26	play	šaita
16.27	love	aiwa apɨľa
16.29	kiss	ousaha
16.3	embrace	apahir̃a-waa ama
16.31	pain	mohu ain
16.32	grief, sorrow, sadness	
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	ayaľahaa
16.38	tear (noun)	awɨir̃a
16.39	groan	haľuwata
16.41	hate	aɨr̃ɨľa-waa anain
16.42	anger	ɨtta ain
16.44	envy, jealousy	čumɨha; ačumɨľa
16.45	shame (noun)	apɨľir̃a
16.48	proud	pɨľainči
16.51	dare	ašuta
16.52	brave	toľo-ainči; yaľa-yaľa-ainči
16.53	fear, fright	amomoľia
16.54	danger	
16.62	desire, want	eir̃e-waa
16.622	choose	aimaka
16.63	hope	aatapaha
16.65	faithful	
16.66	true	šimain
16.67	lie, tell lies	akɨha aľa-waa
16.68	deceit	aľa-wa
16.69	forgive	
16.71	good	anasɨ
16.72	bad	mohu-su
16.73	right, correct	ana-sɨ
16.74	wrong	mohu-su
16.76	fault	
16.77	mistake, error	
16.78	blame	
16.79	praise	
16.81	beautiful	ana-sɨ
16.82	ugly	mohu-su
16.83	greedy	
16.84	clever	
17.11	mind	
17.13	think (= reflect)	ekir̃uhuna
17.14	think (= be of the opinion)	
17.15	believe	ono-waa ama
17.16	understand	
17.17	know	atɨhaa
17.171	guess	
17.172	imitate	ouľaka
17.18	seem	ma aka
17.19	idea, notion	er̃aahaa
17.21	wise	a-tɨha-ši
17.22	foolish, stupid	maľa-ši
17.23	insane, crazy	mamainna-ši
17.24	learn	akir̃aha-waa anain
17.242	study	e-kir̃a-haa-waa anain
17.25	teach	e-kir̃a-ha
17.26	pupil	e-kir̃a-hu-ši
17.27	teacher	e-kir̃a-hɨi
17.28	school	e-kir̃a-hɨľe
17.31	remember	soto aʔin
17.32	forget	moto aʔin
17.34	clear, plain	šimain
17.35	obscure	
17.36	secret	
17.37	sure, certain	
17.38	explain	akɨhaa
17.41	intention, purpose	
17.42	cause	ma atuma
17.43	doubt	
17.44	suspect	aľir̃aha
17.441	betray	
17.45	need, necessity	
17.46	easy	m-apɨľe-saľɨ
17.47	difficult	k-apɨľe-sɨ
17.48	try, attempt	ouľaka
17.49	way, manner	akuwaipa
17.51	and	ouľaka mɨsɨya
17.52	because	aka
17.53	if	maaka
17.54	or	
17.55	yes, affirmative	aa
17.56	no, negative	nnoho
17.61	how?	hamɨ-sɨ
17.62	how many?	her̃a
17.63	how much?	her̃a
17.64	what?	kasa waiu
17.65	when?	ouha
17.66	where?	haľa ya
17.67	which?	har̃alɨ ya
17.68	who?	har̃ai ya
17.69	why?	hamɨ-sɨ
18.11	voice	amɨr̃aľuu; eir̃a
18.12	sing	eir̃ɨha
18.13	shout, cry out	awataa
18.15	whisper	eheher̃a-waa
18.16	mumble	ayounaľa-waa
18.17	whistle	ewiha
18.18	shriek, screech	
18.19	howl	awaľir̃aha-waa
18.21	speak, talk	ašaha-waa
18.211	stutter, stammer	
18.22	say	maa
18.221	tell story	akɨhaa
18.222	speech (make a)	ašaha-waa
18.23	silent (be)	koutaa
18.24	language	anɨiki
18.26	word	putči
18.28	name	anɨľia
18.31	ask (question, inquire)	asakir̃aa
18.32	answer	asokutaa
18.33	admit, confess	akɨhaa
18.34	deny	onhuľaha-waa
18.35	ask, request	ačunta
18.36	promise	
18.37	refuse	ayoutaa; ayoutahaa
18.38	forbid	ačiaha-waa
18.39	rebuke, scold	aɨľɨhaa amɨin
18.41	call (=summon)	ounehaa
18.42	call (=name)	ačunta anɨľia
18.43	announce	akɨhaa ačiki
18.44	threaten	amomoľuheer̃aa
18.45	boast	
18.51	write	ašahaa
18.52	read	ašaheer̃aa kar̃aľouta
18.56	paper	[kar̃aľouta]
18.57	pen	ašahia
18.61	book	
18.67	poet	
18.71	flute	totohi; masi; sawawa
18.72	drum	[kaša]
18.73	horn, trumpet	
18.74	rattle	
19.11	country	mma
19.12	one's native country	oumani
19.15	city, town	
19.16	village	
19.17	boundary	aľɨhaľe
19.21	people (populace)	
19.23	tribe, clan	eir̃ukuu
19.24	chief, chieftain	
19.25	staff, walking stick	
19.31	rule, govern	aľuwata-waa
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	[ľama]
19.42	slave	
19.43	servant	[piuna]
19.44	freeman	
19.45	command, order	aľuwata-waa anain
19.46	obey	haa ma
19.47	let, permit	
19.51	friend, companion	atɨnahutu
19.52	enemy	aɨnɨwaa
19.54	neighbor	
19.55	stranger	wanehetɨ
19.56	guest	aľiouwaa
19.57	host	
19.58	help, aid	akaľihaa
19.59	hinder, prevent	
19.61	custom	akuwaipa
19.62	strife, quarrel	atka-waa
19.63	conspiracy, plot	
19.65	meet	ousitaa; ewa apɨľa
19.72	prostitute	yuwasɨ
20.11	fight (vb)	atka-waa; ehir̃a-waa
20.13	war, battle	
20.14	peace	
20.15	army	
20.17	soldier	
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	hunaya
20.24	bow	wɨr̃aiči
20.25	arrow	hatɨ; siwar̃ai; kaľepɨsɨ
20.26	spear	
20.27	sword	
20.28	gun, cannon	aapɨľa; katkousu; čir̃ɨ
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	a[kana]haa
20.42	defeat	a[kanu]-waa
20.43	attack	ašuta au
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	aatapɨi
20.48	booty, spoils	
20.49	ambush	oukaha apɨľa
20.51	fisherman	e-hime-hɨi; hime-puu
20.52	fishhook	kuľir̃a
20.53	fishing line	
20.54	fishnet	
20.55	fish trap	
20.56	bait	emeyaa
20.61	hunt	oľohoo
20.62	shoot	ohutaa
20.63	miss (target)	ahačitaa
20.64	trap (noun)	woyoo
20.65	trap (vb)	ataɨľaa
21.11	law	akuwaipa
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	akɨha ačiki
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	m-ahinhaľa-saľɨ
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	
21.42	murder	outaa wayuu-wain
21.43	adultery	
21.44	rape	ataɨha-waa
21.46	arson	
21.47	perjury	
21.51	steal	aľuwahaa
21.52	thief	k-ar̃uar̃ai; k-ar̃ua-r̃aľɨ
22.11	religion	
22.12	God	maľeiwa
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	
22.18	priest	
22.19	holy, sacred	pɨľasɨ
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	amɨha
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	
22.44	fairy, elf	
22.45	ghost, phantom	yoľuhaa
22.47	omen, portent	
