entry_id	trans_english	Embera_Phonemic
8.98	mushroom	baku'ru-kɨuɨ'rɨ
9.11	do, make	o-
9.12	work	[tra'ha]
9.14	bend	e'ne-
9.15	fold	ɓe'ɗa-
9.16	tie, bind	hɨ̃-
9.161	untie	
9.18	chain	
9.19	rope, cord	['soga]
9.192	knot (noun)	
9.21	strike (hit, beat)	u'ɨ-
9.211	pound with fist	čĩ-
9.22	cut	tɨ-
9.221	cut down	tu'ta-
9.222	chop, hew	kõ-
9.223	stab	
9.23	knife	'neko
9.24	scissors, shears	
9.25	ax	zaga'ra
9.251	adze	hãĩũ'ẽ
9.26	break	ko'ra
9.261	broken	
9.27	split	dra-
9.28	tear	
9.29	flay, skin	hẽ'sa-; e'pa-
9.31	rub, wipe	ɨra'tɨ̃-
9.32	stretch	
9.33	pull	er̃e-ɓa'ri-
9.34	spread out	
9.341	hang up	hi'ra-
9.342	press	
9.343	squeeze, wring	ber̃a'hu
9.35	pour	we'a-
9.36	wash	sɨ'gɨ-
9.37	sweep	ha're-
9.38	broom	[uba'r̃e-]
9.422	tool	
9.43	carpenter	
9.44	build	o-
9.46	bore	sẽ-
9.461	hollow out	u'ya
9.48	saw	[ča'r̃uso]
9.49	hammer	
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	ne
9.65	silver	[pa'rata]
9.66	copper, bronze	
9.67	iron	[hior̃o]
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	ka-
9.73	clay	ego'ro
9.74	glass	
9.75	weave, plait	ka-
9.76	basket	e
9.77	mat	te'tera
9.771	rug	
9.78	netbag	
9.79	fan (noun)	pe'pena
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	
9.89	paint (vb)	pã-
10.11	move	
10.12	turn over	
10.13	turn around	pɨr̃ɨ'ga
10.14	wind, wrap	bɨ'ra-
10.15	roll	
10.16	drop (vb)	
10.17	twist	
10.21	rise	
10.22	raise, lift	ɨ̃'ta-e'da
10.23	fall	u'du-õã
10.24	drip	zou-
10.25	throw	'taɓari
10.252	catch (ball)	
10.26	shake	u're-bi
10.32	flow	we'a-ɓari
10.33	sink	
10.34	float	
10.35	swim	o-õã
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	õ'ãɓari
10.38	blow	harapu'a
10.41	creep, crawl	tɨɗɨ'ka
10.412	kneel	čirã-bo'ro-ɗe
10.413	crouch	'suɓari
10.42	slide, slip	
10.43	jump, leap	'hĩdru
10.431	kick	
10.44	dance	[bai'ra-]
10.45	walk	õã-
10.451	limp	
10.46	run	pi'ra-
10.47	go	õã-
10.471	go up	ɨ̃tɨ-õã-
10.472	climb	ɨ̃tɨ-õã-
10.473	go down	e'ɗu-õã-
10.474	go out	'ẽdru-
10.48	come	ze-
10.481	come back	ãbe'ra
10.49	go away, depart	õã-
10.491	disappear	
10.51	flee	mẽ'rũ-
10.52	follow	
10.53	pursue	pẽũ'ã
10.55	reach, arrive	hũẽ-
10.56	approach	kaita-õã
10.57	enter	eɗa-õã-
10.61	carry (bear)	a'tau-
10.612	carry-in-hand	
10.613	carry-on-shoulder	a'tau-
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	we-
10.63	send	
10.64	lead (vb)	
10.65	drive	
10.66	ride	
