entry_id	trans_english	Puinave_Phonemic
14.481	day-after-tomorrow	bə-dem bat-at
14.49	yesterday	dem
14.491	day-before-yesterday	dem-bəm
14.51	hour	[oda]
14.53	clock, timepiece	yãmat ya
14.61	week	
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	həbət
14.73	year	wik
14.74	winter	ɨt-yək-nom
14.75	spring	ɨt-wa-dɨk-bat
14.76	summer	wik-nom
14.77	autumn	ɨt-duk-bat
14.78	season	
15.21	smell (vb intrans)	-'ha-si + dik
15.212	sniff	-'ha-si + hik
15.22	smell (vb trans)	-'ha-si + duk
15.25	fragrant, good smelling	-'ha-si + hei
15.26	stinking, bad smelling	-'ha-si + han
15.31	taste	
15.35	sweet	-sik
15.36	salty	-sɨt
15.37	bitter	-wãn
15.38	acid, sour	-pik
15.39	brackish	
15.41	hear	-hui
15.42	listen	-sãk
15.44	sound, noise	-noot
15.45	loud	-noot + sə̃k
15.46	quiet, silence	õn; -noot + ɨi
15.51	see	-duk
15.52	look, look at	-nim
15.55	show	-tat-ək
15.56	shine	-'ha + bɨt; -'ha + bɨt-ək
15.57	bright	'ha-bɨt
15.61	color	
15.62	light (in color)	[...] + heu
15.63	dark (in color)	te-bɨu
15.64	white	-bək
15.65	black	-pik
15.66	red	-kət
15.67	blue	-ãk
15.68	green	-ãk
15.69	yellow	-hut
15.71	touch	-mã-pãi; -bep
15.712	pinch	
15.72	feel	-bep-dok
15.74	hard	-sãt
15.75	soft	-dam
15.76	rough	
15.77	smooth	
15.78	sharp	-de + yak
15.79	blunt, dull	-de + ɨi
15.81	heavy	-mə̃m
15.82	light (in weight)	-həbə-dik
15.83	wet, damp	-tɨu
15.84	dry	-həu
15.85	hot	-kai
15.851	warm	-ə̃-kai
15.86	cold	-haka-dik
15.87	clean	-'ha-pi + ɨi
15.88	dirty, soiled	-'ha-pi + bak
15.89	wrinkled	
16.11	soul, spirit	-hu-yu; -bik-sã-yu
16.15	surprised, astonished	wɨk + dik; yĩn + dik
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	-hĩ + hai
16.25	laugh	-yoi
16.251	smile	-yoi-heu
16.26	play	-butuk + ɨi
16.27	love	-heu; -yĩ + duk
16.29	kiss	-kou -sɨ-duk
16.3	embrace	-ho-do-yuk
16.31	pain	i-si-yu
16.32	grief, sorrow, sadness	mo-hĩ-sə̃m-yu
16.33	anxiety, worry	-bik-sã-yu-ha + ək
16.34	regret, be sorry	
16.35	pity	-u-bit + duk
16.37	cry, weep	-kik
16.38	tear (noun)	-bik-pok
16.39	groan	
16.41	hate	-ep + duk; -kei
16.42	anger	-nə̃m
16.44	envy, jealousy	-wek
16.45	shame (noun)	-u + yik
16.48	proud	am-hei + mok
16.51	dare	
16.52	brave	i-san-õm-i
16.53	fear, fright	mo-õm-yu
16.54	danger	-ɨk + dik
16.62	desire, want	-heu
16.622	choose	-õk; -õ-tek
16.63	hope	-he + tei
16.65	faithful	
16.66	true	ə̃-het
16.67	lie, tell lies	-te + sau
16.68	deceit	mo-te-sau-yu
16.69	forgive	
16.71	good	-hei
16.72	bad	-ep
16.73	right, correct	oi-bɨ-tep
16.74	wrong	oi-san-dit
16.76	fault	-yek + kəm
16.77	mistake, error	-yə-ək
16.78	blame	
16.79	praise	i-hei + bɨk
16.81	beautiful	'ha-huk; 'ha-hei
16.82	ugly	'ha-ebe-dik
16.83	greedy	
16.84	clever	-bika + kou
17.11	mind	-bik-sã-yu
17.13	think (= reflect)	-bik + sãk
17.14	think (= be of the opinion)	-i + sãk
17.15	believe	ə̃-het + mok
17.16	understand	-hui-pisi + wak
17.17	know	-pisi + wak
17.171	guess	-mã + wãi
17.172	imitate	
17.18	seem	-sək
17.19	idea, notion	-bik-sã-yu
17.21	wise	-bika + kou
17.22	foolish, stupid	-bika-san-kou
17.23	insane, crazy	-ik
17.24	learn	-pisi + wak
17.242	study	-hui
17.25	teach	-hui-ək
17.26	pupil	i-hui
17.27	teacher	i-hui-ə-ə
17.28	school	mo-hui-dipən
17.31	remember	-ye + wak
17.32	forget	-i + tep-dɨk
17.34	clear, plain	-bik-tan-sə̃k; wok-u
17.35	obscure	
17.36	secret	i-i-san-pin-i
17.37	sure, certain	ə̃-het-win
17.38	explain	-pin-ək
17.41	intention, purpose	-heu
17.42	cause	-di-ək
17.43	doubt	
17.44	suspect	-u-ka + heu
17.441	betray	-bɨk -bat-ot-at
17.45	need, necessity	-heu
17.46	easy	-i + ham
17.47	difficult	-pãk
17.48	try, attempt	-yak
17.49	way, manner	ohe
17.51	and	oyem; pəi
17.52	because	o-səm
17.53	if	-u
17.54	or	
17.55	yes, affirmative	ə̃
17.56	no, negative	ɨi
17.61	how?	bə-he
17.62	how many?	bə ka-to
17.63	how much?	bə ha-to
17.64	what?	bə-i-dik
17.65	when?	bəi-dik bat; bə-dou
17.66	where?	bən
17.67	which?	bəni
17.68	who?	bəə
17.69	why?	bəi-dik səm
18.11	voice	
18.12	sing	-au
18.13	shout, cry out	-ak; -wə-ak
18.15	whisper	
18.16	mumble	
18.17	whistle	-hə̃i
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	-yat
18.211	stutter, stammer	-ye-duk hui + dɨn
18.22	say	-mok
18.221	tell story	-i + pin
18.222	speech (make a)	-yat-bɨk
18.23	silent (be)	õn + dik
18.24	language	-ye-duk
18.26	word	-ye-duk
18.28	name	-tam
18.31	ask (question, inquire)	-ə̃m
18.32	answer	-ye-duk + wau-ək
18.33	admit, confess	-i + pin
18.34	deny	-i + han
18.35	ask, request	-ə̃m
18.36	promise	-i + pin-bɨk
18.37	refuse	
18.38	forbid	-san-di-ət
18.39	rebuke, scold	-mə̃n
18.41	call (=summon)	-ak
18.42	call (=name)	-tam
18.43	announce	-pin-ək
18.44	threaten	-bik + mak
18.45	boast	am-hei + mok
18.51	write	-nak
18.52	read	[-dek]
18.56	paper	[papeda]
18.57	pen	
18.61	book	[papeda]
18.67	poet	
18.71	flute	
18.72	drum	
18.73	horn, trumpet	-bón
18.74	rattle	
19.11	country	niti
19.12	one's native country	-yan
19.15	city, town	mo-yan
19.16	village	mo-yan-tɨi
19.17	boundary	-mau-yuk
19.21	people (populace)	epin-ot
19.23	tribe, clan	dom-nok-tə̃m-ot
19.24	chief, chieftain	-hɨi-wãi-dɨk
19.25	staff, walking stick	-pun
19.31	rule, govern	-i + heu
19.32	king, ruler	-i-hewe; -hɨi-wãi-dɨk
19.33	queen	-hɨi-wãi-dɨk-da
19.36	noble, nobleman	--
19.37	citizen, subject	-at-win
19.41	master	-əi
19.42	slave	-epin; -kui
19.43	servant	-epin
19.44	freeman	
19.45	command, order	-kui
19.46	obey	-ye-duk + hui
19.47	let, permit	-di-ək
19.51	friend, companion	-hɨ
19.52	enemy	-bat
19.54	neighbor	-het-win; -yan-kou
19.55	stranger	bə-ye-at-win
19.56	guest	
19.57	host	
19.58	help, aid	-hɨ-ha + ək
19.59	hinder, prevent	-hui + -pək
19.61	custom	[kotumbre]
19.62	strife, quarrel	-kei-yu
19.63	conspiracy, plot	
19.65	meet	-bat + tai; -duk
19.72	prostitute	
20.11	fight (vb)	-pɨ-tok
20.13	war, battle	mo-pɨ-to-yu
20.14	peace	mo-bikɨi-di-yu
20.15	army	
20.17	soldier	[sotdawa]
20.21	weapons, arms	-dap-pin-ot
20.22	club	pon
20.222	battle-ax	
20.23	sling	
20.24	bow	hə́k
20.25	arrow	bop
20.26	spear	yukon
20.27	sword	maita
20.28	gun, cannon	tãt
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	-wai
20.36	tower	
20.41	victory	-i + bep
20.42	defeat	-i + bep
20.43	attack	-wɨk-ə-tok
20.44	defend	-i + heu
20.45	retreat	-kut
20.46	surrender	
20.47	captive, prisoner	[preso]-ha + dik
20.471	guard, sentinel	[preso]-ot i-hewe
20.48	booty, spoils	i-i-kut-ək-pən
20.49	ambush	-he + tei
20.51	fisherman	i-map
20.52	fishhook	map-yu
20.53	fishing line	dɨt-ot
20.54	fishnet	yõ
20.55	fish trap	wabak; mĩm
20.56	bait	-hɨn
20.61	hunt	-bo-dɨk
20.62	shoot	-pãi-ək
20.63	miss (target)	-san-ket-ət
20.64	trap (noun)	[trampa]
20.65	trap (vb)	-ɨi-ək [trampa] tee
21.11	law	
21.15	court	
21.16	judge (vb)	-i-not-si + pin
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	-du-hu
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	[preso]-ha mo-di-dipən
21.42	murder	epin i-ɨi-ə-yu
21.43	adultery	mo-duk-yu bəi het
21.44	rape	den i-doi-yu
21.46	arson	bəi 'ot i-tai-bɨ-yu
21.47	perjury	
21.51	steal	-sek
21.52	thief	i-sek-pən-hin
22.11	religion	
22.12	God	[dio]
22.13	temple, church	[iglesia]
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	i-hei i-bɨ-yu dio-at
22.17	pray	dio + ə̃m; dio + pin-ək
22.18	priest	
22.19	holy, sacred	
22.22	preach	dio ye-duk-si + pin
22.23	bless	
22.24	curse	
22.26	fast (vb)	-te-si + sək
22.31	heaven	dio yãn
22.32	hell	də-wək
22.35	demon (evil spirit)	mo-wei-hin
22.37	idol	
22.42	magic, witchcraft, sorcery	mo-hik-yu
22.43	sorcerer, witch	i-hik; i-bot
22.44	fairy, elf	
22.45	ghost, phantom	-wei-hin
22.47	omen, portent	
