entry_id	trans_english	Dehong_Phonemic
9.221	cut down	xau.3 sɛu.4
9.222	chop, hew	xau.3 fa.4
9.223	stab	xau.3 lɨŋ.3
9.23	knife	xau.3 pək.9
9.24	scissors, shears	xau.3 sa:n.1; ka.3
9.25	ax	ham.2
9.251	adze	fəŋ.2
9.26	break	xau.3 ha:ŋ.1 ma.1
9.261	broken	ja.3 jək.9
9.27	split	fəŋ.2 hɛŋ.3
9.28	tear	ton.3 to.6 / xəŋ.6 sɔm.3
9.29	flay, skin	sɔm.3 puk.7
9.31	rub, wipe	ha:k.8
9.32	stretch	lam.2 mai.4
9.33	pull	xa.6 mai.4
9.34	spread out	maɨ.6 / maɨ.6 mai.4
9.341	hang up	la:m.1
9.342	press	mɔk.9 ja.3
9.343	squeeze, wring	ton.3 mai.4
9.35	pour	ton.3 ja:ŋ.6 taŋ.6
9.36	wash	pɛk.9 hin.1
9.37	sweep	mai.4 ho.1
9.38	broom	ton.3 pɛk.9
9.422	tool	thuŋ.2 mai.4 ʔɛn.1
9.43	carpenter	ma:k.9 ja:ŋ.6 taŋ.6
9.44	build	xə.2 / xə.2 thau.1 / va:i.1
9.46	bore	ʔa.3 / ʔa.3 xɛn.5 / ja.3 mom.5
9.461	hollow out	lut.7 / kin.6; ja.3 si.1 lek.8
9.48	saw	ho.1 mo.4 ja.3
9.49	hammer	lu.3 cɨ.2 / sa.2 ce.2
9.5	nail	to.6 lak.7 / ŋau.3 mai.4
9.56	glue	lam.2 mai.4
9.6	smith, blacksmith	xa.6 mai.4
9.61	forge	pək.9 mai.4
9.62	anvil	ja:ŋ.6 mai.4
9.63	cast (metals)	ton.3 cɔn.6 mɔŋ.2
9.64	gold	ma:k.9 ʔun.6
9.65	silver	ma:k.9 cɔk.7
9.66	copper, bronze	ma:k.9 moŋ.6
9.67	iron	ton.3 koi.3 hɔm.1
9.68	lead (noun)	koi.3 hɔm.1
9.69	tin, tinplate	ton.3 huŋ.2
9.71	potter	ma:k.9 kɛŋ.2
9.72	mold (clay etc)	ma:k.9 sa:ŋ.2 pho.2
9.73	clay	ma:k.9 xo.1 xə.2 / ma:k.9 xɨn.3 xun.1
9.74	glass	ton.3 leu.4
9.75	weave, plait	ho.1 man.2
9.76	basket	ho.1 man.2 lam.5
9.77	mat	ho.1 phək.9
9.771	rug	ho.1 man.2 mai.4
9.78	netbag	lam.4 tau.3
9.79	fan (noun)	pak.8
9.791	fan (vb)	va:i.1
9.81	carve	lo.5
9.82	sculptor	mai.4 xe.6
9.83	statue	ʔɔi.3
9.84	chisel	mə.6 (pa.6)
9.88	paint (noun)	la:m.1 pha:n.6
9.89	paint (vb)	hep.9
10.11	move	het.9
10.12	turn over	het.9 ka:n.6 / het.9 la.3 xɔŋ.1
10.13	turn around	kot.8 / ŋo.2 / ŋɔŋ.4
10.14	wind, wrap	to.1 / tɔk.7 / top.8
10.15	roll	mat.8 phuk.7
10.16	drop (vb)	ke.3
10.17	twist	cɛŋ.6
10.21	rise	sa:i.1
10.22	raise, lift	xɔt.9
10.23	fall	maŋ.6; po.4
10.24	drip	maŋ.6 / sak.7
10.25	throw	thə.1 / pa:t.9
10.252	catch (ball)	kət.8 lom.4
10.26	shake	kət.8 (fan.2) pɔt.9
10.32	flow	tɛŋ.2
10.33	sink	mit.8; pha.4
10.34	float	kim.2 (cim.2)
10.35	swim	ho.1 xa:n.1
10.351	dive	xa:n.1 ca:k.8
10.352	splash	hak.7 (pɔt.9)
10.36	sail (vb)	pha.5
10.37	fly (vb)	pha.5
10.38	blow	sik.1
10.41	creep, crawl	pɔk.9 laŋ.1
10.412	kneel	lot.8
10.413	crouch	cet.8
10.42	slide, slip	jet.9
10.43	jump, leap	can.6
10.431	kick	tɨt.8 ʔɔk.9
10.44	dance	ki.6
10.45	walk	xɛn.1
10.451	limp	tek.9
10.46	run	mip.7; liu.1
10.47	go	he.3
10.471	go up	suk.8; sak.8; la:ŋ.4
10.472	climb	pat.7
10.473	go down	ju.2 pat.7
10.474	go out	xəŋ.6 tɨ.2
10.48	come	ca:ŋ.6 mai.4
10.481	come back	ka:i.5
10.49	go away, depart	tɛŋ.2 pɔŋ.5
10.491	disappear	kon.5; xot.8
10.51	flee	lek.9 lə.6; lə.6
10.52	follow	xɔn.4 tɔk.9; tɔk.9
10.53	pursue	ma:t.9 lek.9
10.55	reach, arrive	lam.4 laŋ.1 / ja:ŋ.6 cap.7
10.56	approach	ca:ŋ.6 lek.9
10.57	enter	huŋ.1 lek.9
10.61	carry (bear)	taŋ.6 lek.9
10.612	carry-in-hand	lo.5
10.613	carry-on-shoulder	xam.2
10.614	carry-on-head	ŋən.2
10.615	carry-underarm	tɔŋ.2
10.62	bring	lek.9
10.63	send	cun.2
10.64	lead (vb)	sɔt.4
10.65	drive	ca:ŋ.6 lin.6
10.66	ride	het.9 mau.3
10.67	push, shove	lin.6
10.71	road	ma:n.5 cam.6
10.72	path	sa:n.1
10.74	bridge	sa.4 / sɔŋ.2
10.75	carriage, wagon, cart	loŋ.3
10.76	wheel	fuk.8
10.77	axle	ko.5 co.2 sə.5 lin.6
10.78	yoke	thoŋ.1 xe.1
10.81	ship	vi.2
10.83	boat	vi.2
10.831	canoe	xɔk.7
10.832	outrigger	ca:ŋ.6 xɔk.7
10.84	raft	phuŋ.5 xɔk.7
10.85	oar	siu.5
10.851	paddle (noun)	ha:k.8
10.852	row (vb)	ta.2 ha:k.8
10.86	rudder	lɨŋ.1
10.87	mast	pin.3 pɔk.8
10.88	sail (noun)	vin.5 la.3; va:k.8 la.3
10.89	anchor	ho.5
10.91	harbor, port	ham.2
10.92	land (vb)	tok.9; tok.9
11.11	have	pan.5; ta:ŋ.2 kot.8
11.12	own, possess	tɨŋ.6 xɨn.3
11.13	take	jok.8
11.14	seize, grasp	tok.9
11.15	hold	ja:t.9
11.16	get, obtain	thim.3
11.17	keep, retain	ti.1 pɛt.8
11.18	thing	hap.8
11.21	give	xau.5
11.22	give back	lai.1
11.24	preserve, look after	cəm.6
11.25	save, rescue	lam.4 lɔŋ.2
11.27	destroy	lai.1
11.28	harm, injure, damage	lɔi.2 ʔa:p.9
11.31	seek, look for	lam.6 ho.1
11.32	find	hot.9 lam.4
11.33	lose	va:i.3 lam.4 pa:k.9 la:i.5
11.34	release, let go	men.6
11.43	money	pau.5
11.44	coin	ka:n.2
11.51	rich	lɔḳ.8 xɔp.8
11.52	poor	ŋɔm.1
11.53	beggar	mun.6 lɨŋ.1
11.54	avaricious, stingy	vɛn.1 / tɔŋ.1
11.61	lend	thip.7
11.62	borrow	ka.3 jɔp.9
11.63	owe	pai.6 ta:ŋ.2
11.64	debt	ha:n.3 (hɛn.3) pai.6
11.65	pay (vb)	lɛn.6
11.66	account, reckoning	ka.5
11.69	tax, tribute	pai.6 xɨn.3
11.77	hire	ka:n.2 xɨn.3 / pha:p.9 xɨn.3
11.78	wages	pai.6 loŋ.2
11.79	earn	ʔɔk.9 ka.5
11.81	buy	jep.9
11.82	sell	ma.2
11.83	trade, barter	xɨn.2 ma.2; pɔk.8 xɨn.2
11.84	merchant	pha:k.8 ja:n.1
11.85	market (place)	ha:i.1 vit.7
11.86	store, shop	lak.8 pa:i.6
11.87	price	cɔm.2
11.88	dear (costly, expensive)	hɨp.8
11.89	cheap	thɨŋ.1
11.91	share (distribute)	kaɨ.3 cam.6
11.92	weigh	xau.3
12.1	after	pa.2; ʔau.6
12.11	behind	heu.3
12.2	beside	mɛk.9
12.3	down, below	ta:ŋ.5
12.4	before	hip.7
12.41	front	pa.2
12.5	inside, in	ha:p.9
12.6	outside	pa.2 ma.2
12.7	under	fa:k.9 ka.5
12.8	up, above	ʔɔn.6 xon.1 ta:ŋ.2
12.11	place	ho.3 lɛŋ.1
12.12	put	si.5 / xi.5
12.13	sit	tau.4
12.14	lie down	xon.1 ta:ŋ.2 loŋ.1
12.15	stand	ta:ŋ.2 ʔɔn.5
12.16	remain, stay	xo.1
12.17	remains, left overs	lɛŋ.1
12.21	collect, gather	lim.2 lɛŋ.1
12.212	pick up	vɔn.6 vɛn.2 lɛŋ.1 ka.2
12.213	pile up	ʔɛk.9
12.22	join, unite	hə.2 loŋ.1
12.23	separate	hə.2 ʔɔn.5
12.232	divide	fa:ŋ.3 lin.6
12.24	open	pe.2
12.25	shut, close	ta:p.8 fa:i.2
12.26	cover	va:i.3 hə.2
12.27	hide, conceal	ha:ŋ.1 ŋik.7
12.31	high	sau.1 la:ŋ.2 ja:n.2
12.32	low	men.6 va:i.3
12.33	top	ca:t.9 sək.8
12.34	bottom	ta.6 hə.2 lam.4 pa:k.9 la:i.5
12.35	end	xɨn.3 faŋ.5
12.352	pointed	mi.2 / jang.2
12.353	edge	ʔau.6
12.36	side	ŋam.4 co.3; sɛu.3 co.3
12.37	middle, center	ŋa:m.1
12.41	right (side)	ʔom.6
12.42	left (side)	lai.3
12.43	near (adv)	xəŋ.6 xo.2; xɔŋ.1 leŋ.2
12.44	far (adv)	haɨ.3
12.45	east	sa:i.3
12.46	west	jem.3 ku.1
12.47	north	kiu.5
12.48	south	ja.4 lu.4
12.53	grow	haɨ.3 lu.4; xa:i.5 co.3; sa:ŋ.6 co.3
12.54	measure	xa.1 lɛm.2
12.541	span, fathom	xa.1 co.3
12.55	large, big	hoŋ.6 ha:i.1
12.56	small, little	pɔi.5
12.57	long	so.1
12.58	tall	so.1 sɛp.9
12.59	short	mi.2 ma:k.8
12.61	wide, broad	pha:n.1
12.62	narrow	mo.1 phi.1
12.63	thick (in dimension)	ʔi.1 ci.1 / thi.5 to.3
12.65	thin (in dimension)	jim.6 haɨ.3
12.67	deep	jim.6 xau.3; jim.6 tɨ.2
12.68	shallow	jɔm.2 (so.1)
12.71	flat	li.3 xɔt.9 / ca:ŋ.5
12.73	straight	xa:i.6 so.1
12.74	crooked	ca:ŋ.5; sɔn.5 ca:ŋ.5
12.75	hook	kɔk.8
12.76	corner	ca:ŋ.3
12.77	cross	ka.6 hɛŋ.2
12.78	square	xa.1 (so.1)
12.81	round	sɨ.4
12.82	circle	xa:i.1
12.83	sphere, ball	ka.4 xa:i.1
12.84	line	kon.2 ka.4
12.85	hole	ka:t.9 sa.2
12.92	like, similar	sɛŋ.5
12.93	change	xan.1
13.0	zero, nothing	ka.6
13.1	one	po.2
13.2	two	phe.2 haɨ.3
13.3	three	caŋ.6 (ta:ŋ.2 lak.7)
13.4	four	ju.5 pa.3 laŋ.1
13.5	five	ju.5 kan.3 laŋ.1
13.6	six	ju.5 him.2
13.7	seven	pa.3 taɨ.3
13.8	eight	ju.5 ʔɔn.6 ta:ŋ.2
13.9	nine	ju.5 pa.3 la.3
13.10	ten	ju.5 laɨ.2
13.101	eleven	ju.5 lɔk.8
13.102	twelve	ju.5 taɨ.3
13.103	fifteen	ju.5 lə.1
13.104	twenty	ʔɔŋ.3
13.105	hundred	tam.2
13.106	thousand	laŋ.6
13.107	count	lɔn.2
13.14	every, all	cuk.7
13.15	much, many	ju.5
13.16	more	tha.3
13.17	little (quantity), few	lə.1
13.18	enough	səu.6 tɔm.6
13.181	some	cep.9
13.19	multitude, crowd	ko.5 / si.5
13.21	full	kap.7 la:ŋ.6
13.22	empty	mɛŋ.5 pha:t.9
13.23	part, piece	mɛŋ.5; kɛt.9 mɛŋ.5
13.24	half	hoi.1
13.33	alone, only	mun.2 ta.6
13.34	first	hap.7; hup.7
13.35	last	lap.7
13.36	second	tɔm.3 / hom.5
13.37	pair	lak.8 sɨŋ.5
13.38	two times	suŋ.1
13.42	third	tam.5 / ʔɛm.5
13.44	three times	cik.7
14.11	time	taɨ.3; tam.5
14.12	age	ha:ŋ.1 sut.7
14.13	new	lɛm.1
14.14	young	him.2
14.15	old	pha:k.9
14.16	early	kɛn.6 ka:ŋ.6
14.17	late	ju.5 laɨ.2
14.18	now	pa.3 xa.1
14.19	immediately	pa.3 sa:i.4
14.21	swift, fast, quick	kaɨ.3; kai.6
14.22	slow	la.3 van.2 ʔɔk.9
14.23	hasten, hurry	la.3 van.2 tok.9
14.24	retard, delay	la.3 hɔŋ.5
14.25	begin, beginning	pa:i.6 ca:n.2
14.252	last, endure	jaɨ.5 suŋ.1
14.26	end (temporal)	pɛŋ.5 tɛk.8
14.27	finish	xɨp.8
14.28	cease, stop	jaɨ.5 / loŋ.1
14.29	ready	ʔɔn.5 / lɔi.4 / ʔɛn.1
14.31	always	ja:u.2
14.32	often	suŋ.1
14.33	sometimes	lɔt.9 / lɔt.7 / pɔt.7
14.331	soon	ka:ŋ.3
14.332	long-time (for a)	hip.7 / tip.7 / ʔip.7
14.34	never	la.1
14.35	again	lo.1
14.41	day	ma:ŋ.6
14.42	night	lək.8
14.43	dawn	tən.3
14.44	morning	peŋ.2
14.45	noon, midday	sɨ.6
14.451	afternoon	kot.8 / ŋɔŋ.4 / ŋo.2
14.46	evening	keu.5
14.47	today	xau.1
14.48	tomorrow	sa:n.1 xɔi.5
14.481	day-after-tomorrow	mon.2; lɔm.6
14.49	yesterday	toŋ.5 mon.2
14.491	day-before-yesterday	lɔm.6
14.51	hour	sen.3 mai.1
14.53	clock, timepiece	hu.2
14.61	week	mən.1
14.62	Sunday	la:i.6; la:k.9 la:i.6
14.63	Monday	toŋ.5 mon.2
14.64	Tuesday	ləŋ.6
14.65	Wednesday	sɔŋ.1
14.66	Thursday	sa:m.1
14.67	Friday	si.5
14.68	Saturday	ha.3
14.71	month	hok.9
14.73	year	cet.9
14.74	winter	pɛt.9
14.75	spring	kau.3
14.76	summer	sip.7
14.77	autumn	sip.7 ʔet.9
14.78	season	sip.7 sɔŋ.1
15.21	smell (vb intrans)	sip.7 ha.3
15.212	sniff	sa:u.2
15.22	smell (vb trans)	pa:k.9
15.25	fragrant, good smelling	heŋ.1
15.26	stinking, bad smelling	ʔa:n.5
15.31	taste	taŋ.2 mɛn.4
15.35	sweet	lam.1
15.36	salty	sɛn.2 lam.1
15.37	bitter	ʔe
15.38	acid, sour	thon.3 kum.5
15.39	brackish	xɔŋ.6 ləŋ.6
15.41	hear	fuŋ.1 kon.2
15.42	listen	tem.6
15.44	sound, noise	ʔim.5
15.45	loud	pau.5
15.46	quiet, silence	xɔŋ.6 ləŋ.6
15.51	see	va:k.8; pa.3
15.52	look, look at	kɔi.2 leu.6
15.55	show	la:m.5 pa:t.8 ləŋ.6
15.56	shine	lɨn.2 laŋ.1
15.57	bright	la:m.5 pa:t.8 sɔŋ.1
15.61	color	kop.8; ku.6
15.62	light (in color)	sɔŋ.1 top.8
15.63	dark (in color)	la:m.5 pa:t.8 sa:m.1
15.64	white	sa:m.1 top.8
15.65	black	ka:p.4 ja:m.2
15.66	red	ʔa.6 sa:k.4
15.67	blue	maɨ.5
15.68	green	ʔa.6 sa:k.8 lum.5
15.69	yellow	kau.5
15.71	touch	thau.3
15.712	pinch	phək.9; hɔk.9
15.72	feel	cau.4
15.74	hard	xam.6; la.3
15.75	soft	ja:m.2 lai.4
15.76	rough	kam.2 leu.6
15.77	smooth	xan.1
15.78	sharp	la:n.2; ma:n.5
15.79	blunt, dull	ci.6 co.6
15.81	heavy	cəŋ.4 co.3
15.82	light (in weight)	te.2 ho.1
15.83	wet, damp	kap.7 ta:m.2
15.84	dry	sa:t.8 ha:ŋ.1
15.85	hot	het.9 mɛn.4
15.851	warm	tha:t.9 sau.2
15.86	cold	hɛn.2 li.6
15.87	clean	se.5 se.5
15.88	dirty, soiled	kai.4 kai.4
15.89	wrinkled	ma:ŋ.6 pɔk.8
16.11	soul, spirit	jaŋ.6 hɨŋ.1 xaɨ.6
16.15	surprised, astonished	hɨŋ.1 ja:u.2
16.18	good fortune, luck	jaŋ.6 hɔn.5
16.19	misfortune, bad luck	ca:i.5 sam.4
16.23	joyful, glad, happy	ka:ŋ.6 van.2
16.25	laugh	ka:ŋ.6 xɨn.2
16.251	smile	ho.1 laɨ.1 cau.4
16.26	play	ka:ŋ.6 laɨ.1
16.27	love	ka:ŋ.6 van.2
16.29	kiss	ja:m.2 van.2 va:i.5; ta:m.2 xam.6
16.3	embrace	ka:ŋ.6 xam.6
16.31	pain	mə.6 lai.4
16.32	grief, sorrow, sadness	mə.6 phuk.8
16.33	anxiety, worry	mə.6 hɨ.2
16.34	regret, be sorry	mə.6va.2
16.35	pity	mə.6 sɨn.2
16.37	cry, weep	la.5 li.5
16.38	tear (noun)	la.5 li.5
16.39	groan	sin.1
16.41	hate	ta.6 la:ŋ.2 loi.5 / van.2 sin.1
16.42	anger	ta.6 la:ŋ.2 la.5
16.44	envy, jealousy	ʔɛŋ.5 ka.5
16.45	shame (noun)	puk.8 ta.6 hu.2
16.48	proud	ca.5 sap.8 pa.6 te.2
16.51	dare	sɔk.8 ca.5
16.52	brave	can.5 le.5
16.53	fear, fright	lən.6
16.54	danger	pi.6
16.62	desire, want	xiŋ.5 kat.7
16.622	choose	xiŋ.5 hun.6
16.63	hope	xiŋ.5 mai.3
16.65	faithful	xiŋ.5 jen.6
16.66	true	xiŋ.5 hɛŋ.3
16.67	lie, tell lies	xiŋ.5 fon.1
16.68	deceit	xiŋ.5 xa.5 la.5 si.5
16.69	forgive	men.1
16.71	good	lom.6
16.72	bad	lom.6
16.73	right, correct	hɔm.1
16.74	wrong	men.1
16.76	fault	ʔa:i / ʔa.6 ja:t.8 sa.5
16.77	mistake, error	ca:ŋ.6
16.78	blame	va:n.1 / pə.4
16.79	praise	cem.2
16.81	beautiful	xom.1
16.82	ugly	som.3
16.83	greedy	jaŋ.6 kin.6 li.6
16.84	clever	lai.3 ŋin.2
17.11	mind	thɔm.5
17.13	think (= reflect)	seŋ.1 mo.2; seŋ.1
17.14	think (= be of the opinion)	seŋ.1 loŋ.1
17.15	believe	tet.9 jen.6
17.16	understand	han.1
17.17	know	jem.3; toi.2
17.171	guess	pia.4 ʔɔk.9; haɨ.3 toi.2
17.172	imitate	tɔŋ.5 hə.6
17.18	seem	saɨ.1 lɛŋ.2; sa:i.1 lɛŋ.2
17.19	idea, notion	ʔa.6 jɔŋ.5
17.21	wise	ca:ŋ.6
17.22	foolish, stupid	lək.8 hɛŋ.2
17.23	insane, crazy	phək.9
17.24	learn	lam.6
17.242	study	lɛŋ.6
17.25	teach	sɔm.5
17.26	pupil	xeu.1
17.27	teacher	ləŋ.1
17.28	school	kit.7; pɔŋ.3
17.31	remember	kam.6; mip.7; liu.1
17.32	forget	ŋom.2; lup.8
17.34	clear, plain	kɛn.5; xɛŋ.1
17.35	obscure	ʔon.3; mom.6
17.36	secret	ʔon.3
17.37	sure, certain	ka:i.2; hau.3
17.38	explain	ləm.3
17.41	intention, purpose	pha:i.1
17.42	cause	pu.3
17.43	doubt	lak.7
17.44	suspect	mau.6
17.441	betray	jam.2; jɨk.7
17.45	need, necessity	(fun.2) hɛŋ.3; fa.4 lɛŋ.4 lɛt.9
17.46	easy	ta:k.9 hɛŋ.3
17.47	difficult	mai.3
17.48	try, attempt	ʔun.5
17.49	way, manner	kat.7 / la:ŋ.3; keŋ.3 saɨ.1
17.51	and	haŋ.3
17.52	because	hun.1 / hu.5
17.53	if	xɔn.1 ŋau.2; caɨ.6 xo.2
17.54	or	tɨn.5 ʔa:m.2; tɨn.5 ʔa:m.2
17.55	yes, affirmative	ka:m.5 li.6
17.56	no, negative	kɛn.6 mɛu.4
17.61	how?	com.2 sə.2
17.62	how many?	xo.1
17.63	how much?	la.3 lai.6 / jom.4 lai.6
17.64	what?	ʔen.3
17.65	when?	hak.8 / kek.8
17.66	where?	cup.7
17.67	which?	hɔp.9 ʔum.3
17.68	who?	xɨn.3 cep.9
17.69	why?	mai.3 caɨ.6
18.11	voice	lɛŋ.1 caɨ.6
18.12	sing	maɨ.1 caɨ.6
18.13	shout, cry out	ʔi.1 lu.1
18.15	whisper	hai.3
18.16	mumble	lam.4 ta.6
18.17	whistle	xaŋ.2
18.18	shriek, screech	caŋ.2
18.19	howl	xaɨ.3 ca.4
18.21	speak, talk	soi.3
18.211	stutter, stammer	ʔai.6 la.3
18.22	say	ʔa.2 ki.2 / xa.5 la.5 ke.5
18.221	tell story	shəu.6 / hap.8
18.222	speech (make a)	la.3 ma:ŋ.6
18.23	silent (be)	hat.7 ha:n.1
18.24	language	li.6 ko.6
18.26	word	heu.1 caɨ.6
18.28	name	ta:ŋ.2 ʔa:ŋ.3 / ʔa:ŋ.3 ʔe.1
18.31	ask (question, inquire)	lək.8 joi
18.32	answer	ʔa:ŋ.3 ʔe.1
18.33	admit, confess	sɨ.6 to.5
18.34	deny	te.4 ma:n.5
18.35	ask, request	ta:n.3 phɛt.8
18.36	promise	phɛt.8 len.1
18.37	refuse	thɔk.8 to.5
18.38	forbid	li.6
18.39	rebuke, scold	ca.4
18.41	call (=summon)	thuk.7
18.42	call (=name)	phit.7
18.43	announce	lɔŋ.6 (ta:ŋ.2) phit.7
18.44	threaten	phit.7; ta:ŋ.2 phit.7
18.45	boast	le.2 vot.8
18.51	write	jɔŋ.3 jo.2
18.52	read	ha:ŋ.6 li.6
18.56	paper	ha:ŋ.6 ca.4
18.57	pen	caɨ.6 lam.1 / lo.2 pha.2
18.61	book	lak.7 lɛm.1
18.67	poet	ʔɔk.9 ʔɛk.9
18.71	flute	xaɨ.3 caɨ.6
18.72	drum	ma:t.8 va.6
18.73	horn, trumpet	jum.5 lai.3
18.74	rattle	hu.4 pɔŋ.5
19.11	country	hu.4 lai.3
19.12	one's native country	sa:i.4
19.15	city, town	jəŋ.6
19.16	village	mən.1 ha:ŋ.6
19.17	boundary	ta:ŋ.2 xaɨ.3 caɨ.6
19.21	people (populace)	lak.7 lɛm.1
19.23	tribe, clan	ŋə.3 ŋa.4
19.24	chief, chieftain	jɔŋ.5 von.2
19.25	staff, walking stick	fək.5
19.31	rule, govern	xa.2 ca.2
19.32	king, ruler	sɔn.1; sɔn.1 la:i.2
19.33	queen	luk.8 hen.2
19.36	noble, nobleman	mo.1 la:i.2
19.37	citizen, subject	xoŋ.4 fək.9
19.41	master	ma:t.8 tɔŋ.2
19.42	slave	lɨm.2
19.43	servant	sak.7 cɛm.5
19.44	freeman	pɔŋ.5 ja:p.9
19.45	command, order	sɨŋ.5 ʔam.6
19.46	obey	te.4 ma:n.5
19.47	let, permit	ke.3 xai.6
19.51	friend, companion	ta.6 tək.8
19.52	enemy	n[n.6 ŋau.3
19.54	neighbor	thəm.1 tha:ŋ.5
19.55	stranger	thəm.1 tha:ŋ.5
19.56	guest	pin.3 la:k.9 ta:k.9 fa:n.2
19.57	host	tak.7 lo.5
19.58	help, aid	ŋa:i.6
19.59	hinder, prevent	ja:p.9; ja:p.9 ja:k.8
19.61	custom	ca:m.2
19.62	strife, quarrel	lɔŋ.6 pɛŋ.5 ja.5
19.63	conspiracy, plot	taŋ.2; ʔek.9
19.65	meet	kɔp.8 pə.6
19.72	prostitute	thɨŋ.1 va.6 / thɔŋ.2 va.6
20.11	fight (vb)	ʔam.5 lan.1 / ma:u.5 lan.1
20.13	war, battle	caɨ.6; co.3
20.14	peace	jaŋ.6 caɨ.6
20.15	army	pen.6 hɨ.1 / laŋ.1 hɨ.1
20.17	soldier	xaɨ.6 / xaɨ.6 ləŋ.6
20.21	weapons, arms	xaɨ.6 / xaɨ.6 ləŋ.6
20.22	club	ti.6 saŋ.1
20.222	battle-ax	ja:m.2 laɨ.6
20.23	sling	thaɨ.1
20.24	bow	phaɨ.1
20.25	arrow	thaɨ.1
20.26	spear	kɔp.8 saŋ.1
20.27	sword	lai.4
20.28	gun, cannon	thai.3
20.31	armor (defensive)	lan.4
20.33	helmet	than.3
20.34	shield	seŋ.1
20.35	fortress	hɔŋ.4
20.36	tower	xa:m.2 ma:k.9
20.41	victory	hɔŋ.4; ʔiu.1
20.42	defeat	sɔp.8 sɛp.8 / pɔŋ.6 pɛŋ.6
20.43	attack	ʔun.6 ʔun.6
20.44	defend	pau.5 fit.7 fit.7
20.45	retreat	ʔiu.1
20.46	surrender	ʔiu.1 pa:u.5
20.47	captive, prisoner	ta:n.3; ta:n.3 xa:m.2
20.471	guard, sentinel	ta:n.3 xaŋ.4 thɨt.8 xaŋ.4 tha:t.8
20.48	booty, spoils	va.6
20.49	ambush	xai.6 ʔa.6 pum.5
20.51	fisherman	phe.1 la:t.8
20.52	fishhook	ʔam.6 sop.5
20.53	fishing line	xo.3 xa:m.2
20.54	fishnet	to.6 la:i.2 / to.6 lik.8
20.55	fish trap	cɨ.6
20.56	bait	tha:m.1
20.61	hunt	xa:n.1
20.62	shoot	jin.1
20.63	miss (target)	jaŋ.6 jin.1
20.64	trap (noun)	ŋam.6 xa:m.5
20.65	trap (vb)	ʔə.4 xa:ŋ.2
21.11	law	tap.8
21.15	court	pik.8 tap.8
21.16	judge (vb)	ci.4 le.2; sɔt.8 la.5
21.17	judgment	hɔŋ.4
21.18	judge (noun)	hɔŋ.4 va.6
21.21	plaintiff	mɔk.9 pia.4
21.22	defendant	ŋət.8 xə.3
21.23	witness	ʔo.2 ʔa.2 / ʔa.2 ki.2
21.24	swear	tɛm.3
21.25	oath	phat.7
21.31	accuse	ce.3
21.32	condemn	pi.3
21.33	convict (vb)	la:i.2
21.34	acquit	cau.3 phɔi.2 lik.8
21.35	guilty	pi.5
21.36	innocent	kɔŋ.6
21.37	penalty, punishment	le.2 / tut.7
21.38	fine	seŋ.1 pɔŋ.3 phuŋ.5
21.39	prison, jail	təŋ.2 ka.2
21.42	murder	təŋ.2 ʔu.3 me.6; ma:n.3 məŋ.2
21.43	adultery	veŋ.2; ce.6
21.44	rape	ma:n.3
21.46	arson	xɔp.9 xan.3
21.47	perjury	kon.2 məŋ.2
21.51	steal	tɨn.2 xə.2
21.52	thief	ka:ŋ.4 ke.5 me.6 ho.1
22.11	religion	xɔn.4 tau.4
22.12	God	ʔup.8 pəŋ.5; thiŋ.2 kɔn.2
22.13	temple, church	xun.1 ho.1 xam.2 / cau.3 vɔŋ.4
22.14	altar	te.5 vi.5 / la:ŋ.2 vɔŋ.4
22.15	sacrifice, offering	tɨŋ.2 cau.3 xə.2 xun.1
22.16	worship	kon.2 təŋ.2
22.17	pray	cau.3 hən.2
22.18	priest	xa.3
22.19	holy, sacred	kon.2 caɨ.4
22.22	preach	ʔa.6 miŋ.2 / miŋ.2 to.5
22.23	bless	cap.7 cɔm.2
22.24	curse	xa:ŋ.2 haɨ.3
22.26	fast (vb)	tai.2 ko.4 / ʔəi.2 ko.4
22.31	heaven	kon.2 xen.1
22.32	hell	hən.2 kaɨ.3 ʔɛp.9
22.35	demon (evil spirit)	kon.2 la.3 maɨ.5
22.37	idol	pi.6 lɔŋ.4
22.42	magic, witchcraft, sorcery	cau.3 hən.2
22.43	sorcerer, witch	thɛm.1
22.44	fairy, elf	he.4 tap.8
22.45	ghost, phantom	lɔŋ.6 ja:m.3
22.47	omen, portent	theŋ.1 kan.6
	lɔm.1 pɔŋ.6 / lɔŋ.6 mək.8
	xɔi.6 kan.6 / ja.2 han.1
	me.6 mɔk.9 ja.3 / me.6 ma:k.9 lam.1
	maŋ.6 kan.6; theŋ.1 kan.6
	tək.9 to.2
	lim.1 pe.5 se.5 sa.5
	fuŋ.1 sək.9
	luk.8 sək.9
	xəŋ.1 la:k.8 la:k.8
	xɔn.4 mai.4
	xa:n.1
	ka:ŋ.5 koŋ.6
	koŋ.6
	lɛm.3 pɨŋ.6
	hɔk.9
	la:p.9
	kɔŋ.3; mɔk.8
	mo.5 ho.1 kok.1
	ha.2
	veŋ.2
	kɔŋ.2 mu.2
	ʔɔŋ.5 mɛŋ.5
	ʔuk.8 sum.2
	tək.9 ja.4
	paɨ.4 pa.2
	hon.1
	kɔm.2
	sək.9 hup.8; tek.9 lai.3
	sək.9 paɨ.4
	xəŋ.6 tək.9 ʔɔŋ.5
	mɛp.7 tet.9
	tam.5 ŋa.6
