entry_id	trans_english	Thai_Dialect_Korat_Phonemic
4.55	perspire	fa:.3 mɨ:.2
4.56	spit	niu.4
4.57	vomit	niu.4 po:.4
4.58	bite	lep.4
4.59	lick	lep.4
4.591	dribble	kha:.1
4.61	sleep	kok.5 kha:.1
4.612	snore	nɔ:ŋ.4
4.62	dream	khau.3
4.63	wake up	ti:n.1
4.64	break wind	khɔ:.4 ti:n.1 (khɔ:.3 ti:n.1)
4.65	urinate	son.3 ti:n.1
4.66	defecate	lɔ:i.2 ti:n.1
4.67	have sexual intercourse	niu.4 po:.4
4.68	shiver	pi:k.3
4.69	bathe	khon.1
4.71	beget (of father)	ʔok.5
4.72	born (to be)	na:.3 ʔok.5; nom.2
4.73	pregnant	hua.1 nom.2
4.732	conceive	nom.2
4.74	live, living, life	sa.5 dɨ:.1
4.75	die, dead	hua.1 cai.1
4.751	drowned	pɔ:t.3
4.76	kill	tap.5
4.77	corpse	tai.1
4.78	bury (the dead)	ma:m.4
4.79	grave, tomb	tuŋ.1 na:m.4 di:.1
4.81	strong, mighty, powerful	thɔ:ŋ.4
4.82	weak	thɔ:ŋ.4
4.83	well, health	lam.2 sai.3
4.84	sick, sickness	ʔeu.1
4.841	fever	sa.5 pho:k.4
4.842	goiter	tu:t.3
4.843	cold (catarrh)	lu:.2 tu:t.3
4.85	wound, sore	mot.4 lu:k.4
4.852	bruise	lu:k.4 ka.5 po:k.3
4.853	swelling	ka.5 dɔ:.1
4.854	itch	hi:.1
4.855	blister	han.1 cai.1
4.856	boil (noun)	ha:u.1
4.857	pus	sa.5 ʔɨk.5
4.858	scar	ʔai.1
4.86	cure, heal	ca:m.1
4.87	physician	ŋɨ:a.3 tɛ:k.3
4.88	medicine, drug	na:m.4 la:i.2
4.89	poison	thom.3 na:m.4 la:i.2
4.91	tired, weary	ʔu:ak.3
4.912	rest	kat.5
4.92	lazy	lɛ:p.4 lin.4
4.93	bald	li:a.2
4.94	lame	jot.5
4.95	deaf	nɔ:n.2 lap.5
4.96	mute	ko:n.1
4.97	blind	fan.1
4.98	intoxicated	luk.4
4.99	naked, bare	luk.4
5.11	eat	tot.5
5.12	food	jiau.4
5.121	cooked	khi:.3
5.122	raw	jet.4
5.123	ripe	san.3
5.124	green, unripe	ʔa:p.3 na:m.4
5.125	rotten	kɣ:t.3
5.13	drink	kɣ:t.3
5.14	hunger	ʔɔ:k.3 lu:k.4
5.141	famine	thɔ:ŋ.4
5.15	thirst	khit.4
5.16	suck	jaŋ.2 ju:.3
5.18	chew	ta:i.1
5.181	swallow	tok.5 na:m.4 ta:i.1
5.19	choke	kha:.3
5.21	cook	phi:.1
5.22	boil (vb)	faŋ.1
5.23	roast, fry	lum.1 phi:.1
5.24	bake	khɛ:ŋ.1 lɛ:ŋ.2
5.25	oven	ʔɔ:n.3 ʔɛ:.1
5.26	pot, cooking vessel	khɛ:ŋ.1 lɛ:ŋ.2
5.27	kettle	puai.3
5.28	pan	pen.1 khai.3
5.31	dish	khɔ:.2 phɔ:k.4
5.32	plate	pen.1 wat.5
5.33	bowl	thɔ:ŋ.4 si:a.1
5.34	pitcher, jug	pu:at.3
5.35	cup, drinking vessel	fok.4
5.36	saucer	bu:am.1
5.37	spoon	bu:am.1; khan.2
5.38	knife	tum.3
5.39	fork	fi:.1; siu.1
5.391	tongs	nɔ:ŋ.1
5.41	meal (a)	phɛ:.1 pen.1
5.42	breakfast	lak.4 sa:.1
5.43	lunch	mɔ:.1
5.44	dinner	ja:.1
5.45	supper	ja:.1 phit.4
5.46	peel	wa:ŋ.2 ja:.1 phit.4
5.47	sieve, strain	nɨai.3
5.48	scrape	jut.5
5.49	stir, mix	khi:.3 kha:n.4
5.51	bread	hua.1 la:n.4
5.53	dough	pen.1 ŋɔi.4
5.54	knead	hu:.1 nu:ak.3
5.55	meal, flour	pen.1 bai.4
5.56	crush, grind	ta:.1 bɔ:t.3
5.57	mill	mau.2
5.58	mortar	kɛ:.4 pha:.3
5.59	pestle	kin.1
5.61	meat	ʔa:.1 ha:n.1
5.63	sausage	suk.5
5.64	soup, broth	dip.5
5.65	vegetables	ŋɔ:m.2
5.66	bean	dip.5
5.7	potato	nau.4
5.71	fruit	kin.1
5.712	bunch	hiu.1
5.75	fig	hiu.1
5.76	grape	hiu.1
5.77	nut	du:t.3
5.78	olive	khiau.4
5.79	oil	kɨ:n.1
5.791	grease, fat	sam.1 lak.4
5.81	salt	tam.2 kap.5 khau.3
5.82	pepper	tom.4
5.821	chili pepper	ja:ŋ.4; thɔ:t.4
5.84	honey	ʔop.5
5.85	sugar	tau.1; tau.1 ʔop.5
5.86	milk (noun)	mɔ:.3
5.87	milk (vb)	ka:.1 na:m.4
5.88	cheese	ka.5 tha.4
5.89	butter	ca:n.1
5.9	beverage, drink	ca:n.1
5.91	mead	cha:m.2; ʔa:ŋ.3
5.92	wine	jɨ:ak.3 na:m.4
5.93	beer	kɛ:u.4
5.94	fermented drink	thuai.3
5.97	egg	chɔ:n.4
5.971	egg yolk	mi:t.4
6.11	put on (clothes)	sɔ:m.3
6.12	clothing, clothes	khi:m.2
6.13	tailor	tɔ:n.1
6.21	cloth	tɔ:n.1 chau.4
6.22	wool	tɔ:n.1 ka:ŋ.1 wan.2
6.23	linen, flax	tɔ:n.1 kham.4
6.24	cotton	tɔ:n.1 kham.4
6.25	silk	pɔ:k.3 pɨ:ak.3
6.27	felt	ta.5 kɛ:ŋ.1; ka.5 chɔ:n.2
6.28	fur	khu:t.3
6.29	leather	thon.2
6.31	spin	kha.5 nom.1 paŋ.1
6.32	spindle	pɛ:ŋ.4
6.33	weave	nuat.4; pan.4
6.34	loom	pɛ:ŋ.4
6.35	sew	pon.3; tam.1
6.36	needle	bot.5
6.37	awl	lɔn.4
6.38	thread	mo:.4
6.39	dye	khok.4
6.41	cloak	sa:k.3
6.411	poncho	nɨ:a.4
6.42	woman's dress	na:m.4 tap.5
6.43	coat	na:m.4 kɛ:ŋ.1
6.44	shirt	pak.5
6.45	collar	thua.3
6.46	skirt	kha.5 min.3
6.461	grass-skirt	ka.5 thi:am.2
6.48	trousers	hɔ:m.1; hɔ:m.1 hua.1 jai.3
6.49	stocking, sock	pik.4
6.51	shoe	ŋa:.2
6.52	boot	khiŋ.1
6.54	shoemaker, cobbler	tɛ:ŋ.1 kwa:.1
6.55	hat, cap	ma.4 khɨ:a.1
6.57	belt, girdle	man.2 fa.5 laŋ.3
6.58	glove	phon.1 la.4 mai.4
6.59	veil	chɔ:.4; phuaŋ.2
6.61	pocket	ma.4 dɨ:a.3; ton.4 sai.2
6.62	button	ʔa.5 ŋun.3
6.63	pin	thua.3
6.71	ornament, adornment	ma.4 kɔ:k.3
6.72	jewel	na:m.4 man.2
6.73	ring (for finger)	na:m.4 man.2
6.74	bracelet	ʔuan.4
6.75	necklace	phɔ:m.1
6.76	bead	kɨ:a.1
6.77	earring	pik.4 thai.2
6.78	headband, headdress	pik.4
6.79	tattoo	na:m.4 phɨŋ.3
6.81	handkerchief, rag	na:m.4 ta:n.1
6.82	towel	nom.2
6.91	comb	li:t.4 nom.2
6.92	brush	nɣ:i.2 khɛ:ŋ.1
6.921	braid	nɣ:i.2 sot.5
6.93	razor	khɨ:aŋ.4 dɨ:m.3
6.94	ointment	la:u.3 ʔa.5 ŋun.3
6.95	soap	bia.1
6.96	mirror	la:u.3
7.11	dwell, live	khai.3
7.12	house	khai.3 dɛ:ŋ.1
7.13	hut	tɛ:ŋ.3 tua.1
7.131	garden-house	sɨ:a.3 pha:.3
7.14	tent	cha:ŋ.4 tat.5 sɨ:a.3
7.15	yard, court	pha:.3
7.16	men's house	pha:.3 khon.1 sat.5
7.17	cookhouse	pa:n.3
7.18	meeting house	fa:i.3
7.21	room	mai.1
7.22	door, gate	sak.5 ka.5 la:t.3
7.221	doorpost, jamb	pha:.3 khon.1 sat.5
7.23	lock (noun)	naŋ.1
7.231	latch, door-bolt	pan.3
7.24	key	ka.5 suai.1
7.25	window	thɔ:.2; sa:n.1; thak.5
7.26	floor	hu:k.3
7.27	wall	jɛp.4 pha:.3
7.31	fireplace	khem.1
7.32	stove	sa.5 wa:n.3
7.33	chimney	da:i.4
7.37	ladder	jɔ:m.4 si:.1
7.42	bed	sɨ:a.3 khum.2
7.421	pillow	pha:.3 khum.2 hua.1
7.422	blanket	sɨ:a.3 pha:.3 phu:.3 jiŋ.1
7.43	chair	sɨ:a.3 khum.2
7.44	table	sɨ:a.3
7.45	lamp, torch	khɔ:.2 sɨ:a.3
7.46	candle	ka.5 po:ŋ.1
7.47	shelf	ka:ŋ.1 ke:ŋ.1
7.48	trough	pha:.3 kha.5 ma:.4
7.51	roof	thuŋ.1 tha:u.4; thuŋ.1 nɔ:ŋ.4
7.52	thatch	kɨ:ak.3
7.53	ridgepole	lɔ:ŋ.2 tha:u.4 bu:t.4
7.54	rafter	cha:ŋ.4 tham.2 lɔ:ŋ.2 tha:u.4
7.55	beam	mu:ak.3
7.56	post, pole	them.1 khat.5
7.57	board	thuŋ.1 mɨ:.2
7.58	arch	pha:.3 pok.5 na:.3
7.61	mason	ka.5 pau.1 sɨ:a.3; ka.5 pau.1 ka:ŋ.1 ke:ŋ.1
7.62	brick	ka.5 dum.1
7.63	mortar	khem.1 mut.5; khem.1 kat.5
7.64	adobe	khɨ:aŋ.4 tɛ:ŋ.3 tua.1
8.11	farmer	phet.4 phlɔ:i.2
8.12	field (for cultivation)	wɛ:n.1
8.13	garden	kam.1 lai.2
8.15	cultivate, till	sa:i.1 sɔi.3
8.16	fence	lu:k.4 pat.5
8.17	ditch	tum.4 hu:.1
8.21	plow	pha:.3 pho:k.4 hua.1
8.212	furrow	sak.5 jan.2
8.22	dig	pha:.3 chet.4 na:.3
8.23	spade	pha:.3 chet.4 tua.1
8.24	shovel	wi:.1
8.25	hoe	wi:.1 phom.1
8.26	fork	pɛ:ŋ.1
8.27	rake	thak.5 pi:a.1
8.31	sow	mi:t.4 ko:n.1
8.311	seed	khi:.3 phɨŋ.3
8.32	mow, reap	sa.5 bu:.3
8.33	sickle, scythe	ka.5 jok.5
8.34	thresh	ju:.3
8.35	threshing-floor	ba:n.4
8.41	crop, harvest	ka.5 thɔm.4
8.42	grain (barley, oats etc)	ka.5 thɔm.4
8.43	wheat	ten.4
8.44	barley	dɣ:n.3
8.45	rye	ba:n.4
8.46	oats	khua.2
8.47	maize, corn	sa:.1 la:.2
8.48	rice	hɔ:ŋ.3
8.51	grass	pa.5 tu:.1
8.52	hay	wɔŋ.2 kop.5
8.53	plant (noun)	mai.4 mi:.2
8.531	plant (vb)	kɔ:n.1
8.54	root	kun.1 cɛ:.1
8.55	branch	na:.3 ta:ŋ.3
8.56	leaf	phɨ:n.4
8.57	flower	fa:.1
8.6	tree	tau.1
8.61	oak	tau.1
8.62	beech	pɔ:ŋ.3 fai.2
8.63	birch	ka.5 dai.1
8.64	pine	ti:aŋ.1 nɔ:n.2
8.65	fir	mɔ:n.1
8.66	acorn	pha:.3 hom.3
8.67	vine	kau.4 ʔi:.4
8.68	tobacco	to.5
8.69	smoke (tobacco)	ta.5 ki:aŋ.1; khi:.3 tai.4
8.691	pipe	thi:an.2
8.72	tree stump	hiŋ.3
8.73	tree trunk	la:ŋ.2 na:m.4; thɔ:.4 na:m.4
8.74	forked branch	laŋ.1 kha:.2
8.75	bark	laŋ.1 kha:.2 bai.1 ca:k.3
8.76	sap	laŋ.1 kha:.2 ja:.3
8.81	palm tree	ʔok.5 kai.3
8.82	coconut	jan.1 than.2
8.83	citrus fruit	khɨ:.3; pɛ:.1
8.84	banana tree	ton.4 sau.1; mai.4 kha:n.4
8.85	banyan	ka.5 da:n.1
8.91	sweet potato	sum.4 pa.5 tu:.1
8.912	yam	cha:ŋ.4 kɔ:.3 sa:ŋ.3
8.92	tapioca, manioc, cassava	ʔit.5
8.93	gourd	pu:n.1 kha:u.1; pu:n.1 si.4 men.2
8.931	pumpkin, squash	ʔit.5
8.94	bamboo	cha:u.2 na:.2
8.941	sugar cane	thoŋ.4 na:.2
8.96	fish poison (root)	thoŋ.4
8.97	nettle	su:an.1
8.98	mushroom	pu:k.3
9.11	do, make	lu:a.4
9.12	work	chɔ:ŋ.4 lɔ:ŋ.4
9.14	bend	thai.1
9.15	fold	lɔ:ŋ.4 din.1
9.16	tie, bind	khut.5
9.161	untie	cɔ:p.3
9.18	chain	phua.4
9.19	rope, cord	cok.5
9.192	knot (noun)	sɔ:m.3
9.21	strike (hit, beat)	kha:t.4
9.211	pound with fist	wa:n.3
9.22	cut	met.4 phak.5
9.221	cut down	tha:k.3 ja:.3
9.222	chop, hew	khiau.2
