entry_id	trans_english	Romani_Phonemic
5.58	mortar	[mutelic̷a]; [pivarnea]
5.59	pestle	[pivnic̷a]
5.61	meat	mas
5.63	sausage	goi
5.64	soup, broth	zumi
5.65	vegetables	zelenimata
5.66	bean	[bobo]
5.7	potato	[kolompiri]
5.71	fruit	[legumi]
5.712	bunch	drez; [portsovono]
5.75	fig	[smokina]
5.76	grape	[struguro]; drakʰ
5.77	nut	pendex; [orex]; akʰor; [rihi]
5.78	olive	[maslina]
5.79	oil	[vuloi]; [zetino]
5.791	grease, fat	čiken
5.81	salt	lon
5.82	pepper	piperi
5.821	chili pepper	[piparka]; [paprika]
5.84	honey	avdzin
5.85	sugar	[zaro]
5.86	milk (noun)	tʰud
5.87	milk (vb)	duš-
5.88	cheese	kiral
5.89	butter	c̷il; kʰil
5.9	beverage, drink	pimos
5.91	mead	avginaki mol; [yusto]
5.92	wine	mol
5.93	beer	[beara]; [levina]
5.94	fermented drink	[ritia]; tʰari
5.97	egg	anʀo
5.971	egg yolk	[gelbenus]
6.11	put on (clothes)	lav pe-te; huriav
6.12	clothing, clothes	gada; [c̷oali]
6.13	tailor	[kroitori]; [sebevo]
6.21	cloth	[poxtan]; [postavo]
6.22	wool	pošom
6.23	linen, flax	[yino]; [kilc̷a]
6.24	cotton	[bumbako]
6.25	silk	kez
6.27	felt	[felta]
6.28	fur	
6.29	leather	morc̷i
6.31	spin	katisar-; [preadisar]
6.32	spindle	[viritoaska]
6.33	weave	kʰuv-
6.34	loom	[ʀozboi]
6.35	sew	suv-
6.36	needle	siv
6.37	awl	[yar]; [priboi]
6.38	thread	tʰav
6.39	dye	[farba]
6.41	cloak	[rexami]; [kepeniago]
6.411	poncho	--
6.42	woman's dress	[fista]; [rotia]; [c̷oxa]
6.43	coat	raxami; [yankelo]
6.44	shirt	gad
6.45	collar	[gulero]
6.46	skirt	[fista]; [rotia]; [c̷oxa]
6.461	grass-skirt	zulumaki c̷oxa; ʀokya-solumaki
6.48	trousers	[kalc̷i]; [budioga]; [pantalonia]
6.49	stocking, sock	[strinfa]; [harisa]; [c̷arapa]
6.51	shoe	[papuka]; [c̷abota]
6.52	boot	kʰer; [tirax]
6.54	shoemaker, cobbler	[papursari]; [c̷obotari]
6.55	hat, cap	[kolopo]; [stadži]; [peleria]; [c̷epka]; [skufic̷a]
6.57	belt, girdle	kuštik
6.58	glove	[manuša]
6.59	veil	selia
6.61	pocket	kisi; posetʸi
6.62	button	koc̷ak
6.63	pin	[gomboso]
6.71	ornament, adornment	[c̷erc̷elo]
6.72	jewel	kuč; bar
6.73	ring (for finger)	angrušti
6.74	bracelet	[brusleto]
6.75	necklace	[merziali]; [siro]
6.76	bead	[c̷ego]
6.77	earring	c̷erc̷elo
6.78	headband, headdress	diklo
6.79	tattoo	šinimos
6.81	handkerchief, rag	[diklo]; [nakʰesko]; [kʰosno]; [dirza]; [rag]; [kipra]
6.82	towel	kʰosno; [kirpa]; [piskʸiri]
6.91	comb	kanglo
6.92	brush	[metura]; [virc̷a]
6.921	braid	c̷unra
6.93	razor	[bric̷o]
6.94	ointment	[pumadʸa]
6.95	soap	[sapui]
6.96	mirror	[glinda]
7.11	dwell, live	beš-
7.12	house	kʰer
7.13	hut	[budka]
7.131	garden-house	[barako]
7.14	tent	[šatra]; c̷ehra
7.15	yard, court	bar
7.16	men's house	--
7.17	cookhouse	[kuxnya]; [fairela]
7.18	meeting house	--
7.21	room	[soba]; [komora]
7.22	door, gate	vudar
7.221	doorpost, jamb	[stilbo ~ stilpo]
7.23	lock (noun)	[leketo]; [brava]
7.231	latch, door-bolt	[klinc̷is]
7.24	key	[kiaya]
7.25	window	[filiastra]
7.26	floor	pʰuv
7.27	wall	[zido]
7.31	fireplace	bov
7.32	stove	bov
7.33	chimney	[koso]; [truba]
7.37	ladder	[skara]
7.42	bed	tʰan; [pato]
7.421	pillow	šerand
7.422	blanket	[kapa]; [plapono]; [poniava]; [c̷olo]
7.43	chair	[skamin]
7.44	table	[skafedi]
7.45	lamp, torch	[lampas ~ lampa]
7.46	candle	momeli
7.47	shelf	[polka]; [skafo]
7.48	trough	[troko]; balai
7.51	roof	[koperis]; [sindra]; [krisa]; [tavano]; [potoloko]; [čardako]
7.52	thatch	[papuʀi]; [solumako]
7.53	ridgepole	berand
7.54	rafter	beli; [lambriso]
7.55	beam	[balko]
7.56	post, pole	kilo; [kopač]; [stilpo]
7.57	board	pʰal
7.58	arch	--
7.61	mason	[zidari]
7.62	brick	[keremida]; [c̷igla]
7.63	mortar	[mutelic̷a]; [pivarnia]
7.64	adobe	--
8.11	farmer	[pavuro]
8.12	field (for cultivation)	mal; [kimpo]
8.13	garden	[sado]
8.15	cultivate, till	bariar-; [sadisar-]
8.16	fence	bar; [grada]
8.17	ditch	[šanc̷o]; [groapa]
8.21	plow	[plugisar-]; [vorisar-]
8.212	furrow	[vurma]; [plugoski]
8.22	dig	hunav-
8.23	spade	[lopata]
8.24	shovel	[lopata]
8.25	hoe	[sapa]
8.26	fork	[furka]
8.27	rake	[grabla]
8.31	sow	[seyisar-]
8.311	seed	[seminc̷a]
8.32	mow, reap	[kosisar-]; šʸin-; kid-
8.33	sickle, scythe	[serpo]; [koasa]
8.34	thresh	[molotisar-]
8.35	threshing-floor	--
8.41	crop, harvest	kʸidipe ~ kʸidimos
8.42	grain (barley, oats etc)	gʸiv
8.43	wheat	gʸiv parno
8.44	barley	[vorzo]
8.45	rye	gʸiv kalo
8.46	oats	žʸov
8.47	maize, corn	[kukuruzo]
8.48	rice	[herezo]
8.51	grass	čar
8.52	hay	kʰas
8.53	plant (noun)	
8.531	plant (vb)	[sadisar]; šʸa
8.54	root	[vina]; [redec̷ina]
8.55	branch	[krianga]; rai
8.56	leaf	patrin
8.57	flower	[luludži]
8.6	tree	kaš; [kopači]
8.61	oak	[strezari]
8.62	beech	[zirolin]; [giandelin]
8.63	birch	[mestetin]
8.64	pine	
8.65	fir	[brado]
8.66	acorn	[c̷ukoro]
8.67	vine	res
8.68	tobacco	[duhano]; [tutuno]
8.69	smoke (tobacco)	pi- [duhano]
8.691	pipe	[luliava]
8.72	tree stump	[budugaya]; [buc̷uma]
8.73	tree trunk	[kropo ~ korpo]; [kopači]
8.74	forked branch	[praya] huladine; [smirko]
8.75	bark	[skoarc̷a]
8.76	sap	[musto]; [soko]
8.81	palm tree	[palmo]
8.82	coconut	--
8.83	citrus fruit	--
8.84	banana tree	--
8.85	banyan	--
8.91	sweet potato	--
8.912	yam	--
8.92	tapioca, manioc, cassava	--
8.93	gourd	dudum
8.931	pumpkin, squash	dudum
8.94	bamboo	trestia
8.941	sugar cane	--
8.96	fish poison (root)	--
8.97	nettle	[c̷ignidul]
8.98	mushroom	[buriac̷a]; xuxuʀ
9.11	do, make	ker-
9.12	work	butʸi
9.14	bend	bandžar-
9.15	fold	kʸid-
9.16	tie, bind	pʰand-
9.161	untie	putar-
9.18	chain	[lanc̷o]
9.19	rope, cord	šelo
9.192	knot (noun)	[kombo]
9.21	strike (hit, beat)	mar-
9.211	pound with fist	
9.22	cut	šʸin-
9.221	cut down	[kosi-]
9.222	chop, hew	pʰarav-
9.223	stab	pušav-
9.23	knife	šʸuri
9.24	scissors, shears	kat
9.25	ax	tover
9.251	adze	[bradva]; [nižako]
9.26	break	pʰag-
9.261	broken	pʰaglo
9.27	split	pʰarav-
9.28	tear	šʸin
9.29	flay, skin	rand-; c̷ir morc̷i pa
9.31	rub, wipe	kʰos-
9.32	stretch	porav-; [tinzosar-]
9.33	pull	c̷ird-
9.34	spread out	buhliar-; šʸud-
9.341	hang up	amblav-
9.342	press	kʸid-
9.343	squeeze, wring	kʸid-
9.35	pour	šʸor-
9.36	wash	tʰa-
9.37	sweep	šelav- ~ šulav-
9.38	broom	[metura]
9.422	tool	sastri
9.43	carpenter	kʰerari; [kolari]
9.44	build	zidoisar-
9.46	bore	xiviar-
9.461	hollow out	hunav-
9.48	saw	[firuzo]
9.49	hammer	[čokano]
9.5	nail	[karfin]
9.56	glue	[kleio]
9.6	smith, blacksmith	[ferari]; [kovači]
9.61	forge	[kovanc̷a] ~ [kovači]; [vindžia]
9.62	anvil	[kovanc̷a]
9.63	cast (metals)	šʸor-
9.64	gold	sumnakai
9.65	silver	rup
9.66	copper, bronze	[xarkuma]; [bronzo]
9.67	iron	sastri
9.68	lead (noun)	[molivi]
9.69	tin, tinplate	arčiči
9.71	potter	piriari
9.72	mold (clay etc)	[ponzenimos]
9.73	clay	čik
9.74	glass	[stekla]; [voyaga]
9.75	weave, plait	kʰuv-
9.76	basket	[koznic̷a]
