entry_id	trans_english	Sui_Phonemic
6.78	headband, headdress	wən.5
6.79	tattoo	ndon.5
6.81	handkerchief, rag	tom.5
6.82	towel	ćoŋ.6 qha.1
6.91	comb	fa.3 mja.1
6.92	brush	fa.3 suk.8 ʔna.3
6.921	braid	se.1; khe.1
6.93	razor	se.1
6.94	ointment	suk.8
6.95	soap	lja.1; ʔbjam.1 lja.1
6.96	mirror	mit.8 fut.7 qam.4
7.11	dwell, live	ka:u.3
7.12	house	ja:ŋ.4 ćen.6
7.13	hut	nam.3 ʔda:ŋ.1; toŋ.2 cjau.5
7.131	garden-house	ńa:u.6
7.14	tent	ɣa:n.2
7.15	yard, court	śa:n.1
7.16	men's house	ɣa:n.2 śuŋ.1 ʔau.4; ɣa:n.2 he.4 ʔau.4
7.17	cookhouse	hum.4
7.18	meeting house	to.1; to.1 la:u.4
7.21	room	lam.1 mai.4 fuŋ.3
7.22	door, gate	ʔna:ŋ.1 to.1
7.221	doorpost, jamb	tiu.2 mai.4 fuŋ.3
7.23	lock (noun)	fa:ŋ.2
7.231	latch, door-bolt	sja:ŋ.2
7.24	key	thu.3
7.25	window	lu.4
7.26	floor	qoŋ.6 kwan.2
7.27	wall	ʔde.3
7.31	fireplace	ta:u.2
7.32	stove	tjem.6 qam.1
7.33	chimney	tha:n.6
7.37	ladder	ʔun.1 taŋ.5; ʔun.1 ʔniŋ.3
7.42	bed	śi.3
7.421	pillow	teŋ.5
7.422	blanket	cok.7; la.2 cu.2
7.43	chair	ka:n.6; ća:k.7
7.44	table	ca:u.2
7.45	lamp, torch	qum.4 ɣa:n.2
7.46	candle	ja.1 mu.2 ʔu.1 ɣa:n.2
7.47	shelf	na.1
7.48	trough	ni.4 lja:ŋ.4
7.51	roof	la:k.8 qha:ŋ.1
7.52	thatch	ni.4 lja:ŋ.4
7.53	ridgepole	ra:m.3; qa:n.6
7.54	rafter	pin.5
7.55	beam	to.1 kuŋ.6
7.56	post, pole	ʔai.3 śu.5 tin.2
7.57	board	ćon.1
7.58	arch	lu.5 tin.2 hoi.1
7.61	mason	ʔai.3 he.4 mjeu.2
7.62	brick	ʔɣa.5
7.63	mortar	nda:i.5
7.64	adobe	nda:i.5 ʔma.1
8.11	farmer	ćoi.1 ʔda:i.5
8.12	field (for cultivation)	ta:t.7
8.13	garden	ʔnja:ŋ.1 na:m.3
8.15	cultivate, till	ćoi.1
8.16	fence	cət.8; qok.7
8.17	ditch	thje.2 cha:n.6
8.21	plow	ka:k.7; kha:t.7
8.212	furrow	kwa:k.7; ne.2
8.22	dig	sa.1
8.23	spade	pa.2
8.24	shovel	tau.5
8.25	hoe	wan.1
8.26	fork	qat.7; ʔa:u.1
8.27	rake	ljem.4
8.31	sow	tjap.7 ʔau.4; tui.2 ʔau.4
8.311	seed	kam.3 miu.2; miu.2
8.32	mow, reap	ʔau.4
8.33	sickle, scythe	ʔau.4 mo.6 mjen.6
8.34	thresh	ʔau.4 mo.6 la:u.4
8.35	threshing-floor	ʔau.4 ʔboŋ.5
8.41	crop, harvest	ʔau.4 mek.8
8.42	grain (barley, oats etc)	ʔau.4
8.43	wheat	ʔau.4
8.44	barley	ʔau.4 ha:n.1; ʔdja.3 ʔau.4
8.45	rye	fa.6 ʔau.4
8.46	oats	wa:ŋ.1
8.47	maize, corn	ʔau.4 fja:ŋ.3
8.48	rice	kaŋ.1
8.51	grass	ńha:ŋ.3
8.52	hay	mbja.1
8.53	plant (noun)	ha:ŋ.1
8.531	plant (vb)	qam.4 mai.4; ni.4 mai.4
8.54	root	ʔa.5 mai.4
8.55	branch	wa.5
8.56	leaf	ndun.1
8.57	flower	nuk.8
8.6	tree	mai.4
8.61	oak	mai.4 ŋau.6
8.62	beech	mai.4 so.3
8.63	birch	thoŋ.3 mai.4 ti.3
8.64	pine	ja:u.1
8.65	fir	ʔjen.1
8.66	acorn	śut.7; jen.3
8.67	vine	qam.4 toŋ.2
8.68	tobacco	kun.5 mai.4
8.69	smoke (tobacco)	ni.4 mai.4
8.691	pipe	ka:m.3 mai.4
8.72	tree stump	pi.2 mai.4
8.73	tree trunk	ha:u.2 mai.4
8.74	forked branch	qa:m.5; fa:ŋ.4 ko.6
8.75	bark	mai.4 śa:ŋ.3 cja:u.3
8.76	sap	lam.1 ndja:k.7 nda:ŋ.7 nda:ŋ.1
8.81	palm tree	mai.4 joŋ.2
8.82	coconut	man.2 ha:n.3
8.83	citrus fruit	qam.4 ʔɣa:k.7
8.84	banana tree	mu.2 su.2
8.85	banyan	pjo.6; pu.6
8.91	sweet potato	pu.2
8.912	yam	ja:u.1
8.92	tapioca, manioc, cassava	na:ŋ.1
8.93	gourd	fan.1
8.931	pumpkin, squash	ʔui.3
8.94	bamboo	tu.2
8.941	sugar cane	ra.1
8.96	fish poison (root)	he.4; ho.4
8.97	nettle	he.4 qoŋ.1
8.98	mushroom	ćau.1; cəm.3
9.11	do, make	ljom.3
9.12	work	phan.1
9.14	bend	ci.5
9.15	fold	la:k.7
9.16	tie, bind	la:k.7
9.161	untie	qut.7
9.18	chain	ta:t.7; ʔnon.5; ta.3
9.19	rope, cord	ćon.2 ta:t.7
9.192	knot (noun)	qat.7
9.21	strike (hit, beat)	pjam.3 ta:u.5; ha.3 ta:u.5
9.211	pound with fist	te.5 tjak.7
9.22	cut	kam.4; ta:k.7
9.221	cut down	mit.8
9.222	chop, hew	ju.1; jiu.1
9.223	stab	kwa:n.1
9.23	knife	tak.7; ʔeu.3
9.24	scissors, shears	tiu.5; he.5
9.25	ax	la.5
9.251	adze	sit.7; pja:k.7
9.26	break	phjok.7
9.261	broken	njut.7
9.27	split	sək.7; ću.2
9.28	tear	śon.4
9.29	flay, skin	tjət.8; ʔda:k.7
9.31	rub, wipe	ndiu.1
9.32	stretch	ʔdjan.5 phjoŋ.1
9.33	pull	saŋ.2
9.34	spread out	śan.4
9.341	hang up	pan.3
9.342	press	ɣən.6; ʔjau.5
9.343	squeeze, wring	suk.8; lak.7
9.35	pour	tjət.7
9.36	wash	mai.4 tjət.7
9.37	sweep	ća.3; tśa.3 sa:i.4
9.38	broom	ʔai.3 ha:ŋ.6 mai.4
9.422	tool	he.4; ʔda.1
