entry_id	trans_english	Khanty_Phonemic
11.63	owe	ar̃ɨntayɨŋa wəltɨ
11.64	debt	ar̃ɨnta
11.65	pay (vb)	suxuptatɨ
11.66	account, reckoning	luŋtopsa
11.69	tax, tribute	- -
11.77	hire	mita wutɨ
11.78	wages	wux wutɨ
11.79	earn	wux pənuttɨ
11.81	buy	ləttɨ
11.82	sell	tɨnɨtɨ
11.83	trade, barter	tɨnɨyltɨ; tɨnɨsatɨ
11.84	merchant	sʸor̃asxə
11.85	market (place)	tɨnɨsatɨ taxi
11.86	store, shop	lapka
11.87	price	tɨn
11.88	dear (costly, expensive)	tɨnaŋ
11.89	cheap	tɨnlɨ
11.91	share (distribute)	or̃ttɨ
11.92	weigh	weskalatɨ
12.1	after	yəxat ~ sʸaxa
12.11	behind	yulta ~ yupʸiyn
12.2	beside	puŋaln
12.3	down, below	iln; il
12.4	before	yeln; yelpiyn; sɨr̃iya
12.41	front	xot yelpʸi
12.5	inside, in	lɨpiyn
12.6	outside	kamɨn
12.7	under	iln
12.8	up, above	numpiyn
12.11	place	taxi
12.12	put	puntɨ; lonʸsʸtɨ
12.13	sit	omastɨ
12.14	lie down	ultɨ
12.15	stand	lolʸtɨ
12.16	remain, stay	xasʸtɨ
12.17	remains, left overs	xasʸum utat
12.21	collect, gather	akattɨ
12.212	pick up	nux almiyltɨ
12.213	pile up	- -
12.22	join, unite	pʸilattɨ
12.23	separate	katna or̃ttɨ
12.232	divide	or̃tti
12.24	open	punštɨ
12.25	shut, close	lap pʸenttɨ
12.26	cover	laŋktɨ
12.27	hide, conceal	sawitɨ; xanʸattɨ
12.31	high	kar̃sʸ
12.32	low	lel
12.33	top	nux; tiy; num
12.34	bottom	pat; patɨ
12.35	end	olaŋ; yuwolaŋ
12.352	pointed	pastɨ; tɨyaŋ
12.353	edge	tɨy; xonaŋ
12.36	side	pʸelak; puŋal
12.37	middle, center	kutlup
12.41	right (side)	yams pʸelɨk; yams pʸelka
12.42	left (side)	puwa pʸelɨk; puwa pʸelka
12.43	near (adv)	wana; wanan
12.44	far (adv)	xuwa; xuwn
12.45	east	xatl etti pʸelak
12.46	west	kew pʸelak; xatl omastɨ pʸelak
12.47	north	uwas
12.48	south	num muw; num olaŋ
12.53	grow	enumtɨ
12.54	measure	ar̃talatɨ; mʸer̃attɨ
12.541	span, fathom	- -
12.55	large, big	wən; wulaŋ
12.56	small, little	ay
12.57	long	xuw
12.58	tall	kar̃sʸ
12.59	short	wan
12.61	wide, broad	wutaŋ
12.62	narrow	wasʸ; yer̃mat
12.63	thick (in dimension)	kul
12.65	thin (in dimension)	wasʸ
12.67	deep	mal
12.68	shallow	pantaŋ
12.71	flat	lupsax
12.73	straight	tuŋ
12.74	crooked	yuwr̃a
12.75	hook	kur̃k
12.76	corner	suŋ
12.77	cross	pʸer̃na
12.78	square	nʸalsuŋup
12.81	round	yeŋta
12.82	circle	lak
12.83	sphere, ball	yeŋta xɨr̃
12.84	line	sʸur̃tmʸil
12.85	hole	wus
12.92	like, similar	sʸi xur̃asup
12.93	change	pʸelattɨ
13.0	zero, nothing	wonʸsʸal; nemultɨ
13.1	one	i ~ iy ~ it
13.2	two	kat ~ katn
13.3	three	xəlum
13.4	four	nʸal
13.5	five	wʸet
13.6	six	xət
13.7	seven	lapat
13.8	eight	nʸiwal
13.9	nine	yar̃tʸyaŋ
13.10	ten	yaŋ
13.101	eleven	iyxusʸyaŋ
13.102	twelve	katxusʸyaŋ
13.103	fifteen	wetxusʸyaŋ
13.104	twenty	xus
13.105	hundred	sot
13.106	thousand	sʸur̃as
13.107	count	nux luŋatti
13.14	every, all	kasʸiŋ; isat
13.15	much, many	ar̃
13.16	more	ar̃šik
13.17	little (quantity), few	šimal
13.18	enough	tar̃mal
13.181	some	mattɨ; təxut; šimal
13.19	multitude, crowd	ar̃at
13.21	full	teliye; teknak; tekanman
13.22	empty	tal
13.23	part, piece	pʸelak ~ šəp
13.24	half	pʸelak ~ šəp
13.33	alone, only	i ~ iy ~ it; atelt; təp
13.34	first	olaŋmʸit
13.35	last	yuxat
13.36	second	kʸimʸit
13.37	pair	- -
13.38	two times	katpuš
13.42	third	xəlmit
13.44	three times	xəlmpuš
14.11	time	mar̃; ar̃t; kem; pur̃a
14.12	age	nəpat
14.13	new	yilup
14.14	young	aylat
14.15	old	pir̃asʸ
14.16	early	sɨr̃ɨ
14.17	late	yəxat
14.18	now	in ~ intam; welʸsʸi
14.19	immediately	moxtɨ
14.21	swift, fast, quick	pastɨ ~ kar̃kam
14.22	slow	ayilta
14.23	hasten, hurry	ter̃malatɨ
14.24	retard, delay	an ter̃malatɨ
14.25	begin, beginning	olaŋ; olŋaltɨ
14.252	last, endure	muy wuš wəntɨ wəltɨ
14.26	end (temporal)	yuwolaŋ
14.27	finish	yetšuptatɨ; xultuptatɨ
14.28	cease, stop	nux wulɨtɨ
14.29	ready	yetšum
14.31	always	isa pur̃ayn; kašiŋ pur̃ayn; ipuša; isat
14.32	often	wankutlɨ
14.33	sometimes	təxal pur̃ayn
14.331	soon	sor̃a
14.332	long-time (for a)	xuw
14.34	never	nemult pur̃ayn
14.35	again	yilpa ~ pasʸi
14.41	day	xatl
14.42	night	at
14.43	dawn	xənʸlʸ
14.44	morning	alaŋ
14.45	noon, midday	xatl kutlup
14.451	afternoon	xatl kutlup yuwpʸi pur̃a
14.46	evening	yet
14.47	today	tamxatl
14.48	tomorrow	xalewat
14.481	day-after-tomorrow	paxatl
14.49	yesterday	mulxatl
14.491	day-before-yesterday	xəlmit xatl
14.51	hour	sʸos
14.53	clock, timepiece	sʸos
14.61	week	lapat
14.62	Sunday	r̃utʸsʸatɨ xatl
14.63	Monday	lapat olaŋ xatl
14.64	Tuesday	lapat kimit xatl
14.65	Wednesday	lapat xəlmit xatl
14.66	Thursday	lapat nʸalmit xatl
14.67	Friday	lapat wʸetmit xatl
14.68	Saturday	lapat xətmit xatl
14.71	month	tɨlasʸ
14.73	year	ol; tal
14.74	winter	tal
14.75	spring	towi
14.76	summer	luŋ
14.77	autumn	sus
14.78	season	- -
15.21	smell (vb intrans)	epattɨ
15.212	sniff	epsatɨ
15.22	smell (vb trans)	epsatɨ
15.25	fragrant, good smelling	yam əplaŋ
15.26	stinking, bad smelling	lɨyum
15.31	taste	lawʸematɨ
15.35	sweet	eplaŋ
15.36	salty	sulaŋ
15.37	bitter	wusʸr̃em; wusʸr̃emaŋ
15.38	acid, sour	wusʸlum; šumum
15.39	brackish	sulaŋšik
15.41	hear	xəltɨ
15.42	listen	xəlanttɨ
15.44	sound, noise	sɨy
15.45	loud	sɨyaŋ
15.46	quiet, silence	sɨylɨ
15.51	see	wanttɨ
15.52	look, look at	wanttɨ
15.55	show	alʸtɨ
15.56	shine	wulitɨ; sur̃ttɨ
15.57	bright	nuwi
15.61	color	elup
15.62	light (in color)	nuwi; etar̃
15.63	dark (in color)	pitɨxur̃aspʸi
15.64	white	nuwi; yeŋk
15.65	black	pitɨ
15.66	red	wur̃tɨ
15.67	blue	etar̃xar̃ɨ
15.68	green	wustɨ; nʸar̃ tur̃n
15.69	yellow	wusʸlum; xoym lɨpat
15.71	touch	ketmiyltɨ
15.712	pinch	- -
15.72	feel	malasʸlatɨ
15.74	hard	susum; tak
15.75	soft	lepat
15.76	rough	- -
15.77	smooth	paylɨ
15.78	sharp	pastɨ; tɨyn
15.79	blunt, dull	nʸaš; tɨylɨ
15.81	heavy	lawar̃t
15.82	light (in weight)	kʸen
15.83	wet, damp	yiŋkʸi
15.84	dry	sor̃m
15.85	hot	r̃uwaŋ; kawr̃um
15.851	warm	mʸelk; xošm
15.86	cold	isʸkʸi
15.87	clean	sɨstam
15.88	dirty, soiled	xəlaŋ
15.89	wrinkled	- -
16.11	soul, spirit	- -
16.15	surprised, astonished	- -
16.18	good fortune, luck	uy
16.19	misfortune, bad luck	šək
16.23	joyful, glad, happy	amtaŋ; kašiŋ
16.25	laugh	nʸaxtɨ
16.251	smile	nʸax mulaŋa yuwanttɨ
16.26	play	yunttɨ
16.27	love	mosman taytɨ
16.29	kiss	mosaltatɨ
16.3	embrace	apalttɨ; apalmatɨ
16.31	pain	kaši
16.32	grief, sorrow, sadness	šək
16.33	anxiety, worry	- -
16.34	regret, be sorry	šalittɨ
16.35	pity	šalʸ
16.37	cry, weep	xollatɨ
16.38	tear (noun)	sem yiŋk
16.39	groan	eŋaltɨ
16.41	hate	- -
16.42	anger	lɨk; kant; sam
16.44	envy, jealousy	- -
16.45	shame (noun)	yelem
16.48	proud	yur̃aŋ
16.51	dare	- -
16.52	brave	paltaplɨ
16.53	fear, fright	paltɨ wʸer̃
16.54	danger	paltap wʸer̃
16.62	desire, want	laŋxatɨ
16.622	choose	pir̃itɨ
16.63	hope	- -
16.65	faithful	wʸesʸkat; šopaŋ
16.66	true	wʸesʸkat; šop
16.67	lie, tell lies	r̃oxpʸiyltɨ
16.68	deceit	r̃oxpi
16.69	forgive	- -
16.71	good	yam
16.72	bad	atum
16.73	right, correct	tumtak; tuŋ; təs
16.74	wrong	r̃oxpi; yowr̃a
16.76	fault	wunawot
16.77	mistake, error	yuwr̃a wʸer̃
16.78	blame	lʸawtum
16.79	praise	išiktɨ wer̃
16.81	beautiful	wʸesʸiŋ
16.82	ugly	xur̃aslɨ
16.83	greedy	nʸelaŋ; sʸakar̃
16.84	clever	nəmsaŋ; ušaŋ
17.11	mind	nəmas; uš
17.13	think (= reflect)	nəmastɨ
17.14	think (= be of the opinion)	yama nəmastɨ
17.15	believe	ewaltɨ
17.16	understand	uša wʸer̃tɨ; uša wʸer̃iyltɨ
17.17	know	wətɨ; wəylttɨ
17.171	guess	nəmastɨ
17.172	imitate	isʸitɨ wʸer̃tɨ
17.18	seem	- -
17.19	idea, notion	nəmas; uš
17.21	wise	nəmsaŋ
17.22	foolish, stupid	utšam ~ ušlɨ
17.23	insane, crazy	utšam ~ ušlɨ
17.24	learn	wənltɨyltɨ
17.242	study	uša wʸer̃tɨ
17.25	teach	wənltatɨ
17.26	pupil	wənltɨyltɨ nʸawr̃em
17.27	teacher	nʸawr̃em wənltatɨ xoyat
17.28	school	nʸawr̃em wənltatɨ xot
17.31	remember	nəmtɨ
17.32	forget	yur̃ematɨ
17.34	clear, plain	- -
17.35	obscure	- -
17.36	secret	xanʸi
17.37	sure, certain	- -
17.38	explain	- -
17.41	intention, purpose	laŋxatɨ wʸer̃
17.42	cause	muysar̃ pʸisʸ pata
17.43	doubt	ant wətɨ wʸer̃
17.44	suspect	ant wətɨ
17.441	betray	yastatɨ; luptɨ; potar̃ttɨ
17.45	need, necessity	mostɨ wʸer̃
17.46	easy	ken
17.47	difficult	lawar̃t
17.48	try, attempt	wur̃atiyltɨ; ar̃talatɨ
17.49	way, manner	- -
17.51	and	pa
17.52	because	sʸi pata; sʸir̃n
17.53	if	ki
17.54	or	amuy
17.55	yes, affirmative	sʸitɨ sʸi
17.56	no, negative	anta; antum
17.61	how?	xutɨ; xutɨsa; muy wur̃n; muy sʸir̃n
17.62	how many?	muy ar̃at; muykʸem; kamn
17.63	how much?	muy ar̃at; muykʸem; kamn
17.64	what?	muy
17.65	when?	xun
17.66	where?	xota; xulta; xulʸsʸa
17.67	which?	muysar̃; kamnmit
17.68	who?	xoy
17.69	why?	muy pata ~ muya
18.11	voice	tur̃sɨy
18.12	sing	ar̃ɨtɨ
18.13	shout, cry out	uwtɨ; xʸiyitɨ
18.15	whisper	wušitɨ
18.16	mumble	lomʸitɨ
18.17	whistle	šəxumtɨ
18.18	shriek, screech	uwatti; uwti
18.19	howl	or̃ʸiyltɨ
18.21	speak, talk	potar̃ttɨ
18.211	stutter, stammer	- -
18.22	say	luptɨ
18.221	tell story	- -
18.222	speech (make a)	yasaŋ taytɨ
18.23	silent (be)	xusta wəltɨ
18.24	language	yasaŋ
18.26	word	yasaŋ
18.28	name	nem
18.31	ask (question, inquire)	inʸsʸastɨ
18.32	answer	yuxlɨ luptɨ
18.33	admit, confess	- -
18.34	deny	- -
18.35	ask, request	taka inʸsʸastɨ
18.36	promise	yastatɨ
18.37	refuse	at laŋxatɨ
18.38	forbid	lap yer̃tti; lap yer̃tɨyltɨ
18.39	rebuke, scold	- -
18.41	call (=summon)	woxtɨ
18.42	call (=name)	nemasatɨ; nemiyltɨ
18.43	announce	yoxa luptɨ
18.44	threaten	- -
18.45	boast	iškasʸtɨ; or̃kasʸtɨ
18.51	write	xanštɨ
18.52	read	luŋatti
18.56	paper	nepʸek
18.57	pen	xanštɨ yux
18.61	book	nepʸek
18.67	poet	- -
18.71	flute	- -
18.72	drum	- -
18.73	horn, trumpet	- -
18.74	rattle	ay ləŋxanʸsʸup
19.11	country	muw
19.12	one's native country	r̃ət muw; šəšɨ muw
19.15	city, town	woš
19.16	village	kər̃t
19.17	boundary	- -
19.21	people (populace)	yox; mʸir̃
19.23	tribe, clan	r̃ət
19.24	chief, chieftain	kəsʸa
19.25	staff, walking stick	suwyux
19.31	rule, govern	kəsʸaylɨtɨ
19.32	king, ruler	- -
19.33	queen	- -
19.36	noble, nobleman	- -
19.37	citizen, subject	- -
19.41	master	kəsʸa
19.42	slave	- -
19.43	servant	mʸitxə
19.44	freeman	osa
19.45	command, order	par̃ttɨ
19.46	obey	lušittɨ
19.47	let, permit	esltɨ
19.51	friend, companion	ləxas
19.52	enemy	wur̃ak
19.54	neighbor	lepn wəltɨ xoyat
19.55	stranger	paxoyat
19.56	guest	moyŋ xoyat
19.57	host	kəsʸa
19.58	help, aid	nʸottɨ
19.59	hinder, prevent	tur̃as wʸer̃tɨ
19.61	custom	pisʸ; pisʸit
19.62	strife, quarrel	wur̃asʸtɨ wʸer̃; lʸawattɨ wʸer̃
19.63	conspiracy, plot	wur̃ak wʸer̃
19.65	meet	yesʸalt wəyttɨ
19.72	prostitute	posar̃
20.11	fight (vb)	nʸul wʸeltɨ
20.13	war, battle	lalʸ
20.14	peace	lalʸlɨ wəlupsɨ
20.15	army	- -
20.17	soldier	- -
20.21	weapons, arms	puškan
20.22	club	- -
20.222	battle-ax	- -
20.23	sling	- -
20.24	bow	yəxal
20.25	arrow	nʸul
20.26	spear	- -
20.27	sword	altɨ kʸeši
20.28	gun, cannon	puškan
20.31	armor (defensive)	- -
20.33	helmet	- -
20.34	shield	- -
20.35	fortress	- -
20.36	tower	- -
20.41	victory	nux pʸittɨ wʸer̃
20.42	defeat	- -
20.43	attack	lalʸ
20.44	defend	lalistɨ
20.45	retreat	yuxlɨ pʸela manɨyltɨ
20.46	surrender	matɨ
20.47	captive, prisoner	- -
20.471	guard, sentinel	- -
20.48	booty, spoils	wʸelpas
20.49	ambush	xanʸemuman omastɨ
20.51	fisherman	xul wʸelpaslatɨ xoyat
20.52	fishhook	nʸaš
20.53	fishing line	nʸaš kʸel
20.54	fishnet	xolap
20.55	fish trap	mʸerʸoša
20.56	bait	- -
20.61	hunt	wʸelpaslatɨ
20.62	shoot	puškan esltɨ
20.63	miss (target)	moxtɨ esltɨ
20.64	trap (noun)	sesɨ; kar̃tsesɨ
20.65	trap (vb)	katltɨ; kar̃tsesiyn wʸeltɨ
21.11	law	sakkon
21.15	court	sut
21.16	judge (vb)	sutʸittɨ
21.17	judgment	- -
21.18	judge (noun)	sut xoyat
21.21	plaintiff	- -
21.22	defendant	- -
21.23	witness	- -
21.24	swear	- -
21.25	oath	yastopsa
21.31	accuse	wunawota luptɨ
21.32	condemn	wunawota luptɨ
21.33	convict (vb)	wunawota luptɨ
21.34	acquit	tuŋa luŋattɨ
21.35	guilty	wunawot
21.36	innocent	wunawot taklɨ
21.37	penalty, punishment	- -
21.38	fine	aštr̃ap
21.39	prison, jail	tʸur̃ʸma xot
21.42	murder	wʸeltɨ wʸer̃
21.43	adultery	posar̃
21.44	rape	- -
21.46	arson	wusʸittɨ wʸer̃; tuta lapattɨ wʸer̃
21.47	perjury	- -
21.51	steal	lolumtɨ
21.52	thief	lolmax
22.11	religion	tər̃um wʸer̃
22.12	God	tər̃um
22.13	temple, church	yemaŋ xot; tər̃um xot
22.14	altar	yemaŋ taxʸi
22.15	sacrifice, offering	yir̃
22.16	worship	ux puntɨ
22.17	pray	poyiksʸatɨ
22.18	priest	pup
22.19	holy, sacred	yemaŋ
22.22	preach	wənltatɨ
22.23	bless	yama luptɨ
22.24	curse	tekattɨ
22.26	fast (vb)	- -
22.31	heaven	tər̃umxar̃
22.32	hell	- -
22.35	demon (evil spirit)	kulʸ
22.37	idol	ləŋx
22.42	magic, witchcraft, sorcery	sʸar̃tut
22.43	sorcerer, witch	sʸar̃tne
22.44	fairy, elf	- -
22.45	ghost, phantom	yisxur̃
22.47	omen, portent	- -
