entry_id	trans_english	Wapishana_Phonemic
10.56	approach	maunapʰatʰa-n
10.57	enter	murutʰa-n
10.61	carry (bear)	naʔakʰa-n
10.612	carry-in-hand	kaʔɨtʰa-n
10.613	carry-on-shoulder	tʰawadaitʰa-n; waudatʰa-n
10.614	carry-on-head	ẓuwaɨ-pʰawaitʰa-n
10.615	carry-underarm	kʰišapʰutʰapʰa-n
10.62	bring	naʔakʰa-n; kʰaawa-kʰida-n
10.63	send	dyɨɨda-n
10.64	lead (vb)	kʰaẓuwaɨtʰapa-n
10.65	drive	waatʰa-n
10.66	ride	ẓaida-n
10.67	push, shove	kʰidɨʔɨkʰa-n
10.71	road	dɨnapʰu
10.72	path	dɨnapʰu-saˀba
10.74	bridge	pʰuẓai
10.75	carriage, wagon, cart	tʰarara
10.76	wheel	-tʰararan-naa
10.77	axle	
10.78	yoke	kʰanaɨtʰan-naa
10.81	ship	
10.83	boat	kʰanawa
10.831	canoe	kʰanawa
10.832	outrigger	
10.84	raft	
10.85	oar	pʰuura
10.851	paddle (noun)	pʰuura
10.852	row (vb)	pʰuuratʰ-ĩĩa-n
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	maratʰa-n
11.11	have	kʰainaʔa
11.12	own, possess	
11.13	take	ẓaamatʰa-n
11.14	seize, grasp	kʰaẓatʰa-n
11.15	hold	ẓaamatʰa-n
11.16	get, obtain	ẓaamatʰa-n
11.17	keep, retain	tʰaapʰa-n
11.18	thing	aimaakʰan
11.21	give	taa-n
11.22	give back	kʰiwa-kʰida-n
11.24	preserve, look after	tʰaapʰa-n
11.25	save, rescue	kʰaẓannaatʰa-n
11.27	destroy	mainaˀbatʰa-n
11.28	harm, injure, damage	kʰaẓiwa-n
11.31	seek, look for	dauwatʰa-n
11.32	find	ikʰuda-n
11.33	lose	waẓiuda-n
11.34	release, let go	mɨɨda-n
11.43	money	pʰɨraatʰa
11.44	coin	[širin]
11.51	rich	kʰa-pʰɨraatʰanɨ-ʔu
11.52	poor	ma-pʰɨraatʰanɨ-ʔu
11.53	beggar	pʰišaiʔi
11.54	avaricious, stingy	mišaʔurarɨ
11.61	lend	tʰaa-n ẓii
11.62	borrow	pʰiša-n ẓii
11.63	owe	ma-winipʰinaatʰa-pʰa-n
11.64	debt	[adawančʰi]
11.65	pay (vb)	kʰa-winipʰinaatʰa-n
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	-winipʰinaa
11.79	earn	
11.81	buy	tʰuria-n
11.82	sell	[sellia-n]
11.83	trade, barter	šakʰatʰa-kʰid-aakʰa-n
11.84	merchant	
11.85	market (place)	
11.86	store, shop	[ištʰuru]
11.87	price	-winipʰinaa
11.88	dear (costly, expensive)	kʰa-winipʰinaa
11.89	cheap	ma-winipʰinaa
11.91	share (distribute)	tʰaa-ˀbiʔia-n
11.92	weigh	aitʰa-n
12.1	after	-dauwa atʰi
12.11	behind	-ˀbaraɨ itʰinapʰɨ
12.2	beside	-daawaẓi
12.3	down, below	-waranɨ ii
12.4	before	-ɨa ii
12.41	front	kʰanapʰɨ ii
12.5	inside, in	naẓu ii
12.6	outside	pʰaniˀba ii
12.7	under	waranɨ ii
12.8	up, above	dukʰu ii
12.11	place	mɨɨda-n
12.12	put	mɨɨda-n
12.13	sit	sakʰantʰa-n
12.14	lie down	wašatʰ-ĩĩa-n
12.15	stand	kʰadišitʰa-n
12.16	remain, stay	naʔia-n
12.17	remains, left overs	waʔakʰɨ-n
12.21	collect, gather	ẓuwaida-n
12.212	pick up	ẓuwaiia-n
12.213	pile up	kʰasaˀbaʔɨa-n
12.22	join, unite	tʰutʰukʰada-n
12.23	separate	ˀbɨɨtʰa-n
12.232	divide	ˀbɨɨtʰa-n
12.24	open	daʔatʰa-n
12.25	shut, close	tʰaratʰa-n
12.26	cover	tʰaratʰa-n
12.27	hide, conceal	diẓa-n
12.31	high	dukʰu-ʔu
12.32	low	apʰuwa-ʔa
12.33	top	-pʰaawaẓ
12.34	bottom	-dikʰapʰu
12.35	end	-tʰukʰun
12.352	pointed	kʰadakʰusaˀba-ʔu
12.353	edge	-danum
12.36	side	-daawaẓ
12.37	middle, center	-ẓikʰun
12.41	right (side)	diwaʔura
12.42	left (side)	ašaˀbaru
12.43	near (adv)	maunapʰa
12.44	far (adv)	mɨnapʰu
12.45	east	waukʰu itʰanapʰ
12.46	west	wakʰadapʰɨ itʰanapʰ
12.47	north	wadaˀbaʔikʰi
12.48	south	wadaˀbaʔikʰi
12.53	grow	dyaɨpʰai-n; suda-n
12.54	measure	aitʰa-n
12.541	span, fathom	
12.55	large, big	ɨdarɨ; tɨbarɨ
12.56	small, little	kʰaikʰapʰasudi-ʔu
12.57	long	dawɨɨ
12.58	tall	dukʰu-ʔu
12.59	short	madiwaɨ
12.61	wide, broad	kʰaẓuu
12.62	narrow	maẓuu
12.63	thick (in dimension)	midi
12.65	thin (in dimension)	madɨdɨkʰa
12.67	deep	kʰaanaa
12.68	shallow	maanaa
12.71	flat	madaẓ
12.73	straight	sakʰitʰapʰa
12.74	crooked	kʰuraɨdapʰ
12.75	hook	
12.76	corner	išakʰari
12.77	cross	tʰaramitʰapʰa-ʔu
12.78	square	kʰatʰaidaʔɨ-ʔu
12.81	round	kʰadaẓadaʔɨ-ʔu
12.82	circle	kʰadaẓadaʔɨ-ʔu
12.83	sphere, ball	kʰadaẓadaʔɨ-ʔu
12.84	line	tʰaẓaɨkʰĩĩpʰa-ʔu
12.85	hole	kʰaʔɨnarɨ
12.92	like, similar	naʔapʰa kʰida-ʔu
12.93	change	pʰanaada-n
13.0	zero, nothing	aunaiman
13.1	one	ˀbaɨdaʔapʰa
13.2	two	dyaʔɨtʰam
13.3	three	idikʰinaɨdaʔɨ
13.4	four	pʰaminaʔɨtʰamkʰiʔi
13.5	five	ˀbakʰaʔiaɨdaʔɨ
13.6	six	ˀbaɨdaʔapʰa ˀbakʰaɨnɨ itʰi
13.7	seven	dyaʔɨtʰam ˀbakʰaɨnɨ itʰi
13.8	eight	idikʰinaɨdaʔɨ ˀbakʰaɨnɨ itʰi
13.9	nine	pʰaminaʔɨtʰamkʰiʔi ˀbakʰaɨnɨ itʰi
13.10	ten	ˀbaukʰukʰaʔɨ
13.101	eleven	ˀbaɨdaʔapʰa wakʰidiˀba itʰi
13.102	twelve	dyaʔɨtʰam wakʰidiˀba itʰi
13.103	fifteen	daraa wakʰidiˀba itʰi
13.104	twenty	ˀbanɨpʰapʰa pʰidan
13.105	hundred	ˀbakʰaʔiaɨdaʔɨ pʰidan naanaa
13.106	thousand	
13.107	count	aitʰan
13.14	every, all	ipʰai
13.15	much, many	iriˀba
13.16	more	pʰuwaʔa
13.17	little (quantity), few	maskʰaɨdaʔɨ
13.18	enough	atʰa
13.181	some	pʰaˀbiʔikʰida
13.19	multitude, crowd	pʰidan-nau kʰasaˀbaʔɨkʰ-ĩĩ-pʰa-n
13.21	full	pʰaida
13.22	empty	mawaẓuu
13.23	part, piece	-din; -ɨnɨˀba
13.24	half	ˀbadaʔii; pʰa-ẓikʰun an
13.33	alone, only	pʰaˀbaʔuran; suu
13.34	first	kʰiwin
13.35	last	dauwɨʔitʰin
13.36	second	kʰiwini-ʔu dauwɨʔatʰi
13.37	pair	dyaʔɨtʰam
13.38	two times	itʰamaɨ
13.42	third	
13.44	three times	idikʰinaɨ
14.11	time	amaẓada
14.12	age	-wɨnɨ-n
14.13	new	pʰaʔina-ʔu
14.14	young	pʰaʔina-ʔu
14.15	old	ẓaam
14.16	early	čʰapʰiʔikʰi
14.17	late	wačʰɨɨpʰɨnin
14.18	now	kʰai
14.19	immediately	kʰadiman akʰa; kʰai akʰa
14.21	swift, fast, quick	kʰadimana-ʔu
14.22	slow	kʰunaʔii
14.23	hasten, hurry	kʰadiman
14.24	retard, delay	kʰunaʔiaɨdaʔɨ
14.25	begin, beginning	sakʰadin; sakʰadin-kʰiẓai
14.252	last, endure	dawɨɨ ɨnaʔakʰa-n
14.26	end (temporal)	šaˀbatʰaẓa-n
14.27	finish	ipʰaia-n
14.28	cease, stop	mašaada-n
14.29	ready	tʰɨrɨɨ
14.31	always	kʰarikʰaunan
14.32	often	mapʰɨdɨ
14.33	sometimes	pʰanaa dunu
14.331	soon	kʰadiman
14.332	long-time (for a)	kʰutʰɨaʔanaa
14.34	never	aunii naʔapʰainim
14.35	again	kʰušan
14.41	day	wakʰandan; kʰanda-ʔu
14.42	night	wamarɨtʰan; marɨtʰa-ʔu
14.43	dawn	wakʰandanaanin
14.44	morning	čʰapʰiʔikʰi
14.45	noon, midday	sakʰitʰapʰa kʰamuu
14.451	afternoon	wačʰɨɨpʰɨnin
14.46	evening	waʔišaukʰan
14.47	today	aiẓii
14.48	tomorrow	waikʰanaʔan
14.481	day-after-tomorrow	ˀbanɨapʰa
14.49	yesterday	mɨnɨmɨn
14.491	day-before-yesterday	kʰutʰɨʔikʰiʔi
14.51	hour	
14.53	clock, timepiece	
14.61	week	[suundii]
14.62	Sunday	[suundii]
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	kʰaɨẓɨ
14.73	year	wɨnɨ
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	waraukʰan; wawɨnɨ dunun
15.21	smell (vb intrans)	
15.212	sniff	niẓiˀbada-n
15.22	smell (vb trans)	dama-n
15.25	fragrant, good smelling	kʰadɨɨ-n
15.26	stinking, bad smelling	dyɨpɨša
15.31	taste	tʰiwa-n
15.35	sweet	ˀbišuwa-ʔu
15.36	salty	kʰɨẓɨˀba-ʔu
15.37	bitter	kʰiˀbia-ʔu
15.38	acid, sour	kʰatʰama-ʔu
15.39	brackish	kʰɨẓɨˀba-ẓa-ʔu
15.41	hear	aˀbatʰa-n
15.42	listen	aˀbatʰapʰa-n
15.44	sound, noise	-aran
15.45	loud	diwa-ʔu
15.46	quiet, silence	maša-ʔu
15.51	see	tʰɨkʰapʰa-n
15.52	look, look at	awɨnɨɨpʰa-n; awɨnɨɨtʰapʰa-n
15.55	show	aida-n
15.56	shine	kʰanadapʰa-n
15.57	bright	kʰanada-ʔu
15.61	color	ɨtʰan
15.62	light (in color)	išaẓaˀba-ẓa-ʔu
15.63	dark (in color)	pudidi-ʔu ɨtʰan
15.64	white	ˀbarakʰa-ʔu
15.65	black	pʰudidi-ʔu
15.66	red	wɨẓa-ʔu
15.67	blue	kʰuʔuri-ʔu
15.68	green	kʰuʔuri-ʔu
15.69	yellow	kʰidai-ʔu
15.71	touch	pʰišatʰa-n
15.712	pinch	sɨkʰɨẓuda-n
15.72	feel	pʰišatʰa-n; aˀbatʰa-n
15.74	hard	dadara
15.75	soft	šumada-ʔu
15.76	rough	kʰaduraiẓaˀba-ʔu
15.77	smooth	miduda-ʔu
15.78	sharp	dimana-ʔu
15.79	blunt, dull	manɨna-ʔu
15.81	heavy	kʰimiša-ʔu
15.82	light (in weight)	mamiša-ʔu
15.83	wet, damp	ẓaˀbi-ʔu
15.84	dry	arada-ʔu
15.85	hot	wičʰa-ʔu
15.851	warm	wičʰa-ẓa-ʔu
15.86	cold	wadidi-ʔu
15.87	clean	maniriˀba-ʔu
15.88	dirty, soiled	kʰaniriˀba-ʔu
15.89	wrinkled	kʰaruru-ʔu
16.11	soul, spirit	durunai
16.15	surprised, astonished	pʰadaidaʔantʰa-n
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	kʰunaɨkʰii
16.25	laugh	šaẓuutʰa-n
16.251	smile	šaẓuutʰapʰa-n
16.26	play	makʰinautʰina-n
16.27	love	naɨdapʰa-n
16.29	kiss	suuẓukʰa-n
16.3	embrace	inutʰa-n
16.31	pain	kʰaẓiwa-ʔu
16.32	grief, sorrow, sadness	kʰašaʔura-ʔu
16.33	anxiety, worry	dupʰia-n
16.34	regret, be sorry	kʰašaʔura-n
16.35	pity	kʰamɨna-n
16.37	cry, weep	ẓaada-n
16.38	tear (noun)	-awɨn ɨɨ
16.39	groan	dupʰia-n
16.41	hate	tʰuʔura-kʰiẓaitʰapʰa-n
16.42	anger	tʰuʔura-n
16.44	envy, jealousy	kʰašaɨẓɨ-n
16.45	shame (noun)	kʰa-kʰiˀbaʔaẓunau-ʔu
16.48	proud	atʰadĩĩpʰa-ʔu
16.51	dare	
16.52	brave	maˀbuẓakʰa ɨ-nyɨkɨnɨɨ
16.53	fear, fright	kʰičʰanaʔikʰi
16.54	danger	kʰičʰanaʔikʰia-ʔu
16.62	desire, want	aipʰa-n
16.622	choose	wida-n
16.63	hope	ẓaɨda-kʰida-n
16.65	faithful	
16.66	true	miši-ʔu
16.67	lie, tell lies	mariidĩĩa-n
16.68	deceit	
16.69	forgive	marinaʔatʰa-n
16.71	good	kʰaiman
16.72	bad	idikʰaɨda
16.73	right, correct	mišiʔu; naʔapʰa
16.74	wrong	aunaa ɨ-naʔapʰa-n
16.76	fault	aipʰanaʔatʰi-ʔu
16.77	mistake, error	pʰuẓautʰa-n
16.78	blame	ẓaɨda-n
16.79	praise	kʰunaɨkʰia-n
16.81	beautiful	kʰunaɨnama-ʔu
16.82	ugly	ma-kʰunaɨnama-kʰa-ʔu
16.83	greedy	mišaʔurarɨ
16.84	clever	aitʰapʰa-ʔu
17.11	mind	diʔitʰ-ĩĩ-apʰa kʰinai
17.13	think (= reflect)	diʔitʰapʰa-n
17.14	think (= be of the opinion)	itʰiima-n
17.15	believe	mišida-n
17.16	understand	aitʰapʰa-n
17.17	know	aitʰapʰa-n
17.171	guess	tʰiwaa-kʰidapʰa-n
17.172	imitate	tʰamakʰapʰa-n
17.18	seem	tʰukʰapʰa-n
17.19	idea, notion	diʔitʰĩĩapʰa-kʰarɨ
17.21	wise	aitʰapʰaa-ˀba-ʔu
17.22	foolish, stupid	yakʰara
17.23	insane, crazy	ma-durunaa
17.24	learn	tʰumĩĩpʰa-n
17.242	study	tʰumĩĩpʰa-n
17.25	teach	tʰumĩĩapʰa-kʰida-n
17.26	pupil	tʰumĩĩapʰa-kʰida kʰariwai
17.27	teacher	[tʰiičʰaa]
17.28	school	
17.31	remember	nyɨkʰɨnɨɨpʰa-n
17.32	forget	ma-nyɨkʰɨnɨɨtʰa-n
17.34	clear, plain	kʰainaaˀba-ʔu
17.35	obscure	
17.36	secret	diẓĩĩpʰa-ʔu
17.37	sure, certain	miši-ʔu
17.38	explain	kʰuwaada-n kʰaiman-aiman
17.41	intention, purpose	
17.42	cause	ɨrɨɨ idi-ʔu
17.43	doubt	ma-mišida-kʰa-n
17.44	suspect	ẓaɨda-n
17.441	betray	kʰaakʰapʰa-n
17.45	need, necessity	aiapʰa kʰariwai
17.46	easy	ma-šaʔapʰan-naa
17.47	difficult	ka-šaʔapʰan-naa
17.48	try, attempt	tʰiwaina-n
17.49	way, manner	-kʰadɨẓa
17.51	and	naʔikʰi
17.52	because	ɨšaʔapʰanɨm kʰaɨʔan
17.53	if	ana; maẓan
17.54	or	[uu]
17.55	yes, affirmative	uu
17.56	no, negative	aunaa
17.61	how?	naʔapʰa dii
17.62	how many?	naʔapʰaɨdaʔɨ-m
17.63	how much?	naʔapʰaɨdaʔɨ-m
17.64	what?	kʰanu-m dii; naʔapʰam
17.65	when?	naʔapʰaini-m
17.66	where?	naʔia-m dii
17.67	which?	naʔiaʔura-m
17.68	who?	kʰan-dii; kʰanu-m
17.69	why?	kʰanu-m nii; kʰandii niʔu
18.11	voice	-pʰarada-n
18.12	sing	kʰɨnɨia-n
18.13	shout, cry out	kʰadakʰu-n
18.15	whisper	pʰara-pʰara-n
18.16	mumble	pʰara-pʰara-ĩĩa-n
18.17	whistle	wičʰaupʰa-n
18.18	shriek, screech	
18.19	howl	ẓaada-n
18.21	speak, talk	pʰarada-n
18.211	stutter, stammer	dɨkʰɨɨaɨẓama-ʔu ɨ-pʰarada-n
18.22	say	kʰia-n
18.221	tell story	kʰuwaada-n kʰɨwai
18.222	speech (make a)	pʰarada-n
18.23	silent (be)	mašaa
18.24	language	pʰarada-kʰarɨ
18.26	word	pʰarada-kʰarɨ
18.28	name	ɨɨ
18.31	ask (question, inquire)	pʰiša-n
18.32	answer	dakʰuʔatʰi-n
18.33	admit, confess	kʰuwaada-n
18.34	deny	
18.35	ask, request	pʰiša-n
18.36	promise	ɨ-tʰaa-n pʰa-pʰarada-n
18.37	refuse	
18.38	forbid	ma-tʰaapʰada-kʰa-n
18.39	rebuke, scold	dakʰuwaɨtʰapʰa-n
18.41	call (=summon)	dapʰada-n
18.42	call (=name)	dakʰutʰa-n
18.43	announce	kʰuwaadapʰa-n
18.44	threaten	maimandakʰuwaɨa-n
18.45	boast	atʰadĩĩpʰa-n
18.51	write	saada-n
18.52	read	aitʰa-n
18.56	paper	kʰaritʰa
18.57	pen	saa-riˀbai
18.61	book	kʰaritʰa
18.67	poet	
18.71	flute	kʰuwɨda
18.72	drum	
18.73	horn, trumpet	
18.74	rattle	šikʰi-šikʰi
19.11	country	wiiẓai
19.12	one's native country	-wiiẓi
19.15	city, town	dunui
19.16	village	wiiẓai
19.17	boundary	kʰaina-riˀba-naa
19.21	people (populace)	kʰa-wiiẓii-nau
19.23	tribe, clan	
19.24	chief, chieftain	[tʰušau]
19.25	staff, walking stick	waduukʰuri
19.31	rule, govern	kʰa-ẓuwaɨtʰapʰa-n
19.32	king, ruler	nauˀbanai
19.33	queen	nauˀbanai-aˀba
19.36	noble, nobleman	
19.37	citizen, subject	kʰa-wiiẓi-ʔu
19.41	master	nauˀbanai
19.42	slave	pʰuitʰurii
19.43	servant	pʰuitʰurii
19.44	freeman	
19.45	command, order	dyɨɨda-n
19.46	obey	iẓuʔatʰi-n
19.47	let, permit	kʰašaapʰa-n
19.51	friend, companion	pʰaunarɨ; -minaɨdaʔu
19.52	enemy	-tʰarɨˀba
19.54	neighbor	-iriˀban; -daẓaˀbaẓi
19.55	stranger	tʰawarai
19.56	guest	muruwaɨtʰapʰa-ʔu
19.57	host	
19.58	help, aid	kʰamĩĩkʰaʔɨtʰa-n
19.59	hinder, prevent	awaɨtʰapʰa-n
19.61	custom	-kʰadɨẓ
19.62	strife, quarrel	tʰuʔuratʰa-akʰa-kʰarɨ
19.63	conspiracy, plot	
19.65	meet	ikʰudapʰa-n
19.72	prostitute	mĩĩšiʔii-aˀba
20.11	fight (vb)	miẓaatʰa-akʰa-n
20.13	war, battle	ˀbaʔiaa-kʰarɨ
20.14	peace	mašaapʰa-kʰarɨ kʰaiman
20.15	army	[suldyaa]-nau
20.17	soldier	[suldyaa]
20.21	weapons, arms	ˀbaʔiaa-kʰinai
20.22	club	čʰipʰirari
20.222	battle-ax	
20.23	sling	wɨɨwɨɨapʰa-kʰariwai [širĩĩga]
20.24	bow	sumara
20.25	arrow	ˀbairii
20.26	spear	čʰipʰirari
20.27	sword	čʰipʰirari
20.28	gun, cannon	mukʰau
20.31	armor (defensive)	awaɨtʰ-ĩĩ-apʰa kʰinai
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	ˀbaʔiẓia-n
20.42	defeat	ˀbaʔiẓia-n
20.43	attack	ẓuwia-akʰa-n
20.44	defend	kʰaẓannaatʰa-n
20.45	retreat	pʰadanatʰa-n
20.46	surrender	kʰakʰĩĩpʰa-n; kʰašaapʰĩĩa-n
20.47	captive, prisoner	tʰaraĩĩpʰa-ʔu
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	manandapʰa-n
20.51	fisherman	kʰupʰaɨtʰapʰ-aɨẓu
20.52	fishhook	kʰuˀbauwɨ
20.53	fishing line	kʰuˀbauwɨ ẓɨnaa
20.54	fishnet	sairu
20.55	fish trap	darukʰu
20.56	bait	maˀbai
20.61	hunt	tʰiwaapʰa-n; waatʰapʰa-n
20.62	shoot	ˀbaʔia-n
20.63	miss (target)	kʰašɨkʰaʔɨtʰa-n
20.64	trap (noun)	kʰuẓii; ˀbasakʰarɨ
20.65	trap (vb)	ẓaamatʰa-n
21.11	law	kʰakʰinau-riˀbai
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	tʰaraa-kʰiẓai
21.42	murder	ẓuwia-n
21.43	adultery	maẓidai-nau kʰa-mĩĩšiʔitʰĩĩa-n
21.44	rape	miẓaapʰa-n
21.46	arson	
21.47	perjury	
21.51	steal	kʰuʔidapʰa-n
21.52	thief	kʰuʔidimikʰi
22.11	religion	[-čʰuučʰi-n]
22.12	God	tʰumĩĩkʰarɨ
22.13	temple, church	[čʰuučʰi]
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	[čʰuučʰi]pʰa-n
22.17	pray	tʰurĩĩpʰa-n
22.18	priest	[faadaa]
22.19	holy, sacred	kʰaimana-ʔu
22.22	preach	kʰuwaadapʰa-n pʰarada-kʰarɨ
22.23	bless	[blesia]-n
22.24	curse	dakʰuwaɨtʰapʰa-n
22.26	fast (vb)	sanadĩĩpʰa-n
22.31	heaven	aukʰaẓi
22.32	hell	[limˀbu]
22.35	demon (evil spirit)	uia-ʔu durunai
22.37	idol	
22.42	magic, witchcraft, sorcery	marɨnau-wɨĩĩpʰa-n
22.43	sorcerer, witch	marɨnau
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	iẓaʔidiipʰa-n
