entry_id	trans_english	Hausa_Phonemic
14.11	time	lokaci; loto
14.12	age	shekara
14.13	new	sabo
14.14	young	kˀarami
14.15	old	tsoho
14.16	early	da wuri
14.17	late	makara; latti
14.18	now	yanzu
14.19	immediately	nan take; yanzu-yanzu
14.21	swift, fast, quick	sauri
14.22	slow	maras sauri
14.23	hasten, hurry	yi sauri; gaggauta; hanzarta
14.24	retard, delay	makarar; tauye
14.25	begin, beginning	fara; soma; farko
14.252	last, endure	ɗore
14.26	end (temporal)	kˀarshe
14.27	finish	gama
14.28	cease, stop	tsaya; dakata
14.29	ready	shirye; shirya
14.31	always	koyaushe; kullum; daɗai
14.32	often	sau da yawa
14.33	sometimes	wasu lokatai
14.331	soon	an jima; da wuri; jim kaɗan
14.332	long-time (for a)	tsawon lokaci
14.34	never	taɓa
14.35	again	kuma
14.41	day	rana
14.42	night	dare
14.43	dawn	assalatu; wayewar gari; asuba
14.44	morning	safiya
14.45	noon, midday	tsakar rana
14.451	afternoon	rana; yamma
14.46	evening	maraice; yamma
14.47	today	yau
14.48	tomorrow	gobe
14.481	day-after-tomorrow	jibi
14.49	yesterday	jiya
14.491	day-before-yesterday	shekaranjiya
14.51	hour	saʔa; awa
14.53	clock, timepiece	agogo
14.61	week	mako; sati
14.62	Sunday	Lahadi
14.63	Monday	Litinin
14.64	Tuesday	Talata
14.65	Wednesday	Laraba
14.66	Thursday	Alhamis
14.67	Friday	Jumaʔa; Jummaʔa
14.68	Saturday	Asabar; Sati
14.71	month	wata
14.73	year	shekara
14.74	winter	--
14.75	spring	--
14.76	summer	--
14.77	autumn	--
14.78	season	lokacin shekara
15.21	smell (vb intrans)	yi kˀanshi; yi wari
15.212	sniff	sansana; shinshina
15.22	smell (vb trans)	sansana; shinshina
15.25	fragrant, good smelling	kˀanshi
15.26	stinking, bad smelling	wari; ɗoyi
15.31	taste	ɗanɗana
15.35	sweet	zakʔi
15.36	salty	mai gishiri
15.37	bitter	ɗaci
15.38	acid, sour	tsami; mai yami
15.39	brackish	zartsi
15.41	hear	ji
15.42	listen	saurara; sauraro; saurare
15.44	sound, noise	amo; kˀara
15.45	loud	kˀarfi
15.46	quiet, silence	shiru
15.51	see	gani
15.52	look, look at	duba; diba
15.55	show	nuna; gwada
15.56	shine	yi haske; yi kˀyalli
15.57	bright	haske
15.61	color	launi
15.62	light (in color)	haske
15.63	dark (in color)	duhu; bakˀi-bakˀi
15.64	white	fari
15.65	black	bakˀi
15.66	red	ja
15.67	blue	shuɗi
15.68	green	kore
15.69	yellow	rawaya; ruwan ɗorawa
15.71	touch	taɓa; taɓawa
15.712	pinch	muntsuna; muntsine
15.72	feel	ji; taɓa; gani
15.74	hard	tauri
15.75	soft	laushi; taushi
15.76	rough	kaushi
15.77	smooth	sumul; santsi; laushi
15.78	sharp	kaifi
15.79	blunt, dull	dasashe
15.81	heavy	nauyi
15.82	light (in weight)	maras nauyi
15.83	wet, damp	jikˀakˀkˀe
15.84	dry	busasshe
15.85	hot	zafi
15.851	warm	ɗumi
15.86	cold	sanyi
15.87	clean	tsabtatacce; shararre
15.88	dirty, soiled	dauɗa; datti
15.89	wrinkled	yamutsattse
16.11	soul, spirit	ruhu; ruhi
16.15	surprised, astonished	mamaki
16.18	good fortune, luck	saʔa
16.19	misfortune, bad luck	rashin saʔa
16.23	joyful, glad, happy	farin ciki
16.25	laugh	dariya
16.251	smile	yi murmushi
16.26	play	yi wasa
16.27	love	so; kˀaunata
16.29	kiss	sumbata
16.3	embrace	runguma
16.31	pain	ciwo
16.32	grief, sorrow, sadness	bakˀin ciki
16.33	anxiety, worry	juyayi; damuwa
16.34	regret, be sorry	yi bakˀin ciki; yi nadama
16.35	pity	tausayi
16.37	cry, weep	yi kuka
16.38	tear (noun)	hawaye
16.39	groan	gunaguni
16.41	hate	tsana
16.42	anger	fushi; hasala
16.44	envy, jealousy	kishi; kˀyashi
16.45	shame (noun)	kunya
16.48	proud	mai girman kai; alfahari
16.51	dare	kˀalubalanta
16.52	brave	jarumi; namiji
16.53	fear, fright	tsoro
16.54	danger	haɗari; hatsari
16.62	desire, want	so; yi shaʔawa
16.622	choose	zaɓa
16.63	hope	fata; sa rai
16.65	faithful	na kˀwarai; amintaccen
16.66	true	na gaskiya
16.67	lie, tell lies	yi kˀarya
16.68	deceit	ruɗi; yaudara
16.69	forgive	yafe wa
16.71	good	mai kyau; na kirki
16.72	bad	maras kyau; mugu
16.73	right, correct	daidai
16.74	wrong	ba daidai ba
16.76	fault	laifi; aibu; kure
16.77	mistake, error	kuskure; kure
16.78	blame	zarga
16.79	praise	yaba; yabo
16.81	beautiful	kyakkyawa
16.82	ugly	mummuna
16.83	greedy	mai zari; hanamau; haɗama
16.84	clever	mai azanci; dabara; fasaha; wayo
17.11	mind	tunani; kˀwalwa; basira
17.13	think (= reflect)	tunani
17.14	think (= be of the opinion)	gani; ji
17.15	believe	yarda da; yi imani
17.16	understand	fahimta; gane
17.17	know	sani
17.171	guess	cita; cinta; canka
17.172	imitate	kwaikwaya
17.18	seem	nuna alama
17.19	idea, notion	shiri; shawara
17.21	wise	wayayye
17.22	foolish, stupid	sauna; wawa
17.23	insane, crazy	taɓaɓɓe
17.24	learn	koyo
17.242	study	karanta; yi nazari
17.25	teach	koya wa
17.26	pupil	ɗalibi; ɗan makaranta
17.27	teacher	malam; malami
17.28	school	makaranta
17.31	remember	tuna
17.32	forget	manta
17.34	clear, plain	zahiri
17.35	obscure	ɓoyayye
17.36	secret	asiri; sirri
17.37	sure, certain	tabbata
17.38	explain	bayyana
17.41	intention, purpose	nufi; niyya; manufa
17.42	cause	sa
17.43	doubt	yi shakka; yi kokwanto
17.44	suspect	zarga; yi wa zargi
17.441	betray	ci amana
17.45	need, necessity	bukata; wajibi
17.46	easy	saukˀi
17.47	difficult	wuya; wahala
17.48	try, attempt	yi kˀokˀari; gwada
17.49	way, manner	hanya; yanayi
17.51	and	da; kuma
17.52	because	saboda
17.53	if	in; idan
17.54	or	ko
17.55	yes, affirmative	i; naʔam
17.56	no, negative	aʔa; babu
17.61	how?	yaya
17.62	how many?	nawa
17.63	how much?	nawa
17.64	what?	me; mene ne
17.65	when?	yaushe; wane lokaci
17.66	where?	ina
17.67	which?	wane
17.68	who?	wa; wane ne
17.69	why?	don me; me ya sa
18.11	voice	murya
18.12	sing	rera wakˀa
18.13	shout, cry out	yi ihu
18.15	whisper	raɗa
18.16	mumble	yi gunguni; yi gunaguni
18.17	whistle	yi fito
18.18	shriek, screech	yi kˀara
18.19	howl	yi kuka; yi kˀara; yi kˀugi
18.21	speak, talk	yi magana
18.211	stutter, stammer	yi iʔina
18.22	say	ce; faɗa
18.221	tell story	bada labari
18.222	speech (make a)	jawabi
18.23	silent (be)	yi shiru
18.24	language	harshe; yare
18.26	word	kalma
18.28	name	suna
18.31	ask (question, inquire)	tambaya
18.32	answer	amsa wa
18.33	admit, confess	yarda
18.34	deny	musa; yi inkari; toge
18.35	ask, request	rokˀa
18.36	promise	yi alkawari
18.37	refuse	kˀi
18.38	forbid	hana
18.39	rebuke, scold	kyara; tsawata wa
18.41	call (=summon)	sammaci; kira
18.42	call (=name)	kira
18.43	announce	ba da sanarwa; shelanta
18.44	threaten	yi wa barazana; ba da tsoro
18.45	boast	cika baki; kambama kai
18.51	write	rubuta
18.52	read	karanta
18.56	paper	warkʔa; takarda
18.57	pen	alkˀalami; biro
18.61	book	littafi
18.67	poet	mawakˀi; shaˀiri
18.71	flute	sirikˀi; sarewa; tiliɓoro
18.72	drum	ganga
18.73	horn, trumpet	kakaki
18.74	rattle	caki
19.11	country	kˀasa
19.12	one's native country	kˀasar mutum ta haihuwa
19.15	city, town	birni
19.16	village	kˀauye
19.17	boundary	iyaka
19.21	people (populace)	mutane; jamaʔa
19.23	tribe, clan	kabila
19.24	chief, chieftain	sarki
19.25	staff, walking stick	sanda
19.31	rule, govern	shugabanta; yi mulki
19.32	king, ruler	sarki
19.33	queen	sarauniya
19.36	noble, nobleman	bafada; maimartaba
19.37	citizen, subject	ɗan kˀasa
19.41	master	maigida
19.42	slave	bawa
19.43	servant	bara; baranya
19.44	freeman	ʔyantaccen mutum
19.45	command, order	umarta
19.46	obey	bi; kiyaye
19.47	let, permit	yarda; bari
19.51	friend, companion	aboki
19.52	enemy	abokin gaba
19.54	neighbor	makˀwabci
19.55	stranger	bakˀo
19.56	guest	bakˀo
19.57	host	mai masauki
19.58	help, aid	taimako; agaza
19.59	hinder, prevent	hana; tauye
19.61	custom	alʔada
19.62	strife, quarrel	husuma; faɗa
19.63	conspiracy, plot	kˀullalliya; haɗinbaki
19.65	meet	gamu; sadu
19.72	prostitute	karuwa; kilaki
20.11	fight (vb)	yi faɗa; yi yaki
20.13	war, battle	yakˀi
20.14	peace	lumana; zaman lafiya
20.15	army	dakaru
20.17	soldier	soja
20.21	weapons, arms	makamai; kayan yakˀi
20.22	club	kulki
20.222	battle-ax	takʔwabin yaki
20.23	sling	majajjawa
20.24	bow	baka
20.25	arrow	kibiya
20.26	spear	mashi
20.27	sword	takobi
20.28	gun, cannon	bindiga; igwa
20.31	armor (defensive)	sulke
20.33	helmet	hular kwano
20.34	shield	garkuwa
20.35	fortress	ganuwa
20.36	tower	hasumiya
20.41	victory	nasara
20.42	defeat	kayarwa; samun galaba
20.43	attack	yi farmaki
20.44	defend	tsare; kare kai; kariya
20.45	retreat	ja da baya; koma da baya
20.46	surrender	sallama; ba da kai; mikʔa wuya
20.47	captive, prisoner	fursunan; yakʔi
20.471	guard, sentinel	mai gadi
20.48	booty, spoils	ganima
20.49	ambush	fako; kwanto; faka
20.51	fisherman	masunci
20.52	fishhook	fatsa
20.53	fishing line	igiyar fatsa
20.54	fishnet	taru
20.55	fish trap	tarkon kifi
20.56	bait	naman jikin kˀugiya
20.61	hunt	farauta
20.62	shoot	harba; harbi
20.63	miss (target)	kuskure
20.64	trap (noun)	tarko
20.65	trap (vb)	kama da tarko
21.11	law	shariʔa; doka
21.15	court	kotu
21.16	judge (vb)	yanke hukunci
21.17	judgment	hukunci
21.18	judge (noun)	alkʔali; mai shariʔa
21.21	plaintiff	mai kˀara
21.22	defendant	wanda ake kˀara
21.23	witness	mai shaida
21.24	swear	rantse; yi rantsuwa
21.25	oath	rantsuwa
21.31	accuse	tuhuma; caja; ɗafa wa
21.32	condemn	yi tir da; yanke wa hukunci
21.33	convict (vb)	zartar da hukunci; sami da laifi
21.34	acquit	saka; sallama
21.35	guilty	mai laifi
21.36	innocent	maras laifi
21.37	penalty, punishment	horo
21.38	fine	tara
21.39	prison, jail	kurkuku; gidan yari
21.42	murder	kashe
21.43	adultery	kwartanci; zina
21.44	rape	yi wa fyaɗe
21.46	arson	aikata laifin kˀone-kˀone
21.47	perjury	shaiɗar zur; kʔarya a kotu
21.51	steal	sata
21.52	thief	ɓarawo
22.11	religion	addini
22.12	God	Ubangiji; Allah
22.13	temple, church	wajen bauta; ɗakin ibada
22.14	altar	teburin hadaya
22.15	sacrifice, offering	hadaya
22.16	worship	bauta
22.17	pray	roka; yi salla
22.18	priest	fada
22.19	holy, sacred	tsarki; tsarkakke
22.22	preach	yi waʔazi
22.23	bless	albarkata
22.24	curse	yi tir; zaga; laʔanta
22.26	fast (vb)	yi azumi
22.31	heaven	sama; Aljanna; Lahira
22.32	hell	Wuta; Jahanama
22.35	demon (evil spirit)	shaiɗan; ibilis; aljan
22.37	idol	gunki
22.42	magic, witchcraft, sorcery	tsafi; dabo; maita
22.43	sorcerer, witch	maye; mayya
22.44	fairy, elf	aljana
22.45	ghost, phantom	fatalwa
22.47	omen, portent	ishara; alama
