entry_id	trans_english	Karok_Phonemic
4.99	naked, bare	ʔī́škar
5.11	eat	-ʔaβ
5.12	food	ʔáβaha
5.121	cooked	-ʔimtup
5.122	raw	- -
5.123	ripe	-ʔimtup
5.124	green, unripe	xī́t
5.125	rotten	xá̄t
5.13	drink	-ʔiš
5.14	hunger	-xúriha
5.141	famine	ʔé̄xrih
5.15	thirst	-ixrah
5.16	suck	-βir
5.18	chew	-pápuθ
5.181	swallow	-sī́nkar
5.19	choke	- -
5.21	cook	-ʔimniš
5.22	boil (vb)	-ʔī́βrip; -páramβa
5.23	roast, fry	-ʔikī́kβa
5.24	bake	- -
5.25	oven	- -
5.26	pot, cooking vessel	ʔásip
5.27	kettle	- -
5.28	pan	- -
5.31	dish	ʔásip
5.32	plate	ʔimβáram
5.33	bowl	ʔásip
5.34	pitcher, jug	- -
5.35	cup, drinking vessel	ʔī́šram
5.36	saucer	- -
5.37	spoon	- -
5.38	knife	símsīm
5.39	fork	ʔikrupká̄nβar
5.391	tongs	- -
5.41	meal (a)	- -
5.42	breakfast	- -
5.43	lunch	- -
5.44	dinner	- -
5.45	supper	- -
5.46	peel	-ʔikruh
5.47	sieve, strain	θantápar
5.48	scrape	-taxviš
5.49	stir, mix	-taxβaβ
5.51	bread	sára
5.53	dough	yāf
5.54	knead	-ʔiytup
5.55	meal, flour	ʔimpur
5.56	crush, grind	-ʔikraβ
5.57	mill	- -
5.58	mortar	ʔikrá̄mnam
5.59	pestle	ʔikrávar
5.61	meat	ʔiθβar
5.63	sausage	- -
5.64	soup, broth	parámβās
5.65	vegetables	- -
5.66	bean	[pī́ršur]
5.7	potato	[putíruh]
5.71	fruit	- -
5.712	bunch	- -
5.75	fig	- -
5.76	grape	ʔāy
5.77	nut	xuntápan
5.78	olive	- -
5.79	oil	- -
5.791	grease, fat	ʔaθkúmt
5.81	salt	yúfiš
5.82	pepper	[pápah]
5.821	chili pepper	- -
5.84	honey	pišpíših
5.85	sugar	ʔasúxīm
5.86	milk (noun)	ʔúčiš
5.87	milk (vb)	- -
5.88	cheese	[čī́š]
5.89	butter	sarataxunkó̄r
5.9	beverage, drink	- -
5.91	mead	- -
5.92	wine	- -
5.93	beer	- -
5.94	fermented drink	ʔúxʔās
5.97	egg	ʔúruh
5.971	egg yolk	- -
6.11	put on (clothes)	-pásas
6.12	clothing, clothes	sá̄nβa
6.13	tailor	- -
6.21	cloth	makáyβās
6.22	wool	- -
6.23	linen, flax	- -
6.24	cotton	- -
6.25	silk	[sírik]
6.27	felt	- -
6.28	fur	ʔimyāt
6.29	leather	βastáran
6.31	spin	- -
6.32	spindle	- -
6.33	weave	-βik
6.34	loom	- -
6.35	sew	-ʔikrup
6.36	needle	ʔičyununuprī́hβanač
6.37	awl	sī́h
6.38	thread	ʔá̄n
