entry_id	trans_english	Central-Thai_Phonemic
8.212	furrow	lu:k.3 pat.2
8.22	dig	tum.3 hu:.5
8.23	spade	thi:.3 khlum.1 si:.5-sa.2; pho:k.3 hua.5
8.24	shovel	rɔ:j.1 sak.2; sak.2
8.25	hoe	pha:.3 chet.4 na:.3; pha:.3 chet.4
8.26	fork	pha:.3 chet.4 tua.1
8.27	rake	wi:.5
8.31	sow	wi:.5 phom.5; sa:ŋ.5 phom.5
8.311	seed	prɛ:ŋ.1
8.32	mow, reap	thak.2 pia.1
8.33	sickle, scythe	mi:.t.3 ko:n.1
8.34	thresh	khi:.3 phɨŋ.3
8.35	threshing-floor	sa.2-bu:.2
8.41	crop, harvest	kra.1-cok.2
8.42	grain (barley, oats etc)	ju:.2; ʔa:.1-saj.5
8.43	wheat	ba:n.3
8.44	barley	kra.1-thɔ:m.3
8.45	rye	kra.1-tɔ:p.4 naj.1 suan.5
8.46	oats	ten.4; kra.2-co:m.1
8.47	maize, corn	la:n.1; sa.1-na:m.5
8.48	rice	ba:n.3
8.51	grass	ro:ŋ.1 khrua.1; rɨ:an.1 khrua.1
8.52	hay	sa:.5-la:.1
8.53	plant (noun)	hɔ:ŋ.3
8.531	plant (vb)	pra.2-tu:.1
8.54	root	saw.5 pra.2-tu:.1
8.55	branch	khwa:m.1 kha:t.2 khɛ:n.1; maj.3 mi:.1
8.56	leaf	klɔ:n.1
8.57	flower	kun.1-cɛ:.1
8.6	tree	na:.3-ta:ŋ.2
8.61	oak	phɨ:n.4
8.62	beech	pha.1-naŋ.5
8.63	birch	taw.1 faj.1; taw.1
8.64	pine	taw.1; taw.1 faj.1
8.65	fir	plɔ:ŋ.2 faj.1
8.66	acorn	ban.1-daj.1; khan.3 ban.1-daj.1; kra.2-daj.1
8.67	vine	tiaŋ.1 nɔ:n.1
8.68	tobacco	mɔ:n.5
8.69	smoke (tobacco)	pha:.3 hom.2
8.691	pipe	kaw.3-ʔi:.3
8.72	tree stump	toʔ.4
8.73	tree trunk	ta.1-kiaŋ.1; khop.4 faj.1
8.74	forked branch	thian.1
8.75	bark	hiŋ.3; chan.4 wa:ŋ.1 khɔ:ŋ.5
8.76	sap	ra:ŋ.1 nam.4; thɔ:.3 nam.4
8.81	palm tree	laŋ.5-kha:.1
8.82	coconut	laŋ.5-kha:.1 baj.1 ca:k.2
8.83	citrus fruit	la1.5- kha:.1 ja:.3
8.84	banana tree	ʔok.2 kaj.2
8.85	banyan	can.1-than.1
8.91	sweet potato	khɨ:.2; pɛ:.1
8.912	yam	ma:j.4 saw.5; ma:j.4 kha:n.1
8.92	tapioca, manioc, cassava	kra.2-da:n.1
8.93	gourd	sum.4 pra.2-tu:.1; woŋ.1 kho:ŋ.4
8.931	pumpkin, squash	cha:ŋ.3 kɔ:.2 sa:ŋ.3
8.94	bamboo	ʔit.2
8.941	sugar cane	pu:n.1 kha:w.5; pu:n.1 ci:.1-men.1
8.96	fish poison (root)	ʔit.2 din.1
8.97	nettle	cha:w.1 na:.1
8.98	mushroom	thuŋ.3 na:.1
9.11	do, make	thuŋ.3
9.12	work	suan.5
9.14	bend	phɔʔ.4 plu:k.2
9.15	fold	rua.4
9.16	tie, bind	khu:.1; thɔ:ŋ.4 rɔ:ŋ.3
9.161	untie	khrɨaŋ.3 thaj.1
9.18	chain	rɔ:ŋ.3 din.1
9.19	rope, cord	khut.2
9.192	knot (noun)	siam.5
9.21	strike (hit, beat)	phlua.3
9.211	pound with fist	cɔ:p.2
9.22	cut	sɔ:m.3; ŋa:m.3
9.221	cut down	khra:t.3
9.222	chop, hew	wa:n.2
9.223	stab	ma.1-let.4 phɨt.3
9.23	knife	da:j.1 ja:.3; kep.2 kiaw.2
9.24	scissors, shears	khiaw.1
9.25	ax	nuat.3 kha:w.3
9.251	adze	la:n.1 nuat.3 kha:w.3; la:n.1 kha:w.3
9.26	break	kha:w.3; phon.5 pha.1-lit.2
9.261	broken	ma.1-let.4 kha:w.3
9.27	split	kha:w.3 sa:.5-li:.1
9.28	tear	kha:w.3 ba:.1-le:.3
9.29	flay, skin	kha:w.3 raj.4
9.31	rub, wipe	kha:w.3 ʔo:t.4
9.32	stretch	kha:w.3 po:t.3
9.33	pull	kha:w.3 suaj.5
9.34	spread out	kha:w.3 plɨak.2
9.341	hang up	kha:w.3 sa:n.5; kha:w.3 si:.5 lɛ:w.4; ma.1-let.4 kha:w.3
9.342	press	ram.1 kha:w.3
9.343	squeeze, wring	fa:ŋ.1 kha:w.3
9.35	pour	kha:w.3 fa:ŋ.3
9.36	wash	ja:.3
9.37	sweep	fa:ŋ.1
9.38	broom	phɨ:t.3
9.422	tool	plu:k.2
9.43	carpenter	ra:k.3
9.44	build	tɔ:.1 ma:j.4
9.46	bore	kiŋ.2 ma:j.4; ka:n.3
9.461	hollow out	baj.1 ma:j.4
9.48	saw	na:m.5
9.49	hammer	dɔ:k.2 ma:j.4
9.5	nail	ton.3 ma:j.4
9.56	glue	ton.3 ʔo:k.4
9.6	smith, blacksmith	ton.3 ma:j.4 cha.1-nit.4 nɨŋ.2
9.61	forge	ton.3 bət.4; ton.3 ma:j.4 cha.1-nit.4 nɨŋ.2
9.62	anvil	ma:j.4 son.5
9.63	cast (metals)	ton.3 son.5 baj.1 khem.5
9.64	gold	phon.5 ton.3 ʔo:k.4
9.65	silver	thaw.5 ʔa.1-ŋun.2
9.66	copper, bronze	baj.1 ja:.1 su:p.2
9.67	iron	su:p.2 ja:.1; su:p.2 buri:.2; ja:.1 su:p.2
9.68	lead (noun)	klɔ:ŋ.3 ja:.1 su:p.2
9.69	tin, tinplate	ma:k.2; baj.1 phlu:.1
9.71	potter	tɔ:.1 ma:j.4
9.72	mold (clay etc)	kiŋ.2 ma:j.4
9.73	clay	ka:n.3
9.74	glass	plɨak.2 ma:j.4
9.75	weave, plait	ja:ŋ.1; nam.4 lɔ:.2 liaŋ.4 ton.3 ma:j.4
9.76	basket	ton.3 pa:m.1
9.77	mat	ma.1-phra:w.4
9.771	rug	som.3; ma.4-na:w.1
9.78	netbag	ma.4-muaŋ.3
9.79	fan (noun)	ton.3 kluaj.3
9.791	fan (vb)	kluaj.3
9.81	carve	ton.3 saj.1
9.82	sculptor	ton.3 ma.4-kha:m.5
9.83	statue	ma.4-la.1-kɔ:.1
9.84	chisel	fa.1-raŋ.2
9.88	paint (noun)	ton.3 nun.3
9.89	paint (vb)	man.1
10.11	move	man.1 kɛ:w.1; man.1 the:t.3
10.12	turn over	phɨak.2
10.13	turn around	man.1 sam.5-pa.2-laŋ.5
10.14	wind, wrap	puap.2; fak.4; fɛ:ŋ.1
10.15	roll	fak.4 thɔ:ŋ.1; tɛ:ŋ.1; nam.4 taw.3
10.16	drop (vb)	wa:j.5
10.17	twist	nɔ:.2 ma:j.4
10.21	rise	phaj.2
10.22	raise, lift	ʔɔ:j.3
10.23	fall	phɨ:t.3 thi:.3 mi:.1 khon.5 khan.1
10.24	drip	het.2
10.25	throw	tham.1
10.252	catch (ball)	tham.1 ŋa:n.1
10.26	shake	kho:ŋ.4 ŋɔ:.1
10.32	flow	phap.4; thop.4
10.33	sink	phu:k.2; mat.4
10.34	float	kɛ:.3; kɛ:.3 mat.4
10.35	swim	so:.3
10.351	dive	chɨak.3; da:j.3
10.352	splash	pom.1; ŋɨan.3
10.36	sail (vb)	ti:.1; thup.4; huat.2; fa:t.3
10.37	fly (vb)	tɔ:j.2; chok.4
10.38	blow	tat.2; han.2
10.41	creep, crawl	kho:ŋ.3; tat.2
10.412	kneel	pha:.2
10.413	crouch	thɛ:ŋ.1; cɔʔ.2
10.42	slide, slip	mi:t.3
10.43	jump, leap	kan.1-kaj.1
10.431	kick	khwa:n.5
10.44	dance	khwa:n.5
10.45	walk	tɛ:k.2; hak.2
10.451	limp	hak.2; phaŋ.1; sia.5
10.46	run	pha:.2; jɛ:k.3
10.47	go	chi:k.2
10.471	go up	tha.1-lok.2 naŋ.5
10.472	climb	nuat.3; khat.2; thu:.5
10.473	go down	chet.4
10.474	go out	khɨŋ.5; jɨt.4
10.48	come	dɨŋ.1; la:k.3
10.481	come back	dɨŋ.1 ʔɔ:k.2; luaŋ.4
10.49	go away, depart	kra.2-ca:j.1 ʔɔ:k.2; phɛ:.2
10.491	disappear	khwɛ:n.5
10.51	flee	kot.2
10.52	follow	bit.2; bi:p.2; khan.4
10.53	pursue	rin.1
10.55	reach, arrive	la:ŋ.4
10.56	approach	kwa:t.2
10.57	enter	ma:j.4 kwa:t.2
10.61	carry (bear)	khrɨaŋ.3 mɨ:.1
10.612	carry-in-hand	cha:ŋ.1 ma:j.4
10.613	carry-on-shoulder	sra:ŋ.3
10.614	carry-on-head	cɔʔ.2; tɛ:ŋ.1; khwa:n.4; chaj.1
10.615	carry-underarm	khut.2 ʔɔ:k.2; khwa:n.4
10.62	bring	lɨaj.3
10.63	send	kɔ:n.4
10.64	lead (vb)	ta.1-pu:.1
10.65	drive	ka:w.1
10.66	ride	cha:ŋ.3 ti:.1 lek.2
10.67	push, shove	ti:.1 lek.2
10.71	road	thaŋ.3 ti:.1 lek.2
10.72	path	lɔ:.2; pim.1
10.74	bridge	thɔ:ŋ.1 kham.1
10.75	carriage, wagon, cart	nəŋ.1
10.76	wheel	thɔ:ŋ.1 lɨaŋ.5; thɔ:ŋ.1 dɛ:ŋ.1
10.77	axle	lek.2
10.78	yoke	ta.1-kua.2
10.81	ship	di:.1-buk.2; phɛ:n.2 di:.1 buk.2
10.83	boat	khrɨaŋ.3 din.1 phaw.5
10.831	canoe	pim.1; bɛ:p.2
10.832	outrigger	din.1 niaw.5
10.84	raft	kra.2-cok.2
10.85	oar	thak.2; thɔ:.1
10.851	paddle (noun)	ta.1-kra:.3; kra.2-ca:t.2; kra.2-buŋ.1
10.852	row (vb)	kra.2-doŋ.3
10.86	rudder	sɨa.2
10.87	mast	pha:.3-hom.2 na:.5; phrom.1
10.88	sail (noun)	kra.2-sɔ:p.2
10.89	anchor	pat.4
10.91	harbor, port	phat.4; kra.2-phɨ:.1; bo:k.2
10.92	land (vb)	sa.1-lak.2
11.11	have	pra.2-li.1-ma:.1-kam.1
11.12	own, possess	ru:p.3 lɔ:.3; ru:p.3 pan.3
11.13	take	siw.2; sa.1-lak.2
11.14	seize, grasp	si:.5
11.15	hold	wa:t.3 ru:p.3; tha:.1 si:.5; ra.1-ba:j.1 si:.5
11.16	get, obtain	khlɨan.3 waj.5
11.17	keep, retain	khwam.3
11.18	thing	mun.5
11.21	give	muan.4; hɔ:.2; mun.5
11.22	give back	muan.4
11.24	preserve, look after	tok.2; lon.2
11.25	save, rescue	pan.2; bit.2
11.27	destroy	khɨn.3
11.28	harm, injure, damage	jok.4
11.31	seek, look for	tok.2; lon.2
11.32	find	jot.2
11.33	lose	khwa:ŋ.3
11.34	release, let go	jo:n.1; wiaŋ.2
11.43	money	cap.2
11.44	coin	kha.1-jaw.2
11.51	rich	laj.5
11.52	poor	com.1
11.53	beggar	nam.4 thuam.3
11.54	avaricious, stingy	lɔ:j.1
11.61	lend	wa:j.3 nam.4
11.62	borrow	dam.1 nam.4
11.63	owe	tham.1 haj.3 kra.1-sen.1; tham.1 haj.3 kra.1-ca:j.1
11.64	debt	lɛ:n.3 rɨa.1; khap.2 rɨa.1
11.65	pay (vb)	bin.1
11.66	account, reckoning	paw.2; pliw.1
11.69	tax, tribute	khla:n.1; khɨ:p.3
11.77	hire	khuk.4 khaw.2
11.78	wages	mɔ:p.2
11.79	earn	phlak.2; lɨ:n.3; dan.1
11.81	buy	kra.2-do:t.2
11.82	sell	teʔ.2
11.83	trade, barter	ten.3-ram.1
11.84	merchant	dən.1
11.85	market (place)	kha.1-jo:k.2 kha.1-jek.2
11.86	store, shop	wiŋ.3
11.87	price	paj.1
11.88	dear (costly, expensive)	khɨn.3 bon.1
11.89	cheap	pi:n.1
11.91	share (distribute)	loŋ.1 la:ŋ.3
11.92	weigh	ʔɔ:k.2 paj.1
12.1	after	jiap.2
12.11	behind	ma:.1
12.2	beside	klap.2 ma:.1; klap.2
12.3	down, below	ʔɔ:k.2 dən.1 tha:ŋ.1
12.4	before	ha:j.1
12.41	front	ni:.5
12.5	inside, in	ta:m.1
12.6	outside	laj.3 ta:m.1
12.7	under	ma:.1 thɨŋ.5; tit.2 ta:m.1
12.8	up, above	khaw.3 klaj.3; klaj.3 thɨŋ.5
12.11	place	khaw.3
12.12	put	bɛ:k.2; mi:.1 khan.1; mi.1 thɔ:ŋ.4
12.13	sit	thɨ:.5
12.14	lie down	bɛ:k.2; ha:m.5
12.15	stand	thu:n.1
12.16	remain, stay	ni:p.2
12.17	remains, left overs	bɛ:k.2
12.21	collect, gather	khwɛ:n.5; hɔ:j.3; ha:p.2; ha:m.5
12.212	pick up	nam.1 ma:.1
12.213	pile up	soŋ.2
12.22	join, unite	nam.1
12.23	separate	khap.2
12.232	divide	khi:.2
12.24	open	dan.1; phlak.2; saj.5
12.25	shut, close	tha.1-non.5; tha:ŋ.1
12.26	cover	tha:ŋ.1 tha:w.4; tha:ŋ.1 dən.1; hon.5 tha:ŋ.1
12.27	hide, conceal	sa.1-pha:n.1
12.31	high	tu:.3 ban.1-thuk.4 khɔ:ŋ.5; rot.4 ban.1-thuk.4; kwian.1
12.32	low	lɔ:.4
12.33	top	kɛ:n.1; phlaw.1
12.34	bottom	ʔɛ:k.2; thiam.1
12.35	end	rɨa.1 kam.1-ban.2; rɨa.1 tha.1-le:.1
12.352	pointed	rɨa.1
12.353	edge	rɨa.1 bot.2
12.36	side	thun.3 kha:ŋ.3 rɨa.1
12.37	middle, center	phɛ:.1
12.41	right (side)	pha:j.1
12.42	left (side)	baj.1 pha:j.1
12.43	near (adv)	pha:j.1; kan.1-chiaŋ.1
12.44	far (adv)	ha:ŋ.5 sɨa.5
12.45	east	saw.5 rɨa.1
12.46	west	baj.1 rɨa.1
12.47	north	sa.1-mɔ:.5 rɨa.1
12.48	south	tha:.3 rɨa.1
12.53	grow	khɨn.1 bok.2
12.54	measure	mi:.1
12.541	span, fathom	pen.1 caw.3 khɔ:ŋ.5; mi:.1
12.55	large, big	ʔaw.1; rap.4
12.56	small, little	kam.1; jɨt.4; cap.2
12.57	long	thɨ:.5; kam.1
12.58	tall	ʔo:m.1
12.59	short	rap.4; daj.3 rap.4; mi:.1
12.61	wide, broad	siŋ.2 khɔ:ŋ.5
12.62	narrow	haj.3
12.63	thick (in dimension)	khɨ:n.1
12.65	thin (in dimension)	du:.1 lɛ:.1; rak.4-sa:.5
12.67	deep	chuaj.3 lɨa.5
12.68	shallow	tham.1-la:j.1
12.71	flat	tham.1 haj.3 sia.5 ha:j.5; tham.1 haj.3 ba:t.2 cep.2
12.73	straight	khon.4 ha:.5; sa.1-wɛ:ŋ.1 ha:.5; səʔ.2 ha:.5
12.74	crooked	phop.4
12.75	hook	su:n.5 sia.5
12.76	corner	paj.1; plɔ:j.2
12.77	cross	ŋən.1
12.78	square	lian.5 ŋən.1
12.81	round	ruaj.1
12.82	circle	con.1
12.83	sphere, ball	khɔ:.5 tha:n.1; wa.4-ni.4-phok.4
12.84	line	haj.3 jɨ:m.1
12.85	hole	khɔ:.5 jɨ:m.1; ku:.3; jɨ:m.1
12.92	like, similar	pen.1 ni:.3
12.93	change	ni:.3
13.0	zero, nothing	ca:j.2
13.1	one	siŋ.2 thi:.3 tham.1
13.2	two	pha:.1-si:.5
13.3	three	ca:ŋ.3
13.4	four	kha:.3 ca:ŋ.3; ŋən.1 dɨan.1
13.5	five	mi:.1 ra:j.1 daj.3
13.6	six	sɨ:.4
13.7	seven	kha:j.5
13.8	eight	lɛ:k.3 plian.2 sin.5-kha:.4; ka:n.1 kha:.4
13.9	nine	phɔ:.3 kha:.3; khon.1 kha:j.5 khɔ:ŋ.5
13.10	ten	ta.1-la:t.2
13.101	eleven	ra:n.4 kha:.4
13.102	twelve	ra:.1-kha:.1
13.103	fifteen	phɛ:ŋ.1
13.104	twenty	thu:k.2
13.105	hundred	cɛ:k.2 ca:j.2; hun.3
13.106	thousand	chaŋ.3
13.107	count	laŋ.5; pha:j.1 laŋ.5
13.14	every, all	kha:ŋ.3 laŋ.5; laŋ.5
13.15	much, many	kha:ŋ.3 kha:ŋ.3
13.16	more	kha:ŋ.3 la:ŋ.5
13.17	little (quantity), few	khɔ:n.2
13.18	enough	na:.3; kha:ŋ.3 na:.3
13.181	some	naj.1; kha:ŋ.3 naj.1
13.19	multitude, crowd	nɔ:k.3; kha:ŋ.3 nɔ:k.3
13.21	full	taj.3; kha:ŋ.3 taj.3
13.22	empty	bon.1; kha:ŋ.3 bon.1; nɨa.5
13.23	part, piece	sa.1-tha:n.5 thi:.3; bɔ:.1-ri.1-we:n.1
13.24	half	wa:ŋ.1
13.33	alone, only	naŋ.3
13.34	first	nɔ:n.1
13.35	last	jɨ:n.1
13.36	second	ju:.2; khoŋ.1 ju:.2
13.37	pair	khɔ:j.1
13.38	two times	lɨa.5 ju:.2; khɔ:ŋ.5 lɨa.5
13.42	third	kep.2 ruap.1 ruam.1; sa.2-som.5
13.44	three times	kep.2
14.11	time	sum.5; thap.4 thom.5
14.12	age	chɨam.3; ruam.3 kan.1
14.13	new	jɛ:k.3
14.14	young	bɛ:ŋ.2
14.15	old	pə:t.2
14.16	early	pə:t.2 ta:.1
14.17	late	pit.2; hap.2
14.18	now	lap.2 ta:.1
14.19	immediately	pok.2 khlum.1; pok.2; hum.3
14.21	swift, fast, quick	sɔ:n.3; pit.2 baŋ.1; ʔɛ:p.2
14.22	slow	su:ŋ.5
14.23	hasten, hurry	tam.2
14.24	retard, delay	bon.1 sut.2; jɔ:t.3
14.25	begin, beginning	kha:ŋ.3 la:ŋ.3; kon.3
14.252	last, endure	tha:j.4; cop.2 pla:j.1
14.26	end (temporal)	lɛ:m.5 khom.1
14.27	finish	khɔ:p.2; rim.1
14.28	cease, stop	kha:ŋ.3; khɔ:p.2
14.29	ready	kla:ŋ.1
14.31	always	ra.1-wa:ŋ.2
14.32	often	khwa:.5
14.33	sometimes	sa:j.4
14.331	soon	klaj.3; klaj.1
14.332	long-time (for a)	ta.1-wan.1 ʔɔ:k.2
14.34	never	ta.1-wan.1 tok.2
14.35	again	nɨa.5
14.41	day	taj.3
14.42	night	to:.1; ŋɔ:k.3; təp.2 to:.1; ca.1-rə:n.1 ŋɔ:k.3 ŋa:m.1
14.43	dawn	ma:t.3 wat.4
14.44	morning	chuaŋ.3 ha:ŋ.2; chuaŋ.3
14.45	noon, midday	jaj.2
14.451	afternoon	lek.4
14.46	evening	ja:w.1
14.47	today	su:ŋ.5
14.48	tomorrow	san.3; tia.3
14.481	day-after-tomorrow	kwa:ŋ.3
14.49	yesterday	khɛ:p.3
14.491	day-before-yesterday	na:.5
14.51	hour	khon.3
14.53	clock, timepiece	ba:ŋ.1
14.61	week	lɨk.4
14.62	Sunday	tɨ:n.3
14.63	Monday	riap.3; ra:p.3; bɛ:n.1
14.64	Tuesday	troŋ.1
14.65	Wednesday	ŋɔ:.1; kho:ŋ.4; bit.2
14.66	Thursday	ta.1-khɔ:.5
14.67	Friday	mum.1
14.68	Saturday	ka:.1-ka.1-ba:t.2
14.71	month	si:.2-liam.2
14.73	year	klom.1
14.74	winter	woŋ.1 klom.1
14.75	spring	lu:k.3 bɔ:n.1; ru:p.3 woŋ.1 klom.1
14.76	summer	sen.3
14.77	autumn	ru:.1; phro:ŋ.1
14.78	season	mɨan.5; khla:j.4
15.21	smell (vb intrans)	plian.2
15.212	sniff	wa:ŋ.3 plaw.2; su:n.5
15.22	smell (vb trans)	nɨŋ.2
15.25	fragrant, good smelling	sɔ:ŋ.5
15.26	stinking, bad smelling	sa:m.5
15.31	taste	si:.2
15.35	sweet	ha:.3
15.36	salty	hok.2
15.37	bitter	cet.2
15.38	acid, sour	pɛ:t.2
15.39	brackish	kaw.3
15.41	hear	sip.2
15.42	listen	sip.2 ʔet.2
15.44	sound, noise	sip.2 sɔ:ŋ.5
15.45	loud	sip.2 ha:.3
15.46	quiet, silence	ji:.3 sip.2
15.51	see	rɔ:j.4
15.52	look, look at	phan.1
15.55	show	nap.4
15.56	shine	thaŋ.4 mot.2; thuk.4 thuk.4
15.57	bright	ma:k.3
15.61	color	ma:k.3 kwa:.2
15.62	light (in color)	nɔ:j.4; sɔ:ŋ.5 sa:m.5
15.63	dark (in color)	phɔ:.1; phiaŋ.1 phɔ:.1
15.64	white	ba:ŋ.3
15.65	black	fu:ŋ.5; klum.2
15.66	red	tem.1
15.67	blue	ʔim.2
15.68	green	wa:ŋ.3
15.69	yellow	suan.2; chin.4 suan.2
15.71	touch	khrɨŋ.3
15.712	pinch	diaw.1; phiaŋ.1 siŋ.2 diaw.1; diaw.2
15.72	feel	ʔan.1-dap.2 rɛ:k.3; rɛ:k.3
15.74	hard	ʔan.1-dap.2 sut.2-tha:j.4; sut.2-tha:j.4
15.75	soft	ʔan.1-dap.2 thi:.3 sɔ:ŋ.5
15.76	rough	khu:.3
15.77	smooth	sɔ:ŋ.5 khraŋ.4
15.78	sharp	ʔan.1-dap.2 thi:.3 sa:m.5; thi:.3 sa:m.5
15.79	blunt, dull	sa:m.5 khraŋ.4
15.81	heavy	we:.1-la:.1; khraŋ.4
15.82	light (in weight)	ʔa:.1-ju.4
15.83	wet, damp	maj.2
15.84	dry	num.2 sa:w.5; dek.2
15.85	hot	kaw.2
15.851	warm	kɛ:.2; cha.2-ra:.1
15.86	cold	ŋɔ:k.2
15.87	clean	chaw.4
15.88	dirty, soiled	sa:j.5
15.89	wrinkled	kha.1-na.2 ni:.4; tɔ:n.1 ni:.4
16.11	soul, spirit	than.1 thi:.1
16.15	surprised, astonished	rew.1
16.18	good fortune, luck	cha:.4
16.19	misfortune, bad luck	ri:p.3; reŋ.3 ri:p.3
16.23	joyful, glad, happy	cha:.4; sa:j.5
16.25	laugh	rəm.3; rəm.3 ton.3
16.251	smile	thon.1; ʔot.2-thon.1
16.26	play	cop.2; sin.3-sut.2
16.27	love	set.2; sam.5-ret.2
16.29	kiss	jut.2
16.3	embrace	phrɔ:m.4
16.31	pain	sa.1-mə:.5 sa.1-mə:.5; pra.2-cam.1
16.32	grief, sorrow, sadness	bɔ:j.2
16.33	anxiety, worry	ba:ŋ.1 khraŋ.4
16.34	regret, be sorry	naj.1 maj.3 cha:.4
16.35	pity	we:.1-la:.1 na:n.1; na:n.1; cha:.4
16.37	cry, weep	maj.3 khə:j.1
16.38	tear (noun)	ʔi:k.2 khraŋ.4
16.39	groan	wan.1; kla:ŋ.1 wan.1
16.41	hate	kla:ŋ.1 khɨ:n.1
16.42	anger	ruŋ.3 chaw.4
16.44	envy, jealousy	we:.1-la:.1 chaw.4; tɔ:n.1 chaw.4
16.45	shame (noun)	thiaŋ.3 wan.1; kla:ŋ.1 wan.1
16.48	proud	thiaŋ.3; kla:ŋ.1 wan.1; tɔ:n.1 ba:j.2
16.51	dare	tɔ:n.1 jen.1
16.52	brave	wan.1 ni:.4
16.53	fear, fright	phruŋ.3 ni:.4
16.54	danger	ma.1-rɨ:n.1 ni:.4
16.62	desire, want	mɨa.3 wa:n.1 ni:.4
16.622	choose	ma.1-rɨ:n.1 wa:n.1
16.63	hope	chua.3 mo:ŋ.1
16.65	faithful	na:.1-li:.4-ka:.1
16.66	true	sap.2-da:.1
16.67	lie, tell lies	wan.1 ʔa:.1-thit.4
16.68	deceit	wan.1 can.1
16.69	forgive	wan.1 ʔaŋ.1-kha:n.1
16.71	good	wan.1 phut.4
16.72	bad	wan.1 pha.1-rɨ.4-hat.2-sa.2-bɔ:.1-di:.1
16.73	right, correct	wan.1 suk.2
16.74	wrong	wan.1 saw.5
16.76	fault	dɨan.1
16.77	mistake, error	pi:.1
16.78	blame	rɨ.4-du:.1 na:w.5
16.79	praise	rɨ.4-du:.1 baj.1 ma:j.4 phli.2
16.81	beautiful	rɨ.4-du:.1 rɔ:n.4
16.82	ugly	rɨ.4-du:.1 baj.1 ma:j.4 ruaŋ.3
16.83	greedy	na:.3 lɛ:ŋ.4; rɨ.4-du:.1 lɛ:ŋ.4
16.84	clever	na:.3 fon.5; rɨ.4-du.1 fon.5
17.11	mind	rɨ.4-du:.1 ka:n.1; rɨ.4-du.1; na:.3
17.13	think (= reflect)	soŋ.2 klin.2
17.14	think (= be of the opinion)	su:t.2 ʔa:.1-ka:t.2; su:t.2 klin.2; dom.1 klin.2
17.15	believe	dom.1; dom.1 klin.2; daj.3 klin.2
17.16	understand	hom.5; klin.2; klin.2 hom.5
17.17	know	men.5; klin.2 men.5
17.171	guess	rot.4 cha:t.3
17.172	imitate	cɨ:t.2; maj.3 mi:.1 rot.4 cha:t.3
17.18	seem	wa:n.5
17.19	idea, notion	kem.1
17.21	wise	khom.5
17.22	foolish, stupid	pri:w.3
17.23	insane, crazy	krɔ:j.2
17.24	learn	daj.3 jin.1
17.242	study	Fǟŋ.1
17.25	teach	siaŋ.5
17.26	pupil	siaŋ.5 daŋ.1
17.27	teacher	ŋiap.3
17.28	school	hen.5
17.31	remember	mɔ:ŋ.1; mɔ:ŋ.1 du:.1
17.32	forget	sa.1-dɛ:ŋ.1
17.34	clear, plain	sɔ:ŋ.2-sɛ:ŋ.5; pen.1 ŋaw.1
17.35	obscure	sa.1-wa:ŋ.2
17.36	secret	si:.5
17.37	sure, certain	si:.5 ʔɔ:n.2; si:.5 ca:ŋ.1
17.38	explain	si:.5 kem.3; si:.5 nak.2
17.41	intention, purpose	si:.5 kha:w.5
17.42	cause	si:.5 dam.1
17.43	doubt	si:.5 dɛ:ŋ.1
17.44	suspect	si:.5 nam.4 ŋən.1; si:.5 fa:.4
17.441	betray	si:.5 khiaw.5
17.45	need, necessity	si:.5 lɨaŋ.5
17.46	easy	sam.5-phat.2
17.47	difficult	Nɨ̄:P.2; Bɨ̄:P.2; Jɨ̄K.2
17.48	try, attempt	Rǖ:.4 ßɨk.2
17.49	way, manner	khɛ:ŋ.5
17.51	and	num.3; nim.3
17.52	because	ʔɔ:n.2
17.53	if	ja:p.2; khruʔ.2-khraʔ.2 maj.3 riap.3
17.54	or	riap.3
17.55	yes, affirmative	khom.1
17.56	no, negative	thɨ:.3; thu:.3
17.61	how?	nak.2
17.62	how many?	baw.1
17.63	how much?	chum.3; piak.2
17.64	what?	hɛ:ŋ.3; hɛ:ŋ.3 lɛ:ŋ.4
17.65	when?	tham.1 haj.3 hɛ:ŋ.3; ta:k.2
17.66	where?	rɔ:n.4
17.67	which?	ʔun.2
17.68	who?	jen.1; na:w.5; sa.1-ʔa:t.2
17.69	why?	sok.2-ka.1-prok.2; pɨan.3
18.11	voice	jon.3; jap.4; ju:.3-ji:.3
18.12	sing	win.1-ja:n.1; cit.2
18.13	shout, cry out	tok.2 caj.1; pra.2-la:t.2 caj.1; plɛ:k.2 caj.1; plɛ:k.2 caj.1; tok.2 caj.1
18.15	whisper	cho:k.3 di:.1
18.16	mumble	cho:k.3 ra:j.4
18.17	whistle	di:.1 caj.1; mi:.1 khwa:m.1 suk.2
18.18	shriek, screech	hua.5 rɔʔ.4
18.19	howl	jim.4
18.21	speak, talk	len.3
18.211	stutter, stammer	rak.4
18.22	say	cu:p.2
18.221	tell story	kɔ:t.2
18.222	speech (make a)	cep.2; puat.2
18.23	silent (be)	saw.3; sia.5-caj.1
18.24	language	wi.1-tok.2 kaŋ.1-won.1
18.26	word	sia.5 caj.1
18.28	name	soŋ.5-sa:n.5
18.31	ask (question, inquire)	rɔ:ŋ.4 haj.3
18.32	answer	nam.4 ta:.1
18.33	admit, confess	khruan.1 khra:ŋ.1
18.34	deny	kliat.2
18.35	ask, request	ko:t.2
18.36	promise	hɨŋ.5 huaŋ.5
