entry_id	trans_english	Southern_Kam_Phonemic
4.19	back	miŋ.212
4.191	spine	miŋ.212 so.212
4.2	head	sui.212
4.201	side of head, temple	sui.212 sim.31
4.202	skull	nâm.31 niŋ.13
4.203	brain	ma.55 mən.323
4.204	face	ćak.55
4.205	forehead	lâu.53
4.207	jaw	je.55
4.208	cheek	nui.212 muk.31
4.209	chin	maŋ.33 lin.323
4.21	eye	maŋ.33 lin.323 so.323
4.212	eyebrow	pa.55 ŋo.212 jui.212
4.213	eyelid	ćai.53
4.214	eyelash	śən.35
4.215	blink	pui.212
4.22	ear	nan.31
4.221	earlobe	pjam.55
4.222	earwax	mut.31
4.23	nose	noŋ.212
4.231	nostril	pjən.55
4.232	mucus (nasal)	pən.53 kau.323; pui.212 kau.323
4.24	mouth	pən.53
4.241	beak	phat.13
4.25	lip	ʔən.55 phat.13
4.26	tongue	ʔən.55
4.27	tooth	lak.323
4.271	gums	ńui.212
4.272	molartooth	lak.323 loŋ.212
4.28	neck	pau.55
4.281	nape of neck	sət.55
4.29	throat	lai.212
4.3	shoulder	lak.323 lai.312
4.301	shoulderblade	kau.323
4.302	collarbone	na.212
4.31	arm	na.212 kau.323
4.312	armpit	ńui.212
4.32	elbow	na.323
4.321	wrist	pjhak.13
4.33	hand	na.212
4.331	palm of hand	ljam.31 na.323
4.34	finger	qaŋ.212
4.342	thumb	ta.55
4.344	fingernail	pjən.55 ta.55
4.345	claw	pui.212 ta.55
4.35	leg	pjən.55 ta.55
4.351	thigh	ńap.35 ta.55; ta.55 jap.323
4.352	calf of leg	kha.35
4.36	knee	nan.31 kha.35
4.37	foot	qəi.53 kha.35
4.371	ankle	nəŋ.55
4.372	heel	ćəm.212 nəŋ.55
4.374	footprint	muk.31
4.38	toe	ʔəp.55
4.392	wing	əp.55 mok.212
4.393	feather	ja.212 maŋ.53 əp.55
4.4	chest	ma.212
4.41	breast (of woman)	ŋe.212
4.412	nipple, teat	ŋe.212 śaŋ.53; pjân.55 ŋe.212
4.42	udder	ŋe.212 tən.323
4.43	navel	ńən.33
4.44	heart	sau.212 ńən.33
4.441	lung	qo.212
4.45	liver	pâu.55 sa.55
4.451	kidney	lak.323 sa.55
4.452	spleen	lak.323 ńən.33
4.46	stomach	qin.35
4.461	intestines, guts	tiŋ.53 qin.35
4.462	waist	ćən.13 qin.35
4.463	hip	qin.35
4.464	buttocks	mja.212
4.47	womb	pa.55 mja.212
4.49	testicle	lak.31 mja.212
4.492	penis	məi.31 mja.212
4.51	breathe, breath	ńəp.55 mja.212
4.52	yawn, gape	ńəp.55
4.521	hiccough	pa.55
4.53	cough	tən.323 pa.55
4.54	sneeze	po.53 tin.55
4.55	perspire	koŋ.323 kwau.53
4.56	spit	tin.55
4.57	vomit	ćoŋ.53 tin.55
4.58	bite	śoŋ.55 tin.55
4.59	lick	jin.31 tin.55
4.591	dribble	lak.31 tin.55
4.61	sleep	pa.53
4.612	snore	pjən.55
4.62	dream	tak.55
4.63	wake up	məi.323
4.64	break wind	kau.323 məi.323
4.65	urinate	san.53 məi.323
4.66	defecate	po.53
4.67	have sexual intercourse	səm.323
4.68	shiver	phau.453
4.69	bathe	tâp.55
4.71	beget (of father)	jeu.55
4.72	born (to be)	mja.453
4.73	pregnant	po.53
4.732	conceive	qaŋ.55 tu.323
4.74	live, living, life	loŋ.212
4.75	die, dead	sai.323
4.751	drowned	jeu.55
4.76	kill	pui.53
4.77	corpse	pui.53
4.78	bury (the dead)	ćəm.212 pui.53
4.79	grave, tomb	sai.323 lak.31
4.81	strong, mighty, powerful	kəi.53
4.82	weak	ljâi.323
4.83	well, health	ćəm.212 ńâi.35
4.84	sick, sickness	sot.323
4.841	fever	jân.53
4.842	goiter	ʔək.212
4.843	cold (catarrh)	tâi.55 hâu.55
4.85	wound, sore	jân.53
4.852	bruise	ʔuk.323 pən.53
4.853	swelling	nəm.31 mje.212; śen.212
4.854	itch	pjho.453 nəm.31 mje.212
4.855	blister	wen.323
4.856	boil (noun)	qit.31
4.857	pus	lat.212 ma.212
4.858	scar	lja.212
4.86	cure, heal	qui.35 nəm.31 mje.212
4.87	physician	nak.35nak.35
4.88	medicine, drug	śui.55 nəŋ.55
4.89	poison	mjân.55
4.91	tired, weary	ljo.35
4.912	rest	ljo.35
4.92	lazy	soŋ.53 tət.55
4.93	bald	ńeu.53; mət.55 nəm.31
4.94	lame	soŋ.53 qe.31
4.95	deaf	teu.31
4.96	mute	tan.212 san.53
4.97	blind	ʔap.323 śən.35
4.98	intoxicated	saŋ.53
4.99	naked, bare	śət.55
5.11	eat	saŋ.53
5.12	food	me.212 lak.31
5.121	cooked	loŋ.212 me.212 lak.31
5.122	raw	jəŋ.323; ta.33 mon.55
5.123	ripe	tâi.55 (35?)
5.124	green, unripe	tâi.55 nâm.31
5.125	rotten	sa.323
5.13	drink	kwət.55
5.14	hunger	mok.55
5.141	famine	wən.212
5.15	thirst	tiu.31
5.16	suck	mja.323
5.18	chew	tiu.31
5.181	swallow	pjən.33; ləi.323 pjən.33
5.19	choke	wet.323 tun.55
5.21	cook	bo.55
5.22	boil (vb)	we.31 no.35
5.23	roast, fry	śa.53 sai.323
5.24	bake	qit.323; ʔəp.55 qit.323
5.25	oven	pu.55 pha.35; siu.323
5.26	pot, cooking vessel	pu.55; qu.35
5.27	kettle	qu.35; ćəm.35
5.28	pan	təm.53
5.31	dish	kət.55
5.32	plate	nuŋ.212
5.33	bowl	siu.323
5.34	pitcher, jug	śau.53 lai.55
5.35	cup, drinking vessel	śaŋ.33 ʔəm.323
5.36	saucer	ʔəm.323
5.37	spoon	ʔəm.323 tu.212
5.38	knife	soŋ.53 tu.212
5.39	fork	wam.212
5.391	tongs	sa.53
5.41	meal (a)	soi.212
5.42	breakfast	kau.323 phok.35
5.43	lunch	pa.55 tet.31
5.44	dinner	kha.35 lâk.55
5.45	supper	ŋa.33 pa.33
5.46	peel	ta.55 pha.35
5.47	sieve, strain	təi.55 kwhau.13
5.48	scrape	thu.13 quk.323
5.49	stir, mix	ćan.55
5.51	bread	mân.53 ćan.55
5.53	dough	śok.31
5.54	knead	śeŋ.55
5.55	meal, flour	śok.31
5.56	crush, grind	su.55; məi.31 śok.31
5.57	mill	lui.212
5.58	mortar	jəm.31
5.59	pestle	jak.323
5.61	meat	lu.53 qâu.31
5.63	sausage	so.323 qo.212
5.64	soup, broth	sot.323
5.65	vegetables	ŋau.33
5.66	bean	qân.35
5.7	potato	ŋa.33
5.71	fruit	tuŋ.55
5.712	bunch	nəm.31 tuŋ.55
5.75	fig	śeu.35
5.76	grape	pjeŋ.35
5.77	nut	sa.212 pui.55
5.78	olive	tau.55; mân.53 we.31 ćan.55
5.79	oil	hu.212
5.791	grease, fat	tau.55
5.81	salt	ćuŋ.55 kwaŋ.323; mân.53 ćuŋ.55 kwaŋ.323
5.82	pepper	pan.212
5.821	chili pepper	kwaŋ.212
5.84	honey	hu.212
5.85	sugar	ćen.323
5.86	milk (noun)	tip.31
5.87	milk (vb)	ćau.212 kâŋ.33
5.88	cheese	mja.31
5.89	butter	ŋe.35
5.9	beverage, drink	ŋip.323
5.91	mead	qâu.31
5.92	wine	qâu.31 śe.212
5.93	beer	qâu.31 jet.35
5.94	fermented drink	qâu.31 mân.55
5.97	egg	qâu.31 ńâm.53
5.971	egg yolk	pjhi.35
6.11	put on (clothes)	śai.55; lju.33
6.12	clothing, clothes	kwet.31
6.13	tailor	kwət.212
6.21	cloth	mjen.55 pau.33
6.22	wool	mjen.55 ton.212
6.23	linen, flax	ho.212 mjen.55
6.24	cotton	mjen.55 fən.31
6.25	silk	sak.323
6.27	felt	ńen.31
6.28	fur	wân.453; wân.453 pai.55
6.29	leather	ńen.31
6.31	spin	kəm.55; ńen.31 si.53
6.32	spindle	ʔəp.55 toi.53
6.33	weave	nan.31
6.34	loom	sai.323
6.35	sew	thaŋ.35
6.36	needle	ma.55 su.55
6.37	awl	to.33
6.38	thread	ŋe.212 jiŋ.35
6.39	dye	thon.453
6.41	cloak	jaŋ.212 coŋ.33
6.411	poncho	lak.31 ljan.33
6.42	woman's dress	ŋa.55
6.43	coat	jiŋ.35
6.44	shirt	kwe.55
6.45	collar	ća.212
6.46	skirt	jaŋ.212 jui.55; mân.212
6.461	grass-skirt	təm.33
6.48	trousers	śon.53
6.49	stocking, sock	təm.33 qoŋ.35 wa.35
6.51	shoe	ʔit.323
6.52	boot	lət.212
6.54	shoemaker, cobbler	kan.31 lan.31
6.55	hat, cap	ju.212
6.57	belt, girdle	ju.212; lau.212
6.58	glove	pui.212
6.59	veil	nau.55; lai.55
6.61	pocket	jəm.212
6.62	button	hu.212 siu.55
6.63	pin	hu.212 siu.55 ljan.33
6.71	ornament, adornment	mət.212 taŋ.212
6.72	jewel	taŋ.212
6.73	ring (for finger)	nâm.31 məi.323; məi.323
6.74	bracelet	ńân.323
6.75	necklace	jən.31 ljao.55
6.76	bead	kwau.323 mət.212 luk.31
6.77	earring	kwau.323 phu.212 thau.212 ćiu.53
6.78	headband, headdress	kwau.323 pji.212 ćiu.53
6.79	tattoo	kwau.323 kwhan.35
6.81	handkerchief, rag	kei.53
6.82	towel	qun.55 kei.53
6.91	comb	tân.323
6.92	brush	quk.323
6.921	braid	śaŋ.33 ćip.323
6.93	razor	ja.55
6.94	ointment	pjən.55
6.95	soap	qan.55
6.96	mirror	mjin.212
7.11	dwell, live	śu.212
7.12	house	joŋ.212
7.13	hut	pi.212
7.131	garden-house	pi.212
7.14	tent	śa.323 mjən.212
7.15	yard, court	pan.55 tui.212; śa.323
7.16	men's house	śa.323
7.17	cookhouse	tui.212
7.18	meeting house	ćip.323
7.21	room	ćəm.35
7.22	door, gate	son.53
7.221	doorpost, jamb	san.53
7.23	lock (noun)	tən.323
7.231	latch, door-bolt	si.55
7.24	key	si.55
7.25	window	wən.323
7.26	floor	quk.323
7.27	wall	quk.323 qau.31
7.31	fireplace	ma.212 quk.323
7.32	stove	wən.323
7.33	chimney	qu.453
7.37	ladder	wa.323
7.42	bed	hai.212
7.421	pillow	śaŋ.33 hai.212
7.422	blanket	qəm.31
7.43	chair	se.55 qui.323
7.44	table	wa.325 mja.212
7.45	lamp, torch	pha.453 kau.323
7.46	candle	tâi.33 quk.323
7.47	shelf	khâu.35
7.48	trough	ćhəm.453
7.51	roof	mân.53
7.52	thatch	ńân.212 mân.53
7.53	ridgepole	śi.55 jəm.53
7.54	rafter	ćok.34
7.55	beam	khon.35 qo.212
7.56	post, pole	śu.55
7.57	board	ćeŋ.53
7.58	arch	pha.453 ńâk.55; mat.31 ńâk.55
7.61	mason	pha.453 mja.212
7.62	brick	pha.453 na.323
7.63	mortar	khe.35
7.64	adobe	khe.35
8.11	farmer	kat.323
8.12	field (for cultivation)	san.55; pja.55
8.13	garden	mit.31 ći.453
8.15	cultivate, till	ju.212 kau.33; kau.33 ma.323
8.16	fence	jaŋ.212 ćeŋ.31
8.17	ditch	ćiu.53 mjin.33
8.21	plow	ńau.33
8.212	furrow	jan.212
8.22	dig	poŋ.212
8.23	spade	ljaŋ.212 tiŋ.212; tiŋ.212
8.24	shovel	poŋ.212
8.25	hoe	sak.31 jan.212
8.26	fork	jan.212 sau.33 ma.55
8.27	rake	səm.31
8.31	sow	to.55; to.55 mak.323
8.311	seed	kwhəŋ.35 to.55
8.32	mow, reap	so.212
8.33	sickle, scythe	śen.55 to.55
8.34	thresh	jo.212 śi.212
8.35	threshing-floor	to.55 siŋ.323
8.41	crop, harvest	koŋ.312; te.323 ti.33
8.42	grain (barley, oats etc)	khai.453
8.43	wheat	sa.212 pui.55
8.44	barley	thoŋ.35 kwan.212
8.45	rye	kwe.323
8.46	oats	śaŋ.212
8.47	maize, corn	mun.33 śaŋ.212
8.48	rice	tan.33
8.51	grass	ćeu.33
8.52	hay	śoŋ.212
8.53	plant (noun)	pui.55
8.531	plant (vb)	lap.31
8.54	root	ka.53; pjhin.453 qek.323
8.55	branch	sau.212
8.56	leaf	səm.55 jan.212
8.57	flower	muŋ.55 jan.212
8.6	tree	ńaŋ.323
8.61	oak	śon.55
8.62	beech	pek.31
8.63	birch	ljaŋ.212
8.64	pine	qan.33; tuŋ.33
8.65	fir	pjhin.453
8.66	acorn	to.55 qon.212
8.67	vine	śaŋ.33 pja.55
8.68	tobacco	ćon.55
8.69	smoke (tobacco)	nam.33 śe.55; nam.33 hoi.35
8.691	pipe	ćon.55 nam.33
8.72	tree stump	ńən.212 sak.323 ja.53
8.73	tree trunk	ja.53
8.74	forked branch	ti.33 so.323
8.75	bark	ti.33 ma.55
8.76	sap	sak.323 śən.55
8.81	palm tree	sak.55 jan.35
8.82	coconut	miŋ.55
8.83	citrus fruit	khəi.35
8.84	banana tree	sau.212 khəi.35
8.85	banyan	lâu.55
8.91	sweet potato	ćan.31
8.912	yam	ćan.31
8.92	tapioca, manioc, cassava	śu.212; te.53
8.93	gourd	ŋe.35
8.931	pumpkin, squash	pa.212
8.94	bamboo	ńan.453 qâu.31 ćoŋ.323
8.941	sugar cane	ćoŋ.323
8.96	fish poison (root)	qân.53; than.35
8.97	nettle	ljim.31
8.98	mushroom	pek.31 qâu.31
9.11	do, make	sak.31 qâu.31
9.12	work	śu.55 śiŋ.212
9.14	bend	mân.53 qâu.31
9.15	fold	mek.31
9.16	tie, bind	mek.31 lau.31
9.161	untie	mek.31 nâm.55
9.18	chain	ćiu.212 me.212
9.19	rope, cord	waŋ.212 ći.53
9.192	knot (noun)	qâu.31
9.21	strike (hit, beat)	qâu.31
9.211	pound with fist	qâu.31 san.55; ka.323
9.22	cut	pa.33
9.221	cut down	ńaŋ.323
9.222	chop, hew	qâu.31 śan.33
9.223	stab	ńaŋ.323
9.23	knife	kwaŋ.55
9.24	scissors, shears	mân.53 ćən.212
9.25	ax	to.323
9.251	adze	saŋ.55
9.26	break	tən.323 mâi.31; ćiu.212 mâi.31
