entry_id	trans_english	Lengua_Phonemic
12.22	join, unite	-yibit-čis-či
12.23	separate	-ky-ithpan-čis-či
12.232	divide	-yipt-eyi
12.24	open	-li-kyi
12.25	shut, close	-kyepek-ɬeyi
12.26	cover	-kyip-kyi
12.27	hide, conceal	-pos-či
12.31	high	netin
12.32	low	koniŋ
12.33	top	netin
12.34	bottom	na-takla
12.35	end	nowa
12.352	pointed	ik-ha nipkyitama
12.353	edge	n-(poss)-yawa
12.36	side	ni-kha
12.37	middle, center	n-(poss)-siksa
12.41	right (side)	-yinnakta-makɬa
12.42	left (side)	-saŋkalwe
12.43	near (adv)	kyito
12.44	far (adv)	tiyepe
12.45	east	tiyip-makɬa ik-him
12.46	west	tathniŋ-wanɬa ik-him
12.47	north	ni-thkyiha
12.48	south	ni-pyiam
12.53	grow	-wanem-yi
12.54	measure	-kilyitsači
12.541	span, fathom	--
12.55	large, big	-yowea
12.56	small, little	-kyitsi
12.57	long	-winnakte
12.58	tall	-winnakte
12.59	short	-yakwate
12.61	wide, broad	paihe
12.62	narrow	-tkuk
12.63	thick (in dimension)	-yintiɬi
12.65	thin (in dimension)	-ky-ithyo-kyi
12.67	deep	-towan-yi
12.68	shallow	-takhaiyi
12.71	flat	paihe
12.73	straight	-pew-owu
12.74	crooked	-takh-eyi
12.75	hook	sowuk-haɬe
12.76	corner	mas-ekyak
12.77	cross	aksak tiŋy-es-čama
12.78	square	--
12.81	round	-yakye
12.82	circle	wain-kyiam
12.83	sphere, ball	aksak yakye
12.84	line	
12.85	hole	yaŋkaɬe
12.92	like, similar	
12.93	change	-yakmaŋ-kas-či
13.0	zero, nothing	meko aksak
13.1	one	ɬama
13.2	two	-anit
13.3	three	-antan-ɬama
13.4	four	howuk-n-(poss)-kha
13.5	five	ɬam-e-mik
13.6	six	wakthlo mok emik thlama
13.7	seven	wakthlo mok emik anit
13.8	eight	wakthlo mok emik antan-thlama
13.9	nine	wakthlo mok emik howuk-n-(poss)-kha
13.10	ten	sohok emek
13.101	eleven	wakthlo e-minik thlama
13.102	twelve	--
13.103	fifteen	sohok thlamʔe-minik
13.104	twenty	sohok e-mankuk
13.105	hundred	--
13.106	thousand	--
13.107	count	-ki-lyitsat-či
13.14	every, all	-ɬamok-ɬoho
13.15	much, many	-ɬamok
13.16	more	mok makham
13.17	little (quantity), few	kyits-o
13.18	enough	-howuk
13.181	some	n-(poss)-kha
13.19	multitude, crowd	ap-ɬamok enɬit
13.21	full	-lan-owu
13.22	empty	me-kyi aksak -wathwuk
13.23	part, piece	n-(poss)-kha
13.24	half	
13.33	alone, only	-ɬapko
13.34	first	iŋ-mamyi
13.35	last	eɬaiyi
13.36	second	
13.37	pair	-anit
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	-athnankuk
14.14	young	-kyitkuk
14.15	old	-wanakmo
14.16	early	athtoo-k anko
14.17	late	tathnam
14.18	now	kathwowu
14.19	immediately	hiŋ-yahamo
14.21	swift, fast, quick	-pikh-es-owu
14.22	slow	-yihemyi
14.23	hasten, hurry	-pikh-es-či
14.24	retard, delay	-yihemyi
14.25	begin, beginning	sikɬo
14.252	last, endure	
14.26	end (temporal)	ineɬa
14.27	finish	-pinčis-či
14.28	cease, stop	-ki-lwat-es-či
14.29	ready	wanɬa
14.31	always	kyimata
14.32	often	kyimata
14.33	sometimes	mok ɬama ikhim
14.331	soon	haikyi
14.332	long-time (for a)	nanok
14.34	never	
14.35	again	makham
14.41	day	ik-him
14.42	night	athtaa
14.43	dawn	elsiye
14.44	morning	athtoo
14.45	noon, midday	iŋ-yitsikso ik-him
14.451	afternoon	tathnam
14.46	evening	tathnakmo
14.47	today	kyiso ik-him
14.48	tomorrow	el-sakha sata
14.481	day-after-tomorrow	mok him sata
14.49	yesterday	him athta
14.491	day-before-yesterday	mok him athta
14.51	hour	--
14.53	clock, timepiece	tik-tik
14.61	week	--
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	piltin
14.73	year	ap-yiam
14.74	winter	(ap)-yiam
14.75	spring	ki-lyap-wakɬ-eyi
14.76	summer	maiyahat
14.77	autumn	-tainiŋ
14.78	season	--
15.21	smell (vb intrans)	-pakn-akme
15.212	sniff	-ki-lwita-iyi
15.22	smell (vb trans)	-liŋa-iyi
15.25	fragrant, good smelling	atsik pakn-iam
15.26	stinking, bad smelling	yitsi pakn-iam
15.31	taste	-liŋa-iyi
15.35	sweet	atsik
15.36	salty	yasik
15.37	bitter	ik-mamyasa
15.38	acid, sour	a-skyihe
15.39	brackish	yasik yiŋmin
15.41	hear	-liŋa-iyi
15.42	listen	-hathn-owu
15.44	sound, noise	kyel-paɬama
15.45	loud	a-skyihe ik-mek
15.46	quiet, silence	-wan-ma
15.51	see	-wita-iyi
15.52	look, look at	-ki-lan-owu
15.55	show	-ɬikmos-či
15.56	shine	-ky-atiŋma-kyi
15.57	bright	-ki-lyinm-eyi
15.61	color	
15.62	light (in color)	-mopa-iya
15.63	dark (in color)	-pais-iam
15.64	white	-mopa-iya
15.65	black	-pais-iam
15.66	red	-yithwas-e
15.67	blue	-yapakmate
15.68	green	yapakmate
15.69	yellow	-yatiktama
15.71	touch	-paknam-owu
15.712	pinch	-yinsip-kyi
15.72	feel	-liŋa-iyi
15.74	hard	kai-he
15.75	soft	-sipyo-kyi
15.76	rough	
15.77	smooth	
15.78	sharp	-hamtik
15.79	blunt, dull	meko a-hamtik
15.81	heavy	-yintiɬi
15.82	light (in weight)	-kyithyo-kyi
15.83	wet, damp	-yes-owu
15.84	dry	-yimaka-iyi
15.85	hot	atehe
15.851	warm	yama miɬan-ma
15.86	cold	-somaŋyi
15.87	clean	-ky-athny-owu
15.88	dirty, soiled	-yitsi
15.89	wrinkled	-yipwak-kyi
16.11	soul, spirit	-haŋak
16.15	surprised, astonished	-pilap-kas-či
16.18	good fortune, luck	-ki-linya-howu
16.19	misfortune, bad luck	samči tah-akɬa
16.23	joyful, glad, happy	-paihe-kɬeyi-(poss)-wathwuk
16.25	laugh	-ky-iktiŋ-maha
16.251	smile	-ky-ismes-či
16.26	play	-new-eha
16.27	love	-ky-asikh-eyo
16.29	kiss	-pets-is-či
16.3	embrace	-pakhit-kyi
16.31	pain	-maša
16.32	grief, sorrow, sadness	-yakhap-owu-(poss)-wathwuk
16.33	anxiety, worry	-tamha-ikha-(poss)-wathwuk
16.34	regret, be sorry	-liŋaŋ-ko -(poss)-wathwuk
16.35	pity	-ky-imlek-me
16.37	cry, weep	-wun-eyi
16.38	tear (noun)	yiŋmin-(poss)-aktik
16.39	groan	-ky-apiŋtiŋ-kyi
16.41	hate	-takno-kyi
16.42	anger	-lo-kyi
16.44	envy, jealousy	-yasip-kis-čama
16.45	shame (noun)	-minkak-tama
16.48	proud	-ky-ekpo
16.51	dare	
16.52	brave	kaihe-(poss)-wathwuk
16.53	fear, fright	-kyika-iyi
16.54	danger	
16.62	desire, want	-maihe-yo-(poss)-wathwuk
16.622	choose	-ki-lyes-aha
16.63	hope	-ki-lhathn-eyi-(poss)-wathwuk
16.65	faithful	
16.66	true	nakso
16.67	lie, tell lies	-wančik amyaa
16.68	deceit	-ki-lyiɬan-čis-aikha
16.69	forgive	-mas-čes-čis-či
16.71	good	-tas-ik
16.72	bad	-samčik
16.73	right, correct	-pew-owu
16.74	wrong	ka-pew-owu
16.76	fault	-sithnin-i-akpe
16.77	mistake, error	-time-(poss)-ankuk
16.78	blame	-sithnin-aik
16.79	praise	-kyiky-owu
16.81	beautiful	-tas-ok
16.82	ugly	-samči
16.83	greedy	m-(poss)-nyekyak-(poss)-to
16.84	clever	-yasiŋko-thma
17.11	mind	-wathwuk
17.13	think (= reflect)	-ki-lkyitam-kyi-(poss)-wathwuk
17.14	think (= be of the opinion)	-ky-inai-kyi
17.15	believe	m-(poss)-yaši-kme
17.16	understand	-yasekiŋko-thma
17.17	know	-yasiŋko
17.171	guess	
17.172	imitate	-heas-owu
17.18	seem	
17.19	idea, notion	e-lkyitam-sama-(poss)-wathwuk
17.21	wise	-yasiŋk-athma
17.22	foolish, stupid	m-(poss)-ysikyak aksak
17.23	insane, crazy	-yehathma
17.24	learn	-ki-ltamesa-kpe
17.242	study	-ki-ltamesa-kpe
17.25	teach	-ɬikmos-či
17.26	pupil	-ki-ltames-čama
17.27	teacher	-ki-lɬikmos-čama
17.28	school	nim-paiwa e-tkuk
17.31	remember	m-(poss)-lwan-akme
17.32	forget	-ki-lwan-k-akme
17.34	clear, plain	-ky-athny-owu
17.35	obscure	
17.36	secret	-yiɬam-athči
17.37	sure, certain	naksok sat
17.38	explain	-pe-kis-akɬeyi
17.41	intention, purpose	
17.42	cause	
17.43	doubt	-yaš-ikme
17.44	suspect	-pehes-čikme
17.441	betray	-yinyo-kyi
17.45	need, necessity	-ky-eme-thči
17.46	easy	-ky-ithyo-kyi
17.47	difficult	-yintiɬi
17.48	try, attempt	-yipkain-či
17.49	way, manner	-te-makɬa
17.51	and	kyinhan; hahan ~ anhan
17.52	because	hakte
17.53	if	ankuk
17.54	or	eši anhan
17.55	yes, affirmative	ehai
17.56	no, negative	ma
17.61	how?	hathko
17.62	how many?	hathko-(poss)-wanɬa
17.63	how much?	hathko-(poss)-wanɬa
17.64	what?	yaksa(k)
17.65	when?	
17.66	where?	hathko
17.67	which?	yaksa(k)
17.68	who?	
17.69	why?	yaksak taha
18.11	voice	-paiwa
18.12	sing	-minaikmas-či
18.13	shout, cry out	-won-eha
18.15	whisper	-maliŋyo-aha
18.16	mumble	-pakmet-eha
18.17	whistle	-moh-eha
18.18	shriek, screech	-wehes-čis-ha
18.19	howl	-won-eha
18.21	speak, talk	-pakmit-kyi
18.211	stutter, stammer	ka-(poss)-wana-(poss)-paiwa
18.22	say	-taha
18.221	tell story	-ki-ltinn-aha
18.222	speech (make a)	-ki-ltinn-aha
18.23	silent (be)	-wan-ma-kyi
18.24	language	-paiwa
18.26	word	-paiwa
18.28	name	-wisaia
18.31	ask (question, inquire)	-ki-lmathna-kyi
18.32	answer	-ky-atiŋma-kyi
18.33	admit, confess	-ki-ltinnas-owu-(poss)-wisaia
18.34	deny	
18.35	ask, request	-ki-lmathna-kyi
18.36	promise	-pitkin-kyi-(poss)-paiwa
18.37	refuse	-miyo-kyi
18.38	forbid	-ki-las-či ithma
18.39	rebuke, scold	-ki-lyimatčis-aha
18.41	call (=summon)	-ky-okha
18.42	call (=name)	-times-čis-či-(poss)-wisaia
18.43	announce	
18.44	threaten	
18.45	boast	kyethko-(poss)-paiwa
18.51	write	-taɬes-či
18.52	read	-ki-lyitsat-či
18.56	paper	waikyahak
18.57	pen	-taɬes-čama
18.61	book	waikyahak
18.67	poet	--
18.71	flute	
18.72	drum	waiŋ-kyi
18.73	horn, trumpet	-kyapkyahas-čama
18.74	rattle	kyaiyi
19.11	country	yokɬ-ithma
19.12	one's native country	-ky-okɬa
19.15	city, town	tiŋma wanyam
19.16	village	tiŋma
19.17	boundary	nethla ɬapup
19.21	people (populace)	enɬit-ak
19.23	tribe, clan	
19.24	chief, chieftain	wiši
19.25	staff, walking stick	-taskhapa-ikha
19.31	rule, govern	-time wiši
19.32	king, ruler	wiši ap-wanyam
19.33	queen	wiši ik-wanyam
19.36	noble, nobleman	--
19.37	citizen, subject	
19.41	master	wiši
19.42	slave	--
19.43	servant	-ki-lan-ekha
19.44	freeman	--
19.45	command, order	-ky-inai-kyi
19.46	obey	-ki-lyahakɬoho
19.47	let, permit	-ky-owu
19.51	friend, companion	-ɬiŋ-ithma
19.52	enemy	m-(poss)-tnaha iŋ-mowuk
19.54	neighbor	-howuɬama
19.55	stranger	pok enɬit
19.56	guest	maikyaa
19.57	host	-kyape-kha
19.58	help, aid	-pasm-eyi
19.59	hinder, prevent	-ki-lyas-č-ithma
19.61	custom	-time
19.62	strife, quarrel	ik-lo-paiwa
19.63	conspiracy, plot	
19.65	meet	-tahany-owu
19.72	prostitute	kilana miɬanma
20.11	fight (vb)	-ky-impakha-iyi
20.13	war, battle	ky-impakha-pma
20.14	peace	wanmak-ithma
20.15	army	--
20.17	soldier	sel-pithtet-a-mo
20.21	weapons, arms	kyel-maikha kyimpakhap-ma
20.22	club	
20.222	battle-ax	
20.23	sling	milwaktama
20.24	bow	pithpath
20.25	arrow	yanči
20.26	spear	hewa; sohewa
20.27	sword	sowu ik-winakte
20.28	gun, cannon	enmaŋa
20.31	armor (defensive)	-ky-ahapkasa-map
20.33	helmet	--
20.34	shield	--
20.35	fortress	--
20.36	tower	tiŋma netin
20.41	victory	-kilnap-kyi
20.42	defeat	se-lnap-ma
20.43	attack	-tahanyak pok
20.44	defend	-ki-laith-čis-či
20.45	retreat	-yeŋ-kyi
20.46	surrender	-me-ase-kpo
20.47	captive, prisoner	-kilmoma-p
20.471	guard, sentinel	
20.48	booty, spoils	--
20.49	ambush	
20.51	fisherman	tiŋye-kilasma
20.52	fishhook	sowuk-haɬe
20.53	fishing line	kilasma tama
20.54	fishnet	yam-aiyin
20.55	fish trap	
20.56	bait	niŋ-egyak-to
20.61	hunt	-mimpak-wukme
20.62	shoot	-makta-iyi
20.63	miss (target)	m-(poss)-lins-eyi
20.64	trap (noun)	ki-lhan-ma
20.65	trap (vb)	ki-lhan-či
21.11	law	
21.15	court	--
21.16	judge (vb)	-yikpilč-owu
21.17	judgment	siŋ-yikpilč-emo
21.18	judge (noun)	siŋ-yikpilč-amo
21.21	plaintiff	--
21.22	defendant	--
21.23	witness	-liŋas-čama
21.24	swear	--
21.25	oath	--
21.31	accuse	-sithninaik
21.32	condemn	-ɬen-čik-(poss)-m-(poss)-so
21.33	convict (vb)	wita-thči-(poss)-m-(poss)-so
21.34	acquit	--
21.35	guilty	-sithnanea-thči
21.36	innocent	m-(poss)-sithnane-kpe
21.37	penalty, punishment	-ki-lyikpithčit-ma
21.38	fine	--
21.39	prison, jail	sel-pithteta-makɬa
21.42	murder	ky-akhe enɬit
21.43	adultery	
21.44	rape	-towas-eha inkilana
21.46	arson	--
21.47	perjury	--
21.51	steal	-minyith-či
21.52	thief	minyith-ma
22.11	religion	--
22.12	God	[Dios]
22.13	temple, church	nim-paiwa ɬankuk
22.14	altar	--
22.15	sacrifice, offering	--
22.16	worship	-paikis-čamo
22.17	pray	-kye-lmathna-kyi [Dios]
22.18	priest	ho-iŋ-yapam
22.19	holy, sacred	aksak paŋkan-ma
22.22	preach	-ki-ltinn-aha
22.23	bless	-watikhap-kas-či
22.24	curse	maso-(poss)-paiwa
22.26	fast (vb)	m-(poss)-maihe-(poss)-to
22.31	heaven	netin
22.32	hell	
22.35	demon (evil spirit)	kilyikhama
22.37	idol	aksak kye-laikmas-čis-čama
22.42	magic, witchcraft, sorcery	yihothma aptamhaikha
22.43	sorcerer, witch	yihothma
22.44	fairy, elf	--
22.45	ghost, phantom	haŋak
22.47	omen, portent	
