entry_id	trans_english	Maca_Phonemic
4.371	ankle	-fonxeʔ (f.)
4.372	heel	-ḳoḳˀo (m.)
4.374	footprint	-oc̷hiwxokiˀ (f.)
4.38	toe	-fux (f.)
4.392	wing	ɬef (m.)
4.393	feather	ɬewkuxux (f.)
4.4	chest	-exuyix (m.)
4.41	breast (of woman)	-eḳfutiʔ (f.)
4.412	nipple, teat	wit-eḳfutiʔ ɬa-pas
4.42	udder	ɬ-eḳfutiʔ (f.)
4.43	navel	-pinen (f.)
4.44	heart	-ɬitiʔ (f.)
4.441	lung	-uɬaχii (f.)
4.45	liver	-aḳɬik (m.)
4.451	kidney	-atʔinxeʔ (f.)
4.452	spleen	-esuf (m.) (?)
4.46	stomach	-kutxii (f.)
4.461	intestines, guts	-χatay (f.)
4.462	waist	-ḳeluc̷i-wet (m.)
4.463	hip	-kinxeʔ (f.)
4.464	buttocks	-c̷ix (f.)
4.47	womb	-ḳˀic̷etxii (f.)
4.49	testicle	-ḳeɬeʔ (f.)
4.492	penis	-soʔ (m.)
4.51	breathe, breath	-uɬayxey
4.52	yawn, gape	-otˀokii
4.521	hiccough	-tomokii
4.53	cough	-lekɬin
4.54	sneeze	-aḳsinkii
4.55	perspire	-nexutˀinxuʔ
4.56	spit	-kˀii
4.57	vomit	-ekuykii
4.58	bite	-ikfex
4.59	lick	-lepin
4.591	dribble	
4.61	sleep	-maʔ
4.612	snore	-ewḳututiʔ
4.62	dream	-c̷owoɬʔaχ
4.63	wake up	-om-pham
4.64	break wind	-iftuʔ ~ -eftuʔ (m.)
4.65	urinate	-uɬ
4.66	defecate	-iɬam
4.67	have sexual intercourse	-ikˀaw
4.68	shiver	-kawelik
4.69	bathe	-(we)npulix
4.71	beget (of father)	
4.72	born (to be)	-nekfikˀi
4.73	pregnant	-iwkaxic̷hen
4.732	conceive	
4.74	live, living, life	-iɬaχ (m.)
4.75	die, dead	-wam
4.751	drowned	-wikii
4.76	kill	-lan
4.77	corpse	-witlanek
4.78	bury (the dead)	-tixec̷xuʔ
4.79	grave, tomb	nimeɬuk (f.)
4.81	strong, mighty, powerful	tˀun
4.82	weak	niteʔ tˀun
4.83	well, health	ɬewisxuʔ
4.84	sick, sickness	wanḳac̷ʔeʔ
4.841	fever	-wilhap (m.)
4.842	goiter	
4.843	cold (catarrh)	-lekɬin
4.85	wound, sore	eḳfemet
4.852	bruise	
4.853	swelling	xuf-xuf-ikˀi
4.854	itch	-xuc̷ˀi (f.)
4.855	blister	ḳhoofʔo (m.)
4.856	boil (noun)	-womoʔ (f.)
4.857	pus	-ilka (m.)
4.858	scar	xiifʔixiʔ (m.)
4.86	cure, heal	-aχpal
4.87	physician	
4.88	medicine, drug	-eḳxunhet (m.)
4.89	poison	ɬatiʔ (m.)
4.91	tired, weary	-wef
4.912	rest	-wapii
4.92	lazy	walχal
4.93	bald	leeme ɬeyɬaʔ
4.94	lame	iwelkimet
4.95	deaf	niteʔ y-epiyeʔ
4.96	mute	ham ɬe-lixey-eʔ
4.97	blind	pukˀal
4.98	intoxicated	-ekˀuwet
4.99	naked, bare	ham ɬe-ḳhinat-ay
5.11	eat	-ek; -tux
5.12	food	-etex; -aḳ
