entry_id	trans_english	Haida_Northern_Phonemic
6.92	brush	-náan
6.921	braid	ḳˀíntaa
6.93	razor	ˁkahltáaw
6.94	ointment	
6.95	soap	stláantlaanw
6.96	mirror	ˁxánčaaŋw
7.11	dwell, live	náa
7.12	house	na; anáa
7.13	hut	tlakánhlaa
7.131	garden-house	
7.14	tent	kyaʔáaŋw náay
7.15	yard, court	taskˀaskat
7.16	men's house	
7.17	cookhouse	tláŋ ˁkaláaŋ náay
7.18	meeting house	
7.21	room	sáanaa náay
7.22	door, gate	kˀyúu
7.221	doorpost, jamb	
7.23	lock (noun)	sḳˀaskat
7.231	latch, door-bolt	
7.24	key	kʰikusláaw
7.25	window	ˁxánčʰaaŋw
7.26	floor	
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	kˀyúu hlˁkakatáaw
7.42	bed	tʰíitaa táanw
7.421	pillow	čˀahl; čˀahl tʰánuu
7.422	blanket	kíntˀas
7.43	chair	ˁkuhlkaʔáaŋw
7.44	table	[tíipal]
7.45	lamp, torch	stlˀaˁkukáalw
7.46	candle	
7.47	shelf	
7.48	trough	ˁxaŋán tláanuu
7.51	roof	náay íŋkʰwsii
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	káačˀ
7.57	board	ḳˀaw
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	tʰáwkˀaa ˀlaʔáaykaa
8.12	field (for cultivation)	
8.13	garden	tʰáwkˀaan
8.15	cultivate, till	
8.16	fence	ḳˀaláaχan
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	hlˁkáy
8.23	spade	tlakʰw
8.24	shovel	ˁkasláaw
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	ḳˀáŋkˀii
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	tʰatliitʰ
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	stlaḳˀíistˀaa
8.51	grass	ḳˀán
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	tlačˀáa; máahl; táwkˀaa
8.54	root	hlíiŋ; ḳˀúl
8.55	branch	hlkˀámaal
8.56	leaf	xíl
8.57	flower	
8.6	tree	ḳʰíit
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	čˀahl
8.65	fir	čˀáamaas
8.66	acorn	
8.67	vine	
8.68	tobacco	kúl
8.69	smoke (tobacco)	kˀuxačáaŋ
8.691	pipe	ˁxahlˁkíitaaw; ˁkahlˁkíitaaw
8.72	tree stump	ḳˀul kˀučʰúu
8.73	tree trunk	ḳʰíit hluu
8.74	forked branch	
8.75	bark	kiitʰ; ḳˀuč
8.76	sap	ḳˀáas
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	ḳˀál skunáa
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	skˀyáaw
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	istáa; tlaawhláa
9.12	work	hlkáŋkulaa
9.14	bend	
9.15	fold	
9.16	tie, bind	kʰyúu; čˀatˀas
9.161	untie	
9.18	chain	
9.19	rope, cord	ḳʰwáay yaačˀáa
9.192	knot (noun)	
9.21	strike (hit, beat)	-taa; kˀat; -skat; sˁkaskat
9.211	pound with fist	
9.22	cut	ḳˀitˀat; -(n)ʔanaŋ; -(t)ʔatʰ; -yistaa
9.221	cut down	skikˀántaal
9.222	chop, hew	skinʔanáŋ; skitˀatʰ
9.223	stab	kʰus
9.23	knife	
9.24	scissors, shears	čˀiʔíitˀuu
9.25	ax	kʰyúutlˀčʰaaw
9.251	adze	ˁxutˀaa
9.26	break	ˁxustáa; -yistaa
9.261	broken	
9.27	split	-yistaa
9.28	tear	táŋʔat
9.29	flay, skin	
9.31	rub, wipe	-náan
9.32	stretch	
9.33	pull	-hlanaa; táŋ ˁkahláa
9.34	spread out	
