entry_id	trans_english	Toba_Phonemic
6.58	glove	--
6.59	veil	--
6.61	pocket	l-oʁoiki
6.62	button	l-eg-aʁašte
6.63	pin	
6.71	ornament, adornment	n-ʔot-aʁat; lʸ-iʔoʁod-aʁat
6.72	jewel	--
6.73	ring (for finger)	n-čigi-šaḳte
6.74	bracelet	l-waʁa-šik
6.75	necklace	l-ḳola
6.76	bead	damegaʁa al-a
6.77	earring	l-šit-e
6.78	headband, headdress	al-aʁa
6.79	tattoo	n-ʔad-e
6.81	handkerchief, rag	n-kopaḳ l-[i]alek
6.82	towel	n-apilot-aʁat
6.91	comb	n-tag-aḳte
6.92	brush	n-pikn-aḳte
6.921	braid	n-amoge
6.93	razor	l-peteg-aʁan-aʁat
6.94	ointment	l-pikn-aʁat
6.95	soap	l-yo-ʁon-aʁat
6.96	mirror	tann-aʁai
7.11	dwell, live	n-a-lek; ne-ta-lek
7.12	house	noyik
7.13	hut	lʸ-iʔaʁaki; l-maʔ n-awek-a-ɲi
7.131	garden-house	--
7.14	tent	l-peʔl
7.15	yard, court	l-api-aḳaʔ
7.16	men's house	--
7.17	cookhouse	l-woš-aʁaki
7.18	meeting house	l-apon-aʁaki
7.21	room	l-da-ḳaʔ
7.22	door, gate	l-asom
7.221	doorpost, jamb	l-asom l-ayi
7.23	lock (noun)	--
7.231	latch, door-bolt	l-eg-aʁašit
7.24	key	l-em-aḳte
7.25	window	l-alʸ-oʁoki
7.26	floor	l-api-aḳaʔ
7.27	wall	n-apo-ʁon-aʁat
7.31	fireplace	--
7.32	stove	--
7.33	chimney	--
7.37	ladder	n-api-aʁalaʔ
7.42	bed	l-malaʔ
7.421	pillow	n-ʔaʁan-aʁat
7.422	blanket	l-ḳalehn-ek
7.43	chair	n-soʔon-aʁaki
7.44	table	l-kiʔ-aʁalaʔ
7.45	lamp, torch	l-koyad-aʁan-aḳte
7.46	candle	l-koyad-aʁan-aʁat
7.47	shelf	--
7.48	trough	n-yom-aʁaki
7.51	roof	l-laḳ; la-poʔ
7.52	thatch	ʔawaḳ-pi
7.53	ridgepole	l-laʁa-šik
7.54	rafter	l-lʸik-eʔ-te
