entry_id	trans_english	Ecun_Buyang_Phonemic
9.343	squeeze, wring	ʔba:n.24 ʔdit.55
9.35	pour	nɨ:ŋ.24 la:n.33
9.36	wash	nam.11 la:n.33
9.37	sweep	ta:u.31 taŋ.31
9.38	broom	hau.24 hɛn.11
9.422	tool	hau.24 lɔŋ.31
9.43	carpenter	ʒaŋ.24
9.44	build	ϑiu.24; δiu.24
9.46	bore	pja:t.31
9.461	hollow out	tiŋ.32
9.48	saw	kɛp.31
9.49	hammer	pa.11; a.0 pa.11
9.5	nail	a:n.24
9.56	glue	ta:i.55 ʔdɔŋ.24
9.6	smith, blacksmith	ta:i.55 hun.24
9.61	forge	ha:i.24 chə.33
9.62	anvil	naŋ.32
9.63	cast (metals)	śui.24
9.64	gold	loŋ.11 hun.24; hun.24 man.55
9.65	silver	hun.24 it.55
9.66	copper, bronze	ceu.32
9.67	iron	chə.33
9.68	lead (noun)	ʒak.55
9.69	tin, tinplate	ʔda.24
9.71	potter	ϑa.33
9.72	mold (clay etc)	ha:i.24 ʔda.24
9.73	clay	an.24
9.74	glass	mi.33
9.75	weave, plait	kap.55
9.76	basket	vɔk.55
9.77	mat	um.24
9.771	rug	tuə.53
9.78	netbag	toŋ.31 ʒeŋ.31
9.79	fan (noun)	na:k.31
9.791	fan (vb)	poi.31
9.81	carve	cau.53
9.82	sculptor	ʔdu.11 va:i.31
9.83	statue	tuk.31 va:i.31
9.84	chisel	δa.24
9.88	paint (noun)	δa.24 laŋ.24
9.89	paint (vb)	hut.55
10.11	move	śu:ŋ.55 va.11
10.12	turn over	śen.11
10.13	turn around	śen.11 lu:i.33
10.14	wind, wrap	an.24 śen.11; po.11 an.24
10.15	roll	ta.0 δiaŋ.11
10.16	drop (vb)	pu.33 te.11
10.17	twist	a.0 tim.31; a.0 tiŋ.33
10.21	rise	śe.55 va.11 δie.31
10.22	raise, lift	śe.55
10.23	fall	ʒa:ŋ.24 la:k.33 pu.11
10.24	drip	ha:i.24 śen.11
10.25	throw	śa:n.55 ca:ŋ.24
10.252	catch (ball)	śui.24
10.26	shake	ko.55 ʒuŋ.31
10.32	flow	śen.11 a.0 δia:ŋ.33
10.33	sink	δa.24
10.34	float	śɨ.33
10.35	swim	pa:n.31
10.351	dive	pa:n.31 śɨ.33
10.352	splash	pu.11 pa:n.31 śɨ.33
10.36	sail (vb)	lɔŋ.11 hɨ.32
10.37	fly (vb)	ca.55 śen.11
10.38	blow	pja:ŋ.11
10.41	creep, crawl	śen.31
10.412	kneel	pon.31 la:n.33
10.413	crouch	śaŋ.33
10.42	slide, slip	pɨ:ŋ.11 ʔdaŋ.32
10.43	jump, leap	pa.0 ʔda:ŋ.31
10.431	kick	va:ŋ.31 hɛn.11
10.44	dance	ʔba.0 ha:p.55
10.45	walk	ta.0 hɔn.24
10.451	limp	ta.0 hɔn.24
10.46	run	pa.0 lɔŋ.11
10.47	go	pa:ŋ.11 δie.11
10.471	go up	ʔba.11 ha:p.55
10.472	climb	pa:ŋ.11 lu.33
10.473	go down	ta.31 fɨ:ŋ.24
10.474	go out	mi.33 ŋan.11
10.48	come	tu.32
10.481	come back	u.55 luŋ.11
10.49	go away, depart	ʒin.55
10.491	disappear	an.24
10.51	flee	ŋuə.24 la:ŋ.33
10.52	follow	śin.55 ha.11
10.53	pursue	śɔm.31 la:n.33
10.55	reach, arrive	ʔdim.33
10.56	approach	tap.31
10.57	enter	δa:ŋ.31 la:n.33
10.61	carry (bear)	pon.32 ha:i.24
10.612	carry-in-hand	ha:i.24
10.613	carry-on-shoulder	tam.24
10.614	carry-on-head	tam.24; nap.55
10.615	carry-underarm	pok.55; kup.31
10.62	bring	cem.24
10.63	send	va:ŋ.33
10.64	lead (vb)	ta.11
10.65	drive	e.0 nɛŋ.33
10.66	ride	ʔba.11 ha:p.55
10.67	push, shove	e.0 tai.32
10.71	road	e.0 cit.55
10.72	path	e.0 hen.11
10.74	bridge	ʔba:ŋ.11
10.75	carriage, wagon, cart	tam.31 ti.24
10.76	wheel	ʔba:ŋ.31 ma.0 δi.31
10.77	axle	ʔba:ŋ.31 pjak.55
10.78	yoke	ϑuə.32; a.0 li.33
10.81	ship	tuŋ.33
10.83	boat	śi.33
10.831	canoe	pə.31
10.832	outrigger	na:n.31
10.84	raft	man.55; ma.32
10.85	oar	ta:k.31
10.851	paddle (noun)	ka:p.55
10.852	row (vb)	man.55
10.86	rudder	it.55
10.87	mast	li.32
10.88	sail (noun)	va:ŋ.33
10.89	anchor	ʔdi.11
10.91	harbor, port	ua:ŋ.24
10.92	land (vb)	kɛp.31
11.11	have	ta.0 na.33
11.12	own, possess	hun.32
11.13	take	ta.0 vɛ.11
11.14	seize, grasp	a.0 lak.55
11.15	hold	tjen.31
11.16	get, obtain	taŋ.31
11.17	keep, retain	ϑot.31
11.18	thing	ta.0 kau.32
11.21	give	iu.32
11.22	give back	e.0 ńaŋ.11
11.24	preserve, look after	ka:p.55 la:n.33
11.25	save, rescue	pa.24 pu:ŋ.32
11.27	destroy	hɛ.55 mun.11
11.28	harm, injure, damage	chiu.31
11.31	seek, look for	ϑien.55
11.32	find	e.0 ʔbɔŋ.55
11.33	lose	lum.11
11.34	release, let go	pjan.24
11.43	money	an.24 na:i.31
11.44	coin	pi.31
11.51	rich	ϑa.24
11.52	poor	tu.24
11.53	beggar	pa.24
11.54	avaricious, stingy	ma.33
11.61	lend	nam.24
11.62	borrow	tu.33
11.63	owe	ma.0 δu.33
11.64	debt	va.55
11.65	pay (vb)	put.55
11.66	account, reckoning	put.55 pi.31
11.69	tax, tribute	put.55 ϑa.24
11.77	hire	put.55 ma.33
11.78	wages	ϑa.24 put.55
11.79	earn	va:ŋ.33
11.81	buy	śien.24
11.82	sell	a:n.24
11.83	trade, barter	taŋ.31 le.24
11.84	merchant	ho.32
11.85	market (place)	it.55
11.86	store, shop	to.33
11.87	price	pi.31 śit.55
11.88	dear (costly, expensive)	śɔm.55 ma.0 iŋ.24
11.89	cheap	a.33 tjɛk.55
11.91	share (distribute)	a.33 ϑi.53
11.92	weigh	δia:u.32
12.1	after	paŋ.11
12.11	behind	(pi.31) kɔŋ.32
12.2	beside	va:i.33 tok.31
12.3	down, below	ta:i.31 it.55
12.4	before	cui.24 ʔdaŋ.32
12.41	front	ta:i.31 ŋi.31
12.5	inside, in	toi.55
12.6	outside	ϑa.24 tɔp.55
12.7	under	ta:i.31 tu.24
12.8	up, above	tu.24 tɔp.55
12.11	place	ʔda:n.24 δiɛŋ.33
12.12	put	ma:n.33
12.13	sit	tuə.0 ma.31
12.14	lie down	u.55
12.15	stand	ie.55
12.16	remain, stay	ɔk.55
12.17	remains, left overs	ma.0 lam.11
12.21	collect, gather	ha.55 ve.24; nɨ:ŋ.11 ʔdaŋ.32
12.212	pick up	ca:n.55 śin.33
12.213	pile up	ma.55 śa:ŋ.24
12.22	join, unite	pian.11
12.23	separate	lum.55
12.232	divide	ka:n.55 cin.55
12.24	open	ta:n.33 kɔ.31
12.25	shut, close	kha:i.33 sI.55
12.26	cover	na.32
12.27	hide, conceal	δaŋ.11
12.31	high	kɨ.55 kɨ.55
12.32	low	paŋ.11 kɨ.55
12.33	top	ʔdɨə.2
12.34	bottom	ʔdɔŋ.31 ma:n.33
12.35	end	ha:p.55 vən.24
12.352	pointed	ha:p.55 ve.24
12.353	edge	ma.0 lam.11
12.36	side	pin.11 na.24
12.37	middle, center	pin.11 vən.24
12.41	right (side)	na.24 ʒa.24
12.42	left (side)	ha.55 ve.24
12.43	near (adv)	vən.24 ni.33
12.44	far (adv)	vən.24 tim.11
12.45	east	vən.24 ta.11
12.46	west	vəŋ.24 ne.33
12.47	north	vən.24 ɛn.31
12.48	south	tjem.32
12.53	grow	śin.33 chi.33
12.54	measure	vən.24 hɨ.33
12.541	span, fathom	śin.33 chi.33 ʒi.31
12.55	large, big	śin.33 chi.33 a.24
12.56	small, little	śin.33 chi.33 śa:n.33
12.57	long	śin.33 chi.33 śI.24
12.58	tall	śin.33 chi.33 u.53
12.59	short	śin.33 chi.33 lu.31
12.61	wide, broad	ʔda:n.24
12.62	narrow	ma.0 δia:ŋ.33
12.63	thick (in dimension)	he.11 ʔbɔt.55
12.65	thin (in dimension)	he.11 tɔt.55
12.67	deep	he.11 ha:ŋ.53
12.68	shallow	he.11 ʒu:t.31
12.71	flat	he.24
12.73	straight	hɔm.32
12.74	crooked	hɔm.32
12.75	hook	hɔm.32
12.76	corner	he.4
12.77	cross	wai.24 ta:u.24
12.78	square	a.0 ʔdaŋ.55
12.81	round	a.0 ʒɛn.31
12.82	circle	cem.11
12.83	sphere, ball	am.24
12.84	line	ʔda:t.55
12.85	hole	in.24
12.92	like, similar	ta.0 ŋu:i.33
12.93	change	in.24 ʔdaŋ.24
13.0	zero, nothing	hiŋ.24 man.55
13.1	one	mɨə.11
13.2	two	ŋɨ.53 la:ŋ.24
13.3	three	ŋɨ.53
13.4	four	fa:n.24 ʔdɔŋ.24
13.5	five	śiu.53
13.6	six	ʔba:ŋ.31 a:ŋ.31
13.7	seven	e.0 ken.31; e.0 tiɛn.31
13.8	eight	a.0 lak.55
13.9	nine	ɔk.55
13.10	ten	ʔdam.24
13.101	eleven	lu:n.11
13.102	twelve	cɛp.31
13.103	fifteen	lɔk.55
13.104	twenty	ŋa:n.11
13.105	hundred	puŋ.11
13.106	thousand	pin.11
13.107	count	pɛk.31
13.14	every, all	a.0 la.11
13.15	much, many	u:n.32
13.16	more	śo.24 ńok.55
13.17	little (quantity), few	hɛt.31
13.18	enough	xia:n.24
13.181	some	mun.24
13.19	multitude, crowd	han.24
13.21	full	śin.32
13.22	empty	δak.55
13.23	part, piece	ha.53; ʔbun.24 ha.53
13.24	half	ta:k.55
13.33	alone, only	a.0 tɔt.55
13.34	first	u:n.53
13.35	last	a.0 ʔbɔt.55
13.36	second	ϑaɨ.32
13.37	pair	ma.0 am.24
13.38	two times	δut.55 δu.32
13.42	third	hun.24
13.44	three times	a.0 δu:n.53
14.11	time	hɛŋ.11; ku:i.31
14.12	age	a.0 ϑuə.24
14.13	new	a.0 ϑuə.24 ńu:m.32 ńu:m.32
14.14	young	ljeu.31
14.15	old	ma:i.24
14.16	early	śup.55
14.17	late	vu:k.55 la:n.33
14.18	now	a.0 δi.11
14.19	immediately	ka:n.24 hi.53
14.21	swift, fast, quick	ha.55 aŋ.24
14.22	slow	ńet.55
14.23	hasten, hurry	ɔŋ.31 e.0 ta.4
14.24	retard, delay	a.33 δɔŋ.33
14.25	begin, beginning	ŋau.11
14.252	last, endure	a.0 lɔ.11 han.11
14.26	end (temporal)	ʒak.55 fa.33
14.27	finish	cia:u.33 a:u.24
14.28	cease, stop	ka:n.11
14.29	ready	ʒak.55 ta.33; ta.24 śi.33 nu:m.33
14.31	always	ta:m.31 man.55
14.32	often	ma.0 la.33
14.33	sometimes	wai.11 śian.55
14.331	soon	le.31
14.332	long-time (for a)	śi.31 va:ŋ.24
14.34	never	cin.24
14.35	again	ʔde.24 ʒɨa.31; kɔn.31 ʒɨa.31
14.41	day	ʔde.24 ʒɨa.31
14.42	night	ʒa:ŋ.11
14.43	dawn	ŋa.55
14.44	morning	va:i.31
14.45	noon, midday	peŋ.31
14.451	afternoon	lɔk.55
14.46	evening	lɔk.55
14.47	today	lɔk.55
14.48	tomorrow	kwa:i.53
14.481	day-after-tomorrow	pa:u.24
14.49	yesterday	ʒu:m.31 ŋa.55
14.491	day-before-yesterday	ʒu:m.31 ʒa:k.55
14.51	hour	tha:n.33
14.53	clock, timepiece	kwa:i.32
14.61	week	e.0 uk.55
14.62	Sunday	nɨ.31
14.63	Monday	śin.55
14.64	Tuesday	ʔde.55
14.65	Wednesday	ʔde.55
14.66	Thursday	ϑi:ŋ.55
14.67	Friday	ʔdi.24 la:n.33
14.68	Saturday	ʔdu.24 lum.31
14.71	month	cu.33 ʒi.31
14.73	year	ʔbeŋ.24 ŋaɨ.31
14.74	winter	e.0 pa:k.31
14.75	spring	śɔ.11
14.76	summer	śɔ.11 śi.11
14.77	autumn	ϑɔn.24; ϑɔn.24 δi.33
14.78	season	śɔ.11 śən.33
15.21	smell (vb intrans)	la:u.55 ϑI.33
15.212	sniff	śɔ.11 śa:u.24
15.22	smell (vb trans)	nɛn.32
15.25	fragrant, good smelling	ʔdap.55
15.26	stinking, bad smelling	ϑaɨ.31
15.31	taste	na:n.31 ʔde.55
15.35	sweet	mi.11 mi.11
15.36	salty	khən.55 tin.24
15.37	bitter	hwa:i.11 ʒi.11
15.38	acid, sour	hwa:i.11 ʒi.11
15.39	brackish	ŋa:i.33
15.41	hear	na:n.31; khun.24 na:n.11(31)
15.42	listen	śim.33
15.44	sound, noise	taŋ.11
15.45	loud	ʒin.33 vei.24
15.46	quiet, silence	ʒu.31 kɔ.55
15.51	see	nau.31
15.52	look, look at	śɨ.31; peŋ.31
15.55	show	śɨ.31 na:i.31
15.56	shine	nɔ.55 ʔdu.24
15.57	bright	kɔ.33 nɔ.11(55)
15.61	color	kɔ.33 nɔ.11(55)
15.62	light (in color)	mɛ.33 nɛ.24
15.63	dark (in color)	ca:n.55 na.33 ve.24
15.64	white	kan.55 nɛ.33 ke.24
15.65	black	va:i.33 nɔ.33 ke.24
15.66	red	va:i.33 nɔ.33
15.67	blue	vai.11 ma.0 nɛ.24
15.68	green	he.55 ni.33
15.69	yellow	ta.31 ni.33
15.71	touch	ńa.33; ta.31 ńa.33
15.712	pinch	ta.31 ńa.33
15.72	feel	hiŋ.24
15.74	hard	cha:ŋ.24
15.75	soft	kɔ.33
15.76	rough	hjeu.31
15.77	smooth	tiŋ.31 ta.0 δa.33; śɛn.55 śɛn.55 ʔde.24
15.78	sharp	ʔdu.24 śeu.24
15.79	blunt, dull	hat.55 ma.31
15.81	heavy	kɔ.32; na:ŋ.31 ŋɔŋ.24
15.82	light (in weight)	kɔn.33 ʔba.32
15.83	wet, damp	kɔn.32
15.84	dry	lim.53 ku.24 ϑɨ.24
15.85	hot	ʔbat.55 śɨ.24
15.851	warm	ʔdam.24 ʔde.24
15.86	cold	śi.31 ve.33; ta.0 δi.33
15.87	clean	miŋ.33
15.88	dirty, soiled	śa:m.32
15.89	wrinkled	tu.11 fu.11
16.11	soul, spirit	chən.11 ʒən.24
16.15	surprised, astonished	tin.33 na:i.31
16.18	good fortune, luck	śiŋ.32
16.19	misfortune, bad luck	ta.55 ʒin.55
16.23	joyful, glad, happy	na:k.53 ʔdu.24 na:i.31
16.25	laugh	la:i.31
16.251	smile	hjeu.31
16.26	play	ʔde.24 ʔdu.24
16.27	love	vai.33 śɛ.31
16.29	kiss	δa:i.11
16.3	embrace	ta:m.11
16.31	pain	ϑa.33
16.32	grief, sorrow, sadness	pit.55
16.33	anxiety, worry	ta.0 δi.33
16.34	regret, be sorry	ma.0 luə.11
16.35	pity	lɔŋ.33
16.37	cry, weep	ha:u.55
16.38	tear (noun)	kɔ.11 cia.33
16.39	groan	ta.31 fɨ:y.24 ϑa.24; lɔŋ.11 can.11
16.41	hate	ha.24 ʔdɔn.55
16.42	anger	ka:i.24 śian.24
16.44	envy, jealousy	puə.0 cɔk.31
16.45	shame (noun)	pu.55 tuə.31
16.48	proud	lam.33 śuŋ.31
16.51	dare	pu.55 vɔŋ.11
16.52	brave	pu.0 lu:k.55
16.53	fear, fright	puɔ.0 hoi.55
16.54	danger	puə.0 hoi.55
16.62	desire, want	ta.0 ŋu:i.33
16.622	choose	vai.24 ci.55
16.63	hope	lu:k.55 hɛn.11
16.65	faithful	ta.24 ś.33 ma:n.33
16.66	true	pu.0 hjɛk.55
16.67	lie, tell lies	pu.0 lu:k.55
16.68	deceit	pa:ŋ.24
16.69	forgive	ta:ŋ.32
16.71	good	ʔdu.24 ʔdiə.24
16.72	bad	ńen.55 la:n.33
16.73	right, correct	la:ŋ.24 ma.0 śe.33
16.74	wrong	tup.55 la:n.33
16.76	fault	pu.24 tui.24
16.77	mistake, error	ma.0 iŋ.24 piŋ.24
16.78	blame	hɔt.31 ton.11
16.79	praise	pa.33 a:n.24
16.81	beautiful	ta:n.24 kuŋ.33
16.82	ugly	koŋ.32
16.83	greedy	nuk.55
16.84	clever	śuŋ.55
17.11	mind	to.55 hiŋ.33
17.13	think (= reflect)	sI.11 pa:i.24
17.14	think (= be of the opinion)	kuŋ.33
17.15	believe	he.24
17.16	understand	ϑut.55 ta:u.31
17.17	know	thau.11 śia:ŋ.11
17.171	guess	ma:i.11 fu.11
17.172	imitate	puə.0 na:k.31 pja.24
17.18	seem	na:k.31 pja.24
17.19	idea, notion	iu.31 pja.24
17.21	wise	śa:k.31 ϑet.55
17.22	foolish, stupid	va:ŋ.31 pja.24
17.23	insane, crazy	ʔdu.24 ϑau.53
17.24	learn	ma.0 iŋ.24 du.24 ϑau.53
17.242	study	ŋiŋ.33
17.25	teach	pjat.55
17.26	pupil	ha:i.24 ʔbuŋ.55
17.27	teacher	ka:u.55
17.28	school	pu.11 lɔk.55
17.31	remember	fa.11 khu:n.53
17.32	forget	lɔŋ.11 la:u.33
17.34	clear, plain	pja:ŋ.53
17.35	obscure	tut.55
17.36	secret	lu:m.31
17.37	sure, certain	ciŋ.11
17.38	explain	pu.33 lu:m.31
17.41	intention, purpose	ϑo.33 ta:m.24
17.42	cause	pa:i.55
17.43	doubt	miɛŋ.24 la:n.33
17.44	suspect	pu.55 mut.55
17.441	betray	pa:t.55 ϑi:n.24
17.45	need, necessity	ta.0 ma:ŋ.33
17.46	easy
17.47	difficult
17.48	try, attempt
17.49	way, manner
17.51	and
17.52	because
17.53	if
17.54	or
17.55	yes, affirmative
17.56	no, negative
17.61	how?
17.62	how many?
17.63	how much?
17.64	what?
17.65	when?
17.66	where?
17.67	which?
17.68	who?
17.69	why?
18.11	voice
18.12	sing
18.13	shout, cry out
18.15	whisper
18.16	mumble
18.17	whistle
18.18	shriek, screech
18.19	howl
18.21	speak, talk
18.211	stutter, stammer
18.22	say
18.221	tell story
18.222	speech (make a)
18.23	silent (be)
18.24	language
18.26	word
18.28	name
18.31	ask (question, inquire)
18.32	answer
18.33	admit, confess
18.34	deny
18.35	ask, request
18.36	promise
18.37	refuse
18.38	forbid
18.39	rebuke, scold
18.41	call (=summon)
18.42	call (=name)
18.43	announce
18.44	threaten
18.45	boast
18.51	write
18.52	read
18.56	paper
18.57	pen
18.61	book
18.67	poet
18.71	flute
18.72	drum
18.73	horn, trumpet
18.74	rattle
19.11	country
19.12	one's native country
19.15	city, town
19.16	village
19.17	boundary
19.21	people (populace)
19.23	tribe, clan
19.24	chief, chieftain
19.25	staff, walking stick
19.31	rule, govern
19.32	king, ruler
19.33	queen
19.36	noble, nobleman
19.37	citizen, subject
19.41	master
19.42	slave
19.43	servant
19.44	freeman
19.45	command, order
19.46	obey
19.47	let, permit
19.51	friend, companion
19.52	enemy
19.54	neighbor
19.55	stranger
19.56	guest
19.57	host
19.58	help, aid
19.59	hinder, prevent
19.61	custom
19.62	strife, quarrel
19.63	conspiracy, plot
19.65	meet
19.72	prostitute
20.11	fight (vb)
20.13	war, battle
20.14	peace
20.15	army
20.17	soldier
20.21	weapons, arms
20.22	club
20.222	battle-ax
20.23	sling
20.24	bow
20.25	arrow
20.26	spear
20.27	sword
20.28	gun, cannon
20.31	armor (defensive)
20.33	helmet
20.34	shield
20.35	fortress
20.36	tower
20.41	victory
20.42	defeat
20.43	attack
20.44	defend
20.45	retreat
20.46	surrender
20.47	captive, prisoner
20.471	guard, sentinel
20.48	booty, spoils
20.49	ambush
20.51	fisherman
20.52	fishhook
20.53	fishing line
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
