entry_id	trans_english	Southern_Tai_of_Songkhla_Phonemic
9.43	carpenter	la:k.4
9.44	build	tɔ:.2 ma:j.7
9.46	bore	ka:n.6
9.461	hollow out	haj.2 ma:j.7
9.48	saw	na:m.1
9.49	hammer	dɔ:k.4 ma:j.7
9.5	nail	tɔn.6 ma:j.7
9.56	glue	tɔn.6 ʔo:k.8
9.6	smith, blacksmith	tɔn.6 ma:j.7 cha.3 nit.4 nɨŋ.3
9.61	forge	tɔn.6 bə:t.8
9.62	anvil	ma:j.7 son.1
9.63	cast (metals)	tɔn.6 son.1
9.64	gold	phon.1 tɔn.6 ʔo:k.8
9.65	silver	thaw.1 ɛa ŋun.4
9.66	copper, bronze	baj.2 ja:.2 su:p.8
9.67	iron	su:p.8 ja:.2; ja:.2 su:p.8
9.68	lead (noun)	kɔŋ.6 ja:.2 su:p.8
9.69	tin, tinplate	ma:k.8; baj.2 phlu:.3
9.71	potter	tɔ:.2 ma:j.7
9.72	mold (clay etc)	kiŋ.3 ma:j.7
9.73	clay	ka:n.6
9.74	glass	pɨak.4 ma:j.7
9.75	weave, plait	ja:ŋ.2
9.76	basket	ton.6 pa:m.2
9.77	mat	lu:k.4 phla:w.7
9.771	rug	sɔm.5 lu:k.4 na:w.3
9.78	netbag	lu:k.4 muaŋ.4
9.79	fan (noun)	ton.6 kluaj.6
9.791	fan (vb)	kluaj.6
9.81	carve	tɔn.5 saj.3
9.82	sculptor	lu:k.4 kha:m.1
9.83	statue	lu:k.4 lɔ:.7 kɔ:.2
9.84	chisel	chom.7 phu:.4
9.88	paint (noun)	tɔn.5 phu:.4
9.89	paint (vb)	hua.1 man.3
10.11	move	man.3 the:t.4
10.12	turn over	phɨak.8
10.13	turn around	man.3 sam.1 pa.3 laŋ.1
10.14	wind, wrap	buap.4
10.15	roll	fak.4 thɔ:ŋ.3
10.16	drop (vb)	wa:j.1
10.17	twist	nɔ:.3 ma:j.7
10.21	rise	phaj.1
10.22	raise, lift	ʔɔ:j.6
10.23	fall	phɨ:t.4 thi:.3 mi:.3 khon.1 khan.3
10.24	drip	het.8 hɛt.8
10.25	throw	tham.3
10.252	catch (ball)	tham.3 ŋa:n.3
10.26	shake	kho:ŋ.4
10.32	flow	thɔp.4
10.33	sink	mat.4
10.34	float	kɛ:.6 mat.4
10.35	swim	so:.3
10.351	dive	chɨak.4
10.352	splash	ŋɨan.4
10.36	sail (vb)	huat.8; huat.8; thup.4; jan.3
10.37	fly (vb)	chɔk.4
10.38	blow	tat.4
10.41	creep, crawl	kho:n.4
10.412	kneel	pha:.1
10.413	crouch	thɛ:ŋ.3; thim.3
10.42	slide, slip	mi:t.4
10.43	jump, leap	ta.7 kraj.2 klaj.2
10.431	kick	khwa:n.1
10.44	dance	khwa:n.1
10.45	walk	tɛ:k.8
10.451	limp	phaŋ.3
10.46	run	jɛ:k.4
10.47	go	chi:k.8
10.471	go up	lɔ:k.4 naŋ.1
10.472	climb	khat.8; thu:.1
10.473	go down	chɛt.4
10.474	go out	jɨt
10.48	come	dɨŋ.2; thɔk.4
10.481	come back	luaŋ.4 (9?)
10.49	go away, depart	phɛ:.1
10.491	disappear	khwɛ:n.1
10.51	flee	kɔt.4
10.52	follow	bit.8
10.53	pursue	lin.3
10.55	reach, arrive	la:ŋ.7
10.56	approach	kwa:t.4
10.57	enter	ma:j.7 kwa:t.4
10.61	carry (bear)	kh(l)ɨaŋ.4 mɨ:.3
10.612	carry-in-hand	cha:ŋ.4 ma:j.7
10.613	carry-on-shoulder	sa:ŋ.5
10.614	carry-on-head	cɔʔ.4; chaj.3
10.615	carry-underarm	khwa:n.4
10.62	bring	lɨaj.4
10.63	send	khɔ:n.7
10.64	lead (vb)	ta.2 pu:.2
10.65	drive	ka:u.2
10.66	ride	cha:ŋ.4 ti:.2 lek.8
10.67	push, shove	ti:.2 lɛk.8
10.71	road	thaŋ.4 ti:.2 lek.8
10.72	path	phim.3
10.74	bridge	thɔ:ŋ.3 kham.3
10.75	carriage, wagon, cart	ŋan.3
10.76	wheel	thɔ:ŋ.3 dɛ:ŋ.2; thɔ:ŋ.3 lɨaŋ.1
10.77	axle	lɛk.8
10.78	yoke	ta.3 kua.2
10.81	ship	di:.2 buk.8
10.83	boat	khlɨaŋ.4 din.3 phaw.1
10.831	canoe	bɛ:p.9
10.832	outrigger	din.2 niaw.1
10.84	raft	cɔk.9
10.85	oar	thɔ:.3
10.851	paddle (noun)	cha.4
10.852	row (vb)	dɔŋ.6
10.86	rudder	sa:t.8
10.87	mast	pha:.5 hom.1 phlom.3
10.88	sail (noun)	sɔ:p.4
10.89	anchor	phat.4
10.91	harbor, port	wi:.3
10.92	land (vb)	sa.3 lak.8
11.11	have	pa.3 ti.3 ma:.3 kam.2
11.12	own, possess	lu:p.4 pan.6
11.13	take	siw.1
11.14	seize, grasp	si:.1
11.15	hold	tha:.3 si:.1
11.16	get, obtain	khɨan.4 waj.1
11.17	keep, retain	khwam.5
11.18	thing	mun.1
11.21	give	hɔ:.1
11.22	give back	muan.7
11.24	preserve, look after	tɔk.4; lən.1
11.25	save, rescue	khwan.4; bit.4
11.27	destroy	khɨn.5
11.28	harm, injure, damage	jɔk.4
11.31	seek, look for	lən.1
11.32	find	jɔj.7
11.33	lose	sat.4
11.34	release, let go	sat.4
11.43	money	cap.9
11.44	coin	kha.3 jaw.1
11.51	rich	laj.1
11.52	poor	com.1
11.53	beggar	ʔna:m.7 thuam.5
11.54	avaricious, stingy	lɔ:j.3
11.61	lend	wa:j.5 na:m.7
11.62	borrow	dam.2 na:m.7
11.63	owe	ka.3 se:n.3
11.64	debt	łɛn.4 lɨa.3; che:.7 lɨa.3
11.65	pay (vb)	bin.2
11.66	account, reckoning	paw.2
11.69	tax, tribute	kha:n.3
11.77	hire	khuk.4 khaw.1
11.78	wages	mɔ:p.8
11.79	earn	lɨ:n.4
11.81	buy	do:t.9
11.82	sell	thi:p.8
11.83	trade, barter	tɛn.6 lam.3
11.84	merchant	də:n.3
11.85	market (place)	jo:k.9 je:k.9
11.86	store, shop	wiŋ.4
11.87	price	paj.2
11.88	dear (costly, expensive)	khɨn.4 bon.2
11.89	cheap	pi:n.2
11.91	share (distribute)	loŋ.4 la:ŋ.4
11.92	weigh	ʔɔ:k.4 paj.2
12.1	after	jiap.9
12.11	behind	ma:.3
12.2	beside	klɔp.6 ma:.3; lɔp.8
12.3	down, below	ʔɔ:k.4 də:n.3 tha:ŋ c̣ħēc̣
12.4	before	ha:j.1
12.41	front	ŋɨ:.1
12.5	inside, in	ta:m.1
12.6	outside	tit.4 ta:m.3; jik.4 ta:m.2
12.7	under	ma:.3 thɨŋ.1
12.8	up, above	kha:w.5 khɛ:.3
12.11	place	kha:w.5
12.12	put	thɔ:ŋ.7; bɛ:k.9
12.13	sit	thɨ:.1; hiw.5
12.14	lie down	bɛ:k.9; ha:m.1
12.15	stand	thu:n.3
12.16	remain, stay	hi:p.8
12.17	remains, left overs	bɛ:k.9
12.21	collect, gather	khwɛ:n.1
12.212	pick up	nam.3 ma:.3
12.213	pile up	soŋ.1
12.22	join, unite	nam.3
12.23	separate	khe:.1
12.232	divide	khe:.1
12.24	open	dan.2
12.25	shut, close	non.1
12.26	cover	tha:ŋ.3 də:n.3
12.27	hide, conceal	sa.3 pha:n.3
12.31	high	kwian.2
12.32	low	lɔ:.4
12.33	top	kɛ:n.2
12.34	bottom	ʔɛ:k.9
12.35	end	lɨa.3 tha.3 le:.3
12.352	pointed	lɨa.3
12.353	edge	lɨa. bɔt.4
12.36	side	thun.4
12.37	middle, center	phɛ:.3
12.41	right (side)	pha:j.3
12.42	left (side)	baj.2 pha:j
12.43	near (adv)	pha:j
12.44	far (adv)	ha:ŋ.1 sɨa.1
12.45	east	do:ŋ.2 lɨa.3
12.46	west	baj.2 lɨa.3
12.47	north	sa.3 mɔ:.1 lɨa.3
12.48	south	tha:.4 lɨa.3
12.53	grow	khɨn.5 bɔk.9
12.54	measure	jaŋ.3
12.541	span, fathom	jaŋ.3
12.55	large, big	ʔaw.2
12.56	small, little	jɨt.4
12.57	long	hiw.5; kam.2
12.58	tall	ʔom.2
12.59	short	lap.4
12.61	wide, broad	siŋ.5 khɔ:ŋ.1
12.62	narrow	ha:j.5
12.63	thick (in dimension)	khɨ:n.3
12.65	thin (in dimension)	du:.2 lɛ:.3
12.67	deep	chuaj.4 lɨa.1
12.68	shallow	tham.3 la:j.3
12.71	flat	ba:t.4 cɛp.9
12.73	straight	khɔn.5 ha:.1
12.74	crooked	phɔp.9
12.75	hook	su:n.1
12.76	corner	plɔ:j.2
12.77	cross	bia.2
12.78	square	ta:ŋ.2
12.81	round	ruaj.3
12.82	circle	con.2
12.83	sphere, ball	khɔ:.1 tha:n.1
12.84	line	khi:.5 chit.4
12.85	hole	ha:j.5 jɨ:m.3
12.92	like, similar	khɔ:.1 jɨ:m.3; ku:.6
12.93	change	pen.2 ni:.5
13.0	zero, nothing	kha:.5 tit.8
13.1	one	ca:j.2
13.2	two	ban.2 chi:.3
13.3	three	pha:.3 si:.1
13.4	four	ca:ŋ.6
13.5	five	ŋən.3 dɨan.2
13.6	six	ŋən.3 dɨan.2
13.7	seven	sɨ:.7
13.8	eight	kha:j.1
13.9	nine	ka:n.2 kha:.4
13.10	ten	phɔ:.4 kha:.4
13.101	eleven	la:t.8
13.102	twelve	la:n.3 kha:.6
13.103	fifteen	la:.3 kha:.3
13.104	twenty	phɛ:ŋ.3
13.105	hundred	tho:k.8
13.106	thousand	hun.5
13.107	count	chaŋ.4
13.14	every, all	laŋ.1
13.15	much, many	kha:ŋ.5 laŋ.1
13.16	more	kha:ŋ.5 kha:ŋ.5
13.17	little (quantity), few	kha:ŋ.5 la:ŋ.4
13.18	enough	kɔ:n.2
13.181	some	na:.6
13.19	multitude, crowd	naj.2
13.21	full	kha:ŋ.5 nɔ:k.4
13.22	empty	kha:ŋ.5 ta:j.6
13.23	part, piece	kha:ŋ.5 bon.2
13.24	half	tha:n.1 thi:.4
13.33	alone, only	wa:ŋ.3
13.34	first	naŋ.4
13.35	last	nɔ:n.3
13.36	second	jɨ:n.9
13.37	pair	jaŋ.3 ju:.2
13.38	two times	tha:.9
13.42	third	khɔ:ŋ.1 lɨa.1
13.44	three times	sa.1 som.1
14.11	time	kɛp.9
14.12	age	thap.4
14.13	new	chɨam.4
14.14	young	jɛ:k.4
14.15	old	bɛ:ŋ.2
14.16	early	pə:t.9
14.17	late	pə:t.9 ta:.2; mlə:n.4 ta:.2
14.18	now	jap.4
14.19	immediately	lap.8 ta:.2
14.21	swift, fast, quick	khlum.3
14.22	slow	lak.4 ʔɛ:p.4; lak.4 jɔp.8
14.23	hasten, hurry	su:ŋ.1
14.24	retard, delay	tam.2
14.25	begin, beginning	jɔ:t.4
14.252	last, endure	kha:ŋ.5 la:ŋ.4
14.26	end (temporal)	cɔp.9; tha:j.6
14.27	finish	lɛ:m.1
14.28	cease, stop	khɔ:p.8
14.29	ready	kha:ŋ.5
14.31	always	kla:ŋ.2
14.32	often	wa:ŋ.1
14.33	sometimes	khwa:.1
14.331	soon	sa:j.7
14.332	long-time (for a)	khɛ:.4; klaj.2
14.34	never	tha:.4 hua.1 nɔ:n.3
14.35	again	tha:.4 pla:j.2 ti:n.2
14.41	day	nɨa.1
14.42	night	ta:j.6
14.43	dawn	tə:p.9
14.44	morning	ma:t.4 wat.4
14.45	noon, midday	chuaŋ.4
14.451	afternoon	tə:p.9
14.46	evening	hi:t.8; ren.8; huj.8; tɛt.8
14.47	today	ja:w.3
14.48	tomorrow	su:ŋ.1
14.481	day-after-tomorrow	tun.3
14.49	yesterday	kwa:ŋ.6
14.491	day-before-yesterday	khɛ:p.4
14.51	hour	na:.1
14.53	clock, timepiece	khɔn.5
14.61	week	ba:ŋ.2
14.62	Sunday	lɨk.4
14.63	Monday	tɨ:n.6
14.64	Tuesday	bɛ:n.2
14.65	Wednesday	troŋ.2
14.66	Thursday	ŋɔ:.3
14.67	Friday	khɔ:.1
14.68	Saturday	mum.3
14.71	month	ka:.3 kə.3 ba:t.4
14.73	year	si:.1 liam.1
14.74	winter	klom.2
14.75	spring	woŋ.3 klom.2
14.76	summer	lu:k.4 bɔ:n.2
14.77	autumn	sɛn.5
14.78	season	phro:ŋ.3 phlo:ŋ.3
15.21	smell (vb intrans)	khla:j.3
15.212	sniff	plian.2
15.22	smell (vb trans)	ha:.1 ma:j.3 su:n.1
15.25	fragrant, good smelling	nɨŋ.1
15.26	stinking, bad smelling	sɔ:ŋ.1
15.31	taste	sa:m.1
15.35	sweet	si:.1
15.36	salty	ha:.5
15.37	bitter	hɔk.8
15.38	acid, sour	cɛt.9
15.39	brackish	pɛ:t.9
15.41	hear	ka:w.6
15.42	listen	sip.8
15.44	sound, noise	sip.8 ʔɛt.9
15.45	loud	sip.1 sɔ:ŋ.1
15.46	quiet, silence	sip.1 ha:.5
15.51	see	ji:.4 sip.8
15.52	look, look at	lɔ:j.7
15.55	show	phan.3
15.56	shine	nap.4
15.57	bright	thaŋ.4 phe:.3
15.61	color	luj.3
15.62	light (in color)	ma:k.4 kwa:.1
15.63	dark (in color)	hi:t.8 hɨt.8; huj.8 huj.8
15.64	white	phɔ:.3
15.65	black	ba:ŋ.6
15.66	red	fu:ŋ.1
15.67	blue	tem.2
15.68	green	ʔim.2
15.69	yellow	wa:ŋ.3
15.71	touch	suan.1
15.712	pinch	khlɨŋ.4
15.72	feel	duaw.2
15.74	hard	lɛ:k.4
15.75	soft	sut.8 tha:j.7
15.76	rough	ʔan.2 dap.9 thi:.4 sɔ:ŋ.1
15.77	smooth	kho:.4
15.78	sharp	sɔ:ŋ.1 hon.1
15.79	blunt, dull	ʔan.2 dap.9 thi:.4 sa:m.1
15.81	heavy	sa:m.1 hon.1
15.82	light (in weight)	hon.1
15.83	wet, damp	ʔa:.3 ju.4
15.84	dry	maj.1
15.85	hot	dɛk.9
15.851	warm	kaw.2
15.86	cold	kɛ:.2
15.87	clean	ŋɔ:k.8 hɔ:k.8
15.88	dirty, soiled	hua.1 cha:w.4
15.89	wrinkled	sa:j.1
16.11	soul, spirit	tɔ:n.2 ni:.3
16.15	surprised, astonished	than.3 thi:.3
16.18	good fortune, luck	khɛ:t.9
16.19	misfortune, bad luck	chɛ:.3
16.23	joyful, glad, happy	khɛ:p.8
16.25	laugh	chɛ:.3
16.251	smile	lə:m.4
16.26	play	thon.3
16.27	love	cɔp.9
16.29	kiss	sɛt.8
16.3	embrace	jut.9
16.31	pain	phlɔ:m.7
16.32	grief, sorrow, sadness	mə:.1; jo.8
16.33	anxiety, worry	bɔ:j.2
16.34	regret, be sorry	ba:ŋ.2 thi:.3
16.35	pity	khɛ:.3 khɛ:.3
16.37	cry, weep	na:n.3
16.38	tear (noun)	maj.3; hɔ:n.1
16.39	groan	ʔi:k.9 hon.1
16.41	hate	wan.3
16.42	anger	kla:ŋ.2 khɨ:n.3
16.44	envy, jealousy	hua.1 luŋ.4
16.45	shame (noun)	hua.1 cha:w.4
16.48	proud	wan.3 thiaŋ.4
16.51	dare	ka:ŋ.2 wan.3; wan.3 cha:j.4
16.52	brave	wan.3 jen.3
16.53	fear, fright	wan.3 ni:.3
16.54	danger	tɔ:.2 phlo:k.4
16.62	desire, want	tɔ:.2 rɨ:.3
16.622	choose	lɛ:k.4 wa:.3
16.63	hope	lɛ:k.4 wa:.3 sɨ:.3
16.65	faithful	chua.3 mo:ŋ.3
16.66	true	na:.3 ka:.2
16.67	lie, tell lies	sap.8 da:.2
16.68	deceit	wan.3 ʔa:.2 thit.4
16.69	forgive	wan.3 can.2
16.71	good	wan.3 ʔaŋ kha:ŋ.3
16.72	bad	wan.3 phut.4
16.73	right, correct	wan.3 hat.8
16.74	wrong	wan suk.8
16.76	fault	wan saw.1
16.77	mistake, error	dɨan.2
16.78	blame	pi:.2
16.79	praise	du:.2 na:w.2
16.81	beautiful	du:.2 baj.2 ma:j.7 phli.8
16.82	ugly	du:.2 lɔ:n.3
16.83	greedy	du:.2 baj.2 ma:j.7 ruaŋ.4
16.84	clever	du:.2 lɛ:ŋ.3
17.11	mind	du:.2 fon.1
17.13	think (= reflect)	du:.2
17.14	think (= be of the opinion)	da:j.2 klin.2
17.15	believe	da:j.2 klin.2
17.16	understand	dom.2
17.17	know	klin.2; klin.4 hɔ:m.1
17.171	guess	mɨn.1
17.172	imitate	rɔt.4 cha:t.4
17.18	seem	cɨ:t.4
17.19	idea, notion	wa:n.1
17.21	wise	khem.3
17.22	foolish, stupid	khom.1
17.23	insane, crazy	piaw.3
17.24	learn	klɔ:j.2
17.242	study	da:j.6 jin.3
17.25	teach	faŋ.3
17.26	pupil	siaŋ.1
17.27	teacher	siaŋ.1 daŋ.2
17.28	school	ŋiap.4
17.31	remember	hen.1
17.32	forget	lɛ:.3
17.34	clear, plain	sa.3 dɛ:ŋ.2
17.35	obscure	sɛ:ŋ.1; dɛ:t.4 sɔŋ.1
17.36	secret	wa:ŋ.8
17.37	sure, certain	si:.1
17.38	explain	si:.1 ʔɔ:n.2
17.41	intention, purpose	si:.1 khɛm.5
17.42	cause	si:.1 kha:w.1
17.43	doubt	si:.1 dam.2
17.44	suspect	si:.1 dɛ:ŋ.2
17.441	betray	si:.1 fa:.4
17.45	need, necessity	si:.1 khiaw.1
17.46	easy	si:.1 lɨaŋ.1
17.47	difficult	sam.5 phat.8
17.48	try, attempt	hi:p.8; juk.4; mɛt.4
17.49	way, manner	lu:.7 sɨk.8
17.51	and	khɛ:ŋ.1
17.52	because	nuan.3
17.53	if	ʔɔ:n.1
17.54	or	ja:p.8
17.55	yes, affirmative	liap.4
17.56	no, negative	khom.3
17.61	how?	thu:.4
17.62	how many?	nak.8
17.63	how much?	baw.2
17.64	what?	piak.9
17.65	when?	hɛ:ŋ.5; hɛ:ŋ.5 lɛ:ŋ.7
17.66	where?	ta:k.9
17.67	which?	rɔ:n.7
17.68	who?	ʔun.2
17.69	why?	jen.3; sa.3 ʔa:t.9
18.11	voice	sok.8 mɔk.4
18.12	sing	jap.4
18.13	shout, cry out	win.3 ja:n.3
18.15	whisper	tɔk.4 caj.2; pɛk.4 caj.2
18.16	mumble	cho:k.4 di:.2
18.17	whistle	cho:k.4 la:j.4
18.18	shriek, screech	di:.2 caj.2
18.19	howl	hua.1 lɔ.4
18.21	speak, talk	jim.4
18.211	stutter, stammer	lɛn.3
18.22	say	lak.9
18.221	tell story	cu:p.9
18.222	speech (make a)	kɔ:t.9
18.23	silent (be)	cɛp.9
18.24	language	sa:w.3
18.26	word	kaŋ.2 won.3; thuj.4 cho:.1
18.28	name	sia.1 caj.2
18.31	ask (question, inquire)	na:.3 hen.1 du:.2
18.32	answer	bɔ:ŋ.4 ha:j.5
18.33	admit, confess	na:m.7 ta:.2
18.34	deny	khla:ŋ.3
18.35	ask, request	kiat.9
18.36	promise	mo:.3 ho:.1
18.37	refuse	hɨŋ.1 sa:.1
18.38	forbid	ʔa:j.2
18.39	rebuke, scold	phu:m.3 caj.2
18.41	call (=summon)	kla:.6
18.42	call (=name)	khə:n.1
18.43	announce	ha:n.1
18.44	threaten	kua.2
18.45	boast	ʔan.3 ta.3 la:j.3
18.51	write	tɔŋ.6 ka:n.2; ja:k.9
18.52	read	lɨak.4
18.56	paper	waŋ.1
18.57	pen	sɨ:.4 sat.8
18.61	book	ciŋ.2
18.67	poet	khi:.5 hɔk.8
18.71	flute	khi:.5 chɔ:.3
18.72	drum	jɔk.9 tho:t.4
18.73	horn, trumpet	di:.2
18.74	rattle	le:w.3
19.11	country	tho:k.8
19.12	one's native country	phit.8
19.15	city, town	phit.8 phla:t.4
19.16	village	khɔ:.5 phit.8 phla:t.4
19.17	boundary	tam.2 ni.8
19.21	people (populace)	jɔk.8 jɔ:ŋ.3
19.23	tribe, clan	suaj.1
19.24	chief, chieftain	ŋo.1
19.25	staff, walking stick	mlo:p.4
19.31	rule, govern	cha.3 la:t.8
19.32	king, ruler	caj.2
19.33	queen	khit.4
19.36	noble, nobleman	khit.4
19.37	citizen, subject	chɨa.4
19.41	master	khaw.5 caj.2
19.42	slave	lu:.7 cak.9
19.43	servant	daw.2
19.44	freeman	lian.3 bɛ:p.9
19.45	command, order	lɛ:.3 mɨan.1
19.46	obey	khwa:m.3 khit.4
19.47	let, permit	cha.3 la:t.9
19.51	friend, companion	ŋo:.4
19.52	enemy	ba:.6
19.54	neighbor	lian.3 lu:.4
19.55	stranger	lian.3
19.56	guest	sɔ:n.1
19.57	host	nak.4 lian.3
19.58	help, aid	khu:.3
19.59	hinder, prevent	lo:ŋ.3 lian.3
19.61	custom	cam.2
19.62	strife, quarrel	lɨ:m.3
19.63	conspiracy, plot	chat.4 ce:n.2
19.65	meet	khum.3 khɨ:.3
19.72	prostitute	khwa:m.3 lap.4
20.11	fight (vb)	nɛ:.4 caj.2; man.1
20.13	war, battle	ʔa.3 thi.4 ba:j.2
20.14	peace	taŋ.6 caj.2
20.15	army	sa:.5 he:t.4
20.17	soldier	maj.7 nɛ:.4 caj.2
20.21	weapons, arms	soŋ.1 saj.1
20.22	club	hak.9 laŋ.1
20.222	battle-ax	tɔŋ.6 ka:n.2
20.23	sling	ŋa:j.4
20.24	bow	ja:k.4; jaŋ.3 ʔap.3 pa.3 sak.8
20.25	arrow	pha.4 ja:.4 ja:m.3
20.26	spear	wi.4 thi:.3
20.27	sword	lɛ.3
20.28	gun, cannon	phrɔ.4
20.31	armor (defensive)	tha:.5
20.33	helmet	lɨ:.1
20.34	shield	cha:j.4
20.35	fortress	ma:j.4
20.36	tower	phan.3 phlɨ:.4
20.41	victory	thaw.3 laj.3
20.42	defeat	laj.1
20.43	attack	tɔ:.2 daj.1
20.44	defend	thi:.4 naj.1
20.45	retreat	naj.1
20.46	surrender	ʔan.2 naj.1
20.47	captive, prisoner	khaj.3
20.471	guard, sentinel	hɛt.1 saŋ.3
20.48	booty, spoils	ni:.3
20.49	ambush	thi:.4 ni:.4
20.51	fisherman	nan.3
20.52	fishhook	thi:.4 nan.4
20.53	fishing line	siaŋ.1
20.54	fishnet	lo:ŋ.7 phle:ŋ.3
20.55	fish trap	phle:ŋ.3
20.56	bait	ta.3 ko:n.2
20.61	hunt	ka.3 sip.4
20.62	shoot	phɨm.3 pham.3
20.63	miss (target)	phiw.1 pa:k.9
20.64	trap (noun)	kri:t.9 lɔ:ŋ.4
20.65	trap (vb)	hɔ:n.1
21.11	law	lɛ:ŋ.1
21.15	court	tit.4 ʔa:ŋ.2
21.16	judge (vb)	lɛ:ŋ.1
21.17	judgment	la:w.4 lɨaŋ.4
21.18	judge (noun)	ban.2 ja:j.3
21.21	plaintiff	ŋiap.4
21.22	defendant	pha:.3 sa:.1
21.23	witness	kham.3
21.24	swear	chɨ:.4
21.25	oath	tha:m.1
21.31	accuse	tɔ:p.9
21.32	condemn	jɔ:m.3 lap.4
21.33	convict (vb)	maj.4 jɔ:m.3 lap.4
21.34	acquit	khɔ:.1 rɔ:ŋ.7
21.35	guilty	san.1 ja:.3
21.36	innocent	pa.3 ti.4 se:t.8
21.37	penalty, punishment	ha:m.5
21.38	fine	da:.6
21.39	prison, jail	liak.4
21.42	murder	liak.4
21.43	adultery	pa.3 ka:t.4
21.44	rape	khu:.1
21.46	arson	ʔo:.3 lɔt.9
21.47	perjury	khian.1
21.51	steal	ʔa:n.2
21.52	thief	ka.3 da:t.9
22.11	religion	pa:k.9 ka:.2
22.12	God	naŋ.1 sɨ:.1
22.13	temple, church	ka.3 wi:.3
22.14	altar	khluj.1
22.15	sacrifice, offering	kɔ:ŋ.2 klɔ:ŋ.2
22.16	worship	trɛ:.2 tlɛ:.2
22.17	pray	lua.3
22.18	priest	pa.3 the:t.4
22.19	holy, sacred	phum.3 lam.3 naw.3
22.22	preach	mɨaŋ.3
22.23	bless	mu:.6 ba:n.6
22.24	curse	khe:t.8 dɛ:n.2
22.26	fast (vb)	pa.3 cha:.3 chon.3
22.31	heaven	phaw.1 phan.3
22.32	hell	hua.1 na:.5
22.35	demon (evil spirit)	ma:j.7 tha:w.7
22.37	idol	khuap.7 khum.3
22.42	magic, witchcraft, sorcery	ka.3 sat.8
22.43	sorcerer, witch	pha.3 la:.3 chi.9 ni:.3
22.44	fairy, elf	khun.1 na:ŋ.3
22.45	ghost, phantom	pa.3 cha:.3 chon.3
22.47	omen, portent	ca:w.6 na:j.3
	tha:t.4
	khon.3 cha:j.4
	khon.3 phi.3 se:t.8
	kham.3 saŋ.1
	chɨa.4 faŋ.3
	ʔa.3 nu.4 ja:t.4
	phɨan.4
	sat.4 tu:.2
	phɨan.4 ba:n.6
	khon.3 pɛ:k.4 na:.5
	khɛ:k.8
	ca:w.6 ba:n.6; ca:w.6 ron.4
	chuaj.4 lɨa.1
	pɔŋ.6 kan.2
	pa.3 phe:.3 ni:.3
	lɔp.4
	phɛ:n.1 ka:n.6
	phɔp.4
	so:.1 phe:.3 ni:.3
	lɔp.4
	soŋ.1 khla:m.3
	san.1 ti.4 pha:p.4
	kɔ:ŋ.2 thap.4
	tha.3 ha:n.1
	ʔa:.2 wut.4
	ka.3 bɔ:ŋ.2
	khwa:n.1
	naŋ.1 sa.3 tik.8
	na:.5 ma:j.7
	tha.3 nu:.3
	hɔ:k.8
	da:p.9
	pɨ:n.2
	klɔ.9
	muak.4 lɛk.8
	lo:.4
	pɔ:m.6
	hɔ:.1 khɔ:j.3
	na.4
	lɔp.4 na.4
	co:m.2 ti:.2
	pɔŋ.6 kan.2
	thɔj.1
	jɔ:m.3 phɛ:.3
	nak.4 tho:t.4
	ja:m.3
	khɔ:ŋ.1 co:n.2
	dak.8 tham.3 la:j.3
	cha:w.3 pa.3 moŋ.3
	tɔk.4 pla:.2
	bɛt.9
	sa:j.1 bɛt.9
	hɛ:.1
	saj.3
	jɨa.1
	la:.4 sat.8
	na:j.3 phla:n.3
	jiŋ.3
	leŋ.3
	phla:t.4
	kap.4 dak.9
	wa:ŋ.3 kap.9 dak.9
	kɔt.4 ma:j.1
	sa:n.1
	tat.4 sin.1
	ka:n.2 tat.4 sin.1
	phu:.5 phi.8 pha:k.4 sa:.1
	co:t.4
	cam.2 lə:j.3
	pha.3 ja:n
	sa:.6 ba:n.2
	kham.3 sa:.1 ba:n.2
	saj.1 khwa:m.3
	pa.3 na:m
	tat.4 sin.1 wa:.4 tham phit.8
	tat.4 sin.1 phɔn.7 tho:t.4
	sam.1 nɨk.4 phit.8
	la:j.3 liaŋ.3 sa:.1
	ka:n.3 loŋ.4 tho:t.4
	kha:.4 prap.9
	khuk.4
	kha:t.4 ta.3 kam.2
	pen.2 chu:.3
	khom.1 khɨ:n.1
	lɔ:p.4 wa:ŋ.3 phlə:ŋ.3
	lɛ:ŋ.3 hɔk.8
	lak.4
	co:n.2
	kha.2 mo:j.3
	sa:t.4 sa.4 na:.1
	phla.4 ca:w.2
	bo:t.9; wat.4
	thɛ:n.3 bu:.2 cha:.3
	khlɨaŋ.4 wəj.1
	bu:.4 cha:.3
	suat.8 mon.3
	phla.4 soŋ.1
	sak.9 sit.8
	the:t.4
	ha:j.5 phɔ:n.3
	chɛ:ŋ.4
	ʔɔt.4 kha:w.5
	sa.3 wan.1
	na.3 rɔk.4
	phi:.1
	the:w.3 wa.3 lu:p.4
	kha:.3 tha:.1
	mɛ:.3 mɔt.9 mɔ:.1 phi:.1
	na:ŋ.3 ma:j.7; the:w.3 wa:.3 da:.2
	phi:.1; pi:.2 sa:t.8
	la:ŋ.3 saŋ.1 hɔ:n.1
