entry_id	trans_english	Albanian,_Tosk_Phonemic
8.13	garden	ba'štinə; kopšt; 'bahče
8.15	cultivate, till	lʸə'vron; lʸə'ron
8.16	fence	garð
8.17	ditch	hen'dek; kapt
8.21	plow	pu'non; lʸə'ron
8.212	furrow	'brazdə; trap; hu'li
8.22	dig	gər'mih; gər'mon
8.23	spade	belʸ; lʸo'patə
8.24	shovel	lʸo'patə; kʸü'rek
8.25	hoe	šat; kep
8.26	fork	sfurk; tər'furk
8.27	rake	gra'buyə; 'branə; raš'kʸelʸ
8.31	sow	mbyel
8.311	seed	'farə
8.32	mow, reap	kor̃; ko'sit
8.33	sickle, scythe	'drapər; 'kosə; har'kore
8.34	thresh	šin
8.35	threshing-floor	'lʸəmə
8.41	crop, harvest	bere'kʸet; 'bimə
8.42	grain (barley, oats etc)	'driθə
8.43	wheat	'grurə
8.44	barley	elʸb
8.45	rye	'θekər
8.46	oats	tər'šərə
8.47	maize, corn	'misər
8.48	rice	o'riz
8.51	grass	bar
8.52	hay	'sanə
8.53	plant (noun)	'bimə
8.531	plant (vb)	mbyel
8.54	root	'r̃əɲə
8.55	branch	'degə
8.56	leaf	'flʸetə; gʸeθ
8.57	flower	'lʸulʸe
8.6	tree	'pemə; dru
8.61	oak	dušk; lʸis
8.62	beech	ah
8.63	birch	məš'tekən
8.64	pine	'pišə
8.65	fir	breð
8.66	acorn	'ehul; 'lʸende
8.67	vine	gʸa'šore; 'dreðe; 'lʸoze; ðri
8.68	tobacco	du'han
8.69	smoke (tobacco)	pi du'han
8.691	pipe	füt
8.72	tree stump	kər'c̷u; c̷ung
8.73	tree trunk	trung; kurm; kʸü'tük
8.74	forked branch	ča'talə; ga'θep; bi'ɲore
8.75	bark	žarg; 'kore; 'blore; 'c̷ire
8.76	sap	'lʸimfə; uyθ
8.81	palm tree	'hurmə; fi'nik; 'palʸmə
8.82	coconut	ko'kos
8.83	citrus fruit	a'grume
8.84	banana tree	ba'nanə
8.85	banyan	
8.91	sweet potato	pa'tate e 'əmbəlʸ; ba'tate
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	su'sak; 'kungul
8.931	pumpkin, squash	'kungul
8.94	bamboo	bam'bu
8.941	sugar cane	kalamše'kʸer
8.96	fish poison (root)	
8.97	nettle	'hiθər
8.98	mushroom	kər'puðə
9.11	do, make	bən
9.12	work	pu'non
9.14	bend	ep; lʸa'kon
9.15	fold	'θüen; pa'lʸos
9.16	tie, bind	lʸið
9.161	untie	zgʸið; člʸið
9.18	chain	varg; vəng; zin'ǰir
9.19	rope, cord	lʸi'tar; ko'nop
9.192	knot (noun)	'nüyə; 'ǰungə; 'kotkə
9.21	strike (hit, beat)	r̃eh; go'det
9.211	pound with fist	
9.22	cut	pret
9.221	cut down	r̃ə'zon
9.222	chop, hew	
9.223	stab	θer
9.23	knife	'θikə
9.24	scissors, shears	gər'šerə
9.25	ax	sə'patə
9.251	adze	'θadər; skʸe'pər; 'teskə
9.26	break	priš
9.261	broken	i 'prišur
9.27	split	'čahet
9.28	tear	'škʸüen; čyer̃; škʸer̃
9.29	flay, skin	žveš
9.31	rub, wipe	fər'kon
9.32	stretch	ten'dos; ngreh; nden
9.33	pull	hekʸ
9.34	spread out	nden; štrin; čakə'r̃it
