entry_id	trans_english	Mapudungun_Phonemic
11.52	poor	čukum, [pofre]
11.53	beggar	ɲampiɲ-če; kuɲifalʸ
11.54	avaricious, stingy	afma
11.61	lend	arelɨ
11.62	borrow	aretu
11.63	owe	[defe]
11.64	debt	[defe]
11.65	pay (vb)	kulʸi
11.66	account, reckoning	rakin
11.69	tax, tribute	
11.77	hire	iɲkatu
11.78	wages	kulʸiɲ
11.79	earn	entu; [kana]
11.81	buy	ŋilʸa
11.82	sell	ulɨ; [fenθe]
11.83	trade, barter	ṭ͡ʀafkiɲ
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	tunte-falin
11.88	dear (costly, expensive)	rume-falin
11.89	cheap	naɣ-kɨle; [faratu]
11.91	share (distribute)	lʸauma; ṭ͡ʀafɨ
11.92	weigh	lem-lem-tu
12.1	after	rupan
12.11	behind	furitu
12.2	beside	ina; inaltu
12.3	down, below	minče; pɨlom; naɣeltu
12.4	before	une
12.41	front	puɲma
12.5	inside, in	ponwi; pu
12.6	outside	wekun
12.7	under	minče
12.8	up, above	wente
12.11	place	
12.12	put	tuku
12.13	sit	anɨ
12.14	lie down	kuθu; ṭ͡ʀana-kɨnu-wɨ
12.15	stand	wiṭ͡ʀa
12.16	remain, stay	fele; mɨle
12.17	remains, left overs	mɨle-we-lu; ečel; [sofra]lu
12.21	collect, gather	ṭ͡ʀawɨ-lɨ
12.212	pick up	nɨ; wiṭ͡ʀa-pɨramɨ
12.213	pile up	wirko-lɨ
12.22	join, unite	ṭ͡ʀawɨ-lɨ
12.23	separate	wiču-lɨ
12.232	divide	wiču-lɨ; kisu-ke-kɨnu
12.24	open	nɨla
12.25	shut, close	nɨrɨf-kɨnu
12.26	cover	taku
12.27	hide, conceal	elʸka-lɨ
12.31	high	wente; al̯ɨ-pɨra
12.32	low	piči-pɨra, piči-konɨ
12.33	top	θoy wente; wente mew
12.34	bottom	ponwi
12.35	end	fente-pun
12.352	pointed	yuŋe
12.353	edge	yuŋe-n; ɨpal
12.36	side	inal-pɨle; inal mew
12.37	middle, center	raŋiɲ
12.41	right (side)	man
12.42	left (side)	wele
12.43	near (adv)	pɨlʸe
12.44	far (adv)	kamapu
12.45	east	puel
12.46	west	konɨ-n an̯tɨ mapu
12.47	north	pikum
12.48	south	wilʸi-tu
12.53	grow	ṭ͡ʀemɨ
12.54	measure	tunte-puwɨ; [medi-medi]-tu
12.541	span, fathom	fente-tuwɨ; nɨfkɨ
12.55	large, big	fɨta
12.56	small, little	piči
12.57	long	al̯ɨ-amu-n
12.58	tall	fɨta-wiṭ͡ʀan; fɨta-pɨra
12.59	short	piči; piči pɨra
12.61	wide, broad	fɨta-rupa
12.62	narrow	piči-rupa
12.63	thick (in dimension)	fɨta-rume
12.65	thin (in dimension)	piči-rume
12.67	deep	al̯ɨ-kon
12.68	shallow	piči-kon
12.71	flat	laf
12.73	straight	ɨnkɨ
12.74	crooked	ṭ͡ʀokɨf
12.75	hook	ŋɨθe-ŋɨθe-we
12.76	corner	ŋaɲun
12.77	cross	[krus]
12.78	square	
12.81	round	čɨnkɨθ; moŋkol
12.82	circle	čɨnkɨθ
12.83	sphere, ball	pilʸma; [pelota]
12.84	line	inal; wirin
12.85	hole	lolo
12.92	like, similar	fey-reke
12.93	change	welu-lɨ
13.0	zero, nothing	čem-nu-rume
13.1	one	kiɲe
13.2	two	epu
13.3	three	kɨla
13.4	four	meli
13.5	five	keču
13.6	six	kayu
13.7	seven	reɣle
13.8	eight	pura
13.9	nine	aylʸa
13.10	ten	mari
13.101	eleven	mari kiɲe
13.102	twelve	mari epu
13.103	fifteen	mari keču
13.104	twenty	epu mari
13.105	hundred	kiɲe pataka
13.106	thousand	kiɲe waraŋka
13.107	count	raki
13.14	every, all	kom
13.15	much, many	rume; fenṭ͡ʀen
13.16	more	θoy
13.17	little (quantity), few	piči
13.18	enough	feyi
13.181	some	kiɲe-ke
13.19	multitude, crowd	ṭ͡ʀawɨn-če; kečan-če
13.21	full	apo
13.22	empty	re-; welʸi-n
13.23	part, piece	kiɲe wif
13.24	half	raŋiɲ
13.33	alone, only	kisu; fey-mɨten
13.34	first	une
13.35	last	rɨf-inan
13.36	second	epu-inaw
13.37	pair	epu; mɨr
13.38	two times	epu rupači
13.42	third	kɨla inaw
13.44	three times	kɨla-rupači
14.11	time	an̯tɨ
14.12	age	tunte-ṭ͡ʀem
14.13	new	we
14.14	young	we-če; ɨlča
14.15	old	fɨča; kuse
14.16	early	puliwen; ṭ͡ʀipan an̯tɨ
14.17	late	alɨn̯ an̯tɨ; rupan an̯tɨ
14.18	now	fewla
14.19	immediately	fewla pɨrɨm
14.21	swift, fast, quick	matu
14.22	slow	elʸa ɲoči
14.23	hasten, hurry	matu-ke-lɨ
14.24	retard, delay	ina-nɨ-nie
14.25	begin, beginning	konɨ
14.252	last, endure	tunte-ɲma
14.26	end (temporal)	fente-ɲma; fente-puwɨ-n
14.27	finish	θewma; puwɨ-lɨ
14.28	cease, stop	fente-kɨnu
14.29	ready	eluw-kɨle
14.31	always	filʸ-an̯tɨ; rumel
14.32	often	mɨčayke
14.33	sometimes	kiɲe-ke-mew
14.331	soon	pɨrɨm
14.332	long-time (for a)	al̯ɨn̯-tu
14.34	never	čumkaw-nu-rume
14.35	again	ka
14.41	day	an̯tɨ
14.42	night	pun̯
14.43	dawn	kurɨ-wɨn̯; epe-wɨn̯
14.44	morning	puliwen
14.45	noon, midday	raŋi-an̯tɨ
14.451	afternoon	rupan an̯tɨ
14.46	evening	konɨn an̯tɨ
14.47	today	fači-an̯tɨ
14.48	tomorrow	ule
14.481	day-after-tomorrow	epu-we
14.49	yesterday	uya
14.491	day-before-yesterday	epu an̯tɨ-ŋe-tu-y
14.51	hour	[ora]
14.53	clock, timepiece	[re'lo]
14.61	week	[semana]
14.62	Sunday	[θomiŋku]
14.63	Monday	[lune]
14.64	Tuesday	[marte]
14.65	Wednesday	[mierkole]
14.66	Thursday	[kuefe]
14.67	Friday	[fiene]
14.68	Saturday	[safado]
14.71	month	kɨyen̯
14.73	year	ṭ͡ʀipantu
14.74	winter	pukem
14.75	spring	pewɨ
14.76	summer	walɨŋ
14.77	autumn	rɨmɨ; čomɨ-ŋe-n
14.78	season	
15.21	smell (vb intrans)	n̯ɨmɨ-tu
15.212	sniff	ŋinufɨ
15.22	smell (vb trans)	n̯ɨmɨ-tu
15.25	fragrant, good smelling	kɨme n̯ɨmun̯
15.26	stinking, bad smelling	čifun
15.31	taste	kɨme-kɨme-tu
15.35	sweet	kočɨ
15.36	salty	koṭ͡ʀɨ
15.37	bitter	fɨre
15.38	acid, sour	koṭ͡ʀɨ
15.39	brackish	mɨṭ͡ʀɨn
15.41	hear	alʸkɨ
15.42	listen	alʸkɨ-tu
15.44	sound, noise	palol; n̯oyam; yawaw
15.45	loud	wirar; newen-tu
15.46	quiet, silence	kɨf
15.51	see	pe
15.52	look, look at	aθkintu; leli-ulɨ
15.55	show	pe-ŋelɨ
15.56	shine	wilɨfɨ
15.57	bright	ačef
15.61	color	aθ
15.62	light (in color)	lif; liɣ
15.63	dark (in color)	kurɨ
15.64	white	liɣ
15.65	black	kurɨ
15.66	red	kelɨ
15.67	blue	kalʸfɨ
15.68	green	karɨ
15.69	yellow	čoθ
15.71	touch	palṭ͡ʀi
15.712	pinch	θɨpilʸɨ; rɨṭ͡ʀetu
15.72	feel	lʸiwa
15.74	hard	yafɨ
15.75	soft	paɲus
15.76	rough	yuŋe
15.77	smooth	paɲus
15.78	sharp	yuŋe
15.79	blunt, dull	moṭ͡ʀo
15.81	heavy	fane
15.82	light (in weight)	fane-nu-lu; lem-fal
15.83	wet, damp	kɨlčaf; narfen
15.84	dry	piwɨn
15.85	hot	are
15.851	warm	eɲum
15.86	cold	wɨṭ͡ʀe; aṭ͡ʀeɣ; čiθ
15.87	clean	lif
15.88	dirty, soiled	poθ
15.89	wrinkled	soni; pɨlča
16.11	soul, spirit	pɨlʸɨ; am
16.15	surprised, astonished	afma-n
16.18	good fortune, luck	kɨme-ɲma
16.19	misfortune, bad luck	ɨlʸɨf; weθa-lka-n
16.23	joyful, glad, happy	ayiw
16.25	laugh	aye; aye-kawɨ
16.251	smile	aye
16.26	play	awkantu
16.27	love	ayɨ
16.29	kiss	ṭ͡ʀuyu
16.3	embrace	paŋko
16.31	pain	kuṭ͡ʀan
16.32	grief, sorrow, sadness	lʸaθken
16.33	anxiety, worry	pelʸke
16.34	regret, be sorry	weɲaŋkɨ-tu
16.35	pity	kuṭ͡ʀan-piwke
16.37	cry, weep	ŋɨma
16.38	tear (noun)	kɨlʸeɲu
16.39	groan	eyɨtu; afkɨ-θuamɨ
16.41	hate	ɨθe
16.42	anger	ilʸku-n
16.44	envy, jealousy	ɨṭ͡ʀir
16.45	shame (noun)	yewe-n
16.48	proud	wapo
16.51	dare	ŋen̯o-lʸikanɨ
16.52	brave	ŋeno-lʸika-n; fɨta-piwke
16.53	fear, fright	lʸika-n
16.54	danger	kuɲiw
16.62	desire, want	ɨlʸu; kɨpa nie
16.622	choose	θulʸi
16.63	hope	lʸiwa-tu-le
16.65	faithful	feyentu-fe
16.66	true	rɨf-kɨnu
16.67	lie, tell lies	koyl̯a-tu
16.68	deceit	ṭ͡ʀɨrɨm-el-ɨ
16.69	forgive	kuṭ͡ʀan-piwke-ye; kɨme-lka-w-tu
16.71	good	kɨme
16.72	bad	weθa
16.73	right, correct	nor; kɨme
16.74	wrong	koyl̯a-ka-n; pekan
16.76	fault	weri-n; [kulpa]
16.77	mistake, error	weθa-lka-n; welu-le-či θuŋu
16.78	blame	[kulpa]-tu
16.79	praise	saki
16.81	beautiful	kɨme-aθ
16.82	ugly	weθa-aθ
16.83	greedy	il̯ka
16.84	clever	kim loŋko
17.11	mind	kimɨ-n; loŋko
17.13	think (= reflect)	raki-θuamɨ
17.14	think (= be of the opinion)	-pi
17.15	believe	feyen-tu
17.16	understand	loŋko-ntuku
17.17	know	kimɨ
17.171	guess	leɣɨ
17.172	imitate	inawentu
17.18	seem	-ṭ͡ʀoki; -keči-le
17.19	idea, notion	kimɨ-n
17.21	wise	kim
17.22	foolish, stupid	weθ-weθ
17.23	insane, crazy	ṭ͡ʀafo loŋko; piru loŋko
17.24	learn	kim-tuku; loŋko-ntuku
17.242	study	čilʸka-tu; [papel]-tu
17.25	teach	kim-el-tu
17.26	pupil	kim-pe-lu; čilʸka-tu-fe
17.27	teacher	kim-el-če-fe
17.28	school	[kolekio]
17.31	remember	tukulpa
17.32	forget	moyma
17.34	clear, plain	fele-y; kim-fal-i
17.35	obscure	kim-fal-nu-lu
17.36	secret	kɨf-θuŋu; lʸum-θuŋu
17.37	sure, certain	kɨme kim-ŋe-y; fem-ŋe-y; rɨf
17.38	explain	kɨme kim-el-ɨ; kɨme feypi
17.41	intention, purpose	raki-θuam
17.42	cause	
17.43	doubt	epu-nčike θuŋu
17.44	suspect	kaŋe-ntu
17.441	betray	ŋɨne-nka
17.45	need, necessity	θuam
17.46	easy	kɨθaw-ŋe-nu-lu
17.47	difficult	kɨθaw-ŋe-n
17.48	try, attempt	fem-fem-tu
17.49	way, manner	femŋeči
17.51	and	ka; eŋu; eŋɨn
17.52	because	fey-mew
17.53	if	
17.54	or	kam
17.55	yes, affirmative	fele-y; may
17.56	no, negative	fele-la-y
17.61	how?	čumweči
17.62	how many?	tunten
17.63	how much?	tunten
17.64	what?	čem
17.65	when?	čumɨl
17.66	where?	čew
17.67	which?	čuči
17.68	who?	iɲey
17.69	why?	čumwelu
18.11	voice	θuŋu-n
18.12	sing	ɨlkan-tu
18.13	shout, cry out	wirarɨ
18.15	whisper	kafkɨ
18.16	mumble	
18.17	whistle	wiykeɲɨ
18.18	shriek, screech	kir-kir-ɨ
18.19	howl	ŋɨma; wawlu
18.21	speak, talk	θuŋu; nɨṭ͡ʀam-ka
18.211	stutter, stammer	keṭ͡ʀo-keṭ͡ʀo-tu
18.22	say	feypi
18.221	tell story	nɨṭ͡ʀam-el-ɨ
18.222	speech (make a)	wewpi
18.23	silent (be)	keṭ͡ʀo-le
18.24	language	θuŋu-n
18.26	word	kiɲe wun̯
18.28	name	ɨy
18.31	ask (question, inquire)	ramtu
18.32	answer	čaf-θuŋu
18.33	admit, confess	feyentu
18.34	deny	fey-nu-pi
18.35	ask, request	ŋilʸatu; -pi
18.36	promise	fem-a-n pi; ul-θuŋu-n
18.37	refuse	lʸow-la; fam-entu
18.38	forbid	kaṭ͡ʀɨ-tu; elu-ɲma-la
18.39	rebuke, scold	ṭ͡ʀewa-lka
18.41	call (=summon)	mɨṭ͡ʀɨmɨ
18.42	call (=name)	ɨy-tu
18.43	announce	el-antɨ; kim-el θuŋu
18.44	threaten	ɨyaɣ-tu; an̯el̯-tu
18.45	boast	če-kawɨ
18.51	write	wirin-tuku
18.52	read	čilʸka-tu; [papel]-tu
18.56	paper	[papel]
18.57	pen	[lapi]
18.61	book	čilʸka; [lifru]
18.67	poet	ŋen̯pin
18.71	flute	pifɨlʸka
18.72	drum	kulṭ͡ʀuŋ
18.73	horn, trumpet	ṭ͡ʀu-ṭ͡ʀu-ka
18.74	rattle	kaskawilʸa
19.11	country	mapu
19.12	one's native country	mapu; lelfɨn
19.15	city, town	waria
19.16	village	
19.17	boundary	ṭ͡ʀawɨmen
19.21	people (populace)	pu-če
19.23	tribe, clan	l̯of-če
19.24	chief, chieftain	loŋko; [kasike]
19.25	staff, walking stick	rɨŋi, reṭ͡ʀɨ
19.31	rule, govern	ŋɨne
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	ɨl̯men̯
19.37	citizen, subject	
19.41	master	
19.42	slave	ŋilʸan-če
19.43	servant	kon̯a
19.44	freeman	
19.45	command, order	
19.46	obey	feyentu
19.47	let, permit	elu-ɲma
19.51	friend, companion	wen̯ɨy
19.52	enemy	kayɲe
19.54	neighbor	ka-ruka-tu
19.55	stranger	ka-če
19.56	guest	wiṭ͡ʀan; maŋel
19.57	host	ŋen̯ wiṭ͡ʀan
19.58	help, aid	kelʸu
19.59	hinder, prevent	
19.61	custom	moŋen
19.62	strife, quarrel	kewa
19.63	conspiracy, plot	ṭ͡ʀirɨm-θuŋu
19.65	meet	pe; ṭ͡ʀawɨ
19.72	prostitute	
20.11	fight (vb)	kewa
20.13	war, battle	awka-n; weyča-n
20.14	peace	tɨŋ θuŋu
20.15	army	
20.17	soldier	kon̯a
20.21	weapons, arms	nuliɲ; čɨkel
20.22	club	mamɨlʸ
20.222	battle-ax	toki-kura
20.23	sling	wiṭ͡ʀutu
20.24	bow	čɨŋfɨl-we
20.25	arrow	pɨlki
20.26	spear	wayki
20.27	sword	
20.28	gun, cannon	ṭ͡ʀalka
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	wewɨ-n
20.42	defeat	wewɨ; ṭ͡ʀan-tu
20.43	attack	kontu; čaftu
20.44	defend	iɲka
20.45	retreat	fente-kɨnu; amu-tu
20.46	surrender	afel-ɨw-ɨ
20.47	captive, prisoner	[presu]
20.471	guard, sentinel	werke-n
20.48	booty, spoils	nɨ-el kayɲe mew
20.49	ambush	kaṭ͡ʀi-n-tuku
20.51	fisherman	čalʸwa-fe
20.52	fishhook	čikɨ; kɨl̯i
20.53	fishing line	čalʸwa-peyɨm θef
20.54	fishnet	ɲeweɲ
20.55	fish trap	lʸolʸe
20.56	bait	i-ya-el
20.61	hunt	wiṭ͡ʀutu-n ɣɨɲɨm
20.62	shoot	ṭ͡ʀalka-tu
20.63	miss (target)	kɨlʸɨ-la
20.64	trap (noun)	wači
20.65	trap (vb)	lʸoftu; nɨ
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	[kuisio]
21.18	judge (noun)	[kues]
21.21	plaintiff	
21.22	defendant	
21.23	witness	[testiku]
21.24	swear	rɨf piwke θuŋu
21.25	oath	
21.31	accuse	feypi-n-tuku
21.32	condemn	[kulpa]-tu
21.33	convict (vb)	
21.34	acquit	[lifre] ṭ͡ʀipa
21.35	guilty	[kulpa]-lu
21.36	innocent	ŋen̯o-[kulpa]
21.37	penalty, punishment	[kastiku]
21.38	fine	[multa]
21.39	prison, jail	
21.42	murder	laŋɨm-če-n
21.43	adultery	ɲuam-tuku-kure-n
21.44	rape	nɨntu
21.46	arson	lɨpɨm-tuku-n
21.47	perjury	
21.51	steal	weɲe
21.52	thief	weɲe-fe
22.11	religion	ŋɨ-ne-če-n θuŋu
22.12	God	ŋɨne-če-n
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	molʸfɨɲ
22.16	worship	poye
22.17	pray	ŋilʸatu
22.18	priest	
22.19	holy, sacred	
22.22	preach	ŋilʸatu
22.23	bless	kɨme pi-ɲma
22.24	curse	ɨyaɣtu; weθa pi-ɲma
22.26	fast (vb)	
22.31	heaven	wenu mapu
22.32	hell	wekufɨ mapu; kɨṭ͡ʀal mapu
22.35	demon (evil spirit)	wekufɨ
22.37	idol	
22.42	magic, witchcraft, sorcery	kalku θuŋu
22.43	sorcerer, witch	kalku
22.44	fairy, elf	
22.45	ghost, phantom	pɨlʸɨ
22.47	omen, portent	perimontu
