entry_id	trans_english	Aguaruna_Phonemic
12.62	narrow	c̷ɨ́hɨg, 'mɨnaku
12.63	thick (in dimension)	kam'puham
12.65	thin (in dimension)	c̷ɨ́hɨg
12.67	deep	kuna; i'nitak
12.68	shallow	'uhu-mak kuna
12.71	flat	paka
12.73	straight	tu'tupit
12.74	crooked	tuni'hu
12.75	hook	'činap
12.76	corner	c̷u'kin
12.77	cross	numi yapahia ačiamu
12.78	square	--
12.81	round	tɨntɨɨ
12.82	circle	tɨntɨɨ
12.83	sphere, ball	tɨn'tɨɨ
12.84	line	c̷ɨnc̷ak-bau
12.85	hole	uyu-amu
12.92	like, similar	bɨ'tɨkmam-tin
12.93	change	yapahit
13.0	zero, nothing	
13.1	one	makičik
13.2	two	'himag
13.3	three	kam'patum
13.4	four	ipak 'usumat
13.5	five	uwɨ'ha amua
13.6	six	'huinia 'uwɨha ma'kičik ihuk
13.7	seven	uwɨ'ha himaha ihuk
13.8	eight	'huinia 'uwɨha kam'patum ihuk
13.9	nine	'huinia uwɨ'ha ipak 'usumat ihuk
13.10	ten	uwɨ'ha mai 'amua
13.101	eleven	'huinia dawɨn makičik ihuk
13.102	twelve	dawɨ himaha ihuk
13.103	fifteen	'huinia dawɨn makičik amua
13.104	twenty	dawɨ mai amua
13.105	hundred	--
13.106	thousand	--
13.107	count	dɨ'kapat
13.14	every, all	
13.15	much, many	ku'ašat
13.16	more	'dukap
13.17	little (quantity), few	'uhumak
13.18	enough	ku'ašat
13.181	some	'mačikiuč
13.19	multitude, crowd	unc̷u'hi
13.21	full	bɨtɨ
13.22	empty	'pahat-čau; ɨg'kɨt-čau
13.23	part, piece	puuk-bau
13.24	half	'himaituk
13.33	alone, only	nigki
13.34	first	'dɨkatkau
13.35	last	i'nagn-amu
13.36	second	
13.37	pair	apatka
13.38	two times	hima'ha
13.42	third	kam'patum-a nuiya
13.44	three times	kam'patum-a ima'nia
14.11	time	c̷a'wan
14.12	age	mihanhi
14.13	new	ya'ma-ham
14.14	young	maki ma'kičik
14.15	old	'muun-tuč
14.16	early	'kašik
14.17	late	ag'ku
14.18	now	yamai
14.19	immediately	wamkɨs
14.21	swift, fast, quick	wa'amak
14.22	slow	diipasa
14.23	hasten, hurry	waugtusa; 'wamkɨsa
14.24	retard, delay	mɨgkaɨgat
14.25	begin, beginning	nag'ka-mat
14.252	last, endure	ku'ašat c̷a'wan da'kahatu
14.26	end (temporal)	'nagkatkau
14.27	finish	ašimat
14.28	cease, stop	ašimat
14.29	ready	uminc̷au
14.31	always	tu'kɨ au
14.32	often	i'mihc̷uk
14.33	sometimes	'nuniktatak
14.331	soon	'waamak
14.332	long-time (for a)	ku'ašat c̷a'wan
14.34	never	a'humaiš
14.35	again	atak'tu
14.41	day	c̷a'wan
14.42	night	kaši
14.43	dawn	'kaši-kmas
14.44	morning	'kaši-k
14.45	noon, midday	'himaituk
14.451	afternoon	ag'ku
14.46	evening	c̷a'wan hɨga-tin ai
14.47	today	yamai
14.48	tomorrow	'kaši-kmas
14.481	day-after-tomorrow	ka'ši-n pu'hus c̷awak
14.49	yesterday	ya'u
14.491	day-before-yesterday	nuu yau
14.51	hour	ɨc̷a wa'hupakita tusa 'dɨk-amu
14.53	clock, timepiece	ɨc̷a dakumk-amu
14.61	week	
14.62	Sunday	[tumig]
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	nantu-'tin
14.73	year	mi'han
14.74	winter	'yumi-tin
14.75	spring	ɨsat
14.76	summer	ɨsat sɨnči ɨc̷a-ntu
14.77	autumn	--
14.78	season	
15.21	smell (vb intrans)	kug-'kuut
15.212	sniff	mɨhɨt
15.22	smell (vb trans)	dɨkapɨt
15.25	fragrant, good smelling	kug-kug-'ku
15.26	stinking, bad smelling	c̷umainun mɨhɨau
15.31	taste	'pɨgkɨt 'dɨkapɨt
15.35	sweet	yuminc̷ak
15.36	salty	yapa'ku
15.37	bitter	yapau
15.38	acid, sour	čuhuin
15.39	brackish	hɨa-'hɨa-tu
15.41	hear	'antut
15.42	listen	'antut
15.44	sound, noise	ši'namuhi
15.45	loud	čahatu
15.46	quiet, silence	bitat
15.51	see	wainat
15.52	look, look at	diit
15.55	show	i'nakm-amu
15.56	shine	winča ɨm-amu
15.57	bright	winča-m-tin
15.61	color	kɨ'patnuhi
15.62	light (in color)	'paantu
15.63	dark (in color)	bukusɨa; ka'hithau; bušapau
15.64	white	puhu
15.65	black	bu'kusɨa; šu'win
15.66	red	kapantu
15.67	blue	wigka
15.68	green	sa'mɨk-bau
15.69	yellow	šušui
15.71	touch	awatut; umpuut
15.712	pinch	čičit
15.72	feel	dɨkapɨt
15.74	hard	ka'c̷u-ham
15.75	soft	tu'huthutu; ma'hamhatu
15.76	rough	šuham
15.77	smooth	ču'win; pinu
15.78	sharp	ɨ'c̷ak-amu
15.79	blunt, dull	suyu'hu
15.81	heavy	ki'hin
15.82	light (in weight)	čikugpa-tin; 'wahimas
15.83	wet, damp	čupi'hu
15.84	dry	buku
15.85	hot	suku-'tin
15.851	warm	suku-'tin
15.86	cold	c̷ɨc̷ɨk
15.87	clean	c̷u'wat-čau
15.88	dirty, soiled	c̷uwat
15.89	wrinkled	ni'nuɨhau; mačuthau
16.11	soul, spirit	wa'kan
16.15	surprised, astonished	a'pagk-amu
16.18	good fortune, luck	uhuig
16.19	misfortune, bad luck	ɨ'mɨsɨk
16.23	joyful, glad, happy	da'kunkutu
16.25	laugh	du'ši-amu
16.251	smile	duši-t
16.26	play	wa'sugka-mat
16.27	love	wa'kɨhut
16.29	kiss	kugkut; saukut
16.3	embrace	'pagkut
16.31	pain	nahamau
16.32	grief, sorrow, sadness	na'hamau
16.33	anxiety, worry	muumpat
16.34	regret, be sorry	ɨ'hɨtut
16.35	pity	wait 'anɨntut
16.37	cry, weep	'buutut; 'buut-bau
16.38	tear (noun)	nɨgaiki
16.39	groan	'buut-bau
16.41	hate	kahɨ-hut
16.42	anger	kahɨ-t
16.44	envy, jealousy	ka'hɨh-amu
16.45	shame (noun)	da'c̷an
16.48	proud	'ɨmɨ-bau
16.51	dare	
16.52	brave	ka'ka-ham
16.53	fear, fright	'sapig
16.54	danger	i'šamain
16.62	desire, want	anɨn-ta'imt-amu; wa'kɨh-amu
16.622	choose	ɨtɨgkɨt
16.63	hope	hinta ni'imh-amu
16.65	faithful	'šiigčičaman u'min
16.66	true	šiig dɨkas
16.67	lie, tell lies	wa'ithut
16.68	deceit	c̷anu-bau
16.69	forgive	c̷agkuhut
16.71	good	'pɨgkɨg
16.72	bad	'kac̷ɨk; 'pɨgkɨg-čau
16.73	right, correct	bɨtɨk; dɨ'wakč-amu
16.74	wrong	bɨ'tɨk-čau
16.76	fault	ba'ku-mat
16.77	mistake, error	dɨwat
16.78	blame	baku'ni-amu
16.79	praise	ɨmɨ 'anɨn-mikat
16.81	beautiful	šii-ham
16.82	ugly	c̷umain; 'pɨgkɨg-čau
16.83	greedy	yukag-tin
16.84	clever	yan'c̷ap-tin; c̷ɨkɨskɨntau
17.11	mind	anɨn-ta'i-mat
17.13	think (= reflect)	anɨn-ta'i-mat
17.14	think (= be of the opinion)	dɨkas'kɨapi tamau
17.15	believe	an'tu-hut
17.16	understand	'antu-t
17.17	know	'dɨkat
17.171	guess	diic̷uk 'anaiyat
17.172	imitate	daku-mat
17.18	seem	bɨtɨk niim-tin
17.19	idea, notion	anɨn-ta'imt-amu; anɨn-'tai-bau
17.21	wise	yača; dɨkau
17.22	foolish, stupid	'antu-mtikmain-čau
17.23	insane, crazy	i'manhau
17.24	learn	unu'i-mat
17.242	study	a'uhut
17.25	teach	hintin-tut
17.26	pupil	[pa'pi]-ham
17.27	teacher	hin'tin-kag-tin
17.28	school	[pa'pi] auh-tai
17.31	remember	anɨ'ag-bau
17.32	forget	kahi'matut
17.34	clear, plain	'paantu
17.35	obscure	suwɨ
17.36	secret	ɨ'c̷ɨgmainčau
17.37	sure, certain	u'duɨkašmin
17.38	explain	uhat; ɨ'c̷ɨhut
17.41	intention, purpose	tukɨ anɨas
17.42	cause	nunik-bau ah-amu
17.43	doubt	utu'himau
17.44	suspect	'nigkičuašit tusa anɨn-ta'imt-amu
17.441	betray	c̷anuha 'bakut; anagkua bakut
17.45	need, necessity	a'c̷umat
17.46	easy	'yupiču
17.47	difficult	u'tugčat
17.48	try, attempt	dɨkapɨt
17.49	way, manner	ni'mɨ
17.51	and	
17.52	because	'wagkapa
17.53	if	ɨ'ʔɨ
17.54	or	
17.55	yes, affirmative	ɨ'ʔɨ
17.56	no, negative	a'c̷a
17.61	how?	wahuk
17.62	how many?	wa'hupaita
17.63	how much?	wahupa
17.64	what?	wa'hi
17.65	when?	wahu'ti
17.66	where?	tu'wi
17.67	which?	tuuwa
17.68	who?	ya
17.69	why?	'wagkapa
18.11	voice	'čiča-m
18.12	sing	[kanta]mat
18.13	shout, cry out	šinu-t
18.15	whisper	a'šiš-mat
18.16	mumble	na'i ɨmɨna čiča-u
18.17	whistle	uhu'ig-mat
18.18	shriek, screech	ča'hat-bau
18.19	howl	kun-tin šinamu
18.21	speak, talk	čiča-t
18.211	stutter, stammer	dɨw-amu; dɨwat
18.22	say	ɨ'čɨhut
18.221	tell story	
18.222	speech (make a)	
18.23	silent (be)	itatut
18.24	language	'čiča-m
18.26	word	čiča-m
18.28	name	daahi
18.31	ask (question, inquire)	ini'i-mat
18.32	answer	ai-mat
18.33	admit, confess	ai-t
18.34	deny	uw-amu
18.35	ask, request	sɨgat
18.36	promise	a'nagkut
18.37	refuse	yapahia 'čiča-t
18.38	forbid	a'kas-mat-k-amu
18.39	rebuke, scold	hiyat
18.41	call (=summon)	unc̷u-t
18.42	call (=name)	pɨak; anai-mat
18.43	announce	uhat; ɨ'c̷ɨhut
18.44	threaten	a'wan-mat
18.45	boast	'ɨmɨat
18.51	write	'agat
18.52	read	[pa'pi] 'auhut
18.56	paper	[pa'pi]
18.57	pen	uhɨ
18.61	book	[pa'pi]
18.67	poet	'pɨgkɨhan anɨn-ta'imag čiča-u
18.71	flute	pigkui
18.72	drum	tampug
18.73	horn, trumpet	kistian kaču
18.74	rattle	
19.11	country	nugka muun aɨnc̷ ba'c̷at-k-amu
19.12	one's native country	ii nugkɨ
19.15	city, town	yaaka-t
19.16	village	ya'akat
19.17	boundary	'nagkat-h-amu
19.21	people (populace)	aɨnc̷
19.23	tribe, clan	aɨnc̷
19.24	chief, chieftain	apu-hi
19.25	staff, walking stick	wai; payag
19.31	rule, govern	aɨnc̷ čiča-'ka 'bac̷at
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	'iman
19.37	citizen, subject	aɨnc̷ [papi]hi aši ah-amu
19.41	master	wahiig-tin
19.42	slave	inak
19.43	servant	inak
19.44	freeman	aɨnc̷ ag'kan
19.45	command, order	a'wɨ-mat
19.46	obey	umihut
19.47	let, permit	inaiyat
19.51	friend, companion	kumpag
19.52	enemy	šiwag
19.54	neighbor	'ihut-k-amu
19.55	stranger	aɨnc̷ 'tikič 'nugkanmaya
19.56	guest	'ihag
19.57	host	kahi-tai
19.58	help, aid	ya'ini-amu
19.59	hinder, prevent	utuhit
19.61	custom	inia 'puhut
19.62	strife, quarrel	ma'anit
19.63	conspiracy, plot	i'huntuha 'čiča-m 'úmihut
19.65	meet	wainat
19.72	prostitute	nuwa ni'hiaku 'aki-tai
20.11	fight (vb)	ma'anit
20.13	war, battle	ma'anit
20.14	peace	ag'kan
20.15	army	suntag
20.17	soldier	suntag
20.21	weapons, arms	maani-tai
20.22	club	kačuim
20.222	battle-ax	kanam
20.23	sling	kaya ɨgkɨa 'nagkim-tai
20.24	bow	numi 'apun-bau
20.25	arrow	ihu-tai a'hagkɨm-amu
20.26	spear	nagki
20.27	sword	['mačit] c̷akaskatu
20.28	gun, cannon	aka'hu
20.31	armor (defensive)	ɨkɨn-h-amu
20.33	helmet	--
20.34	shield	tantag
20.35	fortress	kum'pin
20.36	tower	kum'pin
20.41	victory	dɨ'pɨtmak-bau
20.42	defeat	dɨ'pɨtma-bau
20.43	attack	hɨtɨt
20.44	defend	a'yamhut
20.45	retreat	hi'in-bau
20.46	surrender	su'humanat
20.47	captive, prisoner	bisatak; ači'ka wa'it-k-amu
20.471	guard, sentinel	hin'ta niimin
20.48	booty, spoils	ya'humak-bau
20.49	ambush	diyaku
20.51	fisherman	namak-'a daša'min
20.52	fishhook	agsɨa
20.53	fishing line	agsɨa anagkɨ
20.54	fishnet	
20.55	fish trap	
20.56	bait	wiya
20.61	hunt	kuntin maut
20.62	shoot	nagkit
20.63	miss (target)	wagat; i-maut
20.64	trap (noun)	i'wagtu-tai
20.65	trap (vb)	ain'ha 'ačit
21.11	law	'čiča-m umik-tin
21.15	court	-
21.16	judge (vb)	aɨnc̷ ba'kuma-tin ɨ'hɨt-amu
21.17	judgment	tutit 'čiča-m 'dɨk-amu
21.18	judge (noun)	čiča-man ɨsɨ'yin
21.21	plaintiff	čiča-man pata'su
21.22	defendant	a'yamhau
21.23	witness	ɨtsɨg-tin; atuwɨ
21.24	swear	--
21.25	oath	dɨkasɨk u'nik-tin a'sa čiča-mu
21.31	accuse	'čiča-m a'punum 'umihut
21.32	condemn	ayam'humamain-čau ɨmat
21.33	convict (vb)	dɨ'kapɨt
21.34	acquit	ɨ'pɨgkɨt
21.35	guilty	ba'kumag-tin
21.36	innocent	pɨg'kɨham
21.37	penalty, punishment	su'wimak
21.38	fine	--
21.39	prison, jail	aɨnc̷ ači'ka 'ɨgkɨ-tai
21.42	murder	aɨnc̷ uu'ka 'maut
21.43	adultery	i'kag-mat
21.44	rape	wa'itkasa dihig-bau
21.46	arson	kɨɨ'ku
21.47	perjury	--
21.51	steal	kasa-mat
21.52	thief	kasa
22.11	religion	--
22.12	God	apa-hui
22.13	temple, church	apa-hui nɨ'mahin aidau 'ihun-bau
22.14	altar	apa-hui čiča-mɨ 'ɨc̷ɨgku waha-tai
22.15	sacrifice, offering	waitc̷a; waitkasa
22.16	worship	apa-hui 'ɨc̷ag-tai
22.17	pray	apa-hui 'sɨgat
22.18	priest	--
22.19	holy, sacred	išamain
22.22	preach	--
22.23	bless	yu'migkit
22.24	curse	'pɨgkɨg-čaunum 'yumigkit
22.26	fast (vb)	ihag-mat
22.31	heaven	nayaim
22.32	hell	hii kɨɨku ka'hinčau
22.35	demon (evil spirit)	pa'sun; 'iwanč
22.37	idol	apa-hui-ma dakum-k-amu
22.42	magic, witchcraft, sorcery	tunči
22.43	sorcerer, witch	iwi'šin; tunči
22.44	fairy, elf	wa'kania 'nunin nuwa
22.45	ghost, phantom	wa'kan
22.47	omen, portent	pa'sun-bau
