entry_id	trans_english	Yiddish_Phonemic
13.37	pair	por
13.38	two times	cvej mol
13.42	third	drit
13.44	three times	draj mol
14.11	time	cajt
14.12	age	elter
14.13	new	naj
14.14	young	jung
14.15	old	alt
14.16	early	fri
14.17	late	špet
14.18	now	ict; a'cind
14.19	immediately	glajx; tejkef
14.21	swift, fast, quick	gix; geš'vind
14.22	slow	pamelex; pavolʸe
14.23	hasten, hurry	(h)ajln zix
14.24	retard, delay	far'haltn; ophaltn
14.25	begin, beginning	onhejb
14.252	last, endure	gedojern
14.26	end (temporal)	sof
14.27	finish	endikn (zix)
14.28	cease, stop	ufhern
14.29	ready	grejt; fartik
14.31	always	ale mol; tomed
14.32	often	oft; a sax mol
14.33	sometimes	a mol; tejl mol
14.331	soon	bald; in gixn
14.332	long-time (for a)	(šojn) lang; a lange cajt
14.34	never	kejn mol ni(š)t
14.35	again	nox a mol; vider a mol
14.41	day	tog
14.42	night	naxt
14.43	dawn	baginen; kajor; fartog
14.44	morning	inder'fri
14.45	noon, midday	mitog
14.451	afternoon	'noxmitog; ba'tog
14.46	evening	ovnt; afder'naxt
14.47	today	hajnt
14.48	tomorrow	morgn
14.481	day-after-tomorrow	iber morgn
14.49	yesterday	nextn
14.491	day-before-yesterday	'ejernextn
14.51	hour	šo
14.53	clock, timepiece	zejger(l)
14.61	week	vox
14.62	Sunday	zuntik
14.63	Monday	montik
14.64	Tuesday	dinstik
14.65	Wednesday	mitvox
14.66	Thursday	'donerštik
14.67	Friday	frajtik
14.68	Saturday	šabes
14.71	month	xojdeš
14.73	year	jor
14.74	winter	vinter
14.75	spring	friling; vesne
14.76	summer	zumer
14.77	autumn	harpst; osʸen
14.78	season	cajt fun jor
15.21	smell (vb intrans)	šmekn
15.212	sniff	ɲuxen; smoren; šnapn
15.22	smell (vb trans)	šmekn
15.25	fragrant, good smelling	'šmekedik
15.26	stinking, bad smelling	farštunken
15.31	taste	tam
15.35	sweet	zis
15.36	salty	ge'zalcn
15.37	bitter	biter
15.38	acid, sour	zojer
15.39	brackish	halb ge'zalcn
15.41	hear	hern
15.42	listen	cuhern zix; ajnhern zix
15.44	sound, noise	klang; tuml
15.45	loud	hojx; šrajik
15.46	quiet, silence	štil; štilkejt
15.51	see	zen
15.52	look, look at	kukn
15.55	show	vajzn
15.56	shine	šajnen
15.57	bright	lixtik; glancik
15.61	color	ko'lir
15.62	light (in color)	hel
15.63	dark (in color)	tunkl
15.64	white	vajs
15.65	black	švarc
15.66	red	rojt
15.67	blue	blo(j)
15.68	green	grin
15.69	yellow	gel
15.71	touch	(on) rirn
15.712	pinch	knajpn
15.72	feel	filn
15.74	hard	hart
15.75	soft	vejx
15.76	rough	šorstik
15.77	smooth	glat(ik)
15.78	sharp	šarf
15.79	blunt, dull	temp
15.81	heavy	šver
15.82	light (in weight)	lajxt; gring
15.83	wet, damp	nas; fajxt
15.84	dry	trukn
15.85	hot	hejs
15.851	warm	varem
15.86	cold	kalt
15.87	clean	rejn; zojber
15.88	dirty, soiled	kojtik; šmucik; 'ajngerixt
15.89	wrinkled	fark'nejčt; cek'nejčt
16.11	soul, spirit	nešome; gajst
16.15	surprised, astonished	farxidešt; farvundert
16.18	good fortune, luck	mazl
16.19	misfortune, bad luck	šli'mazl
16.23	joyful, glad, happy	frejlex; gliklex; mole-simxe
16.25	laugh	laxn
16.251	smile	šmejxlen
16.26	play	špiln (zix)
16.27	love	lib hobn
16.29	kiss	kušn
16.3	embrace	haldzn; a'rumnemen
16.31	pain	veytik
16.32	grief, sorrow, sadness	trojer; umet; car
16.33	anxiety, worry	dajge; zorg; umru
16.34	regret, be sorry	bang ton; xarote hobn
16.35	pity	raxmones
16.37	cry, weep	vejnen
16.38	tear (noun)	trer
16.39	groan	krexcn
16.41	hate	fajnt hobn
16.42	anger	kas; brojges
16.44	envy, jealousy	kine; 'ejferzuxt
16.45	shame (noun)	buše; xarpe
16.48	proud	štolc
16.51	dare	dervegn zix
16.52	brave	baharct
16.53	fear, fright	mojre; paxed
16.54	danger	sakone
16.62	desire, want	veln; garn
16.622	choose	ojsklajbn
16.63	hope	hofn
16.65	faithful	ge'traj
16.66	true	'emes(dik)
16.67	lie, tell lies	lajgn; lign zogn
16.68	deceit	opnar(n)
16.69	forgive	mojxl zajn
16.71	good	gut
16.72	bad	šlext
16.73	right, correct	rixtik; rext; ko'rekt
16.74	wrong	'umrixtik; umrext; 'umkorekt
16.76	fault	šuld
16.77	mistake, error	toes; grajz
16.78	blame	šuld
16.79	praise	lojbn
16.81	beautiful	šejn
16.82	ugly	mies
16.83	greedy	žedne; gajcik
16.84	clever	klug
17.11	mind	mojex; zinen; ge'dank; mejnung
17.13	think (= reflect)	traxtn
17.14	think (= be of the opinion)	mejnen
17.15	believe	glejbn
17.16	understand	far'štejn
17.17	know	visn
17.171	guess	trefn; rotn
17.172	imitate	noxmaxn; 'noxkrimen
17.18	seem	daxtn zix
17.19	idea, notion	ge'dank; rajen
17.21	wise	klug; xoxem
17.22	foolish, stupid	nariš
17.23	insane, crazy	mešuge; meturef
17.24	learn	('ojs)lernen (zix)
17.242	study	lernen (zix); štu'dirn
17.25	teach	lernen, lerern
17.26	pupil	talmed
17.27	teacher	lerer; melamed
17.28	school	šul; xejder
17.31	remember	gedenken; dermonen zix
17.32	forget	far'gesn
17.34	clear, plain	klor
17.35	obscure	umklor; nepldik
17.36	secret	sod, besodik
17.37	sure, certain	zixer; gevis
17.38	explain	gebn cu far'štejn; der'klern
17.41	intention, purpose	kivn; cil
17.42	cause	gojrem
17.43	doubt	sofek
17.44	suspect	xojšed zajn
17.441	betray	bojged zajn; far'ratn
17.45	need, necessity	nojt; 'nejtikajt; ba'derfeniš
17.46	easy	gring; lajxt
17.47	difficult	šver
17.48	try, attempt	pruvn; pru'birn
17.49	way, manner	ojfn
17.51	and	un
17.52	because	vajl; vorem; vorn
17.53	if	ojb; az
17.54	or	oder
17.55	yes, affirmative	jo; afirma'tiv
17.56	no, negative	nejn; nega'tiv
17.61	how?	vi (azoj)
17.62	how many?	vifl
17.63	how much?	vifl
17.64	what?	vos
17.65	when?	ven
17.66	where?	vu
17.67	which?	voser; velxer
17.68	who?	ver
17.69	why?	far vos
18.11	voice	kol; štim
18.12	sing	zingen
18.13	shout, cry out	šrajen; ojsrufn
18.15	whisper	šušken; šepčen
18.16	mumble	beben
18.17	whistle	fajfn
18.18	shriek, screech	kvičen
18.19	howl	vojen; reven
18.21	speak, talk	redn
18.211	stutter, stammer	štamlen; hiken
18.22	say	zogn
18.221	tell story	der'cejln; far'cejln
18.222	speech (make a)	rede (haltn a)
18.23	silent (be)	štil; švajgn
18.24	language	lošn; šprax
18.26	word	vort
18.28	name	nomen
18.31	ask (question, inquire)	fregn
18.32	answer	en(t)fer; čuve
18.33	admit, confess	mojde zajn; cugebn
18.34	deny	'lejkenen
18.35	ask, request	betn
18.36	promise	cuzogn
18.37	refuse	opzogn
18.38	forbid	far'vern
18.39	rebuke, scold	firhaltn; ojsvarfn; ojsredn; firvarfn
18.41	call (=summon)	rufn
18.42	call (=name)	(on)rufn
18.43	announce	onzogn; mojdije zajn
18.44	threaten	strašen; šteln in sakone
18.45	boast	barimen zix
18.51	write	šrajbn
18.52	read	'lej(e)nen
18.56	paper	pa'pir
18.57	pen	pen; feder
18.61	book	bixl; bux; sejfer
18.67	poet	po'et
18.71	flute	flejt
18.72	drum	pojk
18.73	horn, trumpet	horn; tru'mejt
18.74	rattle	kalekotke; grager
19.11	country	land
19.12	one's native country	hejmland
19.15	city, town	štot; štetl
19.16	village	dorf
19.17	boundary	grenec
19.21	people (populace)	folk; menčn
19.23	tribe, clan	šejvet; klan
19.24	chief, chieftain	roš; šef
19.25	staff, walking stick	štekn
19.31	rule, govern	re'girn; geveltikn
19.32	king, ruler	mejlex; mojšl
19.33	queen	malke
19.36	noble, nobleman	adlman; porec
19.37	citizen, subject	birger; 'untertaner
19.41	master	bale'bos
19.42	slave	šklaf; knext
19.43	servant	mešores; badiner
19.44	freeman	frajer (menč); frajer birger
19.45	command, order	ba'feln; koman'dirn
19.46	obey	folgn
19.47	let, permit	(der)'lozn; gebn re'šus
19.51	friend, companion	xaver; (guter-)'frajnd
19.52	enemy	sojne
19.54	neighbor	šoxn
19.55	stranger	fremder
19.56	guest	gast
19.57	host	'gastgeber; maxnes-ojrex
19.58	help, aid	helfn
19.59	hinder, prevent	štern
19.61	custom	mineg
19.62	strife, quarrel	krig (e'raj)
19.63	conspiracy, plot	faršverung; kom'plot
19.65	meet	ba'gegenen
19.72	prostitute	prostitutke
20.11	fight (vb)	šlogn zix
20.13	war, battle	milxome; šlaxt
20.14	peace	šolem; fridn
20.15	army	ar'mej
20.17	soldier	zelner; sol'dat
20.21	weapons, arms	gever
20.22	club	flokn; štekn
20.222	battle-ax	krigshak
20.23	sling	varflke; kacepulʸke
20.24	bow	bojgn
20.25	arrow	fajl
20.26	spear	špiz
20.27	sword	šverd
20.28	gun, cannon	biks; har'mat
20.31	armor (defensive)	pancer
20.33	helmet	kaske; kiver
20.34	shield	šild
20.35	fortress	festung
20.36	tower	tojer
20.41	victory	ni'coxn
20.42	defeat	mapole
20.43	attack	a'tak(e); onfal
20.44	defend	fartejdikn
20.45	retreat	optretn; cu'rikcijen zix
20.46	surrender	'untergebn zix
20.47	captive, prisoner	plʸenik; ge'fangener
20.471	guard, sentinel	šojmer; vexter
20.48	booty, spoils	rojb
20.49	ambush	loker; ambuskade; 'iberfal
20.51	fisherman	fišer
20.52	fishhook	hačik
20.53	fishing line	ventke
20.54	fishnet	fišnec
20.55	fish trap	'fišpastke
20.56	bait	cišpajz
20.61	hunt	gejn af ge'jeg
20.62	shoot	šisn
20.63	miss (target)	far'šisn
20.64	trap (noun)	pastke
20.65	trap (vb)	xapn/ pakn
21.11	law	ge'zec; din; ju'ri
21.15	court	ge'rixt; bez(d)n
21.16	judge (vb)	mišpetn
21.17	judgment	mišpet; psak
21.18	judge (noun)	rixter; dajen
21.21	plaintiff	tojveje; 'onkloger
21.22	defendant	ba'suldikter; ('ajn)geklogter; nitbe
21.23	witness	ejdes
21.24	swear	švern
21.25	oath	švue
21.31	accuse	bašuldikn
21.32	condemn	farmišpetn
21.33	convict (vb)	farmišpetn; gefinen šuldik
21.34	acquit	frajzogn; rejnvašn
21.35	guilty	šuldik
21.36	innocent	'umšuldik
21.37	penalty, punishment	štrof
21.38	fine	geltštrof; knas
21.39	prison, jail	tfise; turme
21.42	murder	mord; recixe
21.43	adultery	nijef
21.44	rape	farg'valdikung; meanes zajn
21.46	arson	'untercindung
21.47	perjury	falše švue
21.51	steal	'ganvenen
21.52	thief	ganef
22.11	religion	religje; das
22.12	God	got; hašem-jisborex
22.13	temple, church	klojster; šul/šil
22.14	altar	alʸ'tar; mizbejex
22.15	sacrifice, offering	korbn
22.16	worship	dinen; far'getern
22.17	pray	mispalel zajn; tfile ton
22.18	priest	galex; rov
22.19	holy, sacred	hejlik
22.22	preach	'daršenen; prejdikn
22.23	bless	benčn
22.24	curse	šeltn; šiltn
22.26	fast (vb)	fastn
22.31	heaven	himl
22.32	hell	genem
22.35	demon (evil spirit)	šed
22.37	idol	gec
22.42	magic, witchcraft, sorcery	kišef
22.43	sorcerer, witch	'kišef-maxer, 'kišef-maxern
22.44	fairy, elf	feje; šretl
22.45	ghost, phantom	ruex; opduxt
22.47	omen, portent	onzog; vorcejxn; simen
