entry_id	trans_english	Tai_Khuen_Phonemic
8.81	palm tree	kheŋ.2
8.82	coconut	tɔ:.4 nam.5; ha:ŋ.1 nam.5
8.83	citrus fruit	laŋ.3 kha:.1
8.84	banana tree	laŋ.3 kha:.1 baj.1 ca:k.2
8.85	banyan	laŋ.3 kha:.1 muŋ.1 ja:.6
8.91	sweet potato	pɛ:.3 hə:n.1
8.912	yam	maj.5 tɔŋ.3 hə:n.1
8.92	tapioca, manioc, cassava	khɨ:.2
8.93	gourd	maj.5 saw.3; maj.5 ka:n.1
8.931	pumpkin, squash	maj.5 pɛ:n.6
8.94	bamboo	pa.1-tu:.3 kho:ŋ.3
8.941	sugar cane	ca:ŋ.4 pɛ:ŋ.3 hə:n.1
8.96	fish poison (root)	ma:k.2 ʔu:t.2
8.97	nettle	pun.3 kha:w.3; phi:.1-la:.1-mi:.2
8.98	mushroom	ma:k.2 ʔu:t.2 ta:k.2 hɛ:ŋ.6
9.11	do, make	ca:w.1 na:.1
9.12	work	ka:ŋ.3 tɔŋ.4; ka:ŋ.3 na:.1
9.14	bend	tɔŋ.4; na:.1
9.15	fold	so:n.3
9.16	tie, bind	pu:k.2 sɔ:m.6
9.161	untie	ho:.5
9.18	chain	nam.5 hɔŋ.4
9.19	rope, cord	ca:k.4 thaj.3
9.192	knot (noun)	phe:k.2
9.21	strike (hit, beat)	khut.1
9.211	pound with fist	se:m.3
9.22	cut	pha:k.2-so:k.2
9.221	cut down	khɔ:.3-wa:j.1
9.222	chop, hew	ŋa:m.4; cɔ:n.5 sɔm.6
9.223	stab	phə:.3
9.23	knife	wa:n.2
9.24	scissors, shears	cə:.5 phak.1
9.25	ax	la:j.1 ja:.6; kiaw.2
9.251	adze	xe:w.1 (e:  ia)
9.26	break	pɔ:.5 khaw.6
9.261	broken	ti:.4 pɔ:.5 khaw.6
9.27	split	khiŋ.2 ʔaw.1 khaw.6 ʔaw.1 nam.5
9.28	tear	mɛt.5 khaw.6
9.29	flay, skin	khaw.6 sa:.3-li:.1
9.31	rub, wipe	khaw.6 ba:.1-le:.4
9.32	stretch	khaw.6 laj.1
9.33	pull	khaw.6 ʔo:t.4
9.34	spread out	khaw.6 sa:.3-li:.1 kɔ:.4
9.341	hang up	khaw.6 caw.6 suk.1
9.342	press	khaw.6 pə:k.2
9.343	squeeze, wring	kɛ:p.2; mɛt.5 khaw.6
9.35	pour	kɛ:p.2
9.36	wash	phə:ŋ.1
9.37	sweep	khaw.6 pa:ŋ.4
9.38	broom	ja:.6
9.422	tool	phə:ŋ.1
9.43	carpenter	maj.5
9.44	build	pu:k.2
9.46	bore	ha:k.4
9.461	hollow out	kaw.5 maj.5
9.48	saw	kiŋ.2 maj.5; ka:n.6
9.49	hammer	baj.1 maj.5
9.5	nail	na:m.3
9.56	glue	lɔ:k.2 maj.5
9.6	smith, blacksmith	tɔn.6 maj.5
9.61	forge	tɔn.6 ʔo:k.4
9.62	anvil	ma:k.2 lə:.2
9.63	cast (metals)	tɔn.6 bə:t.4
9.64	gold	maj.5 pɛ:k.2; ma:k.2 na:t.4
9.65	silver	maj.5 pɛ:k.2
9.66	copper, bronze	ma:k.2 ʔo:k.4
9.67	iron	tɔn.6 ʔa.1-ŋun.2
9.68	lead (noun)	ja:.1 kwan.1
9.69	tin, tinplate	lu:t.2 ja:.1 kwan.1; lu:t.2 si.1-lik.1; ja:.1 kwan.1
9.71	potter	mɔ:.6 ja:.1 ŋɔk.1
9.72	mold (clay etc)	ma:k.2; baj.1 pu:.1
9.73	clay	kaw.5 maj.5
9.74	glass	kiŋ.2
9.75	weave, plait	ka:n.6
9.76	basket	pə:k.2 maj.5
9.77	mat	nam.5 le:ŋ.5 tɔn.6 maj.5
9.771	rug	tɔn.6 pa:m.1
9.78	netbag	ma:k.2 pa:w.5
9.79	fan (noun)	sɔm.6; ma:k.2 na:w.1
9.791	fan (vb)	ma:k.2 mo:ŋ.4
9.81	carve	tɔn.6 koj.6
9.82	sculptor	koj.6
9.83	statue	tɔn.6 maj.5 haj.1
9.84	chisel	tɔn.6 ma:k.2 kha:m.3
9.88	paint (noun)	ma:k.2 saŋ.1-phɔ:.1
9.89	paint (vb)	ma:k.2 ke:ŋ.3
10.11	move	tɔn.6 ŋiw.5
10.12	turn over	ma:k.2 ʔa:.1-lu:.1
10.13	turn around	man.1 kɛ:w.3
10.14	wind, wrap	phə:k.2
10.15	roll	man.1 kɛ:w.3 la:w.1 (la:w.1 = Laos)
10.16	drop (vb)	ma:k.2 ʔo:p.2
10.17	twist	ma:k.2 phɛ:ŋ.1; tɛ:ŋ.3; nam.5 taw.6
10.21	rise	wa:j.3
10.22	raise, lift	nɔ:.2 maj.5
10.23	fall	maj.5 bo:.2
10.24	drip	ʔɔ:j.6
10.25	throw	baj.1 maj.5 ti:.4 caj.5 bə:.2 pa:.3
10.252	catch (ball)	ka:j.1 ma:.3 nɔ:j.6
10.26	shake	hɛt.1
10.32	flow	hɛt.1; pɛ:ŋ.3
10.33	sink	hɛt.1 ka:n.3
10.34	float	ka:ŋ.5; ŋɔ:.1
10.35	swim	tɔp.5
10.351	dive	mat.5
10.352	splash	kɛ:.6 mat.5
10.36	sail (vb)	cə:k.4 lɛk.1
10.37	fly (vb)	cə:k.4; la:j.6
10.38	blow	pɔm.3; ŋə:n.4
10.41	creep, crawl	ti:.3; tup.5
10.412	kneel	ta:.3-mɨ:.1 pat.5
10.413	crouch	tat.1; sɔ:j.1
10.42	slide, slip	tat.1 lɔŋ.1; lɔt.5 lɔŋ.1
10.43	jump, leap	pha:.2
10.431	kick	tɛ:ŋ.1; siw.2
10.44	dance	mi:t.4
10.45	walk	mi:t.4 sɛ:m.1
10.451	limp	kwa:n.3
10.46	run	ta:k.2
10.47	go	tɛ:k.2; lɛ:w.3
10.471	go up	hak.1; lɛ:w.3
10.472	climb	pha:.2
10.473	go down	khi:k.2
10.474	go out	lɔ:k.4 naŋ.3
10.48	come	bi:p.2; khat.1
10.481	come back	cet.5
10.49	go away, depart	khɨŋ.3; jɨt.5
10.491	disappear	tɨ:t.4; la:k.4
10.51	flee	tɨ:t.4 ʔɔ:k.2; la:k.4 ʔɔ:k.2
10.52	follow	phɛ:.4 ʔɔ:k.2
10.53	pursue	hɔ:j.6
10.55	reach, arrive	tek.1
10.56	approach	bi:p.2; kan.5; bit.1
10.57	enter	he:.4
10.61	carry (bear)	la:ŋ.5
10.612	carry-in-hand	pat.1
10.613	carry-on-shoulder	ju:.1
10.614	carry-on-head	khə:ŋ.4 mɨ:.1
10.615	carry-underarm	khɔn.1 hɛt.1 maj.5
10.62	bring	sa:ŋ.6; pɛ:ŋ.3
10.63	send	siw.2
10.64	lead (vb)	khut.1 ʔɔ:k.2
10.65	drive	lə:j.4
10.66	ride	khɔn.5
10.67	push, shove	lɛk.1 ca:j.3
10.71	road	nam.5 kɔ:.2
10.72	path	ca:ŋ.4 ti:.3 lɛk.1
10.74	bridge	ti:.3 lɛk.1
10.75	carriage, wagon, cart	tɛ:n.4 ti:.3 lɛk.1
10.76	wheel	lɔ:.2 lɛk.1
10.77	axle	tɔ:ŋ.1 kham.1
10.78	yoke	ŋɔn.1; ŋɨn.1
10.81	ship	tɔ:ŋ.1 lə:ŋ.3; tɔ:ŋ.1 lɛ:ŋ.1
10.83	boat	lɛk.1
10.831	canoe	cɨ:n.1
10.832	outrigger	li:.1-buk.1
10.84	raft	mɔ:.6 lin.1
10.85	oar	lin.1 phuj.4
10.851	paddle (noun)	lin.1 niaw.3
10.852	row (vb)	kɛ:w.6
10.86	rudder	phə:.3
10.87	mast	sa:.5
10.88	sail (noun)	lɔŋ.6 phat.1 khaw.6
10.89	anchor	sa:t.2
10.91	harbor, port	pha:.6 puk.1
10.92	land (vb)	thɔŋ.3 pu:.2-ʔik.5
11.11	have	pan.2-ka:.2 lɔm.1
11.12	own, possess	pat.5; wi:.1
11.13	take	tɔŋ.6 la:j.1
11.14	seize, grasp	ca:ŋ.4 tɔŋ.6
11.15	hold	hu:p.4 lɔ:.2; hu:p.4 pan.6
11.16	get, obtain	siw.2; tɔŋ.6
11.17	keep, retain	si:.3
11.18	thing	tɛ:m.6 phuŋ.2; sɔ:j.1 phuŋ.2; ta:.1-si:.3
11.21	give	toŋ.5; waj.3
11.22	give back	kwam.1
11.24	preserve, look after	mun.3
11.25	save, rescue	ham.1; mo:n.5; hɔ:.2
11.27	destroy	ham.1; mo:n.5
11.28	harm, injure, damage	tɔk.1
11.31	seek, look for	pan.2; mɔ:.2; bit.1; pan.6
11.32	find	khɨn.6
11.33	lose	jɔk.5
11.34	release, let go	tɔk.1; jɔ:t.2
11.43	money	jɔ:t.2
11.44	coin	wɨt.5
11.51	rich	thiŋ.5
11.52	poor	jap.5
11.53	beggar	xaw.2
11.54	avaricious, stingy	laj.3
11.61	lend	cɔm.3
11.62	borrow	nam.5 tho:m.6
11.63	owe	lɔ:j.1
11.64	debt	wa:j.6 nam.5
11.65	pay (vb)	lam.1 nam.5
11.66	account, reckoning	pe.1 nam.5
11.69	tax, tribute	khap.1 hə:.1
11.77	hire	bin.1
11.78	wages	paw.2; piw.3
11.79	earn	ka:n.1
11.81	buy	khup.5 khaw.2
11.82	sell	mɔ:p.2
11.83	trade, barter	mɨ:n.4
11.84	merchant	hɔk.1; hɔk.1 wɛ:n.3
11.85	market (place)	pit.5
11.86	store, shop	ka:.6
11.87	price	ja:ŋ.4
11.88	dear (costly, expensive)	hɔk.1 tɛn.6
11.89	cheap	lɛn.4
11.91	share (distribute)	paj.1
11.92	weigh	khɨn.6 suŋ.3
12.1	after	khɨn.6
12.11	behind	lɔŋ.1 la:ŋ.4
12.2	beside	ʔɔ:k.2 paj.1
12.3	down, below	jam.4
12.4	before	ma:.1
12.41	front	pɔ:k.4 ma:.1; pɔ:k.4 khɨn.1; pɔ:k.4
12.5	inside, in	ʔɔ:k.2 ta:ŋ.1
12.6	outside	ha:j.3
12.7	under	pa:j.4; ni:.3
12.8	up, above	cɔ:m.1
12.11	place	lə:j.1 cɔ:m.1; laj.4 cɔ:m.1
12.12	put	ma:.1 phɛw.3; ma:.1 thɨŋ.3
12.13	sit	khaw.6 cam.3; kaj.6 thɨŋ.3
12.14	lie down	khaw.6
12.15	stand	bɛ:k.2
12.16	remain, stay	jup.1
12.17	remains, left overs	bɛ:k.2
12.21	collect, gather	jɔk.5 saj.2 ho:.3
12.212	pick up	ni:p.2
12.213	pile up	bɛ:k.2
12.22	join, unite	hɔ:j.6
12.23	separate	ʔaw.1 ma:.1; nam.1 ma:.1
12.232	divide	sɔŋ.2
12.24	open	ʔaw.1; nam.1
12.25	shut, close	khap.1
12.26	cover	khi:.2
12.27	hide, conceal	ju:.5
12.31	high	hɔn.3 ta:ŋ.1
12.32	low	ta:ŋ.1 te:w.1 (ia ̃ e:)
12.33	top	kho:.3
12.34	bottom	ka:ŋ.2 saj.2 kho:.1
12.35	end	lɔ:.5
12.352	pointed	kɛ:n.3
12.353	edge	ʔɛ:k.2
12.36	side	hə:.1 ma.2-ha:.3-sa.2-mut.1
12.37	middle, center	hə:.1
12.41	right (side)	hə:.1 pha:j.1
12.42	left (side)	saw.3 hə:.1
12.43	near (adv)	pɛ:.1
12.44	far (adv)	khɔn.1 pha:j.1 hə:.1
12.45	east	maj.5 pha:j.1 hə:.1
12.46	west	pha:j.1
12.47	north	khə:ŋ.4 baŋ.1-khap.5 hə:.1
12.48	south	saw.3 hə:.1
12.53	grow	baj.1 hə:.1
12.54	measure	lɛk.1 la:m.4 cə:k.4 ʔaw.1 lɔŋ.1 nam.5 we:.1-la:.1 cɔ:t.2 hə:.1
12.541	span, fathom	ta:.4 hə:.1
12.55	large, big	khɨn.6 lɛ:ŋ.5
12.56	small, little	mi:.1
12.57	long	caw.6 khɔŋ.3
12.58	tall	ʔaw.1; hap.5
12.59	short	kam.3
12.61	wide, broad	cap.1
12.62	narrow	ʔɔm.1; ka:p.4
12.63	thick (in dimension)	hap.5; laj.6 hap.5
12.65	thin (in dimension)	khɔŋ.3
12.67	deep	hɨ:.6
12.68	shallow	xɨn.1
12.71	flat	lu:.1 lɛ:.1; hak.5-sa:.3
12.73	straight	cɔ:j.4 lə:.3
12.74	crooked	ja:.5 lɛ:w.3; bup.1 lɛ:w.3
12.75	hook	sə:.3 ha:j.3; cɛp.1
12.76	corner	khɔn.5 ha:.3
12.77	cross	ha:.3
12.78	square	se:.3 ha:j.3
12.81	round	paj.1; pɔ:j.2
12.82	circle	ŋɔn.1; ŋɨn.1
12.83	sphere, ball	mɛt.5 ŋɨn.1
12.84	line	sat.1-the:.1; sat.1-thi:.3 (Pali)
12.85	hole	pha:n.3
12.92	like, similar	khɔn.1 jɔ:n.1; khɔn.1 pha:n.3
12.93	change	khi:.6 thi:.2; khi:.6 ciŋ.1
13.0	zero, nothing	hɨ:.6 jɨm.1
13.1	one	khɔ:.3 jɨm.1; ku:.6
13.2	two	pjɛn.3 ni:.6
13.3	three	ni:.6
13.4	four	ca:j.2
13.5	five	sɛn.6 ca.2-la:ŋ.1
13.6	six	pha:.1-si:.3
13.7	seven	ca:ŋ.6
13.8	eight	ka:.4 ca:ŋ.6; ŋɔn.1 lə:n.1
13.9	nine	mi:.1 la:j.1 laj.6
13.10	ten	sɨ:.5
13.101	eleven	kha:j.3
13.102	twelve	lɛ:k.4 pe:n.2 khɔŋ.3 ka:.4 ka:n.3 kha:j.3
13.103	fifteen	pɔ:.4 ka:.5; khɔn.1 kha:j.3 khɔŋ.3
13.104	twenty	ka:t.2
13.105	hundred	sjɛŋ.2
13.106	thousand	la:.1-ka:.1
13.107	count	pɛ:ŋ.1
13.14	every, all	thu:k.2
13.15	much, many	cɛ:k.2 ca:j.2
13.16	more	caŋ.4
13.17	little (quantity), few	laŋ.3
13.18	enough	laŋ.3
13.181	some	kha:ŋ.6 kha:ŋ.6
13.19	multitude, crowd	la:ŋ.4
13.21	full	kɔ:n.2
13.22	empty	na:.6
13.23	part, piece	naj.1; taŋ.1 naj.1
13.24	half	taŋ.1 nɔ:k.4
13.33	alone, only	taj.6; taŋ.1 taj.6
13.34	first	nə:.3; taŋ.1 nə:.3
13.35	last	khoŋ.2
13.36	second	wa:ŋ.1
13.37	pair	naŋ.4
13.38	two times	nɔ:n.1
13.42	third	jɨ:n.1
13.44	three times	ju:.2
14.11	time	paj.5 tha:.6
14.12	age	lə:.3 ju:.2; khɔŋ.3 lə:.3
14.13	new	kɛp.1 cu:.5 waj.5
14.14	young	kɛp.1
14.15	old	sum.3; tap.5
14.16	early	huam.4 kan.3
14.17	late	jɛ:k.4
14.18	now	bɛŋ.2
14.19	immediately	pɨ:t.2
14.21	swift, fast, quick	pɨ:t.2 ta:.3
14.22	slow	hap.1
14.23	hasten, hurry	lap.1 ta:.3
14.24	retard, delay	sum.2 waj.5
14.25	begin, beginning	sə:ŋ.2; hap.1 waj.5
14.252	last, endure	suŋ.3
14.26	end (temporal)	tam.2
14.27	finish	nə:.3 sut.1
14.28	cease, stop	taj.6; la:ŋ.4
14.29	ready	ta:j.5; cɔp.1; pa:j.3
14.31	always	lɛ:m.3 khɔm.1
14.32	often	khɔ:p.2
14.33	sometimes	kha:ŋ.6
14.331	soon	ka:ŋ.3
14.332	long-time (for a)	wa:ŋ.2
14.34	never	khwa:.3
14.35	again	sa:j.5
14.41	day	cam.3; kaj.3
14.42	night	ta:.3 wan.1 ʔɔ:k.2
14.43	dawn	ta:.3 wan.1 tɔk.1
14.44	morning	nə:.3
14.45	noon, midday	taj.6
14.451	afternoon	xɨn.6 jaj.2
14.46	evening	khəŋ.4 wat.5
14.47	today	khɨ:p.4
14.48	tomorrow	lo:ŋ.4; jaj.2
14.481	day-after-tomorrow	nɔ:j.5
14.49	yesterday	ja:w.1
14.491	day-before-yesterday	suŋ.3
14.51	hour	pɔt.1
14.53	clock, timepiece	kwa:ŋ.6
14.61	week	cɔ:m.4; khɛ:p.4
14.62	Sunday	na:.3
14.63	Monday	khɔn.6; ne:w.3
14.64	Tuesday	ba:ŋ.1
14.65	Wednesday	lɨk.5
14.66	Thursday	tɨ:n.6
14.67	Friday	pe:ŋ.1
14.68	Saturday	sɨ:.4
14.71	month	ŋɔ:.1; ko:ŋ.5
14.73	year	khɔ:.3 kɔ:.5
14.74	winter	ce:.3
14.75	spring	khə:ŋ.4 ma:j.3 su:.3 khun.1
14.76	summer	si:.2 le:m.2
14.77	autumn	mɔn.1
14.78	season	kɔm.3
15.21	smell (vb intrans)	lu:k.4 pu:.2 luŋ.1
15.212	sniff	sɛn.6
15.22	smell (vb trans)	hu:.1
15.25	fragrant, good smelling	mə:n.3
15.26	stinking, bad smelling	pe:n.2
15.31	taste	paw.2
15.35	sweet	nɨŋ.4
15.36	salty	sɔ:ŋ.3
15.37	bitter	sa:m.3
15.38	acid, sour	si:.2
15.39	brackish	ha:.6
15.41	hear	hɔk.1
15.42	listen	cɛt.1
15.44	sound, noise	pɛ:t.2
15.45	loud	kaw.6
15.46	quiet, silence	sip.1
15.51	see	sip.1 ʔɛt.1
15.52	look, look at	sip.1 sɔ:ŋ.3
15.55	show	sip.1 ha:.6
15.56	shine	sa:w.1
15.57	bright	pa:k.2
15.61	color	he:ŋ.3
15.62	light (in color)	nap.5
15.63	dark (in color)	taŋ.1 mɔt.1; tuk.5 tuk.5
15.64	white	la:j.3
15.65	black	la:j.3 kwa.2
15.66	red	nɔ:j.5
15.67	blue	pe:ŋ.1 pɔ:.1
15.68	green	phɔ:ŋ.4
15.69	yellow	mu:.2; ka.5-na.5; kum.2
15.71	touch	tjɛm.3
15.712	pinch	ʔim.2
15.72	feel	wa:ŋ.4; paw.2
15.74	hard	khɔŋ.3 ba:ŋ.1 ja:ŋ.2
15.75	soft	kɨŋ.2
15.76	rough	ʔan.1 nɨŋ.4; ja:ŋ.2 nɨŋ.4
15.77	smooth	ʔan.1 ti:.4 nɨŋ.4
15.78	sharp	ʔan.1 ti:.4 sut.1 ta:j.5
15.79	blunt, dull	ʔan.1 ti:.4 sɔ:ŋ.3
15.81	heavy	ku:.4
15.82	light (in weight)	sɔ:ŋ.3 pɔ:k.2; sɔ:ŋ.3 khaŋ.5
15.83	wet, damp	ʔan.1 ti:.4 sa:m.3
15.84	dry	sa:m.3 pɔ:k.2; sa:m.3 khaŋ.5
15.85	hot	we:.1-la:.1; khiŋ.2
15.851	warm	ʔa:.1-ju.5
15.86	cold	maj.2
15.87	clean	num.2 sa:w.3
15.88	dirty, soiled	kaw.2
15.89	wrinkled	kɛ:.2; thaw.6
16.11	soul, spirit	ŋɔ:k.2
16.15	surprised, astonished	caw.5
16.18	good fortune, luck	la:.6; ca:.5
16.19	misfortune, bad luck	tɔ:n.3 ni:.5
16.23	joyful, glad, happy	lew.3 ni:.5
16.25	laugh	waj.1
16.251	smile	thə:ŋ.1; ca:.5
16.26	play	hi:p.4
16.27	love	thə:ŋ.1; ca:.5; la:.6
16.29	kiss	taŋ.6 kaw.5; tɛ:.2 tɔn.6
16.3	embrace	ʔɔt.1; khan.3-ti:.3 (Pali)
16.31	pain	cɔp.1; sut.1 ta:j.5
16.32	grief, sorrow, sadness	lɛ:w.5; ʔɔŋ.2
16.33	anxiety, worry	jut.1
16.34	regret, be sorry	tan.1
16.35	pity	sa.2-mə:.3; pa.2-cam.3
16.37	cry, weep	man.4 man.4
16.38	tear (noun)	ba:ŋ.1 pɔ:k.4
16.39	groan	naj.1 baw.2 hɨŋ.3; naj.1 baw.2 mɨn.1
16.41	hate	we:.1-la:.1 na:n.1
16.42	anger	baw.2 kə:j.1
16.44	envy, jealousy	thɛ:ŋ.6 pɔ:k.4
16.45	shame (noun)	wan.1
16.48	proud	ka:ŋ.3 khɨ:n.1
16.51	dare	mə:.4 caw.5
16.52	brave	we:.1-la:.1 caw.5; tɔ:n.3 caw.5
16.53	fear, fright	ta:.3 wan.1 teŋ.4
16.54	danger	laŋ.3 teŋ.4; ta:.3 wan.1 ca:j.5
16.62	desire, want	tɔ:n.3 lɛ:ŋ.1
16.622	choose	wan.1 ni:.5
16.63	hope	mə:.4 phuk.5
16.65	faithful	wan.1 hɨ:.1
16.66	true	mə:.4 wa:.1 ni:.5
16.67	lie, tell lies	mə:.4 wan.1 sɨ:n.1
16.68	deceit	co:.4 mo:ŋ.1
16.69	forgive	na:.1-li:.2-ka:.3
16.71	good	ʔa:.1-tit.5
16.72	bad	wan.1 ʔa:.1-tit.5
16.73	right, correct	wan.1 can.3
16.74	wrong	wan.1 ʔaŋ.1-ka:n.1
16.76	fault	wan.1 put.5
16.77	mistake, error	wan.1 phat.1
16.78	blame	wan.1 suk.1
16.79	praise	wan.1 saw.3
16.81	beautiful	lə:n.1
16.82	ugly	pi:.3
16.83	greedy	khiŋ.2 kat.1
16.84	clever	khiŋ.2 baj.1 maj.5 tɛ:k.2 nɔ:.2 ʔɔ:k.2 baj.1
17.11	mind	khiŋ.2 hɔ:n.5
17.13	think (= reflect)	khiŋ.2 baj.1 maj.5 lɔn.2
17.14	think (= be of the opinion)	khiŋ.2 lɛ:ŋ.5
17.15	believe	khiŋ.2 phɔn.3
17.16	understand	khiŋ.2; xa:w.1; na:.6; we:.1
17.17	know	sɛw.2 ʔa:j.1
17.171	guess	su:t.2 ha:j.3 caj.3
17.172	imitate	lɔm.1; sɛw.2 ʔa:j.1
17.18	seem	hɔ:m.3
17.19	idea, notion	mjɛ:n.3
17.21	wise	lɔt.5
17.22	foolish, stupid	ca:ŋ.3 cit.1
17.23	insane, crazy	cɛm.1
17.24	learn	kə:.3 cɛm.1
17.242	study	khɔm.3
17.25	teach	sɔm.6
17.26	pupil	baw.2 pɔ:.1 li:.1
17.27	teacher	laj.6 jin.1
17.28	school	phaŋ.1
17.31	remember	se:ŋ.3
17.32	forget	se:ŋ.3 hɛ:ŋ.1
17.34	clear, plain	lak.1 si:.2
17.35	obscure	han.3
17.36	secret	to:j.1; to:j.1 lu:.1
17.37	sure, certain	sa.2-lɛ:ŋ.1
17.38	explain	sɛ:ŋ.3 sɔ:ŋ.2
17.41	intention, purpose	cɛ:ŋ.6
17.42	cause	si:.3
17.43	doubt	si:.3 ca:ŋ.3
17.44	suspect	si:.3 khun.2
17.441	betray	si:.3 kha:w.3
17.45	need, necessity	si:.3 lam.1
17.46	easy	si:.3 lɛ:ŋ.1
17.47	difficult	si:.3 lə:n.6
17.48	try, attempt	si:.3 khe:w.3
17.49	way, manner	si:.3 lə:ŋ.3
17.51	and	jup.1
17.52	because	ni:p.2; bi:p.2
17.53	if	hu:.5 to:.3
17.54	or	khɛŋ.3
17.55	yes, affirmative	no:n.1
17.56	no, negative	ʔo:n.6
17.61	how?	ca:.1
17.62	how many?	pe:ŋ.1
17.63	how much?	pha:j.3
17.64	what?	baw.2 pha:j.3
17.65	when?	nak.1
17.66	where?	baw.1
17.67	which?	pe.1
17.68	who?	hɛ:ŋ.6; hɛ:ŋ.6 lɛ:ŋ.5
17.69	why?	hɛt.1 hɨ:.6 hɛ:ŋ.6
18.11	voice	hɔ:n.5
18.12	sing	ʔun.2
18.13	shout, cry out	kat.1; jɛn.1; sa.1-ʔa:t.2
18.15	whisper	bə:.3 ba:k.2
18.16	mumble	jɔ:n.2
18.17	whistle	win.1-ja:n.1 (Pali)
18.18	shriek, screech	ʔa:m.1; hɛt.1 hɨ:.6 ʔa:m.1
18.19	howl	co:k.4 li:.1
18.21	speak, talk	co:k.4 ha:j.5
18.211	stutter, stammer	mi:.1 kwa:m.1 suk.1
18.22	say	khaj.4 su:.6
18.221	tell story	jim.5
18.222	speech (make a)	lɛn.6
18.23	silent (be)	hak.5
18.24	language	cu:p.2
18.26	word	kɔ:t.2
18.28	name	cɛp.1
18.31	ask (question, inquire)	mɔ:ŋ.3 caj.3
18.32	answer	wi.1-tɔk.1 kaŋ.3-wɔn.1
18.33	admit, confess	mɔ:ŋ.3 caj.3
18.34	deny	ʔi.1-lu:.1; sɔŋ.3-sa:n.3
18.35	ask, request	hɔ:ŋ.5 haj.6
18.36	promise	nam.5 ta:.3
18.37	refuse	xa:ŋ.1
18.38	forbid	caŋ.1
18.39	rebuke, scold	caj.3 lam.1
18.41	call (=summon)	ʔi:.1-cha:.3 (Pali); hɨŋ.3
18.42	call (=name)	ʔa:j.1
18.43	announce	li:.1 caj.3
18.44	threaten	hat.1; ka:.6; ta:.5
18.45	boast	khi:.6 ʔa:j.1
18.51	write	ka:.6 ha:n.3
18.52	read	ko:.3
18.56	paper	ʔɔn.1-ta.1-la:j.1 (Pali)
18.57	pen	tɔŋ.6-ka:n.3
18.61	book	lə:k.4
18.67	poet	kwa:m.1 waŋ.3
18.71	flute	sɨ:.4 sat.1; mi:.1 sat.1-ca.1
18.72	drum	tɛ:.4
18.73	horn, trumpet	khi:.6 cu.1; khi:.6 pjɛ:t.4
18.74	rattle	lɔ:k.2
19.11	country	baw.2 ʔaw.1 phit.1
19.12	one's native country	li:.1
19.15	city, town	baw.2 li:.1; ha:j.5
19.16	village	thu:k.2
19.17	boundary	phit.1
19.21	people (populace)	phit.1
19.23	tribe, clan	khɔ:.6 phit.1
19.24	chief, chieftain	ti.1-te:n.1; wa:.4 ka:w.2 hɨ:.6
19.25	staff, walking stick	jɔk.1 jɔŋ.4
19.31	rule, govern	ŋa:m.1; law.1
19.32	king, ruler	na:.6 ca.5
19.33	queen	mak.1 laj.6 mak.1 kin.3
19.36	noble, nobleman	lɛt.1; lak.1 lɛ:m.3
19.37	citizen, subject	saj.2 caj.3
19.41	master	kɨt.5 sɔ:n.2
19.42	slave	khit.5; kɨt.5
19.43	servant	jum.2
19.44	freeman	khaw.6 caj.3
19.45	command, order	hu:.5 cak.1
19.46	obey	nɨk.5; khit.5
19.47	let, permit	hɛt.1 mə:n.3 pə:n.4
19.51	friend, companion	to:j.1 mə:n.3
19.52	enemy	kwa:m.1 khit.5; kwa:m.1
19.54	neighbor	lɛt.1; lak.1 lɛ:m.3
19.55	stranger	ŋa:w.4
19.56	guest	jɔŋ.2; ba:.6
19.57	host	hian.1 hu:.5
19.58	help, aid	hian.1
19.59	hinder, prevent	sɔ:n.3
19.61	custom	lɔ:n.2 cɔ:ŋ.1; nak.5 hian.1
19.62	strife, quarrel	khu:.1; ʔa:.1-ca:ŋ.3
19.63	conspiracy, plot	cɔ:ŋ.1; ho:ŋ.1-hian.1
19.65	meet	cam.3; cɨ:.2 waj.5
19.72	prostitute	lɨm.1
20.11	fight (vb)	thuk.2 tɔŋ.6
20.13	war, battle	baw.2 nɛ:.4 nɔ:n.1
20.14	peace	suk.5 sə:ŋ.1; pɔk.1 pit.1 waj.5
20.15	army	nɛ:.4 caj.3; man.6 caj.3
20.17	soldier	ʔa.1-thi.1-ba:j.1 (Pali)
20.21	weapons, arms	taŋ.6 caj.3; ce:.3-ta.1-na:.1 (Pali)
20.22	club	sa:j.3 he:t.2
20.222	battle-ax	tha:ŋ.2
20.23	sling	nɨk.5 waj.5; ma:j.3 waj.5
20.24	bow	khit.5 ha:j.5 tɔ:.2 phu:.6 mi:.1 kun.1
20.25	arrow	kwa:m.1 tɔŋ.6 ka:n.3; kwa:m.1 cam.3 pɛn.3
20.26	spear	ŋa:j.4
20.27	sword	ja:k.4; ka:m.2 baw.2 li:.1
20.28	gun, cannon	ca:m.1 to:j.1; lɔ:ŋ.1
20.31	armor (defensive)	ʔa:.1-ka:n.3 (Pali)
20.33	helmet	lɛ.5
20.34	shield	phɔ.5
20.35	fortress	tha:.6
20.36	tower	lɨ:.3
20.41	victory	caj.4
20.42	defeat	baw.2
20.43	attack	ja:ŋ.2 laj.1
20.44	defend	taw.4 laj.1
20.45	retreat	taw.4 laj.1
20.46	surrender	ʔi.1 saŋ.3
20.47	captive, prisoner	mə:.4 laj.1
20.471	guard, sentinel	ti:.4 naj.3
