entry_id	trans_english	Spanish_Phonemic
15.25	fragrant, good smelling	fragante; bien oliente
15.26	stinking, bad smelling	hediondo
15.31	taste	gustar; saborear
15.35	sweet	dulce
15.36	salty	salado
15.37	bitter	amargo
15.38	acid, sour	ácido; agrio
15.39	brackish	salobre
15.41	hear	oír
15.42	listen	escuchar
15.44	sound, noise	sonido; ruido
15.45	loud	alta (voz); ruidoso
15.46	quiet, silence	silencio; tranquilo
15.51	see	ver
15.52	look, look at	mirar; contemplar
15.55	show	mostrar; seɲalar
15.56	shine	brillar
15.57	bright	brillante; resplandor
15.61	color	color
15.62	light (in color)	claro
15.63	dark (in color)	oscuro
15.64	white	blanco
15.65	black	negro
15.66	red	rojo
15.67	blue	azul
15.68	green	verde
15.69	yellow	amarillo
15.71	touch	tocar
15.712	pinch	pellizcar
15.72	feel	sentir
15.74	hard	duro
15.75	soft	suave
15.76	rough	áspero
15.77	smooth	suave; liso
15.78	sharp	afilado; aguzado; filoso
15.79	blunt, dull	romo; embotado
15.81	heavy	pesado
15.82	light (in weight)	liviano; ligero
15.83	wet, damp	mojado; húmedo
15.84	dry	seco
15.85	hot	caliente
15.851	warm	tibio; cálido
15.86	cold	frío
15.87	clean	limpio
15.88	dirty, soiled	sucio
15.89	wrinkled	arrugado
16.11	soul, spirit	alma
16.15	surprised, astonished	sorprendido; estupefacto
16.18	good fortune, luck	buena suerte
16.19	misfortune, bad luck	mala suerte
16.23	joyful, glad, happy	alegre; contento; feliz
16.25	laugh	reír
16.251	smile	sonreír
16.26	play	jugar
16.27	love	querer, amar
16.29	kiss	besar
16.3	embrace	abrazar
16.31	pain	dolor
16.32	grief, sorrow, sadness	tristeza; dolor; pena
16.33	anxiety, worry	ansiedad; angustia; preocupación
16.34	regret, be sorry	lamentar; sentir
16.35	pity	compasión; lástima
16.37	cry, weep	llorar
16.38	tear (noun)	lágrima
16.39	groan	gemir
16.41	hate	odiar
16.42	anger	enojo; ira; rabia
16.44	envy, jealousy	envidia; celos
16.45	shame (noun)	vergüenza
16.48	proud	orgulloso
16.51	dare	osar; atreverse
16.52	brave	valiente
16.53	fear, fright	miedo; susto
16.54	danger	peligro
16.62	desire, want	anhelar; desear
16.622	choose	escoger; elegir
16.63	hope	esperanza
16.65	faithful	fiel
16.66	true	verdadero
16.67	lie, tell lies	mentir
16.68	deceit	engaɲo
16.69	forgive	perdonar
16.71	good	bueno
16.72	bad	malo
16.73	right, correct	correcto
16.74	wrong	incorrecto; falso
16.76	fault	culpa
16.77	mistake, error	equivocación; error
16.78	blame	culpa; censura
16.79	praise	exaltar; alabar
16.81	beautiful	hermoso; bonito; lindo
16.82	ugly	feo
16.83	greedy	codicioso; voraz
16.84	clever	hábil; capaz
17.11	mind	mente; pensamiento
17.13	think (= reflect)	pensar
17.14	think (= be of the opinion)	creer; suponer
17.15	believe	creer
17.16	understand	entender; comprender
17.17	know	saber; conocer
17.171	guess	adivinar; acertar
17.172	imitate	imitar
17.18	seem	parecer
17.19	idea, notion	idea; concepto
17.21	wise	sabio
17.22	foolish, stupid	necio; estúpido; tonto
17.23	insane, crazy	loco; insano
17.24	learn	aprender
17.242	study	estudiar
17.25	teach	enseɲar
17.26	pupil	alumno
17.27	teacher	profesor; maestro
17.28	school	escuela; colegio
17.31	remember	recordar; acordarse
17.32	forget	olvidar
17.34	clear, plain	claro; evidente
17.35	obscure	obscuro
17.36	secret	secreto
17.37	sure, certain	seguro; cierto
17.38	explain	explicar
17.41	intention, purpose	propósito; intención
17.42	cause	causar
17.43	doubt	dudar
17.44	suspect	sospechar
17.441	betray	traicionar
17.45	need, necessity	necesidad
17.46	easy	fácil
17.47	difficult	difícil
17.48	try, attempt	tratar; probar
17.49	way, manner	modo; manera
17.51	and	y
17.52	because	porque
17.53	if	si
17.54	or	o
17.55	yes, affirmative	sí; afirmativo
17.56	no, negative	no; negativo
17.61	how?	¿cómo?
17.62	how many?	¿cuántos?
17.63	how much?	¿cuánto?
17.64	what?	¿qué?
17.65	when?	¿cuándo?
17.66	where?	¿dónde?
17.67	which?	¿cuál?
17.68	who?	¿quién?
17.69	why?	¿por qué?
18.11	voice	voz
18.12	sing	cantar
18.13	shout, cry out	gritar
18.15	whisper	cuchichear
18.16	mumble	barbotar; hablar entre dientes
18.17	whistle	silbar; chiflar
18.18	shriek, screech	chillar
18.19	howl	aullar
18.21	speak, talk	hablar
18.211	stutter, stammer	tartamudear; balbucear
18.22	say	decir
18.221	tell story	narrar; contar
18.222	speech (make a)	pronunciar un discurso
18.23	silent (be)	callarse
18.24	language	lengua; idioma
18.26	word	palabra
18.28	name	nombre
18.31	ask (question, inquire)	preguntar
18.32	answer	contestar; responder
18.33	admit, confess	admitir; confesar; reconocer
18.34	deny	negar
18.35	ask, request	pedir
18.36	promise	prometer
18.37	refuse	rehusar
18.38	forbid	prohibir
18.39	rebuke, scold	reprender
18.41	call (=summon)	llamar
18.42	call (=name)	llamarse
18.43	announce	anunciar; avisar
18.44	threaten	amenazar
18.45	boast	jactarse
18.51	write	escribir
18.52	read	leer
18.56	paper	papel
18.57	pen	pluma
18.61	book	libro
18.67	poet	poeta
18.71	flute	flauta
18.72	drum	bombo; tambor
18.73	horn, trumpet	trompeta; trompa; corneta
18.74	rattle	matraca; cascabel
19.11	country	país
19.12	one's native country	patria
19.15	city, town	ciudad
19.16	village	pueblo
19.17	boundary	límite; frontera
19.21	people (populace)	pueblo; gente
19.23	tribe, clan	tribu; clan
19.24	chief, chieftain	jefe; cacique
19.25	staff, walking stick	bastón; bordón
19.31	rule, govern	gobernar
19.32	king, ruler	rey; gobernante
19.33	queen	reina
19.36	noble, nobleman	noble
19.37	citizen, subject	ciudadano; súbdito
19.41	master	amo; dueɲo; patrón
19.42	slave	esclavo
19.43	servant	sirviente; criado
19.44	freeman	hombre libre
19.45	command, order	mandar; ordenar
19.46	obey	obedecer
19.47	let, permit	permitir; dejar
19.51	friend, companion	amigo; compaɲero
19.52	enemy	enemigo
19.54	neighbor	vecino
19.55	stranger	extranjero; forastero
19.56	guest	huésped; invitado
19.57	host	huésped, hospedero
19.58	help, aid	ayudar
19.59	hinder, prevent	impedir; estorbar
19.61	custom	costumbre; hábito
19.62	strife, quarrel	lucha; pleito; disputa
19.63	conspiracy, plot	conspiración
19.65	meet	encontrar
19.72	prostitute	prostituta
20.11	fight (vb)	pelear
20.13	war, battle	guerra; batalla
20.14	peace	paz
20.15	army	ejército; tropas
20.17	soldier	soldado
20.21	weapons, arms	armas
20.22	club	macana; garrote
20.222	battle-ax	hacha de combate
20.23	sling	honda
20.24	bow	arco
20.25	arrow	flecha
20.26	spear	lanza
20.27	sword	espada
20.28	gun, cannon	escopeta; caɲón
20.31	armor (defensive)	armadura
20.33	helmet	yelmo
20.34	shield	escudo
20.35	fortress	fortaleza; castillo
20.36	tower	torre
20.41	victory	victoria
20.42	defeat	derrota
20.43	attack	atacar
20.44	defend	defender
20.45	retreat	huir; retirarse
20.46	surrender	rendirse
20.47	captive, prisoner	cautivo; preso; prisionero
20.471	guard, sentinel	guardia; centinela
20.48	booty, spoils	botín
20.49	ambush	acechar; emboscar
20.51	fisherman	pescador
20.52	fishhook	anzuelo
20.53	fishing line	cuerda de pescar
20.54	fishnet	red; atarraya
20.55	fish trap	nasa
20.56	bait	cebo; carnada
20.61	hunt	cazar
20.62	shoot	tirar; disparar
20.63	miss (target)	errar; fallar
20.64	trap (noun)	trampa
20.65	trap (vb)	atrapar
21.11	law	ley
21.15	court	tribunal
21.16	judge (vb)	juzgar
21.17	judgment	juicio
21.18	judge (noun)	juez
21.21	plaintiff	demandante
21.22	defendant	acusado
21.23	witness	testigo
21.24	swear	jurar
21.25	oath	juramento
21.31	accuse	acusar; denunciar
21.32	condemn	condenar
21.33	convict (vb)	inculpar; condenar
21.34	acquit	absolver; exculpar
21.35	guilty	culpable
21.36	innocent	inocente
21.37	penalty, punishment	castigo
21.38	fine	multa
21.39	prison, jail	cárcel
21.42	murder	asesinar; matar
21.43	adultery	adulterio
21.44	rape	violación
21.46	arson	incendio premeditado
21.47	perjury	perjurio
21.51	steal	robar
21.52	thief	ladrón
22.11	religion	religión
22.12	God	Dios
22.13	temple, church	templo; iglesia
22.14	altar	altar
22.15	sacrifice, offering	ofrenda; sacrificio
22.16	worship	adorar; culto
22.17	pray	orar; rezar
22.18	priest	cura; presbítero; sacerdote
22.19	holy, sacred	sagrado; santo
22.22	preach	predicar
22.23	bless	bendecir
22.24	curse	maldecir
22.26	fast (vb)	ayunar
22.31	heaven	cielo; paraíso
22.32	hell	infierno
22.35	demon (evil spirit)	demonio
22.37	idol	ídolo
22.42	magic, witchcraft, sorcery	brujería; hechicería
22.43	sorcerer, witch	brujo/ bruja; hechicero
22.44	fairy, elf	hada; duende
22.45	ghost, phantom	fantasma
22.47	omen, portent	agüero; presagio
