entry_id	trans_english	Yagua_Phonemic
5.16	suck	tiriy; turiy; riɲi
5.18	chew	himiyã; hmiyã
5.181	swallow	ramiču
5.19	choke	pitya; rũy
5.21	cook	miti; mutiwye
5.22	boil (vb)	mukata
5.23	roast, fry	ruyẽ
5.24	bake	hansũy; hanu
5.25	oven	[hurunu]
5.26	pot, cooking vessel	hiduy mõtarya
5.27	kettle	himõ
5.28	pan	sutapã
5.31	dish	sidye
5.32	plate	-pay; sidye
5.33	bowl	patõ
5.34	pitcher, jug	hapatyu; -nu
5.35	cup, drinking vessel	hatuho; hatusi; hatuwũ
5.36	saucer	sidyedye
5.37	spoon	himityã; mityã; [kučera]
5.38	knife	kiči
5.39	fork	himityã
5.391	tongs	hiryityã
5.41	meal (a)	hmičara
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	hasitya; hasutya; hota; -kĩsuy
5.47	sieve, strain	ramitya
5.48	scrape	pãy; muday
5.49	stir, mix	nubedo
5.51	bread	[pã]
5.53	dough	-di; buyã-di
5.54	knead	doya
5.55	meal, flour	huru
5.56	crush, grind	muči; tanu; sanã
5.57	mill	sanãho
5.58	mortar	sanãho
5.59	pestle	sanãse
5.61	meat	sawi; hãpũy
5.63	sausage	kamisahũ; kamisawũ
5.64	soup, broth	-hã
5.65	vegetables	
5.66	bean	purutu
5.7	potato	musã
5.71	fruit	-bi; -si; -ho
5.712	bunch	-bi; -tu
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	nĩhã
5.791	grease, fat	nĩdi
5.81	salt	tiwyi
5.82	pepper	hũdisiy
5.821	chili pepper	hũdisi
5.84	honey	kisihyã
5.85	sugar	[hasuka]
5.86	milk (noun)	hĩtyãhã
5.87	milk (vb)	muči
5.88	cheese	
5.89	butter	nĩdi
5.9	beverage, drink	hatusara; hatuhã
5.91	mead	
5.92	wine	[binuhã]
5.93	beer	buyã
5.94	fermented drink	kasihyã; hũdahã
5.97	egg	-hũ; hiwada
5.971	egg yolk	
6.11	put on (clothes)	haču
6.12	clothing, clothes	suhay
6.13	tailor	suhay hwaɲu
6.21	cloth	suhay
6.22	wool	-hasi; hasičo
6.23	linen, flax	
6.24	cotton	n(u)rabi
6.25	silk	[seda]hay
6.27	felt	
6.28	fur	hasi
6.29	leather	hay
6.31	spin	ruyunu
6.32	spindle	ruyintã
6.33	weave	hča
6.34	loom	
6.35	sew	kuruču; sini; suni
6.36	needle	roda
6.37	awl	hutyatã
6.38	thread	n(u)rabihũ
6.39	dye	mučantã
6.41	cloak	
6.411	poncho	[kušma]
6.42	woman's dress	-hay; su-hay
6.43	coat	[saku]
6.44	shirt	-hay
6.45	collar	
