entry_id	trans_english	Catuquina_Phonemic
12.83	sphere, ball	čoroʔĩ-ti
12.84	line	
12.85	hole	kini
12.92	like, similar	kɨsa
12.93	change	-kɨkawã; tɨki
13.0	zero, nothing	yama
13.1	one	wɨsti-s
13.2	two	nɨska-βɨkoĩ
13.3	three	nɨska-βɨkoĩ wɨsti-s
13.4	four	
13.5	five	mɨβi hama-ʔori-tiʔi
13.6	six	--
13.7	seven	--
13.8	eight	--
13.9	nine	--
13.10	ten	mɨβi-tiʔi
13.101	eleven	--
13.102	twelve	--
13.103	fifteen	--
13.104	twenty	--
13.105	hundred	--
13.106	thousand	--
13.107	count	kac̷ɨ-
13.14	every, all	kɨyo-s-ka
13.15	much, many	oti-pa
13.16	more	oti-pira
13.17	little (quantity), few	oti-ma-pičṣ̌a
13.18	enough	haska-nõ; i-βi-s-aʔi
13.181	some	wɨc̷a
13.19	multitude, crowd	nokɨ-ʔã hawɨ-ʔa-ti-ma-ka
13.21	full	maṣ̌a i-
13.22	empty	šaka
13.23	part, piece	wɨc̷a; tɨa-(pičṣ̌a)
13.24	half	hama-ʔori-ti
13.33	alone, only	wɨsti-s
13.34	first	βɨβo; pari
13.35	last	ṣ̌ipo
13.36	second	
13.37	pair	raβɨ; -βɨkoĩ
13.38	two times	nɨska-βɨkoĩ a-kĩ
13.42	third	
13.44	three times	
14.11	time	βari-namã
14.12	age	-tiʔi βari-a
14.13	new	βɨna-pa
14.14	young	šɨni-ra-ma
14.15	old	šɨni-ra
14.16	early	
14.17	late	
14.18	now	rama
14.19	immediately	rama-pičṣ̌a
14.21	swift, fast, quick	raya-; βɨstɨ̃-(pa)
14.22	slow	tana-(pičṣ̌a)
14.23	hasten, hurry	raya-
14.24	retard, delay	[ĩpata-]
14.25	begin, beginning	ṣ̌iṣ̌a-βiʔi-
14.252	last, endure	kɨyo-yama-
14.26	end (temporal)	kɨyo-t-
14.27	finish	haβi-
14.28	cease, stop	hɨnɨ-
14.29	ready	haβi-
14.31	always	βari βɨno-i-ma
14.32	often	-βaʔĩ-βaʔĩ-
14.33	sometimes	βari raβɨ-tiʔi
14.331	soon	rama-pičṣ̌a
14.332	long-time (for a)	raya-t-a-ʔaš haβi-yama
14.34	never	-ʔama i-mis
14.35	again	-ʔo
14.41	day	βari
14.42	night	yame
14.43	dawn	βari sana-ʔina-
14.44	morning	šaβa-ma-ka
14.45	noon, midday	βari mãkaʔĩ-nõ
14.451	afternoon	βari ono pakɨ-nõ
14.46	evening	yãta pakɨ-nõ
14.47	today	nɨa βarĩ
14.48	tomorrow	šaβa-ma
14.481	day-after-tomorrow	
14.49	yesterday	yãta
14.491	day-before-yesterday	okɨ yãta
14.51	hour	--
14.53	clock, timepiece	βari oĩ-ti
14.61	week	mɨʔɨ i-ti
14.62	Sunday	[tomĩko] βari
14.63	Monday	[segunda]
14.64	Tuesday	[tisa]
14.65	Wednesday	[kʷata]
14.66	Thursday	[kĩta]
14.67	Friday	[sista]
14.68	Saturday	[saβa]
14.71	month	ošɨ
14.73	year	βari; βari ṣ̌inĩ
14.74	winter	oi ṣ̌inĩ
14.75	spring	--
14.76	summer	βari ṣ̌inĩ
14.77	autumn	--
14.78	season	...ṣ̌inĩ
15.21	smell (vb intrans)	
15.212	sniff	šɨtɨ-
15.22	smell (vb trans)	šɨtɨ-
15.25	fragrant, good smelling	inĩ
15.26	stinking, bad smelling	pisi-
15.31	taste	tana-
15.35	sweet	βata-(pa)
15.36	salty	[sao]-koĩnãka
15.37	bitter	moka-
15.38	acid, sour	kaṣ̌a
15.39	brackish	noɨ̃-ka
15.41	hear	nĩka-
15.42	listen	nĩka-
15.44	sound, noise	
15.45	loud	isĩ-
15.46	quiet, silence	isĩ-ma
15.51	see	oĩ-
15.52	look, look at	oĩ
15.55	show	oĩ-ma-
15.56	shine	hota-
15.57	bright	isĩ-
15.61	color	
15.62	light (in color)	koro-
15.63	dark (in color)	ṣ̌ɨšɨ
15.64	white	hošo-
15.65	black	ṣ̌ɨšɨ
15.66	red	hõčĩ
15.67	blue	ponã
15.68	green	ponã
15.69	yellow	hõčĩ
15.71	touch	mɨʔɨ-
15.712	pinch	
15.72	feel	tana-
15.74	hard	yowɨ
15.75	soft	waṣ̌o
15.76	rough	šãto
15.77	smooth	čɨro
15.78	sharp	kɨwã
15.79	blunt, dull	kɨ̃to
15.81	heavy	ɨwɨ-(pa)
15.82	light (in weight)	šata-(pičṣ̌a)
15.83	wet, damp	mɨṣ̌a
15.84	dry	toaš
15.85	hot	šana
15.851	warm	šana-pičṣ̌a
15.86	cold	mac̷i
15.87	clean	ṣ̌ošṣ̌a-ma; tošβa
15.88	dirty, soiled	ṣ̌ošṣ̌a-(pa)
15.89	wrinkled	mayõma
16.11	soul, spirit	yočĩ
16.15	surprised, astonished	wɨrɨ i-
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	mɨki-ṣ̌-
16.25	laugh	osã-
16.251	smile	
16.26	play	wɨsi-
16.27	love	noi-
16.29	kiss	mɨki-
16.3	embrace	tɨwɨ-
16.31	pain	isĩ
16.32	grief, sorrow, sadness	mɨsmas-
16.33	anxiety, worry	haa ino-ʔaš rakɨ-t-
16.34	regret, be sorry	mɨsmas-
16.35	pity	onic̷-
16.37	cry, weep	wai i-
16.38	tear (noun)	βɨro hɨnɨ
16.39	groan	raʔɨ-t-
16.41	hate	hɨwɨʔa-yama-
16.42	anger	sina-t-
16.44	envy, jealousy	noc̷i-
16.45	shame (noun)	
16.48	proud	
16.51	dare	
16.52	brave	
16.53	fear, fright	
16.54	danger	
16.62	desire, want	
16.622	choose	
16.63	hope	
16.65	faithful	
16.66	true	βana i-βi-s-aʔi
16.67	lie, tell lies	yoa βana yoã-
16.68	deceit	parã-
16.69	forgive	
16.71	good	roʔa-pa
16.72	bad	ičṣ̌a-pa
16.73	right, correct	i-βi-s-aʔi
16.74	wrong	i-yama-ʔi
16.76	fault	
16.77	mistake, error	kanɨ-
16.78	blame	
16.79	praise	
16.81	beautiful	roʔa-pa
16.82	ugly	ičṣ̌a-pa
16.83	greedy	
16.84	clever	hawɨ a-kĩ tana-koĩ
17.11	mind	čĩnã
17.13	think (= reflect)	čĩnã-
17.14	think (= be of the opinion)	haska a-kĩ čĩnã-
17.15	believe	čĩnã-koĩ-
17.16	understand	tana-
17.17	know	tana-
17.171	guess	
17.172	imitate	mawa-
17.18	seem	
17.19	idea, notion	
17.21	wise	hawɨ̃ toʔõma
17.22	foolish, stupid	hawɨ tanaʔisma
17.23	insane, crazy	nisõ-
17.24	learn	yosi-
17.242	study	βana yosi-
17.25	teach	yosĩ-
17.26	pupil	ɨã yosĩ-naʔi
17.27	teacher	nokɨ yosĩ-naʔi
17.28	school	βana yosi-ti šoβo
17.31	remember	čĩnã-
17.32	forget	pɨṣ̌i-
17.34	clear, plain	tana-
17.35	obscure	tana-ti-ma-s
17.36	secret	
17.37	sure, certain	
17.38	explain	tana-ma-
17.41	intention, purpose	-nõ
17.42	cause	-ma-
17.43	doubt	
17.44	suspect	
17.441	betray	parã-
17.45	need, necessity	mano-
17.46	easy	hawɨ a-ti-s-ṣ̌a-ma
17.47	difficult	
17.48	try, attempt	tana-
17.49	way, manner	nɨska; haska
17.51	and	
17.52	because	-tošõ
17.53	if	-βi...-βĩ
17.54	or	kõ
17.55	yes, affirmative	hɨwɨ
17.56	no, negative	-yama-
17.61	how?	hɨ̃kɨs a-šõ-ra
17.62	how many?	hawɨ-tiʔi-ra
17.63	how much?	hawɨ-tɨʔi-ra
17.64	what?	hawɨ-ra
17.65	when?	hawɨ-tiã-ra
17.66	where?	hãto-ra
17.67	which?	hãto-ʔa iβo-ra
17.68	who?	c̷oa-ra
17.69	why?	hɨ̃kɨs-a-ra
18.11	voice	βana
18.12	sing	ṣ̌irĩ i; sai i-
18.13	shout, cry out	paa i-
18.15	whisper	βašɨš-
18.16	mumble	βana nĩkatima
18.17	whistle	ɨɨči-; šɨĩ-
18.18	shriek, screech	ṣ̌akari i-
18.19	howl	hoi-
18.21	speak, talk	βana-
18.211	stutter, stammer	hãpi-
18.22	say	i-
18.221	tell story	yoã-
18.222	speech (make a)	βana yoã-
18.23	silent (be)	βana-ma
18.24	language	βana
18.26	word	
18.28	name	hanɨ
18.31	ask (question, inquire)	yoka-
18.32	answer	rɨβi-
18.33	admit, confess	
18.34	deny	
18.35	ask, request	yoka-
18.36	promise	parã-yama-
18.37	refuse	i-ʔaʔi-ma i-
18.38	forbid	a-ma-yama-
18.39	rebuke, scold	βaṣ̌ĩ-
18.41	call (=summon)	kɨna-
18.42	call (=name)	hanɨʔa-
18.43	announce	yoã-
18.44	threaten	
18.45	boast	
18.51	write	kɨnɨʔa-; hiča-
18.52	read	kɨnɨ βana-
18.56	paper	kɨnɨ
18.57	pen	kɨnɨʔa-ti
18.61	book	kɨnɨ
18.67	poet	
18.71	flute	rɨwɨ
18.72	drum	
18.73	horn, trumpet	põo-ti
18.74	rattle	
19.11	country	mai
19.12	one's native country	hãwɨ̃ mai
19.15	city, town	[sidade]
19.16	village	[aldeia]
19.17	boundary	rɨpi-ʔa-namã
19.21	people (populace)	nokɨ
19.23	tribe, clan	nawa
19.24	chief, chieftain	nokɨ iβoʔa-i
19.25	staff, walking stick	
19.31	rule, govern	iβo-
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	
19.42	slave	
19.43	servant	mɨʔɨ ima-ti
19.44	freeman	
19.45	command, order	yono-; a-ma-
19.46	obey	nĩka-
19.47	let, permit	-ma-
19.51	friend, companion	
19.52	enemy	ɨa tɨkõ-paʔi i-ki
19.54	neighbor	ɨa taβa raka-ta
19.55	stranger	ɨã tana-yama-i nokɨ
19.56	guest	ɨ̃ šoβõ raka-ta
19.57	host	šoβo iβoʔa-ʔi
19.58	help, aid	takɨʔa-
19.59	hinder, prevent	-ma-yama-
19.61	custom	
19.62	strife, quarrel	βaṣ̌ĩ-nã-na-
19.63	conspiracy, plot	
19.65	meet	βɨya-
19.72	prostitute	aĩ-βo a-ti-sma-koĩnãka
20.11	fight (vb)	βaṣ̌ĩ-
20.13	war, battle	tɨkõ-nã-na-
20.14	peace	
20.15	army	
20.17	soldier	[saotaṣ̌i]
20.21	weapons, arms	
20.22	club	hino
20.222	battle-ax	
20.23	sling	ṣ̌anãpi
20.24	bow	kãti
20.25	arrow	pia
20.26	spear	paka
20.27	sword	rički-ti kɨya
20.28	gun, cannon	[ripi]
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	
20.45	retreat	βɨokoʔo-
20.46	surrender	
20.47	captive, prisoner	kɨnɨ-ki oriʔa-ta
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	sotã-
20.51	fisherman	c̷ac̷a wɨsti-s a-ʔi honi
20.52	fishhook	kori-ti
20.53	fishing line	kori-ti pati
20.54	fishnet	c̷ac̷a wɨʔa-ti
20.55	fish trap	
20.56	bait	noʔĩ
20.61	hunt	niʔi ka-
20.62	shoot	tɨkõ-
20.63	miss (target)	kanɨ-
20.64	trap (noun)	hirõ-ti
20.65	trap (vb)	hirõ-
21.11	law	hɨsɨ βana
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	kopi-kĩ onic̷a-pa-ma-
21.38	fine	
21.39	prison, jail	kɨnɨ-ki
21.42	murder	nokɨ wɨc̷a βopi-ma-
21.43	adultery	
21.44	rape	tašo-βaʔĩ-šõ a-
21.46	arson	
21.47	perjury	
21.51	steal	hawɨ honɨ-
21.52	thief	hawɨ honɨ-koĩnãka-ʔi
22.11	religion	
22.12	God	
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	
22.18	priest	[paṣ̌i]
22.19	holy, sacred	
22.22	preach	βana yoã-
22.23	bless	roʔa-pa-kĩ a-
22.24	curse	ičṣ̌a-pa a-; ična-
22.26	fast (vb)	pi-ti kɨyo-kĩ sama-
22.31	heaven	nai šaβa
22.32	hell	βɨʔi šaβa
22.35	demon (evil spirit)	yočĩ; kɨβɨ
22.37	idol	
22.42	magic, witchcraft, sorcery	romɨ-
22.43	sorcerer, witch	romɨ-ya
22.44	fairy, elf	kɨsta-βo
22.45	ghost, phantom	yočĩ
22.47	omen, portent	
