entry_id	trans_english	Tlingit_Phonemic
10.613	carry-on-shoulder	ya-yaa; ǰeekˀ; goot
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	háa + ya-taan
10.63	send	ka-ya-ḳaa
10.64	lead (vb)	šu-ya-goot; šu-ya-.aat
10.65	drive	ya-si-taan
10.66	ride	
10.67	push, shove	gooḳ
10.71	road	dei
10.72	path	kei; ka-ya-kei
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	gánteen yaakʷ, gánti yaakʷ
10.83	boat	yaakʷ; aandaayaagú; dax̣áčxˀi
10.831	canoe	ǰaaḳúx̣
10.832	outrigger	
10.84	raft	x̣aanásˀ; x̣áanasˀ
10.85	oar	
10.851	paddle (noun)	ax̣áa; a-ya-x̣aa
10.852	row (vb)	di-tˀeek
10.86	rudder	
10.87	mast	yaakʷ ka.aasí
10.88	sail (noun)	yaakʷ yik; sˀísayi
10.89	anchor	šayéinaa; ša-si-yaa
10.91	harbor, port	déili
10.92	land (vb)	
11.11	have	
11.12	own, possess	
11.13	take	
11.14	seize, grasp	
11.15	hold	yeik; li-yeik; šaat; ka-li-tlˀeitˀ
11.16	get, obtain	dlaaḳ
11.17	keep, retain	
11.18	thing	
11.21	give	
11.22	give back	
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	ša-di-haa
11.31	seek, look for	tˀeet; ḳu-dli-tˀeet
11.32	find	tˀei; ya-tˀei
11.33	lose	
11.34	release, let go	naaḳ; ǰi-ya-naaḳ
11.43	money	
11.44	coin	dáanaa
11.51	rich	dáanaa sˀaatí; lanáalx̣; li-náalx̣
11.52	poor	ḳˀanašgidéi ḳáa
11.53	beggar	
11.54	avaricious, stingy	g̣eiḳ; ši-g̣eiḳ
11.61	lend	
11.62	borrow	heesˀ; ya-heesˀ
11.63	owe	
11.64	debt	
11.65	pay (vb)	ya-ḳei; ǰi-ya-ḳei
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	.oo; ya-.oo
11.82	sell	hoon; ya-hoon
11.83	trade, barter	
11.84	merchant	dahooní; hoon sˀaatí
11.85	market (place)	
11.86	store, shop	hoon dakahídi
11.87	price	
11.88	dear (costly, expensive)	x̣ˀa-li-c̷een
11.89	cheap	
11.91	share (distribute)	gaa; ka-li-gaa
11.92	weigh	
12.1	after	a ít; a ítnáx̣
12.11	behind	a tˀéik; ḳaa tˀáak; a kˀiyee
12.2	beside	
12.3	down, below	a seiyí; a eeg̣ayáak
12.4	before	
12.41	front	a yá; du ǰiyee
12.5	inside, in	a yík; a tú; a yee
12.6	outside	a daaká
12.7	under	a tayee
12.8	up, above	a kináak, a kanáak
12.11	place	
12.12	put	
12.13	sit	.aa; ya-.aa; ya-nook; ya-ḳee; ḳaaḳ
12.14	lie down	
12.15	stand	haan; ya-haan; ya-naaḳ
12.16	remain, stay	
12.17	remains, left overs	
12.21	collect, gather	di-.aat; ya-si-haa; ya-yeey
12.212	pick up	
12.213	pile up	čaak; ka-ya-čaak; kei di-g̣aat
12.22	join, unite	
12.23	separate	
12.232	divide	
12.24	open	
12.25	shut, close	
12.26	cover	a kaháadi; a yana.áatˀani; ka-si-haat
12.27	hide, conceal	li-seen
12.31	high	
12.32	low	
12.33	top	a xˀaan; a ká
12.34	bottom	a táak; a tuḳdaa
12.35	end	a šú; ka-ya-keesˀ
12.352	pointed	a xˀaan
12.353	edge	a wán; a xˀaan
12.36	side	-tˀaḳká; -ḳaatl, -ḳatlyá; a tˀaaḳ
12.37	middle, center	a dagiyigé
12.41	right (side)	
12.42	left (side)	
12.43	near (adv)	du x̣ˀan; sei; ka-ya-sei
12.44	far (adv)	lei
12.45	east	
12.46	west	
12.47	north	
12.48	south	
12.53	grow	.aa; ka-ya-.aa
12.54	measure	kaa; kaay; a kaayí
12.541	span, fathom	waat
12.55	large, big	
12.56	small, little	géikˀ
12.57	long	
12.58	tall	
12.59	short	yaatlˀ; ya-yaatlˀ
12.61	wide, broad	woox̣ˀ; ya-woox̣ˀ
12.62	narrow	saa; ya-saa; li-saa
12.63	thick (in dimension)	tlaa; kaak; si-kaak
12.65	thin (in dimension)	li-xoon; g̣aax̣ˀ
12.67	deep	
12.68	shallow	ka-ya-c̷ˀaan
12.71	flat	tˀaalˀ; ka-ya-tˀaalˀ
12.73	straight	
12.74	crooked	ka-d͜zi-teix̣ˀ
12.75	hook	kˀeix̣ˀ
12.76	corner	gúkš, gukšú
12.77	cross	kanéist
12.78	square	
12.81	round	
12.82	circle	
12.83	sphere, ball	koočˀéetˀaa
12.84	line	
12.85	hole	wool
12.92	like, similar	ya-yaa
12.93	change	
13.0	zero, nothing	
13.1	one	tléixˀ
13.2	two	déix̣
13.3	three	násˀk
13.4	four	daaxˀoon
13.5	five	keiǰín
13.6	six	tleidoošú
13.7	seven	dax̣adoošú
13.8	eight	nasˀgadoošú
13.9	nine	goošúḳ
13.10	ten	ǰinkaat
13.101	eleven	ǰinkaat ka tléixˀ
13.102	twelve	
13.103	fifteen	
13.104	twenty	tleiḳáa
13.105	hundred	
13.106	thousand	
13.107	count	d͜zi-toow
13.14	every, all	
13.15	much, many	
13.16	more	
13.17	little (quantity), few	
13.18	enough	
13.181	some	
13.19	multitude, crowd	aantḳeení
13.21	full	heek; ša-ya-heek; tlˀeetˀ
13.22	empty	
13.23	part, piece	a šoowú
13.24	half	a kígi
13.33	alone, only	
13.34	first	
13.35	last	
13.36	second	
13.37	pair	wooš yaayí
13.38	two times	déix̣ dahéen, dax̣dahéen
13.42	third	
13.44	three times	násˀk dahéen
14.11	time	gaaw
14.12	age	
14.13	new	
14.14	young	
14.15	old	šaan; šannákˀʷ
14.16	early	
14.17	late	
14.18	now	yeedát
14.19	immediately	
14.21	swift, fast, quick	
14.22	slow	čˀéeyaḳʷ
14.23	hasten, hurry	wootl; + di-wootl
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	ya-c̷aakʷ
14.26	end (temporal)	
14.27	finish	nee; yan ya-nee
14.28	cease, stop	
14.29	ready	
14.31	always	
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	
14.35	again	
14.41	day	yakyee
14.42	night	taat; nisdaat
14.43	dawn	ḳeex̣ˀé, ḳeix̣ˀé, ḳei.á, ḳee.á
14.44	morning	c̷ˀoo-taat
14.45	noon, midday	sitgawsáan
14.451	afternoon	yakyee
14.46	evening	xáanaa
14.47	today	
14.48	tomorrow	seig̣án, seig̣ánin
14.481	day-after-tomorrow	
14.49	yesterday	tatgé
14.491	day-before-yesterday	
14.51	hour	gaaw
14.53	clock, timepiece	gaaw
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	dís
14.73	year	táakʷ
14.74	winter	ḳu-si-taakʷ
14.75	spring	
14.76	summer	
14.77	autumn	yeis
14.78	season	
15.21	smell (vb intrans)	
15.212	sniff	ḳu-d͜zi-neexˀ
15.22	smell (vb trans)	neexˀ; d͜zi-neexˀ
15.25	fragrant, good smelling	li-c̷ˀaa
15.26	stinking, bad smelling	li-teix̣; čaan
15.31	taste	
15.35	sweet	núkc̷
15.36	salty	
15.37	bitter	.aaxˀʷ; si-.aaxˀʷ
15.38	acid, sour	sˀoox; ka-li-sˀoox
15.39	brackish	
15.41	hear	.aax̣; ya-.aax̣
15.42	listen	
15.44	sound, noise	lagaaw
15.45	loud	gaaw; li-gaaw
15.46	quiet, silence	x̣ˀa-si-naaḳ; ya-kˀaatlˀ
15.51	see	ya-teen; si-teen
15.52	look, look at	tín; li-tín; a-dli-g̣een
15.55	show	
15.56	shine	ka-di-gaan; li-g̣ei
15.57	bright	ka-li-leek
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	dleit
15.65	black	tˀoočˀ
15.66	red	léix̣ˀʷ; x̣ˀaan
15.67	blue	x̣ˀéišxˀʷ
15.68	green	sˀoow
15.69	yellow	tlˀáatlˀ
15.71	touch	ǰée + di-nook; čooxˀ
15.712	pinch	c̷ˀeekˀʷ; sˀóoškʷ
15.72	feel	
15.74	hard	
15.75	soft	di-xʷaač
15.76	rough	ka-si-xˀaax
15.77	smooth	yaasˀ; ka-di-yaasˀ
15.78	sharp	li-kˀaac̷ˀ; ya-li-g̣eelˀ
15.79	blunt, dull	tléil + li-kˀaac̷ˀ; ya-di-g̣eel
15.81	heavy	ya-daal; li-daal
15.82	light (in weight)	
15.83	wet, damp	yoox̣ˀ; di-yoox̣ˀ; naa; si-naa; tlˀaakˀ; geeš
15.84	dry	ya-xook
15.85	hot	ya-ya-tˀaa
15.851	warm	ya-tˀaa; si-tˀaa
15.86	cold	.aatˀ; ḳu-si-.aatˀ
15.87	clean	tléil + li-took
15.88	dirty, soiled	
15.89	wrinkled	geen; ka-ši-geen
16.11	soul, spirit	-toowú
16.15	surprised, astonished	ǰeič; ḳˀa-di-gʷaatl
16.18	good fortune, luck	
16.19	misfortune, bad luck	ǰinaháa
16.23	joyful, glad, happy	sagú; ḳaa tóowoo + si-goo
16.25	laugh	šooḳ; ya-šooḳ
16.251	smile	nooc̷; ya-ya-šooḳ
16.26	play	
16.27	love	ḳusax̣án; x̣án
16.29	kiss	
16.3	embrace	
16.31	pain	
16.32	grief, sorrow, sadness	
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	g̣aax̣; g̣ax̣-si-tee
16.38	tear (noun)	-wax̣ˀahéeni
16.39	groan	kasg̣aax̣
16.41	hate	kˀaan; ši-kˀaan
16.42	anger	xˀaan
16.44	envy, jealousy	ya-si-teey
16.45	shame (noun)	déixˀ; ka-déixˀ
16.48	proud	toowú kalag̣é
16.51	dare	
16.52	brave	
16.53	fear, fright	dleikʷ; x̣eetlˀ
16.54	danger	x̣éetlˀšan
16.62	desire, want	goo
16.622	choose	
16.63	hope	tután
16.65	faithful	
16.66	true	xˀéig̣aa át
16.67	lie, tell lies	ḳˀa-li-yeil; šḳˀa-dli-yeil
16.68	deceit	
16.69	forgive	
16.71	good	kˀei; ya-kˀei
16.72	bad	ši-kˀei; tléil + ši-kˀei
16.73	right, correct	a yáx̣
16.74	wrong	a géide
16.76	fault	
16.77	mistake, error	
16.78	blame	
16.79	praise	ka-šéix̣ˀ, ka-šéex̣ˀ
16.81	beautiful	ya-kˀei
16.82	ugly	
16.83	greedy	
16.84	clever	yaa ḳu-d͜zi-gei
17.11	mind	
17.13	think (= reflect)	yoo tutánk; tundatáan; ǰee
17.14	think (= be of the opinion)	
17.15	believe	heen; a-ya-heen
17.16	understand	ḳaa dáa + yaa ḳu-šu-si-gei
17.17	know	gook; ši-gook; si-koo
17.171	guess	
17.172	imitate	tee; ya-tee
17.18	seem	
17.19	idea, notion	
17.21	wise	
17.22	foolish, stupid	tléil + yaa ḳu-ǰi-gei
17.23	insane, crazy	
17.24	learn	
17.242	study	š tóo + li-toow
17.25	teach	-xˀ + li-toow; ǰaa; šu-ka-ya-ǰaa
17.26	pupil	yaa at naskʷéini; sgóonwaan
17.27	teacher	ḳóo at latéewu
17.28	school	
17.31	remember	haa; sa-ya-haa
17.32	forget	a ká + sa-ya-xˀaaḳʷ
17.34	clear, plain	
17.35	obscure	
17.36	secret	
17.37	sure, certain	
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	ya-ḳeet
17.441	betray	
17.45	need, necessity	a eetínáx̣
17.46	easy	
17.47	difficult	
17.48	try, attempt	.aaḳʷ; ka-ya-.aaḳʷ
17.49	way, manner	
17.51	and	
17.52	because	
17.53	if	
17.54	or	
17.55	yes, affirmative	
17.56	no, negative	
17.61	how?	
17.62	how many?	
17.63	how much?	
17.64	what?	
17.65	when?	
17.66	where?	
17.67	which?	
17.68	who?	
17.69	why?	
18.11	voice	-sé; -satú
18.12	sing	ší; šee; at šéeyi, at šéexˀi; at ší
18.13	shout, cry out	.eexˀ; ya-.eexˀ
18.15	whisper	
18.16	mumble	
18.17	whistle	.eikʷ; .ees; ḳˀa-di-.ees
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	x̣ˀa-li-.aat
18.211	stutter, stammer	
18.22	say	
18.221	tell story	neek; ka-li-neek; ka-ya-neek; tlaakʷ
18.222	speech (make a)	x̣ˀa-di-taan
18.23	silent (be)	
18.24	language	yoo x̣ˀatank
18.26	word	yoo x̣ˀatank
18.28	name	saa; ya-saa
18.31	ask (question, inquire)	woosˀ
18.32	answer	
18.33	admit, confess	A + ya-ya-ḳaa; ya-si-ḳaa
18.34	deny	yaakʷ; a-ka-li-yaakʷ; šaaḳ; ya-šaaḳ
18.35	ask, request	ka-li-x̣oox̣
18.36	promise	at ya-si-ḳaa; ḳóon + ya-si-ḳaa
18.37	refuse	
18.38	forbid	li-g̣aas
18.39	rebuke, scold	daay; ḳaa yáa-dei + ya-d͜zi-daay
18.41	call (=summon)	ya-x̣oox̣
18.42	call (=name)	yoo; x̣ˀa-dli-yoo
18.43	announce	tˀaa-ya-ya-ḳaa
18.44	threaten	
18.45	boast	
18.51	write	kašxeedí; ka-ši-xeet
18.52	read	toow; ya-toow
18.56	paper	xˀúxˀ
18.57	pen	kooxéedaa, kooxídaa
18.61	book	xˀúxˀ
18.67	poet	
18.71	flute	
18.72	drum	gaaw
18.73	horn, trumpet	
18.74	rattle	šeišóox̣
19.11	country	ḳu.oo
19.12	one's native country	
19.15	city, town	aan
19.16	village	
19.17	boundary	
19.21	people (populace)	a ḳʷáan
19.23	tribe, clan	naa
19.24	chief, chieftain	aanḳáawu; ḳaa šáade háni
19.25	staff, walking stick	
19.31	rule, govern	sˀáatee
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	aanyádi; aanyátxˀi
19.37	citizen, subject	-x̣ooní
19.41	master	ḳaa sˀaatí
19.42	slave	goox̣
19.43	servant	kooḳénaayi
19.44	freeman	
19.45	command, order	naa; ka-ya-naa; x̣ˀa-ka-ya-ḳaa
19.46	obey	
19.47	let, permit	
19.51	friend, companion	-x̣ooní; -tˀaag̣í
19.52	enemy	-yaanaayí
19.54	neighbor	kˀidaaká aa
19.55	stranger	
19.56	guest	
19.57	host	
19.58	help, aid	šee; di-šee
19.59	hinder, prevent	
19.61	custom	
19.62	strife, quarrel	di-ḳaan
19.63	conspiracy, plot	
19.65	meet	
19.72	prostitute	
20.11	fight (vb)	ḳu-li-gaaw
20.13	war, battle	adawóotl
20.14	peace	kayéilˀ
20.15	army	
20.17	soldier	xˀig̣aa ḳáa
20.21	weapons, arms	
20.22	club	xˀúsˀ
20.222	battle-ax	
20.23	sling	ǰúx̣ˀaa
20.24	bow	
20.25	arrow	tláaḳ; čooneit; gútl
20.26	spear	c̷aagálˀ; táanaa; áadaa; woosáani; dlagʷáa; ya-taaḳ
20.27	sword	
20.28	gun, cannon	óonaa
20.31	armor (defensive)	niyaháat, yinaaháat; xˀáan yinaa.át
20.33	helmet	šadaa
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	ǰi-di-.aat; ǰi-di-goot
20.44	defend	
20.45	retreat	a-ya-di-goot
20.46	surrender	
20.47	captive, prisoner	g̣alšáatadi
20.471	guard, sentinel	(at káx̣) adéli; taat aayí adéli; deil
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	at kˀíx̣ˀdi; asg̣eiwú; ašalx̣óotˀi; astˀeix̣í; šookalx̣aaǰí
20.52	fishhook	tˀeixáa, tˀeix̣; náxʷ; kˀeix̣ˀ
20.53	fishing line	ka-d͜zi-yeek
20.54	fishnet	deegáa; g̣eiwú
20.55	fish trap	šáal
20.56	bait	ya-ya-naaḳʷ
20.61	hunt	lˀoon; alˀóoni
20.62	shoot	.oon; ya-.oon; ya-tˀook
20.63	miss (target)	.únx̣aa; ya-si-.únx̣aa
20.64	trap (noun)	yéix̣; g̣aatáa; a-d͜zi-g̣aat
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	at wuskóowu
21.24	swear	
21.25	oath	
21.31	accuse	
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	g̣ayéisˀ hít
21.42	murder	ḳoowaǰag̣i aa
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	taaw; ya-taaw
21.52	thief	táaw sˀaatí
22.11	religion	
22.12	God	Dikée Aanḳáawu, Dik-áanḳáawu
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	x̣ˀagáaxˀ; x̣ˀa-di-gaaxˀ
22.18	priest	wáadišgaa
22.19	holy, sacred	
22.22	preach	
22.23	bless	x̣eitl
22.24	curse	
22.26	fast (vb)	x̣ˀa-ya-x̣ee
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	
22.37	idol	
22.42	magic, witchcraft, sorcery	héix̣ʷaa
22.43	sorcerer, witch	íx̣tˀ; nakʷsˀaatí; xˀaaš; heexʷ
22.44	fairy, elf	
22.45	ghost, phantom	sˀig̣eeḳáawu
22.47	omen, portent	
