entry_id	trans_english	Shipibo-Conibo_Phonemic
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	rɨpĩti
10.92	land (vb)	
11.11	have	-ya; iti
11.12	own, possess	
11.13	take	
11.14	seize, grasp	c̷oma-ti; yatãti
11.15	hold	tɨwãti
11.16	get, obtain	βi-ti; inã-ti
11.17	keep, retain	βɨ̃ṣ̌oati; niati
11.18	thing	hawɨki
11.21	give	inã; mɨ̃niti
11.22	give back	βanɨti; hanati
11.24	preserve, look after	koirãti
11.25	save, rescue	kišpĩti
11.27	destroy	kɨtokã βiti
11.28	harm, injure, damage	masaati
11.31	seek, look for	βɨ-nati
11.32	find	mɨra-ti
11.33	lose	βɨnoti
11.34	release, let go	pakɨti
11.43	money	kori-ki
11.44	coin	kori-ki
11.51	rich	hawɨkia; noɨ
11.52	poor	hawɨkiaoma; onic̷apišoko
11.53	beggar	yokamis
11.54	avaricious, stingy	yoaši
11.61	lend	
11.62	borrow	
11.63	owe	riβĩti
11.64	debt	riβĩ
11.65	pay (vb)	kopia-ti
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	kanãti; mawĩti
11.81	buy	maroti
11.82	sell	maromati; maroti
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	[mirikato]
11.86	store, shop	haĩ maroti ṣ̌oβo
11.87	price	kopi
11.88	dear (costly, expensive)	kopi
11.89	cheap	kopima
11.91	share (distribute)	mɨniti
11.92	weigh	
12.1	after	pɨkao
12.11	behind	na-; či-; pɨkao; ka-
12.2	beside	
12.3	down, below	namã-
12.4	before	rɨkɨ̃; βɨβõ
12.41	front	βɨβõ
12.5	inside, in	mɨrã; na-; napo; čičo
12.6	outside	sɨiti; ra-
12.7	under	namã-
12.8	up, above	βočiki; manaõ; ma-; -õ; -ki
12.11	place	ṣ̌aβa
12.12	put	ati; sawɨmati
12.13	sit	yaka-; yaka-mati; yasãti
12.14	lie down	rakã-ti; raka-ti
12.15	stand	ninati; niti; čaroti
12.16	remain, stay	βanɨti
12.17	remains, left overs	
12.21	collect, gather	βiti; c̷aati; c̷ĩkiti
12.212	pick up	
12.213	pile up	c̷amaati; c̷amãti
12.22	join, unite	sɨtɨti; c̷ĩkiti
12.23	separate	ṣ̌ɨča
12.232	divide	kaṣ̌kɨti; čapaati
12.24	open	čopeti
12.25	shut, close	
12.26	cover	mapãti; mapoti
12.27	hide, conceal	honɨ-ti
12.31	high	kɨya; nɨ̃kɨ
12.32	low	omo
12.33	top	mato; ma-
12.34	bottom	
12.35	end	rɨ-
12.352	pointed	kɨ̃šo; rɨ-kɨ̃šo
12.353	edge	kɨ-; kɨiba; manaõ
12.36	side	ĩspi; nɨkɨ
12.37	middle, center	napõβɨkõ; mirio
12.41	right (side)	mɨkaya-o
12.42	left (side)	mɨṣ̌kao; mɨmio
12.43	near (adv)	očoma
12.44	far (adv)	očo
12.45	east	βari pikotai (βari)
12.46	west	βari kai (βari)
12.47	north	čipõki
12.48	south	rɨβoki
12.53	grow	aniti; ṣ̌oṣ̌o-ti
12.54	measure	topõ-ti
12.541	span, fathom	
12.55	large, big	ani; aspa; oe
12.56	small, little	anima; anitama; maṣ̌ko
12.57	long	mɨ̃kɨ; tapo
12.58	tall	kɨya
12.59	short	nɨ̃kɨma; tĩko
12.61	wide, broad	pɨṣ̌tĩ
