entry_id	trans_english	Komi_Phonemic
10.91	harbor, port	por̃t; özɩn
10.92	land (vb)	meččɩnɩ; petnɩ
11.11	have	em
11.12	own, possess	as ulɩn kutnɩ; kiɩn kutnɩ
11.13	take	bosʸtnɩ
11.14	seize, grasp	kvatitnɩ; tšapnitnɩ
11.15	hold	kutnɩ; vidznɩ
11.16	get, obtain	sudzödnɩ
11.17	keep, retain	vidznɩ
11.18	thing	embur̃
11.21	give	setnɩ
11.22	give back	setnɩ; bör̃ setnɩ
11.24	preserve, look after	töždɩsʸnɩ; vidznɩ
11.25	save, rescue	mezdɩnɩ
11.27	destroy	bɩr̃ödnɩ; kisʸtnɩ; žugödnɩ
11.28	harm, injure, damage	lyok ker̃nɩ; lyok vöčnɩ
11.31	seek, look for	kor̃sʸnɩ; kor̃sʸɩsʸnɩ
11.32	find	addzɩnɩ
11.33	lose	voštɩnɩ
11.34	release, let go	ledznɩ
11.43	money	sʸöm
11.44	coin	kör̃t sʸöm
11.51	rich	ozɩr̃
11.52	poor	gölʸ
11.53	beggar	kor̃ɩsʸ
11.54	avaricious, stingy	točɩd; gor̃š
11.61	lend	udždɩnɩ; vodzösön semnɩ
11.62	borrow	udždɩnɩ; vodzösavnɩ
11.63	owe	lonɩ
11.64	debt	udžyös; vodzös
11.65	pay (vb)	mɩntɩnɩ; mɩntɩsʸnɩ
11.66	account, reckoning	lɩd; tšöt
11.69	tax, tribute	vot
11.77	hire	medavnɩ
11.78	wages	udždon
11.79	earn	nažövitnɩ
11.81	buy	nʸöbnɩ; bosʸtnɩ
11.82	sell	vizavnɩ
11.83	trade, barter	vizasʸnɩ
11.84	merchant	vizasʸɩsʸ
11.85	market (place)	bazar̃
11.86	store, shop	lavka
11.87	price	don
11.88	dear (costly, expensive)	dona
11.89	cheap	dontöm
11.91	share (distribute)	yuknɩ
11.92	weigh	vesitnɩ
12.1	after	bör̃ɩn; bör̃ti
12.11	behind	sayö; sayɩn
12.2	beside	dinɩn; ber̃dɩn
12.3	down, below	ulö; ulɩn
12.4	before	vodzɩn
12.41	front	vodz
12.5	inside, in	pövstö; pɩtškɩn
12.6	outside	or̃tsɩn; bokɩn
12.7	under	ulɩn
12.8	up, above	vɩlɩn
12.11	place	in; mesta
12.12	put	puktɩnɩ; suvtödnɩ
12.13	sit	puxavnɩ
12.14	lie down	kuylɩnɩ
12.15	stand	sulavnɩ
12.16	remain, stay	kolʸččɩnɩ
12.17	remains, left overs	kolyas; šɩblas
12.21	collect, gather	čukör̃tni; botnɩ
12.212	pick up	leptɩnɩ
12.213	pile up	ötčukör̃ö puktavnɩ
12.22	join, unite	ötlaödnɩ; yitnɩ
12.23	separate	tor̃yödnɩ
12.232	divide	yukkɩ
12.24	open	vosʸt(ɩ)nɩ
12.25	shut, close	pödlavnɩ; tupkɩnɩ
12.26	cover	vevttʸɩnɩ; šebr̃avnɩ
12.27	hide, conceal	dzebnɩ; dzeblavnɩ
12.31	high	džudžɩd; kuzʸ
12.32	low	lyapkɩd; ičöt
12.33	top	vɩv; yɩv
12.34	bottom	pɩdös
12.35	end	pom; dor̃
12.352	pointed	yos yɩla; yosʸ
12.353	edge	dor̃; bok
12.36	side	bok; gug
12.37	middle, center	šör̃
12.41	right (side)	vesʸkɩdvɩv; vesʸkɩd
12.42	left (side)	šuygalador̃; šuyga
12.43	near (adv)	matɩn
12.44	far (adv)	ɩlɩn
12.45	east	asɩv; asɩvvɩv
12.46	west	r̃ɩt; r̃ɩtɩv; r̃ɩtɩvvɩv
12.47	north	voy; voyvɩv
12.48	south	lun; lunvɩv
12.53	grow	bɩdmɩnɩ
12.54	measure	mur̃tavnɩ
12.541	span, fathom	vesʸt; sɩv
12.55	large, big	ɩdžɩd
12.56	small, little	ičöt
12.57	long	kuzʸ
12.58	tall	džudžɩd
12.59	short	dženʸɩd
12.61	wide, broad	pasʸkɩd; ɩdžɩd
12.62	narrow	vekni; uzeskɩd
12.63	thick (in dimension)	kɩz
12.65	thin (in dimension)	vösni
12.67	deep	džudžɩd
12.68	shallow	posni; lyapkɩd
12.71	flat	plavkös
12.73	straight	vesʸkɩd
12.74	crooked	čuklya; pölös
12.75	hook	kr̃uk
12.76	corner	pelʸös; ser̃ög
12.77	cross	kr̃est
12.78	square	kvadr̃at
12.81	round	gögr̃ös
12.82	circle	kɩtš
12.83	sphere, ball	šar̃
12.84	line	vizʸ
12.85	hole	r̃ozʸ
12.92	like, similar	kodʸ; syama; noga
12.93	change	vežnɩ; vežlavnɩ
13.0	zero, nothing	nulʸ; ninöm abu
13.1	one	öti; ötik
13.2	two	kɩk
13.3	three	kuim
13.4	four	nyolʸ
13.5	five	vit
13.6	six	kvayt
13.7	seven	sizim
13.8	eight	kökyamɩs
13.9	nine	ökmɩs
13.10	ten	das
13.101	eleven	das öti
13.102	twelve	das kɩk
13.103	fifteen	das vit
13.104	twenty	kɩzʸ
13.105	hundred	syo
13.106	thousand	syur̃s
13.107	count	lɩddʸɩnɩ; ar̃tavnɩ
13.14	every, all	bɩd; bɩdön; stav
13.15	much, many	una; yona
13.16	more	undžɩk; yondžɩka
13.17	little (quantity), few	etša; neuna
13.18	enough	tɩr̃mɩmön
13.181	some	mɩykö mɩnda; mɩytakö
13.19	multitude, crowd	zev una; pomtöm
13.21	full	tɩr̃; tɩr̃a
13.22	empty	tɩr̃töm; kuš
13.23	part, piece	yukön; tor̃
13.24	half	dožɩn
13.33	alone, only	ötkön; ötnam; ötka
13.34	first	medvoddza
13.35	last	medbör̃ya
13.36	second	möd
13.37	pair	goz; kɩk
13.38	two times	kɩkɩsʸ; kɩk pöv
13.42	third	koymöd
13.44	three times	kuimɩsʸ; kuim čöv
14.11	time	kad
14.12	age	ar̃lɩd
14.13	new	vɩlʸ
14.14	young	tom
14.15	old	pör̃ɩsʸ
14.16	early	vodz
14.17	late	syor̃ön; syor̃
14.18	now	öni
14.19	immediately	pɩr̃; dzik pɩr̃; pɩr̃ɩsʸ-pɩr̃
14.21	swift, fast, quick	vizuv; ter̃ɩb
14.22	slow	nʸöžmɩd
14.23	hasten, hurry	ter̃masʸnɩ
14.24	retard, delay	nyužmasʸnɩ
14.25	begin, beginning	zavoditnɩ; gondɩnɩ; pannɩ
14.252	last, endure	kɩssʸɩnɩ; nyužavnɩ
14.26	end (temporal)	pom
14.27	finish	pomavnɩ; eštödnɩ
14.28	cease, stop	dugdɩnɩ; enovtčɩnɩ
14.29	ready	dasʸ
14.31	always	pɩr̃; vek
14.32	often	tšökɩda
14.33	sometimes	muköd dɩr̃yi; kor̃syur̃ö
14.331	soon	ödyö; r̃egɩd
14.332	long-time (for a)	dɩr̃; kuzya
14.34	never	nekor̃
14.35	again	bar̃a; vɩlʸɩsʸ
14.41	day	lun
14.42	night	voy
14.43	dawn	kɩa; yugan kad
14.44	morning	asɩv; asɩvvodz
14.45	noon, midday	lun šör̃; lun šör̃ kad
14.451	afternoon	lunšör̃ bör̃ɩn
14.46	evening	r̃ɩt
14.47	today	talun
14.48	tomorrow	asku
14.481	day-after-tomorrow	askomɩsʸ
14.49	yesterday	tör̃ɩt
14.491	day-before-yesterday	voydör̃lun
14.51	hour	čas; kad
14.53	clock, timepiece	časi
14.61	week	vežön
14.62	Sunday	vöskr̃esennʸö; vežalun
14.63	Monday	vɩlʸlun
14.64	Tuesday	votor̃nik
14.65	Wednesday	ser̃eda
14.66	Thursday	četver̃g
14.67	Friday	pekniča
14.68	Saturday	suböta
14.71	month	tölɩsʸ
14.73	year	vo
14.74	winter	töv
14.75	spring	tulɩs
14.76	summer	gožöm
14.77	autumn	ar̃
14.78	season	volön kad
15.21	smell (vb intrans)	kɩvnɩ; petnɩ
15.212	sniff	isavnɩ
15.22	smell (vb trans)	isavnɩ
15.25	fragrant, good smelling	čöskɩd duka; čöskɩd kör̃a
15.26	stinking, bad smelling	lyok duka; lyok kör̃a
15.31	taste	vidlɩnɩ
15.35	sweet	yumov
15.36	salty	sola
15.37	bitter	kur̃ɩd
15.38	acid, sour	šoma
15.39	brackish	solakodʸ
15.41	hear	kɩvnɩ; kɩvlɩnɩ
15.42	listen	kɩvzɩnnɩ
15.44	sound, noise	šɩ; gor̃
15.45	loud	gor̃a
15.46	quiet, silence	lönʸ; čövlun
15.51	see	addzɩnɩ; addzɩvnɩ
15.52	look, look at	vidzödnɩ
15.55	show	petködlɩnɩ
15.56	shine	dzir̃davnɩ
15.57	bright	yugɩd; dzir̃dalan
15.61	color	r̃öm
15.62	light (in color)	yugɩd
15.63	dark (in color)	pemɩd r̃öma; sʸödov
15.64	white	edžɩd
15.65	black	sʸöd
15.66	red	gör̃d; don
15.67	blue	löz; kelʸɩd löz
15.68	green	vež; tur̃unviž
15.69	yellow	viž; kolʸkviž
15.71	touch	vör̃ödnɩ
15.712	pinch	čeplyavnɩ; čepölʸtnɩ
15.72	feel	kɩvnɩ
15.74	hard	čor̃ɩd
15.75	soft	nebɩd
15.76	rough	sar̃öga
15.77	smooth	šɩlʸɩd; molʸɩd
15.78	sharp	lečɩd; yosʸ
15.79	blunt, dull	nɩž
15.81	heavy	sʸökɩd
15.82	light (in weight)	kokni; koknʸɩd
15.83	wet, damp	kötasʸöm; va; ulʸ
15.84	dry	kos
15.85	hot	pösʸ
15.851	warm	šonɩd
15.86	cold	ködzɩd
15.87	clean	söstöm; södz
15.88	dirty, soiled	nyayt; sʸöd
15.89	wrinkled	čukɩr̃ösʸ
16.11	soul, spirit	lov; sʸölöm
16.15	surprised, astonished	čuymöm
16.18	good fortune, luck	šud
16.19	misfortune, bad luck	šog
16.23	joyful, glad, happy	nimkodʸ; dolɩd
16.25	laugh	ser̃avnɩ
16.251	smile	nyumyavnɩ
16.26	play	vor̃snɩ
16.27	love	r̃adeytöm; r̃adeytnɩ
16.29	kiss	okavnɩ
16.3	embrace	kutlɩnɩ
16.31	pain	doy
16.32	grief, sorrow, sadness	šog
16.33	anxiety, worry	töždɩsʸöm
16.34	regret, be sorry	žalitnɩ; kaitčɩnɩ
16.35	pity	žalitan; žalʸ
16.37	cry, weep	bör̃dnɩ
16.38	tear (noun)	sinva
16.39	groan	oyzɩnɩ; r̃užtɩnɩ
16.41	hate	mustömtnɩ; lög petöm
16.42	anger	lyok; lög
16.44	envy, jealousy	vežögtöm
16.45	shame (noun)	yandzim
16.48	proud	tšap; ɩkša
16.51	dare	lɩsʸtnɩ
16.52	brave	povtöm
16.53	fear, fright	polöm
16.54	danger	lyok; lyoktor̃
16.62	desire, want	okotitnɩ; kovnɩ
16.622	choose	bör̃yɩnɩ
16.63	hope	nadeya; lača
16.65	faithful	vesʸkɩd
16.66	true	vesʸkɩd
16.67	lie, tell lies	ɩlödčɩnɩ
16.68	deceit	ɩlödčöm
16.69	forgive	pr̃östitnɩ
16.71	good	bur̃; lösʸɩd
16.72	bad	lyok; omölʸ
16.73	right, correct	vesʸkɩd
16.74	wrong	nelyučki; abu vesʸkɩd
16.76	fault	mɩž
16.77	mistake, error	tor̃ksʸöm; sor̃sʸöm
16.78	blame	vöypöm; čir̃ɩštöm
16.79	praise	ošköm
16.81	beautiful	zev miča
16.82	ugly	misʸtöm
16.83	greedy	gor̃š; gor̃šasʸɩsʸ
16.84	clever	vežör̃a; syusʸ
17.11	mind	vežör̃; mɩvkɩd
17.13	think (= reflect)	mövpavnɩ
17.14	think (= be of the opinion)	čaytnɩ
17.15	believe	eskɩnɩ
17.16	understand	gögör̃vonɩ
17.17	know	tödnɩ
17.171	guess	(vodzvɩv) tödnɩ
17.172	imitate	sɩnog vöčnɩ
17.18	seem	kažitgɩnɩ
17.19	idea, notion	tögöm
17.21	wise	ɩdžɩd; syusʸ
17.22	foolish, stupid	yöy; vežör̃töm; ičöt vežör̃a
17.23	insane, crazy	yöy; yöytalɩsʸ
17.24	learn	velödgɩnɩ
17.242	study	velödnö; tödmavnɩ; tuyavnɩ
17.25	teach	velödnɩ
17.26	pupil	velödgɩsʸ
17.27	teacher	velödɩsʸ
17.28	school	velödganin
17.31	remember	töd vɩlɩn kutnɩ
17.32	forget	vunödžɩ; vunnɩ
17.34	clear, plain	yugɩd; sin yor̃an
17.35	obscure	pemɩd
17.36	secret	gusya; sayödöm
17.37	sure, certain	vesʸkɩd
17.38	explain	visʸtavnɩ; gögör̃voödnɩ
17.41	intention, purpose	kösyöm
17.42	cause	mog; pomka
17.43	doubt	mayšasʸöm
17.44	suspect	mayšasʸnɩ
17.441	betray	setnɩ
17.45	need, necessity	gölʸlun
17.46	easy	kokni; koknɩd
17.47	difficult	sʸökɩd
17.48	try, attempt	vidlɩnɩ; vidlavnɩ
17.49	way, manner	nog; syam
17.51	and	i; da
17.52	because	sɩ vösna; sɩ ponda
17.53	if	kö
17.54	or	ali; libö
17.55	yes, affirmative	da; esködan
17.56	no, negative	abu
17.61	how?	kɩdz
17.62	how many?	una-ö; kɩmɩn
17.63	how much?	una-ö; mɩyta
17.64	what?	mɩy
17.65	when?	kor̃; kodɩr̃
17.66	where?	kön
17.67	which?	kutšöm
17.68	who?	kodi; kod
17.69	why?	mɩyla; mɩy ponda
18.11	voice	gölös; šɩ
18.12	sing	sʸɩvnɩ
18.13	shout, cry out	gor̃zɩnɩ
18.15	whisper	vašködnɩ
18.16	mumble	r̃opkɩnɩ; numanamakɩvnɩ
18.17	whistle	šutʸlyavnɩ
18.18	shriek, screech	lečɩda; gor̃ödnɩ
18.19	howl	omlyavnɩ
18.21	speak, talk	visʸtavnɩ
18.211	stutter, stammer	mɩktavnɩ
18.22	say	šunɩ; visʸtavnɩ
18.221	tell story	visʸtavnɩ; moydnɩ
18.222	speech (make a)	r̃ečʸ kutnɩ; syor̃nitnɩ
18.23	silent (be)	čöv ovnɩ
18.24	language	kɩv; syor̃ni
18.26	word	kɩv
18.28	name	nim
18.31	ask (question, inquire)	yuavnɩ; kor̃nɩ
18.32	answer	vočavidznɩ
18.33	admit, confess	tödnɩ; pɩddi
18.34	deny	panɩd suvtnɩ
18.35	ask, request	kor̃nɩ
18.36	promise	kösyɩnɩ; kösyɩsʸnɩ
18.37	refuse	bör̃ɩnʸtnɩ
18.38	forbid	ölödnɩ
18.39	rebuke, scold	vidnɩ; pinyavnɩ
18.41	call (=summon)	kor̃nɩ; čuksavnɩ
18.42	call (=name)	šunɩ; nim puktɩnɩ
18.43	announce	visʸtavnɩ; yuör̃tnɩ
18.44	threaten	povzʸödlɩnɩ
18.45	boast	ošyɩsʸnɩ
18.51	write	čižnɩ
18.52	read	lɩddʸɩnɩ
18.56	paper	kabala
18.57	pen	per̃ö
18.61	book	kniga; nebög
18.67	poet	kɩvbur̃ tečɩsʸ
18.71	flute	fleyta
18.72	drum	bar̃aban
18.73	horn, trumpet	buksan
18.74	rattle	golʸgan; syar̃gan
19.11	country	mu
19.12	one's native country	čužan mu; as mu
19.15	city, town	kar̃
19.16	village	sikt; gr̃ezd
19.17	boundary	gr̃anitsa; vežtas
19.21	people (populace)	yöž
19.23	tribe, clan	r̃ödvuž kotɩr̃
19.24	chief, chieftain	yur̃ nuödɩsʸ
19.25	staff, walking stick	bedʸ
19.31	rule, govern	vesʸködlɩnɩ; yur̃ nuödnɩ
19.32	king, ruler	kor̃olʸ
19.33	queen	kor̃oleva
19.36	noble, nobleman	dvor̃yanin
19.37	citizen, subject	gr̃aždanin; poddannöy
19.41	master	közyain
19.42	slave	r̃ab; ver̃
19.43	servant	kesyalɩsʸ
19.44	freeman	völʸnöy mor̃t
19.45	command, order	tšöktɩnɩ
19.46	obey	kɩvzɩsʸnɩ
19.47	let, permit	tšöktɩnɩ; setnɩ
19.51	friend, companion	yor̃t; musuk
19.52	enemy	vör̃ög
19.54	neighbor	or̃čča ker̃kasa
19.55	stranger	tödtöm
19.56	guest	göstʸ
19.57	host	közyain
19.58	help, aid	otsavnɩ
19.59	hinder, prevent	pɩknɩ
19.61	custom	olannog
19.62	strife, quarrel	ven; venzʸöm
19.63	conspiracy, plot	syor̃nitčöm
19.65	meet	panɩdavnɩ
19.72	prostitute	kɩskasʸɩsʸ
20.11	fight (vb)	kosyasʸnɩ
20.13	war, battle	tɩš; kosʸ
20.14	peace	söglasön olöm; mir̃
20.15	army	ar̃miya; voyska
20.17	soldier	saldat
20.21	weapons, arms	ör̃užʸe
20.22	club	zor̃
20.222	battle-ax	čer̃
20.23	sling	tr̃ašʸa
20.24	bow	nʸövvuž
20.25	arrow	nʸöv
20.26	spear	šɩ
20.27	sword	šɩ pur̃t
20.28	gun, cannon	pišʸalʸ; puška
20.31	armor (defensive)	br̃onya
20.33	helmet	šlyom
20.34	shield	šʸit
20.35	fortress	izkar̃; kr̃epöstʸ
20.36	tower	bašnya
20.41	victory	ver̃möm
20.42	defeat	žugödöm
20.43	attack	vodzö zɩr̃öm
20.44	defend	dor̃yɩnɩ; dor̃yɩsʸnɩ
20.45	retreat	bör̃ɩnʸtšɩnɩ
20.46	surrender	sdaytnɩ; setnɩ
20.47	captive, prisoner	plennöy; plenö syur̃öm mor̃t
20.471	guard, sentinel	kar̃aul; vidzɩsʸ
20.48	booty, spoils	kɩyömtör̃; köydös
20.49	ambush	kɩyödgöm
20.51	fisherman	čer̃i kɩyɩsʸ
20.52	fishhook	vugɩr̃
20.53	fishing line	vugɩr̃ köv
20.54	fishnet	tɩv
20.55	fish trap	gɩmga
20.56	bait	sam
20.61	hunt	kɩysʸɩnɩ; vör̃avnɩ
20.62	shoot	lɩylɩnɩ; lɩynɩ
20.63	miss (target)	bokö; lɩynɩ
20.64	trap (noun)	čös
20.65	trap (vb)	kɩynɩ; syur̃nɩ nalʸkö
21.11	law	pr̃avo
21.15	court	sud
21.16	judge (vb)	mɩždɩnɩ
21.17	judgment	šuöm
21.18	judge (noun)	sudʸa
21.21	plaintiff	sud pɩr̃ kor̃sʸɩsʸɩsʸ
21.22	defendant	kɩv kutɩsʸ
21.23	witness	addzɩlɩsʸ; tödlɩsʸ
21.24	swear	pr̃isyaga setnɩ; kɩv setnɩ
21.25	oath	kɩv setöm; pr̃isyaga
21.31	accuse	mɩžavnɩ
21.32	condemn	mɩždɩnɩ
21.33	convict (vb)	lɩddʸɩnɩ mɩžaön
21.34	acquit	mɩžtömön lɩddʸɩnɩ
21.35	guilty	mɩž vöčɩsʸ; mɩža
21.36	innocent	mɩžtöm
21.37	penalty, punishment	mɩždöm
21.38	fine	štr̃ap
21.39	prison, jail	tyur̃ʸma; dzeskɩdin
21.42	murder	mor̃t viöm; viöm
21.43	adultery	ver̃ös vɩvti vetlöm
21.44	rape	mɩr̃dönavnɩ
21.46	arson	öztöm
21.47	perjury	xɩv vidžöm
21.51	steal	gusyasʸnɩ; gusyavnɩ
21.52	thief	gusyasʸɩsʸ
22.11	religion	esköm
22.12	God	en
22.13	temple, church	vičko
22.14	altar	völtar̃
22.15	sacrifice, offering	žer̃tva; visʸ
22.16	worship	yur̃bitnɩ
22.17	pray	yur̃bitnɩ; kevmɩsʸnɩ
22.18	priest	pop
22.19	holy, sacred	veža
22.22	preach	bur̃ visʸtavnɩ
22.23	bless	bur̃ sinɩ; oškɩnɩ
22.24	curse	yor̃nɩ; yor̃sʸɩnɩ
22.26	fast (vb)	vidzavnɩ; koslunyön syoynɩ
22.31	heaven	enež
22.32	hell	ad
22.35	demon (evil spirit)	omöl; kulʸ
22.37	idol	bölban
22.42	magic, witchcraft, sorcery	tödöm; nimkɩv tödöm
22.43	sorcerer, witch	yoma; tun
22.44	fairy, elf	nɩvbaba tun
22.45	ghost, phantom	kažitgöm; olɩsya; or̃t
22.47	omen, portent	tunalöm
