entry_id	trans_english	Itonama_Phonemic
5.51	bread	
5.53	dough	
5.54	knead	pučuhe
5.55	meal, flour	u-kaʔtʸe
5.56	crush, grind	i-doʔtʸe; kˀiwiʔtʸe; kˀibiʔne
5.57	mill	čodohne
5.58	mortar	čodohne
5.59	pestle	
5.61	meat	u-waka
5.63	sausage	
5.64	soup, broth	u-sulu
5.65	vegetables	
5.66	bean	oriʔča
5.7	potato	
5.71	fruit	ahmimɨhwa
5.712	bunch	
5.75	fig	
5.76	grape	
5.77	nut	
5.78	olive	
5.79	oil	
5.791	grease, fat	daʔlele; kahanaʔna
5.81	salt	o-belo
5.82	pepper	u-wahtˀu
5.821	chili pepper	
5.84	honey	o-woʔwo
5.85	sugar	[wasuka]
5.86	milk (noun)	o-[liči]
5.87	milk (vb)	čopiʔtˀa
5.88	cheese	
5.89	butter	
5.9	beverage, drink	ulado
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	pakˀaya; čˀiriʔtʸa
5.97	egg	kˀipala
5.971	egg yolk	
6.11	put on (clothes)	časkaheʔna; časubahna
6.12	clothing, clothes	makaya; čoskoni; učasba
6.13	tailor	
6.21	cloth	
6.22	wool	
6.23	linen, flax	
6.24	cotton	u-waʔe
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	
6.31	spin	kaneʔnaʔka; wayʔnaʔka
6.32	spindle	tʸawara
6.33	weave	yebaʔtʸa
6.34	loom	
6.35	sew	kɨsɨ
6.36	needle	o-čohčo
6.37	awl	
6.38	thread	u-waʔe; nipalahna
6.39	dye	kˀinapɨhe; kawararo
6.41	cloak	
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	
6.49	stocking, sock	
6.51	shoe	nitasni
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	wačoworoʔi; wačudu
6.57	belt, girdle	
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	umadu
6.74	bracelet	
6.75	necklace	pakasčˀiʔne
6.76	bead	pusore
6.77	earring	mɨsčˀaʔle
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	oriʔisi
6.82	towel	
6.91	comb	u-čatʸi; čatʸihčame
6.92	brush	
6.921	braid	čudoʔtʸe
6.93	razor	
6.94	ointment	
6.95	soap	[wahwono]
6.96	mirror	
7.11	dwell, live	siyumaʔna
7.12	house	u-ku
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	uhčuwanano
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	kamučobo
7.221	doorpost, jamb	
7.23	lock (noun)	kuduhna
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	
7.27	wall	
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	uhmuskanano
7.421	pillow	u-padu
7.422	blanket	učado
7.43	chair	u-čˀapa
7.44	table	
7.45	lamp, torch	u-wayo
7.46	candle	yoʔkopi
7.47	shelf	
7.48	trough	roweta
7.51	roof	uh-panino
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	inalo
7.56	post, pole	a-bɨte
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	makɨwa
8.13	garden	
8.15	cultivate, till	
8.16	fence	wačobo; ahminičuloʔtʸo
8.17	ditch	uwačˀo
8.21	plow	
8.212	furrow	
8.22	dig	tʸohnaʔke; mesdehna
8.23	spade	
8.24	shovel	mačadapa
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	yubene
8.311	seed	u-pawe; o-čoʔlo
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	idɨhne; čatˀiʔtʸe; kasnadɨne
8.42	grain (barley, oats etc)	u-tˀaru
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	u-čuʔu; kanasbɨsča
8.48	rice	[warusu]
8.51	grass	o-lele
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	yupaʔna
8.54	root	ahmi-mus
8.55	branch	uh-masčapapano
8.56	leaf	u-mado
8.57	flower	
8.6	tree	a-bɨte
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	waydala
8.69	smoke (tobacco)	puyuʔne
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	
8.75	bark	kanadapa; časdapa; wasača
8.76	sap	
8.81	palm tree	atʸɨʔma, atʸuʔma; ičˀo
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	čamaye; bululu
8.93	gourd	ɨ-yakˀɨ; makˀowo
8.931	pumpkin, squash	nikɨlɨpɨ
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	
9.11	do, make	sikˀoʔna; yutˀuwaʔna
9.12	work	mačɨhɨ; mačɨhɨʔke
9.14	bend	
9.15	fold	idehna; česdehna
9.16	tie, bind	čˀiʔne; čuwahkaʔna
9.161	untie	wasčˀɨdɨhne; wasčˀuduhne
9.18	chain	
9.19	rope, cord	mospiko, mospiku
9.192	knot (noun)	yasčasduhke
9.21	strike (hit, beat)	baʔbahke; čuduʔna
9.211	pound with fist	
9.22	cut	itˀiʔtʸe
9.221	cut down	yuserehna
9.222	chop, hew	čɨčˀahne; yasbaʔbaʔke
9.223	stab	itʸohne
9.23	knife	
9.24	scissors, shears	
9.25	ax	yowoti
9.251	adze	
9.26	break	nadahna; wesdehna; boreʔna
9.261	broken	
9.27	split	
9.28	tear	itʸihna; čostʸihna
9.29	flay, skin	
9.31	rub, wipe	siliʔtʸe
9.32	stretch	
9.33	pull	nisone; suweʔke
9.34	spread out	
9.341	hang up	waraʔte; yulesna
9.342	press	rotˀoʔte
9.343	squeeze, wring	čospitˀa; piʔiʔtʸe; yokˀiliʔke
9.35	pour	nutʸoʔna; kuspubene
9.36	wash	i-ʔtʸane
9.37	sweep	iluʔtʸe
9.38	broom	i-lu; o-tiri
9.422	tool	ɨhwapɨkˀɨ
9.43	carpenter	
9.44	build	
9.46	bore	
9.461	hollow out	čočorohna
9.48	saw	
9.49	hammer	načˀahne
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	rododo
9.74	glass	
9.75	weave, plait	
9.76	basket	omoʔo; waraʔi, waroʔi
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	yusewe
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	wɨʔrɨbɨʔna
9.89	paint (vb)	
10.11	move	čaliʔtʸa; ilokˀohe
10.12	turn over	čehpeleʔna, čuhpeleʔna
10.13	turn around	tʸasupeleʔna
10.14	wind, wrap	piliske
10.15	roll	
10.16	drop (vb)	
10.17	twist	yokˀiliʔke
10.21	rise	
10.22	raise, lift	inɨhna; ihkaʔna
10.23	fall	oliʔna; serehna; solohke
10.24	drip	kasčɨʔke
10.25	throw	nuseʔehte
10.252	catch (ball)	
10.26	shake	
10.32	flow	
10.33	sink	kosliʔna
10.34	float	
10.35	swim	paʔalɨʔte
10.351	dive	kɨslɨʔna; kuskuyuhne
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	a-pɨhe
10.38	blow	ɨ-pusne; časpusne
10.41	creep, crawl	
10.412	kneel	ničasčoboʔna
10.413	crouch	
10.42	slide, slip	ničˀiloʔtʸa; čˀiloʔtʸa
10.43	jump, leap	wahkalɨʔna; kesčalɨʔna
10.431	kick	
10.44	dance	iboʔna
10.45	walk	siʔimaʔte
10.451	limp	kahduʔke
10.46	run	yɨhɨyɨhte
10.47	go	mamaʔna; nikɨsmaʔna
10.471	go up	nakasna
10.472	climb	nakasna
10.473	go down	kuskuyuhne
10.474	go out	wasasna
10.48	come	yawaʔna; niyawɨˀna
