entry_id	trans_english	Ese_Ejja_Huarayo_Phonemic
9.422	tool	
9.43	carpenter	
9.44	build	a-kwe
9.46	bore	wexa-kwe
9.461	hollow out	wexa-kwe
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	meši; našapa
9.74	glass	
9.75	weave, plait	sipi-kwe
9.76	basket	e-šaha
9.77	mat	xepi; e-šihi yobo sipi
9.771	rug	
9.78	netbag	
9.79	fan (noun)	e-pio-xi
9.791	fan (vb)	pio-kwe
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	e-tewe-xi
9.89	paint (vb)	tewe-kwe
10.11	move	hea-wexo-kwe
10.12	turn over	
10.13	turn around	
10.14	wind, wrap	xaxa-kwe; bebo-kwe
10.15	roll	xaxiataxaxa-kwe
10.16	drop (vb)	
10.17	twist	sewi-kwe
10.21	rise	
10.22	raise, lift	xekia-sowa-kwe
10.23	fall	ote-kwe
10.24	drip	kwii-kwii-kwe
10.25	throw	hea-kwe
10.252	catch (ball)	mepe-kwe
10.26	shake	kwi-kaka-kwe; xeti-ixaxa-kwe
10.32	flow	
10.33	sink	wiʔi-kwe
10.34	float	xee-xee-kwe
10.35	swim	šokwi-šokwi-kwe
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	baʔe-sowa-ti-kwe
10.38	blow	sipo-heaa-kwe
10.41	creep, crawl	
10.412	kneel	
10.413	crouch	haa-na-kwe; xa-noe-ti-kwe
10.42	slide, slip	xa-tiši-piʔi-ti-kwe
10.43	jump, leap	sowaa-kwe
10.431	kick	kiši-kwe
10.44	dance	maha-maha-kwe; kee-kwe
10.45	walk	heo-kwe
10.451	limp	
10.46	run	kwahi-kwahi-kwe
10.47	go	poki-kwe
10.471	go up	sowa-ti-kwe
10.472	climb	
10.473	go down	haa-ote-kwe; ote-ti-kwe
10.474	go out	kwaya-kwe
10.48	come	pe-kwe
10.481	come back	xa-noxa-ti-kwe
10.49	go away, depart	poti-kwe
10.491	disappear	xa-čama-ti-kwe
10.51	flee	
10.52	follow	
10.53	pursue	
10.55	reach, arrive	
10.56	approach	ete pe-kwe
10.57	enter	nobi-kwe; ani-sowa-ti-kwe
10.61	carry (bear)	doho-kwe
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	ye-kwe
10.63	send	
10.64	lead (vb)	
10.65	drive	
10.66	ride	
10.67	push, shove	i'ɲa-xia-kwe
10.71	road	e-heo-xi
10.72	path	
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	bi'še
10.832	outrigger	
10.84	raft	e-sipi
10.85	oar	e-wi-behe-ʔai-ʔai
10.851	paddle (noun)	
10.852	row (vb)	yo-kwe
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	beʔe-nia-kwe; kakwi-kwe
11.11	have	e-neti
11.12	own, possess	
11.13	take	i'ɲa-kwe
11.14	seize, grasp	i'ɲa-kwe
11.15	hold	i'ɲa-kwe
11.16	get, obtain	
11.17	keep, retain	
11.18	thing	a-kiana
11.21	give	kia-kwe
11.22	give back	kia-ʔio-kwe
11.24	preserve, look after	haa-wana-kwe
11.25	save, rescue	
11.27	destroy	
11.28	harm, injure, damage	kekwa-kwe
11.31	seek, look for	šexa-kwe
11.32	find	ba-ʔio-kwe
11.33	lose	
11.34	release, let go	i'ɲa-wixo-kwe
11.43	money	bexo
11.44	coin	bexo
11.51	rich	
11.52	poor	
11.53	beggar	
11.54	avaricious, stingy	kia-nawe;kia-ni šewi
11.61	lend	kia-kwe
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	kia-kwe
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	xeše-kwe
11.82	sell	kia-kwe
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	tii-xe; tii-ho
12.11	behind	tixe-nee
12.2	beside	mihi-xe
12.3	down, below	kipa-xe
12.4	before	wi--ho
12.41	front	wi-xe-nee
12.5	inside, in	kipa-xe
12.6	outside	pay-asi-xe
12.7	under	e-kipa-xe
12.8	up, above	bia-kwa; eya-wasi-xe
12.11	place	
12.12	put	iya-kwe
12.13	sit	ani-kwe
12.14	lie down	haa-kwe
12.15	stand	e-pi neti-kwe
12.16	remain, stay	ani-kwe
12.17	remains, left overs	
12.21	collect, gather	xeše-kwe; mepe-kwe
12.212	pick up	
12.213	pile up	šabo-kwe
12.22	join, unite	čiča-kwe
12.23	separate	yaxe-kwe
12.232	divide	yaxe-kwe
12.24	open	šeʔa-kwe
12.25	shut, close	kapa-kwe
12.26	cover	iya-kewa-kwe
