entry_id	trans_english	Muisca_Phonemic
13.103	fifteen	kihiṣa hɨc̷̣ka
13.104	twenty	kihiṣa huβṣihika
13.105	hundred	ɣe-hɨc̷̣ka
13.106	thousand	ɣe-hɨc̷̣ka huβṣihika
13.107	count	β-ɣɨtɨ-suka
13.14	every, all	ac̷̣onuka
13.15	much, many	βie
13.16	more	asakɨ
13.17	little (quantity), few	βike-nc̷̣a
13.18	enough	
13.181	some	ipkuaβie
13.19	multitude, crowd	
13.21	full	ies asukune
13.22	empty	ɨtu-k a-ɣene
13.23	part, piece	
13.24	half	ṣinna
13.33	alone, only	a-tuka; a-tupkua
13.34	first	kɨhɨna
13.35	last	βɣɨuk
13.36	second	amɨka
13.37	pair	tama-
13.38	two times	ɨka-βoc̷̣a-c̷̣
13.42	third	mikun
13.44	three times	ɨka-mika-c̷̣
14.11	time	
14.12	age	
14.13	new	βihic̷̣a
14.14	young	
14.15	old	saka
14.16	early	umpkua-kuka
14.17	late	sua-mena
14.18	now	βa; βahɨsa
14.19	immediately	
14.21	swift, fast, quick	spkɨna
14.22	slow	hiṣana
14.23	hasten, hurry	c̷̣ɨ-hi-c̷̣ɨ-n-suka
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	ic̷̣one; isukune
14.26	end (temporal)	ɨn-βɣɨ-usa
14.27	finish	a-ṣaha-n-suka
14.28	cease, stop	
14.29	ready	
14.31	always	hisṣansie
14.32	often	atec̷̣a-ka atec̷̣a-ka
14.33	sometimes	insɣansa
14.331	soon	
14.332	long-time (for a)	
14.34	never	hataka
14.35	again	βihistan
14.41	day	sua
14.42	night	c̷̣a
14.43	dawn	sua-s a-ɣa-skua
14.44	morning	c̷̣a-ko-ka
14.45	noon, midday	sua kɨṣɨkɨ-sa
14.451	afternoon	sua-me-ka
14.46	evening	a-c̷̣a-kan-suka
14.47	today	βa
14.48	tomorrow	ai-ka
14.481	day-after-tomorrow	moc̷̣a
14.49	yesterday	mɨhɨka-sua-sa
14.491	day-before-yesterday	mo-na
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	ṣie
14.73	year	c̷̣okam-
14.74	winter	
14.75	spring	
14.76	summer	sua-tɨ
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	
15.212	sniff	
15.22	smell (vb trans)	c̷̣ɨ-β-ɨskɨ-suka
15.25	fragrant, good smelling	a-ṣo
15.26	stinking, bad smelling	a-βupkuan maɣe
15.31	taste	a-ṣo
15.35	sweet	a-βas-in maɣe
15.36	salty	nɨɣua-c̷̣ ɨs -βia-skua
15.37	bitter	a-kɨhɨk-ɨn maɣe
15.38	acid, sour	a-tɨhɨc̷̣-ɨn maɣe
15.39	brackish	
15.41	hear	β-nɨ-kua-suka
15.42	listen	
15.44	sound, noise	i-c̷̣onan-suka
15.45	loud	a-hoa-hoa-n maɣe
15.46	quiet, silence	
15.51	see	c̷̣ɨ-β-istɨ-suka
15.52	look, look at	β-ṣiβɨ-suka
15.55	show	
15.56	shine	
15.57	bright	ṣie
15.61	color	βike
15.62	light (in color)	mɨian pkuaoa
15.63	dark (in color)	um-c̷̣a-k a-ɣekua
15.64	white	pkɨhisio
15.65	black	a-mɨhɨc̷̣-ɨn maɣe
15.66	red	hekc̷̣-ɨn maɣe
15.67	blue	a-ṣɨsk-ɨn maɣe
15.68	green	a-ṣɨsk-ɨn maɣe
15.69	yellow	a-tɨβan-suka
15.71	touch	β-ɣeta-suka
15.712	pinch	β-sohoc̷̣a-suka
15.72	feel	
15.74	hard	a-kam-ɨn maɣe
15.75	soft	a-hic̷̣i-ɨn maɣe
15.76	rough	a-sik-ɨn maɣe
15.77	smooth	c̷̣ɨ-β-ohosɨ-suka
15.78	sharp	a-sika-c̷̣ β-kɨ-skua
15.79	blunt, dull	
15.81	heavy	a-βihic̷̣-ɨn maɣe
15.82	light (in weight)	a-βihic̷̣a-nc̷̣a
15.83	wet, damp	iotu-pkua
15.84	dry	βuṣua
15.85	hot	a-mon-maɣe
15.851	warm	a-ɣe-n-suka
15.86	cold	c̷̣ɨ-kɨ-en-suka
15.87	clean	a-pkɨhɨc̷̣-ɨn maɣe
15.88	dirty, soiled	a-mɨhɨc̷̣-ɨn maɣe
15.89	wrinkled	c̷̣ɨ-kɨntan-suka
16.11	soul, spirit	βihic̷̣ka
16.15	surprised, astonished	
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	
16.25	laugh	c̷̣ɨ-ɣɨɣua-suka
16.251	smile	
16.26	play	c̷̣ɨ-pkuac̷̣ɨɣo-skua
16.27	love	β-tɨc̷̣ɨ-suka
16.29	kiss	c̷̣ɨ-β-ɨskɨ-suka
16.3	embrace	es i-ṣo-skua
16.31	pain	iu
16.32	grief, sorrow, sadness	a-pkɨkɨc̷̣ a-sukan-suka
16.33	anxiety, worry	
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	c̷̣ɨ-kon-suka
16.38	tear (noun)	opkua-siu
16.39	groan	ai β-ɣa-skua
16.41	hate	
16.42	anger	c̷̣ɨ-ɣen-suka
16.44	envy, jealousy	c̷̣ɨ-mosua-suka
16.45	shame (noun)	c̷̣ɨ-βan-suka
16.48	proud	
16.51	dare	
16.52	brave	
16.53	fear, fright	β-siese-suka
16.54	danger	
16.62	desire, want	-kuhuk a-ɣene
16.622	choose	ɨs β-ta-skua
16.63	hope	
16.65	faithful	
16.66	true	okasa
16.67	lie, tell lies	ɨe-nc̷̣a
16.68	deceit	a-ɣota-k β-nɨ-skua
16.69	forgive	a-pkua c̷̣ɨ-ɣu-skua-c̷̣a
16.71	good	ṣo
16.72	bad	a-ṣue-nc̷̣a
16.73	right, correct	
16.74	wrong	
16.76	fault	hɨṣa-n c̷̣ɨ-pkɨkɨ ɣe
16.77	mistake, error	
16.78	blame	
16.79	praise	eka-c̷̣o-k c̷̣ɨ-ɣu-skua
16.81	beautiful	mek pkuaoa
16.82	ugly	mek ṣɨc̷̣ɨnɣa
16.83	greedy	a-βas i-c̷̣ɨ-skua
16.84	clever	
17.11	mind	pkɨkɨ
17.13	think (= reflect)	ɨ-βun-suka
17.14	think (= be of the opinion)	c̷̣ɨ-ɣu-skua
17.15	believe	c̷̣ɨ-pɨkɨ-nu-k okas ɣɨ β-ɣa-skua
17.16	understand	c̷̣ɨ-β-nɨ-pkua-suka
17.17	know	c̷̣ɨ-β-ukan-suka
17.171	guess	
17.172	imitate	-ipkua β-ki-skua
17.18	seem	hɨṣa c̷̣ɨ-kuhuk a-ɣe-ne
17.19	idea, notion	
17.21	wise	
17.22	foolish, stupid	pkɨta
17.23	insane, crazy	maha-c̷̣a-nuka
17.24	learn	β-ṣiṣua-suka
17.242	study	
17.25	teach	hok β-ɣa-skua
17.26	pupil	
17.27	teacher	
17.28	school	
17.31	remember	c̷̣ɨ-pkɨn a-ɣa-skua
17.32	forget	c̷̣ɨ-β-ahake-suka
17.34	clear, plain	mɨia-n pkua-na
17.35	obscure	
17.36	secret	
17.37	sure, certain	
17.38	explain	
17.41	intention, purpose	
17.42	cause	
17.43	doubt	
17.44	suspect	c̷̣ɨ-pkɨkɨ ɨkɨ a-mi-skua; c̷̣ɨ-pkɨkɨ ɨkɨ a-c̷̣a-skua
17.441	betray	a-kihɨsɨn-suka
17.45	need, necessity	ṣa-tɨunɨ-nɣa kuhuk a-ɣe-ne
17.46	easy	
17.47	difficult	
17.48	try, attempt	β-kɨs β-ṣiβɨ-suka
17.49	way, manner	
17.51	and	nɣa
17.52	because	npkua-ka
17.53	if	
17.54	or	-βi; -βan
17.55	yes, affirmative	o
17.56	no, negative	-(n)c̷̣a
17.61	how?	ia hako-ua
17.62	how many?	βi-ua
17.63	how much?	βi-k-ua
17.64	what?	ipkua
17.65	when?	βes-ua; βes-n-ua
17.66	where?	epkua-k ua
17.67	which?	βes-ua
17.68	who?	sie-ua
17.69	why?	ipkua-n pkua-ka
18.11	voice	ṣɨc̷̣a
18.12	sing	βtɨ-skua
18.13	shout, cry out	c̷̣ɨ-kɨn-suka
18.15	whisper	βihic̷̣ka-k c̷̣ɨ-kuβun-suka
18.16	mumble	kɨhɨkata-k c̷̣ɨ-kuβun-suka
18.17	whistle	c̷̣ɨ-ɣohoc̷̣en-suka
18.18	shriek, screech	
18.19	howl	
18.21	speak, talk	c̷̣ɨ-kuβun-suka
18.211	stutter, stammer	c̷̣ɨ-pkuaɣa-n-suka
18.22	say	c̷̣ɨ-ɣu-skua
18.221	tell story	c̷̣ɨ-ɣu-skua
18.222	speech (make a)	
18.23	silent (be)	c̷̣ɨ-kuβun-suka-c̷̣a
18.24	language	kuβun
18.26	word	kuβun
18.28	name	hɨka
18.31	ask (question, inquire)	β-c̷̣ɨ-skua
18.32	answer	ai β-ɣa-skua
18.33	admit, confess	
18.34	deny	
18.35	ask, request	β-c̷̣ɨ-skua
18.36	promise	
18.37	refuse	
18.38	forbid	β-kumu-suka
18.39	rebuke, scold	ɨk c̷̣ɨ-βihisua-ɣo-skua
18.41	call (=summon)	a-hɨka-c̷̣ β-c̷̣ɨ-skua
18.42	call (=name)	ipkuaβie-c̷̣ ahɨka-k β-ɣa-skua
18.43	announce	
18.44	threaten	a-pkɨkɨ c̷̣ɨ-βia-skua; a-ṣie c̷̣ɨ-βia-skua
18.45	boast	
18.51	write	β-ṣihi-skua
18.52	read	ioke-k c̷̣ɨ-kuβun-suka
18.56	paper	ioke
18.57	pen	
18.61	book	
18.67	poet	
18.71	flute	
18.72	drum	kupkua
18.73	horn, trumpet	
18.74	rattle	
19.11	country	kɨka
19.12	one's native country	
19.15	city, town	
19.16	village	kɨka
19.17	boundary	
19.21	people (populace)	mɨska
19.23	tribe, clan	
19.24	chief, chieftain	psihipkua
19.25	staff, walking stick	ṣune
19.31	rule, govern	
19.32	king, ruler	
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	kupkua
19.41	master	paβa
19.42	slave	
19.43	servant	βoskuaka
19.44	freeman	
19.45	command, order	β-tɨu-suka
19.46	obey	ṣo-kɨ β-kɨ-skua
19.47	let, permit	c̷̣ɨ-pkɨ-s a-c̷̣a-skua
19.51	friend, companion	oβa-c̷̣ βc̷̣i-s maɣe
19.52	enemy	saβa
19.54	neighbor	ṣiɣuake ṣiɨβa-n a-ɣe-ɣe
19.55	stranger	ue-βa
19.56	guest	nɨnṣa
19.57	host	
19.58	help, aid	
19.59	hinder, prevent	c̷̣ɨ-kɨhɨ-k a-in-suka
19.61	custom	
19.62	strife, quarrel	kakɨ
19.63	conspiracy, plot	
19.65	meet	ɨn-ṣi i-an-suka; uβa-s ṣi-kɨn-suka; ɨna-i-an-suka
19.72	prostitute	ṣihic̷̣a-pkuac̷̣a
20.11	fight (vb)	c̷̣ɨ-ka-skua
20.13	war, battle	saβa
20.14	peace	
20.15	army	
20.17	soldier	
20.21	weapons, arms	kɨ-ni-kakɨ
20.22	club	tamisikɨ
20.222	battle-ax	
20.23	sling	
20.24	bow	hakapa
20.25	arrow	kɨe-ṣo
20.26	spear	supkua
20.27	sword	
20.28	gun, cannon	
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	
20.44	defend	
20.45	retreat	c̷̣-an-suka
20.46	surrender	
20.47	captive, prisoner	βaia
20.471	guard, sentinel	opkua-βaṣua
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	ɣua maɣuska
20.52	fishhook	tɨhɨsua
20.53	fishing line	
20.54	fishnet	iaia
20.55	fish trap	
20.56	bait	
20.61	hunt	c̷̣ɨ-kuɣo-skua
20.62	shoot	β-ɣɨi-suka
20.63	miss (target)	
20.64	trap (noun)	kata
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	c̷̣ɨ-β-sipkua-suka; c̷̣ɨ-β-sipkua-ɣo-skua
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	hɨṣa-n c̷̣ɨ-pkɨkɨ ɣe
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	
21.42	murder	β-ɣu-skua
21.43	adultery	β-ṣi-skua
21.44	rape	a-ṣinta β-c̷̣ɨ-skua
21.46	arson	
21.47	perjury	
21.51	steal	isapkua ɣo-skua
21.52	thief	uβia
22.11	religion	
22.12	God	
22.13	temple, church	
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	a-ṣie c̷̣ɨ-ɣu-skua; a-ṣie c̷̣ɨ-β-ni-skua; a-ṣie c̷̣ɨ-β-c̷̣ɨ-skua
22.17	pray	
22.18	priest	ṣɨkɨ
22.19	holy, sacred	
22.22	preach	
22.23	bless	
22.24	curse	
22.26	fast (vb)	ic̷̣a-ɣo-skua
22.31	heaven	ɣuat-kɨka
22.32	hell	
22.35	demon (evil spirit)	ɣuaha ioke
22.37	idol	ṣunso
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	supkua-kɨn
22.44	fairy, elf	
22.45	ghost, phantom	
22.47	omen, portent	
