entry_id	trans_english	Siona_Phonemic
4.912	rest	wehi
4.92	lazy	hãʔhi-hi
4.93	bald	mitu-siʔkɨ; mitu-hi
4.94	lame	tˀoʔo-hi; kaʔha
4.95	deaf	
4.96	mute	yiʔo maʔtɨpˀɨ
4.97	blind	yako ɨyamaʔihi
4.98	intoxicated	kʷˀepˀo-hi
4.99	naked, bare	kã pˀeowɨ
5.11	eat	ʔaĩ-hi; ʔ̃ukʷe-hi
5.12	food	ʔãõ
5.121	cooked	kʷaʔku-si
5.122	raw	wahɨ
5.123	ripe	yahi-hi; yaʔhihi; itˀahi
5.124	green, unripe	wahɨ
5.125	rotten	pũʔka-si; haʔhuhi
5.13	drink	ʔũku-hi
5.14	hunger	ʔãõ kˀuʔa-hi
5.141	famine	
5.15	thirst	ʔoko ʔɨahi
5.16	suck	sˀũʔsˀu-hi; čuču-hi
5.18	chew	sãki-hi
5.181	swallow	tˀɨõ-hi
5.19	choke	
5.21	cook	kʷaʔkuhi
5.22	boil (vb)	kʷaʔku-hi
5.23	roast, fry	sɨokˀo; kˀaʔtohi
5.24	bake	pˀohi
5.25	oven	
5.26	pot, cooking vessel	kʷˀɨnaro; sototˀo; waupˀɨ
5.27	kettle	soto-tˀo; kˀɨ̃na-tˀo
5.28	pan	soto tɨʔki
5.31	dish	tˀeʔa; kʷˀɨna tˀeʔawa
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	
5.35	cup, drinking vessel	tˀoʔtˀo; ũku tˀoʔtˀowɨ
5.36	saucer	
5.37	spoon	
5.38	knife	[kučiyo]
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	[tˀesayuno]
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	koʔtˀa-hi; suʔyehi
5.47	sieve, strain	
5.48	scrape	waʔwɨhi; sĩʔsohi
5.49	stir, mix	kãʔkehi; haʔmehi; saʔpikˀo
5.51	bread	[pã]pˀɨ]; hoʔho aõ; ʔãõkˀa
5.53	dough	kˀatˀpˀɨ; yotˀopˀɨ
5.54	knead	
5.55	meal, flour	
5.56	crush, grind	taĩhi; paõhi; kɨõhi
5.57	mill	toatˀo
5.58	mortar	
5.59	pestle	toapˀɨ
5.61	meat	waʔi
5.63	sausage	
5.64	soup, broth	kˀo-wɨ
5.65	vegetables	
5.66	bean	pˀutˀutu
5.7	potato	pˀiʔtˀe; yaho
5.71	fruit	ũkʷe; čitˀi
5.712	bunch	okˀu
5.75	fig	
5.76	grape	
5.77	nut	soni
5.78	olive	
5.79	oil	maha
5.791	grease, fat	wiʔyapˀe; maha
5.81	salt	ʔõwa
5.82	pepper	
5.821	chili pepper	pˀia-hi
5.84	honey	pˀaya; oʔa pˀaya
5.85	sugar	
5.86	milk (noun)	ohe
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	kˀono; ĩsi kˀono
5.91	mead	
5.92	wine	
5.93	beer	ãduču; hoʔča
5.94	fermented drink	hoʔča; ãtˀuču
5.97	egg	sˀia; sˀia-pˀɨ
5.971	egg yolk	
6.11	put on (clothes)	
6.12	clothing, clothes	kã; huʔi kã
6.13	tailor	
6.21	cloth	kã
6.22	wool	
6.23	linen, flax	
6.24	cotton	yɨi
6.25	silk	
6.27	felt	
6.28	fur	
6.29	leather	kˀaʔni
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	taʔnɨ-hi
6.36	needle	miu naʔka; kˀɨna miu
6.37	awl	
6.38	thread	yɨime
6.39	dye	heʔnehi
6.41	cloak	
6.411	poncho	
6.42	woman's dress	kãwɨ
6.43	coat	
6.44	shirt	ɨ̃tɨ satˀa kã
6.45	collar	
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	yukaseʔẽ
6.49	stocking, sock	
6.51	shoe	kotˀo; kˀɨõ kotˀowɨ
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	tuitˀo
6.57	belt, girdle	tɨĩme
6.58	glove	
6.59	veil	
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	ma saɨwa
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	
6.76	bead	yiʔyo
6.77	earring	kˀãho kˀaʔwa
6.78	headband, headdress	mapˀɨ; maro
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	yeʔa-hi
6.92	brush	
6.921	braid	
6.93	razor	
6.94	ointment	
6.95	soap	[hapˀõ]
6.96	mirror	ɨya tˀeʔawa
7.11	dwell, live	
7.12	house	wɨʔe; kɨʔtˀo
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	wɨʔe yiha; wɨʔe tõto
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	sono
7.22	door, gate	ãko saʔtˀo; ãto saʔtˀo
7.221	doorpost, jamb	
7.23	lock (noun)	kˀokˀotˀopˀɨ
7.231	latch, door-bolt	
7.24	key	
7.25	window	
7.26	floor	yaʔo
7.27	wall	
7.31	fireplace	toapˀo; aõ kʷaʔkupˀɨ
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	
7.421	pillow	tɨopˀɨ; sĩho tɨopˀɨ
7.422	blanket	[kama]
7.43	chair	yuʔi seiwɨ; yuti seiwɨ
7.44	table	[mesa]
7.45	lamp, torch	mahawɨ
7.46	candle	toa
7.47	shelf	
7.48	trough	yoʔkowɨ
7.51	roof	kˀɨtˀɨpˀɨ
7.52	thatch	
7.53	ridgepole	miʔčiyo
7.54	rafter	wãso; tãta; teõ tɨka
7.55	beam	wãso; tãta
7.56	post, pole	wãso; tu
7.57	board	
7.58	arch	
7.61	mason	
7.62	brick	tõto
7.63	mortar	
7.64	adobe	
8.11	farmer	
8.12	field (for cultivation)	sˀio; aõ sˀio
8.13	garden	sˀio; aõ sˀio; kɨiwɨ
8.15	cultivate, till	itˀohi; eohi; tẽʔtohi
8.16	fence	tuʔawɨ
8.17	ditch	yotˀopˀɨ
8.21	plow	moʔkˀahi, muʔkˀahi
8.212	furrow	
8.22	dig	nõʔã; kʷaʔtˀehi
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	tãhi
8.311	seed	aõtˀaʔkatˀɨ
8.32	mow, reap	tɨahi
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	sˀĩʔkˀa
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	wea; wea-tˀaʔkatˀɨ
8.48	rice	[aroso]
8.51	grass	taya; sewe
8.52	hay	
8.53	plant (noun)	
8.531	plant (vb)	tãhi
8.54	root	sita; sita-mo
8.55	branch	kapˀɨ; sũki kapˀɨ
8.56	leaf	haʔo
8.57	flower	hotˀo
8.6	tree	sũki
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	pˀisi; pˀisi-me
8.68	tobacco	mɨ̃to
8.69	smoke (tobacco)	pũʔpuhi
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	kumukˀu; hũʔka
8.74	forked branch	koʔtˀetˀa
8.75	bark	kˀaʔni
8.76	sap	sũki oko
8.81	palm tree	pãʔpa
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	owa
8.85	banyan	
8.91	sweet potato	yaho
8.912	yam	yaho
8.92	tapioca, manioc, cassava	hãʔso; kɨi
8.93	gourd	oko tiʔĩ; ũku tiʔĩ
8.931	pumpkin, squash	
8.94	bamboo	wẽka
8.941	sugar cane	sˀɨʔsˀɨ
8.96	fish poison (root)	eo; tota eo
8.97	nettle	susi
8.98	mushroom	tɨ̃ti
9.11	do, make	yoʔo-hi
9.12	work	yoʔo
9.14	bend	
9.15	fold	peohi; ketˀohi; yetˀahi
9.16	tie, bind	sɨayɨ
9.161	untie	tiʔhehi; hoʔčihi; tihohi
9.18	chain	kˀɨname
9.19	rope, cord	yɨime; pˀisi; pˀisi-me
9.192	knot (noun)	
9.21	strike (hit, beat)	hɨʔkahi; hẽʔhuhi; kʷehi
9.211	pound with fist	paõhi; puhi
9.22	cut	kʷe-hi; tɨa; yɨtɨ
9.221	cut down	kʷe; tɨʔyehi; yauhi
9.222	chop, hew	tẽʔto; huʔhehi
9.223	stab	
9.23	knife	
9.24	scissors, shears	
9.25	ax	sˀuʔupˀo
9.251	adze	eo maka
9.26	break	hɨyohi; hɨʔyehi; tɨtehi
9.261	broken	
9.27	split	waʔwahi; hoihi; hočahi
9.28	tear	yeʔtˀehi
9.29	flay, skin	
9.31	rub, wipe	soʔõhi
9.32	stretch	tẽʔtehi; miʔnahi
9.33	pull	tˀãtohi; tˀãʔtehi; huihi
9.34	spread out	yuʔyuhi; hayuhi
9.341	hang up	tˀe-hi; tˀeohi
9.342	press	naʔnehi; nanohi
9.343	squeeze, wring	kˀeõhi; keõnhi; suʔtˀihi
9.35	pour	hayuhi; keohi
9.36	wash	sˀoa; sˀĩʔsˀihi
9.37	sweep	yuahi
9.38	broom	yua sipˀo
9.422	tool	saʔkawɨ (?)
9.43	carpenter	
9.44	build	
9.46	bore	toʔtehi; totahi; hɨohi
9.461	hollow out	
9.48	saw	
9.49	hammer	
9.5	nail	kẽhi; kˀɨna ken maka
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	sˀoa kutˀi
9.65	silver	kutˀi
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	pˀana; yaʔo; soto
9.74	glass	kˀɨna
9.75	weave, plait	tɨõhi
9.76	basket	pˀãʔkapˀɨ; hɨʔɨ
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	pˀapˀo-yo
9.791	fan (vb)	pˀãpˀo-hi; tutu-hi
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	tɨnohi; heʔnahi
10.11	move	
10.12	turn over	tɨʔkepˀo; tɨõheiye
10.13	turn around	pˀonɨhei-hi
10.14	wind, wrap	kˀanohi; kˀaʔnehi; tunahi
10.15	roll	
10.16	drop (vb)	tãhi; yako-hi
10.17	twist	teõheihi
10.21	rise	wɨ-i
10.22	raise, lift	wɨahi; mɨohi
10.23	fall	toʔi; kˀutˀuhi; taĩhi
10.24	drip	siʔahi; sˀĩkˀa-hi; kˀeõhi
10.25	throw	sẽhahi; sẽhohi
10.252	catch (ball)	sˀeãhi
10.26	shake	kʷẽʔkohi; yaʔkˀohi; tõʔtohi
10.32	flow	wɨʔwɨhi; mehi
10.33	sink	
10.34	float	wawo-hi; wawa-hi
10.35	swim	yiʔwa-hi
10.351	dive	
10.352	splash	čaʔkahi; yuʔyuhi
10.36	sail (vb)	
10.37	fly (vb)	kˀãwã-hĩ
10.38	blow	tutuhi; kʷisahi; kˀisahi
10.41	creep, crawl	kˀotˀo-hi; tˀɨ̃tɨ-hi
10.412	kneel	kˀukˀurihi; tˀɨãhi
10.413	crouch	
10.42	slide, slip	kˀaʔihi; kˀaʔĩhi
10.43	jump, leap	čaʔkahi; čahi
10.431	kick	tĩtohi
10.44	dance	[baira]hi
10.45	walk	kˀani-hi
10.451	limp	
10.46	run	wɨʔwɨ-hi
10.47	go	sa-i-hi
10.471	go up	mɨihi; mɨahi
10.472	climb	
10.473	go down	kˀa-he; kˀa-čohi; weahi
10.474	go out	etahi
10.48	come	tˀai-hi
10.481	come back	kˀoʔihi
10.49	go away, depart	hoʔka-hi
10.491	disappear	wesɨhi
10.51	flee	kˀatihi
10.52	follow	pˀeʔtehi; tuihi
10.53	pursue	pˀiʔtˀahi; tuihi
10.55	reach, arrive	tĩʔã-hi; tuihi
10.56	approach	kʷeõhi; kˀanahi
10.57	enter	kaka-hi; hehi
10.61	carry (bear)	tˀɨʔtˀɨ-; weʔ-; kʷaĩhi
10.612	carry-in-hand	
10.613	carry-on-shoulder	yehi
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	tˀa-hi
10.63	send	sao-hi; tˀao-hi; kˀãsehi
10.64	lead (vb)	tayohi
10.65	drive	
10.66	ride	
10.67	push, shove	naʔnehi; hɨhohi; nanohi
10.71	road	
10.72	path	mãʔã
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	kˀaʔwa
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	yo; yo-kˀu
10.832	outrigger	
10.84	raft	basa
10.85	oar	yo waʔti
10.851	paddle (noun)	
10.852	row (vb)	tˀoʔahi
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	yo saʔtˀo
10.92	land (vb)	
11.11	have	pˀa-hi
11.12	own, possess	pˀahi
11.13	take	sa-yɨ
11.14	seize, grasp	sˀẽãyĩ
11.15	hold	
11.16	get, obtain	ĩhi
11.17	keep, retain	tˀeʔwahi
11.18	thing	mãʔka; maʔkarɨ
11.21	give	ʔĩsi-hi
11.22	give back	kˀoʔyahi
11.24	preserve, look after	
11.25	save, rescue	
11.27	destroy	wesohi
11.28	harm, injure, damage	haʔhu-hi
11.31	seek, look for	kuʔehi
11.32	find	tĩhahi
11.33	lose	wesohi
11.34	release, let go	tiʔhehi; tihohi; hoʔčihi
11.43	money	kutˀi
11.44	coin	soʔko; kuri soʔko-wa
11.51	rich	
11.52	poor	čao
11.53	beggar	sẽhi
11.54	avaricious, stingy	
11.61	lend	ĩsihi
11.62	borrow	
11.63	owe	[debe]hi; tˀewe-hi
11.64	debt	
11.65	pay (vb)	tˀoʔihi
11.66	account, reckoning	tˀoʔi
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	taʔyehi; [kˀana]-hi
11.81	buy	ko-hi
11.82	sell	[pˀẽdie]hi
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	waʔwohi; woʔwehi
11.92	weigh	
12.1	after	hɨʔte
12.11	behind	yoʔhehi
12.2	beside	
12.3	down, below	sɨtˀipˀɨ
12.4	before	tˀutˀu; haʔãtˀɨ
12.41	front	heʔeya; tɨʔwi
12.5	inside, in	sãʔawɨ; saʔnawɨ; yakawɨ
12.6	outside	weʔse; kˀɨtˀɨpˀɨ
