entry_id	trans_english	Aramaic_Ancient_Phonemic
11.22	give back	ʔatīb
11.24	preserve, look after	nṭar
11.25	save, rescue	šēzeb; χsak; ʔaṣṣel; paṣṣī
11.27	destroy	ʔabbed; baṭṭel; gmar; šēṣī; ṭalleḳ; sayyep; star; paggar; šallem
11.28	harm, injure, damage	χabbel; nkā; pdaʁ
11.31	seek, look for	bʁā
11.32	find	ʔeškaχ
11.33	lose	ʔabbed
11.34	release, let go	ʔappeḳ; paṭṭar; ʔapraχ
11.43	money	kaspā; māmōnā
11.44	coin	zūzā; ṭabʁā; [mōnēṭā]; māʁtā
11.51	rich	ʁattīr
11.52	poor	ʁanē; meskēnā
11.53	beggar	sāχōrā; χādōrā; maʁdyā
11.54	avaricious, stingy	ḳallōṭ
11.61	lend	ʔawzep; ʔašʔel
11.62	borrow	yzap; šʔal
11.63	owe	ʔettχīb
11.64	debt	χawbē; χubblā
11.65	pay (vb)	praʁ; šallem
11.66	account, reckoning	χešbānā
11.69	tax, tribute	maksā; blō; hlāk; gbītā; zedḳā; ṭʁūntā
11.77	hire	ʔegar
11.78	wages	ʔagrā
11.79	earn	ʔawgar; pʁal
11.81	buy	zban
11.82	sell	zabben
11.83	trade, barter	sχar; ʔetʁseḳ-b-
11.84	merchant	taggārā
11.85	market (place)	šūḳā
11.86	store, shop	χānūtā; bēt-taggārūtā
11.87	price	dmayyā; [ṭēmē]; mχīrā; šaʁrā
11.88	dear (costly, expensive)	yaḳḳīr
11.89	cheap	zallīl
11.91	share (distribute)	šawtep
11.92	weigh	tḳal
12.1	after	bātar
12.11	behind	bātar; loχrē; men-lχor
12.2	beside	basṭar; ʁal-yad
12.3	down, below	mellraʁ ̃ lraʁ; ltaχt ̃ men-tχot; taχtā
12.4	before	ḳodām; men-ḳodām
12.41	front	ḳdam
12.5	inside, in	gaw
12.6	outside	bar
12.7	under	taχt ̃ tχot
12.8	up, above	men-ʁal; men-ʁellāwē
12.11	place	ʔatrā
12.12	put	sām
12.13	sit	yteb
12.14	lie down	škab; gnā; dmok; mak; rbaʁ
12.15	stand	ḳām
12.16	remain, stay	yteb; pāš
12.17	remains, left overs	yutrānā; šʔārā
12.21	collect, gather	knaš; gbā
12.212	pick up	nsab; šḳal
12.213	pile up	ʁarrem
12.22	join, unite	ʔaχχed
12.23	separate	praḳ; praṭ
12.232	divide	plag
12.24	open	ptaχ
12.25	shut, close	ʔeχad; sgar; skar; ʔagīp; ṭammem; ṭpā
12.26	cover	χpā
12.27	hide, conceal	gnaz ̃ gnā; ṭmar
12.31	high	rām; zḳīp
12.32	low	špel
12.33	top	rēšā
12.34	bottom	ʔarʁītā; ʔeštā
12.35	end	sēpā
12.352	pointed	χarrīp
12.353	edge	χurpā; pūmā
12.36	side	gabbā; gīsā; dapnā; kenpā
12.37	middle, center	meṣʁā
12.41	right (side)	yammīnā
12.42	left (side)	smālā
12.43	near (adv)	qrīb; smīk
12.44	far (adv)	rχīḳ
12.45	east	madnχā
12.46	west	maʁrbā
12.47	north	garbyā ̃ ṣpōnā
12.48	south	taymnā ̃ drōmā
12.53	grow	rbā; yreb; yʁā; sgā
12.54	measure	kāl; mad; mšaχ; mtaχ; saḳḳem
12.541	span, fathom	ʔamtā
12.55	large, big	rab
12.56	small, little	zʁēr ̃ zʁōr
12.57	long	ʔarrīk
12.58	tall	rab
12.59	short	māk; makkīk
12.61	wide, broad	ptē
12.62	narrow	ḳṭīn; ʁīḳ
12.63	thick (in dimension)	ʁbē
12.65	thin (in dimension)	ḳṭīn
12.67	deep	ʁammīḳ
12.68	shallow	--
12.71	flat	šṭīχ; špē
12.73	straight	trīṣ
12.74	crooked	ʁḳīm; ptīl
12.75	hook	χakktā
12.76	corner	zāwītā
12.77	cross	ṣlībā
12.78	square	mrabbʁā
12.81	round	glīl ̃ ʁgīl
12.82	circle	
12.83	sphere, ball	[ʔaspēr]
12.84	line	serṭā
12.85	hole	bezʁā; χōrā; χlālā; neḳbā
12.92	like, similar	kwāt
12.93	change	šnā; ʔeštannī
13.0	zero, nothing	lā-mindʁam ̃ lā-meddem
13.1	one	χad
13.2	two	trēn
13.3	three	tlāt
13.4	four	ʔarbaʁ
13.5	five	χammeš
13.6	six	šett
13.7	seven	šbaʁ
13.8	eight	tmānē
13.9	nine	tšaʁ
13.10	ten	ʁsar
13.101	eleven	χadaʁsar
13.102	twelve	trēʁsar
13.103	fifteen	χamšaʁsar
13.104	twenty	ʁesrīn
13.105	hundred	mʔā
13.106	thousand	ʔālep
13.107	count	mnā
13.14	every, all	kull
13.15	much, many	saggī ̃ npeš ̃ ṭāb
13.16	more	yattīr; ṭāb; ṭpē
13.17	little (quantity), few	bṣīr; dlīl; zʁōr ̃ zʁēr; ḳallīl
13.18	enough	spīḳ
13.181	some	--
13.19	multitude, crowd	sīʁtā; [ʔāklōs]
13.21	full	mlē
13.22	empty	rēḳān
13.23	part, piece	gzārā
13.24	half	pelgā
13.33	alone, only	lχōd ̃ balχōd; yχīd
13.34	first	ḳādmāy
13.35	last	ʔaχrāy
13.36	second	tenyānāy
13.37	pair	zawgā
13.38	two times	χad-trēn
13.42	third	tlītāy
13.44	three times	χad-tlāt
14.11	time	šaʁtā
14.12	age	ḳawmātā
14.13	new	χdat
14.14	young	zʁōr ̃ zʁēr
14.15	old	ʁteḳ; sāb
14.16	early	ḳaddīm; χrep
14.17	late	ʔpel; lḳīš
14.18	now	kʁan ̃ hā-ʁeddānā; hākēl ̃ kaddūn
14.19	immediately	men-yad
14.21	swift, fast, quick	zrīz; ḳlīl; mhīr
14.22	slow	mattīn; naggīr
14.23	hasten, hurry	ʔezdrez; ʔawχī; ḳal
14.24	retard, delay	ʔaχχar
14.25	begin, beginning	šarrī; šurrāyā
14.252	last, endure	ḳām
14.26	end (temporal)	sēpā; ʔaχrāytā
14.27	finish	passeḳ; χassel; ṭalleḳ; šallī; ʔašlem
14.28	cease, stop	ḳām; bṭel
14.29	ready	mzamman ̃ zmīn
14.31	always	btaddīrā ̃ bʔammīn; kull-ʔemat
14.32	often	saggī
14.33	sometimes	zimnīn ̃ zabnātā
14.331	soon	ḳarrīb
14.332	long-time (for a)	kbār ̃ lhal; nugrā
14.34	never	mtōm
14.35	again	tūb
14.41	day	yawmā
14.42	night	lēlyā
14.43	dawn	noghā ̃ maghā; šuprā ̃ šparpar
14.44	morning	ṣaprā
14.45	noon, midday	ṭahrā
14.451	afternoon	minχtā; pānyā
14.46	evening	ramšā
14.47	today	yawmānā
14.48	tomorrow	mχār; lamχārtā
14.481	day-after-tomorrow	lbātar-mχǟr
14.49	yesterday	ʔetmāl ̃ ʔetmālī
14.491	day-before-yesterday	dḳodmōhi ̃ mnātmāl
14.51	hour	šaʁtā
14.53	clock, timepiece	bēt-šaʁʁē; [ʔōrōlōgā]
14.61	week	šabbtā
14.62	Sunday	χad-b-šabbā
14.63	Monday	trēn-b-šabbā
14.64	Tuesday	tlātā-b-šabbā
14.65	Wednesday	ʔarbʁ̈ā-b-šabbā
14.66	Thursday	χammeš-b-šabbā
14.67	Friday	ʁrūbtā
14.68	Saturday	šabbtā
14.71	month	yarχā
14.73	year	šattā
14.74	winter	satwā
14.75	spring	ʔabīb ̃ nīsān
14.76	summer	ḳayṭā
14.77	autumn	tešrē
14.78	season	ʔešūnā
15.21	smell (vb intrans)	bsem; zham; pāχ
15.212	sniff	--
15.22	smell (vb trans)	ʔarīχ
15.25	fragrant, good smelling	bassīm
15.26	stinking, bad smelling	srē; mzahham
15.31	taste	ṭʁam
15.35	sweet	χlē; bassīm
15.36	salty	mlīχ
15.37	bitter	marrīr
15.38	acid, sour	χammūṣ
15.39	brackish	--
15.41	hear	šmaʁ
15.42	listen	ṣāt; ʔaṣīt; šmaʁ
15.44	sound, noise	ṣawtā; ḳālā; bat-ḳāl
15.45	loud	taḳḳīp
15.46	quiet, silence	nyāχā; šetḳā; bhīlūtā; šakkūtā; šelyā; šḳāṭā
15.51	see	χzā; χwā ̃ χmā
15.52	look, look at	dāḳ; daḳdeḳ; ʁayyen; ʔestakkal; sḳar; ʔašḳep
15.55	show	ʔaχzī; χawwī ̃ χammī
15.56	shine	bhar; dnaχ; braḳ; ngah; zhā ̃ zhar; nhar; nṣaχ; ṣmaχ
15.57	bright	nahhīr; naṣṣīχ; χewwār
15.61	color	gawnā
15.62	light (in color)	χewwār; šḳīp
15.63	dark (in color)	χeššōk; χaššīk; ʁammūṭ; ḳbal
15.64	white	χewwār
15.65	black	ʔukkām ̃ ʔakkūm; šχīr; mšaχχar
15.66	red	summāḳ ̃ semmōḳ; smïḳ
15.67	blue	zrāḳ; zmār
15.68	green	yrāḳ; yarḳān
15.69	yellow	yarḳān; kurkmān; šʁōtānāy
15.71	touch	gaš; mās̄; ngaʁ; pgaʁ; ḳreb
15.712	pinch	--
15.72	feel	χaš
15.74	hard	ḳšē; taḳḳīp
15.75	soft	rakkīk
15.76	rough	ḳše; χarrūš; mʁarram; ʁazzūp
15.77	smooth	šʁē; špē; mrīḳ
15.78	sharp	χrīp
15.79	blunt, dull	ḳhē
15.81	heavy	yaḳḳīr
15.82	light (in weight)	ḳlīl
15.83	wet, damp	raṭṭīb
15.84	dry	yabbīš
15.85	hot	χam; χammīm
15.851	warm	ṣaχχīχ; šχen; šrīb
15.86	cold	ḳarrīr; ḳarrīš; ʁrē; ṣnīn
15.87	clean	dkē; nḳē
15.88	dirty, soiled	blīl; ṭpel; msayyab
15.89	wrinkled	kmīš; mḳammaṭ
16.11	soul, spirit	napšā; rūχā
16.15	surprised, astonished	mettammah
16.18	good fortune, luck	gaddā
16.19	misfortune, bad luck	tbārā
16.23	joyful, glad, happy	χdē; χaddāy; ṭūbay-
16.25	laugh	gχak; χāk
16.251	smile	gχak; χāk
16.26	play	ʔeštʁī; gaχχek; ʔaṣdī
16.27	love	rχem; χab
16.29	kiss	nšaḳ
16.3	embrace	gap; χabbeḳ ̃ ʁappeḳ
16.31	pain	kēbā
16.32	grief, sorrow, sadness	ʁāḳtā; ʔeblā; kēbā; karyūtā; ʁuṣbā
16.33	anxiety, worry	yṣep
16.34	regret, be sorry	tāb; twā
16.35	pity	χās
16.37	cry, weep	bkā
16.38	tear (noun)	demʁtā
16.39	groan	ʔennaχtā ̃ ʔennaḳtā; tēnaχtā
16.41	hate	snā
16.42	anger	χemmtā; ḳṣāpā ̃ ḳeṣpōnā
16.44	envy, jealousy	ḳentā
16.45	shame (noun)	behttā; χesdā; kissūpā
16.48	proud	gʔē; gēwtān
16.51	dare	χṣap
16.52	brave	gibbār; gabrān
16.53	fear, fright	deχltā
16.54	danger	sakkantā ̃ saḳḳublā; nesyānā
16.62	desire, want	rʁā; ṣbā
16.622	choose	bχar
16.63	hope	sbar; skā
16.65	faithful	mhayman
16.66	true	šarrīr; ḳšoṭ
16.67	lie, tell lies	kdab; kaddeb
16.68	deceit	rammāyūtā
16.69	forgive	šbaḳ; slaχ
16.71	good	ṭāb
16.72	bad	bʔīš
16.73	right, correct	kēn; trīṣ; zaddiḳ; taḳḳīn
16.74	wrong	ʁawwāl; ṭāʁē
16.76	fault	χawbā; χawbtā
16.77	mistake, error	ṭuʁyay; tāʁūtā
16.78	blame	χayyābūtā
16.79	praise	šbāχā; tešboχtā
16.81	beautiful	šappīr
16.82	ugly	mkaʁʁar ̃ mkaʔʔar
16.83	greedy	ḳālōṭ
16.84	clever	χakkīm
17.11	mind	bālā; hawnā; lebbā
17.13	think (= reflect)	hgā; χšab
17.14	think (= be of the opinion)	?eχad
17.15	believe	haymen
17.16	understand	χkam; ?etbyen; ʔetbōnen
17.17	know	ydaʁ; χkam
17.171	guess	naχχeš; ḳsam ̃ ḳṣam; ʔmad
17.172	imitate	ʔadmī
17.18	seem	dmā; ʔetdmī
17.19	idea, notion	reʁyānā
17.21	wise	χakkīm
17.22	foolish, stupid	ṭippeš; paššīṭ; šāṭē
17.23	insane, crazy	mšaggaʁ; šāṭē; šnāy
17.24	learn	ylep; lmed
17.242	study	ʔeχad; gmar
17.25	teach	ʔallep
17.26	pupil	talmīdā
17.27	teacher	malpānā; rabbā
17.28	school	bēt-seprā; madršā ̃ madreštā
17.31	remember	dkar; ?eddkar
17.32	forget	nšā; ʔetnaššī
17.34	clear, plain	pšīṭ; bhīr
17.35	obscure	ʁammūṭ
17.36	secret	rāzā
17.37	sure, certain	šarrīr
17.38	explain	parreš
17.41	intention, purpose	sbārā
17.42	cause	ʁelltā
17.43	doubt	--
17.44	suspect	χšad; šakkar
17.441	betray	dgal; rmā
17.45	need, necessity	ṣurkā; bʁūtā
17.46	easy	rak; pšīḳ; ḳal
17.47	difficult	ḳšē; yaḳkīr; ʁaššīn; taḳḳīp
17.48	try, attempt	gaš; nassī
17.49	way, manner	ʔaykānūtā; gawnā; gīsā
17.51	and	we-
17.52	because	ʔarū ̃ ʔarē ̃ ʔarūm; bgēn; baglāl; bad-; bdīl; d-; kloḳbel; meṭṭūl; miššūm
17.53	if	ʔen
17.54	or	ʔaw
17.55	yes, affirmative	ʔēn
17.56	no, negative	lā
17.61	how?	ʔayk ̃ ʔak ̃ hēk; ʔaykānā ̃ ʔēkdēn ̃ hēkdēn
17.62	how many?	kmā
17.63	how much?	kmā
17.64	what?	mā
17.65	when?	ʔemmat ̃ ʔēmātay
17.66	where?	ʔaykān ̃ hēkān
17.67	which?	ʔaynā
17.68	who?	man
17.69	why?	lmā; ʁal-mā
18.11	voice	ḳālā; ṣawtā
18.12	sing	zmar; zammar; ʁnā
18.13	shout, cry out	zʁaḳ; ʔaklī; ṣwaχ
18.15	whisper	lχaš
18.16	mumble	hgā; lχaš
18.17	whistle	ʔašreḳ
18.18	shriek, screech	ʔašreḳ
18.19	howl	yallel; ʔlā
18.21	speak, talk	mallel
18.211	stutter, stammer	lʁag; lagleg; lamlem; paḳḳeḳ
18.22	say	ʔemar
18.221	tell story	ʔeštaʁʁī
18.222	speech (make a)	tašʁītā (ʔeštaʁʁī)
18.23	silent (be)	χaš; šteḳ; šlā; ʔašlī
18.24	language	leššānā
18.26	word	melltā; petgāmā
18.28	name	šmā
18.31	ask (question, inquire)	šʔel
18.32	answer	ʁnā; ʔatīb; ʔagīb
18.33	admit, confess	ʔawdī
18.34	deny	kpar; kassī
18.35	ask, request	bʁā
18.36	promise	mlak; šawdī; ʔarχeṣ; ʔabṭaχ
18.37	refuse	sarreb
18.38	forbid	?esar; ʔagzem; klā
18.39	rebuke, scold	gʁar; zʁap; nzap
18.41	call (=summon)	ḳrā; zammen; waʁʁed
18.42	call (=name)	ḳrā
18.43	announce	ʔakrez
18.44	threaten	gzam; ʔagzem
18.45	boast	ʔetgaʁʁī
18.51	write	ktab
18.52	read	ḳrā
18.56	paper	--
18.57	pen	ḳanyā-d-sāprā; maktbā
18.61	book	seprā
18.67	poet	[pōēṭēs]; [pōēṭānā ̃ pāyṭānā]
18.71	flute	ʔabbūbā
18.72	drum	ṭablā ̃ tuppā
18.73	horn, trumpet	šīppōrā; χaṣuṣrtā
18.74	rattle	--
19.11	country	ʔarʁā; mdīntā
19.12	one's native country	bēt-tawldāwātā
19.15	city, town	ḳrītā; karkā; mātā
19.16	village	kaprā
19.17	boundary	tχūmā
19.21	people (populace)	ʁammā; [ʔoklūsīn]
19.23	tribe, clan	šabṭā; bēt-ʔabbā
19.24	chief, chieftain	rēšā; rabbā
19.25	staff, walking stick	gawwāzā ̃ mardkītā
19.31	rule, govern	šlaṭ; dabbar; mlek
19.32	king, ruler	malkā; šulṭānā; šallīṭā
19.33	queen	malktā
19.36	noble, nobleman	rabbā; rabrbā ̃ rawrbā
19.37	citizen, subject	yaṣṣībā; bar-mdīntā; ʁabdā
19.41	master	māryā; rabbā
19.42	slave	ʁabdā
19.43	servant	ʔenāš-baytā
19.44	freeman	bar-χērë
19.45	command, order	pḳad
19.46	obey	šmaʁ; ḳabbel
19.47	let, permit	šbaḳ; ntan
19.51	friend, companion	rāχmā
19.52	enemy	bʁēl-dbābā; sānyā
19.54	neighbor	mgērā; ḳarrībā; šbābā
19.55	stranger	[ʔaksnāy]; giyyōrā
19.56	guest	ʔārχā; mzammnā
19.57	host	[ʔašpazkānā]
19.58	help, aid	saʁdā; ʔaχdūt-ydā
19.59	hinder, prevent	klā
19.61	custom	ʁyādā; dubbārā; minhgā
19.62	strife, quarrel	tigrā
19.63	conspiracy, plot	neklā
19.65	meet	ʁraʁ ̃ ʔraʁ; pgaʁ; ḳrā
19.72	prostitute	zānītā; nāpqat-bārā
20.11	fight (vb)	ʔagīχ; garrī; ktaš
20.13	war, battle	ḳrābā
20.14	peace	šlāmā
20.15	army	χaylā; mašrītā
20.17	soldier	pallāχā
20.21	weapons, arms	zaynā; mānē-ḳrābā
20.22	club	bukkānā
20.222	battle-ax	--
20.23	sling	ḳelʁā
20.24	bow	ḳaštā
20.25	arrow	gērā
20.26	spear	rumχā
20.27	sword	χarbā; saypā; sapsērā
20.28	gun, cannon	--
20.31	armor (defensive)	--
20.33	helmet	ḳasdā
20.34	shield	trīsā
20.35	fortress	bīrtā; karkā
20.36	tower	magdlā
20.41	victory	neṣχānā
20.42	defeat	tbārā
20.43	attack	garrī; pgaʁ; ḳrab
20.44	defend	--
20.45	retreat	rtaʁ; sṭā; rχeḳ
20.46	surrender	ntan-ydā
20.47	captive, prisoner	ʔassīrā
20.471	guard, sentinel	nāṭōrā
20.48	booty, spoils	bezztā
20.49	ambush	kmānā ̃ kmënā
20.51	fisherman	ṣayyādā (d-nūnē)
20.52	fishhook	χakktā
20.53	fishing line	χūṭā
20.54	fishnet	hūharrā; mṣīdtā
20.55	fish trap	bzanḳītā
20.56	bait	gergā
20.61	hunt	ṣād
20.62	shoot	ḳšaṭ; mtaχ; garrī
20.63	miss (target)	dgal; ʔapīš
20.64	trap (noun)	paχχā
20.65	trap (vb)	--
21.11	law	dīnā; dattā; ʔawraytā; [nēmōsā ̃ nāmōsā]
21.15	court	bēt-dīnā
21.16	judge (vb)	dān
21.17	judgment	dīnā
21.18	judge (noun)	dayyānā
21.21	plaintiff	tābōʁā
21.22	defendant	qbīlā
21.23	witness	sāhdā
21.24	swear	ymā
21.25	oath	mawmītā
21.31	accuse	ḳbal; garrī
21.32	condemn	χayyeb
21.33	convict (vb)	χayyeb
21.34	acquit	zakkī
21.35	guilty	χayyāb
21.36	innocent	zakkāy
21.37	penalty, punishment	purʁānā; purʁānūtā
21.38	fine	χusrānā; χṭītā; ḳnāsā
21.39	prison, jail	bēt-ʔassīrē; bēt-χbušyā; bēt-maṭṭartā
21.42	murder	ḳeṭlā
21.43	adultery	giyyūpā; gayyārūtā
21.44	rape	ʔnas; ʁaṣṣar; škab
21.46	arson	--
21.47	perjury	sāhdūt-šiḳrā
21.51	steal	gnab
21.52	thief	gannābā
22.11	religion	haymānūtā; dīnā
22.12	God	ʔelāhā
22.13	temple, church	bēt-maḳdšā; hayklā; ʁēttā
22.14	altar	madbχā
22.15	sacrifice, offering	debχā
22.16	worship	ʁbad; plaχ; dχel
22.17	pray	ṣallī
22.18	priest	kumrā; kāhnā
22.19	holy, sacred	ḳaddīš
22.22	preach	bassar; draš; ʔakrez; ʔaḳraχ
22.23	bless	barrek
22.24	curse	lāṭ; χassed
22.26	fast (vb)	ṣām; ṭwā
22.31	heaven	šmayyā
22.32	hell	šʔōlā; gēhannā
22.35	demon (evil spirit)	šēdā
22.37	idol	ptakrā; ṣalmā
22.42	magic, witchcraft, sorcery	χarrāšūtā
22.43	sorcerer, witch	χarrāšā; sāχrā
22.44	fairy, elf	--
22.45	ghost, phantom	ʔōbā; rūχā
22.47	omen, portent	ʔātā
