entry_id	trans_english	Ignaciano_Phonemic
10.413	crouch	
10.42	slide, slip	-'akahučuka
10.43	jump, leap	-'etereka; -'etereuča
10.431	kick	-'akačuka
10.44	dance	-'irimaika; -'irimaikasa
10.45	walk	-paika; -pairirika
10.451	limp	
10.46	run	-huna
10.47	go	-yana
10.471	go up	-'apana
10.472	climb	-'apana
10.473	go down	-'ukupaika
10.474	go out	-'učuka
10.48	come	-kaʔepaipa; -'iteka
10.481	come back	-čawa
10.49	go away, depart	
10.491	disappear	
10.51	flee	-huna
10.52	follow	-'eʔika
10.53	pursue	-'eʔika'rairika; -panahirika
10.55	reach, arrive	-'itekapa
10.56	approach	
10.57	enter	-siapa
10.61	carry (bear)	-k-ama
10.612	carry-in-hand	-hupaneka
10.613	carry-on-shoulder	-kanarakuraki
10.614	carry-on-head	-čutisiaka
10.615	carry-underarm	-'eɲatupaka
10.62	bring	-ama; -'epana; -napana
10.63	send	-'ewataka; -waneka
10.64	lead (vb)	
10.65	drive	
10.66	ride	-kapera; -'awakeča
10.67	push, shove	-'apahuka; -'apahueka
10.71	road	ačene; -'ačeʔu
10.72	path	ačene; isawikureka
10.74	bridge	pakeru
10.75	carriage, wagon, cart	[karreta]
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	ičape pakure
10.831	canoe	pakure
10.832	outrigger	
10.84	raft	
10.85	oar	'naurape
10.851	paddle (noun)	
10.852	row (vb)	-nauka; -'apahuekawa
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	anuereku
10.92	land (vb)	
11.11	have	-kayeʔe
11.12	own, possess	
11.13	take	
11.14	seize, grasp	-karataka
11.15	hold	
11.16	get, obtain	-'itukawa
11.17	keep, retain	
11.18	thing	'tahipane; 'tahiparaka
11.21	give	-'iharaka
11.22	give back	
11.24	preserve, look after	-'itati
11.25	save, rescue	-katiuča; -kučukuʔa
11.27	destroy	-'itapaika
11.28	harm, injure, damage	-harareka
11.31	seek, look for	-tanuka
11.32	find	-'akapahika; -kainuna
11.33	lose	-kamitiaka
11.34	release, let go	-kučuka; -kaitika
11.43	money	[plata]; [-plata]ne
11.44	coin	
11.51	rich	-kaimaʔakene
11.52	poor	[paure]
11.53	beggar	
11.54	avaricious, stingy	
11.61	lend	-kapuka
11.62	borrow	
11.63	owe	-kantewe
11.64	debt	-ntewe
11.65	pay (vb)	-wačača
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	-wačareka
11.82	sell	-'iharareka
11.83	trade, barter	
11.84	merchant	ti'ama yererukawa
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	tisiwača
11.89	cheap	
11.91	share (distribute)	-kahi
11.92	weigh	-'ikutiča
12.1	after	ačičupaine; te 'taekene
12.11	behind	te -'ekene; te -keku
12.2	beside	tahirumane; tačakaya
12.3	down, below	te apakeʔe
12.4	before	te -miraʔu; akane; apaikape
12.41	front	-miraʔu; te 'tanara
12.5	inside, in	amaʔe; te tahuʔe
12.6	outside	te aneka
12.7	under	'tapeku
12.8	up, above	anukeʔe
12.11	place	-'ikumuna; -'ikuči
12.12	put	-naka; -nakika; -nakipaika
12.13	sit	-'ehaka
12.14	lie down	-'iweka
12.15	stand	
12.16	remain, stay	-nasi; -'awiraiču
12.17	remains, left overs	hači; tahačira
12.21	collect, gather	-weʔa; -ɲupaika
12.212	pick up	-weʔa; -ɲupaika
12.213	pile up	-kurukeča
12.22	join, unite	-kuruhika; -kuruhimuriʔa
12.23	separate	-'erahika
12.232	divide	-'imiratača
12.24	open	-wehiaka; 'tehiaka
12.25	shut, close	-'erataka
12.26	cover	-'epakuča; -čuhiča
12.27	hide, conceal	-yumuruka
12.31	high	
12.32	low	
12.33	top	
12.34	bottom	
12.35	end	tamutupa
12.352	pointed	ti'upikusiriča
12.353	edge	tačausi; tape
12.36	side	-kahirumane
12.37	middle, center	enumuʔu
12.41	right (side)	
12.42	left (side)	sapa
12.43	near (adv)	
12.44	far (adv)	ti'upaʔi
12.45	east	
12.46	west	
12.47	north	kahaʔa
12.48	south	wana
12.53	grow	-huruka
12.54	measure	-'ikutiča
12.541	span, fathom	
12.55	large, big	ičape; ičape-puʔi
12.56	small, little	ičipiču
12.57	long	ti'uki; 'taupaʔiwa
12.58	tall	
12.59	short	'čutupi
12.61	wide, broad	ičape; ičapeme
12.62	narrow	'aničiča; 'anikučiča
12.63	thick (in dimension)	ičapepi; ti'mitutu
12.65	thin (in dimension)	ec̷enaru
12.67	deep	ti'upena
12.68	shallow	
12.71	flat	'tinuna
12.73	straight	titupina; tatupiru
12.74	crooked	'tepiɲuape; -'epiɲu
12.75	hook	mawaki; hataraki
12.76	corner	takiɲaku; takiɲasi
12.77	cross	-'anueka; -'anukuʔa
12.78	square	
12.81	round	amairiki
12.82	circle	tačeyarame
12.83	sphere, ball	
12.84	line	
12.85	hole	enuruku; enuruhuʔe
12.92	like, similar	-wasi; -kuti
12.93	change	-'ic̷iwača
13.0	zero, nothing	'tahina
13.1	one	'etana; 'etaki' 'etapi
13.2	two	apina; apiki; apipe
13.3	three	mapana; mapaki, mapapi
13.4	four	['kwatru]ki; ['kwatru]ʔi
13.5	five	['sinku]
13.6	six	'seisiki; 'saisiʔe; 'saisipi
13.7	seven	[si'ete]ki
13.8	eight	'učume; 'učupi; 'učuki
13.9	nine	nu'eweki; nu'eweʔi
13.10	ten	[dies]ki; [dies]pi; [dies]me
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	-mutu
13.15	much, many	kamuri; mawera
13.16	more	-'apahukawa
13.17	little (quantity), few	'animuri; apaesa
13.18	enough	kamuri
13.181	some	
13.19	multitude, crowd	wimuri; emuri
13.21	full	-'inika-ča
13.22	empty	'mawaku
13.23	part, piece	'aniʔe; 'anipi; 'aniku
13.24	half	'kutiʔekaka
13.33	alone, only	-kariču; takariču
13.34	first	-'inapure; 'etawa; -tiwakene
13.35	last	-'ekeneʔa
13.36	second	'tapinane
13.37	pair	'etamuri
13.38	two times	apiʔe
13.42	third	
13.44	three times	
14.11	time	
14.12	age	-ʔaɲura; -'aɲura
14.13	new	arairu
14.14	young	amaperu
14.15	old	ičasi
14.16	early	
14.17	late	
14.18	now	
14.19	immediately	enuruhi; -'iha'ʔučawa
14.21	swift, fast, quick	tihurikati
14.22	slow	'tepiyayaka
14.23	hasten, hurry	-nanesi
14.24	retard, delay	
14.25	begin, beginning	-'epanawa
14.252	last, endure	
14.26	end (temporal)	
14.27	finish	-'itawa; -'tamuriʔa
14.28	cease, stop	
14.29	ready	'tiha'ʔučawa
14.31	always	amairipikene; 'maeheʔa
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	
14.34	never	'waipakene; 'waʔikene
14.35	again	apahe
14.41	day	sače
14.42	night	yati
14.43	dawn	tiharaʔi; -yatiru
14.44	morning	ačiču
14.45	noon, midday	anukeʔepaʔi
14.451	afternoon	
14.46	evening	
14.47	today	puiti sače; ičakene
14.48	tomorrow	ačiču
14.481	day-after-tomorrow	
14.49	yesterday	kape sače
14.491	day-before-yesterday	apanakeneʔi sače
14.51	hour	
14.53	clock, timepiece	
14.61	week	
