entry_id	trans_english	Seri_Phonemic
10.67	push, shove	-ǣtoɬ
10.71	road	'ʔāʔo
10.72	path	-ya'ʔāʔo
10.74	bridge	
10.75	carriage, wagon, cart	'ʔæʔæ ʔant k-māsix
10.76	wheel	ʔant i'masix
10.77	axle	['třōki] ano kʷi'yaipx
10.78	yoke	šīyas i'tχīn
10.81	ship	'ʔæʔæ ʔa-'skam
10.83	boat	[ka'noā]
10.831	canoe	
10.832	outrigger	
10.84	raft	ʔa-'skam
10.85	oar	
10.851	paddle (noun)	kǣɬχ
10.852	row (vb)	-askim
10.86	rudder	yapa'sǣæxa
10.87	mast	iti i'ʔīp
10.88	sail (noun)	ika'ʔǣmæx
10.89	anchor	[ka'noā] ya'šainim
10.91	harbor, port	
10.92	land (vb)	'ʔaχox ʔant -pam
11.11	have	
11.12	own, possess	-yā
11.13	take	-ipxk
11.14	seize, grasp	-ipxk; -naix
11.15	hold	-ā
11.16	get, obtain	
11.17	keep, retain	īkχ -aka
11.18	thing	šīχ
11.21	give	-ækæ; -ǣ; -ǣti; -ææ
11.22	give back	-a'ʔānpχ; -kǣtχ
11.24	preserve, look after	ʔakχ -a'kōtoχot
11.25	save, rescue	ʔapχ ʔant -akatχ; -a'kamot
11.27	destroy	-a'mīpaɬa
11.28	harm, injure, damage	i'xāptox -āi; šīχ š(o) īx -āi
11.31	seek, look for	-kā
11.32	find	-aʔo
11.33	lose	ʔakχ -akatχ
11.34	release, let go	-āΦp; -akatχ
11.43	money	[tom]
11.44	coin	[tom] 'k-aiskan; [tom] k-iχt
11.51	rich	-aʔ'tχima
11.52	poor	
11.53	beggar	'k-īmosim
11.54	avaricious, stingy	'imoš -ǣpit
11.61	lend	-āsot
11.62	borrow	-aso
11.63	owe	
11.64	debt	iko'kōšx
11.65	pay (vb)	-apot; -aipot
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	i'kaipot
11.79	earn	-iši
11.81	buy	-itaɬ'ʔā
11.82	sell	-itaɬ'ʔā
11.83	trade, barter	-iχɬ
11.84	merchant	ʔa'yā ka'koχɬ
11.85	market (place)	
11.86	store, shop	ʔa'yā ʔa'koχɬ
11.87	price	
11.88	dear (costly, expensive)	-yāi
11.89	cheap	
11.91	share (distribute)	-āiɬkam
11.92	weigh	-a'motæt
12.1	after	
12.11	behind	-apak
12.2	beside	-ākp
12.3	down, below	ʔant
12.4	before	-ya'nīkp
12.41	front	ya'nīkp
12.5	inside, in	-ano
12.6	outside	ʔapχ
12.7	under	-mokɬ
12.8	up, above	-ati; -takɬ; 'koɬa; ko'ɬǣkp
12.11	place	ʔant
12.12	put	-āʔka
12.13	sit	-īx
12.14	lie down	-ōm
12.15	stand	-Φit
12.16	remain, stay	-aʔ'kāiɬ
12.17	remains, left overs	-atiχ
12.21	collect, gather	pti iti -akim
12.212	pick up	
12.213	pile up	-ašxk
12.22	join, unite	
12.23	separate	ptæ -ākatχ; ptæ -a'koīχ
12.232	divide	-k-askaχ
12.24	open	-a-'patxk; -k-aptχʷ
12.25	shut, close	-a'poin; iki -ānim
12.26	cover	-ānim; -āpɬim; -ap'χašɬ
12.27	hide, conceal	-isχʷ
12.31	high	koɬχ
12.32	low	ʔant
12.33	top	-sχap
12.34	bottom	-ʔit; -tis; -apot
12.35	end	'iti 'kʷkiyat
12.352	pointed	'iki -ōsot
12.353	edge	-tǣɬ
12.36	side	-šækp; -ʔīšk
12.37	middle, center	-amak; -mo'šit
12.41	right (side)	'inoɬ 'āpa īkp ak
12.42	left (side)	i'sɬīk īkp
12.43	near (adv)	ʔan'taχɬ; īkχ
12.44	far (adv)	'āmo; tōχ
12.45	east	šāʔ kiʔ 'kʷmota ʔapχ i'ʔīp kiʔ īkp
12.46	west	šāʔ kiʔ kon'tita an 'īškim kiʔ īkp
12.47	north	ʔai 'ʔæno 'moka kiʔ īkp
12.48	south	χnai īkp
12.53	grow	-ōkp
12.54	measure	-ǣpit
12.541	span, fathom	
12.55	large, big	-ākox
12.56	small, little	-isiɬ
12.57	long	-akʷsχax
12.58	tall	-akʷsχax
12.59	short	-ōxox
12.61	wide, broad	-aptx
12.62	narrow	-ōsot
12.63	thick (in dimension)	-ipkʷ; -sop
12.65	thin (in dimension)	-χatkax
12.67	deep	-yaiɬ
12.68	shallow	
12.71	flat	-xip
12.73	straight	-omtχʷ
12.74	crooked	-nokʷ; -noΦtx
12.75	hook	
12.76	corner	kʷi'ʔīn
12.77	cross	'ʔæʔæ ʔa'soāx
12.78	square	-i'sɬitχkox
12.81	round	-toknix; -pætix
12.82	circle	ʔa'moīx
12.83	sphere, ball	šīχ k-o'kæʔt
12.84	line	ʔant ʔa'sitoχ
12.85	hole	ʔant ʔa'kaptχʷ
12.92	like, similar	χaʔ'χaī; -mis
12.93	change	īx -a'pakta
13.0	zero, nothing	ʔant ʔa'pætix
13.1	one	'tašo
13.2	two	-ōkx
13.3	three	-apχa
13.4	four	-šōχʷk
13.5	five	-oitom
13.6	six	i'snāp -ašox
13.7	seven	tomkox -īʔ
13.8	eight	-šoχoɬkam
13.9	nine	ksoi -ʔanɬ
13.10	ten	-ʔanɬ
13.101	eleven	t-ʔanɬ 'tašo -īʔ
13.102	twelve	t-ʔanɬ 't-ōkx -īʔ
13.103	fifteen	t-ʔanɬ 't-oitom -īʔ
13.104	twenty	i-ʔanɬ -ōkx
13.105	hundred	i-'ʔanɬ -ʔanɬ
13.106	thousand	
13.107	count	-asχ
13.14	every, all	īx kap 'tašo; 'iti kʷiʔi'yaχ
13.15	much, many	-atχo; anχʷ
13.16	more	'kipak
13.17	little (quantity), few	-ipχa
13.18	enough	oχ ʔā
13.181	some	pak
13.19	multitude, crowd	
13.21	full	-kam; -pokt
13.22	empty	-i-'nāiɬ; -inæx
13.23	part, piece	īktim
13.24	half	imo'šit
13.33	alone, only	-ašox
13.34	first	'iki yǣn ō -ap
13.35	last	'iti -æmæ
13.36	second	īk -ap
13.37	pair	-yai
13.38	two times	-ākx
13.42	third	'iki īpχa
13.44	three times	-āpχa
14.11	time	
14.12	age	
14.13	new	kmā -īʔ
14.14	young	'ʔǣkæ
14.15	old	-ǣxim
14.16	early	
14.17	late	
14.18	now	kmāχ
14.19	immediately	ʔōχ χaʔ -æmæ
14.21	swift, fast, quick	-āΦšχ
14.22	slow	-miʔa
14.23	hasten, hurry	-a'ʔāΦ'šχ; -a'kapxk; -apxk
14.24	retard, delay	
14.25	begin, beginning	-a'ʔiti
14.252	last, endure	-imxk
14.26	end (temporal)	-iti kʷi'ʔiyat ak
14.27	finish	-aχi
14.28	cease, stop	'ʔakiχ -šam
14.29	ready	-i'tāʔo
14.31	always	kōχ
14.32	often	
14.33	sometimes	ʔakχ -īʔ; šimxʷk χaʔ
14.331	soon	χā
14.332	long-time (for a)	ʔaɬχ tōχ -a'yaχi
14.34	never	
14.35	again	mos i'takɬ-o
14.41	day	šāʔ
14.42	night	i'ʔamok
14.43	dawn	ʔant ʔā i-∅-ako
14.44	morning	ʔant i'Φī
14.45	noon, midday	šāʔ kʷi'ʔimak
14.451	afternoon	šāʔ kix ʔi 'īkp -īx
14.46	evening	i'ʔamok
14.47	today	šāʔ ʔipkop
14.48	tomorrow	ʔant -Φī
14.481	day-after-tomorrow	ʔant po'Φī mos ʔant po'Φī
14.49	yesterday	mo'χima
14.491	day-before-yesterday	mo'χima kiʔ 'ipak mo'χima
14.51	hour	šāʔ kiʔ 'ītaχ
14.53	clock, timepiece	šāʔ
14.61	week	ika'tomæk
14.62	Sunday	ika'tomæk
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	[i'šāyo]
14.71	month	'īšaχ
14.73	year	ʔant
14.74	winter	i-'ʔ-āpɬ
14.75	spring	
14.76	summer	i'košim
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	
15.212	sniff	-sī
15.22	smell (vb trans)	-sī
15.25	fragrant, good smelling	i'ʔa'sī -īpi
15.26	stinking, bad smelling	-ʔǣmt; -kon
15.31	taste	-pī
15.35	sweet	-oatxʷ
15.36	salty	-akat; -kapχɬ
15.37	bitter	-akat
15.38	acid, sour	-kapχɬ; -xiši
15.39	brackish	-akat; -χana
15.41	hear	-Cī
15.42	listen	-kækʷɬ
15.44	sound, noise	æ'aʔ; i'ʔipon
15.45	loud	-komka
15.46	quiet, silence	-mai
15.51	see	-aʔo
15.52	look, look at	-ōkta
15.55	show	-a'kōkta; -a'kōʔot
15.56	shine	-a'ʔai; -šāʔoχ
15.57	bright	-i'næʔx; -Camxʷ
15.61	color	'χika pti i-m-'mis
15.62	light (in color)	ʔaχ ʔāi ima'ʔī
15.63	dark (in color)	-ōpoɬ; -i'kōpoɬ
15.64	white	-ōχp
15.65	black	-ōpoɬ
15.66	red	-ʔǣɬ; -Ciʔxʷ; -aktox
15.67	blue	-oiɬ
15.68	green	-oiɬ
15.69	yellow	-masoɬ
15.71	touch	-in; -Caktim; 'iti -inoɬ
15.712	pinch	-tīp; -tašita; -titxʷ
15.72	feel	-Cī
15.74	hard	-aiskan
15.75	soft	-aitik
15.76	rough	-i'nǣšx; -i'pākaɬk
15.77	smooth	-o'miʔx
15.78	sharp	-ita
15.79	blunt, dull	-it
15.81	heavy	-motæt
15.82	light (in weight)	-aΦšχ
15.83	wet, damp	-īšk
15.84	dry	-ōtix; -axʷk
15.85	hot	-matx
15.851	warm	-mækæ
15.86	cold	-āpɬ
15.87	clean	-pāisχ
15.88	dirty, soiled	-i'ʔišɬk
15.89	wrinkled	-monɬk; -paskaχ; -pasi
16.11	soul, spirit	-āsaχ; -ʔīsaχ
16.15	surprised, astonished	-āsaχ -ānx
16.18	good fortune, luck	mišx ʔakχ -ap
16.19	misfortune, bad luck	'nāpχa -Cim
16.23	joyful, glad, happy	-āsaχ ʔant -oit
16.25	laugh	-asim
16.251	smile	
16.26	play	-āɬim
16.27	love	-amsi'sīn
16.29	kiss	-šip
16.3	embrace	'iki -tīpxʷk
16.31	pain	šīχ -xiši
16.32	grief, sorrow, sadness	šīχ ʔamoš ʔam'kǣt š iti -ʔx
16.33	anxiety, worry	šīχ i'mīpæ iti -a
16.34	regret, be sorry	-āsaχ kom -a'xiš
16.35	pity	-amsi'sīn
16.37	cry, weep	-ōʔa
16.38	tear (noun)	-atoχ
16.39	groan	-ǣæχ
16.41	hate	
16.42	anger	-aχpχ; -āsaχ -ʔǣmt
16.44	envy, jealousy	-amoš kʷi'mæχɬ
16.45	shame (noun)	-aʔs -mako
16.48	proud	-asox 'imoš -īpi
16.51	dare	-ʔīsaχ kom -i'tāi
16.52	brave	-i'ktamo; -ʔīsaχ -aiχaχ
16.53	fear, fright	-āsaχ kom -m-aʔo; -īχim
16.54	danger	šīχ k-a'katoɬ
16.62	desire, want	-amšo
16.622	choose	
16.63	hope	
16.65	faithful	yamtχʷ -ataχ
16.66	true	'āpa; 'isox
16.67	lie, tell lies	-āsitim
16.68	deceit	
16.69	forgive	-m-aχpχ
16.71	good	-īpæ
16.72	bad	-mīpɬa
16.73	right, correct	
16.74	wrong	
16.76	fault	
16.77	mistake, error	šīχ ʔakχ i'koit
16.78	blame	
16.79	praise	-a'kōyam
16.81	beautiful	-a'šīm
16.82	ugly	-mīpɬa
16.83	greedy	
16.84	clever	ʔāiχ -m-īxim; anχʷ -sχǣn -aCa
17.11	mind	-ʔimoš
17.13	think (= reflect)	-amoš; -imoš
17.14	think (= be of the opinion)	
17.15	believe	-a'ʔiʔat; -asoχ -Cimoš
17.16	understand	
17.17	know	-aCa
17.171	guess	-Cimoš
17.172	imitate	'īitim -āi
17.18	seem	ʔaχ ta'ʔī ʔaχ mā
17.19	idea, notion	
17.21	wise	
17.22	foolish, stupid	ʔāiχ -īxim
17.23	insane, crazy	[řōkʷ]
17.24	learn	
17.242	study	-asox -a'koat
17.25	teach	-a'koat
17.26	pupil	ʔa'paspox kʷʔa'koat
17.27	teacher	ʔa'paspox kʷka'koat
17.28	school	ʔa'paspox ano kʷika'koat
17.31	remember	-amoš -oit
17.32	forget	īkp -ānim
17.34	clear, plain	
17.35	obscure	
17.36	secret	i'kaitom 'isɬaxk
17.37	sure, certain	šīχ kʷi'ʔiʔat
17.38	explain	
17.41	intention, purpose	
17.42	cause	-aʔ
17.43	doubt	ʔāiχ -īxim
17.44	suspect	ʔaχ 'isox -Cī; 'iki -akim
17.441	betray	'iki toī -pot; -o'kōmxk
17.45	need, necessity	
17.46	easy	ʔāi -īpæ; ʔā -ako
17.47	difficult	ʔā -m-ako
17.48	try, attempt	-amoš
17.49	way, manner	'isox i'ʔāi
17.51	and	χaʔ
17.52	because	
17.53	if	
17.54	or	
17.55	yes, affirmative	'asa; yo'ʔā
17.56	no, negative	'sātæ; m-
17.61	how?	šo; šimo
17.62	how many?	šo 'k-yaχi
17.63	how much?	šo 'k-yaχi
17.64	what?	aš
17.65	when?	šimxʷk
17.66	where?	'ʔaki; šo ʔant
17.67	which?	'ʔiki, 'ʔaki; šo
17.68	who?	kiʔ; ʔāʔkʷ
17.69	why?	šo 't-pakta-ma
18.11	voice	-apon; -ʔipon
18.12	sing	-ōs
18.13	shout, cry out	-inx
18.15	whisper	-sχǣn-o -aitom
18.16	mumble	
18.17	whistle	-sipχox
18.18	shriek, screech	
18.19	howl	-apon -a'ʔōʔkʷ; 'koɬa -ōšxk
18.21	speak, talk	-aitom; -šaχʷ
18.211	stutter, stammer	īkp -nipatim
18.22	say	-aʔ; -amχ; -ǣ
18.221	tell story	-amašχa
18.222	speech (make a)	
18.23	silent (be)	-mai
18.24	language	'ītom
18.26	word	i'kaitom
18.28	name	-tāsi
18.31	ask (question, inquire)	-mīit
18.32	answer	-aipot
18.33	admit, confess	-asox -a'kōmχ
18.34	deny	-ǣæt
18.35	ask, request	-mīit
18.36	promise	-āmχ
18.37	refuse	
18.38	forbid	-āitaχ
18.39	rebuke, scold	-a'kānt; -aχnix
18.41	call (=summon)	-āa
18.42	call (=name)	-a'tāsit
18.43	announce	k-āʔa -a'koat
18.44	threaten	-a'katɬa
18.45	boast	ʔakχ 'isox -āitim
18.51	write	-āspox
18.52	read	ʔa'paspox -a'kaitom
18.56	paper	ʔa'paspox
18.57	pen	i'kāspoχ
18.61	book	ʔa'paspox ʔa'nōkax
18.67	poet	
18.71	flute	
18.72	drum	
18.73	horn, trumpet	['ʔōřo] an i'kōpχox
18.74	rattle	šīχ ʔa'kǣnɬa; 'ʔæχæš
19.11	country	
19.12	one's native country	
19.15	city, town	'ʔæšitim
19.16	village	'ʔæšitim
19.17	boundary	
19.21	people (populace)	kom'kāk; 'kmikæ
19.23	tribe, clan	
19.24	chief, chieftain	k-i-'ʔæʔæ 'k-ākox; šīχ ʔant kʷ-k-a'kōot
19.25	staff, walking stick	ika'šōx
19.31	rule, govern	
19.32	king, ruler	k-i-'ʔæʔæ k-ākox
19.33	queen	
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	
19.42	slave	
19.43	servant	
19.44	freeman	
19.45	command, order	-o'koaɬ
19.46	obey	ītom kiʔ 'iti -āi
19.47	let, permit	-akatχ
19.51	friend, companion	
19.52	enemy	īkp ʔa'yai
19.54	neighbor	ya'ʔæmæt
19.55	stranger	['koksař]
19.56	guest	
19.57	host	
19.58	help, aid	'iʔaχ -āi
19.59	hinder, prevent	-Caktim
19.61	custom	'isox i'ʔāi
19.62	strife, quarrel	-æpxk
19.63	conspiracy, plot	
19.65	meet	-aʔo
19.72	prostitute	kmām 'k-mīpaɬa
20.11	fight (vb)	-āto; -āmoɬkim
20.13	war, battle	
20.14	peace	
20.15	army	'χika k-o-'yai
20.17	soldier	[san'tāř]; šīχ k-i-'χāša
20.21	weapons, arms	
20.22	club	
20.222	battle-ax	
20.23	sling	ʔap'naiɬ an i'kōχkim
20.24	bow	'ʔākni
20.25	arrow	ʔa'χāša
20.26	spear	ʔa-'kāiš
20.27	sword	[ʔas'pāya]
20.28	gun, cannon	[ænm] 'ʔākni
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	ʔap'naiɬ an i'kap
20.35	fortress	
20.36	tower	
20.41	victory	
20.42	defeat	
20.43	attack	-šam
20.44	defend	-ayaɬ
20.45	retreat	-oxoš
20.46	surrender	'isox 'ʔæmæ -amxk
20.47	captive, prisoner	'ʔæno ʔa'kāiχ
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	'kāʔit
20.52	fishhook	[ænm] i'kāʔit
20.53	fishing line	'χæpæ pōsx
20.54	fishnet	'ʔaso
20.55	fish trap	
20.56	bait	šīχ i'kāʔit
20.61	hunt	-amxʷ
20.62	shoot	-axkim
20.63	miss (target)	-æs
20.64	trap (noun)	an iki'mōnaɬka
20.65	trap (vb)	-ipxk
21.11	law	ki'ʔæʔæ kix 'isox i'ʔāi
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	-a'kōmχ
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	'ʔāko an iko'kāitaχ
21.42	murder	-akʷ; ʔakχ -a'mīʔit
21.43	adultery	
21.44	rape	-Cæpχaɬim; -nip
21.46	arson	
21.47	perjury	
21.51	steal	-koš
21.52	thief	iko'koš 'kiya
22.11	religion	
22.12	God	[yoš]
22.13	temple, church	'χika 'kōsi kiʔ 'ʔāko ano yaī
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	[yoš] -a'toɬæk
22.18	priest	[pāř]
22.19	holy, sacred	
22.22	preach	-a'kækotoɬ
22.23	bless	
22.24	curse	-kāo
22.26	fast (vb)	
22.31	heaven	ʔa'mīmæ
22.32	hell	ʔant k-i'kōpoɬ
22.35	demon (evil spirit)	'sɬōtχʷɬa
22.37	idol	
22.42	magic, witchcraft, sorcery	
22.43	sorcerer, witch	'ʔāko 'k-ama
22.44	fairy, elf	
22.45	ghost, phantom	i'kīsaχ ʔipi ʔakχ kāp
22.47	omen, portent	
