entry_id	trans_english	Selknam_Phonemic
9.18	chain	
9.19	rope, cord	ḳˀahyi
9.192	knot (noun)	tàhpr
9.21	strike (hit, beat)	hà
9.211	pound with fist	
9.22	cut	pˀa
9.221	cut down	w-a
9.222	chop, hew	tˀeyḳe
9.223	stab	
9.23	knife	pˀiyi
9.24	scissors, shears	
9.25	ax	òčèrèn
9.251	adze	
9.26	break	nam
9.261	broken	ʔor
9.27	split	pˀa
9.28	tear	ahče
9.29	flay, skin	soʔ
9.31	rub, wipe	ʔàxè
9.32	stretch	pˀèyè
9.33	pull	
9.34	spread out	ay
9.341	hang up	m-tˀam; m-wexe
9.342	press	at-nèʔ
9.343	squeeze, wring	at-nèʔ
9.35	pour	m-ḳˀà; ay-pèr
9.36	wash	ʔòčèʔ
9.37	sweep	
9.38	broom	
9.422	tool	ʔaymn ohn
9.43	carpenter	
9.44	build	
9.46	bore	
9.461	hollow out	m-tˀòʔ
9.48	saw	
9.49	hammer	
9.5	nail	
9.56	glue	
9.6	smith, blacksmith	
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	
9.65	silver	
9.66	copper, bronze	
9.67	iron	
9.68	lead (noun)	
9.69	tin, tinplate	
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	
9.74	glass	
9.75	weave, plait	ʔo
9.76	basket	taʔyyu
9.77	mat	
9.771	rug	
9.78	netbag	šèu
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	k-ʔaytr; kòri; kar
9.89	paint (vb)	at-mètˀè
10.11	move	aʔi, hàʔ
10.12	turn over	m-ʔečeryè
10.13	turn around	ʔečeryè
10.14	wind, wrap	ʔečer
10.15	roll	
10.16	drop (vb)	m-yèe
10.17	twist	ʔečer
10.21	rise	ʔay-neʔ
10.22	raise, lift	àʔwsè
10.23	fall	w-hene; w-yèe; w-a
10.24	drip	tˀeyšn
10.25	throw	ye
10.252	catch (ball)	hèčè
10.26	shake	ṣene; šine
10.32	flow	ḳˀà
10.33	sink	ḳˀomḳeče; ʔàyen-xe
10.34	float	
10.35	swim	m-yew
10.351	dive	kˀoxe; otxe
10.352	splash	yàʔwe
10.36	sail (vb)	
10.37	fly (vb)	re
10.38	blow	xòx-ye; hayen
10.41	creep, crawl	hehče
10.412	kneel	
10.413	crouch	oruḳn
10.42	slide, slip	ay-tèrè
10.43	jump, leap	čin-eʔ; hali-teʔ
10.431	kick	
10.44	dance	wexè; loxe
10.45	walk	čee
10.451	limp	hèwitè
10.46	run	okèʔ
10.47	go	xe
10.471	go up	ḳˀomeʔ
10.472	climb	xohr
10.473	go down	ʔèhḳ xe; war-pè
10.474	go out	w-enʔ
10.48	come	xe
10.481	come back	xe
10.49	go away, depart	w-enʔ; yoh-xe
10.491	disappear	ʔàmye
10.51	flee	wayer; wayeʔ; čin-ʔ
10.52	follow	àyṣ xe
10.53	pursue	ʔoker
10.55	reach, arrive	exè
10.56	approach	wèntà
10.57	enter	àṣ-ḳ-xe
10.61	carry (bear)	ʔor-yè; w-hàʔ
10.612	carry-in-hand	
10.613	carry-on-shoulder	haḳe; ʔàtèn; ḳˀàṣ-m
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	ṣ-xe
10.63	send	m-ʔol
10.64	lead (vb)	haʔymṣ e
10.65	drive	
10.66	ride	
10.67	push, shove	amnʔ
10.71	road	wax
10.72	path	
10.74	bridge	
10.75	carriage, wagon, cart	
10.76	wheel	
10.77	axle	
10.78	yoke	
10.81	ship	
10.83	boat	
10.831	canoe	yèni; powetˀn
10.832	outrigger	
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	m-aykel
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	
11.12	own, possess	ma; we
11.13	take	šè
11.14	seize, grasp	ʔàmče
11.15	hold	we; šè
11.16	get, obtain	
11.17	keep, retain	we
11.18	thing	ḳàr
11.21	give	ye
11.22	give back	m-yoh-xe
11.24	preserve, look after	m-šoʔ
11.25	save, rescue	wahn m-ṣe
11.27	destroy	tˀàʔsè
11.28	harm, injure, damage	hà
11.31	seek, look for	yo; w-hàynʔ
11.32	find	èwʔ
11.33	lose	w-àʔytè
11.34	release, let go	àʔytè
11.43	money	
11.44	coin	
11.51	rich	
11.52	poor	ʔàlòw
11.53	beggar	w-ʔèyè
11.54	avaricious, stingy	
11.61	lend	ṣ-xáw
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	
11.79	earn	
11.81	buy	
11.82	sell	
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	ḳˀèw
11.92	weigh	
12.1	after	ʔowr
12.11	behind	ʔàtn
12.2	beside	sèx; hòṣ; àʔw
12.3	down, below	
12.4	before	hàw
12.41	front	hàw
12.5	inside, in	àṣ; ʔàwuṣ
12.6	outside	harnik
12.7	under	àmṣ
12.8	up, above	ax; at; ʔè
12.11	place	
12.12	put	m-ʔoyʔ; aʔy; miʔčè
12.13	sit	pe
12.14	lie down	xa
12.15	stand	ʔay
12.16	remain, stay	ʔoyʔ
12.17	remains, left overs	w-arnuw; kˀòwrḳn
12.21	collect, gather	ṣ-ḳˀòhtè
12.212	pick up	ṣ-ḳˀòhtè
12.213	pile up	
12.22	join, unite	wiyi wenḳn
12.23	separate	àʔwsè
12.232	divide	pˀa; tˀeyḳe
12.24	open	àṣ-yeʔ
12.25	shut, close	ʔoxè
12.26	cover	kˀoxe; axe
12.27	hide, conceal	ṣ-mètˀè
12.31	high	čaʔwen
12.32	low	tˀeleʔ; tiše
12.33	top	kˀoṣ; en
12.34	bottom	ḳˀòn
12.35	end	ur
12.352	pointed	čàtèr
12.353	edge	sim-ḳn
12.36	side	sèx; hòṣ; àʔw
12.37	middle, center	ʔàr; at-tek
12.41	right (side)	šòʔw
12.42	left (side)	ʔanik
12.43	near (adv)	manek
12.44	far (adv)	tohni
12.45	east	m-hòhtè; m-ḳˀòn
12.46	west	ʔàtn; knène-ḳr
12.47	north	òḳn; wòmṣḳn
12.48	south	i ʔàh; wòuḳn
12.53	grow	čaʔwen
12.54	measure	
12.541	span, fathom	
12.55	large, big	àṣ-čou; unker
12.56	small, little	tˀeplwè
12.57	long	w-ʔoy
12.58	tall	t-hòu
12.59	short	tišè
12.61	wide, broad	aytike
12.62	narrow	àṣ-tèr
12.63	thick (in dimension)	čè; unker
12.65	thin (in dimension)	tel; čeʔwel
12.67	deep	yuyin
12.68	shallow	hàhyeʔ
12.71	flat	čeeḳe
12.73	straight	hòṣketˀè
12.74	crooked	ḳˀ-è-onke
12.75	hook	kˀaw-ḳn
12.76	corner	ḳˀòlu-ḳn
12.77	cross	
12.78	square	
12.81	round	amitèr
12.82	circle	amitèr-n
12.83	sphere, ball	toker; čahto
12.84	line	tˀàʔrin
12.85	hole	moʔ
12.92	like, similar	wè
12.93	change	
13.0	zero, nothing	
13.1	one	s-è-os
13.2	two	s-è-oki
13.3	three	ṣ-è-àwken
13.4	four	kˀòhni sèoki
13.5	five	
13.6	six	kˀòhni ṣ-è-àwken
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	maxeṣ
13.15	much, many	ḳˀàr
13.16	more	àʔw
13.17	little (quantity), few	k-aʔč
13.18	enough	teʔ
13.181	some	ʔèhḳ
13.19	multitude, crowd	wàṣkitè
13.21	full	ṣàrè
13.22	empty	
13.23	part, piece	
13.24	half	atka
13.33	alone, only	miyen; hòw
13.34	first	kohrk
13.35	last	own
13.36	second	s-è-oki-s
13.37	pair	ʔòn
13.38	two times	s-è-oki-s
13.42	third	ṣ-è-àwken-is
13.44	three times	
14.11	time	
14.12	age	
14.13	new	maʔḳà
14.14	young	maʔ čaʔwen
14.15	old	haʔxe
14.16	early	
14.17	late	
14.18	now	maʔ
14.19	immediately	k-hemten
14.21	swift, fast, quick	čeyeḳˀ
14.22	slow	k-làyu
14.23	hasten, hurry	čeyeḳˀ xe
14.24	retard, delay	
14.25	begin, beginning	eče; em
14.252	last, endure	wa
14.26	end (temporal)	
14.27	finish	yèwl
14.28	cease, stop	ày ʔoyʔ
14.29	ready	
14.31	always	hànṣ
14.32	often	k-hemten; k-wèytu
14.33	sometimes	sinṣ
14.331	soon	k-hemten
14.332	long-time (for a)	la orèk; nani
14.34	never	ninṣ
14.35	again	kˀòn
14.41	day	
14.42	night	x-è-ankˀn
14.43	dawn	yohrxi
14.44	morning	maʔḳˀòn
14.45	noon, midday	
14.451	afternoon	
14.46	evening	ṣ-tˀèʔxe
14.47	today	ana krenn k-amṣ
14.48	tomorrow	maʔḳˀòn
14.481	day-after-tomorrow	nòhrè
14.49	yesterday	akna hàyk k-amṣ
14.491	day-before-yesterday	nak
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	
14.73	year	
14.74	winter	x-è-òš-iḳn
14.75	spring	yo čòʔwṣḳn
