entry_id	trans_english	Breton_Phonemic
9.18	chain	chadenn
9.19	rope, cord	kordenn; fun
9.192	knot (noun)	koulm; skoulm
9.21	strike (hit, beat)	skeiɲ, skoiɲ
9.211	pound with fist	dornaɲ
9.22	cut	trohaɲ
9.221	cut down	diskar
9.222	chop, hew	krennaɲ; trohaɲ
9.223	stab	reiɲ eun taol kontell
9.23	knife	kontell
9.24	scissors, shears	sizaillou
9.25	ax	bouhal
9.251	adze	taladur
9.26	break	terriɲ, torriɲ
9.261	broken	torret
9.27	split	faoutaɲ
9.28	tear	regiɲ
9.29	flay, skin	digrohennaɲ
9.31	rub, wipe	frotaɲ; torchaɲ
9.32	stretch	astenn
9.33	pull	tennaɲ
9.34	spread out	astenn; strewiɲ; ledaɲ; skuill
9.341	hang up	lakaad en pign; lakaad a istribill
9.342	press	gwaskaɲ; pouezaɲ
9.343	squeeze, wring	diwaskaɲ
9.35	pour	dinaouiɲ; fotaɲ
9.36	wash	gwalhiɲ; kannaɲ
9.37	sweep	skubaɲ
9.38	broom	skubellenn; balaenn
9.422	tool	benveg; ostill
9.43	carpenter	kalvez; charpantour
9.44	build	sevel
9.46	bore	toullaɲ
9.461	hollow out	kleuziɲ
9.48	saw	heskenn
9.49	hammer	morzol
9.5	nail	tach; pwentenn
9.56	glue	peg
9.6	smith, blacksmith	gov; marichal
9.61	forge	govelia; marichalad
9.62	anvil	anne
9.63	cast (metals)	teuziɲ
9.64	gold	aour
9.65	silver	arhant
9.66	copper, bronze	kouevr; arem
9.67	iron	houarn
9.68	lead (noun)	plom
9.69	tin, tinplate	sten
9.71	potter	poder
9.72	mold (clay etc)	aoza
9.73	clay	pri; douar pri
9.74	glass	gwer
9.75	weave, plait	gwiad; plaɲsonenniɲ
9.76	basket	paner; kavell
9.77	mat	plaɲsonenn
9.771	rug	tapis
9.78	netbag	rouedenn
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	kizellaɲ; benaɲ
9.82	sculptor	kizeller; bener
9.83	statue	statu
9.84	chisel	kizell
9.88	paint (noun)	livaj; pentur
9.89	paint (vb)	livaɲ; penturiɲ
10.11	move	fiɲval
10.12	turn over	treiɲ; distreiɲ
10.13	turn around	treiɲ
10.14	wind, wrap	rodellaɲ
10.15	roll	ruillaɲ
10.16	drop (vb)	loskel da gouezaɲ
10.17	twist	gweaɲ
10.21	rise	sevel
10.22	raise, lift	sevel
10.23	fall	kouezaɲ
10.24	drip	beraɲ; diveraɲ
10.25	throw	teurel; taol; darhao
10.252	catch (ball)	tapoud, trapoud
10.26	shake	hejaɲ
10.32	flow	ruillal
10.33	sink	gouelediɲ; mond d'ar strad; mond d'ar foɲs
10.34	float	chom war horre an dour
10.35	swim	neuɲvi; neuial
10.351	dive	plonjaɲ
10.352	splash	strinkaɲ dour
10.36	sail (vb)	navigaɲ
10.37	fly (vb)	nijal
10.38	blow	c’hwezaɲ
10.41	creep, crawl	en em stleja; ruzaɲ
10.412	kneel	daoulinaɲ; penndaoulinaɲ
10.413	crouch	kluchaɲ
10.42	slide, slip	riklaɲ; rampaɲ
10.43	jump, leap	lammad, lampad
10.431	kick	reiɲ eun taol troad
10.44	dance	daɲsal
10.45	walk	kerzed; bale
10.451	limp	kammaɲ
10.46	run	redeg; galoupad
10.47	go	mond
10.471	go up	sevel
10.472	climb	krapad
10.473	go down	diskenn
10.474	go out	mond er mêz
10.48	come	dond
10.481	come back	dond en dro
10.49	go away, depart	mond kuit
10.491	disappear	mond diwar wel
10.51	flee	tehel; tehoud
10.52	follow	heuliaɲ; mond do heul
10.53	pursue	mond war lerh; redeg war lerh
10.55	reach, arrive	arrioud, arruoud; digouezoud; en em gaoud
10.56	approach	tostaad
10.57	enter	mond ebarz; dond ebarz
10.61	carry (bear)	dougen
10.612	carry-in-hand	dougen en e zorn
10.613	carry-on-shoulder	dougen war e chouk
10.614	carry-on-head	dougen war e benn
10.615	carry-underarm	dougen dindan e gazel
10.62	bring	digas
10.63	send	kas
10.64	lead (vb)	kas
10.65	drive	kas
10.66	ride	mond war varh
10.67	push, shove	poulzaɲ; boutaɲ
10.71	road	hent
10.72	path	gwenodenn; ribin
10.74	bridge	pont
10.75	carriage, wagon, cart	karr
10.76	wheel	rod
10.77	axle	ahel
10.78	yoke	yeo
10.81	ship	lestr; batimant
10.83	boat	bag
10.831	canoe	kanod
10.832	outrigger	--
10.84	raft	radell
10.85	oar	roeɲv
10.851	paddle (noun)	
10.852	row (vb)	roenviɲ; reual
10.86	rudder	stur
10.87	mast	gwern
10.88	sail (noun)	gouel
10.89	anchor	eor
10.91	harbor, port	porz
10.92	land (vb)	debarkiɲ
11.11	have	kaoud
11.12	own, possess	kaoud
11.13	take	kemer
11.14	seize, grasp	kregiɲ; tapoud krog
11.15	hold	derhel krog
11.16	get, obtain	kavoud
11.17	keep, retain	mired; goarn
11.18	thing	tra
11.21	give	reiɲ
11.22	give back	rentaɲ; reiɲ en dro
11.24	preserve, look after	mired; delhel
11.25	save, rescue	saveteiɲ; sovetaad
11.27	destroy	distrujaɲ; dispenn
11.28	harm, injure, damage	ober droug
11.31	seek, look for	klask
11.32	find	kavoud
11.33	lose	koll
11.34	release, let go	leuskel da vond
11.43	money	arhant
11.44	coin	pez; pez moneiz
11.51	rich	pinvidig
11.52	poor	paour
11.53	beggar	klasker-bara
11.54	avaricious, stingy	piz; tost
11.61	lend	prestaɲ
11.62	borrow	prestaɲ
11.63	owe	dleoud; gleoud
11.64	debt	dle; gle
11.65	pay (vb)	paeaɲ
11.66	account, reckoning	kont
11.69	tax, tribute	kontribusion; impoiou
11.77	hire	feurmiɲ
