entry_id	trans_english	Wichí_Phonemic
11.85	market (place)	to-ɬok-wet
11.86	store, shop	
11.87	price	la'ha
11.88	dear (costly, expensive)	tˀeh'ni
11.89	cheap	ni-tˀeh'ni
11.91	share (distribute)	wen-'ho-m-če
11.92	weigh	
12.1	after	toh-'yoma
12.11	behind	ik-n'hʷete
12.2	beside	ihʷa'ye
12.3	down, below	ik-hi-'čoʔ
12.4	before	pah-če
12.41	front	čen-kat
12.5	inside, in	hu'hu
12.6	outside	i-a'ɬu-ye
12.7	under	ik'hʷi
12.8	up, above	ik-'phoʔ
12.11	place	le-wet
12.12	put	ti'hi
12.13	sit	tˀay-'phoʔ
12.14	lie down	i-mo-ka'c̷i
12.15	stand	takasit
12.16	remain, stay	nic̷ˀi'na
12.17	remains, left overs	ɬi'p-ey toh i-mo-ɬe-'hi
12.21	collect, gather	yihetwek
12.212	pick up	yihetwek
12.213	pile up	i-s'kun
12.22	join, unite	pˀahtitwek
12.23	separate	tiyehka'ni
12.232	divide	čˀe'sah
12.24	open	huyen'če
12.25	shut, close	pˀu-'hi
12.26	cover	pˀu-'peʔ
12.27	hide, conceal	i-s'kat
12.31	high	atuh-'phoʔ
12.32	low	atuh-'čoʔ
12.33	top	ɬetek-'čˀu
12.34	bottom	ta-'čˀu
12.35	end	la-'pes
12.352	pointed	ic̷e'ɬoh
12.353	edge	-'yey
12.36	side	-ɬip
12.37	middle, center	ɬa-ču-'weh
12.41	right (side)	la-humkat
12.42	left (side)	la-c̷amkat
12.43	near (adv)	niʔ'tuhʷaya
12.44	far (adv)	atu'hʷey
12.45	east	'hʷala poh'ti
12.46	west	'hʷala weh
12.47	north	tahuh'ɲiʔ
12.48	south	tapih'niʔ
12.53	grow	teɬ-'pho
12.54	measure	
12.541	span, fathom	
12.55	large, big	wehʷ
12.56	small, little	ɬomsah
12.57	long	pi'tah
12.58	tall	pi'tah
12.59	short	nip'taha
12.61	wide, broad	čitc̷ah-čeʔ
12.62	narrow	nik'c̷aha-čeʔ
12.63	thick (in dimension)	wehʷ-'čeʔ
12.65	thin (in dimension)	i-lu'pen
12.67	deep	pi'tuh
12.68	shallow	tˀatinphoʔ
12.71	flat	tˀatinphoʔ
12.73	straight	tˀatc̷epi-čeʔ
12.74	crooked	laka'tu
12.75	hook	to-keyk
12.76	corner	lac̷e'ɬoʔ
12.77	cross	
12.78	square	
12.81	round	tulah-'ɬi
12.82	circle	
12.83	sphere, ball	
12.84	line	hʷi'nah
12.85	hole	la-tu'weh
12.92	like, similar	ničot-čeʔ
12.93	change	ɬaywelah'nat
13.0	zero, nothing	lah-may'čače
13.1	one	hote-hʷah-'hi
13.2	two	[lus]
13.3	three	lah-tihʷayaeʔɬ
13.4	four	
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	[layes]
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	[wey'ti]
13.105	hundred	[syen]
13.106	thousand	[mil]
13.107	count	wuʔ-'hʷalisa
13.14	every, all	ni'ɬokeh
13.15	much, many	nitokʷ
13.16	more	ɬoye-ɬip
13.17	little (quantity), few	'ɬimpah
13.18	enough	naa'ya
13.181	some	ɬip
13.19	multitude, crowd	wehʷ-'peʔ
13.21	full	ta'puyeh
13.22	empty	lah-'ɬele-ya
13.23	part, piece	ɬip
13.24	half	ɬip
13.33	alone, only	'c̷ˀi-lak
13.34	first	ta'čen
13.35	last	la-'pes-e
13.36	second	
13.37	pair	tina'hitče wek
13.38	two times	y-opnom-'peh
13.42	third	'ihi [ta'les]
13.44	three times	
14.11	time	le-hʷoy
14.12	age	nek'čom ta 'ihi
14.13	new	nečˀa-yik
14.14	young	mam'se
14.15	old	hi'čˀet
14.16	early	ina'thah
14.17	late	ho'na-h
14.18	now	at'hana
14.19	immediately	hapahihʷah
14.21	swift, fast, quick	i-lohʷel
14.22	slow	y-iwaɬ
14.23	hasten, hurry	ni'kel
14.24	retard, delay	nin'kela
14.25	begin, beginning	wuʔ'tesa
14.252	last, endure	tˀeh'ni
14.26	end (temporal)	nuh
14.27	finish	nuh-čeʔ
14.28	cease, stop	taka'sit
14.29	ready	'ɬameh
14.31	always	nitokʷ-'čeʔ
14.32	often	nitokʷ-'čeʔ
14.33	sometimes	iče-'peh la-'hʷoy
14.331	soon	ni'paha
14.332	long-time (for a)	pi'tah la-'hʷoy
14.34	never	namweneh-'čeʔ
14.35	again	ya'čaho
14.41	day	i-'hʷalaʔ
14.42	night	hona-'c̷i
14.43	dawn	hʷalaʔ-in'loʔ
14.44	morning	inathah
14.45	noon, midday	hʷalaʔ-ik'ni
14.451	afternoon	hona-h
14.46	evening	hʷalaʔ-'yey
14.47	today	at'hana
14.48	tomorrow	čeʔ-'hʷalaʔ
14.481	day-after-tomorrow	čeʔyupi-'hʷalaʔ
14.49	yesterday	'hʷala-'nah'c̷u
14.491	day-before-yesterday	'hʷalaʔ-eʔɬ-'nahi
14.51	hour	le-'hʷoy
14.53	clock, timepiece	hʷalaʔ
14.61	week	
14.62	Sunday	[lo'minko]
14.63	Monday	[lunes]
14.64	Tuesday	[maltis]
14.65	Wednesday	[myelkolis]
14.66	Thursday	[hʷewis]
14.67	Friday	[wyelnis]
14.68	Saturday	['sawalo]
14.71	month	weʔ'laʔ
14.73	year	nek'čom
14.74	winter	lup
14.75	spring	na'wup
14.76	summer	ya'čep
14.77	autumn	čyeɬčep
14.78	season	le-hʷoy
15.21	smell (vb intrans)	ta-'nis-in-eh
15.212	sniff	ta-'nis-in-loʔ
15.22	smell (vb trans)	la-'nih
15.25	fragrant, good smelling	akoh-'čeʔ
15.26	stinking, bad smelling	na'het
15.31	taste	yeʔɬ'tu
15.35	sweet	akoh
15.36	salty	nu'suʔy
15.37	bitter	ta'pay
15.38	acid, sour	ta'pay
15.39	brackish	nusuʔy-'hi
15.41	hear	ilo'tey
15.42	listen	ilo'tey
15.44	sound, noise	la'pak
15.45	loud	pic̷a'hey
15.46	quiet, silence	yokʷ-tem
15.51	see	wen
15.52	look, look at	i-ya'hin
15.55	show	poyi'ne
15.56	shine	yit'hi
15.57	bright	yithi-'tah; yit-'ɬi
15.61	color	tˀoh
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	pe'lah
15.65	black	ča'lah
15.66	red	čot; i-'čot
15.67	blue	wa'c̷an
15.68	green	wa'c̷an
15.69	yellow	kaʔteʔ
15.71	touch	čem-peʔ
15.712	pinch	c̷i'hʷin
15.72	feel	ilot'čeʔ
15.74	hard	tˀen
15.75	soft	take'hʷi
15.76	rough	yelah-'peʔ
15.77	smooth	hipˀe'tah-peʔ
15.78	sharp	yey
15.79	blunt, dull	n'ʔeya
15.81	heavy	ni-čuh'ɲat
15.82	light (in weight)	ni-n-čuh'ɲat-a
15.83	wet, damp	ta-'seʔy
15.84	dry	tam'čoʔy
15.85	hot	niča'yuʔ
15.851	warm	hi'pˀehi
15.86	cold	ni-te'čoh
15.87	clean	i'sathi
15.88	dirty, soiled	'kukˀahi
15.89	wrinkled	ɲi-hetwek
16.11	soul, spirit	-he'sek
16.15	surprised, astonished	i-seɬ-'teh
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	to-koh-'yah
16.25	laugh	tis'čeʔy
16.251	smile	la-'kˀah tisčey'hi
16.26	play	ye'kuʔy
16.27	love	ihe'min
16.29	kiss	
16.3	embrace	ta'c̷ehʷeleh
16.31	pain	oy'tah
16.32	grief, sorrow, sadness	n-itičum-'ɬi
16.33	anxiety, worry	tonɬeleh-'ɬi
16.34	regret, be sorry	
16.35	pity	to-pˀalc̷e-'yah
16.37	cry, weep	tahʷ-'ɬi
16.38	tear (noun)	to-tˀe-tˀi
16.39	groan	tečˀet-'ɬi
16.41	hate	'hnemin-a
16.42	anger	tawo'kʷoʔy
16.44	envy, jealousy	tˀis'čen
16.45	shame (noun)	nohʷelʔ
16.48	proud	ɬičoh-'ɬi
16.51	dare	
16.52	brave	takhahay
16.53	fear, fright	nowaye
16.54	danger	tahuwat'nan
16.62	desire, want	yi-ko'na
16.622	choose	i-yayh'neʔn
16.63	hope	to-ni'hʷa-yah
16.65	faithful	ahʷtinc̷ah
16.66	true	mat-če; mat
16.67	lie, tell lies	wetyom-'ɬi
16.68	deceit	kan'c̷ah
16.69	forgive	to-hɲat-la-'tes
16.71	good	is
16.72	bad	'kac̷iya
16.73	right, correct	is 'aɬoho
16.74	wrong	nisa 'aɬoho
16.76	fault	
16.77	mistake, error	we'ta-yeh
16.78	blame	la-'tes 'ihi
16.79	praise	'yome mak toh is
16.81	beautiful	is-ila'tah
16.82	ugly	ni-is-a
16.83	greedy	niɬe'kˀal
16.84	clever	ye'haneh 'mayek
17.11	mind	-tičuh'nayah
17.13	think (= reflect)	yen-tičuh'naya-ha
17.14	think (= be of the opinion)	yeney-'čeʔ
17.15	believe	tˀeč'haye
17.16	understand	yeha'neh
17.17	know	yeha'neh
17.171	guess	hinoɬ'ta
17.172	imitate	i'ten
17.18	seem	ničot-čeʔ
17.19	idea, notion	-tičuh'nayah
17.21	wise	ye'haneh 'mayek
17.22	foolish, stupid	hna'nayeh i'mayek
17.23	insane, crazy	isekʷ
17.24	learn	ɬ-iče'hʷen
17.242	study	ite'c̷an
17.25	teach	iče'hʷen
17.26	pupil	-čehʷe'n-ek
17.27	teacher	-čehʷe'n-ek-'wuʔ
17.28	school	-čehʷe'n-ek-wet
17.31	remember	ni'tičun-če
17.32	forget	hipˀethat-loʔ
17.34	clear, plain	kale'ɬoh
17.35	obscure	ni-kaleɬoh-a
17.36	secret	i-sam-sam-e
17.37	sure, certain	mat-če
17.38	explain	yi-kaleɬ-t'hu
17.41	intention, purpose	
17.42	cause	la-'tes; ta'meneh
17.43	doubt	-kačahan'yah
17.44	suspect	tˀi-seɬteh
17.441	betray	yi-kha'neh
17.45	need, necessity	i-watlo
17.46	easy	k-aʔt'ha-ya
17.47	difficult	at'haʔ
17.48	try, attempt	yeɬ'te
17.49	way, manner	i'wuye
17.51	and	wet
17.52	because	c̷i'hop
17.53	if	če
17.54	or	wuk
17.55	yes, affirmative	ee
17.56	no, negative	kha
17.61	how?	eeʔ e'wuye
17.62	how many?	eeʔ ho'te
17.63	how much?	eeʔ ho'te
17.64	what?	a'tˀep
17.65	when?	eeʔ ho'te 'nahi
17.66	where?	eeʔ 'ihi
17.67	which?	a'tˀep 'hope
17.68	who?	atˀe
17.69	why?	atˀe mak toh ta'meneh
18.11	voice	-tˀon-yah
18.12	sing	tˀičui-'ɬi
18.13	shout, cry out	tˀon-'ɬi
18.15	whisper	sam-sam-e
18.16	mumble	ta'huy 'ɬameh
18.17	whistle	i-wuʔ-'poset-a
18.18	shriek, screech	teyčet-'ɬi
18.19	howl	asi'noh tˀon-'ɬi
18.21	speak, talk	yom-'ɬi
18.211	stutter, stammer	ta'huy 'ɬameh
18.22	say	i-hʷeɬ
18.221	tell story	yo'm-ey
18.222	speech (make a)	yoh-mop-'ɬi
18.23	silent (be)	ni'c̷ˀina
18.24	language	ɬah'ɲiʔ
18.26	word	ɬo'met
18.28	name	to-'ɬey
18.31	ask (question, inquire)	tayotneh
18.32	answer	ni'čeɬuʔ
18.33	admit, confess	ɬ-i-hʷeɬ
18.34	deny	ni-maʔ't-a-čeʔ
18.35	ask, request	'tˀaɬ-e
18.36	promise	i-hʷeɬ
18.37	refuse	i-hʷaɬ
18.38	forbid	'nʔoyeh; 'nʔoyešuʔ > 'noyeh + luʔ
18.39	rebuke, scold	iye'ta
18.41	call (=summon)	tˀo'n-ey
18.42	call (=name)	i-wuʔ-'ɬey-a
18.43	announce	i-hʷe'l-ey
18.44	threaten	tawo'kʷoʔy
18.45	boast	ɬičoh-'ɬi
18.51	write	ilesa-'yen
18.52	read	ahʷ-'yen
18.56	paper	[papel]
18.57	pen	[la'piʔ]
18.61	book	[liw'lu]
18.67	poet	--
18.71	flute	-huɬ
18.72	drum	pem
18.73	horn, trumpet	pˀaɬ-k-hi-'tah
18.74	rattle	-la'nek
19.11	country	-ka-(o)'hnat
19.12	one's native country	-we't-es
19.15	city, town	he'p-ey
19.16	village	he'p-ey
19.17	boundary	-ka-'pes
19.21	people (populace)	wi'či
19.23	tribe, clan	wi'či ih'ɲoh
19.24	chief, chieftain	-ka-ni'yat
19.25	staff, walking stick	-c̷et
19.31	rule, govern	-niyat-'eh
19.32	king, ruler	la-ka-ni'yat
19.33	queen	ni'yat toh ac̷ih'na
19.36	noble, nobleman	--
19.37	citizen, subject	
19.41	master	-wekʷ
19.42	slave	-kʷe'ne-k
19.43	servant	-ka-'wu
19.44	freeman	hiʔnuʔ lah la-wekʷ-a
19.45	command, order	i'čen
19.46	obey	i-'wu-ye
19.47	let, permit	i-way'hneh
19.51	friend, companion	-ɬoy-'hʷaʔ
19.52	enemy	-tayhn-'hʷaʔ
19.54	neighbor	-wet-ɬe'le
19.55	stranger	wiči-eɬ
19.56	guest	-ka-si-'ya-k
19.57	host	-wekʷ
19.58	help, aid	ta-'čˀut-ey
19.59	hinder, prevent	ni-čˀaw'ɬaya-ye
19.61	custom	-key
19.62	strife, quarrel	ina'het
19.63	conspiracy, plot	i-lokʷ-'ɬi
19.65	meet	ni-ɬok-a
19.72	prostitute	
20.11	fight (vb)	ina'het
20.13	war, battle	nihu'tah
20.14	peace	-'tamsek
20.15	army	-ka-'c̷a-yah ča-ɬ
20.17	soldier	[sulta]wuʔ
20.21	weapons, arms	lec̷e-s
20.22	club	-tˀ-ah-'nat
20.222	battle-ax	
20.23	sling	-hum'ti
20.24	bow	-le-'c̷eh; -ka-lu'tek
20.25	arrow	-čˀoheɬ
20.26	spear	-hen
20.27	sword	-hʷ-ah-'nat
20.28	gun, cannon	-le'c̷e-h
20.31	armor (defensive)	-kahna'tek
20.33	helmet	
20.34	shield	-ka-c̷a-'yah pˀut
20.35	fortress	[ful'tin]
20.36	tower	
20.41	victory	ye-'ka-ɬi
20.42	defeat	ta'toy
20.43	attack	ta-tayhn'loʔ
20.44	defend	hi-pˀwihn'loʔ
20.45	retreat	yik čʔu'ya
20.46	surrender	ɬi-pˀaɬc̷en-'ɬoʔ
20.47	captive, prisoner	-kʷe'nek
20.471	guard, sentinel	-ka-nihʷ-ay'ne-k
20.48	booty, spoils	
20.49	ambush	i-ču'waɬ-a
20.51	fisherman	ni'wuk
20.52	fishhook	ti'm-ek
20.53	fishing line	tˀi'mek tˀak
20.54	fishnet	to-wut
20.55	fish trap	
20.56	bait	-ko'nek
20.61	hunt	i-čuwaɬ-če
20.62	shoot	ti'yoh
20.63	miss (target)	hatothiʔ
20.64	trap (noun)	ti'm-ek
20.65	trap (vb)	yo'yit
21.11	law	
21.15	court	-kaleɬ'ta-yah wet
21.16	judge (vb)	i-kaleɬot
21.17	judgment	-kaleɬ-'tayah
21.18	judge (noun)	-kaleɬ-tayah-wu
21.21	plaintiff	ɬam-to-yen-'tes-a
21.22	defendant	la-'tes-'ihi
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	yen-'tes-a-yah
21.32	condemn	
21.33	convict (vb)	yen-'tes-a-yah
21.34	acquit	i-toyin'teh
21.35	guilty	la-'tes 'ihi
21.36	innocent	lah-la'tes-a
21.37	penalty, punishment	
21.38	fine	-tˀaɬ-peʔ
21.39	prison, jail	-pˀun'ti
21.42	murder	ani'kuy
21.43	adultery	-kayn-o'yah
21.44	rape	
21.46	arson	iwe'neh eɬ wet
21.47	perjury	
21.51	steal	is'kat
21.52	thief	etan'c̷ah
22.11	religion	
22.12	God	n-ila-'tah; [lios]
22.13	temple, church	to-hese-wet; -he'sek wet
22.14	altar	-ʔsa-'wet
22.15	sacrifice, offering	-wayh'ɲat
22.16	worship	-ɬay'hat wek
22.17	pray	tˀaɬ; -tˀaɬ-'yah
22.18	priest	[poleʔ]-'tah
22.19	holy, sacred	tˀamah-čet
22.22	preach	yen-'ɬomet-a
22.23	bless	ko-'phʷa-yah
22.24	curse	i-sitoʔ'yen
22.26	fast (vb)	ɬay-čeyh'ɲat
22.31	heaven	pe'leʔ
22.32	hell	-ɬahʷ'ya-yah wet
22.35	demon (evil spirit)	a'hot
22.37	idol	-če'yoʔ
22.42	magic, witchcraft, sorcery	-ka'čaʔ
22.43	sorcerer, witch	haya'weʔ
22.44	fairy, elf	
22.45	ghost, phantom	to-ɬah-wuʔ
22.47	omen, portent	-weh'nay
