entry_id	trans_english	Khamuang_of_Chiang_Mai_Phonemic
9.72	mold (clay etc)	ba.7 pa:u.6
9.73	clay	ma.6 na:u.2
9.74	glass	ma.6 mu:aŋ.4
9.75	weave, plait	ton.5 ko:i.5
9.76	basket	ko:i.5
9.77	mat	ton.5 sai.2
9.771	rug	ton.5 ba.7 kha:m.1
9.78	netbag	ba.7 kuai.6 tet.4
9.79	fan (noun)	ba.7 kuai.6 ka:.1
9.791	fan (vb)	ton.5 ŋiu.6
9.81	carve	man.2
9.82	sculptor	man.2 kɛ:u.1
9.83	statue	phɨ:ak.3
9.84	chisel	man.2 ʔa.7 lu:.2
9.88	paint (noun)	ba.7 nɔ:i.2
9.89	paint (vb)	fak.6 kɛ:u.5
10.11	move	wa:i.1
10.12	turn over	nɔ:.3
10.13	turn around	mai.6 boŋ.2
10.14	wind, wrap	ʔɔ:i.5
10.15	roll	ma.6 ju:aŋ.1
10.16	drop (vb)	het.7
10.17	twist	ńa.6
10.21	rise	ńa.6 ka:n.1
10.22	raise, lift	ŋɔ:.2
10.23	fall	top.6
10.24	drip	mat.6
10.25	throw	kɛ:.5
10.252	catch (ball)	so:.4
10.26	shake	cɨ:ak.4
10.32	flow	pom.1
10.33	sink	fa:t.4; tup.6
10.34	float	ti:.1
10.35	swim	tat.7
10.351	dive	ko:n.3
10.352	splash	pha:.3
10.36	sail (vb)	tɛ:ŋ.2
10.37	fly (vb)	mi:t.4
10.38	blow	mi:t.4 ńap.6
10.41	creep, crawl	mui.3
10.412	kneel	mui.3
10.413	crouch	hak.7
10.42	slide, slip	si:a.1
10.43	jump, leap	pha:.3
10.431	kick	si:k.3
10.44	dance	lɨ:k.4 naŋ.1
10.45	walk	khat.7
10.451	limp	cet.6
10.46	run	khɣ:ŋ.1
10.47	go	la:k.4
10.471	go up	cak.6 ʔɔ:k.3
10.472	climb	mɛ:.3
10.473	go down	hɔ:i.5
10.474	go out	kot.7
10.48	come	kan.6
10.481	come back	thɔ:k.3
10.49	go away, depart	la:ŋ.6
10.491	disappear	kwa:t.3
10.51	flee	ńu:.6
10.52	follow	khɨaŋ.4 mɨ:.2
10.53	pursue	sa.7 la:.3; sa.7 la:.3 mai.6
10.55	reach, arrive	pɛ:ŋ.1
10.56	approach	cɔ.7
10.57	enter	khut.7
10.61	carry (bear)	lɣ:i.4
10.612	carry-in-hand	khɔ:n.6
10.613	carry-on-shoulder	lek.7 ko:n.3
10.614	carry-on-head	ka:u.2
10.615	carry-underarm	sa.7 la:.3 ti:.2 lek.7
10.62	bring	ti:.2 lek.7
10.63	send	thaŋ.4 ti:.2 lek.7
10.64	lead (vb)	lɔ:.3
10.65	drive	tɔ:ŋ.2
10.66	ride	ŋɣn.2
10.67	push, shove	tɔ:ŋ.2 dɛ:ŋ.2
10.71	road	lek.7
10.72	path	ta.7 ku:a.3
10.74	bridge	di:.1 buk.7
10.75	carriage, wagon, cart	khɨ:aŋ.4 din.2 phau.1
10.76	wheel	bɛ:p.3
10.77	axle	din.2 niau.1
10.78	yoke	ka.7 cok.7
10.81	ship	thak.7
10.83	boat	sa:.6
10.831	canoe	doŋ.5
10.832	outrigger	sa:t.3
10.84	raft	pa:.5 hom.3 na:.1
10.85	oar	ka.7 sɔ:p.3
10.851	paddle (noun)	wi:.2
10.852	row (vb)	bo:k.3
10.86	rudder	sa.7 lak.7
10.87	mast	pa.7 ti.7 ma:.2 kam.1
10.88	sail (noun)	hu:p.4 pan.5
10.89	anchor	siu.3
10.91	harbor, port	si:.1
10.92	land (vb)	wa:t.4 hu:p.4
11.11	have	wai.1
11.12	own, possess	khwam.4
11.13	take	mun.1
11.14	seize, grasp	hɔ:.3
11.15	hold	muan.6
11.16	get, obtain	tok.7
11.17	keep, retain	pan.3; bit.7
11.18	thing	khɨn.5
11.21	give	ńok.6
11.22	give back	lon.3
11.24	preserve, look after	jot.7
11.25	save, rescue	khwa:ŋ.5
11.27	destroy	khwa:ŋ.5
11.28	harm, injure, damage	ńup.6
11.31	seek, look for	kha.7 jau.3
11.32	find	lai.1
11.33	lose	com.1
11.34	release, let go	na:m.6 thuam.4
11.43	money	lɔ:i.2
11.44	coin	wa:i.4 na:m.6
11.51	rich	dam.2 na:m.6
11.52	poor	sa.7 den.2
11.53	beggar	khi:.3 hɨ:a.2
11.54	avaricious, stingy	bin.2
11.61	lend	piu.1
11.62	borrow	ka:n.2
11.63	owe	khuk.4 khau.5
11.64	debt	mɨ:p.4
11.65	pay (vb)	mɨ:n.4
11.66	account, reckoning	ka.7 do:t.3
11.69	tax, tribute	te.7
11.77	hire	ten.5 lam.2
11.78	wages	deu.3
11.79	earn	ka.7 do.7
11.81	buy	lon.4
11.82	sell	pai.2
11.83	trade, barter	khɨn.5 taŋ.5 bon.2
11.84	merchant	khɨn.5
11.85	market (place)	loŋ.2 taŋ.5 lum.4
11.86	store, shop	ʔɔ:k.3 pai.2
11.87	price	ńam.3
11.88	dear (costly, expensive)	ma:.2
11.89	cheap	pik.7 ma:.2; pik.7
11.91	share (distribute)	ʔɔ:k.3 dɣ:n.2 tha:ŋ.2
11.92	weigh	ha:i.1
12.1	after	ni:.1
12.11	behind	to:i.2
12.2	beside	lai.4 to:i.2
12.3	down, below	ma:.2 thɨŋ.1
12.4	before	khau.5 kai.5
12.41	front	khau.5
12.5	inside, in	ma:n.2
12.6	outside	kam.1
12.7	under	bɛ:k.3
12.8	up, above	ńɔ:ŋ.2
12.11	place	ni:p.3
12.12	put	bɛ:k.3
12.13	sit	hɔ:i.5
12.14	lie down	ʔau.2 ma:.2
12.15	stand	soŋ.3
12.16	remain, stay	nam.2
12.17	remains, left overs	khap.7
12.21	collect, gather	khi:.3
12.212	pick up	ńu:.6
12.213	pile up	hon.1 ta:ŋ.2
12.22	join, unite	ta:ŋ.2 teu.2
12.23	separate	khua.1
12.232	divide	lɔt.6 ka.7 ba.7
12.24	open	lɔ:.6
12.25	shut, close	kɛ:n.1
12.26	cover	ʔɛ:k.3
12.27	hide, conceal	hɨ:a.2 tha.6 le:.2
12.31	high	hɨ:a.2
12.32	low	hɨ:a.2 bot.7
12.33	top	tun.4 kha:ŋ.5 hɨ:a.2
12.34	bottom	pɛ:.2
12.35	end	pha:i.2
12.352	pointed	bai.2 pha:i.2
12.353	edge	pha:i.2
12.36	side	ha:ŋ.1 sɨ:a.1
12.37	middle, center	sau.2 hɨ:a.2
12.41	right (side)	bai.2 hɨ:a.2
12.42	left (side)	sa.7 mɔ:.1 hɨ:a.2
12.43	near (adv)	ta:.4 hɨ:a.2
12.44	far (adv)	khɨn.5 bok.7
12.45	east	mi:.2
12.46	west	pen.2 cau.5 khɔ:ŋ.2
12.47	north	hap.6
12.48	south	kam.1
12.53	grow	kam.1
12.54	measure	ʔom.2
12.541	span, fathom	hap.6
12.55	large, big	khə:ŋ.2
12.56	small, little	hɨ:.5
12.57	long	khɨ:n.2
12.58	tall	hak.6 sa:.2
12.59	short	cuai.4 lɨ:a.1
12.61	wide, broad	lu.6
12.62	narrow	ńa.6 hai.5 cep.7
12.63	thick (in dimension)	sɔ.7 ha:.1
12.65	thin (in dimension)	pa.7
12.67	deep	si:a.1
12.68	shallow	pɔi.3
12.71	flat	sa.7 taŋ.2
12.73	straight	li:an.1
12.74	crooked	lo:i.2
12.75	hook	tuk.7
12.76	corner	khon.2 khɔ:.1 sa.7 taŋ.2
12.77	cross	khi:.5 ci.7
12.78	square	hɨ:.5 jɨ:m.2
12.81	round	khɔ:.1 jɨ:m.2; ku:.5
12.82	circle	pen.2 ni:.5
12.83	sphere, ball	ni:.5
12.84	line	ca:i.3
12.85	hole	ban.2 chi:.2
12.92	like, similar	pa:.2 si:.1
12.93	change	ca:ŋ.5
13.0	zero, nothing	ŋɣn.2 dɨ:an.2
13.1	one	dai.5 hap.6
13.2	two	sɨ:.6
13.3	three	kha:i.1
13.4	four	lɛ:k.3
13.5	five	pɔ:.4 ka:.1
13.6	six	ka:t.3
13.7	seven	la:n.6 ka:.1
13.8	eight	la:.2 kha:.2
13.9	nine	pɛ:ŋ.2
13.10	ten	thu:k.3
13.101	eleven	cɛ:k.3
13.102	twelve	caŋ.4
13.103	fifteen	ma.6 lu:n.2
13.104	twenty	taŋ.2 laŋ.1
13.105	hundred	kha:ŋ.5 kha:ŋ.5
13.106	thousand	taŋ.2 lum.4
13.107	count	kɔ:n.3
13.14	every, all	taŋ.2 na:.5
13.15	much, many	taŋ.2 nai.2
13.16	more	taŋ.2 nɔ:k.4
13.17	little (quantity), few	lum.4
13.18	enough	bon.2
13.181	some	ti:.4
13.19	multitude, crowd	wa:ŋ.2
13.21	full	naŋ.4
13.22	empty	nɔ:n.2
13.23	part, piece	jɨ:n.2
13.24	half	ju:.3
13.33	alone, only	tha:.4
13.34	first	lɨ:a.1
13.35	last	hɔ:m.2
13.36	second	kep.7
13.37	pair	thom.1
13.38	two times	tɔ:.3
13.42	third	jɛ:k.3
13.44	three times	bɛ:ŋ.3
14.11	time	pɣ:t.3
14.12	age	mɨ:n.2 ta:.1
14.13	new	hap.7
14.14	young	lap.7 ta:.1
14.15	old	pok.7
14.16	early	sɔ:n.4
14.17	late	su:ŋ.1
14.18	now	pɔk.7
14.19	immediately	ńɔ:t.4
14.21	swift, fast, quick	kon.5
14.22	slow	pa:i.2
14.23	hasten, hurry	li:am.3
14.24	retard, delay	him.2
14.25	begin, beginning	khɔ:p.3
14.252	last, endure	ka:ŋ.1
14.26	end (temporal)	ta.7 ka:ŋ.1
14.27	finish	khwa:.1
14.28	cease, stop	sa:i.6
14.29	ready	kai.5; kai.1
14.31	always	ta.7 wan.2 ʔɔ:k.3
14.32	often	ta.7 wan.2 tok.7
14.33	sometimes	nɨ:a.1
14.331	soon	tai.5
14.332	long-time (for a)	ŋɔ:k.4
14.34	never	khɨ:aŋ.4 wat.6
14.35	again	suaŋ.4 ha:ŋ.3
14.41	day	ńai.3
14.42	night	nɔ:i.6
14.43	dawn	ńa:u.2
14.44	morning	su:ŋ.1
14.45	noon, midday	san.5
14.451	afternoon	kwa:ŋ.5
14.46	evening	ki:p.3
14.47	today	na:.1
14.48	tomorrow	khun.5
14.481	day-after-tomorrow	ba:ŋ.2
14.49	yesterday	lɣk.6
14.491	day-before-yesterday	tɨ:n.5
14.51	hour	bɛ:n.2
14.53	clock, timepiece	sɨ:.4
14.61	week	ŋɔ:.2
14.62	Sunday	ta.7 khɔ:.1
14.63	Monday	mum.2
14.64	Tuesday	ka:.2 ka.7 ba:t.3
14.65	Wednesday	si:.3 li:am.3
14.66	Thursday	mon.2
14.67	Friday	woŋ.2 kom.2
14.68	Saturday	lu:k.4 bɔn.2
14.71	month	sen.5
14.73	year	hu:.2
14.74	winter	mɨ:an.1
14.75	spring	pi:an.3
14.76	summer	bɔ:.3 mi:.1
14.77	autumn	nɨŋ.3
14.78	season	sɔ:ŋ.1
15.21	smell (vb intrans)	sa:m.1
15.212	sniff	si:.3
15.22	smell (vb trans)	ha:.5
15.25	fragrant, good smelling	hok.7
15.26	stinking, bad smelling	cet.7
15.31	taste	pɛ:t.3
15.35	sweet	kau.5
15.36	salty	sip.7
15.37	bitter	sip.7 ʔet.7
15.38	acid, sour	sip.7 sɔ:ŋ.1
15.39	brackish	sip.7 ha:.5
15.41	hear	sa:u.2
15.42	listen	lɔ:i.6
15.44	sound, noise	pan.2
15.45	loud	nap.6
15.46	quiet, silence	tɨŋ.2 mot.6
15.51	see	nak.6
15.52	look, look at	nak.6 kwa:.3
15.55	show	nɔ:i.6
15.56	shine	pɔ:.2
15.57	bright	phɔŋ.4
15.61	color	mu:.3
15.62	light (in color)	tem.1
15.63	dark (in color)	ʔim.3
15.64	white	wa:ŋ.4
15.65	black	suan.3
15.66	red	kɣ:ŋ.3
15.67	blue	ʔan.2 diau.2
15.68	green	thi:.4 nɨŋ.3
15.69	yellow	thi:.4 lo:.3
15.71	touch	thi:.4 sɔ:ŋ.1
15.712	pinch	ku:.4
15.72	feel	sɔ:ŋ.1 tɨ:a.5
15.74	hard	thi:.4 sa:m.1
15.75	soft	sa:m.1 tɨ:a.5
15.76	rough	tɨ:a.5
15.77	smooth	ʔa:.2 ńu.6
15.78	sharp	mai.3
15.79	blunt, dull	la.6 ʔɔn.3
15.81	heavy	kau.3
15.82	light (in weight)	kɛ:.3
15.83	wet, damp	ŋɔ:k.3
15.84	dry	ca:u.6
15.85	hot	khwa:i.1
15.851	warm	ba.7 diau.1 ni:.6
15.86	cold	wɣi.2 wɣi.2
15.87	clean	wɣi.2
15.88	dirty, soiled	ca:.6
15.89	wrinkled	hi:p.4
16.11	soul, spirit	ca:.6
16.15	surprised, astonished	lɣ:m.4
16.18	good fortune, luck	ʔot.7 thon.2
16.19	misfortune, bad luck	cop.7
16.23	joyful, glad, happy	set.7
16.25	laugh	jut.7
16.251	smile	phɔ:m.6
16.26	play	man.3
16.27	love	man.3
16.29	kiss	pen.2 tɨ:a.5
16.3	embrace	kam.2 diau.2
16.31	pain	mɣ:n.2
16.32	grief, sorrow, sadness	bɔ:.3 kɣ:i.2
16.33	anxiety, worry	hɛ:m.1 tɨ:a.5
16.34	regret, be sorry	mɨ:a.4 wan.2
16.35	pity	mɨ:a.4 khɨ:n.2
16.37	cry, weep	ca:u.6 mɨ:t.4
16.38	tear (noun)	mɨ:a.4 ca:u.6
16.39	groan	ti:aŋ.4
16.41	hate	mɨ:a.4 wan.2; tɔ:n.2 ba:i.3
16.42	anger	mɨ:a.4 lɛ:ŋ.2
16.44	envy, jealousy	wan.2 ni:.6
16.45	shame (noun)	wan.2 phu:k.4
16.48	proud	wan.2 hɨ:.2
16.51	dare	ta.7 wa:.2
16.52	brave	wan.2 sɨ:n.2
16.53	fear, fright	chua.4 mo:ŋ.2
16.54	danger	na:.2 li.6 ka:.1
16.62	desire, want	pen.2 tit.7
16.622	choose	wan.2 ʔa:.1 tit.7
16.63	hope	wan.2 can.1
16.65	faithful	wan.2 ʔaŋ.2 kha:n.2
16.66	true	wan.2 put.6
16.67	lie, tell lies	wan.2 pat.6
16.68	deceit	wan.2 suk.7
16.69	forgive	wan.2 sau.1
16.71	good	dɨ:an.2
16.72	bad	pi:.1
16.73	right, correct	ńa:m.2 na:u.1
16.74	wrong	ńa:m.2 hɔ:n.6
16.76	fault	ńa:m.2 bai.2 mai.6 lon.3
16.77	mistake, error	ńa:m.2 lɛ:ŋ.6
16.78	blame	ńa:m.2 fon.1
16.79	praise	ńa:m.2
16.81	beautiful	men.1
16.82	ugly	dom.2 kin.3
16.83	greedy	dom.2
16.84	clever	hɔ:m.1
17.11	mind	men.1
17.13	think (= reflect)	rot.6 cha:t.4
17.14	think (= be of the opinion)	ca:ŋ.1
17.15	believe	wa:n.1
17.16	understand	ke:m.2
17.17	know	khom.1
17.171	guess	som.5
17.172	imitate	ca:ŋ.1
17.18	seem	dai.5 ńin.2
17.19	idea, notion	faŋ.2
17.21	wise	si:aŋ.1
17.22	foolish, stupid	si:aŋ.1 daŋ.2
17.23	insane, crazy	ŋi:ap.4
17.24	learn	han.1
17.242	study	phɔ:.3
17.25	teach	sa.7 dɛ:ŋ.2
17.26	pupil	pen.2 ŋau.2
17.27	teacher	cɛ:ŋ.5
17.28	school	si:.1
17.31	remember	si:.1 ca:ŋ.1
17.32	forget	si:.1 khem.5
17.34	clear, plain	si:.1 kha:u.1
17.35	obscure	si:.1 dam.2
17.36	secret	si:.1 dɛ:ŋ.2
17.37	sure, certain	si:.1 fa:.6
17.38	explain	si:.1 khiau.1
17.41	intention, purpose	si:.1 lɨ:aŋ.1
17.42	cause	ńup.6
17.43	doubt	ńik.7
17.44	suspect	hu:.6 sɨk.7
17.441	betray	khɛ:ŋ.1
17.45	need, necessity	nuan.2
17.46	easy	ʔɔ:n.3
17.47	difficult	bɔ:.3 li:ap.4
17.48	try, attempt	li:ap.4
17.49	way, manner	khom.2
17.51	and	mum.4
17.52	because	nak.7
17.53	if	bau.2
17.54	or	cum.4
17.55	yes, affirmative	hɛ:ŋ.5; hɛ:ŋ.5 lɛ:ŋ.6
17.56	no, negative	ta:k.3
17.61	how?	hɔ:n.6
17.62	how many?	ʔun.3
17.63	how much?	jen.2; sa.7 ʔa:t.3
17.64	what?	pɨ:an.5
17.65	when?	jap.6
17.66	where?	cai.1
17.67	which?	tok.7 cai.1; soŋ.1 sai.1
17.68	who?	co:k.4 di:.2
17.69	why?	co:k.4 ha:i.6
18.11	voice	muan.4 kha.7 na:t.3
18.12	sing	khai.4 hua.1
18.13	shout, cry out	ńim.6
18.15	whisper	len.4
18.16	mumble	hak.6
18.17	whistle	cu:p.3
18.18	shriek, screech	kɔ:t.3
18.19	howl	cep.7
18.21	speak, talk	sau.5
18.211	stutter, stammer	bɔ:.3 muan.4 cai.1
18.22	say	si:a.1 cai.1
18.221	tell story	ʔen.2 du:.2
18.222	speech (make a)	hai.5
18.23	silent (be)	na:m.6 ta:.1
18.24	language	tɨŋ.2 com.3 tɨŋ.2 hai.5
18.26	word	caŋ.2
18.28	name	kho:t.3
18.31	ask (question, inquire)	khi:.5 kha:ŋ.1
18.32	answer	kua.2 si:a.1 cɨ:.4
18.33	admit, confess	phu:m.2 cai.1
18.34	deny	ka:.5
18.35	ask, request	khi:.5 ʔa:i.2
18.36	promise	ka:.5
18.37	refuse	kua.1
18.38	forbid	ʔan.2 ta.7 la:i.2
18.39	rebuke, scold	khai.4 dai.5
18.41	call (=summon)	lɨ:ak.4
18.42	call (=name)	waŋ.1
18.43	announce	sɨ:.4
18.44	threaten	tɛ:.6
18.45	boast	cu.7
18.51	write	cu.7
18.52	read	ńok.6 to:t.4
18.56	paper	di:.2
18.57	pen	bɔ:.3 di:.2
18.61	book	thu:k.3
18.67	poet	phit.7
18.71	flute	phit.7 pha:t.4
18.72	drum	khɔ:.5 phit.7 pha:t.4
18.73	horn, trumpet	ti.7
18.74	rattle	jɔ:.2
19.11	country	ŋa:m.2
19.12	one's native country	na:.4 ca.7
19.15	city, town	khi:.5 lo:p.4
19.16	village	luak.3
19.17	boundary	cai.1
19.21	people (populace)	kɨt.7
19.23	tribe, clan	kɨt.7
19.24	chief, chieftain	cɨ:a.4
19.25	staff, walking stick	khau.5 cai.1
19.31	rule, govern	hu:.6 cak.7
19.32	king, ruler	dau.2
19.33	queen	hi:an.2
19.36	noble, nobleman	mɨ:an.1
19.37	citizen, subject	kam.2 kɨt.7
19.41	master	luak.3
19.42	slave	ŋau.4
19.43	servant	phi:.1 ba:.5
19.44	freeman	hi:an.2
19.45	command, order	hi:an.2
19.46	obey	sɔ:n.1
19.47	let, permit	nak.6 li:an.2
19.51	friend, companion	khu:.2
19.52	enemy	ho:ŋ.2 hi:an.2
19.54	neighbor	cam.1
19.55	stranger	lɨ:m.2
19.56	guest	chat.6
19.57	host	bɔ:.3 chat.6
19.58	help, aid	khwa:m.2 lap.6
19.59	hinder, prevent	nɛ:.4 cai.1
19.61	custom	ʔa.7 thi.6 ba:i.2
19.62	strife, quarrel	ce:t.3 ta.7 na:.2
19.63	conspiracy, plot	sa:.1 he:t.3
19.65	meet	bɔ:.3 nɛ:.4 cai.1
19.72	prostitute	bɔ:.3 cɨ:a.4
20.11	fight (vb)	tɔ:.2 la.6 jot.6
20.13	war, battle	cam.2 pen.1
20.14	peace	ŋa:i.4
20.15	army	ńa:k.4; mi:.2 ʔup.7 pa.7 sak.7
20.17	soldier	lɔ:ŋ.2
20.21	weapons, arms	wi.6 thi:.2
20.22	club	lɛ.6
20.222	battle-ax	pɔ.6
20.23	sling	tha:.5
20.24	bow	lɨ:.1
20.25	arrow	cai.4
20.26	spear	bɔ:.3 cai.4
20.27	sword	pen.2 ca.7 dai.2
20.28	gun, cannon	tau.4 dai.2
20.31	armor (defensive)	tau.4 dai.2
20.33	helmet	ʔa.7 ńaŋ.1
20.34	shield	mɨ:a.4 dai.2
20.35	fortress	ti:.4 nai.1
20.36	tower	ʔan.2 dai.2
20.41	victory	phai.1
20.42	defeat	phɔ.6 ʔa.7 ńaŋ.1
20.43	attack	ni:.6
20.44	defend	ti:.4 ni:.4
20.45	retreat	ʔan.2 nan.6
20.46	surrender	ti:.4 han.4
20.47	captive, prisoner	si:aŋ.1
20.471	guard, sentinel	hɔ:ŋ.6 phe:ŋ.2
20.48	booty, spoils	phe:ŋ.2
20.49	ambush	ʔɣ:n.5
20.51	fisherman	sup.6 sɛ:p.4
20.52	fishhook	com.3
20.53	fishing line	phiu.1 pa:k.3
20.54	fishnet	hɔ:ŋ.6
20.55	fish trap	hɔ:n.1
20.56	bait	ʔu:.5
20.61	hunt	ʔu:.5 ta.7 kuk.7 ta.7 kak.7
20.62	shoot	ʔu:.5
20.63	miss (target)	lau.4
20.64	trap (noun)	ʔu:.5 sun.1 thɔ:.2 la.6 phot.6
20.65	trap (vb)	ŋi:ap.4
21.11	law	pha:.2 sa:.1
21.15	court	kam.2
21.16	judge (vb)	cɨ:.4
21.17	judgment	tha:m.1
21.18	judge (noun)	tɔ:p.3
21.21	plaintiff	ńɔ:m.2 hap.6
21.22	defendant	bɔ:.3 ńɔ:m.2 hap.6
21.23	witness	khɔ:.1 lɔ:ŋ.6
21.24	swear	san.1 ńa:.2
21.25	oath	bɔ:.3 ńɔ:m.2 hap.6
21.31	accuse	ha:m.5
21.32	condemn	ti.7
21.33	convict (vb)	hɔ:ŋ.6
21.34	acquit	hɔ:ŋ.6
21.35	guilty	pa.7 ka:t.3
21.36	innocent	khu:.3
21.37	penalty, punishment	khi:.5 ʔuat.3
21.38	fine	khi:an.1
21.39	prison, jail	ʔa:n.3
21.42	murder	ka.7 da:t.3
21.43	adultery	pa:k.3 ka:.1
21.44	rape	naŋ.1 sɨ:.1
21.46	arson	bot.7 kɔ:n.1
21.47	perjury	khui.3
21.51	steal	kɔ:ŋ.1
21.52	thief	kɛ:.2
22.11	religion	lua.2
22.12	God	pa.7 the:t.4
22.13	temple, church	ba:n.5 kɣ:t.3 mɨ:aŋ.2 nɔ:n.2
22.14	altar	wi:aŋ.2
22.15	sacrifice, offering	mu:.3 ba:n.5
22.16	worship	khe:t.3
22.17	pray	ca:u.2 ba:n.5
22.18	priest	ca:t.4 cɨ:a.6
22.19	holy, sacred	hua.1 na:.5
22.22	preach	mai.6 tau.6
22.23	bless	khuap.4 khum.2
22.24	curse	pha.6 la:.2 sa:.2
22.26	fast (vb)	pha.6 la:.2 chi.6 ni:.2
22.31	heaven	khon.2 phu:.5 di:.2
22.32	hell	ca:u.2 ba:n.5
22.35	demon (evil spirit)	cau.5 na:i.2
22.37	idol	khi:.5 kha:.5
22.42	magic, witchcraft, sorcery	khon.2 cai.6
22.43	sorcerer, witch	khon.2 phi.6 se:t.3
22.44	fairy, elf	kham.2 saŋ.3
22.45	ghost, phantom	cɨ:a.4
22.47	omen, portent	ʔa.7 nu.6 ja:t.4
	pɨ:an.4
	sat.7 tu:.1
	pɨ:an.4 ba:n.5
	khon.2 pɛ:k.3 na:.5
	khɛ:k.3
	cau.3 pha:p.4
	cuai.4 lɨ:a.2
	pɔŋ.5 kan.2
	pa.7 we:.2 ni:.2
	phit.7 kan.2
	phɛ:n.1 ka:n.1
	pa.7
	ka.7 li:.3
	hop.6
	soŋ.1 kha:m.2
	san.1 ti.7 pha:p.4
	kɔ:ŋ.2 thap.6
	ta.7 ha:n.1
	ʔa:.2 wut.6
	ka.7 bɔ:ŋ.2
	mui.2
	koŋ.1
	na:.5 mai.6
	tha.7 nu:.2
	hɔ:k.3
	da:p.3
	pɨ:n.1
	kɔ.7
	muak.3 lek.7
	lo:.4
	pɔ:m.5
	hɔ:.1 khɔ:i.2
	pɛ:.6
	pɛ:.6
	co:m.2 ti:.1
	pɔŋ.5 kan.2
	thɔ:i.1
	ka:n.6
	nak.6 tho:t.4
	ńa:m.2
	khɔ:ŋ.1 co:n.1
	sum.4 co:m.2 ti:.1
	khon.2 ha:.1 pa:.1
	cɔm.3 bet.7
	khɔ:.1 bet.7
	sa:i.1 bet.7
	hɛ:.1
	sai.2
	ńɨ:a.3
	la:.4 sat.7
	na:i.2 pha:n.2
	ńiŋ.2
	leŋ.2
	pha:t.4
	kap.7 dak.7
	wa:ŋ.2 kap.7 dak.7
	kot.7 ma:i.1
	sa:n.1
	tat.7 sin.1
	tat.7 sin.1
	phu:.5 phi.6 pha:k.4 sa:.1
	cau.5 thuk.6
	cam.2 lɣ:i.2
	pha.6 ńa:n.2
	sa:.1 ba:n.2
	kam.2 sa:.1 ba:n.2
	ka:u.3 ha:.1
	pa.7 na:m.2
	tat.7 sin.1 wa:.4 phit.7
	tat.7 sin.1 hai.5 pon.6 to:t.4
	sam.1 nɨk.6 phit.7
	lai.6 di:aŋ.2 sa:.1
	loŋ.2 to:t.4
	ka:.4 pap.7
	khɔ:k.4
	ka:n.2 kha:.4 khon.2
	cu:.6
	khom.3 khɨ:n.1
	lak.6 phau.1 ba:n.5
	ʔu:.5 thet.6
	kha.7 mo:i.2
	co:n.1
	kha.7 mo:i.2
	sa:t.3 sa.7 na:.1
	pha.6 cau.5
	bo:t.3
	tɛ:n.4
	khɨ:aŋ.4 saŋ.1 wɣ:i.2
	ka:n.2 pu:.2 ca:.2
	ʔa.7 thit.6 tha:n.2
	tu.7 cau.5
	sak.7 sit.7
	te:t.4
	hɨ:.5 pɔ:n.2
	cɛ:ŋ.4
	ʔot.7 khau.5
	sa.7 wan.1
	mɔ:.5 na.6 hok.6
	phi:.1
	hu:p.4 pan.5
	ka.7 tha:.1
	mɔ:.1 phi:.1
	te:.2 wa.6 da:.1
	phi:.1
	la:ŋ.2 saŋ.1 hɔ:n.1
