entry_id	trans_english	Páez_Phonemic
13.17	little (quantity), few	kuh-'mee
13.18	enough	kuh
13.181	some	kĩh-βa
13.19	multitude, crowd	nasa wala kuh-taʔ
13.21	full	uta
13.22	empty	hiʔph-mee-sa
13.23	part, piece	peʔla
13.24	half	pyãh; pyãhn
13.33	alone, only	-'šʸaa
13.34	first	nʸaΦ
13.35	last	nmeh
13.36	second	eʔz-te-weʔš
13.37	pair	peetam
13.38	two times	eʔz us
13.42	third	tekh-te-weʔš
13.44	three times	tekh us
14.11	time	en
14.12	age	[anʸu] hiʔph-
14.13	new	uʔse
14.14	young	ãpã
14.15	old	ĩĩš
14.16	early	kus-'ii
14.17	late	Φiʔze
14.18	now	ãčh
14.19	immediately	ãčh-'ii
14.21	swift, fast, quick	tud; dud
14.22	slow	tuhd
14.23	hasten, hurry	tudu-
14.24	retard, delay	xʸ-thẽẽyũũ-
14.25	begin, beginning	takh-; pũʔtʸh-
14.252	last, endure	thẽẽyũũ-
14.26	end (temporal)	nmeh
14.27	finish	xʸãʔh-
14.28	cease, stop	tʸhwete-
14.29	ready	pheuʔh-ni-yãʔh
14.31	always	baɣač-te-βa
14.32	often	tahta
14.33	sometimes	maʔwẽn-te-y-aʔ
14.331	soon	dud
14.332	long-time (for a)	tʸač
14.34	never	baɣač yuh-βa
14.35	again	kiʔ; kiʔ-kin
14.41	day	een
14.42	night	kus
14.43	dawn	čhiʔdʸ-te-y
14.44	morning	kus-'ii
14.45	noon, midday	ẽẽ-pyãh
14.451	afternoon	Φiʔze
14.46	evening	kusu-c̷-yãʔh-aʔ
14.47	today	ãčh
14.48	tomorrow	kus-kay
14.481	day-after-tomorrow	βite kus-kus-khẽ
14.49	yesterday	hũʔna; ũʔna
14.491	day-before-yesterday	hũʔna-khẽ
14.51	hour	[ora]
14.53	clock, timepiece	--
14.61	week	kiʔsu
14.62	Sunday	kiʔs-en
14.63	Monday	[lunʸis]
14.64	Tuesday	[maltʸis]
14.65	Wednesday	kiʔs-pyãh
14.66	Thursday	[hueβes]
14.67	Friday	tʸhẽʔ-en
14.68	Saturday	[sápatu]
14.71	month	aʔte
14.73	year	[anʸu]
14.74	winter	nus en
14.75	spring	--
14.76	summer	ehz
14.77	autumn	--
14.78	season	en
15.21	smell (vb intrans)	puta-
15.212	sniff	xʸ-putaʔ-ta-
15.22	smell (vb trans)	xʸ-puta-
15.25	fragrant, good smelling	wẽt puta-'saa
15.26	stinking, bad smelling	kaž puta-'saa
15.31	taste	yahpe-; isa-
15.35	sweet	nʸuša
15.36	salty	wala nega hiʔph-aʔ
15.37	bitter	yah
15.38	acid, sour	plʸaanaʔ
15.39	brackish	nega yuʔ
15.41	hear	pthũũse-
15.42	listen	wẽsẽʔh-
15.44	sound, noise	sus-ni
15.45	loud	sus
15.46	quiet, silence	sus-'mee
15.51	see	uy-; theg-
15.52	look, look at	theg-
15.55	show	ptaʔš-
15.56	shine	kwene-
15.57	bright	kwehne
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	čihme
15.65	black	khũč
15.66	red	beh
15.67	blue	c̷ẽy
15.68	green	c̷ẽy
15.69	yellow	lem; lem-lem
15.71	touch	xʸaʔdʸ-
15.712	pinch	wãc̷ha-
15.72	feel	xʸaʔdʸ-
15.74	hard	wexʸ
15.75	soft	wahwa
15.76	rough	šik
15.77	smooth	laβy
15.78	sharp	zek-sa
15.79	blunt, dull	tut
15.81	heavy	duh
15.82	light (in weight)	duh-'mee
15.83	wet, damp	tuph
15.84	dry	uhdʸ
15.85	hot	ača
15.851	warm	baxʸ
15.86	cold	Φize
15.87	clean	ate
15.88	dirty, soiled	khũč
15.89	wrinkled	čuʔžu-ni
16.11	soul, spirit	ũũs
16.15	surprised, astonished	wala kuh yaaky-ni
16.18	good fortune, luck	wala xʸkwehkwe
16.19	misfortune, bad luck	wala xʸkwehkwe-'mee
16.23	joyful, glad, happy	wẽt-wẽt; weč-weča
16.25	laugh	šihka-
16.251	smile	weh-kwe šihka-
16.26	play	pweesaʔh-
16.27	love	peeyɣãh-
16.29	kiss	weča-
16.3	embrace	pšaʔd-
16.31	pain	aka; aka-sa
16.32	grief, sorrow, sadness	nʸus
16.33	anxiety, worry	thẽy-sa βyaa-ni
16.34	regret, be sorry	nʸus weʔwe-
16.35	pity	peeyɣãã-ni
16.37	cry, weep	ũʔne-
16.38	tear (noun)	yaΦ dʸiʔk
16.39	groan	pebe-
16.41	hate	ac̷e-ni
16.42	anger	ũũsča-ni
16.44	envy, jealousy	ii-pyããni
16.45	shame (noun)	thame ũũs
16.48	proud	ii-wehč
16.51	dare	aph-
16.52	brave	ũũs čhãčha-sa
16.53	fear, fright	paa-ũũkh-sa
16.54	danger	ũũkh-ũũkh
16.62	desire, want	wẽhẽ-
16.622	choose	tʸhitʸh-
16.63	hope	ũythas-
16.65	faithful	kytee yuu-sa
16.66	true	isa; isasa
16.67	lie, tell lies	ĩ'šii-
16.68	deceit	ĩšii-ni
16.69	forgive	[peltunaĩ-]
16.71	good	ew
16.72	bad	ew-'mee
16.73	right, correct	ew; tʸãʔwẽ
16.74	wrong	ew-'mee
16.76	fault	yuuwe
16.77	mistake, error	xʸ-puba-ni
16.78	blame	yuuwe
16.79	praise	tuutheʔh-
16.81	beautiful	wala žičkwe
16.82	ugly	kaž
16.83	greedy	p-ũʔwe
16.84	clever	dʸihka
17.11	mind	ũũs yaaky-ni
17.13	think (= reflect)	yahky-
17.14	think (= be of the opinion)	sũh-
17.15	believe	[kreĩ-]
17.16	understand	hiyu-
17.17	know	hii-
17.171	guess	xʸ-tãʔnʸi-
17.172	imitate	šiʔd-
17.18	seem	naʔwẽ theg-
17.19	idea, notion	ũũs yaaky-sa
17.21	wise	wala hii-sa
17.22	foolish, stupid	ul
17.23	insane, crazy	[luuku]
17.24	learn	piya-
17.242	study	piya-
17.25	teach	kaa-piya-ʔh
17.26	pupil	piya-'sa
17.27	teacher	kaa-piya-ʔh-sa
17.28	school	[skwela]
17.31	remember	yahky-
17.32	forget	pečkana-
17.34	clear, plain	ãã-
17.35	obscure	ãã-'mee
17.36	secret	paac̷-
17.37	sure, certain	yuh; dʸih
17.38	explain	kaa-hiyu-ʔh-
17.41	intention, purpose	(...)-kahn
17.42	cause	k-/kaa-(...)-ʔh-
17.43	doubt	kuh yahky-
17.44	suspect	
17.441	betray	
17.45	need, necessity	peehi-ni
17.46	easy	thẽy-'mee
17.47	difficult	thẽy
17.48	try, attempt	isa-
17.49	way, manner	
17.51	and	saʔ
17.52	because	naa paʔɣa
17.53	if	-βac̷aʔ
17.54	or	mee-šʸaʔ
17.55	yes, affirmative	ũũ; -'ii
17.56	no, negative	ãʔã; mee
17.61	how?	maʔwẽ
17.62	how many?	maz; makwe
17.63	how much?	maz
17.64	what?	kĩh
17.65	when?	maʔwẽn
17.66	where?	m-tee
17.67	which?	maa
17.68	who?	kiim
17.69	why?	mhĩ-te
18.11	voice	weʔwe-ni
18.12	sing	mem-
18.13	shout, cry out	wey-; way-
18.15	whisper	sus-'mee weʔwe-
18.16	mumble	
18.17	whistle	ΦiʔΦ-; ΦuʔΦ-
18.18	shriek, screech	pebe-
18.19	howl	pebe-
18.21	speak, talk	weʔwe-
18.211	stutter, stammer	ãã-'mee weʔwe-
18.22	say	naʔ-hĩ-
18.221	tell story	[kwentu]-ʔh-
18.222	speech (make a)	ptaʔš-
18.23	silent (be)	šuunaʔ yuu-
18.24	language	yuwe
18.26	word	yuwe
18.28	name	yase
18.31	ask (question, inquire)	paa-pẽxʸ-
18.32	answer	pas-
18.33	admit, confess	ãã-te ptaʔš-
18.34	deny	paana-
18.35	ask, request	pẽxʸ-
18.36	promise	ũs-yaʔ neeyũũ-
18.37	refuse	waʔl-
18.38	forbid	-nu; -puʔn
18.39	rebuke, scold	ĩky-
18.41	call (=summon)	paʔya-
18.42	call (=name)	yaase-
18.43	announce	ptaʔš-
18.44	threaten	huunaʔ weʔwe-
18.45	boast	ii-wehč weʔwe-
18.51	write	Φiʔh-
18.52	read	[leĩ-]
18.56	paper	ets
18.57	pen	--
18.61	book	[libru]
18.67	poet	--
18.71	flute	kuβy
18.72	drum	kwẽẽta
18.73	horn, trumpet	
18.74	rattle	snʸunʸu
19.11	country	
19.12	one's native country	upy-ni kiwe
19.15	city, town	čhab wala
19.16	village	čhab
19.17	boundary	[lʸideru]
19.21	people (populace)	nasa
19.23	tribe, clan	
19.24	chief, chieftain	n-piic̷-thẽʔh
19.25	staff, walking stick	khaabu
19.31	rule, govern	xʸ-kaah-
19.32	king, ruler	xʸ-kaah-sa
19.33	queen	--
19.36	noble, nobleman	--
19.37	citizen, subject	
19.41	master	n-[amu]
19.42	slave	nasa tʸwey-nii-sa
19.43	servant	selpi'saa
19.44	freeman	[patron] hiʔph-mee-sa
19.45	command, order	xʸ-kaah-
19.46	obey	n-wẽẽsẽ-ʔh-
19.47	let, permit	k-/kaa-(...)-ʔh-
19.51	friend, companion	n-[amiku]
19.52	enemy	ac̷e-sa
19.54	neighbor	yat utʸa-su-weʔš
19.55	stranger	βite kiwe-hu-weʔš
19.56	guest	piʔky-ni-sa
19.57	host	
19.58	help, aid	puʔčh-
19.59	hinder, prevent	yup-
19.61	custom	nasa Φiʔze-ni
19.62	strife, quarrel	puii-ni
19.63	conspiracy, plot	paac̷-te yaaky-ni
19.65	meet	uy-
19.72	prostitute	uʔy kaž yũũ-sa
20.11	fight (vb)	puii-
20.13	war, battle	puii- Φiʔze-ni
20.14	peace	puii-'mee Φiʔze-ni
20.15	army	[soldau]-weʔš
20.17	soldier	[soldau]
20.21	weapons, arms	puii-ni-sa
20.22	club	pekwe-ni-sa
20.222	battle-ax	--
20.23	sling	iʔsuth; ĩʔsuth
20.24	bow	ũpa-ni-sa [arko]
20.25	arrow	
20.26	spear	weʔth
20.27	sword	[kčilʸ]
20.28	gun, cannon	[skupeta]
20.31	armor (defensive)	puii-waʔh
20.33	helmet	--
20.34	shield	--
20.35	fortress	--
20.36	tower	--
20.41	victory	[knay]-ni-sa
20.42	defeat	eʔs-khẽ nβiit-ni
20.43	attack	kβis-
20.44	defend	n-weʔwe-
20.45	retreat	ũph-
20.46	surrender	yaʔ-dukh-
20.47	captive, prisoner	[preesu]
20.471	guard, sentinel	theg-sa
20.48	booty, spoils	--
20.49	ambush	kyad-; kytad-
20.51	fisherman	wedʸ uwe-'sa
20.52	fishhook	wedʸ nʸuhz
20.53	fishing line	wedʸ uwe-ni wes
20.54	fishnet	wedʸ ukhe
20.55	fish trap	
20.56	bait	[sepu]
20.61	hunt	βihky-
20.62	shoot	ũhpa-
20.63	miss (target)	ũhpa-teʔ paʔh-meʔ
20.64	trap (noun)	yahky; akh
20.65	trap (vb)	yahky-
21.11	law	[ley]
21.15	court	--
21.16	judge (vb)	ukheʔh-
21.17	judgment	[kastiɣãy]-waʔh
21.18	judge (noun)	[khuẽs]
21.21	plaintiff	paa-tʸhĩʔkh-sa
21.22	defendant	paa-tʸhĩʔkh-ni-sa
21.23	witness	[testigo]
21.24	swear	[huraĩ-]
21.25	oath	--
21.31	accuse	paa-tʸhĩʔkh-
21.32	condemn	ew-mee-te nβiht
21.33	convict (vb)	ew-mee-te nβiht-
21.34	acquit	ew-te nβiht-
21.35	guilty	yuuwe-sa
21.36	innocent	yuuwe-mee-sa
21.37	penalty, punishment	[kastiɣo]
21.38	fine	βyu pẽy-ni
21.39	prison, jail	[karsel]
21.42	murder	nasa ikh-ni
21.43	adultery	kaž yũũ-ni
21.44	rape	--
21.46	arson	--
21.47	perjury	--
21.51	steal	peswe-
21.52	thief	pes'wee
22.11	religion	--
22.12	God	[dʸus]
22.13	temple, church	[dʸuus] yat
22.14	altar	[altal]
22.15	sacrifice, offering	tahky ikh-ni
22.16	worship	[dʸus]aʔs weča-
22.17	pray	[orãy-]
22.18	priest	[pal]
22.19	holy, sacred	ate-sa
22.22	preach	--
22.23	bless	[bedesĩ-]
22.24	curse	kysew-
22.26	fast (vb)	[yũũna-]
22.31	heaven	[sielu]
22.32	hell	[inΦernu]
22.35	demon (evil spirit)	eč; eč-thẽʔh
22.37	idol	--
22.42	magic, witchcraft, sorcery	dʸih-yuu-ni
22.43	sorcerer, witch	dʸih; dʸixʸ
22.44	fairy, elf	--
22.45	ghost, phantom	taaΦiy; eč
22.47	omen, portent	--
