entry_id	trans_english	Chácobo_Phonemic
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	kopi-
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	hawɨ kopi
11.79	earn	
11.81	buy	kopi
11.82	sell	inia-
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	
11.88	dear (costly, expensive)	kopi-ṣ̌ɨniria
11.89	cheap	kopi-riyama
11.91	share (distribute)	tiʔiwa-
11.92	weigh	tanama-
12.1	after	-aṣ̌na; čo
12.11	behind	čiʔo; čo; kac̷ami-
12.2	beside	hata?ɨno
12.3	down, below	nama
12.4	before	hapari
12.41	front	βɨsoho; βɨβo-
12.5	inside, in	na-; no; ṣ̌a-
12.6	outside	kača
12.7	under	nama; no-nama
12.8	up, above	mana; kača
12.11	place	hawɨ iti-; ṣ̌oa; -ya;
12.12	put	nanɨ-
12.13	sit	c̷aʔo-
12.14	lie down	raka-
12.15	stand	nii-; ni-
12.16	remain, stay	čitɨ-
12.17	remains, left overs	
12.21	collect, gather	katia-
12.212	pick up	topi-
12.213	pile up	maa-
12.22	join, unite	kati
12.23	separate	
12.232	divide	mapɨṣ̌a-
12.24	open	hapɨkɨ-; hapɨka-
12.25	shut, close	mapoʔi-
12.26	cover	mapa; mapo-
12.27	hide, conceal	honɨ
12.31	high	mana
12.32	low	
12.33	top	hakača
12.34	bottom	nonama; napata
12.35	end	čipo
12.352	pointed	
12.353	edge	kɨ-
12.36	side	homa
12.37	middle, center	matoro
12.41	right (side)	mɨ-nɨkaya
12.42	left (side)	mɨ-ṣ̌oho
12.43	near (adv)	βasi-ma
12.44	far (adv)	βasi; nɨama
12.45	east	
12.46	west	
12.47	north	
12.48	south	
12.53	grow	hakɨ-; šinaʔa-; ani-
12.54	measure	tana-
12.541	span, fathom	
12.55	large, big	-wa; čaʔita-ṣ̌ɨni
12.56	small, little	mišni; pistia
12.57	long	tɨtɨka
12.58	tall	tɨtɨka-
12.59	short	namano; čitɨ-pistia
12.61	wide, broad	čaʔita-ṣ̌ɨni
12.62	narrow	yamaria-pistia
12.63	thick (in dimension)	oti
12.65	thin (in dimension)	siwiki
12.67	deep	nɨmini
12.68	shallow	miṣ̌ai
12.71	flat	paraka
12.73	straight	mɨstɨ; siti-ṣ̌ɨni
12.74	crooked	yoro
12.75	hook	wɨti
12.76	corner	paβɨkɨṣ̌ɨ
12.77	cross	
12.78	square	
12.81	round	yɨβa
12.82	circle	
12.83	sphere, ball	
12.84	line	
12.85	hole	kini
12.92	like, similar	kɨska; hawɨharia
12.93	change	čiṣ̌ɨkɨ
13.0	zero, nothing	yama
13.1	one	wɨsti-ta
13.2	two	raβɨta
13.3	three	--
13.4	four	--
13.5	five	--
13.6	six	--
13.7	seven	--
13.8	eight	--
13.9	nine	--
13.10	ten	--
13.101	eleven	--
13.102	twelve	
13.103	fifteen	--
13.104	twenty	--
13.105	hundred	--
13.106	thousand	--
13.107	count	
13.14	every, all	hatita; tɨkɨta
13.15	much, many	wɨstima
13.16	more	toβia; wino
13.17	little (quantity), few	iča-ria-ma; ičara-ma
13.18	enough	sɨya-kia
13.181	some	
13.19	multitude, crowd	
13.21	full	rɨamɨ; sɨya-
13.22	empty	mɨkɨya
13.23	part, piece	kɨsi; ṣ̌atɨ
13.24	half	βɨkɨṣ̌ɨ
13.33	alone, only	hamɨ; -mɨ; roʔa
13.34	first	haria pari
13.35	last	čoo; haroʔa
13.36	second	
13.37	pair	
13.38	two times	raβɨ-
13.42	third	
13.44	three times	
14.11	time	
14.12	age	
14.13	new	paṣ̌a
14.14	young	
14.15	old	yosi
14.16	early	
14.17	late	yata
14.18	now	haβoki
14.19	immediately	
14.21	swift, fast, quick	horipi; wɨna; βɨṣ̌ti-
14.22	slow	išima; pɨni-
14.23	hasten, hurry	mɨri-
14.24	retard, delay	
14.25	begin, beginning	taʔɨ-wa-
14.252	last, endure	naama
14.26	end (temporal)	
14.27	finish	hatiwa-
14.28	cease, stop	ikɨ
14.29	ready	iyokɨ
14.31	always	haskara
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	naama-
14.34	never	
14.35	again	
14.41	day	βɨaʔaina
14.42	night	βakiča
14.43	dawn	wɨana
14.44	morning	wɨana; βakišmari
14.45	noon, midday	matoroko
14.451	afternoon	mɨnata
14.46	evening	čiamɨ
14.47	today	
14.48	tomorrow	wɨakɨ
14.481	day-after-tomorrow	
14.49	yesterday	
14.491	day-before-yesterday	
14.51	hour	
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	--
14.63	Monday	--
14.64	Tuesday	--
14.65	Wednesday	--
14.66	Thursday	--
14.67	Friday	--
14.68	Saturday	--
14.71	month	oṣ̌ɨ
14.73	year	ṣ̌ɨnipa
14.74	winter	
14.75	spring	
14.76	summer	
14.77	autumn	
14.78	season	tiya
