entry_id	trans_english	Armenian,_Western_Phonemic
11.83	trade, barter	poxanagutyun
11.84	merchant	vaǰaragan
11.85	market (place)	šuga
11.86	store, shop	xanut, g[ə]rbag
11.87	price	kin
11.88	dear (costly, expensive)	suɣ
11.89	cheap	ažan
11.91	share (distribute)	pažnel
11.92	weigh	g[ə]šrel
12.1	after	hedo
12.11	behind	yedevə
12.2	beside	kov(ə), goɣkə, mod
12.3	down, below	varə, dag
12.4	before	arač
12.41	front	arač, arčev
12.5	inside, in	mečə, meč
12.6	outside	tursə, turs
12.7	under	dagə, dag
12.8	up, above	verə, vra
12.11	place	deɣ, vayr
12.12	put	t[ə]nel
12.13	sit	n[ə]sdil
12.14	lie down	bargil
12.15	stand	ganknil
12.16	remain, stay	m[ə]nal
12.17	remains, left overs	m[ə]nac̷ort, avelc̷ug
12.21	collect, gather	havakel, žoɣvel
12.212	pick up	kaɣel, havakel
12.213	pile up	tizel, gudagel
12.22	join, unite	mianal, miac̷[ə]nel
12.23	separate	pažnel, zadel, ančadel
12.232	divide	pažnel
12.24	open	panal
12.25	shut, close	koc̷el
12.26	cover	d͜zad͜zgel
12.27	hide, conceal	takc̷[ə]nel, koɣargel
12.31	high	parc̷[ə]r
12.32	low	c̷ad͜z, [ə]sdorin
12.33	top	kakat, d͜zayr
12.34	bottom	hadag, xork, himkʰ
12.35	end	verč
12.352	pointed	sur, s[ə]rad͜zayr
12.353	edge	d͜zayr, yez[ə]r
12.36	side	goɣm
12.37	middle, center	mečdeɣ, getron
12.41	right (side)	ač (goɣm)
12.42	left (side)	c̷ax (goɣm)
12.43	near (adv)	mod
12.44	far (adv)	heru
12.45	east	arevelk
12.46	west	arevmudk
12.47	north	hyusis
12.48	south	harav
12.53	grow	aǰil, med͜znal
12.54	measure	čap
12.541	span, fathom	tiz
12.55	large, big	med͜z, xošor
12.56	small, little	b[ə]zdig, pok[ə]r
12.57	long	yergar
12.58	tall	parc̷[ə]r, parc̷rahasag
12.59	short	garǰ, garǰahasag
12.61	wide, broad	layn, əntarc̷ag
12.62	narrow	neɣ
12.63	thick (in dimension)	hasd
12.65	thin (in dimension)	parag
12.67	deep	xor, xorung
12.68	shallow	d͜zand͜zaɣ
12.71	flat	dapag
12.73	straight	uɣiɣ, šidag
12.74	crooked	d͜zur, gor, ger
12.75	hook	ger, gerig, gart
12.76	corner	angyun
12.77	cross	xač
12.78	square	karagusi
12.81	round	g[ə]lor
12.82	circle	š[ə]rčan, š[ə]rčanag
12.83	sphere, ball	kunt, k[ə]ntag
12.84	line	kid͜z
12.85	hole	d͜zag
12.92	like, similar	n[ə]man
12.93	change	poxel, popoxel
13.0	zero, nothing	z[ə]ro, vočinč
13.1	one	meg
13.2	two	yergu
13.3	three	yerek
13.4	four	čors
13.5	five	hink
13.6	six	vec̷
13.7	seven	yotə
13.8	eight	ut
13.9	nine	inə
13.10	ten	dasə
13.101	eleven	dasn[ə]meg
13.102	twelve	dasn[ə]yergu
13.103	fifteen	dasn[ə]hink
13.104	twenty	ksan
13.105	hundred	haryur
13.106	thousand	hazar
13.107	count	hašvel
13.14	every, all	amen, polor
13.15	much, many	šad
13.16	more	aveli
13.17	little (quantity), few	kič
13.18	enough	pavagan
13.181	some	kič mə
13.19	multitude, crowd	ampox
13.21	full	lec̷un, li
13.22	empty	barab, tadarg
13.23	part, piece	mas, g[ə]dor
13.24	half	ges
13.33	alone, only	minag, miayn (te)
13.34	first	aračin
13.35	last	verčin
13.36	second	yergrort
13.37	pair	zuyk
13.38	two times	yergu ankam, g[ə]rgnagi
13.42	third	yerrort
13.44	three times	yerek ankam
14.11	time	žamanag
14.12	age	darik
14.13	new	nor
14.14	young	yeridasart
14.15	old	d͜zer, darikod
14.16	early	ganux, vaɣ, šud
14.17	late	uš
14.18	now	hima, ayž[ə]m
14.19	immediately	anmičabes
14.21	swift, fast, quick	arak, šud, [ə]šdab
14.22	slow	tantaɣ
14.23	hasten, hurry	[ə]šdabil, aǰabarel
14.24	retard, delay	ušanal, ušac̷[ə]nel
14.25	begin, beginning	[ə]sg[ə]sel, [ə]sgizp
14.252	last, endure	devel, dogal, hanturžel
14.26	end (temporal)	verč
14.27	finish	verčac̷[ə]nel, avardel
14.28	cease, stop	tatril, gank arnel
14.29	ready	badrasd
14.31	always	mišd
14.32	often	haǰax
14.33	sometimes	yerpem[ə]n
14.331	soon	šudov
14.332	long-time (for a)	yergar, yergar žamanag
14.34	never	yerpek
14.35	again	noren, g[ə]rgin
14.41	day	or
14.42	night	kišer
14.43	dawn	aršaluys
14.44	morning	aravod, ardu
14.45	noon, midday	gesor, mičore
14.451	afternoon	gesore yedk, hed mičore
14.46	evening	yerego, irigun
14.47	today	aysor
14.48	tomorrow	vaɣə
14.481	day-after-tomorrow	vaɣə če myus orə, myus orə
14.49	yesterday	yereg
14.491	day-before-yesterday	yereg če arči or, arči or
14.51	hour	žam
14.53	clock, timepiece	žamac̷uyc̷
14.61	week	šapat
14.62	Sunday	giragi
14.63	Monday	yergušapti
14.64	Tuesday	yerekšapti
14.65	Wednesday	čorekšapti
14.66	Thursday	hinkšapti
14.67	Friday	urpat
14.68	Saturday	šapat
14.71	month	amis
14.73	year	dari
14.74	winter	c̷[ə]mer
14.75	spring	karun
14.76	summer	amar
14.77	autumn	ašun
14.78	season	darva yeɣanag
15.21	smell (vb intrans)	hod kal, purel
15.212	sniff	hododel
15.22	smell (vb trans)	hod kašel
15.25	fragrant, good smelling	anušahod, puraved, hodaved
15.26	stinking, bad smelling	karšahod, d͜zanrahod
15.31	taste	hamdesel, ǰašagel
15.35	sweet	anuš, kaɣc̷[ə]r
15.36	salty	aɣi
15.37	bitter	tar[ə]n, leɣi
15.38	acid, sour	t[ə]tu
15.39	brackish	šor, aɣaham
15.41	hear	l[ə]sel
15.42	listen	l[ə]sel, ung[ə]ntrel, m[ə]dig ənel
15.44	sound, noise	c̷ayn, aɣmug
15.45	loud	parc̷[ə]r, parc̷rac̷ayn
15.46	quiet, silence	hantardutyun, l[ə]rutyun
15.51	see	desnel
15.52	look, look at	nayil
15.55	show	c̷uc̷[ə]nel, c̷uyc̷ dal
15.56	shine	paylel, šoɣal
15.57	bright	bayd͜zar, var, paylun
15.61	color	kuyn
15.62	light (in color)	bayd͜zar, pac̷
15.63	dark (in color)	mut
15.64	white	ǰermag
15.65	black	sev
15.66	red	garmir
15.67	blue	gabuyd
15.68	green	gananč
15.69	yellow	teɣin
15.71	touch	t[ə]bil, h[ə]bil, t[ə]bčil
15.712	pinch	g[ə]sm[ə]del, g[ə]m[ə]šdel
15.72	feel	[ə]zkal
15.74	hard	bint, gard͜z[ə]r
15.75	soft	papug, gaguɣ
15.76	rough	gošd, gobid
15.77	smooth	hart, voɣorg
15.78	sharp	sur, s[ə]rad͜zayr
15.79	blunt, dull	put, p[ə]tamid
15.81	heavy	d͜zan[ə]r
15.82	light (in weight)	tetev
15.83	wet, damp	tac̷, xonav
15.84	dry	čor, c̷amak
15.85	hot	dak, tež
15.851	warm	dak, dakug
15.86	cold	baɣ, c̷urd
15.87	clean	makur
15.88	dirty, soiled	aɣdod
15.89	wrinkled	g[ə]nǰrod
16.11	soul, spirit	hoki, voki
16.15	surprised, astonished	zarmac̷ad͜z, abšad͜z
16.18	good fortune, luck	paxd, parepaxdutyun
16.19	misfortune, bad luck	t[ə]žpaxdutyun, c̷axortutyun, čar paxd
16.23	joyful, glad, happy	urax, z[ə]vart, yerčanig
16.25	laugh	x[ə]ntal, d͜zid͜zaɣel
16.251	smile	ž[ə]bdal
16.26	play	xaɣal
16.27	love	sirel, ser
16.29	kiss	hampurel
16.3	embrace	k[ə]rgel
16.31	pain	c̷av
16.32	grief, sorrow, sadness	višd, g[ə]sgid͜z, d[ə]xrutyun
16.33	anxiety, worry	anc̷gutyun, m[ə]dahokutyun
16.34	regret, be sorry	apsosal, c̷avil
16.35	pity	kut, garegc̷utyun
16.37	cry, weep	lal
16.38	tear (noun)	arc̷unk
16.39	groan	m[ə]rtm[ə]rtal, p[ə]ntp[ə]ntal
16.41	hate	adel
16.42	anger	pargutyun, zayruyt
16.44	envy, jealousy	naxanc̷, xant
16.45	shame (noun)	amot
16.48	proud	h[ə]bard
16.51	dare	hant[ə]knil, hamarc̷agil
16.52	brave	kač
16.53	fear, fright	vax, ah, yergyuɣ
16.54	danger	v[ə]dank
16.62	desire, want	uzel, c̷angal, papakil, əɣc̷al
16.622	choose	əndrel
16.63	hope	huys
16.65	faithful	havadarim
16.66	true	irav, iragan, ǰ[ə]šmarid
16.67	lie, tell lies	sud, sud əsel, s[ə]del
16.68	deceit	xapeutyun
16.69	forgive	nerel
16.71	good	lav
16.72	bad	keš
16.73	right, correct	ǰišd, uɣiɣ
16.74	wrong	s[ə]xal
16.76	fault	meɣk
16.77	mistake, error	s[ə]xal, vribag
16.78	blame	meɣatrank, barsavank
16.79	praise	kovel, kovapanel
16.81	beautiful	keɣec̷ig
16.82	ugly	d[ə]keɣ
16.83	greedy	akah, vorgramol
16.84	clever	xelok, xelac̷i, h[ə]mud
17.11	mind	midk, xelk, gard͜zik
17.13	think (= reflect)	m[ə]dad͜zel, xorhil
17.14	think (= be of the opinion)	gard͜zel
17.15	believe	havadal
17.16	understand	hasg[ə]nal
17.17	know	kidnal
17.171	guess	g[ə]rahel, kušagel
17.172	imitate	əntorinagel, n[ə]managel, n[ə]manvil
17.18	seem	t[ə]vil
17.19	idea, notion	kaɣapar, hasgac̷utyun
17.21	wise	imasdun
17.22	foolish, stupid	himar, abuš, d[ə]xmar
17.23	insane, crazy	xent, xelakar
17.24	learn	sorvil
17.242	study	usanil
17.25	teach	sorvec̷[ə]nel, usuc̷anel
17.26	pupil	ašagerd
17.27	teacher	usuc̷ič, tasadu, tasaxos
17.28	school	t[ə]broc̷, usumnaran
17.31	remember	hišel, m[ə]daperel
17.32	forget	mornal
17.34	clear, plain	barz, h[ə]sdag
17.35	obscure	mut, xavar, aɣod
17.36	secret	kaɣdni, kaɣdnik
17.37	sure, certain	v[ə]sdah, [ə]sduyk
17.38	explain	pac̷adrel
17.41	intention, purpose	m[ə]datrutyun, n[ə]badag, midum
17.42	cause	badǰarel, aračac̷[ə]nel
17.43	doubt	gasgad͜zil, daragusil
17.44	suspect	gasgad͜zil
17.441	betray	madnel, tavaǰanel
17.45	need, necessity	garik, bedk, anhražešdutyun
17.46	easy	tyurin
17.47	difficult	t[ə]žvar
17.48	try, attempt	porc̷el, čanal
17.49	way, manner	c̷ev, gerb
17.51	and	yev, u
17.52	because	vorovhedev
17.53	if	yete
17.54	or	gam
17.55	yes, affirmative	ayo, hasdadagan
17.56	no, negative	voč, ž[ə]xdagan
17.61	how?	inčbes?
17.62	how many?	kani?
17.63	how much?	inčkan? vorčap?, vorkan?
17.64	what?	inč?
17.65	when?	yerp?
17.66	where?	ur?, vordeɣ?
17.67	which?	vor?
17.68	who?	ov?
17.69	why?	inču?
18.11	voice	c̷ayn
18.12	sing	yerkel
18.13	shout, cry out	boral, koral, kočel
18.15	whisper	p[ə]sp[ə]sal, š[ə]š[ə]nčal
18.16	mumble	m[ə]rtm[ə]rtal, p[ə]ntp[ə]ntal
18.17	whistle	sulel
18.18	shriek, screech	ǰ[ə]čal, ǰ[ə]vǰ[ə]val, ǰ[ə]ɣǰ[ə]ɣal
18.19	howl	vornal, gaɣganc̷el
18.21	speak, talk	xosil
18.211	stutter, stammer	gagazel, totovel, g[ə]mg[ə]mal
18.22	say	əsel
18.221	tell story	badmel
18.222	speech (make a)	ǰar əsel, ǰaraxosel
18.23	silent (be)	l[ə]rel
18.24	language	lezu
18.26	word	par, xosk
18.28	name	anun
18.31	ask (question, inquire)	harc̷[ə]nel
18.32	answer	badasxanel
18.33	admit, confess	əntunil, xosdovanil
18.34	deny	ž[ə]xdel
18.35	ask, request	harc̷[ə]nel, x[ə]ntrel
18.36	promise	xosdanal
18.37	refuse	meržel
18.38	forbid	arkilel
18.39	rebuke, scold	hantimanel, g[ə]šdambel, sasdel
18.41	call (=summon)	gančel
18.42	call (=name)	gočvil
18.43	announce	haydararel, aztararel
18.44	threaten	[ə]sbarnal
18.45	boast	bard͜zenal
18.51	write	k[ə]rel
18.52	read	gartal
18.56	paper	tuɣt
18.57	pen	k[ə]rič
18.61	book	kirk
18.67	poet	panasdeɣd͜z
18.71	flute	yeɣeknapoɣ, švi
18.72	drum	t[ə]mpug
18.73	horn, trumpet	poɣ, šepor
18.74	rattle	t[ə]ɣ[ə]rtyun, t[ə]ɣt[ə]ɣgoc̷
19.11	country	yergir
19.12	one's native country	hayrenik
19.15	city, town	kaɣak
19.16	village	kyuɣ
19.17	boundary	sahman
19.21	people (populace)	žoɣovurt, martig
19.23	tribe, clan	dohm, c̷eɣ
19.24	chief, chieftain	bed, c̷eɣabed
19.25	staff, walking stick	kavazan, c̷ub
19.31	rule, govern	garavarel, išxel, direl
19.32	king, ruler	takavor, išxan, karavarič
19.33	queen	takuhi
19.36	noble, nobleman	azn[ə]vagan
19.37	citizen, subject	kaɣakac̷i, h[ə]badag
19.41	master	der, varbed
19.42	slave	[ə]sdrug
19.43	servant	d͜zara, [ə]sbasavor, aɣaxin
19.44	freeman	azad kaɣakac̷i
19.45	command, order	hramayel, badvirel
19.46	obey	h[ə]nazantil, h[ə]badagil
19.47	let, permit	tuyl dal, tuyladrel
19.51	friend, companion	ənger, əngeragic̷, paregam
19.52	enemy	t[ə]šnami
19.54	neighbor	trac̷i, harevan
19.55	stranger	odaragan, odaryergrac̷i
19.56	guest	hyur
19.57	host	hyurəngal, dander
19.58	help, aid	oknel, ožantagel
19.59	hinder, prevent	xankarel, arkelk haruc̷el, ganxel
19.61	custom	sovoruyt
19.62	strife, quarrel	baykar, g[ə]riv, veǰ
19.63	conspiracy, plot	tav, tavatrutyun, xartavank
19.65	meet	hantibil
19.72	prostitute	bornig
20.11	fight (vb)	g[ə]rvil
20.13	war, battle	baderazm, mard, ǰagadamard
20.14	peace	xaɣaɣutyun, hašdutyun
20.15	army	panag
20.17	soldier	zinvor
20.21	weapons, arms	zenk
20.22	club	mahag
20.222	battle-ax	sagradek, dabaradek
20.23	sling	ǰoban, tog
20.24	bow	aɣeɣ
20.25	arrow	ned
20.26	spear	nizag
20.27	sword	sur, tur, suser
20.28	gun, cannon	hrac̷an, t[ə]ntanot, hranot
20.31	armor (defensive)	z[ə]rah
20.33	helmet	saɣavard
20.34	shield	vahan
20.35	fortress	amroc̷, pert
20.36	tower	ašdarag
20.41	victory	haɣtanag
20.42	defeat	bardutyun
20.43	attack	harc̷agil, k[ə]rohel
20.44	defend	bašdbanel
20.45	retreat	nahančel
20.46	surrender	hanc̷n[ə]vil
20.47	captive, prisoner	keri, pandargyal
20.471	guard, sentinel	bahag, bahagaxump
20.48	booty, spoils	goɣobud, avar, talan
20.49	ambush	taran, tagart, vorokayt
20.51	fisherman	c̷[ə]gnors
20.52	fishhook	gart
20.53	fishing line	gartatel
20.54	fishnet	urgan, c̷[ə]gnorsagan c̷anc̷
20.55	fish trap	c̷[ə]gnorsasagar
20.56	bait	xayd͜z
20.61	hunt	vorsal
20.62	shoot	gragel
20.63	miss (target)	vribel
20.64	trap (noun)	tagart, d͜zuɣag
20.65	trap (vb)	d͜zuɣagə c̷[ə]kel
21.11	law	orenk
21.15	court	tadaran
21.16	judge (vb)	tadel, v[ə]ǰir dal
21.17	judgment	v[ə]ǰir, tadav[ə]ǰir
21.18	judge (noun)	tadavor
21.21	plaintiff	hayc̷ader, hayc̷vor
21.22	defendant	meɣatryal, ampasdanyal
21.23	witness	v[ə]ga
21.24	swear	yertnul
21.25	oath	yertum
21.31	accuse	meɣatrel
21.32	condemn	meɣatrel, tadabardel, barsavel
21.33	convict (vb)	meɣadrel, ambastanel
21.34	acquit	anbard arc̷agel, artarac̷[ə]nel
21.35	guilty	meɣavor
21.36	innocent	anmeɣ
21.37	penalty, punishment	dukank, badiž
21.38	fine	dukank, duyž
21.39	prison, jail	pand
21.42	murder	[ə]sbanel
21.43	adultery	tavaǰanutyun
21.44	rape	p[ə]rnaparum
21.46	arson	h[ə]rgizum, h[ə]rtehum
21.47	perjury	yert[ə]mnazanc̷utyun
21.51	steal	koɣnal
21.52	thief	koɣ
22.11	religion	gron(k)
22.12	God	Asdvad͜z
22.13	temple, church	daǰar, yegeɣec̷i
22.14	altar	xoran, zohaseɣan
22.15	sacrifice, offering	zoh, zohaperutyun
22.16	worship	bašdel, yerg[ə]rbakel
22.17	pray	aɣotel
22.18	priest	yerec̷, kahana
22.19	holy, sacred	surp
22.22	preach	karozel
22.23	bless	orhnel
22.24	curse	anid͜zel
22.26	fast (vb)	bahk bahel, d͜zom bahel
22.31	heaven	yergink, t[ə]raxd
22.32	hell	t[ə]žoxk
22.35	demon (evil spirit)	tev, sadana
22.37	idol	gurk
22.42	magic, witchcraft, sorcery	gaxartutyun, h[ə]mayutyun
22.43	sorcerer, witch	gaxart, v[ə]hug
22.44	fairy, elf	peri, huri, barig
22.45	ghost, phantom	voki, desilk, urvagan, uru
22.47	omen, portent	ganxan[ə]šan, naxan[ə]šanag
