entry_id	trans_english	Avestan_Phonemic
9.75	weave, plait	
9.76	basket	
9.77	mat	
9.771	rug	
9.78	netbag	
9.79	fan (noun)	
9.791	fan (vb)	
9.81	carve	
9.82	sculptor	
9.83	statue	
9.84	chisel	
9.88	paint (noun)	
9.89	paint (vb)	
10.11	move	čar-; ar-
10.12	turn over	urvis-
10.13	turn around	
10.14	wind, wrap	
10.15	roll	
10.16	drop (vb)	
10.17	twist	
10.21	rise	usstā-; usar-
10.22	raise, lift	us-grab-
10.23	fall	pat-
10.24	drip	
10.25	throw	ah-; spā-
10.252	catch (ball)	
10.26	shake	
10.32	flow	ɣžar-; rud-; tač-
10.33	sink	
10.34	float	
10.35	swim	
10.351	dive	
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	dvan-; vay-; pat-
10.38	blow	vā-
10.41	creep, crawl	
10.412	kneel	
10.413	crouch	
10.42	slide, slip	
10.43	jump, leap	
10.431	kick	
10.44	dance	
10.45	walk	gam-
10.451	limp	
10.46	run	tač-; dru-
10.47	go	ǰam-; i-; yā-; dvar-
10.471	go up	
10.472	climb	
10.473	go down	
10.474	go out	
10.48	come	(ā-)ǰam-
10.481	come back	
10.49	go away, depart	apaǰam-; paiti-; rič
10.491	disappear	
10.51	flee	frā-nam-
10.52	follow	hač-
10.53	pursue	vayeiti
10.55	reach, arrive	ǰam-; aibī-ǰam-; hant-
10.56	approach	
10.57	enter	
10.61	carry (bear)	bar-; nāš-
10.612	carry-in-hand	
10.613	carry-on-shoulder	
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	bar-; ā-yās-
10.63	send	maēθ- (?)
10.64	lead (vb)	ni-; vāðaya-
10.65	drive	az-
10.66	ride	bar-; vaz-
10.67	push, shove	
10.71	road	paθ-; advan-; frayana-
10.72	path	paθ-; advan-
10.74	bridge	pəšu-; pərətu-
10.75	carriage, wagon, cart	vāša-; raθa-
10.76	wheel	čaxra-
10.77	axle	
10.78	yoke	
10.81	ship	nāvaya-
10.83	boat	
10.831	canoe	
10.832	outrigger	
10.84	raft	
10.85	oar	
10.851	paddle (noun)	
10.852	row (vb)	
10.86	rudder	
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	
10.92	land (vb)	
11.11	have	ah-
11.12	own, possess	
11.13	take	grab-
11.14	seize, grasp	grab-
11.15	hold	dar-; drag-; hap-
11.16	get, obtain	fra-ap-
11.17	keep, retain	dar-
11.18	thing	
11.21	give	dā-
11.22	give back	
11.24	preserve, look after	θrā-
11.25	save, rescue	būǰ-; θrā-
11.27	destroy	marək-
11.28	harm, injure, damage	zyā- iriš-
11.31	seek, look for	iš-
11.32	find	vid-
11.33	lose	
11.34	release, let go	harəz; zā-
11.43	money	šaēta-
11.44	coin	
11.51	rich	šaētavant-; īštavant-
11.52	poor	drigu-; ašaēta-
11.53	beggar	
11.54	avaricious, stingy	arāitivant-
11.61	lend	*nəmahya-
11.62	borrow	
11.63	owe	
11.64	debt	
11.65	pay (vb)	či-
11.66	account, reckoning	
11.69	tax, tribute	
11.77	hire	
11.78	wages	zəmanā-; dāθra-
11.79	earn	
11.81	buy	
11.82	sell	
11.83	trade, barter	
11.84	merchant	
11.85	market (place)	
11.86	store, shop	
11.87	price	arəǰah-; pərəskā-
11.88	dear (costly, expensive)	
11.89	cheap	
11.91	share (distribute)	
11.92	weigh	
12.1	after	
12.11	behind	
12.2	beside	
12.3	down, below	
12.4	before	
12.41	front	
12.5	inside, in	
12.6	outside	
12.7	under	
12.8	up, above	
12.11	place	gātu-; asah-; stāna-
12.12	put	dā-
12.13	sit	āh-; had-
12.14	lie down	saēte
12.15	stand	stā-
12.16	remain, stay	man-
12.17	remains, left overs	
12.21	collect, gather	han-či-
12.212	pick up	
12.213	pile up	
12.22	join, unite	yuǰ-
12.23	separate	
12.232	divide	
12.24	open	
12.25	shut, close	
12.26	cover	var-
12.27	hide, conceal	guz-
12.31	high	barəz; bərəzant-
12.32	low	nitəma-
12.33	top	saēni-
12.34	bottom	būna-
12.35	end	karana-
12.352	pointed	
