entry_id	trans_english	Tacana_Phonemic
14.332	long-time (for a)	bao-da c̷ine; c̷onoda
14.34	never	ai ʔora so biame...mawe
14.35	again	ne(ʔ)iča
14.41	day	c̷ine
14.42	night	ðiða
14.43	dawn	wena-wa; wewe-
14.44	morning	apo-daya
14.45	noon, midday	boepatia
14.451	afternoon	c̷ine-kʷa
14.46	evening	apo-apo
14.47	today	hiawe
14.48	tomorrow	moeta
14.481	day-after-tomorrow	čo-moeta
14.49	yesterday	
14.491	day-before-yesterday	čo-moeta
14.51	hour	[ora]
14.53	clock, timepiece	[reloho]
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	badi
14.73	year	mara
14.74	winter	wina-wina badi
14.75	spring	
14.76	summer	haď̶iati badi
14.77	autumn	
14.78	season	esawa; mara
15.21	smell (vb intrans)	waniba-
15.212	sniff	
15.22	smell (vb trans)	waniba-
15.25	fragrant, good smelling	poi-da
15.26	stinking, bad smelling	kesi-da; wani-da
15.31	taste	dia-ba
15.35	sweet	bita-da
15.36	salty	boe-da; bano pac̷e-da
15.37	bitter	pac̷e-da
15.38	acid, sour	saho-da; teboda
15.39	brackish	terihihi ena
15.41	hear	iď̶aba-
15.42	listen	iď̶aba-
15.44	sound, noise	čokama; sere-da
15.45	loud	
15.46	quiet, silence	tahida
15.51	see	ba-
15.52	look, look at	čama-
15.55	show	ba-me-
15.56	shine	toa-we-da; ðaro-ðaro-a-
15.57	bright	kʷare-kʷare; sire-sire
15.61	color	
15.62	light (in color)	kʷare-da, toa-we-da
15.63	dark (in color)	ðabi-da
15.64	white	pasa-ne
15.65	black	ðewe-na; ðabi-da
15.66	red	ðere-na; hoti-da
15.67	blue	ðawa-ne
15.68	green	čina; ðawa-ne
15.69	yellow	tiď̶ina; masawi
15.71	touch	ď̶apaba-; nosoa-ba-
15.712	pinch	ðiho-
15.72	feel	hineba-
15.74	hard	tadada
15.75	soft	noc̷a-da; ðore-
15.76	rough	ď̶ebo-da; ď̶aka-ď̶aka, ď̶eoda
15.77	smooth	kʷapi-kʷapi; noc̷a-da
15.78	sharp	keho-da
15.79	blunt, dull	
15.81	heavy	bike-da
15.82	light (in weight)	piri-da; peho-da
15.83	wet, damp	c̷abi-da; čara-da
15.84	dry	e-sara; mori-da
15.85	hot	sina-da
15.851	warm	sina-da; kʷasese-da
15.86	cold	wina-da
15.87	clean	c̷ero-da
15.88	dirty, soiled	ači; aði-da
15.89	wrinkled	riči-riči
16.11	soul, spirit	e-niď̶o; e-nime
16.15	surprised, astonished	kʷaha biame -po-; c̷oneti-
16.18	good fortune, luck	-biď̶i-biď̶i
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	beidahi
16.25	laugh	haiď̶ebati-
16.251	smile	bori-da
16.26	play	ha-sito-ti-
16.27	love	c̷ada-ba-; nawe-da
16.29	kiss	boði-
16.3	embrace	iď̶ami-
16.31	pain	neba-
16.32	grief, sorrow, sadness	tahi-da
16.33	anxiety, worry	kʷabia -po-
16.34	regret, be sorry	iboneba-; ičenoba-
16.35	pity	
16.37	cry, weep	pa-
16.38	tear (noun)	toa-na
16.39	groan	tisi-tisi-
16.41	hate	doininiba-
16.42	anger	doinini; nime-po
16.44	envy, jealousy	ha-reha-tihi; oc̷a-ta-ba-
16.45	shame (noun)	biď̶o
16.48	proud	
16.51	dare	
16.52	brave	čoheme; nime-toče-da
16.53	fear, fright	iyo-ame; iyoba-
16.54	danger	reha-da
16.62	desire, want	oc̷ataba-; c̷ada
16.622	choose	ðare-
16.63	hope	iď̶oa-; ha-nime-točea-ti-
16.65	faithful	hei-a-; hei-po-
16.66	true	ene-kita; ene-boc̷epi
16.67	lie, tell lies	biď̶o-mimi
16.68	deceit	basea-
16.69	forgive	
16.71	good	sai-da
16.72	bad	maða-da we; ate
16.73	right, correct	boc̷epi
16.74	wrong	hapic̷ataitia da ema
16.76	fault	hoča
16.77	mistake, error	ha-pic̷a-ti-; kʷe we -a-
16.78	blame	hoča
16.79	praise	
16.81	beautiful	ania; bata sai-da
16.82	ugly	emaðati
16.83	greedy	
16.84	clever	
17.11	mind	
17.13	think (= reflect)	piba-
17.14	think (= be of the opinion)	pepe -ba-; pepe -po-
17.15	believe	
17.16	understand	
17.17	know	a; ba-we/boe
17.171	guess	
17.172	imitate	inimia-; imi-imi-a-
17.18	seem	batame
17.19	idea, notion	piba
17.21	wise	ebia so čoa-hi
17.22	foolish, stupid	čoa tadada
17.23	insane, crazy	c̷eic̷i
17.24	learn	ha-boec̷oa-ti-
17.242	study	
17.25	teach	boe-c̷oa-; bawe-c̷oa-
17.26	pupil	
17.27	teacher	e-boe-c̷oa-hi
17.28	school	
17.31	remember	piba-me-
17.32	forget	seta-
17.34	clear, plain	kʷare-da; toawe-da
17.35	obscure	
17.36	secret	kʷac̷a mawe; ec̷ia we
17.37	sure, certain	eneiwe
17.38	explain	saida -kisa-
17.41	intention, purpose	
17.42	cause	-me
17.43	doubt	
17.44	suspect	
17.441	betray	
17.45	need, necessity	ha-c̷ata-ti-
17.46	easy	atasai-da
17.47	difficult	ataða-da
17.48	try, attempt	
17.49	way, manner	
17.51	and	
17.52	because	kʷaso, hokʷaso
17.53	if	awa...so
17.54	or	
17.55	yes, affirmative	eʔe
17.56	no, negative	moe; mawe; aimoe...mawe
17.61	how?	kʷaha; kʷa ni da
17.62	how many?	
17.63	how much?	ke(h)okʷa ni da
17.64	what?	ai
17.65	when?	kec̷ono ni da
17.66	where?	ke pia; hoke
17.67	which?	ke-bata
17.68	who?	ai-ðe; ai-ya
17.69	why?	kʷaso; ho-kʷaha so
18.11	voice	e-c̷oi
18.12	sing	sac̷o-
18.13	shout, cry out	hehe-
18.15	whisper	
18.16	mumble	
18.17	whistle	wi-
18.18	shriek, screech	c̷ia-c̷ia-
18.19	howl	
18.21	speak, talk	mimi-; ha-kisa-ti-
18.211	stutter, stammer	
18.22	say	po-
18.221	tell story	
18.222	speech (make a)	
18.23	silent (be)	tahi-da; kʷac̷a mawe
18.24	language	mimi kʷana; yana
18.26	word	mimi
18.28	name	e-bani
18.31	ask (question, inquire)	kisa-ba-
18.32	answer	heo-c̷o-
18.33	admit, confess	
18.34	deny	
18.35	ask, request	habahati-; patia pohi -po-
18.36	promise	hamic̷o-ti-
18.37	refuse	c̷ada mawe -ba-
18.38	forbid	
18.39	rebuke, scold	ď̶aya-
18.41	call (=summon)	iwa-
18.42	call (=name)	
18.43	announce	
18.44	threaten	
18.45	boast	
18.51	write	dere-dere-
18.52	read	mimi-a-me
18.56	paper	kirika
18.57	pen	
18.61	book	kirika
18.67	poet	
18.71	flute	moi
18.72	drum	hememe
18.73	horn, trumpet	pototo
18.74	rattle	raka-raka
19.11	country	yawa
19.12	one's native country	
19.15	city, town	
19.16	village	e-ho-de; ata
19.17	boundary	
19.21	people (populace)	
19.23	tribe, clan	
19.24	chief, chieftain	e-čoa pohi; ekʷai
19.25	staff, walking stick	eitona-hi; wara
19.31	rule, govern	e-kʷac̷asia; wara-tia-
19.32	king, ruler	e-čoa pohi aida
19.33	queen	--
19.36	noble, nobleman	
19.37	citizen, subject	hode pai
19.41	master	
19.42	slave	
19.43	servant	eme-baha-hi
19.44	freeman	
19.45	command, order	kʷac̷a-sia-
19.46	obey	atasai-da
19.47	let, permit	ď̶ehi -tia-
19.51	friend, companion	epere-hi; e-boke-hi
19.52	enemy	doininiba-hi; mahai
19.54	neighbor	anihi edoe
19.55	stranger	[wira-koča]
19.56	guest	
19.57	host	
19.58	help, aid	c̷awa-
19.59	hinder, prevent	
19.61	custom	habaweneti-
19.62	strife, quarrel	tisi-tisi-
19.63	conspiracy, plot	
19.65	meet	c̷o-tiyo-; c̷o-
19.72	prostitute	e-pona čoa maðada
20.11	fight (vb)	ha-iče-ti-
20.13	war, battle	ha-mahai-ti-
20.14	peace	
20.15	army	
20.17	soldier	baba ekʷai
20.21	weapons, arms	mec̷e
20.22	club	ðohe
20.222	battle-ax	
20.23	sling	
20.24	bow	pisa-c̷oe
20.25	arrow	pisa
20.26	spear	eðoto-hi; eď̶akʷa-hi
20.27	sword	
20.28	gun, cannon	--
20.31	armor (defensive)	
20.33	helmet	
20.34	shield	
20.35	fortress	
20.36	tower	
20.41	victory	-biabaeha-; ha-toče-ti-
20.42	defeat	
20.43	attack	
20.44	defend	-bia-netia-
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	ina-hihi
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	kawaširi
20.51	fisherman	esia pohi; -bia-tehe-
20.52	fishhook	esia-hi
20.53	fishing line	
20.54	fishnet	ď̶ohoho
20.55	fish trap	ðiro-(h)i; ď̶oto
20.56	bait	
20.61	hunt	aseaseti-
20.62	shoot	mec̷e -noro-; sia-; maraka-
20.63	miss (target)	
20.64	trap (noun)	ribi; hopača
20.65	trap (vb)	
21.11	law	
21.15	court	
21.16	judge (vb)	mac̷e-
21.17	judgment	ha-mac̷e-ti
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	ha-kisa-netia-kʷina-ti-
21.24	swear	
21.25	oath	
21.31	accuse	kʷac̷a-; toa-kisa-
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	hoča mawe
21.37	penalty, punishment	
21.38	fine	
21.39	prison, jail	
21.42	murder	mano-ame-
21.43	adultery	epere-hi
21.44	rape	wera-
21.46	arson	
21.47	perjury	
21.51	steal	c̷i-
21.52	thief	c̷i-po(h)i
22.11	religion	
22.12	God	[dioso]
22.13	temple, church	[iliša]
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	mic̷o-c̷oa-
22.17	pray	
22.18	priest	tata [pari]
22.19	holy, sacred	
22.22	preach	kisa pohi; kisa-kisa -po-
22.23	bless	
22.24	curse	
22.26	fast (vb)	
22.31	heaven	boepa
22.32	hell	
22.35	demon (evil spirit)	išawa; einiď̶o
22.37	idol	
22.42	magic, witchcraft, sorcery	bia -a-
22.43	sorcerer, witch	mao
22.44	fairy, elf	
22.45	ghost, phantom	niď̶o-nobi-iča
22.47	omen, portent	mapiði
